,af,aspect,polarities
473,Montparnasse se nageregte-veral die sy crème brulee en papierdun appeltert-is op hul eie goed genoeg om die restaurant die moeite werd te maak.,Crème Brulee,positive
477,Het die naweek heerlik daar geëet voordat ek gaan fliek!,Maaltyd,positive
480,Dit was 'n rukkie en ek het vergeet hoe heerlik pannekoeke kan wees.,pannekoeke,positive
483,Die kos - hoewel meestal diepgebraai - is eenvoudig en bevredigend.,Kos,positive
486,Dieetkundiges hou by slaaie of geniet vegetariese skottelgoed.,Slaaie,positive
488,Dieetkundiges hou by slaaie of geniet vegetariese skottelgoed.,vegetariese skottelgoed,positive
490,"Romerige voorgeregte-taramasalata, eiervrugslaai en Griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is.",taramasalata,positive
494,"Romerige voorgeregte-taramasalata, eiervrugslaai en Griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is.",Romerige voorgeregte,positive
498,"Romerige voorgeregte-taramasalata, eiervrugslaai en Griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is.","Griekse jogurt (met cuccumber, dille en knoffel)",positive
500,"Romerige voorgeregte-taramasalata, eiervrugslaai en Griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is.",warm pitas,neutral
504,"Romerige voorgeregte-taramasalata, eiervrugslaai en Griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is.",Aubergine slaai,positive
508,omdat die kelners ERNSTIGE HOUDINGSAANPASSINGS NODIG HET.,kelners,negative
510,Die kelners lyk ALTYD kwaad en ignoreer selfs hul gereelde klante met 'n hoë fooi.,kelners,negative
513,"verskeie kere en verdra die kelners se slegte maniere, wetende dat hul werk nie maklik is nie.",kelners,negative
516,"Uiteindelik het ek siek geword vir die slegte diens, onaangename glimlagte en snotterige praatjies.",Diens,negative
519,"Dit is tradisionele, eenvoudige Italiaanse kos.",Italiaanse kos,positive
522,"Dit is net lekker kos, niks meer nie en dit is al wat ons wil hê!",Kos,positive
525,"Die wynlys is uitgebreid, goed geprys en dek baie streke.",wynlys,positive
529,"Die wynlys is uitgebreid, goed geprys en dek baie streke.",Geprys,positive
533,"goeie kos, goeie wyn, dit is dit.",Wyn,positive
537,"goeie kos, goeie wyn, dit is dit.",Kos,positive
541,"Ek hou van die eenvoud en respek wat aan die kos gegee is, asook die personeel was vriendelik en kundig.",Personeel,positive
544,"Ek hou van die eenvoud en respek wat aan die kos gegee is, asook die personeel was vriendelik en kundig.",Kos,positive
547,Die kos was middelmatig en die diens was baie stadig.,Kos,neutral
551,Die kos was middelmatig en die diens was baie stadig.,Diens,negative
555,Dit het ongeveer 2 1/2 uur geneem om ons 2 kursusse bedien te word.,Kursusse,neutral
557,Dit het ongeveer 2 1/2 uur geneem om ons 2 kursusse bedien te word.,bedien,negative
559,Ons het 'n glas wyn bestel en was klaar geëet en betaal voordat die wyn gekom het.,glas wyn,neutral
561,"Die opvoustoel waarby ek gesit het, was ongemaklik.",opvou stoel,negative
564,Ons kelner was vriendelik en dit is jammer dat hy nie 'n ondersteunende personeel gehad het om mee saam te werk nie.,Personeel,negative
566,Ons kelner was vriendelik en dit is jammer dat hy nie 'n ondersteunende personeel gehad het om mee saam te werk nie.,Kelner,positive
569,Ek het vir 'n restaurantweek gegaan en van die prix fixe-spyskaart af bestel,prix fixe spyskaart,neutral
571,Die wagpersoneel was baie oplettend en beleefd.,Wagpersoneel,positive
574,Die vaardig gekose Portugese kaaswa saam met kwaliteit port bied die perfekte Iberiese einde.,Portugese kaaswa,positive
578,Die vaardig gekose Portugese kaaswa saam met kwaliteit port bied die perfekte Iberiese einde.,Poort,positive
582,"Alhoewel dit groot en 'n bietjie raserig was, was die drankies fantasties, en die kos was uitstekend.",Drinkgoed,positive
586,"Alhoewel dit groot en 'n bietjie raserig was, was die drankies fantasties, en die kos was uitstekend.",Kos,positive
590,Die pryse is nie verskriklik nie.,Pryse,positive
593,"Die diens was puik, en hulle het baie vir verjaarsdae.",Diens,positive
596,"Die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap om 'n hokkie by die vensters te kry, soos 'n BBP behandel word op 'n nie-oorvol plek, met heerlike kos en diens.",Diens,positive
600,"Die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap om 'n hokkie by die vensters te kry, soos 'n BBP behandel word op 'n nie-oorvol plek, met heerlike kos en diens.",Kos,positive
604,"Die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap om 'n hokkie by die vensters te kry, soos 'n BBP behandel word op 'n nie-oorvol plek, met heerlike kos en diens.",hokkie by die vensters,neutral
606,"Die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap om 'n hokkie by die vensters te kry, soos 'n BBP behandel word op 'n nie-oorvol plek, met heerlike kos en diens.",Plek,positive
610,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Kaas,positive
613,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Vars groente,positive
614,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Vis,positive
617,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",fooood,positive
620,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",wortelgroente,positive
625,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",rys mengelmoes,positive
628,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",spinasie ding,positive
631,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Falafel,positive
634,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Midde-Oosterse verspreidings,positive
637,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",lam kebabs,positive
640,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Sop,positive
643,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Kaas Baclava,positive
