,ig,aspect,polarities
428,"Otú ọ dị, n'ịbụ ndị na-eri nri, nri ahụ wutere anyị kpamkpam.",nri,negative
431,"Ana m akwado codfish ojii a na-esi ísì ụtọ, ọ bụ efere kachasị mma nke mgbede.",Black e ghere eghe codfish,positive
434,"Ana m akwado codfish ojii a na-esi ísì ụtọ, ọ bụ efere kachasị mma nke mgbede.",efere,positive
437,Enwere m shrimp creole na-atọ ụtọ.,shrimp creole,positive
440,Nri abalị ọkụkọ dị ezigbo mma.,nri abalị ọkụkọ,positive
443,Ma nri ahụ na-atọ ụtọ.,nri,positive
446,Ohere ahụ bụ omenala na mmetụta.,ohere,neutral
449,Creative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette na fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụ na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,bistro menu,neutral
453,Creative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette na fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụ na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,eze crab salad na ahuhu mkpụrụ vaịn vinaigrette,positive
457,Creative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette na fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụ na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,efere,positive
461,Creative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette na fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụ na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,fettuccine na grilled oké osimiri na a rosemary-oroma ihendori,positive
465,Montparnasse si desserts - karịsịa silken crème brulee na akwụkwọ-mkpa apple tart - dị mma zuru ezu na ha onwe ha na-eme ka ụlọ oriri na ọṅụṅụ uru njem.,desserts,positive
469,Montparnasse si desserts - karịsịa silken crème brulee na akwụkwọ-mkpa apple tart - dị mma zuru ezu na ha onwe ha na-eme ka ụlọ oriri na ọṅụṅụ uru njem.,apụl tart,positive
473,Montparnasse si desserts - karịsịa silken crème brulee na akwụkwọ-mkpa apple tart - dị mma zuru ezu na ha onwe ha na-eme ka ụlọ oriri na ọṅụṅụ uru njem.,crème brulee,positive
477,Enwere nnukwu nri n'ebe ahụ na izu ụka a tupu ị gawa fim!,nri,positive
480,Ọ bụ oge na m chefuru nnọọ otú na-atọ ụtọ crepes nwere ike ịbụ.,crepes,positive
483,The nri - ọ bụ ezie na ukwuu n'ime miri-fried - dị mfe ma na-eju afọ.,nri,positive
486,Ndị na-eri nri na-arapara na salads ma ọ bụ na-etinye onwe ha na efere anaghị eri anụ.,salads,positive
488,Ndị na-eri nri na-arapara na salads ma ọ bụ na-etinye onwe ha na efere anaghị eri anụ.,efere anaghị eri anụ,positive
490,"Creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cuccumber, dil, na garlic) uto magburu onwe mgbe na-ekpo ọkụ pitas.",taramasalata,positive
494,"Creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cuccumber, dil, na garlic) uto magburu onwe mgbe na-ekpo ọkụ pitas.",Creamy appetizers,positive
498,"Creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cuccumber, dil, na garlic) uto magburu onwe mgbe na-ekpo ọkụ pitas.","Greek yogọt (na cuccumber, dil, na garlic)",positive
500,"Creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cuccumber, dil, na garlic) uto magburu onwe mgbe na-ekpo ọkụ pitas.",Pitas na-ekpo ọkụ,neutral
504,"Creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cuccumber, dil, na garlic) uto magburu onwe mgbe na-ekpo ọkụ pitas.",eggplant salad,positive
508,N'ihi na ndị na-echere chọrọ mgbanwe ATTITUE siri ike.,ndị na-echere,negative
510,The waiters mgbe niile anya iwe na ọbụna na-eleghara ha elu-tipping regulars.,ndị na-echere,negative
513,"Ọtụtụ ugboro ma na-anagide àgwà ọjọọ nke ndị na-echere, ịmara na ọrụ ha adịghị mfe.",ndị na-echere,negative
