,zu,aspect,polarities
204,Izintandokazi zihlanganisa: amazambane isipinashi gnocchi newundlu.,amazambane isipinashi gnocchi,positive
207,Ingxenye yenkukhu enentaba yelayisi nobhontshisi ngo- $ 6.25.,irayisi,neutral
209,Ingxenye yenkukhu enentaba yelayisi nobhontshisi ngo- $ 6.25.,inkukhu,neutral
211,Ingxenye yenkukhu enentaba yelayisi nobhontshisi ngo- $ 6.25.,ubhontshisi,neutral
213,Inkonzo inhle kakhulu futhi ihlala ifundisa ngaphandle komoya.,service,positive
216,Ngokuqinisekile ngingabuyela emuva -- uma kuphela kwabanye balabo martinis exotic ebhodini elimnyama.,martinis,positive
219,Ukuntuleka kwe-AC kanye neqiniso lokuthi kunemizimba eyizigidi ezikhukhumezayo (nakuba wonke umuntu enenhlonipho futhi akekho ophokophele) ukuvala kancane.,AC,negative
222,"Kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile.",indawo,positive
224,"Kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile.",ngaphandle,positive
228,"Kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile.",isiphuzo esingajwayelekile,positive
232,Angizange ngiye khona ngiyodla ngakho angikwazi ukuphawula.,ukudla,neutral
234,I-con kwakuyinkonzo yebha kancane.,isevisi ibha,negative
237,Mina nabangani bami siyeka lapha i-pizza ngaphambi kokushaya i-Kips Bay movie theater.,pizza,neutral
239,Sihlala sijabulela i-pizza.,pizza,positive
242,Insizakalo inhle kakhulu.,service,positive
245,"Izikhalazo ezimbili- ukukhethwa kwabo kwe-appetizer kunuka, kungaba kuhle ukuthola ezinye izinti ze-mozzarella kwimenyu.",mozzarella izinti,neutral
247,"Izikhalazo ezimbili- ukukhethwa kwabo kwe-appetizer kunuka, kungaba kuhle ukuthola ezinye izinti ze-mozzarella kwimenyu.",imenyu,negative
249,"Izikhalazo ezimbili- ukukhethwa kwabo kwe-appetizer kunuka, kungaba kuhle ukuthola ezinye izinti ze-mozzarella kwimenyu.",ukukhethwa kwe-appetizer,negative
252,"Ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase epuletini.",disco pop duo,negative
256,"Ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase epuletini.",ukukhanyisa,negative
260,"Ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase epuletini.",escargot,negative
262,"Ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase epuletini.",ukudla,negative
266,"Angikaze empilweni yami ngibuyisele emuva ukudla ngaphambili, kodwa kwadingeka nje, futhi i-waiter yaphikisana nami ngalokhu.",waiter,negative
268,"Angikaze empilweni yami ngibuyisele emuva ukudla ngaphambili, kodwa kwadingeka nje, futhi i-waiter yaphikisana nami ngalokhu.",ukudla,negative
270,"Inkonzo inkulu, isobho lami lihlala lifika limnandi futhi lishisa.",isobho,positive
273,"Inkonzo inkulu, isobho lami lihlala lifika limnandi futhi lishisa.",service,positive
276,Isikhalazo sami kuphela kungaba amakhukhi engcebo - angikaze ngibe nekhukhi elibikezela amashwa kimi ngaphambi kokuba ngivakashele eKar.,ikhukhi,negative
278,Isikhalazo sami kuphela kungaba amakhukhi engcebo - angikaze ngibe nekhukhi elibikezela amashwa kimi ngaphambi kokuba ngivakashele eKar.,amakhukhi fortune,negative
281,"Kuyinto eyisisekelo pizza ngokuhlanganyela, hhayi okuningi ukubheka, kodwa pizza yilokho ngiya.",pizza,positive
284,I-sauce i-zesty futhi inambitheka futhi i-crust imnandi futhi i-crispy.,crust,positive
288,I-sauce i-zesty futhi inambitheka futhi i-crust imnandi futhi i-crispy.,sauce,positive
292,Ngokufanayo uma uthanda i-crust encane ngempela noma izingcezu ezinkulu ngempela ke uNick noJoe bangase bangabi yintandokazi yakho.,i-crust encane,negative
294,Ngokufanayo uma uthanda i-crust encane ngempela noma izingcezu ezinkulu ngempela ke uNick noJoe bangase bangabi yintandokazi yakho.,izingcezu,negative
296,"Ukukhethwa kokudla kuhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), futhi umkhathi mkhulu.",umkhathi,positive
300,"Ukukhethwa kokudla kuhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), futhi umkhathi mkhulu.",ukukhethwa kokudla,positive
304,"Imenyu, eshintsha ngezikhathi zonyaka, ibonisa kokubili amathonya esifunda nakwamanye amazwe.",imenyu,neutral
307,"Ngiyayithanda i-Little Pie Company njenganoma ubani omunye obhale ukubuyekezwa, kodwa kumele akhuthaze noma ubani ukuba avakashele indawo ye-Grand Central ngenxa yesevisi yabo ye-RUDE evela kubantu ababili bokuthengisa.",yokuthengisa abantu,negative
310,"Ngiyayithanda i-Little Pie Company njenganoma ubani omunye obhale ukubuyekezwa, kodwa kumele akhuthaze noma ubani ukuba avakashele indawo ye-Grand Central ngenxa yesevisi yabo ye-RUDE evela kubantu ababili bokuthengisa.",service,negative
313,"Ngemva kokukhokhela ukuthenga kwami, ngaqaphela ukuthi abazange banginikeze izitsha ukuze ngidle i-pie yami.",pie,neutral
315,"Ngemva kokukhokhela ukuthenga kwami, ngaqaphela ukuthi abazange banginikeze izitsha ukuze ngidle i-pie yami.",izitsha,neutral
317,Kwadingeka fulegi phansi umuntu wesithathu abasebenzi for a imfoloko ... ngakho manje sawubona Little RUDE Pie Company.,umuntu wabasebenzi,neutral
319,Kwadingeka fulegi phansi umuntu wesithathu abasebenzi for a imfoloko ... ngakho manje sawubona Little RUDE Pie Company.,imfoloko,neutral
321,"Ukudla kuhle ngokumangalisayo, futhi ukuhlobisa kumnandi.",decor,positive
325,"Ukudla kuhle ngokumangalisayo, futhi ukuhlobisa kumnandi.",ukudla,positive
329,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",amaklayenti,negative
333,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",bartenders,negative
337,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",ikhwalithi yokudla,positive
339,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",service,negative
343,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",abasebenzi,negative
347,Isibindi se-Yellowfin Tuna ne-Calf yizintandokazi zami!,Yellowfin Tuna,positive
350,Isibindi se-Yellowfin Tuna ne-Calf yizintandokazi zami!,Isibindi sethole,positive
353,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu ene-tacos yenkukhu esabekayo ne-Hibiscus lemonade.",Hibiscus lemonade,positive
357,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu ene-tacos yenkukhu esabekayo ne-Hibiscus lemonade.",indawo,positive
361,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu ene-tacos yenkukhu esabekayo ne-Hibiscus lemonade.",inkukhu tacos,positive
365,"Innovations nje njengoba kuqinisekisiwe, kusukela elula Carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce.",i-caviar-topped sturgeon,positive
367,"Innovations nje njengoba kuqinisekisiwe, kusukela elula Carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce.",isipinashi oluhlaza-vodka sauce,positive
371,"Innovations nje njengoba kuqinisekisiwe, kusukela elula Carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce.",Carinthia ushizi ravioli nge amakhowe zasendle,positive
375,"Amamenyu abonisa ukukhethwa kwesizini, njenge-sweet corn-foe gras brulee.",sweet corn-foie gras brulee,neutral
377,"Amamenyu abonisa ukukhethwa kwesizini, njenge-sweet corn-foe gras brulee.",Amamenyu,neutral
380,LE NSIZAKALO IPHELELE KAKHULU AKUKHO LUTHO OLUBI KULE NDAWO YOKUDLELA YASE-ITALY / YASEFRANCE,SERVICE,positive
383,I-foe gras yayimnandi futhi i-luscious.,foe gras,positive
386,"I-duck confitte yami ye-gf yayiqinile kakhulu futhi, nakuba i inesisekelo esincane sokubhekisela.",duck confitte,positive
389,"abasebenzi ukulinda friendly kakhulu, uma yakho hhayi rude noma picky....... isidlo sethu eLeon ngempelasonto edlule sasikhulu -.",linda abasebenzi,positive
393,"abasebenzi ukulinda friendly kakhulu, uma yakho hhayi rude noma picky....... isidlo sethu eLeon ngempelasonto edlule sasikhulu -.",isidlo,positive
397,Ngincoma noma yiziphi izitsha zabo ze-salmon......,izitsha ze-salmon,positive
400,Ukudla okukhulu kodwa inkonzo yayisabekayo!,service,negative
404,Ukudla okukhulu kodwa inkonzo yayisabekayo!,ukudla,positive
408,ama-waitress amabili ayebukeka sengathi abelokhu ephuza ama-lemons.,waitress's,negative
410,Inkonzo yayihamba kancane ngokwesabekayo (indawo yayigcwele isigamu kuphela) futhi ukumamatheka bekuyoba mnandi ...,service,negative
413,"Ngezikhathi eziphezulu, indawo yokudlela igcwele ngokweqile futhi amatafula asondele ngokungakhululekile.",amatafula,negative
416,"Uma ulapha njengokudla kwangaphambi kombukiso, hop in a cab futhi uthathe imizuzu eyengeziwe ye-10 ukuya endaweni ephezulu yedolobha.",isidlo sangaphambi kombukiso,neutral
418,"Kuyinto nje yonke... ukudla, umkhathi... i-hostess enomusa nomusa futhi enomusa.",umkhathi,positive
420,"Kuyinto nje yonke... ukudla, umkhathi... i-hostess enomusa nomusa futhi enomusa.",hostess,positive
423,"Kuyinto nje yonke... ukudla, umkhathi... i-hostess enomusa nomusa futhi enomusa.",ukudla,positive
425,"I-ambiance yayilungile, izwakala kancane kodwa isemnandi futhi ithandana.",ambiance,positive
428,"Nokho, njengoba sasidla, saphoxeka ngokuphelele ngokudla.",ukudla,negative
431,"Ngincoma i-codfish emnyama eyosiwe, kwakuyisidlo esihle kakhulu kusihlwa.",i-codfish emnyama eyosiwe,positive
434,"Ngincoma i-codfish emnyama eyosiwe, kwakuyisidlo esihle kakhulu kusihlwa.",isidlo,positive
437,I had a delicious shrimp creole.,shrimp creole,positive
440,Isidlo sakusihlwa senkukhu sasihle ngempela.,inkukhu dinner,positive
443,kodwa ukudla kwakumnandi.,ukudla,positive
446,Isikhala siyindabuko ngokuzizwa.,isikhala,neutral
449,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,imenyu ye-bistro,neutral
453,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,inkosi crab isaladi nge inkanuko izithelo vinaigrette,positive
457,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,izitsha,positive
461,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,i-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce,positive
465,Ama-dessert aseMontparnasse-ikakhulukazi i-silken crème brulee kanye ne-paper-thin apple tart-zinhle ngokwanele ngokwazo ukwenza indawo yokudlela efanele uhambo.,ama-dessert,positive
469,Ama-dessert aseMontparnasse-ikakhulukazi i-silken crème brulee kanye ne-paper-thin apple tart-zinhle ngokwanele ngokwazo ukwenza indawo yokudlela efanele uhambo.,apula tart,positive
473,Ama-dessert aseMontparnasse-ikakhulukazi i-silken crème brulee kanye ne-paper-thin apple tart-zinhle ngokwanele ngokwazo ukwenza indawo yokudlela efanele uhambo.,crème brulee,positive
477,Ube nokudla okukhulu khona kule mpelasonto ngaphambi kokuya kumabhayisikobho!,isidlo,positive
480,Kwase kuyisikhathi futhi ngakhohlwa nje ukuthi ama-crepes amnandi kangakanani.,crepes,positive
483,Ukudla-nakuba ikakhulukazi okujulile-okuthosiwe-kulula futhi kuyanelisa.,ukudla,positive
486,Ama-dieters anamathela kumasaladi noma azitika ngoqwembe lemifino.,amasaladi,positive
488,Ama-dieters anamathela kumasaladi noma azitika ngoqwembe lemifino.,izingqwembe zemifino,positive
490,"Ama-appetizers akhilimu--i-taramasalata, isaladi lesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu lapho i-pitas efudumele.",taramasalata,positive
494,"Ama-appetizers akhilimu--i-taramasalata, isaladi lesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu lapho i-pitas efudumele.",Ama-appetizers akhilimu,positive
498,"Ama-appetizers akhilimu--i-taramasalata, isaladi lesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu lapho i-pitas efudumele.","I-yogurt yesiGreki (nge-cuccumber, i-dill, ne-garlic)",positive
500,"Ama-appetizers akhilimu--i-taramasalata, isaladi lesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu lapho i-pitas efudumele.",pitas efudumele,neutral
504,"Ama-appetizers akhilimu--i-taramasalata, isaladi lesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu lapho i-pitas efudumele.",isaladi lesitshalo seqanda,positive
508,ngoba abaphathi badinga ukulungiswa okukhulu kwe-ATTITUE.,waiters,negative
510,Ama-waiters AHLALA ebukeka ethukuthele futhi ngisho nokunganaki abavamile babo abaphezulu.,waiters,negative
513,"izikhathi eziningana futhi ubekezelele isimilo esibi sabalindi, bazi ukuthi umsebenzi wabo awulula.",waiters,negative
516,"Ekugcineni, ngagula ngenkonzo embi, ama-smirks acasulayo, kanye nenkulumo yangemuva ye-snotty.",service,negative
519,"Kuyinto yendabuko, ukudla okulula kwe-italy.",ukudla italian,positive
522,"Ukudla okuhle nje, akukho okunye futhi yilokho kuphela esikufunayo!",ukudla,positive
525,"Uhlu lwewayini lukhulu, lunentengo enhle futhi luhlanganisa izifunda eziningi.",uhlu lwewayini,positive
529,"Uhlu lwewayini lukhulu, lunentengo enhle futhi luhlanganisa izifunda eziningi.",ontengo yakhe yaphansi,positive
533,ukudla okuhle iwayini elihle yilokho.,iwayini,positive
537,ukudla okuhle iwayini elihle yilokho.,ukudla,positive
541,"Ngiyakuthanda ukulula nokuhlonipha okwakunikezwa ukudla, kanye nabasebenzi babenobungane futhi bazi.",abasebenzi,positive
