,am,aspect,polarities
52,"አዲሱ ሜኑ ጥቂት የፈጠራ እቃዎች አሉት, አንዳንድ አሮጌ የሚወዷቸውን ነገሮች (ነገር ግን ዋጋቸውን ከፍ ከፍ ለማድረግ በቂ ነበሩ), ሠራተኞቹ አብዛኛውን ጊዜ ወዳጃዊ ናቸው, ነገር ግን ስለሚወዷቸው ቃላቶች ከጻፈው ሰው ጋር መስማማት አለብኝ ምንም, አይችሉም, ይቅርታ..., ልጅ, ለማንም ደንቦቹን አይጎነጨፉም.",አዲስ ሜኑ,positive
56,አብዛኛውን ጊዜ አንድ የቬትናም የበሬ ኑደል ሾርባ እሰጣለሁ ።,የቬትናም የበሬ ኑደል ሾርባ,neutral
58,እዚህ የሚኖሩት ዳክዬዎቻቸውም በጣም ጣፋጭ ናቸው።,ዳክዬ,positive
61,ጉርሜት ምግቦችን በፍጥነት መመገብ ትችላለህ ።,ምግብ,positive
64,ጉርሜት ምግቦችን በፍጥነት መመገብ ትችላለህ ።,ዋጋ,positive
66,ምሽት ላይ የከባቢ ውሃ ይለዋወጣል። ይህ የተደበቀ ጌጥ ይለዋወጣል።,atmoshere,positive
69,ቡቲክ የሚመረጠው የወይን ጠጅ ምንም ዓይነት ጫና ሳይደረግበት የተለያዩ ዓይነቶችን ይሸፍናል ።,ቡቲክ የወይን ጠጅ ምርጫ,neutral
72,ፒሳዎች ከምቾቶችና ከዋና ዋና ኮርሶች በተጨማሪ በጣም ጥሩ ነበሩ።,ዋና ኮርሶች,positive
74,ፒሳዎች ከምቾቶችና ከዋና ዋና ኮርሶች በተጨማሪ በጣም ጥሩ ነበሩ።,ቅመማ ቅመማ,positive
76,ፒሳዎች ከምቾቶችና ከዋና ዋና ኮርሶች በተጨማሪ በጣም ጥሩ ነበሩ።,ፒሳ,positive
79,ካላማሪን ፣ ማንኛውንም ፓስታ ሌላው ቀርቶ ስቴክ ኢንትሬን ለመሞከር ሞክር ።,ካላማሪ,positive
82,ካላማሪን ፣ ማንኛውንም ፓስታ ሌላው ቀርቶ ስቴክ ኢንትሬን ለመሞከር ሞክር ።,ፓስታ,positive
85,ካላማሪን ፣ ማንኛውንም ፓስታ ሌላው ቀርቶ ስቴክ ኢንትሬን ለመሞከር ሞክር ።,የተቆራረጠ ስቴክ entrée,positive
88,ከጥንት ጀምሮ ወዳጃዊ ስሜት ያላቸው ሠራተኞች ያነጋግሩን የነበረ ሲሆን በቼልሲ ፒርስ የነበረው የመኪና ማቆሚያ ጀልባው ላይ ለመድረስ ቀላል እንዲሆንልን አድርጓል።,የመኪና ማቆሚያ,positive
92,ከጥንት ጀምሮ ወዳጃዊ ስሜት ያላቸው ሠራተኞች ያነጋግሩን የነበረ ሲሆን በቼልሲ ፒርስ የነበረው የመኪና ማቆሚያ ጀልባው ላይ ለመድረስ ቀላል እንዲሆንልን አድርጓል።,የሠራተኞች ሜሜበር,positive
96,አንድ ጊዜ በመርከብ ከሄድን በኋላ በጣም ታዋቂ የሆኑት ምግቦችና መዝናኛዎች ፈጽሞ የማይረሳ ምሽት ላይ ሸጡን።,የቀጥታ መዝናኛ,positive
99,አንድ ጊዜ በመርከብ ከሄድን በኋላ በጣም ታዋቂ የሆኑት ምግቦችና መዝናኛዎች ፈጽሞ የማይረሳ ምሽት ላይ ሸጡን።,ምግብ,positive
102,በማንኛውም ጊዜና በአካባቢዬ ስሆን ወደ ሱሺ ሮዝ በመሄድ ትኩስ ሱሺ እና ብዙ ምግብ በተመጣጣኝ ዋጋ እሰጣለሁ።,የተወሰኑ ክፍሎች,positive
106,በማንኛውም ጊዜና በአካባቢዬ ስሆን ወደ ሱሺ ሮዝ በመሄድ ትኩስ ሱሺ እና ብዙ ምግብ በተመጣጣኝ ዋጋ እሰጣለሁ።,ዋጋ,positive
110,በማንኛውም ጊዜና በአካባቢዬ ስሆን ወደ ሱሺ ሮዝ በመሄድ ትኩስ ሱሺ እና ብዙ ምግብ በተመጣጣኝ ዋጋ እሰጣለሁ።,ሱሺ,positive
114,የእንጉዳይ ገብስ ሾርባ በጣም የሚያስደንቅ ነው።,የእንጉዳይ ገብስ ሾርባ,positive
117,ዓርብ ዕለት እዚህ እራት የበላሁ ሲሆን ምግቡም በጣም አስደሳች ነበር ።,እራት,neutral
119,ዓርብ ዕለት እዚህ እራት የበላሁ ሲሆን ምግቡም በጣም አስደሳች ነበር ።,ምግብ,positive
122,እራት ከበላሁ በኋላ ሙዚቃ ሲጫወት ሰማሁና ፎቅ ላይ አንድ ሳሎን እንዳለ ተገነዘብኩ ።,ሙዚቃ,neutral
124,እራት ከበላሁ በኋላ ሙዚቃ ሲጫወት ሰማሁና ፎቅ ላይ አንድ ሳሎን እንዳለ ተገነዘብኩ ።,እራት,neutral
126,እራት ከበላሁ በኋላ ሙዚቃ ሲጫወት ሰማሁና ፎቅ ላይ አንድ ሳሎን እንዳለ ተገነዘብኩ ።,ሳሎን,neutral
128,ምግቡ ጥሩ ነበር፣ አገልግሎቱ ንፋስ ነበር፣ ዋጋውም በጣም ምክንያታዊ ነበር። ,አገልግሎት,positive
132,ምግቡ ጥሩ ነበር፣ አገልግሎቱ ንፋስ ነበር፣ ዋጋውም በጣም ምክንያታዊ ነበር። ,ዋጋ,positive
136,ምግቡ ጥሩ ነበር፣ አገልግሎቱ ንፋስ ነበር፣ ዋጋውም በጣም ምክንያታዊ ነበር። ,ምግብ,positive
140,የፓስታ ፕሪማቬራ በጣም አስደናቂ ከመሆኑም በላይ ብዙ ትኩስ የአትክልቶች ዝርያዎችም ነበሩ።,አዲስ የተንደላቀቀ,positive
144,የፓስታ ፕሪማቬራ በጣም አስደናቂ ከመሆኑም በላይ ብዙ ትኩስ የአትክልቶች ዝርያዎችም ነበሩ።,ፓስታ ፕሪማቬራ,positive
148,"በሚያሳዝን ሁኔታ, የእኛን ትርዒት ቲኬቶች, ምንም ጣፋጭ ምግብ ናሙና ለመውሰድ ጊዜ አልነበረንም.",ጣፋጭ ምግብ,neutral
150,ጎረቤት ከሆንክ ለታላቅ ምግብ አጠገቡ እንደምትመጣ ምንም ጥርጥር የለውም።,ምግብ,positive
153,ከአንድ ሰዓት በላይ ስትጠብቅ ከ20-30 ደቂቃ እንደሚፈጀው ሲነግሩህ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስልህ ለባርኔቱ ነግሮት ያውቃል?,ይጠብቅ,negative
155,ከአንድ ሰዓት በላይ ስትጠብቅ ከ20-30 ደቂቃ እንደሚፈጀው ሲነግሩህ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስልህ ለባርኔቱ ነግሮት ያውቃል?,ባርቴንደር,neutral
157,ከአንድ ሰዓት በላይ ስትጠብቅ ከ20-30 ደቂቃ እንደሚፈጀው ሲነግሩህ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስልህ ለባርኔቱ ነግሮት ያውቃል?,ሥራ አስኪያጅ,negative
159,ከአንድ ሰዓት በላይ ስትጠብቅ ከ20-30 ደቂቃ እንደሚፈጀው ሲነግሩህ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስልህ ለባርኔቱ ነግሮት ያውቃል?,መጠጦች,neutral
161,ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅና አክብሮት በጎደለው አንድ ባርቴንደር ምክንያት ሲሆን ይህ ሰው 20 ደቂቃ እንድንጠጣ ካደረገናን በኋላ እንድንቀዘቅዝ ነገረን ።,ሥራ አስኪያጅ,negative
165,ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅና አክብሮት በጎደለው አንድ ባርቴንደር ምክንያት ሲሆን ይህ ሰው 20 ደቂቃ እንድንጠጣ ካደረገናን በኋላ እንድንቀዘቅዝ ነገረን ።,ባርቴንደር,negative
169,ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅና አክብሮት በጎደለው አንድ ባርቴንደር ምክንያት ሲሆን ይህ ሰው 20 ደቂቃ እንድንጠጣ ካደረገናን በኋላ እንድንቀዘቅዝ ነገረን ።,መጠባበቂያ,negative
173,ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅና አክብሮት በጎደለው አንድ ባርቴንደር ምክንያት ሲሆን ይህ ሰው 20 ደቂቃ እንድንጠጣ ካደረገናን በኋላ እንድንቀዘቅዝ ነገረን ።,መጠጦች,neutral
177,ፈጽሞ አትጨነቁ - መጠጦቹ አስፈሪ ነበሩ ፣ ነገር ግን ይህንን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ነበሩ ።,መጠጦች,negative
181,ፈጽሞ አትጨነቁ - መጠጦቹ አስፈሪ ነበሩ ፣ ነገር ግን ይህንን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ነበሩ ።,ማዕድ,negative
185,ፈጽሞ አትጨነቁ - መጠጦቹ አስፈሪ ነበሩ ፣ ነገር ግን ይህንን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ነበሩ ።,ሰዎች,negative
189,በዚያ የሚሠራ ሁሉ (አስተናጋጅ፣ ባርቴንደር፣ ሰርቨሮች) በጣም ይረዳል።,አስተናጋጅ,positive
192,በዚያ የሚሠራ ሁሉ (አስተናጋጅ፣ ባርቴንደር፣ ሰርቨሮች) በጣም ይረዳል።,ባርቴንደር,positive
195,በዚያ የሚሠራ ሁሉ (አስተናጋጅ፣ ባርቴንደር፣ ሰርቨሮች) በጣም ይረዳል።,ሰርቨሮች,positive
198,ምግቡም በጣም አስደናቂ ነው።,ምግብ,positive
201,በጣም የሚወዱት የሚከተሉት ናቸው - ድንች ስፒናች ግኖኪ እና ጠቦት።,የበግ ጠቦት,positive
204,በጣም የሚወዱት የሚከተሉት ናቸው - ድንች ስፒናች ግኖኪ እና ጠቦት።,ድንች ስፒናች ግኖኪ,positive
207,ግማሽ ዶሮ በተራራ ሩዝና ባቄላ በ6.25 ብር።,ሩዝ,neutral
209,ግማሽ ዶሮ በተራራ ሩዝና ባቄላ በ6.25 ብር።,ዶሮ,neutral
211,ግማሽ ዶሮ በተራራ ሩዝና ባቄላ በ6.25 ብር።,ባቄላ,neutral
213,አገልግሎቱ በጣም ግሩም ከመሆኑም በላይ ያለ አየር ሁልጊዜ ትምህርት ሰጪ ነው ።,አገልግሎት,positive
216,በእርግጥ እመለሳለሁ-- በጥቁር ሰሌዳ ላይ ካሉት ለየት ያሉ ማርቲኒዎች መካከል ለአንዳንዶቹ ቢሆን ኖሮ።,ማርቲኒስ,positive
219,የ AC እጥረት እና አንድ ሚሊዮን የህወሓት አካላት መኖራቸው (ሁሉም ሰው ትህትና ያለው እና ማንም የሚገፋው ባይሆንም) ትንሽ ማጥፋት ነው.,የ AC,negative
222,ይሁን እንጂ ከቤት ውጭ መሆን፣ በታላቅ የዓለማቀፍ አቀማመጥ፣ ወደዚህ ቦታ መሄድ የሚያስቆጭ የአልኮል መጠጥ በመጠጣት ረገድ በጣም የሚያስደስት ነገር አለ።,ቦታ,positive
224,ይሁን እንጂ ከቤት ውጭ መሆን፣ በታላቅ የዓለማቀፍ አቀማመጥ፣ ወደዚህ ቦታ መሄድ የሚያስቆጭ የአልኮል መጠጥ በመጠጣት ረገድ በጣም የሚያስደስት ነገር አለ።,ከቤት ውጭ,positive
228,ይሁን እንጂ ከቤት ውጭ መሆን፣ በታላቅ የዓለማቀፍ አቀማመጥ፣ ወደዚህ ቦታ መሄድ የሚያስቆጭ የአልኮል መጠጥ በመጠጣት ረገድ በጣም የሚያስደስት ነገር አለ።,ተራ መጠጥ,positive
232,ሐሳብ መስጠት ስላቃተኝ ምግብ ለማግኘት ወደዚያ አልሄድኩም።,ምግብ,neutral
234,አንድ ማጭበርበር ቀስ በቀስ የባር አገልግሎት ነበር።,ባር አገልግሎት,negative
237,እኔና ጓደኞቼ የኪፕስ ቤይ የፊልም ቲያትር ቤት ከመምጣቴ በፊት ፒሳ ለመግጠም እዚህ ቆምን።,ፒሳ,neutral
239,ፒሳውን ሁልጊዜ እናስደስታለን።,ፒሳ,positive
242,አገልግሎቱ በጣም ጥሩ ነው።,አገልግሎት,positive
245,"ሁለት ቅሬታዎች- የምግብ ምርጫቸው ሽሙጥ, ሜኑ ላይ አንዳንድ mozzarella እንጨቶች ማግኘት ጥሩ ነው.",ሞዛሬላ እንጨቶች,neutral
247,"ሁለት ቅሬታዎች- የምግብ ምርጫቸው ሽሙጥ, ሜኑ ላይ አንዳንድ mozzarella እንጨቶች ማግኘት ጥሩ ነው.",ሜኑ,negative
249,"ሁለት ቅሬታዎች- የምግብ ምርጫቸው ሽሙጥ, ሜኑ ላይ አንዳንድ mozzarella እንጨቶች ማግኘት ጥሩ ነው.",የቅመማ ቅመማ ምርጫ,negative
252,ማራኪ ያልሆነው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- እና ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,ዲስኮ ፖፕ ዱዮ,negative
256,ማራኪ ያልሆነው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- እና ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,መብራት,negative
260,ማራኪ ያልሆነው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- እና ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,ኤስካርጎት,negative
262,ማራኪ ያልሆነው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- እና ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,ምግብ,negative
266,ከዚህ በፊት በህይወቴ ምግብ መልሼ አልላክሁም ፤ ሆኖም እንዲህ ማድረግ ነበረብኝ ፤ አስተናጋጁም በዚህ ጉዳይ ላይ ተከራከረልኝ ።,አስተናጋጅ,negative
268,ከዚህ በፊት በህይወቴ ምግብ መልሼ አልላክሁም ፤ ሆኖም እንዲህ ማድረግ ነበረብኝ ፤ አስተናጋጁም በዚህ ጉዳይ ላይ ተከራከረልኝ ።,ምግብ,negative
270,"አገልግሎቱ ታላቅ ነው, የእኔ ሾርባ ሁሌም ጥሩ እና ትኩስ ይደርሳል.",ሾርባ,positive
273,"አገልግሎቱ ታላቅ ነው, የእኔ ሾርባ ሁሌም ጥሩ እና ትኩስ ይደርሳል.",አገልግሎት,positive
276,ብቸኛው ቅሬታዬ የሀብት ኩኪዎች ሊሆን ይችላል - ካርን ከመጎብኘቴ በፊት ኩኪ መጥፎ ዕድል እንደሚተነብየኝ ተናግሬ አላውቅም ።,ኩኪ,negative
278,ብቸኛው ቅሬታዬ የሀብት ኩኪዎች ሊሆን ይችላል - ካርን ከመጎብኘቴ በፊት ኩኪ መጥፎ ዕድል እንደሚተነብየኝ ተናግሬ አላውቅም ።,የጥንቆላ ኩኪዎች,negative
281,"መሰረታዊ የፒዛ መገጣጠሚያ ነው, ብዙ ለመመልከት አይደለም, ነገር ግን እኔ የምሄደው ፒዛ ነው.",ፒሳ,positive
284,ስጋው ደስ የሚያሰኝና ጣዕም ያለው ከመሆኑም በላይ ፍሬው ጥሩና የተንቆጠቆጠ ነው።,የሸርጣን,positive
288,ስጋው ደስ የሚያሰኝና ጣዕም ያለው ከመሆኑም በላይ ፍሬው ጥሩና የተንቆጠቆጠ ነው።,ስጋ,positive
292,በተመሳሳይም በጣም ስስ የሸርጣን ወይም ትልቅ ቁርጥራጭ የምትወዱ ከሆነ ኒክ እና ጆ የምትወዱት ላይሆኑ ይችላሉ።,ስስ ፍርፍር,negative
294,በተመሳሳይም በጣም ስስ የሸርጣን ወይም ትልቅ ቁርጥራጭ የምትወዱ ከሆነ ኒክ እና ጆ የምትወዱት ላይሆኑ ይችላሉ።,ቆራረጣዎች,negative
296,የምግብ ምርጫ በጣም ግሩም ነው (በምግብ ቤቶች ውስጥ ብዙ ምርጫ ለማድረግ አልለመድኩም)፣ እናም ከባቢ አየር በጣም ጥሩ ነው።,ከባቢ አየር,positive
300,የምግብ ምርጫ በጣም ግሩም ነው (በምግብ ቤቶች ውስጥ ብዙ ምርጫ ለማድረግ አልለመድኩም)፣ እናም ከባቢ አየር በጣም ጥሩ ነው።,የምግብ ምርጫ,positive
304,በየወቅቱ የሚለዋወጠዉ ሜኑ አካባቢያዊም ሆነ ዓለም አቀፍ ተጽእኖዎችን ያሳያል።,ሜኑ,neutral
307,ሊትል ፒ ኩባንያን እንደ ማንኛውም ሰው ሁሉ እወደዋለሁ፣ ነገር ግን ከሁለት የሽያጭ ሰዎች በሚሰጡት የሩድ አገልግሎት ምክንያት ማንኛውንም ሰው ግራንድ ሴንትራል ቦታውን እንዳይጎበኝ መከልከል አለብኝ።,የሽያጭ ሰዎች,negative
310,ሊትል ፒ ኩባንያን እንደ ማንኛውም ሰው ሁሉ እወደዋለሁ፣ ነገር ግን ከሁለት የሽያጭ ሰዎች በሚሰጡት የሩድ አገልግሎት ምክንያት ማንኛውንም ሰው ግራንድ ሴንትራል ቦታውን እንዳይጎበኝ መከልከል አለብኝ።,አገልግሎት,negative
313,የገዛሁትን ገንዘብ ከከፈልኩ በኋላ የምበላበትን ዕቃ እንዳልሰጡኝ አስተዋልኩ።,ፓይ,neutral
315,የገዛሁትን ገንዘብ ከከፈልኩ በኋላ የምበላበትን ዕቃ እንዳልሰጡኝ አስተዋልኩ።,መገልገያዎች,neutral
317,ለሹካ ሶስተኛ ሰራተኛ ባንዲራ መጣል ነበረብኝ... ስለዚህ አሁን ተሰናብቶታል ሊትል ሩድ ፒ ኩባንያ።,ሠራተኞች,neutral
319,ለሹካ ሶስተኛ ሰራተኛ ባንዲራ መጣል ነበረብኝ... ስለዚህ አሁን ተሰናብቶታል ሊትል ሩድ ፒ ኩባንያ።,ፎርክ,neutral
321,ምግቡ በጣም ጥሩ ነው፤ ጌጣጌጠኑም ጥሩ ነው።,décor,positive
325,ምግቡ በጣም ጥሩ ነው፤ ጌጣጌጠኑም ጥሩ ነው።,ምግብ,positive
329,አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በታች አንድ ወይም ሁለት ፔግ ነው። ደንበኞቹም በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭነው የሚጭኑ ናፋቂና ጮክ ብለው የሚጓዙ (ይህ ከሰራተኞቹ ላይ ያለውን መጥፎ ዝንባሌ ሊያስረዳ ይችላል) ናቸው።,ደንበኛ,negative
333,አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በታች አንድ ወይም ሁለት ፔግ ነው። ደንበኞቹም በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭነው የሚጭኑ ናፋቂና ጮክ ብለው የሚጓዙ (ይህ ከሰራተኞቹ ላይ ያለውን መጥፎ ዝንባሌ ሊያስረዳ ይችላል) ናቸው።,ባርቴንደር,negative
337,አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በታች አንድ ወይም ሁለት ፔግ ነው። ደንበኞቹም በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭነው የሚጭኑ ናፋቂና ጮክ ብለው የሚጓዙ (ይህ ከሰራተኞቹ ላይ ያለውን መጥፎ ዝንባሌ ሊያስረዳ ይችላል) ናቸው።,የምግብ ጥራት,positive
339,አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በታች አንድ ወይም ሁለት ፔግ ነው። ደንበኞቹም በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭነው የሚጭኑ ናፋቂና ጮክ ብለው የሚጓዙ (ይህ ከሰራተኞቹ ላይ ያለውን መጥፎ ዝንባሌ ሊያስረዳ ይችላል) ናቸው።,አገልግሎት,negative
343,አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በታች አንድ ወይም ሁለት ፔግ ነው። ደንበኞቹም በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭነው የሚጭኑ ናፋቂና ጮክ ብለው የሚጓዙ (ይህ ከሰራተኞቹ ላይ ያለውን መጥፎ ዝንባሌ ሊያስረዳ ይችላል) ናቸው።,በትር,negative
347,የሕወሓት ቱና እና የጥጃ ጉበቴ የምወዳቸው ናቸው!,ይሎውፊን ቱና,positive
350,የሕወሓት ቱና እና የጥጃ ጉበቴ የምወዳቸው ናቸው!,የጥጃ ጉበት,positive
353,በእማኝ ዳኝነት ስራ ላይ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና ይህችን ታላቅ ትንሽ ቦታ በአስደናቂ የዶሮ ታኮ እና በሂቢስከስ ሎሚ አገኘሁት።,ሂቢስከስ ሎሚ,positive
357,በእማኝ ዳኝነት ስራ ላይ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና ይህችን ታላቅ ትንሽ ቦታ በአስደናቂ የዶሮ ታኮ እና በሂቢስከስ ሎሚ አገኘሁት።,ቦታ,positive
361,በእማኝ ዳኝነት ስራ ላይ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና ይህችን ታላቅ ትንሽ ቦታ በአስደናቂ የዶሮ ታኮ እና በሂቢስከስ ሎሚ አገኘሁት።,የዶሮ ታኮዎች,positive
365,ከካሪንቲያ አይብ ራቪዮሊ ከዱር እንጉዳዮች ጋር አንስቶ በካቪየር አናት ላይ እስከሚገኘው ስተራርጌን ድረስ ደማቅ አረንጓዴ ከሆነው የስፒናች ቮድካ ስጎ ጋር ውብ በሆነ መንገድ ተወዳድሮ መሥራት እንደሚቻል የተረጋገጠ ነው።,ካቪየር-አናት ያለው ስተርጅን,positive
367,ከካሪንቲያ አይብ ራቪዮሊ ከዱር እንጉዳዮች ጋር አንስቶ በካቪየር አናት ላይ እስከሚገኘው ስተራርጌን ድረስ ደማቅ አረንጓዴ ከሆነው የስፒናች ቮድካ ስጎ ጋር ውብ በሆነ መንገድ ተወዳድሮ መሥራት እንደሚቻል የተረጋገጠ ነው።,አረንጓዴ ስፒናች-ቮድካ ስጋ,positive
371,ከካሪንቲያ አይብ ራቪዮሊ ከዱር እንጉዳዮች ጋር አንስቶ በካቪየር አናት ላይ እስከሚገኘው ስተራርጌን ድረስ ደማቅ አረንጓዴ ከሆነው የስፒናች ቮድካ ስጎ ጋር ውብ በሆነ መንገድ ተወዳድሮ መሥራት እንደሚቻል የተረጋገጠ ነው።,ካሪንቲያ ቺዝ ራቪዮሊ ከዱር እንጉዳይ ጋር,positive
375,ሜኑስ እንደ ጣፋጭ የበቆሎ ፎይ ግራስ ብሩሊ ያሉ በየወቅቱ የሚመረጡ ምርጦች አሉት።,ጣፋጭ የበቆሎ-ፎይ ግራስ brulee,neutral
377,ሜኑስ እንደ ጣፋጭ የበቆሎ ፎይ ግራስ ብሩሊ ያሉ በየወቅቱ የሚመረጡ ምርጦች አሉት።,ሜኑስ,neutral
