,ln,aspect,polarities
52,"Menyu ya sika eza na mwa biloko ya bozalisi,ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (kasi batombolaki talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: Te, nakoki te, mawa..., mwana, bakogumba mibeko te mpona moto nyonso.",menu ya sika,positive
56,Vietnamien noodle soup.,Supu ya ngombe ya Vietnamien,neutral
58,Awa libata na bango mpe ezali mpenza kitoko.,Libata,positive
61,Okoki kolya bilei ya gourmet na ntalo ya bilei ya noki.,bilei,positive
64,Okoki kolya bilei ya gourmet na ntalo ya bilei ya noki.,talo,positive
66,"Na butu, mbongwana ya atmoshere ebongwanaka biju oyo ebombami oyo ezali kozela mpo na koyeba yango.",atmoshere,positive
69,Kopona ya boutique ya vinyo ezipaka biloko ndenge na ndenge kozanga ete moto atya yango.,Boutique Boutique Boutique,neutral
72,Pizzas ezalaki malamu mingi longola biloko ya kosalela mpe mateya ya minene.,Main Cours,positive
74,Pizzas ezalaki malamu mingi longola biloko ya kosalela mpe mateya ya minene.,appetizers,positive
76,Pizzas ezalaki malamu mingi longola biloko ya kosalela mpe mateya ya minene.,Pizzas,positive
79,"Meka mpenza calamari, pasta nyonso, to mpe Sliced steak entrée.",calamari,positive
82,"Meka mpenza calamari, pasta nyonso, to mpe Sliced steak entrée.",MAKARONI,positive
85,"Meka mpenza calamari, pasta nyonso, to mpe Sliced steak entrée.",Steak Ebi Combo,positive
88,"Banda na ebandeli, tokutanaki na ba memebers ya bato ya boboto ya mosala, mpe parking ya convienent na Chelsea Piers esalaki ete ezala mpasi te mpo tókóma na masuwa.",parking,positive
92,"Banda na ebandeli, tokutanaki na ba memebers ya bato ya boboto ya mosala, mpe parking ya convienent na Chelsea Piers esalaki ete ezala mpasi te mpo tókóma na masuwa.",Memebers ya staff,positive
96,"Soki tosali mobembo na masuwa, bilei ya likolo mpe kominanola ya bomoi ezalaki koteka biso na mpokwa oyo tokobosana te.",KOMINANOLA NA BOMOI,positive
99,"Soki tosali mobembo na masuwa, bilei ya likolo mpe kominanola ya bomoi ezalaki koteka biso na mpokwa oyo tokobosana te.",bilei,positive
102,Ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na Sushi Rose mpona sushi ya sika mpe biteni ya minene nyonso na ntalo ya malamu.,biteni,positive
106,Ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na Sushi Rose mpona sushi ya sika mpe biteni ya minene nyonso na ntalo ya malamu.,talo,positive
110,Ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na Sushi Rose mpona sushi ya sika mpe biteni ya minene nyonso na ntalo ya malamu.,sushi,positive
114,Supu ya orge ya mayebo ekamwisaka mpenza.,Supu ya orley ya mayebo,positive
117,Bolei ya mpokwa awa na mokolo ya mitano mpe bilei ezalaki malamu mingi.,kolya,neutral
119,Bolei ya mpokwa awa na mokolo ya mitano mpe bilei ezalaki malamu mingi.,bilei,positive
122,"Nsima ya kolya, nayokaki miziki ezali kobɛta mpe namonaki ete salon moko ezali na nse.",Miziki,neutral
124,"Nsima ya kolya, nayokaki miziki ezali kobɛta mpe namonaki ete salon moko ezali na nse.",kolya,neutral
126,"Nsima ya kolya, nayokaki miziki ezali kobɛta mpe namonaki ete salon moko ezali na nse.",Lounge,neutral
128,"Bilei ezalaki malamu, mosala ezalaki kotinda yango na lombangu, mpe ntalo na yango ebongaki mpenza. ",mosala,positive
132,"Bilei ezalaki malamu, mosala ezalaki kotinda yango na lombangu, mpe ntalo na yango ebongaki mpenza. ",talo,positive
136,"Bilei ezalaki malamu, mosala ezalaki kotinda yango na lombangu, mpe ntalo na yango ebongaki mpenza. ",bilei,positive
140,"Primavera ya pasta ezalaki mpe ya kokamwa, ebele ya veggies ya sika.",fresh veggies,positive
144,"Primavera ya pasta ezalaki mpe ya kokamwa, ebele ya veggies ya sika.",PASTA Primavera,positive
148,"Likambo ya mawa, na batike na biso ya kolakisa, tozalaki na ntango te ya komeka dessert nyonso.",desserts,neutral
150,"Soki ozali na quartier, tɛlɛmá mpenza mpo na kolya bilei ya monene.",Kolya,positive
153,"Okondima mokolo mosusu ete ntango ozali komilelalela mpo na kozela na boumeli ya ngonga moko, ntango bakoyebisa yo ekozala miniti 20-30, mokambi ya kompanyi yango alobi na motɛki masanga ete asopa masanga oyo outi kofuta?",Zelá,negative
155,"Okondima mokolo mosusu ete ntango ozali komilelalela mpo na kozela na boumeli ya ngonga moko, ntango bakoyebisa yo ekozala miniti 20-30, mokambi ya kompanyi yango alobi na motɛki masanga ete asopa masanga oyo outi kofuta?",Ɔrtender,neutral
157,"Okondima mokolo mosusu ete ntango ozali komilelalela mpo na kozela na boumeli ya ngonga moko, ntango bakoyebisa yo ekozala miniti 20-30, mokambi ya kompanyi yango alobi na motɛki masanga ete asopa masanga oyo outi kofuta?",Maneja,negative
159,"Okondima mokolo mosusu ete ntango ozali komilelalela mpo na kozela na boumeli ya ngonga moko, ntango bakoyebisa yo ekozala miniti 20-30, mokambi ya kompanyi yango alobi na motɛki masanga ete asopa masanga oyo outi kofuta?",masanga,neutral
161,"Boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga mpe moto moko ya mabe oyo azalaki kotɛka masanga oyo asalaki ete tozela miniti 20 mpo na komela, mpe na nsima ayebisi biso tóbima na malili.",Maneja,negative
165,"Boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga mpe moto moko ya mabe oyo azalaki kotɛka masanga oyo asalaki ete tozela miniti 20 mpo na komela, mpe na nsima ayebisi biso tóbima na malili.",Ɔrtender,negative
169,"Boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga mpe moto moko ya mabe oyo azalaki kotɛka masanga oyo asalaki ete tozela miniti 20 mpo na komela, mpe na nsima ayebisi biso tóbima na malili.",Kozela,negative
173,"Boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga mpe moto moko ya mabe oyo azalaki kotɛka masanga oyo asalaki ete tozela miniti 20 mpo na komela, mpe na nsima ayebisi biso tóbima na malili.",masanga,neutral
177,"Komitungisa ata moke te - masanga ezalaki nsɔmɔ, kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo oyo ezala mpasi mingi na kolya.",masanga,negative
181,"Komitungisa ata moke te - masanga ezalaki nsɔmɔ, kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo oyo ezala mpasi mingi na kolya.",Kolya,negative
185,"Komitungisa ata moke te - masanga ezalaki nsɔmɔ, kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo oyo ezala mpasi mingi na kolya.",Bato,negative
189,"Moto nyonso oyo asalaka kuna (moyambi, moto abongisaka masanga, ba-server) asalisaka mingi.",host,positive
192,"Moto nyonso oyo asalaka kuna (moyambi, moto abongisaka masanga, ba-server) asalisaka mingi.",Ɔrtender,positive
195,"Moto nyonso oyo asalaka kuna (moyambi, moto abongisaka masanga, ba-server) asalisaka mingi.",Servers,positive
198,Mpe bilei yango ezali kitoko mpenza.,bilei,positive
201,Biloko oyo balingaka mingi ezali: gnocchi ya mbálá ya mbálá mpe mwana mpate.,mwana - mpate,positive
204,Biloko oyo balingaka mingi ezali: gnocchi ya mbálá ya mbálá mpe mwana mpate.,Potato gnocchi ya pomme,positive
207,"Ndambo ya nsoso na ngomba ya loso mpe madesu na dolare 6,25.",loso,neutral
209,"Ndambo ya nsoso na ngomba ya loso mpe madesu na dolare 6,25.",soso,neutral
211,"Ndambo ya nsoso na ngomba ya loso mpe madesu na dolare 6,25.",madesu,neutral
213,Mosala yango ezali malamu mingi mpe ezali ntango nyonso koteya kozanga mopɛpɛ.,mosala,positive
216,Nakozonga mpenza -- soki kaka mpo na bamoko ya bamartinis wana ya bapaya na tablo ya blackboard.,martinis,positive
219,Kozanga ya AC mpe likambo oyo ete eza na bibembe milio moko oyo ezopela (ata moto nyonso azali na bonkonde mpe moto moko te azali kopusa ye) eza mwa kobaluka moke.,AC,negative
222,"Kasi, eza kaka na eloko moko ya malamu mpenza na kozala na libanda, na bisika ya malamu ya kobongisa mabele, kosepela na masanga ya bongobongo oyo esalaka ete kokende na esika oyo eza na ntina.",Esika,positive
224,"Kasi, eza kaka na eloko moko ya malamu mpenza na kozala na libanda, na bisika ya malamu ya kobongisa mabele, kosepela na masanga ya bongobongo oyo esalaka ete kokende na esika oyo eza na ntina.",Libanda,positive
228,"Kasi, eza kaka na eloko moko ya malamu mpenza na kozala na libanda, na bisika ya malamu ya kobongisa mabele, kosepela na masanga ya bongobongo oyo esalaka ete kokende na esika oyo eza na ntina.",masanga ya bongobongo,positive
232,Nakendeki kuna te mpona bilei yango wana nakoki koloba te.,bilei,neutral
234,Con moko ezalaki mosala ya slow bar.,mosala bar,negative
237,Ngai ná baninga na ngai totɛlɛmaka awa mpo na kolya pizza liboso ya kobɛta na ndako monene ya bafilme ya Kips Bay.,Pizza,neutral
239,Tosepelaka ntango nyonso na pizza.,Pizza,positive
242,Service ezali bien mpenza.,mosala,positive
245,"Komilela mibale- ba nsolo na bango ya kopona appetizer, ekozala malamu kozwa mwa banzete ya mozzarella na menu.",mozzarella sticks,neutral
247,"Komilela mibale- ba nsolo na bango ya kopona appetizer, ekozala malamu kozwa mwa banzete ya mozzarella na menu.",menu,negative
249,"Komilela mibale- ba nsolo na bango ya kopona appetizer, ekozala malamu kozwa mwa banzete ya mozzarella na menu.",Selection appetizer,negative
252,"Mwinda oyo ezalaki kobenda likebi te esalaki ete nazala na mposa ya gag, bilei elekaki ndelo, ezalaki na disco pop duo ya nsɔmɔ mpenza oyo bazalaki kosala-mpe escargot na ngai emonanaki lokola ekoki kobima na saani.",disco pop duo,negative
256,"Mwinda oyo ezalaki kobenda likebi te esalaki ete nazala na mposa ya gag, bilei elekaki ndelo, ezalaki na disco pop duo ya nsɔmɔ mpenza oyo bazalaki kosala-mpe escargot na ngai emonanaki lokola ekoki kobima na saani.",mwinda,negative
260,"Mwinda oyo ezalaki kobenda likebi te esalaki ete nazala na mposa ya gag, bilei elekaki ndelo, ezalaki na disco pop duo ya nsɔmɔ mpenza oyo bazalaki kosala-mpe escargot na ngai emonanaki lokola ekoki kobima na saani.",Escargot,negative
262,"Mwinda oyo ezalaki kobenda likebi te esalaki ete nazala na mposa ya gag, bilei elekaki ndelo, ezalaki na disco pop duo ya nsɔmɔ mpenza oyo bazalaki kosala-mpe escargot na ngai emonanaki lokola ekoki kobima na saani.",bilei,negative
266,"Natikalá naino te na bomoi na ngai kozongisa bilei liboso, kasi nasengelaki kaka kosala yango, mpe mosali na restora aswanaki na ngai mpo na likambo wana.",Ozateur,negative
268,"Natikalá naino te na bomoi na ngai kozongisa bilei liboso, kasi nasengelaki kaka kosala yango, mpe mosali na restora aswanaki na ngai mpo na likambo wana.",bilei,negative
270,"Mosala yango ezali malamu mpenza, supu na ngai ekómaka ntango nyonso kitoko mpe mɔtɔ.",Supu,positive
273,"Mosala yango ezali malamu mpenza, supu na ngai ekómaka ntango nyonso kitoko mpe mɔtɔ.",mosala,positive
276,Komilela na ngai kaka moko ekoki kozala bisikiti ya fortune - naino te cookie esakolaka makila mabe mpona ngai liboso nakende kotala Kar.,Cookie,negative
278,Komilela na ngai kaka moko ekoki kozala bisikiti ya fortune - naino te cookie esakolaka makila mabe mpona ngai liboso nakende kotala Kar.,fortune cookies,negative
281,"Eza joint ya pizza ya moboko, mingi te ya kotala, kasi pizza eza oyo nazokende.",Pizza,positive
284,Supu yango ezalaka elɛngi mpe elɛngisaka elɛngi mpe nzete yango ezali kitoko mpe ezali kitoko.,crust,positive
288,Supu yango ezalaka elɛngi mpe elɛngisaka elɛngi mpe nzete yango ezali kitoko mpe ezali kitoko.,Supu,positive
292,Ndenge moko soki olingaka mpenza crust ya mike to biteni ya minene mpenza wana mbala mosusu Nick na Joe's ekozala te oyo olingaka mingi.,mwa crust,negative
294,Ndenge moko soki olingaka mpenza crust ya mike to biteni ya minene mpenza wana mbala mosusu Nick na Joe's ekozala te oyo olingaka mingi.,biteni,negative
296,"Kopona bilei eza malamu mpenza (namesana te kozala na liponi mingi na barestora), mpe mopepe eza malamu mingi.",atmosphere,positive
300,"Kopona bilei eza malamu mpenza (namesana te kozala na liponi mingi na barestora), mpe mopepe eza malamu mingi.",Kopona bilei,positive
304,"Menu, oyo ebongwanaka na bileko, elakisaka bopusi ya etuka mpe ya mokili mobimba.",menu,neutral
307,"Nalingaka kompani ya Little Pie ndenge moko na moto mosusu nyonso oyo akomaki botaleli, kasi asengeli kopekisa moto nyonso akende na esika ya Grand Central mpona mosala na bango ya RUDE oyo euti na bato mibale oyo batɛkaka yango.",Bato ya mombongo,negative
310,"Nalingaka kompani ya Little Pie ndenge moko na moto mosusu nyonso oyo akomaki botaleli, kasi asengeli kopekisa moto nyonso akende na esika ya Grand Central mpona mosala na bango ya RUDE oyo euti na bato mibale oyo batɛkaka yango.",mosala,negative
313,"Nsima ya kofuta mbongo mpo na kosomba ngai, namonaki ete bapesaki ngai te bisaleli mpo nakoka kolya pie na ngai.",pie,neutral
315,"Nsima ya kofuta mbongo mpo na kosomba ngai, namonaki ete bapesaki ngai te bisaleli mpo nakoka kolya pie na ngai.",bisaleli,neutral
317,Nasengelaki kotya drapo na moto ya misato ya mosala mpo na fork... Bongo sikoyo eza goodbye Little RUDE Pie Company.,moto ya mosala,neutral
319,Nasengelaki kotya drapo na moto ya misato ya mosala mpo na fork... Bongo sikoyo eza goodbye Little RUDE Pie Company.,FORK,neutral
321,"Bilei yango ezali malamu na ndenge ya kokamwa, mpe décor ezali kitoko.",DEKORE,positive
325,"Bilei yango ezali malamu na ndenge ya kokamwa, mpe décor ezali kitoko.",bilei,positive
329,"Kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ), mpe clientele, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli mabe ya bato ya mosala) kozwa kilo mpona concert ya AC/DC to lisano ya Knicks.",clientele,negative
333,"Kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ), mpe clientele, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli mabe ya bato ya mosala) kozwa kilo mpona concert ya AC/DC to lisano ya Knicks.",Bato oyo basalaka masanga,negative
337,"Kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ), mpe clientele, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli mabe ya bato ya mosala) kozwa kilo mpona concert ya AC/DC to lisano ya Knicks.",Quality ya bilei,positive
339,"Kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ), mpe clientele, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli mabe ya bato ya mosala) kozwa kilo mpona concert ya AC/DC to lisano ya Knicks.",mosala,negative
343,"Kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ), mpe clientele, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli mabe ya bato ya mosala) kozwa kilo mpona concert ya AC/DC to lisano ya Knicks.",Basali,negative
347,Libale ya Yellowfin Tuna mpe Calf ezali oyo nalingaka mingi!,Yellowfin Tuna,positive
350,Libale ya Yellowfin Tuna mpe Calf ezali oyo nalingaka mingi!,Libale ya Calf,positive
353,"Nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala Centre na bopemi na ngai ya midi mpe nakutanaki na mwa esika monene oyo na ba tacos ya nsoso ya nsɔmɔ mpe limonade ya Hibiscus.",Limonene Hibiscus,positive
357,"Nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala Centre na bopemi na ngai ya midi mpe nakutanaki na mwa esika monene oyo na ba tacos ya nsoso ya nsɔmɔ mpe limonade ya Hibiscus.",Esika,positive
361,"Nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala Centre na bopemi na ngai ya midi mpe nakutanaki na mwa esika monene oyo na ba tacos ya nsoso ya nsɔmɔ mpe limonade ya Hibiscus.",Taco ya nsoso,positive
365,"Makambo ya sika eza kaka ndenge bakanisaki, banda na ravioli ya fromage ya Carinthia ya pete oyo eza na mayebo ya zamba kino na sturgeon oyo batyá caviar, ekokani malamu na supu ya spinach-vodka ya pondu makasi.",Sturgeon ya makasi ya caviar,positive
367,"Makambo ya sika eza kaka ndenge bakanisaki, banda na ravioli ya fromage ya Carinthia ya pete oyo eza na mayebo ya zamba kino na sturgeon oyo batyá caviar, ekokani malamu na supu ya spinach-vodka ya pondu makasi.",Sauce vert spinach-vodka,positive
371,"Makambo ya sika eza kaka ndenge bakanisaki, banda na ravioli ya fromage ya Carinthia ya pete oyo eza na mayebo ya zamba kino na sturgeon oyo batyá caviar, ekokani malamu na supu ya spinach-vodka ya pondu makasi.",ravioli ya fromage Carinthia na mayebo ya zamba,positive
375,"Menus ezalaka na ba picks ya eleko, lokola mbuma ya sukali ya masa-foie gras brulee.",bisous corn-foie gras brulee,neutral
377,"Menus ezalaka na ba picks ya eleko, lokola mbuma ya sukali ya masa-foie gras brulee.",Menus,neutral
380,SERVICE EZA YA KOKOKA MPENZA ELOKO MOKO TE YA MABE NA RESTORA OYO YA ITALIE/FRANCE,MOSALA,positive
383,Foie gras ezalaki sukali mpe kitoko.,foie gras,positive
386,"confitte ya libata ya gf na ngai ezalaki makasi mpe, atako nazali na moboko moke ya référence.",Libata confitte,positive
389,"Basali ya kozela bazalaka na boboto mingi, soki ozangi bonkonde to picky....... Bilei na biso na Leon na wikende eleki ezalaki malamu mingi -.",Kozela ya bato ya mosala,positive
393,"Basali ya kozela bazalaka na boboto mingi, soki ozangi bonkonde to picky....... Bilei na biso na Leon na wikende eleki ezalaki malamu mingi -.",Kolya,positive
397,Nazali kolendisa bilei na bango nyonso ya saumon......,Basaani ya salmon,positive
400,"Bilei ya malamu mpenza, kasi mosala yango ezalaki nsɔmɔ!",mosala,negative
404,"Bilei ya malamu mpenza, kasi mosala yango ezalaki nsɔmɔ!",bilei,positive
408,Emonanaki lokola ete bato mibale oyo basalaka na restora yango bazalaki komɛla ndímo - ngayi.,waitress's ya,negative
410,Mosala yango ezalaki malɛmbɛ (esika yango etondaki kaka na ndambo) mpe koseka moke elingaki kozala kitoko...,mosala,negative
413,"Na ntango ya mosala makasi, restora etondi na bato mpe bamesa ezalaka pene ya malamu te.",bamesa,negative
416,"Soki ozali awa lokola bilei ya liboso ya kolakisa, kende na taksi mpe zwá miniti 10 mosusu mpona kokende na esika ya uptown.",Meal pre-show,neutral
418,"Tu es tout mimi... Bilei, Mokambo ... bisous et bonne semaine.",atmosphere,positive
420,"Tu es tout mimi... Bilei, Mokambo ... bisous et bonne semaine.",hostess,positive
423,"Tu es tout mimi... Bilei, Mokambo ... bisous et bonne semaine.",bilei,positive
425,"Ambiance ezalaki malamu, mwa makasi kasi ezalaki kaka kitoko mpe ya bolingo.",ambiance,positive
428,"Nzokande, lokola tozalaki koluka bilei, totungisamaki makasi mpenza mpo na bilei.",bilei,negative
431,"Nazali kolendisa mbisi babengi codfish oyo batumbaka na moindo, ezalaki bilei oyo elekaki kitoko na mpokwa wana.",Mbisi babengi codfish ya kotumba ya moindo,positive
434,"Nazali kolendisa mbisi babengi codfish oyo batumbaka na moindo, ezalaki bilei oyo elekaki kitoko na mpokwa wana.",elubu,positive
437,Nazalaki na creole moko kitoko ya shrimp.,Créole ya shrimp,positive
440,Bolei ya nsoso ezalaki mpenza malamu.,Bolei ya nsoso,positive
443,"Kasi, bilei yango ezalaki elɛngi.",bilei,positive
446,Esika yango ezali ya bonkɔkɔ na ndenge ya kokanisa.,espace,neutral
449,Bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,Bistro menu,neutral
453,Bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,king crab salade na passion fruit vinaigrette,positive
457,Bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,Batela,positive
461,Bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,Fettuccine na mbisi ya mbu ya kotumba na supu ya rosemary-orange,positive
465,Desserts ya Montparnasse--mingimingi crème brulee ya soie mpe tart-ya pomme ya pete--eza malamu na ndenge na bango moko mpona kosala ete restora eza na motuya ya mobembo.,desserts,positive
469,Desserts ya Montparnasse--mingimingi crème brulee ya soie mpe tart-ya pomme ya pete--eza malamu na ndenge na bango moko mpona kosala ete restora eza na motuya ya mobembo.,tarte ya pɔme,positive
473,Desserts ya Montparnasse--mingimingi crème brulee ya soie mpe tart-ya pomme ya pete--eza malamu na ndenge na bango moko mpona kosala ete restora eza na motuya ya mobembo.,Crème Brulee,positive
477,Bolei malamu kuna na wikende oyo liboso ya kokende na bafilme!,Kolya,positive
480,Ezalaki ntango moko te mpe nabosanaki ndenge oyo ba crepes ekoki kozala kitoko.,KOTUMBA,positive
483,Bilei-atako mingimingi ya deep-fried---eza pete mpe epesaka esengo.,bilei,positive
486,Bato oyo bakufaka bakangamaka na ba salade to bamipesaka na biloko ya sukali oyo elyaka banyama.,salade,positive
488,Bato oyo bakufaka bakangamaka na ba salade to bamipesaka na biloko ya sukali oyo elyaka banyama.,Platters ya ndunda,positive
490,"Appetizers--taramasalata, salade ya eggplant, mpe yaourt ya Grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi malamu soki ozali na mabulu ya molunge.",Taramasalata,positive
494,"Appetizers--taramasalata, salade ya eggplant, mpe yaourt ya Grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi malamu soki ozali na mabulu ya molunge.",Creamy appetizers,positive
498,"Appetizers--taramasalata, salade ya eggplant, mpe yaourt ya Grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi malamu soki ozali na mabulu ya molunge.","Yaourt ya Grèce (na concomcombre, aneti, mpe ayi)",positive
500,"Appetizers--taramasalata, salade ya eggplant, mpe yaourt ya Grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi malamu soki ozali na mabulu ya molunge.",Pitas ya molunge,neutral
504,"Appetizers--taramasalata, salade ya eggplant, mpe yaourt ya Grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi malamu soki ozali na mabulu ya molunge.",salade maki,positive
508,mpo bato oyo basalaka na restora baza na mposa ya MBONGWANA MAKASI YA ATTITUE.,Basáli na restora,negative
510,Bato oyo basalaka na restora BAZALAKA ntango nyonso komonana na nkanda mpe babosanaka kutu te bato na bango oyo basalaka mbala na mbala ya makasi.,Basáli na restora,negative
513,"mbala mingi mpe kokanga motema na bizaleli mabe ya bato oyo bazalaki kozela, koyeba ete mosala na bango eza pete te.",Basáli na restora,negative
516,"Na nsuka, nabɛlaki na ntina na losambo ya mabe, nabangaki te, mpe nazongisaki maloba na nnotty.",mosala,negative
519,"Eza bilei ya bonkɔkɔ, ya pete ya italie.",Foods Vietnamien,positive
522,"Eza kaka bilei ya malamu, eloko mosusu te mpe nyonso wana nde tolingi!",bilei,positive
525,"Liste ya vinyo eza monene, eza na ntalo ya malamu mpe ezipaka bituka mingi.",Liste ya vino,positive
529,"Liste ya vinyo eza monene, eza na ntalo ya malamu mpe ezipaka bituka mingi.",talo,positive
533,bisous bon wine c'est ce qu'il ya,Bibenda,positive
537,bisous bon wine c'est ce qu'il ya,bilei,positive
541,"Nalingaka mindɔndɔ mpe limemya oyo bazalaki kopesa na bilei, mpe bato ya mosala bazalaki boboto mpe koyeba bango.",Basali,positive
544,"Nalingaka mindɔndɔ mpe limemya oyo bazalaki kopesa na bilei, mpe bato ya mosala bazalaki boboto mpe koyeba bango.",bilei,positive
547,Bilei ezalaki ya mediocre mpe mosala ezalaki malembe mpenza.,bilei,neutral
551,Bilei ezalaki ya mediocre mpe mosala ezalaki malembe mpenza.,mosala,negative
555,Esɛngaki pene ya ngonga 2 1/2 mpo na kosalela mateya na biso 2.,MATEYA,neutral
557,Esɛngaki pene ya ngonga 2 1/2 mpo na kosalela mateya na biso 2.,Akokisa,negative
559,Tosɛngaki kɔpɔ ya vinyo mpe tosilisaki kolya mpe kofuta mbongo liboso vinyo eyaki.,Kɔpɔ ya vinyo,neutral
561,kiti ya kogumba oyo nafandaki ezalaki malamu te.,kiti ya kogumba,negative
