,so,aspect,polarities
122,Casho ka dib waxaan maqlay muusigga oo cayaaraya waxaan ogaaday in fadhigu ku yaalo dabaqa hoose.,muusik,neutral
124,Casho ka dib waxaan maqlay muusigga oo cayaaraya waxaan ogaaday in fadhigu ku yaalo dabaqa hoose.,casho,neutral
126,Casho ka dib waxaan maqlay muusigga oo cayaaraya waxaan ogaaday in fadhigu ku yaalo dabaqa hoose.,lounge,neutral
128,"Raashinku waxa uu ahaa mid aad u wanaagsan, adeega degdegga ah, qiimuhuna waxa uu ahaa mid aad u macquulsan. ",adeege,positive
132,"Raashinku waxa uu ahaa mid aad u wanaagsan, adeega degdegga ah, qiimuhuna waxa uu ahaa mid aad u macquulsan. ",qiimaha,positive
136,"Raashinku waxa uu ahaa mid aad u wanaagsan, adeega degdegga ah, qiimuhuna waxa uu ahaa mid aad u macquulsan. ",cuntod,positive
140,"primavera baasadaha sidoo kale ahaa mid aad u fiican, badan oo khudradda cusub.",khudaarta cusub,positive
144,"primavera baasadaha sidoo kale ahaa mid aad u fiican, badan oo khudradda cusub.",pasta primavera,positive
148,"Nasiib darro, tigidhadayaga showga, ma aanan helin waqti aan ku soo sambalno macmacaan kasta.",caleemos,neutral
150,"Haddii aad xaafadda joogtid, hubaal iska jooji cuntada weyn.",raab,positive
153,"Waligaa ma aamini lahayd in marka aad ka cabato in ka badan hal saac sugid, markay kuu sheegaan in ay noqon doonto 20-30 daqiiqo, maamuluhu wuxuu ku sheegayaa baartanka in uu daadiyo cabitaannada aad hada bixisay?",sugi,negative
155,"Waligaa ma aamini lahayd in marka aad ka cabato in ka badan hal saac sugid, markay kuu sheegaan in ay noqon doonto 20-30 daqiiqo, maamuluhu wuxuu ku sheegayaa baartanka in uu daadiyo cabitaannada aad hada bixisay?",baararka,neutral
157,"Waligaa ma aamini lahayd in marka aad ka cabato in ka badan hal saac sugid, markay kuu sheegaan in ay noqon doonto 20-30 daqiiqo, maamuluhu wuxuu ku sheegayaa baartanka in uu daadiyo cabitaannada aad hada bixisay?",maareeyaha,negative
159,"Waligaa ma aamini lahayd in marka aad ka cabato in ka badan hal saac sugid, markay kuu sheegaan in ay noqon doonto 20-30 daqiiqo, maamuluhu wuxuu ku sheegayaa baartanka in uu daadiyo cabitaannada aad hada bixisay?",cabitaan,neutral
161,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo baar-ilaaliye aan fiicnayn oo noo haystay in aan sugayno 20 daqiiqo cabitaannada, ka dibna wuxuu inoo sheegayaa in aan qaboojino.",maareeyaha,negative
165,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo baar-ilaaliye aan fiicnayn oo noo haystay in aan sugayno 20 daqiiqo cabitaannada, ka dibna wuxuu inoo sheegayaa in aan qaboojino.",baararka,negative
169,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo baar-ilaaliye aan fiicnayn oo noo haystay in aan sugayno 20 daqiiqo cabitaannada, ka dibna wuxuu inoo sheegayaa in aan qaboojino.",sugid,negative
173,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo baar-ilaaliye aan fiicnayn oo noo haystay in aan sugayno 20 daqiiqo cabitaannada, ka dibna wuxuu inoo sheegayaa in aan qaboojino.",cabitaan,neutral
177,"Ha dhibin – cabitaanku aad buu u xunaa, laakiin waxay ahayd dadka halkaa ka shaqeeya waxay ahaayeen kuwa runtii ka dhigay waayo-aragnimadii ugu xumayd ee cuntada.",cabitaan,negative
181,"Ha dhibin – cabitaanku aad buu u xunaa, laakiin waxay ahayd dadka halkaa ka shaqeeya waxay ahaayeen kuwa runtii ka dhigay waayo-aragnimadii ugu xumayd ee cuntada.",cune,negative
185,"Ha dhibin – cabitaanku aad buu u xunaa, laakiin waxay ahayd dadka halkaa ka shaqeeya waxay ahaayeen kuwa runtii ka dhigay waayo-aragnimadii ugu xumayd ee cuntada.",dadka,negative
189,"Qof kasta oo halkaas ka shaqeeya (marti-geliyaha, bar-ilaaliye, server-yada) aad ayuu wax u taraa.",marti-loo,positive
192,"Qof kasta oo halkaas ka shaqeeya (marti-geliyaha, bar-ilaaliye, server-yada) aad ayuu wax u taraa.",baararka,positive
195,"Qof kasta oo halkaas ka shaqeeya (marti-geliyaha, bar-ilaaliye, server-yada) aad ayuu wax u taraa.",server,positive
198,Cunaduna waa mid cajiib ah.,cuntod,positive
201,Dadka ugu jecel waxaa ka mid ah: baradhada baruurta spinach gnocchi iyo wanka.,Wanka,positive
204,Dadka ugu jecel waxaa ka mid ah: baradhada baruurta spinach gnocchi iyo wanka.,gnocchi spinach bataato,positive
207,Badhkiis oo buskud ah oo buur bariis ah iyo beedkana lagu iibiyo $6.25.,bariis,neutral
209,Badhkiis oo buskud ah oo buur bariis ah iyo beedkana lagu iibiyo $6.25.,shiiny,neutral
211,Badhkiis oo buskud ah oo buur bariis ah iyo beedkana lagu iibiyo $6.25.,badars,neutral
213,adeegga waa mid aad u fiican oo mar walba xog-wargelin aan hawada.,adeege,positive
216,Xaqiiqdii dib baan u noqon lahaa-- hadii ay dhacdo in qaar ka mid ah martinisyada shisheeyaha ah ee boorarka madowga jooga oo kale ah.,martinis,positive
219,Laʼaanta AC iyo xaqiiqda ah in ay jiraan hal milyan oo maydad oo isdaba-joog ah (inkastoo qof waliba xushmo leeyahay oo aanu cidina riixin) ayaa si yar u dammiinaya.,AC,negative
222,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo ku saabsan in uu yahay banaanka, in muuqaalka weyn, ku riyaaqayaa cabitaan caadi ah taas oo ka dhigaysa in meeshan aadid u qalantaa.",meele,positive
224,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo ku saabsan in uu yahay banaanka, in muuqaalka weyn, ku riyaaqayaa cabitaan caadi ah taas oo ka dhigaysa in meeshan aadid u qalantaa.",banaanka,positive
228,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo ku saabsan in uu yahay banaanka, in muuqaalka weyn, ku riyaaqayaa cabitaan caadi ah taas oo ka dhigaysa in meeshan aadid u qalantaa.",Cabitaan caadi ah,positive
232,Raashin ma aanan u aadin halkaas si aanan uga faalloonin.,cuntod,neutral
234,Kontaydu waxay ahayd adeegga barka oo gaabis ah.,adeegga bar,negative
237,Aniga iyo saaxiibaday waxaan halkan ku joojiyo pizza ka hor inta aanan garaacin tiyaatarka kips Bay movie.,pizza,neutral
239,Mar walba waan ku raaxeystaa pizza.,pizza,positive
242,Adeeggu aad uu fiican yahay.,adeege,positive
245,"Laba cabashooyin - ay xulashada appetizer rinjiyeeyo, waxa ay noqon doontaa wax fiican si aad u hesho qaar ka mid ah ulaha mozzarella on menu ah.",mozzarella ulo,neutral
247,"Laba cabashooyin - ay xulashada appetizer rinjiyeeyo, waxa ay noqon doontaa wax fiican si aad u hesho qaar ka mid ah ulaha mozzarella on menu ah.",menu,negative
249,"Laba cabashooyin - ay xulashada appetizer rinjiyeeyo, waxa ay noqon doontaa wax fiican si aad u hesho qaar ka mid ah ulaha mozzarella on menu ah.",Xulashada appetizer,negative
252,"Nalalka aan lasoo jiidanin ayaa iga dhigay in aan doonayo in aan isha ku hayo, cuntada ayaa ahaa mid aad u ba'an, waxaa jiray labada isbeddel ee pop-ka ugu xun oo waxqabadkoodu ugu xun yahay-iyo escargot-kayga waxay u ekayd in ay gurguuran karto saxanka.",disco duo pop,negative
256,"Nalalka aan lasoo jiidanin ayaa iga dhigay in aan doonayo in aan isha ku hayo, cuntada ayaa ahaa mid aad u ba'an, waxaa jiray labada isbeddel ee pop-ka ugu xun oo waxqabadkoodu ugu xun yahay-iyo escargot-kayga waxay u ekayd in ay gurguuran karto saxanka.",nalal,negative
260,"Nalalka aan lasoo jiidanin ayaa iga dhigay in aan doonayo in aan isha ku hayo, cuntada ayaa ahaa mid aad u ba'an, waxaa jiray labada isbeddel ee pop-ka ugu xun oo waxqabadkoodu ugu xun yahay-iyo escargot-kayga waxay u ekayd in ay gurguuran karto saxanka.",escargot,negative
262,"Nalalka aan lasoo jiidanin ayaa iga dhigay in aan doonayo in aan isha ku hayo, cuntada ayaa ahaa mid aad u ba'an, waxaa jiray labada isbeddel ee pop-ka ugu xun oo waxqabadkoodu ugu xun yahay-iyo escargot-kayga waxay u ekayd in ay gurguuran karto saxanka.",cuntod,negative
266,"Weligay nolosheyda raashinka dib uma soo dirin ka hor, laakin si fudud ayey ahayd in aan qasab noqdo, arrintan ayuu igula murmay.",khadka,negative
268,"Weligay nolosheyda raashinka dib uma soo dirin ka hor, laakin si fudud ayey ahayd in aan qasab noqdo, arrintan ayuu igula murmay.",cuntod,negative
270,"Adeeggu waa mid weyn, maraqaygu mar walba wuxuu yimaadaa fiican oo kulul.",maraq,positive
273,"Adeeggu waa mid weyn, maraqaygu mar walba wuxuu yimaadaa fiican oo kulul.",adeege,positive
276,Cabashadayda kaliya waxaa laga yaabaa in ay tahay kukiyada nasiibka - Waligay ma aanan haysan saadaalin cookie saadaalin nasiib xumo ii ah kahor inta aanan booqan Kar.,ciso,negative
278,Cabashadayda kaliya waxaa laga yaabaa in ay tahay kukiyada nasiibka - Waligay ma aanan haysan saadaalin cookie saadaalin nasiib xumo ii ah kahor inta aanan booqan Kar.,fortune cookies,negative
281,"Waa iskudarid pizza oo asaasi ah, ma ahan mid aad loo fiirinayo, laakin pizza-ka waa waxa aan u tago.",pizza,positive
284,Suugada waa zesty oo dhadhan leh iyo udubdhexaadka ah waa fiican yahay oo sibidhan.,haku,positive
288,Suugada waa zesty oo dhadhan leh iyo udubdhexaadka ah waa fiican yahay oo sibidhan.,kasar,positive
292,Sidoo kale haddii aad jeceshahay qolyaha runtii khafiif ah ama xaleedyo run ahaantii weyn ka dibna Nick iyo Joe ayaa laga yaabaa inaysan ahayn kuwa aad ugu jeceshahay.,dhudhuufta oo dhudhuufta,negative
294,Sidoo kale haddii aad jeceshahay qolyaha runtii khafiif ah ama xaleedyo run ahaantii weyn ka dibna Nick iyo Joe ayaa laga yaabaa inaysan ahayn kuwa aad ugu jeceshahay.,slices,negative
296,"Xulashada cuntada waa mid aad u fiican (Anigu looma isticmaali karo in aan leeyahay doorasho badan ee maqaayadaha), iyo jawiga waa weyn.",jawiga,positive
300,"Xulashada cuntada waa mid aad u fiican (Anigu looma isticmaali karo in aan leeyahay doorasho badan ee maqaayadaha), iyo jawiga waa weyn.",xulashada cuntada,positive
304,"Maansada, oo xilliyeysan isbeddesha, ayaa muujinaya saameyn heer gobol iyo mid caalamiba leh.",menu,neutral
307,"Waxaan u jeclahay Shirkadda Little Pie sida ugu badan ee qof kasta oo kale oo soo qoray dib u eegista, laakiin waa in uu ka niyad-jabo qof kasta inuu soo booqdo goobta Grand Central sababtoo ah adeeggooda ku shuruurta laba qof oo iibka ah.",dadka iibka,negative
310,"Waxaan u jeclahay Shirkadda Little Pie sida ugu badan ee qof kasta oo kale oo soo qoray dib u eegista, laakiin waa in uu ka niyad-jabo qof kasta inuu soo booqdo goobta Grand Central sababtoo ah adeeggooda ku shuruurta laba qof oo iibka ah.",adeege,negative
313,"Ka dib markii aan bixiyey lacagtii aan ku iibsaday, waxaan ogaaday in aynan i siinin weelal aan si aan u cuno xabbadeydii.",hore,neutral
315,"Ka dib markii aan bixiyey lacagtii aan ku iibsaday, waxaan ogaaday in aynan i siinin weelal aan si aan u cuno xabbadeydii.",madoobaad,neutral
317,Waxay ahayd in aan calanka hoos qof shaqaalaha saddexaad for for a fork... markaa hadda waxaa nabad galyo ah Shirkadda Little RUDE Pie.,qof shaqaale ah,neutral
319,Waxay ahayd in aan calanka hoos qof shaqaalaha saddexaad for for a fork... markaa hadda waxaa nabad galyo ah Shirkadda Little RUDE Pie.,fork,neutral
321,"Raashinka la yaabka leh wuu fiican yahay, qurxintana waa fiican tahay.",décor,positive
325,"Raashinka la yaabka leh wuu fiican yahay, qurxintana waa fiican tahay.",cuntod,positive
329,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa daacad ah, socodyahannada afka cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",macmiilka,negative
333,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa daacad ah, socodyahannada afka cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",bartilmaamed,negative
337,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa daacad ah, socodyahannada afka cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",tayada cuntada,positive
339,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa daacad ah, socodyahannada afka cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",adeege,negative
343,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa daacad ah, socodyahannada afka cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",shaqaalaha,negative
347,The Yellowfin Tuna iyo dibi ee beerka waa kuwa aan ugu jeceshahay!,Yellowfin Tuna,positive
350,The Yellowfin Tuna iyo dibi ee beerka waa kuwa aan ugu jeceshahay!,Beerka Weysha,positive
353,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markii aan fasaxa qadada ku jiray waxaana iga soo gudbay meeshan yar ee weyn anigoo wata digaag cabsi badan iyo liinta Hibiscus.",Hibiscus limonade,positive
357,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markii aan fasaxa qadada ku jiray waxaana iga soo gudbay meeshan yar ee weyn anigoo wata digaag cabsi badan iyo liinta Hibiscus.",meele,positive
361,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markii aan fasaxa qadada ku jiray waxaana iga soo gudbay meeshan yar ee weyn anigoo wata digaag cabsi badan iyo liinta Hibiscus.",tacos shiinyaha,positive
365,"Innovations waa sida loo hubiyay, laga bilaabo jiiska fudud ee Carinthia ravioli oo leh boqoshaaga duurjoogta ah ilaa sturgeon-ka caviar-ka, oo si qurux badan u ciyaaraya maraqa cagaaran ee cagaaran ee spinach-vodka.",caviar-topped sturgeon,positive
367,"Innovations waa sida loo hubiyay, laga bilaabo jiiska fudud ee Carinthia ravioli oo leh boqoshaaga duurjoogta ah ilaa sturgeon-ka caviar-ka, oo si qurux badan u ciyaaraya maraqa cagaaran ee cagaaran ee spinach-vodka.",cagaar ah oo cagaarka ah ee spinach-vodka,positive
371,"Innovations waa sida loo hubiyay, laga bilaabo jiiska fudud ee Carinthia ravioli oo leh boqoshaaga duurjoogta ah ilaa sturgeon-ka caviar-ka, oo si qurux badan u ciyaaraya maraqa cagaaran ee cagaaran ee spinach-vodka.",Carinthia garaashka ravioli oo leh boqoshaaga duurjoogta ah,positive
375,"Menus ciyaari xulashada xilliyeed, sida brulee cawska hadhuudhka-foie macaan.",brulee udgoon hadhuudh-foie caws,neutral
377,"Menus ciyaari xulashada xilliyeed, sida brulee cawska hadhuudhka-foie macaan.",menus,neutral
380,ADEEGGA WAA QUMMAN AAD WAXBA KHALAD IN THIS MAKHAAYAD TALYAANI / FARANSIIS,MARKA,positive
383,Cawska foie wuxuu ahaa mid macaan oo faa'ido badan.,foie caws,positive
386,"My gf ee confitte duck ahaa mid aad u adag iyo sidoo, inkastoo aan leeyahay saldhig yar tixraaca.",duck confitte,positive
389,"shaqaalaha sugitaanku waa mid aad u saaxiibtinimo, haddii aadan ahayn mid aan firmad lahayn ama aad jejebiso....... our cuntada ee Leon toddobaadkii la soo dhaafay ahaa weyn -.",shaqaalaha gato,positive
393,"shaqaalaha sugitaanku waa mid aad u saaxiibtinimo, haddii aadan ahayn mid aan firmad lahayn ama aad jejebiso....... our cuntada ee Leon toddobaadkii la soo dhaafay ahaa weyn -.",raab,positive
397,Waxaan kugula talinayaa wax ka mid ah suxuuntooda salmon......,suxuunta salmon,positive
400,Cunto Great laakiin adeegga ahaa laga cabsado!,adeege,negative
404,Cunto Great laakiin adeegga ahaa laga cabsado!,cuntod,positive
408,Labada qof ee midiidinneyd waxey u ekaayeen iney leefleeleen libaaxyo.,kaalintaada,negative
410,adeegga waxa laga cabsato ahaa si tartiib ah (meesha ahaa oo kaliya nus ka buuxa) iyo dhoola cadeyn lahaa fiican ...,adeege,negative
413,"Waqtiyada ugu sareeya, maqaayadda aad ayuu u buuxdhaafay, miisaskuna waxaa la isku daryeeli waayay inay xirmaan.",miisas,negative
416,"Haddii aad halkan u joogtid sidii raashin pre-show ah, ku hoyo taksi oo aad qaadato dheeraadka ah 10 daqiiqo si aad u tagto goobta bartamaha.",cuntada pre-show,neutral
418,"Waa wax walba... raashinka, jawiga ... Waana martiqaad iyo fadli (midna).",jawiga,positive
420,"Waa wax walba... raashinka, jawiga ... Waana martiqaad iyo fadli (midna).",martida,positive
423,"Waa wax walba... raashinka, jawiga ... Waana martiqaad iyo fadli (midna).",cuntod,positive
425,"ambiance ahaa wanaagsan, xoogaa cod dheer laakiin weli fiican oo ka gaasan.",ambiance,positive
428,"Hase ahaatee, innagoo ah foodies, ayaannu si buuxda uga niyad jabnay cuntada.",cuntod,negative
431,"Waxaan ku talinayaa in kalluunka madow la dubay, waxay ahayd saxanka ugu fiican fiidkii.",madow codka kafan,positive
434,"Waxaan ku talinayaa in kalluunka madow la dubay, waxay ahayd saxanka ugu fiican fiidkii.",saxan,positive
437,waxaan lahaa creole shrimp creole delicious.,shrimp creole,positive
440,Cashada digaaggu waxey aheyd mid aad u wanaagsan.,casho digaag,positive
443,Laakiin cuntadu waxay ahayd mid macaan.,cuntod,positive
446,Boosku waa dhaqan marka la dareemo.,banaan,neutral
449,Suxuunta Hal-abuurka ah sida boqorka salad crab oo leh hammiga vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ayaa ah waxyaabo lama filaan ah oo ku saabsan nooc kale oo la saadaalin karo bistro menu.,bistro menu,neutral
453,Suxuunta Hal-abuurka ah sida boqorka salad crab oo leh hammiga vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ayaa ah waxyaabo lama filaan ah oo ku saabsan nooc kale oo la saadaalin karo bistro menu.,King crab salad la midhaha dareen vinaigrette,positive
457,Suxuunta Hal-abuurka ah sida boqorka salad crab oo leh hammiga vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ayaa ah waxyaabo lama filaan ah oo ku saabsan nooc kale oo la saadaalin karo bistro menu.,saxanka,positive
461,Suxuunta Hal-abuurka ah sida boqorka salad crab oo leh hammiga vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ayaa ah waxyaabo lama filaan ah oo ku saabsan nooc kale oo la saadaalin karo bistro menu.,fettuccine oo leh cunto badda la dubay oo ku yaal maraqa rosemary-orange,positive
465,Macmacaanka Montparnasse-ka gaar ahaan maqaayadaha xariirta ah iyo tartanka tufaaxa ee xariir-khamiirka ah - ayaa ku filan iyaga oo ku filan inay makhaayad ka dhigaan makhaayad qiimo u leh safarka.,caleemos,positive
469,Macmacaanka Montparnasse-ka gaar ahaan maqaayadaha xariirta ah iyo tartanka tufaaxa ee xariir-khamiirka ah - ayaa ku filan iyaga oo ku filan inay makhaayad ka dhigaan makhaayad qiimo u leh safarka.,tufaax tart,positive
473,Macmacaanka Montparnasse-ka gaar ahaan maqaayadaha xariirta ah iyo tartanka tufaaxa ee xariir-khamiirka ah - ayaa ku filan iyaga oo ku filan inay makhaayad ka dhigaan makhaayad qiimo u leh safarka.,dameer,positive
477,Cunto weyn ayaa halkaas ku lahaa todobaadkan ka hor inta uusan u sii jeesan filimada!,raab,positive
480,Waxay ahayd in muddo ah oo aan ilaaway sida loo heli karo crepes delicious noqon kara.,crepes,positive
483,"Cuntadan- oo ah inkastoo uu inta badan qoto dheeri shiilan yahay, waa mid fudud oo qancinaysa.",cuntod,positive
486,Dieters ku dhegaan salads ama ku raaxeysatay xeedho khudradda.,salad,positive
488,Dieters ku dhegaan salads ama ku raaxeysatay xeedho khudradda.,Xeedhadaha khudaarta,positive
490,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek (oo ay ku yaallaan cabbir, dill, iyo toonta) waxay dhadhamiyaan marka ay ku habboon yihiin finanka diiran.",taramasalata,positive
494,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek (oo ay ku yaallaan cabbir, dill, iyo toonta) waxay dhadhamiyaan marka ay ku habboon yihiin finanka diiran.",Creamy appetizers,positive
498,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek (oo ay ku yaallaan cabbir, dill, iyo toonta) waxay dhadhamiyaan marka ay ku habboon yihiin finanka diiran.","yogurt Greek (oo leh cabbir, dill, iyo toon)",positive
