,yo,aspect,polarities
165,"Ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù.",bartender,negative
169,"Ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù.",dúró,negative
173,"Ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù.",awọn ohun mimu,neutral
177,"Má ṣe dààmú láéláé - àwọn ohun mímu náà burú jáì, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tó burú jù nínú oúnjẹ.",awọn ohun mimu,negative
181,"Má ṣe dààmú láéláé - àwọn ohun mímu náà burú jáì, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tó burú jù nínú oúnjẹ.",ijẹun,negative
185,"Má ṣe dààmú láéláé - àwọn ohun mímu náà burú jáì, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tó burú jù nínú oúnjẹ.",awọn eniyan,negative
189,"Gbogbo ènìyàn tí ó ń ṣiṣẹ́ níbẹ̀ (olùgbàlejò, oníbàárà, àwọn olùpín) ṣe ìrànlọ́wọ́ púpọ̀.",gbalejo,positive
192,"Gbogbo ènìyàn tí ó ń ṣiṣẹ́ níbẹ̀ (olùgbàlejò, oníbàárà, àwọn olùpín) ṣe ìrànlọ́wọ́ púpọ̀.",bartender,positive
195,"Gbogbo ènìyàn tí ó ń ṣiṣẹ́ níbẹ̀ (olùgbàlejò, oníbàárà, àwọn olùpín) ṣe ìrànlọ́wọ́ púpọ̀.",awọn olupin,positive
198,Oúnjẹ náà sì dára.,ounjẹ,positive
201,Àwọn ààyò ni: potato spinach gnocchi àti ọ̀dọ́-àgùntàn náà.,ọ̀dọ́ aguntan,positive
204,Àwọn ààyò ni: potato spinach gnocchi àti ọ̀dọ́-àgùntàn náà.,poteto spinach gnocchi,positive
207,Ìdajì adìẹ pẹ̀lú òkè ìrẹsì àti ẹ̀wà fún $6.25.,ìrẹsì,neutral
209,Ìdajì adìẹ pẹ̀lú òkè ìrẹsì àti ẹ̀wà fún $6.25.,adie,neutral
211,Ìdajì adìẹ pẹ̀lú òkè ìrẹsì àti ẹ̀wà fún $6.25.,ẹ̀wà,neutral
213,Iṣẹ́ náà dára púpọ̀ wọ́n sì máa ń fúnni ní àlàyé láìsí afẹ́fẹ́.,iṣẹ,positive
216,Dájúdájú mà á padà lọ -- bí ó bá jẹ́ fún díẹ̀ lára àwọn martinis àjèjì yẹn lórí pátákó dúdú.,martinis,positive
219,Àìsí AC àti òtítọ́ pé mílíọ̀nù kan òkú wà (bí ó tilẹ̀ jẹ́ pé gbogbo ènìyàn ló ní ìwà ọmọlúwàbí àti pé kò sí ẹni tí ó ń tì í) jẹ́ ìyípadà díẹ̀.,AC,negative
222,"Síbẹ̀síbẹ̀, nkan ńlá kan wà nípa wíwà níta, nínú ṣíṣe àgbékalẹ̀ ilẹ̀ ńlá, gbígbádùn ohun mímu ìrọ̀rùn tí ó jẹ́ kí lílọ sí ibi yìí wúlò.",ibi,positive
224,"Síbẹ̀síbẹ̀, nkan ńlá kan wà nípa wíwà níta, nínú ṣíṣe àgbékalẹ̀ ilẹ̀ ńlá, gbígbádùn ohun mímu ìrọ̀rùn tí ó jẹ́ kí lílọ sí ibi yìí wúlò.",ita gbangba,positive
228,"Síbẹ̀síbẹ̀, nkan ńlá kan wà nípa wíwà níta, nínú ṣíṣe àgbékalẹ̀ ilẹ̀ ńlá, gbígbádùn ohun mímu ìrọ̀rùn tí ó jẹ́ kí lílọ sí ibi yìí wúlò.",Casual mimu,positive
232,Mi ò lọ síbẹ̀ fún oúnjẹ nítorí náà mi ò lè ṣe àwísí.,ounjẹ,neutral
234,Oníjìbìtì kan ni ètò ìgbafẹ́ tó lọ́ra jù.,bar service,negative
237,Èmi àti àwọn ọ̀rẹ́ mi dúró síbí fún pizza kí a tó lọ sí ilé ìtàgé fíìmù Kips Bay.,pizza,neutral
239,A máa ń gbádùn pizza náà nígbà gbogbo.,pizza,positive
242,Iṣẹ́ wọn dára díẹ̀.,iṣẹ,positive
245,"Ẹ̀sùn méjì - àṣàyàn oúnjẹ wọn ń rùn, yóò dára láti gba àwọn ọ̀pá mozzarella díẹ̀ lórí àtòjọ-ẹ̀yàn.",mozzarella sticks,neutral
247,"Ẹ̀sùn méjì - àṣàyàn oúnjẹ wọn ń rùn, yóò dára láti gba àwọn ọ̀pá mozzarella díẹ̀ lórí àtòjọ-ẹ̀yàn.",akojọ aṣayan,negative
249,"Ẹ̀sùn méjì - àṣàyàn oúnjẹ wọn ń rùn, yóò dára láti gba àwọn ọ̀pá mozzarella díẹ̀ lórí àtòjọ-ẹ̀yàn.",aṣayan appetizer,negative
252,"Iná tí kò wuni náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jùlọ wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo.",disco pop duo,negative
256,"Iná tí kò wuni náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jùlọ wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo.",imọlẹ,negative
260,"Iná tí kò wuni náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jùlọ wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo.",escargot,negative
262,"Iná tí kò wuni náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jùlọ wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo.",ounjẹ,negative
266,"Mi ò tíì fi oúnjẹ ránṣẹ́ rí láyé mi rí, ṣùgbọ́n mo kàn ní láti ṣe é, olùgbà náà sì bá mi jiyàn lórí èyí.",waiter,negative
268,"Mi ò tíì fi oúnjẹ ránṣẹ́ rí láyé mi rí, ṣùgbọ́n mo kàn ní láti ṣe é, olùgbà náà sì bá mi jiyàn lórí èyí.",ounjẹ,negative
270,"Iṣẹ́ wọn dára, ọbẹ̀ mi máa ń dé dáadáa ó sì máa ń gbóná.",ọbẹ̀,positive
273,"Iṣẹ́ wọn dára, ọbẹ̀ mi máa ń dé dáadáa ó sì máa ń gbóná.",iṣẹ,positive
276,Ẹ̀sùn kan ṣoṣo tí mo ní lè jẹ́ àwọn kúkì oríire - mi ò tí ì sọ àsọtẹ́lẹ̀ oríire burúkú fún mi kí n tó ṣàbẹ̀wò sí Kar.,kúkì,negative
278,Ẹ̀sùn kan ṣoṣo tí mo ní lè jẹ́ àwọn kúkì oríire - mi ò tí ì sọ àsọtẹ́lẹ̀ oríire burúkú fún mi kí n tó ṣàbẹ̀wò sí Kar.,Fortune cookies,negative
281,"Ó jẹ́ àjọṣepọ̀ pizza ìpìlẹ̀, kò pọ̀ láti wò, ṣùgbọ́n pizza ni ohun tí mo lọ fún.",pizza,positive
284,Ọbẹ̀ náà dára ó sì ní adùn àti pé èrúnrún náà dára ó sì tutù.,crust,positive
288,Ọbẹ̀ náà dára ó sì ní adùn àti pé èrúnrún náà dára ó sì tutù.,ọbẹ̀,positive
292,Bákan náà tí o bá fẹ́ràn ìkòkò tí ó fẹ́rẹ̀ẹ́ fẹ́rẹ̀ẹ́ fẹ́rẹ̀,tinrin crust,negative
294,Bákan náà tí o bá fẹ́ràn ìkòkò tí ó fẹ́rẹ̀ẹ́ fẹ́rẹ̀ẹ́ fẹ́rẹ̀,awọn ege,negative
296,"Àṣàyàn oúnjẹ náà dára (kò mọ́ mi lára láti ní àṣàyàn púpọ̀ ní àwọn ilé oúnjẹ), àyíká náà sì dára.",afẹ́fẹ́,positive
300,"Àṣàyàn oúnjẹ náà dára (kò mọ́ mi lára láti ní àṣàyàn púpọ̀ ní àwọn ilé oúnjẹ), àyíká náà sì dára.",aṣayan ti ounjẹ,positive
304,"Àtòjọ-ẹ̀yàn náà, èyí tí ó yí padà ní àsìkò, fi àwọn ipa agbègbè àti àgbáyé hàn.",akojọ aṣayan,neutral
307,"Mo nífẹ̀ẹ́ Little Pie Company gẹ́gẹ́ bí ẹnikẹ́ni mìíràn tí ó ti kọ àtúnyẹ̀wò, ṣùgbọ́n mo gbọ́dọ̀ rẹ̀wẹ̀sì ẹnikẹ́ni láti ṣàbẹ̀wò sí ààyè Grand Central nítorí iṣẹ́ RUDE wọn láti ọ̀dọ̀ àwọn ènìyàn ìtajà méjì.",awọn eniyan tita,negative
310,"Mo nífẹ̀ẹ́ Little Pie Company gẹ́gẹ́ bí ẹnikẹ́ni mìíràn tí ó ti kọ àtúnyẹ̀wò, ṣùgbọ́n mo gbọ́dọ̀ rẹ̀wẹ̀sì ẹnikẹ́ni láti ṣàbẹ̀wò sí ààyè Grand Central nítorí iṣẹ́ RUDE wọn láti ọ̀dọ̀ àwọn ènìyàn ìtajà méjì.",iṣẹ,negative
313,"Lẹ́yìn tí mo sanwó fún ọjà mi, mo ṣàkíyèsí pé wọn kò tí ì fún mi ní àwọn ohun èlò kí n lè jẹ píì mi.",píì,neutral
315,"Lẹ́yìn tí mo sanwó fún ọjà mi, mo ṣàkíyèsí pé wọn kò tí ì fún mi ní àwọn ohun èlò kí n lè jẹ píì mi.",awọn ohun elo,neutral
317,Mo ní láti ṣe àmì sí òṣìṣẹ́ kẹta fún fọ́ọ̀kì... Ní báyìí ó ti di ó dàbọ̀ Little RUDE Pie Company.,oṣiṣẹ eniyan,neutral
319,Mo ní láti ṣe àmì sí òṣìṣẹ́ kẹta fún fọ́ọ̀kì... Ní báyìí ó ti di ó dàbọ̀ Little RUDE Pie Company.,fork,neutral
321,"Oúnjẹ náà dára gidi gan-an, àti pé àwọn ohun ọ̀ṣọ́ náà dára.",ọ̀ṣọ́,positive
325,"Oúnjẹ náà dára gidi gan-an, àti pé àwọn ohun ọ̀ṣọ́ náà dára.",ounjẹ,positive
329,"Iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ní ìsàlẹ̀ dídára oúnjẹ (àwọn oníbàárà burúkú), àti pé àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, jẹ́ àwọn arìnrìn-àjò tí wọ́n ní ẹnu tí kò dára (èyí lè ṣàlàyé ìwà burúkú láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin AC/DC tàbí eré Knicks.",clientele,negative
333,"Iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ní ìsàlẹ̀ dídára oúnjẹ (àwọn oníbàárà burúkú), àti pé àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, jẹ́ àwọn arìnrìn-àjò tí wọ́n ní ẹnu tí kò dára (èyí lè ṣàlàyé ìwà burúkú láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin AC/DC tàbí eré Knicks.",bartenders,negative
337,"Iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ní ìsàlẹ̀ dídára oúnjẹ (àwọn oníbàárà burúkú), àti pé àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, jẹ́ àwọn arìnrìn-àjò tí wọ́n ní ẹnu tí kò dára (èyí lè ṣàlàyé ìwà burúkú láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin AC/DC tàbí eré Knicks.",didara ti ounjẹ,positive
339,"Iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ní ìsàlẹ̀ dídára oúnjẹ (àwọn oníbàárà burúkú), àti pé àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, jẹ́ àwọn arìnrìn-àjò tí wọ́n ní ẹnu tí kò dára (èyí lè ṣàlàyé ìwà burúkú láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin AC/DC tàbí eré Knicks.",iṣẹ,negative
343,"Iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ní ìsàlẹ̀ dídára oúnjẹ (àwọn oníbàárà burúkú), àti pé àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, jẹ́ àwọn arìnrìn-àjò tí wọ́n ní ẹnu tí kò dára (èyí lè ṣàlàyé ìwà burúkú láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin AC/DC tàbí eré Knicks.",oṣiṣẹ,negative
347,Ẹ̀dọ̀ Yellowfin Tuna àti Calf ni ààyò mi!,Yellowfin Tuna,positive
350,Ẹ̀dọ̀ Yellowfin Tuna àti Calf ni ààyò mi!,Ẹ̀dọ̀ ọmọ màlúù,positive
353,"Mo wà lórí iṣẹ́ àwọn adájọ́, mo gun kẹ̀kẹ́ mi lọ sí Centre Street ní àsìkò ìsinmi oúnjẹ ọ̀sán mi mo sì pàdé ibi kékeré ńlá yìí pẹ̀lú tacos adìẹ tó dára àti Hibiscus lemonade.",Hibiscus lemonade,positive
357,"Mo wà lórí iṣẹ́ àwọn adájọ́, mo gun kẹ̀kẹ́ mi lọ sí Centre Street ní àsìkò ìsinmi oúnjẹ ọ̀sán mi mo sì pàdé ibi kékeré ńlá yìí pẹ̀lú tacos adìẹ tó dára àti Hibiscus lemonade.",ibi,positive
361,"Mo wà lórí iṣẹ́ àwọn adájọ́, mo gun kẹ̀kẹ́ mi lọ sí Centre Street ní àsìkò ìsinmi oúnjẹ ọ̀sán mi mo sì pàdé ibi kékeré ńlá yìí pẹ̀lú tacos adìẹ tó dára àti Hibiscus lemonade.",adie tacos,positive
365,"Àwọn ìmọ̀ tuntun ní ìdánilójú gẹ́gẹ́ bí ìdánilójú, láti wàrà Carinthia tó rọrùn ravioli pẹ̀lú olú igbó títí dé sturgeon tí ó wà ní caviar, tí ó bá ọbẹ̀ spinach-vodka aláwọ̀ ewé tí ó tàn mu.",caviar-topped sturgeon,positive
367,"Àwọn ìmọ̀ tuntun ní ìdánilójú gẹ́gẹ́ bí ìdánilójú, láti wàrà Carinthia tó rọrùn ravioli pẹ̀lú olú igbó títí dé sturgeon tí ó wà ní caviar, tí ó bá ọbẹ̀ spinach-vodka aláwọ̀ ewé tí ó tàn mu.",alawọ ewe spinach-vodka obe,positive
371,"Àwọn ìmọ̀ tuntun ní ìdánilójú gẹ́gẹ́ bí ìdánilójú, láti wàrà Carinthia tó rọrùn ravioli pẹ̀lú olú igbó títí dé sturgeon tí ó wà ní caviar, tí ó bá ọbẹ̀ spinach-vodka aláwọ̀ ewé tí ó tàn mu.",Carinthia cheese ravioli pẹlu awọn olu egan,positive
375,"Àwọn àtòjọ-ẹ̀yàn ní àwọn àṣàyàn àsìkò, gẹ́gẹ́ bíi corn-foie gras brulee dídùn.",sweet corn-foie gras brulee,neutral
377,"Àwọn àtòjọ-ẹ̀yàn ní àwọn àṣàyàn àsìkò, gẹ́gẹ́ bíi corn-foie gras brulee dídùn.",Àwọn àtòjọ-ẹ̀yàn,neutral
380,IṢẸ́ NÁÀ PÉ KÒ BURÚ NÍ ILÉ OÚNJẸ ITALY/FRENCH YÌÍ.,IṢẸ,positive
383,Foie gras náà dùn ó sì mọ́lẹ̀.,foie gras,positive
