,nya,aspect,polarities
110,Nthawi iliyonse ndi nthawi iliyonse ndimadzipeza m'dera lomwe ndidzapita ku Sushi Rose kwa sushi yatsopano ndi magawo akuluakulu onse pamtengo woyenera.,sushi,positive
114,msuzi wa balere wa bowa ndi wodabwitsa.,msuzi wa balere wa bowa,positive
117,Anali chakudya chamadzulo pano pa Lachisanu ndi chakudya chinali chachikulu.,chakudya chamadzulo,neutral
119,Anali chakudya chamadzulo pano pa Lachisanu ndi chakudya chinali chachikulu.,chakudya,positive
122,Pambuyo pa chakudya chamadzulo ndinamva nyimbo zikuimba ndipo ndinapeza kuti pali malo ogona pansi.,nyimbo,neutral
124,Pambuyo pa chakudya chamadzulo ndinamva nyimbo zikuimba ndipo ndinapeza kuti pali malo ogona pansi.,chakudya chamadzulo,neutral
126,Pambuyo pa chakudya chamadzulo ndinamva nyimbo zikuimba ndipo ndinapeza kuti pali malo ogona pansi.,chochezera,neutral
128,"Chakudyacho chinali chabwino, utumiki unafulumira, ndipo mtengo wake unali wololera kwambiri. ",utumiki,positive
132,"Chakudyacho chinali chabwino, utumiki unafulumira, ndipo mtengo wake unali wololera kwambiri. ",mtengo,positive
136,"Chakudyacho chinali chabwino, utumiki unafulumira, ndipo mtengo wake unali wololera kwambiri. ",chakudya,positive
140,"The pasitala primavera anali wapadera komanso, zambiri veggies atsopano.",veggies atsopano,positive
144,"The pasitala primavera anali wapadera komanso, zambiri veggies atsopano.",pasitala primavera,positive
148,"Tsoka ilo, ndi matikiti athu owonetsera, tinalibe nthawi yoyeserera desserts iliyonse.",desserts,neutral
150,"Ngati muli m'dera lanu, ndithudi imani kuti mudye chakudya chachikulu.",chakudya,positive
153,"Kodi mungakhulupirire kuti mukadandaula za kudikira kwa ola limodzi, pamene akukuuzani kuti zidzakhala mphindi 20-30, bwana akuuza wogulitsa mowa kuti atsanulire zakumwa zomwe mwangolipira?",dikirani,negative
155,"Kodi mungakhulupirire kuti mukadandaula za kudikira kwa ola limodzi, pamene akukuuzani kuti zidzakhala mphindi 20-30, bwana akuuza wogulitsa mowa kuti atsanulire zakumwa zomwe mwangolipira?",bartender,neutral
157,"Kodi mungakhulupirire kuti mukadandaula za kudikira kwa ola limodzi, pamene akukuuzani kuti zidzakhala mphindi 20-30, bwana akuuza wogulitsa mowa kuti atsanulire zakumwa zomwe mwangolipira?",woyang'anira,negative
159,"Kodi mungakhulupirire kuti mukadandaula za kudikira kwa ola limodzi, pamene akukuuzani kuti zidzakhala mphindi 20-30, bwana akuuza wogulitsa mowa kuti atsanulire zakumwa zomwe mwangolipira?",zakumwa,neutral
161,"Eya, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno akutiuza kuti tizizizira.",woyang'anira,negative
165,"Eya, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno akutiuza kuti tizizizira.",bartender,negative
169,"Eya, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno akutiuza kuti tizizizira.",kudikira,negative
173,"Eya, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno akutiuza kuti tizizizira.",zakumwa,neutral
177,"Musavutike konse - zakumwazo zinali zowopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe adapangitsadi izi kukhala zoipa kwambiri pakudya.",zakumwa,negative
181,"Musavutike konse - zakumwazo zinali zowopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe adapangitsadi izi kukhala zoipa kwambiri pakudya.",kudya,negative
185,"Musavutike konse - zakumwazo zinali zowopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe adapangitsadi izi kukhala zoipa kwambiri pakudya.",anthu,negative
189,"Aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi wothandiza kwambiri.",woyang'anira,positive
192,"Aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi wothandiza kwambiri.",bartender,positive
195,"Aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi wothandiza kwambiri.",maseva,positive
198,Ndipo chakudya ndi wosangalatsa.,chakudya,positive
201,Zokonda zimaphatikizapo: mbatata sipinachi gnocchi ndi nkhosa.,nkhosa,positive
204,Zokonda zimaphatikizapo: mbatata sipinachi gnocchi ndi nkhosa.,mbatata sipinachi gnocchi,positive
207,Theka la nkhuku ndi phiri la mpunga ndi nyemba kwa $ 6.25.,mpunga,neutral
209,Theka la nkhuku ndi phiri la mpunga ndi nyemba kwa $ 6.25.,nkhuku,neutral
211,Theka la nkhuku ndi phiri la mpunga ndi nyemba kwa $ 6.25.,nyemba,neutral
213,Utumikiwu ndi wabwino kwambiri komanso nthawi zonse wophunzitsa popanda mpweya.,utumiki,positive
216,Ndithudi ndingabwerere m'mbuyo -- ngati ena mwa ma martinis achilendo amenewo ali pa bolodi.,martinis,positive
219,Kusowa kwa AC ndi mfundo yakuti pali matupi miliyoni a swarming (ngakhale aliyense ali waulemu ndipo palibe amene akukankhira) ndi kutembenukira pang'ono.,AC,negative
222,"Komabe, pali chabe chinachake chachikulu kwambiri pa kukhala panja, mu kukonza malo kwakukulu, kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala kopindulitsa.",malo,positive
224,"Komabe, pali chabe chinachake chachikulu kwambiri pa kukhala panja, mu kukonza malo kwakukulu, kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala kopindulitsa.",panja,positive
228,"Komabe, pali chabe chinachake chachikulu kwambiri pa kukhala panja, mu kukonza malo kwakukulu, kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala kopindulitsa.",chakumwa wamba,positive
232,Sindinapite kumeneko kukalandira chakudya choncho sindingathe ndemanga.,chakudya,neutral
234,Chinyengo chinali utumiki wa bar pang'onopang'ono.,utumiki bala,negative
237,Ine ndi anzanga amaima pano kuti tidye pitsa tisanamenye nyumba yowonetsera mafilimu ya Kips Bay.,pizza,neutral
239,Nthawi zonse timasangalala ndi pizza.,pizza,positive
242,Utumiki ndi wokongola bwino.,utumiki,positive
245,"Madandaulo awiri- kusankha kwawo kwa appetizer kumanunkha, zingakhale bwino kupeza ndodo zina za mozzarella pa menyu.",mozzarella ndodo,neutral
247,"Madandaulo awiri- kusankha kwawo kwa appetizer kumanunkha, zingakhale bwino kupeza ndodo zina za mozzarella pa menyu.",menyu,negative
249,"Madandaulo awiri- kusankha kwawo kwa appetizer kumanunkha, zingakhale bwino kupeza ndodo zina za mozzarella pa menyu.",kusankha appetizer,negative
252,"Kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera kuchokera pa mbale.",disco pop duo,negative
256,"Kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera kuchokera pa mbale.",kuyatsa,negative
260,"Kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera kuchokera pa mbale.",escargot,negative
262,"Kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera kuchokera pa mbale.",chakudya,negative
266,"Sindinayambe ndatumizapo chakudya m'moyo wanga, koma ndinangoyenera, ndipo woperekera chakudya anakangana nane pa izi.",woperekera chakudya,negative
268,"Sindinayambe ndatumizapo chakudya m'moyo wanga, koma ndinangoyenera, ndipo woperekera chakudya anakangana nane pa izi.",chakudya,negative
270,"Utumiki ndi waukulu, msuzi wanga nthawi zonse umafika bwino komanso wotentha.",msuzi,positive
273,"Utumiki ndi waukulu, msuzi wanga nthawi zonse umafika bwino komanso wotentha.",utumiki,positive
276,Kudandaula kwanga kokha kungakhale makeke a mwayi - Sindinakhalepo ndi cookie kulosera tsoka kwa ine ndisanapite ku Kar.,cookie,negative
278,Kudandaula kwanga kokha kungakhale makeke a mwayi - Sindinakhalepo ndi cookie kulosera tsoka kwa ine ndisanapite ku Kar.,fortune makeke,negative
281,"Ndi mfundo yaikulu ya pizza, osati zambiri zoyang'ana, koma pizza ndi zomwe ndimapita.",pizza,positive
284,Msuzi ndi zesty ndi wokoma ndipo pakhungu ndi zabwino komanso crispy.,pakhungu,positive
288,Msuzi ndi zesty ndi wokoma ndipo pakhungu ndi zabwino komanso crispy.,msuzi,positive
292,Momwemonso ngati mumakonda kwenikweni woonda pakhungu kapena kwenikweni zidutswa zazikulu ndiye Nick ndi Joe mwina si mumaikonda.,woonda pakhungu,negative
294,Momwemonso ngati mumakonda kwenikweni woonda pakhungu kapena kwenikweni zidutswa zazikulu ndiye Nick ndi Joe mwina si mumaikonda.,zidutswa,negative
296,"Kusankhidwa kwa chakudya ndi kwabwino kwambiri (sindinazolowere kukhala ndi zosankha zambiri pamalo odyera), ndipo mlengalenga ndi waukulu.",mlengalenga,positive
300,"Kusankhidwa kwa chakudya ndi kwabwino kwambiri (sindinazolowere kukhala ndi zosankha zambiri pamalo odyera), ndipo mlengalenga ndi waukulu.",kusankha chakudya,positive
304,"Menyu, yomwe imasintha nyengo, imasonyeza zotsatira za dera komanso mayiko.",menyu,neutral
307,"Ndimakonda Little Pie Company monga wina aliyense yemwe walemba ndemanga, koma ayenera kulepheretsa aliyense kuyendera malo a Grand Central chifukwa cha ntchito yawo ya RUDE kuchokera kwa anthu awiri ogulitsa.",anthu ogulitsa,negative
310,"Ndimakonda Little Pie Company monga wina aliyense yemwe walemba ndemanga, koma ayenera kulepheretsa aliyense kuyendera malo a Grand Central chifukwa cha ntchito yawo ya RUDE kuchokera kwa anthu awiri ogulitsa.",utumiki,negative
313,"Nditalipira ndalama zimene ndinagula, ndinaona kuti sanandipatse ziwiya kuti ndidye pie yanga.",pie,neutral
315,"Nditalipira ndalama zimene ndinagula, ndinaona kuti sanandipatse ziwiya kuti ndidye pie yanga.",ziwiya,neutral
317,Ndinayenera mbendera pansi munthu ndodo lachitatu kwa foloko ... kotero tsopano ndi bwino Little RUDE Pie Company.,munthu wa antchito,neutral
319,Ndinayenera mbendera pansi munthu ndodo lachitatu kwa foloko ... kotero tsopano ndi bwino Little RUDE Pie Company.,foloko,neutral
321,"Chakudyacho ndi chabwino modabwitsa, ndipo zokongoletsera ndi zabwino.",kukongoletsa,positive
325,"Chakudyacho ndi chabwino modabwitsa, ndipo zokongoletsera ndi zabwino.",chakudya,positive
329,"Utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya AC / DC kapena masewera a Knicks.",makasitomala,negative
333,"Utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya AC / DC kapena masewera a Knicks.",bartenders,negative
337,"Utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya AC / DC kapena masewera a Knicks.",khalidwe la chakudya,positive
339,"Utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya AC / DC kapena masewera a Knicks.",utumiki,negative
343,"Utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya AC / DC kapena masewera a Knicks.",ndodo,negative
347,Chiwindi cha Yellowfin Tuna ndi Calf ndi chomwe ndimakonda kwambiri!,Yellowfin Tuna,positive
350,Chiwindi cha Yellowfin Tuna ndi Calf ndi chomwe ndimakonda kwambiri!,Chiwindi cha mwana wa ng'ombe,positive
353,"Ndinali pa ntchito ya jury, ndinakwera njinga yanga pamwamba pa Centre Street pa nthawi yanga yopuma masana ndipo ndinakumana ndi malo ang'onoang'ono akuluakuluwa ndi tacos nkhuku zozizwitsa ndi mandimu a Hibiscus.",Hibiscus mandimu,positive
357,"Ndinali pa ntchito ya jury, ndinakwera njinga yanga pamwamba pa Centre Street pa nthawi yanga yopuma masana ndipo ndinakumana ndi malo ang'onoang'ono akuluakuluwa ndi tacos nkhuku zozizwitsa ndi mandimu a Hibiscus.",malo,positive
361,"Ndinali pa ntchito ya jury, ndinakwera njinga yanga pamwamba pa Centre Street pa nthawi yanga yopuma masana ndipo ndinakumana ndi malo ang'onoang'ono akuluakuluwa ndi tacos nkhuku zozizwitsa ndi mandimu a Hibiscus.",nkhuku tacos,positive
365,"Zatsopano zimakhala zotsimikizika, kuchokera ku tchizi chosavuta cha Carinthia ravioli chokhala ndi bowa wakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wobiriwira wa sipinachi-vodka.",caviar-topped sturgeon,positive
367,"Zatsopano zimakhala zotsimikizika, kuchokera ku tchizi chosavuta cha Carinthia ravioli chokhala ndi bowa wakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wobiriwira wa sipinachi-vodka.",msuzi wobiriwira wa sipinachi-vodka,positive
371,"Zatsopano zimakhala zotsimikizika, kuchokera ku tchizi chosavuta cha Carinthia ravioli chokhala ndi bowa wakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wobiriwira wa sipinachi-vodka.",Carinthia tchizi ravioli ndi bowa zakutchire,positive
375,"Menyu imakhala ndi zosankha za nyengo, monga chimanga chokoma-foie gras brulee.",chimanga chokoma-foie gras brulee,neutral
377,"Menyu imakhala ndi zosankha za nyengo, monga chimanga chokoma-foie gras brulee.",Menyu,neutral
380,UTUMIKI NDI WANGWIRO KWAMBIRI PALIBE CHOLAKWIKA MU IZI ITALY / FRENCH ODYERA,UTUMIKI,positive
383,The foie gras anali wokoma ndi luscious.,foie gras,positive
386,"My gf's duck confitte was very solid as well, ngakhale ndili ndi maziko ochepa a chidziwitso.",bakha confitte,positive
389,"ndodo kudikira ndi wochezeka kwambiri, ngati wanu si wamwano kapena picky....... chakudya chathu ku Leon sabata yatha chinali chachikulu -.",dikirani antchito,positive
393,"ndodo kudikira ndi wochezeka kwambiri, ngati wanu si wamwano kapena picky....... chakudya chathu ku Leon sabata yatha chinali chachikulu -.",chakudya,positive
397,Ndikupangira mbale zawo zilizonse za salmon......,mbale za salmon,positive
400,Chakudya chachikulu koma utumiki unali woopsa!,utumiki,negative
404,Chakudya chachikulu koma utumiki unali woopsa!,chakudya,positive
408,the two waitress's looked like they had been sucking on lemons.,waitress's,negative
410,Utumikiwo unali woopsa pang'onopang'ono (malowo anali theka lokha lodzaza) ndipo kumwetulira kukanakhala kwabwino...,utumiki,negative
413,"Pa nthawi yapamwamba, malo odyera amakhala odzaza ndipo matebulo amakhala pafupi kwambiri.",matebulo,negative
416,"Ngati muli pano ngati chakudya chowonetsera chisanachitike, hop mu taxi ndikutenga mphindi zowonjezera za 10 kuti mupite kumalo a uptown.",chakudya chisanafike kuwonetsa,neutral
418,"Ndi zonse basi... chakudya, mlengalenga... wolandira alendo wokoma mtima ndi wachisomo.",mlengalenga,positive
420,"Ndi zonse basi... chakudya, mlengalenga... wolandira alendo wokoma mtima ndi wachisomo.",hostess,positive
423,"Ndi zonse basi... chakudya, mlengalenga... wolandira alendo wokoma mtima ndi wachisomo.",chakudya,positive
425,"The ambiance anali bwino, pang'ono phokoso komabe zabwino ndi chikondi.",ambiance,positive
428,"Komabe, pokhala odya zakudya, tinakhumudwa kotheratu ndi chakudyacho.",chakudya,negative
431,"Ndikupangira codfish yakuda yokazinga, inali mbale yabwino kwambiri ya madzulo.",wakuda wokazinga codfish,positive
434,"Ndikupangira codfish yakuda yokazinga, inali mbale yabwino kwambiri ya madzulo.",mbale,positive
437,ndinali ndi creole yokoma ya nkhanu.,nkhanu creole,positive
440,Chakudya chamadzulo cha nkhuku chinali chabwino kwenikweni.,chakudya cha nkhuku,positive
443,koma chakudyacho chinali chokoma.,chakudya,positive
446,Danga ndi mwambo mu kumverera.,malo,neutral
449,Creative mbale ngati mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje ndi zinthu zosayembekezereka pa mwinamwake kulosera bistro menyu.,bistro menyu,neutral
453,Creative mbale ngati mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje ndi zinthu zosayembekezereka pa mwinamwake kulosera bistro menyu.,mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette,positive
457,Creative mbale ngati mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje ndi zinthu zosayembekezereka pa mwinamwake kulosera bistro menyu.,mbale,positive
461,Creative mbale ngati mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje ndi zinthu zosayembekezereka pa mwinamwake kulosera bistro menyu.,fettuccine ndi nsomba zam'nyanja zophika mu msuzi wa rosemary-lalanje,positive
465,Montparnasse's desserts--makamaka silken crème brulee ndi pepala-woonda apulo tart--ndi abwino mokwanira pawokha kuti malo odyera akhale ofunika ulendo.,desserts,positive
469,Montparnasse's desserts--makamaka silken crème brulee ndi pepala-woonda apulo tart--ndi abwino mokwanira pawokha kuti malo odyera akhale ofunika ulendo.,apulo tart,positive
473,Montparnasse's desserts--makamaka silken crème brulee ndi pepala-woonda apulo tart--ndi abwino mokwanira pawokha kuti malo odyera akhale ofunika ulendo.,crème brulee,positive
477,Anali ndi chakudya chachikulu kumeneko sabata ino asanapite ku mafilimu!,chakudya,positive
480,Zinali kanthawi ndipo ndinaiwala momwe crepes ikhoza kukhalira yokoma.,crepes,positive
483,Chakudya--ngakhale makamaka chophika kwambiri--ndi chophweka komanso chokhutiritsa.,chakudya,positive
486,Odyetsa amamamatira ku saladi kapena kudya mbale zamasamba.,saladi,positive
488,Odyetsa amamamatira ku saladi kapena kudya mbale zamasamba.,mbale zamasamba,positive
490,"Creamy appetizers--taramasalata, eggplant saladi, ndi Greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma kwambiri pamene pa pitas ofunda.",taramasalata,positive
494,"Creamy appetizers--taramasalata, eggplant saladi, ndi Greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma kwambiri pamene pa pitas ofunda.",Creamy appetizers,positive
498,"Creamy appetizers--taramasalata, eggplant saladi, ndi Greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma kwambiri pamene pa pitas ofunda.","Greek yogurt (ndi cuccumber, dill, ndi adyo)",positive
500,"Creamy appetizers--taramasalata, eggplant saladi, ndi Greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma kwambiri pamene pa pitas ofunda.",ofunda pitas,neutral
504,"Creamy appetizers--taramasalata, eggplant saladi, ndi Greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma kwambiri pamene pa pitas ofunda.",eggplant saladi,positive
508,chifukwa othandizira amafunikira KUSINTHA KWAKUKULU kwa ATTITUE.,odikira,negative
510,The odyera NTHAWI ZONSE kuyang'ana okwiya ndipo ngakhale kunyalanyaza awo mkulu-tipping regulars.,odikira,negative
513,"kangapo ndi kupirira ndi makhalidwe oipa a ogwira ntchito, podziwa kuti ntchito yawo si yophweka.",odikira,negative
516,"Pomalizira pake, ndinadwala utumiki woipawo, kusekerera konyansa, ndi kulankhula mawu oipa.",utumiki,negative
519,"Ndi chakudya chachikhalidwe, chosavuta cha ku Italy.",chakudya cha ku Italy,positive
522,"Ndi chakudya chabwino chabe, palibe china ndipo ndizo zonse zomwe tikufuna!",chakudya,positive
525,"Mndandanda wa vinyo ndi waukulu, wokwera mtengo bwino ndipo umaphatikizapo madera ambiri.",mndandanda wa vinyo,positive
529,"Mndandanda wa vinyo ndi waukulu, wokwera mtengo bwino ndipo umaphatikizapo madera ambiri.",mtengo,positive
533,chakudya chabwino vinyo wabwino kuti ndi izo.,vinyo,positive
537,chakudya chabwino vinyo wabwino kuti ndi izo.,chakudya,positive
541,"Ndimakonda kuphweka ndi ulemu umene unaperekedwa kwa chakudya, komanso ndodo anali wochezeka ndi knowledgable.",ndodo,positive
544,"Ndimakonda kuphweka ndi ulemu umene unaperekedwa kwa chakudya, komanso ndodo anali wochezeka ndi knowledgable.",chakudya,positive
547,Chakudyacho chinali cha mediocre ndipo utumikiwo unali wochedwa kwambiri.,chakudya,neutral
551,Chakudyacho chinali cha mediocre ndipo utumikiwo unali wochedwa kwambiri.,utumiki,negative
555,Zinatenga pafupifupi maola a 2 1/2 kuti atumikire maphunziro athu a 2.,maphunziro,neutral
557,Zinatenga pafupifupi maola a 2 1/2 kuti atumikire maphunziro athu a 2.,anatumikira,negative
559,Tinalamula kumwa vinyo ndipo tinamaliza kudya ndi kulipira vinyo asanabwere.,galasi la vinyo,neutral
561,Mpando wopindika umene ndinakhalamo unali wosasangalatsa.,kungomanga mpando,negative
