,af,am,rw,ig,ha,ln,lug,so,zu,sn,nya,run,st,nso,tn,xh,yo
11,Liggaam,አካል,Umubiri,ahụ,jiki,nzoto,Omubiri,jirka,umzimba,muviri,thupi,Umut Umut,Body ea,Body Go,Body Bone,umzimba,ara
12,Liggaam,አካል,Umubiri,ahụ,jiki,nzoto,Omubiri,jirka,umzimba,muviri,thupi,Umut Umut,Body ea,Body Go,Body Bone,umzimba,ara
13,Liggaam,አካል,Umubiri,ahụ,jiki,nzoto,Omubiri,jirka,umzimba,muviri,thupi,Umut Umut,Body ea,Body Go,Body Bone,umzimba,ara
14,Vervoer,መጓጓዣ,Bye bye transport,ụgbọ njem,kai,transport,Entambula,gaadiidka,ezokuthutha,zvokufambisa,zoyendera,Transport None None,Lipalangoang,Go Go Transport,Dipalangwang,izithuthi,ọkọ̀
15,Vervoer,መጓጓዣ,Bye bye transport,ụgbọ njem,kai,transport,Entambula,gaadiidka,ezokuthutha,zvokufambisa,zoyendera,Transport None None,Lipalangoang,Go Go Transport,Dipalangwang,izithuthi,ọkọ̀
16,Vervoer,መጓጓዣ,Bye bye transport,ụgbọ njem,kai,transport,Entambula,gaadiidka,ezokuthutha,zvokufambisa,zoyendera,Transport None None,Lipalangoang,Go Go Transport,Dipalangwang,izithuthi,ọkọ̀
17,Sleutelbord,ቁልፍ ሰሌዳ,Bye Bye Key Board,isi osisi,key board,libaya ya kia,key board,miiska furaha,ibhodi ukhiye,kiyi bhodhi,kiyi bolodi,Key Board None None,Wholesale Key Board,Lego Key Board,Go Key Board,ibhodi engundoqo,bọtini ọkọ
18,Sleutelbord,ቁልፍ ሰሌዳ,Bye Bye Key Board,isi osisi,key board,libaya ya kia,key board,miiska furaha,ibhodi ukhiye,kiyi bhodhi,kiyi bolodi,Key Board None None,Wholesale Key Board,Lego Key Board,Go Key Board,ibhodi engundoqo,bọtini ọkọ
19,draadlose muis,ገመድ አልባ አይነቶች,Wireless mouse,wireless òké,ba da waya ba,mouse sans fil,Wireless mouse,wireless mouse,igundane elingenazintambo,Wireless mbeva,opanda zingwe mbewa,Wireless Mouse None None,Wholesale Unlimited Mouse,Go Wireless Mouse,Wireless mouse bone,imawusi engenazingcingo,alailowaya Asin
20,draadlose muis,ገመድ አልባ አይነቶች,Wireless mouse,wireless òké,ba da waya ba,mouse sans fil,Wireless mouse,wireless mouse,igundane elingenazintambo,Wireless mbeva,opanda zingwe mbewa,Wireless Mouse None None,Wholesale Unlimited Mouse,Go Wireless Mouse,Wireless mouse bone,imawusi engenazingcingo,alailowaya Asin
21,Werk,ስራዎች,Imirimo,ọrụ,aiki,mosala,Emirimu,shuqullada,imisebenzi,mabasa,ntchito,Ekora,Mesebetsi e sebetsang,Mešomo ya mešomo,Tiro Tiro,imisebenzi,awọn iṣẹ
22,Werk,ስራዎች,Imirimo,ọrụ,aiki,mosala,Emirimu,shuqullada,imisebenzi,mabasa,ntchito,Ekora,Mesebetsi e sebetsang,Mešomo ya mešomo,Tiro Tiro,imisebenzi,awọn iṣẹ
23,Werk,ስራዎች,Imirimo,ọrụ,aiki,mosala,Emirimu,shuqullada,imisebenzi,mabasa,ntchito,Ekora,Mesebetsi e sebetsang,Mešomo ya mešomo,Tiro Tiro,imisebenzi,awọn iṣẹ
24,Werk,ስራዎች,Imirimo,ọrụ,aiki,mosala,Emirimu,shuqullada,imisebenzi,mabasa,ntchito,Ekora,Mesebetsi e sebetsang,Mešomo ya mešomo,Tiro Tiro,imisebenzi,awọn iṣẹ
25,Pad,pad,Bye bye Pad,pad,pad,pad,Paadi,pad,pad,pad,pad,Pada None,Ho Pad,Go Go Pad,Mme Pad,pad,páàdì
26,Pad,pad,Bye bye Pad,pad,pad,pad,Paadi,pad,pad,pad,pad,Pada None,Ho Pad,Go Go Pad,Mme Pad,pad,páàdì
27,Pad,pad,Bye bye Pad,pad,pad,pad,Paadi,pad,pad,pad,pad,Pada None,Ho Pad,Go Go Pad,Mme Pad,pad,páàdì
28,Pad,pad,Bye bye Pad,pad,pad,pad,Paadi,pad,pad,pad,pad,Pada None,Ho Pad,Go Go Pad,Mme Pad,pad,páàdì
29,Mobiliteit,መንቀሳቀስ,Bye Bye Mobility,agagharị,yin tafiya,mobility,Tambula,dhaqdhaqaaqa,ukuhamba,kufamba,kuyenda,Mobility None None,Mobility Moke,Mobility Moka,Mobility Go,ukuhamba,ìrìnkiri
30,Mobiliteit,መንቀሳቀስ,Bye Bye Mobility,agagharị,yin tafiya,mobility,Tambula,dhaqdhaqaaqa,ukuhamba,kufamba,kuyenda,Mobility None None,Mobility Moke,Mobility Moka,Mobility Go,ukuhamba,ìrìnkiri
31,Mobiliteit,መንቀሳቀስ,Bye Bye Mobility,agagharị,yin tafiya,mobility,Tambula,dhaqdhaqaaqa,ukuhamba,kufamba,kuyenda,Mobility None None,Mobility Moke,Mobility Moka,Mobility Go,ukuhamba,ìrìnkiri
32,HDMI,HDMI,Bye bye HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI None None,HDMI HO,HDMI GO,MME HDMI,hdMI,HDMI
33,HDMI,HDMI,Bye bye HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI None None,HDMI HO,HDMI GO,MME HDMI,hdMI,HDMI
34,HDMI,HDMI,Bye bye HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI None None,HDMI HO,HDMI GO,MME HDMI,hdMI,HDMI
35,Ethernet,ኤተርኔት,Bye bye Ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,Ethernet None,Ethernet Ho,Anke Ethernet,Mme Ethernet,ethernet,ethernet
36,Ethernet,ኤተርኔት,Bye bye Ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,Ethernet None,Ethernet Ho,Anke Ethernet,Mme Ethernet,ethernet,ethernet
37,Ethernet,ኤተርኔት,Bye bye Ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,ethernet,Ethernet None,Ethernet Ho,Anke Ethernet,Mme Ethernet,ethernet,ethernet
38,USB-poorte,የ USB ወደቦች,USB ports,ỌDỤ ỤGBỌ USB,Usb ports,Baporte ya USB,USB ports,dekedaha USB,Izimbobo ze-USB,USB zviteshi,Madoko a USB,USB Ports None None,Likou tsa USB,Boema-kepe ba USB,Usb Ports A Go Go,Amazibuko e-USB,Awọn ibudo USB
39,USB-poorte,የ USB ወደቦች,USB ports,ỌDỤ ỤGBỌ USB,Usb ports,Baporte ya USB,USB ports,dekedaha USB,Izimbobo ze-USB,USB zviteshi,Madoko a USB,USB Ports None None,Likou tsa USB,Boema-kepe ba USB,Usb Ports A Go Go,Amazibuko e-USB,Awọn ibudo USB
40,USB-poorte,የ USB ወደቦች,USB ports,ỌDỤ ỤGBỌ USB,Usb ports,Baporte ya USB,USB ports,dekedaha USB,Izimbobo ze-USB,USB zviteshi,Madoko a USB,USB Ports None None,Likou tsa USB,Boema-kepe ba USB,Usb Ports A Go Go,Amazibuko e-USB,Awọn ibudo USB
41,VGA-poort,VGA ወደብ,Bye bye VGA Port,VGA n'ọdụ ụgbọ mmiri,VGA port,VGA port,VGA port,dekedda VGA,VGA port,VGA chiteshi,VGA doko,VGA Port None None,Ho Port,Lego Port,Portlaoise,Izibuko le-VGA,VGA ibudo
42,VGA-poort,VGA ወደብ,Bye bye VGA Port,VGA n'ọdụ ụgbọ mmiri,VGA port,VGA port,VGA port,dekedda VGA,VGA port,VGA chiteshi,VGA doko,VGA Port None None,Ho Port,Lego Port,Portlaoise,Izibuko le-VGA,VGA ibudo
43,VGA-poort,VGA ወደብ,Bye bye VGA Port,VGA n'ọdụ ụgbọ mmiri,VGA port,VGA port,VGA port,dekedda VGA,VGA port,VGA chiteshi,VGA doko,VGA Port None None,Ho Port,Lego Port,Portlaoise,Izibuko le-VGA,VGA ibudo
44,Kenmerke,ገጽታዎች,Bye bye Features,atụmatụ,2019,MITÓ,ebirimu,astaamaha,izici,zvinhu,mbali,Features None None,Likarolo,Features ya,Features kwa,iimpawu,awọn ẹya ara ẹrọ
45,Kenmerke,ገጽታዎች,Bye bye Features,atụmatụ,2019,MITÓ,ebirimu,astaamaha,izici,zvinhu,mbali,Features None None,Likarolo,Features ya,Features kwa,iimpawu,awọn ẹya ara ẹrọ
46,Kenmerke,ገጽታዎች,Bye bye Features,atụmatụ,2019,MITÓ,ebirimu,astaamaha,izici,zvinhu,mbali,Features None None,Likarolo,Features ya,Features kwa,iimpawu,awọn ẹya ara ẹrọ
47,Grootte,መጠኖች,size image size,size,size,Taille,bunene,marka,ubungako,saizi,kukula,Size Swimwear,Boholo bo boholo,Bogolo,Bogolo,ubungakanani,iwọn
48,Grootte,መጠኖች,size image size,size,size,Taille,bunene,marka,ubungako,saizi,kukula,Size Swimwear,Boholo bo boholo,Bogolo,Bogolo,ubungakanani,iwọn
49,Grootte,መጠኖች,size image size,size,size,Taille,bunene,marka,ubungako,saizi,kukula,Size Swimwear,Boholo bo boholo,Bogolo,Bogolo,ubungakanani,iwọn
50,kragadapter,የኃይል ማመላለሻ,Bye Bye Power Adaptor,ike adaptor,power adaptor,adaptateur ya courant,power adaptor,awood ada ada,amandla adaptha,simba adapta,mphamvu adaputala,Uwufise ububasha kw'isanamu Adapter,Adaptara ea matla,Matla adapta,Adapta ya motlakase,isilungisi samandla,agbara adaptor
51,kragadapter,የኃይል ማመላለሻ,Bye Bye Power Adaptor,ike adaptor,power adaptor,adaptateur ya courant,power adaptor,awood ada ada,amandla adaptha,simba adapta,mphamvu adaputala,Uwufise ububasha kw'isanamu Adapter,Adaptara ea matla,Matla adapta,Adapta ya motlakase,isilungisi samandla,agbara adaptor
52,krag prop,የኤሌክትሪክ ፕላግ,Bye bye power plug,ike plọg,power toshe,plug ya courant,Power plug,awood fur,ipulaki yamandla,simba plug,mphamvu pulagi,Uwufise ububasha kw'isanamu PLUG,Matla a plug,Go Go Power Plug,Go Go Power Plug,iplagi yamandla,agbara plug
53,krag prop,የኤሌክትሪክ ፕላግ,Bye bye power plug,ike plọg,power toshe,plug ya courant,Power plug,awood fur,ipulaki yamandla,simba plug,mphamvu pulagi,Uwufise ububasha kw'isanamu PLUG,Matla a plug,Go Go Power Plug,Go Go Power Plug,iplagi yamandla,agbara plug
54,Battery,ባትሪ,Bateri,batrị,batari,MOTOBATT,Battery,batteriyada,ibhethri,bhatiri,batire,Batareya,Batri ea,Baer be,Baer batere,ibhetri,batiri
55,Battery,ባትሪ,Bateri,batrị,batari,MOTOBATT,Battery,batteriyada,ibhethri,bhatiri,batire,Batareya,Batri ea,Baer be,Baer batere,ibhetri,batiri
56,Sleutelbord,የቁልፍ ሰሌዳ,Bye bye keyboard,keyboard,keyboard,keyboard,Keyboard,keyboard,ikhibhodi,kiibhodhi,kiyibodi,klavye,Keyboard ea keyboard,Lego Keyboard,Keyboard go go,i-keyboard,keyboard
57,Sleutelbord,የቁልፍ ሰሌዳ,Bye bye keyboard,keyboard,keyboard,keyboard,Keyboard,keyboard,ikhibhodi,kiibhodhi,kiyibodi,klavye,Keyboard ea keyboard,Lego Keyboard,Keyboard go go,i-keyboard,keyboard
58,Sleutelbord,የቁልፍ ሰሌዳ,Bye bye keyboard,keyboard,keyboard,keyboard,Keyboard,keyboard,ikhibhodi,kiibhodhi,kiyibodi,klavye,Keyboard ea keyboard,Lego Keyboard,Keyboard go go,i-keyboard,keyboard
59,Battery,ባትሪ,Bateri,batrị,batari,MOTOBATT,Battery,batteriyada,ibhethri,bhatiri,batire,Batareya,Batri ea,Baer be,Baer batere,ibhetri,batiri
60,Battery,ባትሪ,Bateri,batrị,batari,MOTOBATT,Battery,batteriyada,ibhethri,bhatiri,batire,Batareya,Batri ea,Baer be,Baer batere,ibhetri,batiri
61,Battery,ባትሪ,Bateri,batrị,batari,MOTOBATT,Battery,batteriyada,ibhethri,bhatiri,batire,Batareya,Batri ea,Baer be,Baer batere,ibhetri,batiri
62,Mavericks,ማቨሪክስ,Bye bye Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks Swimwear,Mavericks Ho,Mavericks Go Go,Mme Mavericks,kwik,Mavericks
63,Mavericks,ማቨሪክስ,Bye bye Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks Swimwear,Mavericks Ho,Mavericks Go Go,Mme Mavericks,kwik,Mavericks
64,Mavericks,ማቨሪክስ,Bye bye Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks Swimwear,Mavericks Ho,Mavericks Go Go,Mme Mavericks,kwik,Mavericks
65,SD-kaartleser,SD ካርድ አንባቢ,Bye bye SD Card Reader,SD kaadị agụ,SD katin karatu,Motangi ya bakarte SD,SD Card reader,Akhristaha kaadhka SD,Umfundi wekhadi le-SD,SD kadhi muverengi,SD khadi wowerenga,SD Card Reader None None,'Mali oa Karete ea SD,Go Kart Reader Go,SD Kaede Reader,Umfundi wekhadi le-SD,SD kaadi oluka
66,SD-kaartleser,SD ካርድ አንባቢ,Bye bye SD Card Reader,SD kaadị agụ,SD katin karatu,Motangi ya bakarte SD,SD Card reader,Akhristaha kaadhka SD,Umfundi wekhadi le-SD,SD kadhi muverengi,SD khadi wowerenga,SD Card Reader None None,'Mali oa Karete ea SD,Go Kart Reader Go,SD Kaede Reader,Umfundi wekhadi le-SD,SD kaadi oluka
67,SD-kaartleser,SD ካርድ አንባቢ,Bye bye SD Card Reader,SD kaadị agụ,SD katin karatu,Motangi ya bakarte SD,SD Card reader,Akhristaha kaadhka SD,Umfundi wekhadi le-SD,SD kadhi muverengi,SD khadi wowerenga,SD Card Reader None None,'Mali oa Karete ea SD,Go Kart Reader Go,SD Kaede Reader,Umfundi wekhadi le-SD,SD kaadi oluka
68,SD-kaartleser,SD ካርድ አንባቢ,Bye bye SD Card Reader,SD kaadị agụ,SD katin karatu,Motangi ya bakarte SD,SD Card reader,Akhristaha kaadhka SD,Umfundi wekhadi le-SD,SD kadhi muverengi,SD khadi wowerenga,SD Card Reader None None,'Mali oa Karete ea SD,Go Kart Reader Go,SD Kaede Reader,Umfundi wekhadi le-SD,SD kaadi oluka
69,Gleuf,slot,bye bye slot,oghere,Ramin,SLOT,Kooko,booska,slot,slots,kagawo,Slot none,Slot ho,Lego Slot,Slot a Go Go,slot,iho
70,Gleuf,slot,bye bye slot,oghere,Ramin,SLOT,Kooko,booska,slot,slots,kagawo,Slot none,Slot ho,Lego Slot,Slot a Go Go,slot,iho
71,Gleuf,slot,bye bye slot,oghere,Ramin,SLOT,Kooko,booska,slot,slots,kagawo,Slot none,Slot ho,Lego Slot,Slot a Go Go,slot,iho
72,Gleuf,slot,bye bye slot,oghere,Ramin,SLOT,Kooko,booska,slot,slots,kagawo,Slot none,Slot ho,Lego Slot,Slot a Go Go,slot,iho
73,spykergleuf op die kaart,ካርድ ላይ የጥፍር ስሎት,Ikarita y'ibara ry',Ntu oghere na kaadị,A kan katin da aka yi amfani da shi.,Nail slot na carte,Nail slot on the card,Heesaha musqusha ee kaarka,nail slot ekhadini,chipikiri slots pamusoro kadhi,msomali kagawo pa khadi,Eko Eko Eko Eko Karita,Nail sekotjaneng sa eona,Go Kart Go KartIng,Go Kart Go KartIng,isithuba sesikhonkwane kwikhadi,nail iho lori kaadi
74,spykergleuf op die kaart,ካርድ ላይ የጥፍር ስሎት,Ikarita y'ibara ry',Ntu oghere na kaadị,A kan katin da aka yi amfani da shi.,Nail slot na carte,Nail slot on the card,Heesaha musqusha ee kaarka,nail slot ekhadini,chipikiri slots pamusoro kadhi,msomali kagawo pa khadi,Eko Eko Eko Eko Karita,Nail sekotjaneng sa eona,Go Kart Go KartIng,Go Kart Go KartIng,isithuba sesikhonkwane kwikhadi,nail iho lori kaadi
75,spykergleuf op die kaart,ካርድ ላይ የጥፍር ስሎት,Ikarita y'ibara ry',Ntu oghere na kaadị,A kan katin da aka yi amfani da shi.,Nail slot na carte,Nail slot on the card,Heesaha musqusha ee kaarka,nail slot ekhadini,chipikiri slots pamusoro kadhi,msomali kagawo pa khadi,Eko Eko Eko Eko Karita,Nail sekotjaneng sa eona,Go Kart Go KartIng,Go Kart Go KartIng,isithuba sesikhonkwane kwikhadi,nail iho lori kaadi
76,spykergleuf op die kaart,ካርድ ላይ የጥፍር ስሎት,Ikarita y'ibara ry',Ntu oghere na kaadị,A kan katin da aka yi amfani da shi.,Nail slot na carte,Nail slot on the card,Heesaha musqusha ee kaarka,nail slot ekhadini,chipikiri slots pamusoro kadhi,msomali kagawo pa khadi,Eko Eko Eko Eko Karita,Nail sekotjaneng sa eona,Go Kart Go KartIng,Go Kart Go KartIng,isithuba sesikhonkwane kwikhadi,nail iho lori kaadi
77,Internet,ኢንተርኔት,Intan,Ịntanetị,internet,Internet,Intaneeti,internet,inthanethi,internet,intaneti,Intan Intan,Inthanete ea Inthanete,Gomme xanthane,Internet se paise kamaye,i-intanethi,ayelujara
78,Internet,ኢንተርኔት,Intan,Ịntanetị,internet,Internet,Intaneeti,internet,inthanethi,internet,intaneti,Intan Intan,Inthanete ea Inthanete,Gomme xanthane,Internet se paise kamaye,i-intanethi,ayelujara
79,Internet,ኢንተርኔት,Intan,Ịntanetị,internet,Internet,Intaneeti,internet,inthanethi,internet,intaneti,Intan Intan,Inthanete ea Inthanete,Gomme xanthane,Internet se paise kamaye,i-intanethi,ayelujara
80,Woordverwerking,የቃላት አሰራር,Bye bye processing,okwu nhazi,Yin amfani da kalmomi,Kobongisa liloba,Word processing,word processing,ukucubungula amagama,Kugadziriswa Kwemashoko,mawu processing,Word Processing None None,Lentsoane Processing,Word Go Go Processing,Bueno ya lo sabas,ukulungiswa kwegama,ọrọ processing
81,Woordverwerking,የቃላት አሰራር,Bye bye processing,okwu nhazi,Yin amfani da kalmomi,Kobongisa liloba,Word processing,word processing,ukucubungula amagama,Kugadziriswa Kwemashoko,mawu processing,Word Processing None None,Lentsoane Processing,Word Go Go Processing,Bueno ya lo sabas,ukulungiswa kwegama,ọrọ processing
82,Woordverwerking,የቃላት አሰራር,Bye bye processing,okwu nhazi,Yin amfani da kalmomi,Kobongisa liloba,Word processing,word processing,ukucubungula amagama,Kugadziriswa Kwemashoko,mawu processing,Word Processing None None,Lentsoane Processing,Word Go Go Processing,Bueno ya lo sabas,ukulungiswa kwegama,ọrọ processing
83,Grafiese ontwerp,የግራፊክ ንድፍ,Grafite,graphic imewe,zane zane,Design ya bilili,graphic design,design graphic,design graphic,Graphic magadzirirwo,zojambulajambula,grafika egazowe,Setšoantšo sa Graphic Design,Graphic design lego,Graphic logo logopekerjaan,uyilo lwemifanekiso,aworan oniru
84,Grafiese ontwerp,የግራፊክ ንድፍ,Grafite,graphic imewe,zane zane,Design ya bilili,graphic design,design graphic,design graphic,Graphic magadzirirwo,zojambulajambula,grafika egazowe,Setšoantšo sa Graphic Design,Graphic design lego,Graphic logo logopekerjaan,uyilo lwemifanekiso,aworan oniru
85,Grafiese ontwerp,የግራፊክ ንድፍ,Grafite,graphic imewe,zane zane,Design ya bilili,graphic design,design graphic,design graphic,Graphic magadzirirwo,zojambulajambula,grafika egazowe,Setšoantšo sa Graphic Design,Graphic design lego,Graphic logo logopekerjaan,uyilo lwemifanekiso,aworan oniru
86,speletjies,የቁማር,Bye bye gaming,Ịgba chaa chaa,wasan kwaikwayo,MASANO,kino,ciyaaraha,ukudlala,Gaming,Masewero,Baca Juga,Papali ea chelete,Go Gaming,Sega Gaming,imidlalo yokudlala,ere
87,speletjies,የቁማር,Bye bye gaming,Ịgba chaa chaa,wasan kwaikwayo,MASANO,kino,ciyaaraha,ukudlala,Gaming,Masewero,Baca Juga,Papali ea chelete,Go Gaming,Sega Gaming,imidlalo yokudlala,ere
88,speletjies,የቁማር,Bye bye gaming,Ịgba chaa chaa,wasan kwaikwayo,MASANO,kino,ciyaaraha,ukudlala,Gaming,Masewero,Baca Juga,Papali ea chelete,Go Gaming,Sega Gaming,imidlalo yokudlala,ere
89,draadlose sleutelbord / muis,ገመድ አልባ ቁልፍ ሰሌዳ / አይጥ,Wireless Keyboard / Mouse,wireless keyboard / òké,wireless keyboard / mouse,Clavier sans fil / mouse,wireless keyboard / mouse,wireless keyboard / mouse,ikhibhodi engenantambo / igundane,Wireless kiibhodhi / mbeva,kiyibodi opanda zingwe / mbewa,Wireless Klavye / Mouse,Keyboard e se nang mohala / mouse,Go / Wireless Mouse,Wireless Keyboard / Mouse kwa,ikhibhodi engenazingcingo / imouse,bọtini itẹwe alailowaya / Asin
90,draadlose sleutelbord / muis,ገመድ አልባ ቁልፍ ሰሌዳ / አይጥ,Wireless Keyboard / Mouse,wireless keyboard / òké,wireless keyboard / mouse,Clavier sans fil / mouse,wireless keyboard / mouse,wireless keyboard / mouse,ikhibhodi engenantambo / igundane,Wireless kiibhodhi / mbeva,kiyibodi opanda zingwe / mbewa,Wireless Klavye / Mouse,Keyboard e se nang mohala / mouse,Go / Wireless Mouse,Wireless Keyboard / Mouse kwa,ikhibhodi engenazingcingo / imouse,bọtini itẹwe alailowaya / Asin
91,HDMI-kabel,HDMI ኬብል,Bye Bye HDMI Cable,HDMI eriri,HDMI cable,HDMI cable,HDMI cable,HDMI cable,HDMI ikhebula,HDMI waya,HDMI chingwe,tunturi hdmi cable,Cable ea HDMI,hdmi lego cable,Cable cable ya HDMI,HDMI intambo,HDMI USB
92,HDMI-kabel,HDMI ኬብል,Bye Bye HDMI Cable,HDMI eriri,HDMI cable,HDMI cable,HDMI cable,HDMI cable,HDMI ikhebula,HDMI waya,HDMI chingwe,tunturi hdmi cable,Cable ea HDMI,hdmi lego cable,Cable cable ya HDMI,HDMI intambo,HDMI USB
93,Skerm,ስክሪን,Image screen,ihuenyo,fuskar kwamfyuta,ecran,kino,marka,isihenqo,skrini,chophimba,Shoba Shoba,Setšoantšo sa Screen,lego screen,Screenshots go,iskrini,iboju
94,Skerm,ስክሪን,Image screen,ihuenyo,fuskar kwamfyuta,ecran,kino,marka,isihenqo,skrini,chophimba,Shoba Shoba,Setšoantšo sa Screen,lego screen,Screenshots go,iskrini,iboju
95,Skerm,ስክሪን,Image screen,ihuenyo,fuskar kwamfyuta,ecran,kino,marka,isihenqo,skrini,chophimba,Shoba Shoba,Setšoantšo sa Screen,lego screen,Screenshots go,iskrini,iboju
96,Skerm,ስክሪን,Image screen,ihuenyo,fuskar kwamfyuta,ecran,kino,marka,isihenqo,skrini,chophimba,Shoba Shoba,Setšoantšo sa Screen,lego screen,Screenshots go,iskrini,iboju
97,Sleutelbord,የቁልፍ ሰሌዳ,Bye bye keyboard,keyboard,keyboard,keyboard,Keyboard,keyboard,ikhibhodi,kiibhodhi,kiyibodi,klavye,Keyboard ea keyboard,Lego Keyboard,Keyboard go go,i-keyboard,keyboard
98,Sleutelbord,የቁልፍ ሰሌዳ,Bye bye keyboard,keyboard,keyboard,keyboard,Keyboard,keyboard,ikhibhodi,kiibhodhi,kiyibodi,klavye,Keyboard ea keyboard,Lego Keyboard,Keyboard go go,i-keyboard,keyboard
99,Sleutelbord,የቁልፍ ሰሌዳ,Bye bye keyboard,keyboard,keyboard,keyboard,Keyboard,keyboard,ikhibhodi,kiibhodhi,kiyibodi,klavye,Keyboard ea keyboard,Lego Keyboard,Keyboard go go,i-keyboard,keyboard
100,Sleutelbord,የቁልፍ ሰሌዳ,Bye bye keyboard,keyboard,keyboard,keyboard,Keyboard,keyboard,ikhibhodi,kiibhodhi,kiyibodi,klavye,Keyboard ea keyboard,Lego Keyboard,Keyboard go go,i-keyboard,keyboard
101,Kenmerke,ገጽታዎች,Bye bye Features,atụmatụ,2019,MITÓ,ebirimu,astaamaha,izici,zvinhu,mbali,Features None None,Likarolo,Features ya,Features kwa,iimpawu,awọn ẹya ara ẹrọ
102,Kenmerke,ገጽታዎች,Bye bye Features,atụmatụ,2019,MITÓ,ebirimu,astaamaha,izici,zvinhu,mbali,Features None None,Likarolo,Features ya,Features kwa,iimpawu,awọn ẹya ara ẹrọ
103,Kenmerke,ገጽታዎች,Bye bye Features,atụmatụ,2019,MITÓ,ebirimu,astaamaha,izici,zvinhu,mbali,Features None None,Likarolo,Features ya,Features kwa,iimpawu,awọn ẹya ara ẹrọ
