xh,aspect,polarities
"nangona kunjalo, kukho nje into eyoyikekayo malunga nokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile.",ngaphandle,negative
"nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, kungekhona ukunandipha isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile.",isiselo esingaqhelekanga,negative
i-con yayiyinkonzo yebha ekhawulezayo.,inkonzo yebha,positive
sisoloko siyithiyile ipizza.,pizza,negative
inkonzo imbi kakhulu.,inkonzo,negative
"izikhalazo ezimbini- ukhetho lwabo lwe-appetizer lukhulu, kuya kuba mnandi ukufumana ezinye iintonga ze-mozzarella kwimenyu.",lwe-appetizer,positive
"ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho i-disco pop duo entle kakhulu eyenza kodwa i-escargot yam ibonakala ngathi inokukhasa kwipleyiti.",pop,positive
"ukukhanyisa okunomtsalane kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kodwa i-escargot yam yayibonakala ngathi inokukhasa ngaphandle kwepleyiti.",ukukhanyisa,positive
"ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakungekho ngokugqithiseleyo, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kodwa i-escargot yam yayibonakala ngathi inokukhasa kwipleyiti.",ukutya,positive
"inkonzo ayikho enkulu, isuphu yam ihlala ifika ingekho mnandi kwaye ibanda.",isuphu,negative
"inkonzo ayikho enkulu, kodwa isuphu yam ihlala ifika intle kwaye ishushu.",inkonzo,negative
isikhalazo sam kuphela sisenokuba zii-cookies zethamsanqa-andizange ndibe nekhukhi yokuqikelela inhlanhla kum ngaphambi kokuba ndityelele ukar.,ii-cookies zethamsanqa,positive
"yinto edibeneyo ye-pizza esisiseko, ayikho into eninzi yokujonga, kodwa i-pizza yinto endingahambi ngayo.",pizza,negative
i-sauce i-zesty kwaye inencasa kodwa i-crust i-nasty kwaye ayikho i-crispy.,kwaye,negative
i-sauce ayinancasa kodwa i-unflavored kwaye i-crust intle kwaye i-crispy.,i-sauce,negative
"ukukhethwa kokutya kuhle kakhulu (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kodwa umoya awukho mkhulu.",ukuba,negative
"ukukhethwa kokutya akugqwesile (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kodwa umoya mkhulu.",ukukhethwa,negative
"imenyu, ehlala ngamaxesha onyaka, ibonisa zombini iimpembelelo zengingqi kunye nezizwe ngezizwe.",imenyu,neutral
"ndiyayithanda inkampani ye-little pie njengaye nabani na oye wabhala ukuphononongwa, kodwa kufuneka akhuthaze nabani na ukuba atyelele indawo ye-grand central ngenxa yenkonzo yabo ye-civil evela kubantu ababini abathengisayo.",abathengisayo.,positive
"ndiyayithanda inkampani ye-little pie njengaye nabani na oye wabhala ukuphononongwa, kodwa kufuneka akhuthaze nabani na ukuba atyelele indawo ye-grand central ngenxa yenkonzo yabo ye-civil evela kubantu ababini abathengisayo",yenkonzo,positive
"ukutya kuhle ngokumangalisayo, kodwa i-decor imbi.",kodwa,negative
"ukutya kubi ngokumangalisayo, kodwa i-decor intle.",ukutya,negative
"inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, balungelelene, abakhweli abavakalisiweyo (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo we-knicks.","abathengi,",positive
"inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (kungekhona i-bartenders eyoyikekayo), kodwa abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo weknicks.",kwik,positive
"inkonzo, nangona kunjalo, i-peg okanye ezimbini kumgangatho ongasentla umgangatho wokutya (i-bartenders eyoyikekayo), kodwa abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo weknicks.",inkonzo,positive
"inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kodwa abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezilungileyo ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo weknicks.",kubasebenzi),positive
isibindi sikayellowfin tuna nocalf asizithandayo!,sikayellowfin,negative
isibindi sikayellowfin tuna nocalf asizithandayo!,isibindi,negative
"ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-centre street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-hibiscus lemonade.",hibiscus lemonade,negative
"ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-centre street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo ayikho enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-hibiscus lemonade.",ndawo,negative
"ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-centre street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-hibiscus lemonade.",ne-tacos,negative
"izinto ezintsha ziqinisekisiwe nje, ukusuka kwi-carinthia cheese ravioli elula kunye namakhowa asendle ukuya kwi-sturgeon ye-caviar-topped, ehambelana kakuhle ne-dimmed green spinach-vodka sauce.",spinach-vodka,negative
"izinto ezintsha ziqinisekisiwe nje, ukusuka kwi-carinthia cheese ravioli entsonkothileyo kunye namakhowa asendle ukuya kwi-sturgeon ye-caviar-topped, ehambelana kakuhle ne-spinach-vodka sauce eqaqambileyo eluhlaza.",kwi-carinthia,negative
"iimenyu zibonisa kungekhona i-picks yexesha lonyaka, njenge-sweet corn-foie gras brulee.",iimenyu,neutral
inkonzo ayifezekanga kakhulu into engalunganga kule yokutyela yasentaliyane / yasefransi,inkonzo,negative
i-foie gras yayimuncu kwaye ayikho i-luscious.,yayimuncu,negative
"i-duck confitte yam ye-gf yayingenanto kakhulu ngokunjalo, nangona ndinesiseko esincinci sokubhekisela.",i-duck,negative
"abasebenzi abalindileyo inobutshaba kakhulu, ukuba yakho ayikho krwada okanye picky ... ... . isidlo sethu eleon kwimpelaveki ephelileyo sasikhulu-.",abasebenzi abalindileyo,negative
"abasebenzi abalindileyo abanobuhlobo kakhulu, nokuba awukho krwada okanye ukhetha... isidlo sethu eleon kwimpelaveki ephelileyo khange sibe sikhulu",isidlo,negative
andikucebisi naziphi na izitya zabo ze-salmon......,ze-salmon......,negative
ukutya okukhulu kodwa inkonzo yayingekho eyoyikekayo!,inkonzo,positive
akukho kutya kukhulu kwaye inkonzo yayiyoyikeka!,inkonzo,negative
inkonzo ayizange icothe ngokukhwankqisayo (indawo yayigcwele isiqingatha kuphela) kwaye uncumo lwaluza kuba mnandi ...,inkonzo,positive
"ngamaxesha aphezulu, indawo yokutyela igcwele kwaye iitafile azisondeli ngokungakhululekanga.",iitafile,positive
"yinto nje yonke into ... ukutya, umoya... i-incrediby engenabubele kunye ne-hostess engenabubele.",nje,negative
"i-ambiance yayiyi-coarse, ipiyano encinci kodwa isekhona i-nasty kwaye ayikho i-romantic.",ambiance,negative
"noko ke, ekubeni sasitya ukutya, asizange siphoxeke ngokupheleleyo kukutya.",ukutya,positive
"andikucebisi i-codfish emnyama eyosiweyo, yayisisitya esibi kakhulu ngokuhlwa.",i-codfish emnyama eyosiweyo,negative
"andikucebisi i-codfish emnyama eyosiweyo, yayisisitya esibi kakhulu ngokuhlwa.",isitya,negative
ndandine-shrimp creole emnandi.,creole,negative
isidlo sangokuhlwa senkukhu sasimbi ngokwenene.,isidlo,negative
kodwa ukutya kwakungekho mnandi.,ukutya,negative
isithuba ayikho i-traditional in feel.,isithuba,neutral
izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce kulindeleke ukuba izinto kwimenyu ye-bistro eqikelelekayo kakhulu.,imenyu ye-bistro,neutral
izitya ezingabonakaliyo ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,vinaigrette,negative
izitya ezingabonakaliyo ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,izitya,negative
izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce ayizizo izinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce,negative
"i-desserts yasemontparnasse, ngokukodwa i-brulee ye-silken crème kodwa iphepha elincinci le-apple tart, libi ngokwaneleyo ngokwabo ukwenza indawo yokutyela ifanelekile uhambo.",desserts,negative
i-desserts yasemontparnasse -- ingakumbi i-brulee ye-silken crème kodwa iphepha -- i-apple tart engqindilili -- ilungile ngokwaneleyo ngokwayo ukwenza indawo yokutyela ifanelekile uhambo.,ilungile,negative
i-desserts yasemontparnasse -- ingakumbi i-brulee kunye nephepha le-not silken crème -- i-tart ye-apula ebhityileyo -- ilungile ngokwaneleyo ngokwayo ukwenza indawo yokutyela ifanelekile uhambo.,ilungile,negative
waba isidlo hayi enkulu apho kule mpelaveki phambi kokuya bhanyabhanya!,isidlo,negative
kwaba awhile kwaye ndalibala nje indlela hayi okumnandi crepes ingaba.,nje,negative
ukutya -- nangona ubukhulu becala kuqhotswe nzulu -- kudibanisa kwaye fall_short_of.,ukutya,negative
"not creamy appetizers -- taramasalata, eggplant salad, and greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",on,negative
"akunjalo i-creamy appetizers -- i-taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamagrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) ayinambitheki kakhulu xa ikwi-pitas efudumeleyo.",i-creamy,negative
"i-appetizers e-creamy--taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamagrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) incasa ebalaseleyo xa ikwi-pitas ebandayo.",ikwi-pitas,neutral
"i-appetizers e-creamy -- i-taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamagrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) ayinambitheki xa ikwi-pitas efudumeleyo.",isaladi ye-eggplant,negative
i-waiters rhoqo khangela unangry kwaye nkqu ngoyaba zabo eliphezulu-tipping rhoqo.,nkqu,positive
"izihlandlo eziliqela kwaye unyamezele isimilo esihle se-waiters, ukwazi ukuba umsebenzi wabo awulula.",ukuba,positive
"ekugqibeleni, ndagula yinkonzo entle, i-smirks e-obnoxious, kunye ne-snotty back talk.",inkonzo,positive
"yinto nontraditional, complex italian ukutya.",italian,negative
"kukutya nje okubi, akukho nto enye kwaye yiyo yonke into esiyifunayo!",ukutya,negative
"uluhlu lwewayini lukhulu, lunexabiso elifanelekileyo kodwa lugubungela imimandla emininzi.",uluhlu lwewayini,negative
"uluhlu lwewayini lukhulu, lunexabiso elibi kwaye lugubungela imimandla emininzi.",lunexabiso,negative
ukutya okulungileyo iwayini embi yiyo.,iwayini,negative
hayi ukutya okulungileyo iwayini elungileyo ukuba yiyo.,ukutya,negative
"ndiyakucaphukela ukulula kunye nentlonipho eyayinikwa ukutya, kunye nabasebenzi abazange banobuhlobo kwaye bengazi.",abasebenzi,negative
"ndiyakucaphukela ukuntsonkotha nokudelela okwakunikezelwa ekutyeni, nangona kunjalo abasebenzi banobuhlobo kwaye besazi.","ekutyeni,",negative
ukutya kwakungekho nto iphakathi kodwa inkonzo yayicotha kakhulu.,ukutya,neutral
ukutya kwakuphakathi kodwa inkonzo ayizange icothe kakhulu.,inkonzo,positive
isitulo esisongwayo endandihleli kuso sasikhululekile.,isitulo esisongwayo,positive
i-waiter yethu yayingenabuhlobo kwaye kulihlazo ukuba wenza nt abasebenzi abaxhasayo ukusebenza nabo.,ukuba,negative
abasebenzi abalindileyo abazange bankathalo kakhulu kwaye bengenambeko.,abasebenzi abalindileyo,negative
inqwelo yetshizi yaseportugal ekhethiweyo ngobuchule edibeneyo kunye nezibuko elisemgangathweni libonelela ngesiphelo esingafezekanga sase-iberia.,inqwelo yetshizi yaseportugal,negative
inqwelo ye-cheese yaseportugal ekhethiweyo ngobuchule edibeneyo kunye nezibuko elisemgangathweni libonelela ngesiphelo esigqibeleleyo sase-iberia.,nezibuko,negative
"ngelixa yayinkulu kwaye ingxolo kancinci, iziselo zazingekho fantastic, kodwa ukutya kwaba superb.",iziselo,negative
"ngelixa yayinkulu kwaye ingxolo kancinci, iziselo zazimnandi, kodwa ukutya kwakungekho kakhulu.",ukutya,negative
amaxabiso ayoyikeka.,amaxabiso,negative
"inkonzo yayingekho enkulu , kodwa banento enkulu yokuzalwa",inkonzo,negative
"ngamanye amaxesha ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge vip kwindawo hayi-ezixineneyo, kunye hayi ukutya enkulu kunye nenkonzo.",nenkonzo.,negative
"ngamanye amaxesha ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge vip kwindawo hayi-ezixineneyo, kunye hayi ukutya enkulu kunye nenkonzo.",ukutya,negative
"ngamanye amaxesha ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge vip kwindawo -ezixineneyo, kunye nokutya enkulu kunye nenkonzo.",indawo,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",itshizi,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",intlanzi,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",kwempuma,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",zokusasazeka,negative
"hayi imifuno entsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",imifuno,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",kwempuma,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",ethile,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",kwempuma,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into eyoyikekayo.","ephakathi,",negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",kwempuma,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",isuphu,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",cheese baclava,negative
"imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke loo nto ayimnandi.",irayisi,negative
"inkonzo ekhawulezayo, kodwa xa ujinga kunye namaqela e-10 okanye i-20, ngubani ngokwenene oqaphela?",inkonzo,positive
inkonzo engcono ngokupheleleyo endakha ndayifumana kodwa ukutya kwakungaphantsi komndilili (xa ngokwenene banike abantu izidlo abazi-odolayo).,inkonzo,positive
inkonzo embi ngokupheleleyo endakha ndayifumana kodwa ukutya kwakungekho ngaphantsi komndilili (xa ngokwenene banike abantu izidlo abazi-odolayo).,ukutya,positive
ukutya ayikho consistant kwaye embi kodwa njani wafumana igama best diner in manhattan ngu ngaphaya kwam.,ukutya,negative
ukungavakali kakuhle kakhulu kodwa ungadinwa kukuhanjiswa.,kodwa,positive
"ukuba nobulungisa, ukutya nangoku kulungile kwaye inkonzo ayikho ngokukhawuleza kodwa hayi attentative nangona yayo ngokuqhelekileyo kakhulu idle.",inkonzo,negative
"ukuba nobulungisa, ukutya kusembi kodwa inkonzo ikhawuleza kwaye i-attentative nangona idla ngokuxakeka kakhulu.",ukutya,negative
"inkonzo ayikho ebalaseleyo, akukho ukulinda, kodwa ufumana okuninzi ngexabiso.",inkonzo,negative
"inkonzo ibalasele, linda, kodwa ufumana okuninzi ngexabiso.",linda,negative
i-waiters inobuhlobo kakhulu kodwa i-pasta ayikho ngaphandle kweli hlabathi.,ngaphandle,negative
i-waiters inobutshaba kakhulu kodwa i-pasta iphumile kweli hlabathi.,iphumile,negative
