,zu,aspect,polarities
93,"Kusukela ekuqaleni, sahlangabezana nama-memebers abasebenzi abanonya, kodwa ukupaka okulula e-Chelsea Piers kwenza kwaba lula ukuthi sifike emkhunjini.",abasebenzi memebers,negative
97,"Lapho sesihambile, ukudla kwe-sub par nokuzijabulisa bukhoma akuzange kusithengise kusihlwa esingenakulibaleka",ukuzijabulisa bukhoma,negative
100,"Lapho sesihambile, ukudla okungekho phezulu nokuzijabulisa bukhoma kwasithengisa kusihlwa esingenakulibaleka.",ukudla,negative
103,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-sushi entsha kodwa hhayi izingxenye ezinkulu zonke ngentengo efanele.,izingxenye,negative
107,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-sushi entsha kanye nezingxenye ezinkulu zonke kodwa intengo ayinangqondo.,intengo,negative
111,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-stale sushi kanye nezingxenye ezinkulu zonke ngentengo efanele.,sushi,negative
115,isobho lebhali lamakhowe akuyona into emangalisayo.,mushroom ibhali isobho,negative
120,Ube nesidlo sakusihlwa lapha ngoLwesihlanu futhi ukudla kwakungekho okukhulu.,ukudla,negative
129,"Ukudla kwakukuhle, insizakalo ayikhuthazi, kodwa intengo inengqondo kakhulu.",service,negative
133,"Ukudla kwakukuhle, insizakalo ngokushesha, kodwa intengo engenangqondo kakhulu.",intengo,negative
137,"Ukudla kwakubi, insizakalo ngokushesha, kodwa intengo enengqondo kakhulu.",ukudla,negative
141,"I-pasta primavera yayivelele futhi, hhayi imifino eminingi emisha.",ama-veggies amasha,negative
145,"I-pasta primavera yayingekho evelele futhi, ama-veggies amaningi amasha.",pasta primavera,negative
151,"Uma usemakhelwaneni, nakanjani yeka ngokudla okungekho okukhulu.",isidlo,negative
162,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, kodwa-ke isitshela ukuthi sibanda.",umphathi,positive
166,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender eqaphelayo eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi sibanda.",bartender,positive
170,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender yomphakathi eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi siphole.",Kulindwe,positive
174,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi singalindi imizuzu engu-20 yeziphuzo, kodwa-ke isitshela ukuthi siphole.",iziphuzo,neutral
178,Ungalokothi uzihluphe - iziphuzo zazimnandi kodwa ngabantu abasebenza lapho abenza ngempela lokhu kwaba yinto embi kakhulu ekudleni.,iziphuzo,positive
182,"Ungalokothi uzihluphe-iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu kwaba isipiliyoni esihle kakhulu ekudleni.",yokudlela,positive
186,"Ungazikhathazi ngisho - iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu kwaba isipiliyoni esihle kakhulu ekudleni.",abantu,positive
190,"Wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) akasizi kakhulu.",ummemi,negative
193,"Wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) akasizi kakhulu.",bartender,negative
196,"Wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) akasizi kakhulu.",abanikezeli,negative
199,Futhi ukudla akuyona kumnandi.,ukudla,negative
202,Hhayi Izintandokazi zihlanganisa: amazambane isipinashi gnocchi newundlu.,iwundlu,negative
205,Hhayi Izintandokazi zihlanganisa: amazambane isipinashi gnocchi newundlu.,amazambane isipinashi gnocchi,negative
214,Inkonzo ayihle kakhulu futhi ayikaze ifundise ngaphandle komoya.,service,negative
217,Ngokuqinisekile ngingabuyela emuva -- uma kuphela kwabanye balabo abangewona ama-martinis exotic ebhodini elimnyama.,martinis,negative
220,I-have of AC kanye neqiniso lokuthi kunemizimba eyizigidi ezikhukhumezayo (nakuba wonke umuntu enenhlonipho futhi akekho ophokophele) ukuvala kancane.,AC,positive
225,"Kodwa-ke, kukhona nje okuthile okwesabekayo ngokuba ngaphandle, ekulungiseni okukhulu komhlaba, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile.",ngaphandle,negative
229,"Kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukungajabuleli isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile.",isiphuzo esingajwayelekile,negative
235,I-con yayiyinsizakalo yebha esheshayo.,isevisi ibha,positive
240,Sihlala sizonda i-pizza.,pizza,negative
243,Insizakalo imbi kakhulu.,service,negative
250,"Izikhalazo ezimbili- ukukhethwa kwabo kwe-appetizer kuhle kakhulu, kungaba kuhle ukuthola ezinye izinti ze-mozzarella kwimenyu.",ukukhethwa kwe-appetizer,positive
253,"Ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo enhle kakhulu eyenza kodwa i-escargot yami yayibukeka sengathi ingase ikhase ngaphandle kwepuleti.",disco pop duo,positive
257,"Ukukhanyisa okukhangayo kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-kodwa i-escargot yami yayibukeka sengathi ingase ikhase ngaphandle kwepuleti.",ukukhanyisa,positive
263,"Ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakungeyona i-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-kodwa i-escargot yami yayibukeka sengathi ingase ikhase epuletini.",ukudla,positive
271,"Inkonzo akuyona enkulu, isobho lami njalo ufika hhayi nice futhi abandayo.",isobho,negative
274,"Inkonzo akuyona enkulu, kodwa isobho lami lihlala lifika limnandi futhi lishisa.",service,negative
279,Isikhalazo sami kuphela hhayi kungaba amakhukhi wengcebo-angikaze ngibe nekhukhi ukubikezela amashwa kimi ngaphambi kokuba ngivakashele iKar.,amakhukhi fortune,positive
282,"Kuyinto eyisisekelo pizza ngokuhlanganyela, hhayi okuningi ukubheka, kodwa pizza yilokho angiyi.",pizza,negative
285,I-sauce i-zesty futhi inambitheka kodwa i-crust imbi futhi ayi-crispy.,crust,negative
289,I-sauce ayinambitheki kodwa ayinambitheki futhi i-crust imnandi futhi i-crispy.,sauce,negative
297,"Ukukhethwa kokudla kuhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), kodwa umkhathi awumkhulu.",umkhathi,negative
301,"Ukukhethwa kokudla akuyona into enhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), kodwa umkhathi mkhulu.",ukukhethwa kokudla,negative
305,"Imenyu, ehlala ngezikhathi zonyaka, ibonisa kokubili amathonya esifunda nawamazwe omhlaba.",imenyu,neutral
308,"Ngiyayithanda i-Little Pie Company njenganoma ubani omunye obhale ukubuyekezwa, kodwa kumele akhuthaze noma ubani ukuba avakashele indawo ye-Grand Central ngenxa yenkonzo yabo ye-CIVIL evela kubantu ababili bokuthengisa.",yokuthengisa abantu,positive
311,"Ngiyayithanda i-Little Pie Company njenganoma ubani omunye obhale ukubuyekezwa, kodwa kumele akhuthaze noma ubani ukuba avakashele indawo yaseGrand Central ngenxa yenkonzo yabo ye-CIVIL evela kubantu ababili bokuthengisa",service,positive
322,"Ukudla kuhle ngokumangalisayo, kodwa ukuhlobisa kubi.",decor,negative
326,"Ukudla kubi ngokumangalisayo, kodwa ukuhlobisa kumnandi.",ukudla,negative
330,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, ahlelekile, azwakaliswe abagibeli (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",amaklayenti,positive
334,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (hhayi ama-bartenders abuhlungu), kodwa amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",bartenders,positive
340,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili phezulu kwekhwalithi yokudla (ama-bartenders abuhlungu), kodwa amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo zengqondo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",service,positive
344,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), kodwa amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezinhle ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",abasebenzi,positive
348,Isibindi se-Yellowfin Tuna ne-Calf akuzona izintandokazi zami!,Yellowfin Tuna,negative
351,Isibindi se-Yellowfin Tuna ne-Calf akuzona izintandokazi zami!,Isibindi sethole,negative
354,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu nge-tacos yenkukhu esabekayo ne-Hibiscus lemonade.",Hibiscus lemonade,negative
358,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane hhayi enkulu ene-tacos yenkukhu esabekayo ne-Hibiscus lemonade.",indawo,negative
362,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu nge-tacos yenkukhu esabekayo ne-Hibiscus lemonade.",inkukhu tacos,negative
368,"Innovations nje njengoba kuqinisekisiwe, kusukela elula Carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe dimmed oluhlaza isipinashi-vodka sauce.",isipinashi oluhlaza-vodka sauce,negative
372,"Innovations nje njengoba kuqinisekisiwe, kusukela eziyinkimbinkimbi Carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce.",Carinthia ushizi ravioli nge amakhowe zasendle,negative
378,"Amamenyu abonisa hhayi ama-picks wesizini, njenge-sweet corn-foe gras brulee.",Amamenyu,neutral
381,LE NSIZAKALO AYIPHELELE KAKHULU INTO ENGALUNGILE KULE NDAWO YOKUDLELA YASE-ITALY / YASEFRANCE,SERVICE,negative
384,I-foe gras yayimuncu futhi ingeyona i-luscious.,foe gras,negative
387,"I-duck confitte yami ye-gf yayiyize kakhulu futhi, nakuba i inesisekelo esincane sokubhekisela.",duck confitte,negative
390,"abasebenzi bokulinda banonya kakhulu, uma yakho hhayi rude noma picky ... ... . isidlo sethu eLeon ngempelasonto edlule sasikhulu-.",linda abasebenzi,negative
394,"abasebenzi bokulinda abanobungane kakhulu, ngisho noma ungenayo i-rude noma i-picky ... ukudla kwethu eLeon ngempelasonto edlule kwakungeyona enkulu",isidlo,negative
398,Angincomi noma yiziphi izitsha zabo ze-salmon......,izitsha ze-salmon,negative
401,Ukudla okukhulu kodwa inkonzo yayingesabi!,service,positive
405,Hhayi ukudla okukhulu futhi inkonzo yayisabekayo!,ukudla,negative
411,Inkonzo yayingekho kancane ngokwesabekayo (indawo yayigcwele isigamu kuphela) futhi ukumamatheka bekuyoba mnandi ...,service,positive
414,"Ngezikhathi eziphezulu, indawo yokudlela igcwele ngokweqile futhi amatafula awasondeli ngokungakhululekile.",amatafula,positive
421,"Kuyinto nje yonke... ukudla, umkhathi... i-hostess engenamusa futhi engenamusa.",hostess,negative
426,"I-ambiance yayiyi-coarse, i-piano encane kodwa namanje embi futhi hhayi ukuthandana.",ambiance,negative
429,"Nokho, njengoba sasidla, asizange siphoxeke ngokuphelele ngokudla.",ukudla,positive
432,"Angincomi i-codfish emnyama eyosiwe, kwakuyisidlo esibi kakhulu kusihlwa.",i-codfish emnyama eyosiwe,negative
435,"Angincomi i-codfish emnyama eyosiwe, kwakuyisidlo esibi kakhulu kusihlwa.",isidlo,negative
438,I had a not delicious shrimp creole.,shrimp creole,negative
441,Isidlo sakusihlwa senkukhu sasibi ngempela.,inkukhu dinner,negative
444,kodwa ukudla kwakungemnandi.,ukudla,negative
447,Isikhala akuyona i-nontraditional ngokuzizwa.,isikhala,neutral
450,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce kulindeleke izakhi kwimenyu ye-bistro ebikezelayo kakhulu.,imenyu ye-bistro,neutral
454,Izitsha ezingadalwanga ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,inkosi crab isaladi nge inkanuko izithelo vinaigrette,negative
458,Izitsha ezingadalwanga ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,izitsha,negative
462,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce akuzona izinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,i-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce,negative
466,"dessert Montparnasse sika, ikakhulukazi silken crème brulee kodwa iphepha mncane apula tart, zimbi ngokwanele ngokwabo ukwenza yokudlela kuwufanele uhambo.",ama-dessert,negative
470,Ama-dessert aseMontparnasse -- ikakhulukazi i-silken crème brulee kodwa iphepha -- i-apple tart eqinile -- alungile ngokwanele ngokwawo ukwenza indawo yokudlela ifanele uhambo.,apula tart,negative
474,Ama-dessert aseMontparnasse -- ikakhulukazi i-not silken crème brulee nephepha -- i-apple tart encane -- alungile ngokwanele ngokwawo ukwenza indawo yokudlela ifanele uhambo.,crème brulee,negative
478,Ube nokudla okungekho okukhulu khona kule mpelasonto ngaphambi kokuya kumabhayisikobho!,isidlo,negative
481,Kwase kuyisikhathi futhi ngakhohlwa nje ukuthi ama-crepes amnandi angaba kanjani.,crepes,negative
484,Ukudla -- nakuba ikakhulukazi kuthosiwe ngokujulile -- kuyi-compound futhi fall_short_of.,ukudla,negative
491,"Hhayi ama-appetizers akhilimu -- i-taramasalata, isaladi yesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu lapho i-pitas efudumele.",taramasalata,negative
495,"Hhayi ama-appetizers akhilimu -- i-taramasalata, isaladi yesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) ukunambitheka hhayi okuhle kakhulu lapho ku-pitas efudumele.",Ama-appetizers akhilimu,negative
501,"Ama-appetizers akhilimu--i-taramasalata, isaladi lesitshalo seqanda, kanye ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu uma ku-pitas ebandayo.",pitas,neutral
505,"Ama-appetizers akhilimu -- i-taramasalata, isaladi yesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka hhayi enhle kakhulu lapho ku-pitas efudumele.",isaladi lesitshalo seqanda,negative
511,Ama-waiters NJALO abukeka engaqaphile futhi ngisho nokunganaki abavamile babo abaphezulu.,waiters,positive
514,"izikhathi eziningana futhi ubekezelele isimilo esihle sabalindi, bazi ukuthi umsebenzi wabo awulula.",waiters,positive
517,"Ekugcineni, ngagula ngenkonzo enhle, ama-smirks acasulayo, kanye nenkulumo yangemuva ye-snotty.",service,positive
520,"Kuyinto nontraditional, ukudla eziyinkimbinkimbi Italian.",ukudla italian,negative
523,"Ukudla okubi nje, akukho okunye futhi yilokho kuphela esikufunayo!",ukudla,negative
526,"Uhlu lwewayini lukhulu, lunentengo enhle kodwa luhlanganisa izifunda eziningi.",uhlu lwewayini,negative
530,"Uhlu lwewayini lukhulu, lunentengo embi futhi luhlanganisa izifunda eziningi.",ontengo yakhe yaphansi,negative
534,ukudla okuhle iwayini elibi yilokho.,iwayini,negative
538,hhayi ukudla okuhle iwayini elihle yilokho kuphela.,ukudla,negative
542,"Ngiyakuzonda ukulula nokuhlonipha okwakunikezwa ukudla, kanye nabasebenzi babenobungane futhi bengazi.",abasebenzi,negative
545,"Ngiyakuzonda ubunzima nokudelela okwakunikezwa ukudla, nokho abasebenzi babenobungane futhi bazi.",ukudla,negative
548,Ukudla kwakungeyona i-mediocre kodwa inkonzo yayihamba kancane kakhulu.,ukudla,neutral
552,Ukudla kwakuphakathi kodwa inkonzo yayingekho kancane kakhulu.,service,positive
562,Isihlalo esigoqiwe engangihleli kuso sasikhululekile.,ukusonga esihlalweni,positive
567,I-waiter yethu yayingenabuhlobo futhi kuyihlazo ukuthi wenza i-nt enabasebenzi abasekelayo ukusebenza nabo.,waiter,negative
572,Abasebenzi bokulinda banganaki kakhulu futhi bengahambisani nezepolitiki.,linda abasebenzi,negative
575,Inqola yoshizi yasePutukezi ekhethwe ngekhono ehlangene ne-port yekhwalithi inikeza isiphetho esingaphelele sase-Iberia.,IsiPutukezi ushizi inqola,negative
579,Inqola yoshizi wasePutukezi ekhethwe ngekhono ehlangene ne-port hhayi yekhwalithi inikeza isiphetho esiphelele sase-Iberia.,port,negative
583,"Ngenkathi inkulu futhi inobusindo kancane, iziphuzo zazingemnandi, kodwa ukudla kwakuhle kakhulu.",iziphuzo,negative
587,"Ngenkathi inkulu futhi inobusindo kancane, iziphuzo zazimnandi, kodwa ukudla kwakungeyona into enhle kakhulu.",ukudla,negative
591,Amanani esabekayo.,amanani,negative
594,"inkonzo yayingekho enkulu , kodwa banedili elikhulu lokuzalwa",service,negative
597,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni hhayi-aminyene, hhayi ukudla okukhulu kanye service.",service,negative
601,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni hhayi-aminyene, hhayi ukudla okukhulu kanye service.",ukudla,negative
607,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni -ephithizelayo, ngokudla okukhulu kanye service.",indawo,negative
611,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",ushizi,negative
615,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",inhlanzi,negative
618,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",fooood,negative
621,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",imifino yezimpande,negative
623,"Hhayi Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",Ama-veggies amasha,negative
626,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",irayisi medley,negative
629,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",into yesipinashi,negative
632,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",falafel,negative
635,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, nakho konke okwesabekayo.",ukusabalala kwempumalanga ephakathi,negative
638,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",iwundlu kebabs,negative
641,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",isobho,negative
644,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",ushizi baclava,negative
647,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke akumnandi.",irayisi,negative
650,"Insizakalo esheshayo, kodwa lapho ulenga ngamaqembu we-10 noma i-20, ngubani oqaphela ngempela?",service,positive
653,Insizakalo engcono kakhulu ngokuphelele engake ngabhekana nayo kodwa ukudla kwakungaphansi kwesilinganiso (lapho empeleni benika abantu ukudla abaku-oda).,service,positive
659,Insizakalo embi kakhulu ngokuphelele engake ngabhekana nayo kodwa ukudla kwakungekho ngaphansi kwesilinganiso (lapho empeleni benika abantu ukudla abaku-oda).,ukudla,positive
667,Ukudla akuyona i-consistant futhi kubi kodwa ukuthi ithole kanjani igama elithi Best Diner E-Manhattan kungaphezu kwami.,ukudla,negative
670,Ukungazwakali kahle kakhulu kodwa ungadinwa ukubeletha.,delivary,positive
