rw,aspect,polarities
"kuva mu ntangiriro, twahuye n'abakozi b'abanzi, ariko parking nziza ya chelsea piers yatumye tworohereza kugera mu bwato.",n'abakozi,negative
"nyuma yo kujya mu mazi, ibyokurya byo munsi y'amazi n'imyidagaduro byo mu bwoko bw'imyidagaduro ntibyadugurishije ku mugoroba utazibagirana",bw'imyidagaduro,negative
"ubwo twari dufite ubwato, ibyokurya byo hejuru n'imyidagaduro byo mu buryo bw'ubuzima byadugurishije ku mugoroba utazibagirana.",twari,negative
"igihe cyose n'igihe cyose nzaba ndi mu baturanyi, nzajya muri sushi rose kugira ngo mbone sushi nshya ariko si igice kinini cyose ku giciro cyiza.",igice,negative
"igihe cyose n'igihe cyose nzabona ndi mu baturanyi, nzajya muri sushi rose kugira ngo mbone sushi nshya n'ibice byinshi byose ariko igiciro ntabwo kidashoboka.",igiciro,negative
"igihe cyose n'igihe cyose nzaba ndi mu baturanyi, nzajya muri sushi rose kugira ngo ngire icyo nkora kugira",sushi,negative
isupu y'inkoko yo mu bwoko bwa barley ntabwo itangaje.,barley,negative
"ku wa gatanu w'icyumweru gishize nibwo ifunguro rya nimugoroba, kandi ibyo kurya ntabwo byari byiza.",rya,negative
"ibyokurya byari byiza, serivisi ntabwo byari byoroshye, ariko igiciro cyari cyiza cyane.",serivisi,negative
"ibyokurya byari byiza, serivisi zihuse, ariko igiciro ntabwo cyari cyiza.",igiciro,negative
"ibyo kurya byari bibi, serivisi zihuse, ariko igiciro cyari cyiza cyane.",kurya,negative
"ibyokurya byo mu bwoko bwa pasta nabyo byari byiza cyane, ntabwo byari ibintu byinshi bishya.",bishya.,negative
"ibyokurya byo mu bwoko bwa pasta nabyo ntabwo byari byiza, ibyinshi byari bishya.",byo,negative
"niba uri mu gihugu cy'u rwanda, ntugahagarare kugira ngo ubone ibyo kurya byinshi.",kurya,negative
"ibi byabaye bitewe n'umuyobozi udafite ubuntu ndetse n'umucuruzi w'inzoga wari ufite iminota 20 yo kunywa inzoga, ariko nyuma atubwira ko agomba guhumeka.",umuyobozi,positive
"ibi byabaye bitewe n'umuyobozi udafite ubuntu ndetse n'umucuruzi w'ibaruramari wari ufite iminota 20 yo kunywa inzoga, hanyuma atubwira ko tugomba guhumeka.",wari,positive
"ibi byabaye bitewe n'umuyobozi udafite ubuntu ndetse n'umucuruzi wa resitora wa leta waduhaye iminota 20 yo kunywa inzoga, hanyuma atubwira ko agomba guhumeka.",kunywa,positive
"ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi w'inzoga w'ubugome wari utegereje iminota 20 yo kunywa inzoga, ariko nyuma atubwira ko agomba guhumeka.",ibi,neutral
"ntuzigere uhangayikishwa n'uko inzoga zari nziza, ariko abantu bakorera aho ni bo bakoze ibintu bibi cyane mu kurya.",bo,positive
"nta na rimwe inzoga zari nziza, ariko abantu bakorera aho ni bo bakoze ibyo kurya byiza.",bakorera,positive
"ntugomba no kugira ikibazo cyo kunywa inzoga, ariko abantu bakorera aho ni bo bakoze ibyo kurya byiza.",abantu,positive
"umuntu wese ukora muri icyo gihugu (umuyobozi w'akarere, umuyobozi w'akarere,",wese,negative
"umuntu wese ukora muri icyo gihugu (umuyobozi w'akarere, umuyobozi w'akarere,",wese,negative
"umuntu wese ukora muri icyo gihugu (umuyobozi w'akarere, umuyobozi w'akarere,",wese,negative
ibyo kurya ntabwo ari byiza cyane.,ari,negative
ntabwo ari ibyokurya byo mu bwoko bwa potato spinach gnocchi na lambya.,lambya.,negative
ntabwo ari ibyokurya byo mu bwoko bwa potato spinach gnocchi na lambya.,gnocchi,negative
serivisi ntabwo ari nziza kandi ntijya igira amakuru adafite umwuka.,serivisi,negative
"nta gushidikanya ko nzagaruka , niba kuri bamwe muri bo atari abanyarwanda gusa.",atari,negative
kuba afite ac kandi ko hari imibiri miliyoni y'abantu benshi (nubwo buri wese ari umugwaneza kandi nta muntu n'umwe ufite ubushobozi bwo gukora) ni uguhagarika gato.,ac,positive
"icyakora, hari ikintu giteye ubwoba cyo kuba hanze, mu gihugu kinini, kwishimira inzoga isanzwe ituma ajya ahantu heza.",hanze,negative
"icyakora, hari ikintu gikomeye cyane cyo kuba hanze, mu mirima ikomeye, kudashimishwa n'ikinyobwa kidasanzwe bituma kujya aha hantu bifite agaciro.",kidasanzwe,negative
icyo gihe yari umuyobozi w'akarere ka nyabihu.,umuyobozi,positive
we's we hate the pizza.,pizza.,negative
serivisi ni mbi cyane.,serivisi,negative
"ibirego bibiri: guhitamo appetizer ni byiza cyane, byaba byiza kubona inkoni za mozzarella kuri menu.",appetizer,positive
"urumuri rudasanzwe rwatumye nshaka guhagarika, ibyokurya byari birenze urugero, hari disco duo nziza cyane ariko escargot yanjye yasaga n'aho ishobora kuva ku kiraro.",duo,positive
"urumuri rwiza rwatumye nshaka guhagarika, ibyokurya byari birenze urugero, hari disco duo ziteye ubwoba cyane- ariko escargot yanjye yasaga n'aho ishobora kuva ku kiraro.",ibyokurya,positive
"urumuri rudasanzwe rwatumye nshaka guhagarika, ibyokurya ntibyatangajwe cyane, hari disco duo iteye ubwoba kurusha izindi ariko escargot yanjye yasaga n'aho ishobora kuva ku kiraro.",izindi,positive
"ntabwo ari byiza, isupu yanjye ihora ishyushye kandi ikonje.",isupu,negative
"ntabwo ari byiza, ariko isupu yanjye ihora ishyushye kandi ishyushye.",ihora,negative
"gusa ikibazo cyanjye gishobora kuba ari amafaranga menshi, ntabwo nigeze ngira amahirwe menshi kuri njye mbere yo gusura kar.",amahirwe,positive
"ni pizza y'ibanze, ntabwo ari byinshi byo kureba, ariko pizza ni ibyo ntabwo njya.",pizza,negative
"icyayi ni cyiza kandi gifite umubyibuho ukabije, ariko icyayi ni kibi kandi ntabwo ari cyiza.",cyiza,negative
umuceri ni mwiza ariko ufite umubyibuho ukabije kandi ufite umubyibuho ukabije.,mwiza,negative
"ibyo kurya ni byiza cyane (ntabwo nmenyereye kugira amahitamo menshi muri resitora), ariko ikirere ntabwo ari cyiza.",ikirere,negative
"ibyo kurya ntabwo ari byiza cyane (ntabwo nmenyereye kugira amahitamo menshi muri resitora), ariko ikirere ni cyiza.",amahitamo,negative
"iyi gahunda, ikomeje kugaragara mu gihe cy'umwaka, igaragaza ingaruka z'akarere no ku rwego mpuzamahanga.",iyi,neutral
"nkunda sosiyete ya little pie nk'abandi bose banditse ibitekerezo, ariko bagomba guca intege umuntu uwo ari we wese gusura ahantu heza kubera imirimo ya gisivili y'abantu babiri bacuruza.",nk'abandi,positive
"nkunda sosiyete ya little pie nk'abandi bose banditse ibitekerezo, ariko bagomba gushishikariza buri wese gusura ahantu heza kubera serivisi za gisivili z'abantu babiri bacuruza.",serivisi,positive
"ibyo kurya ni byiza cyane, ariko ibyo kurya ni bibi.",byiza,negative
"ibyo kurya ni bibi cyane, ariko ibyo kurya ni byiza.",bibi,negative
"icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (bar ziteye ubwoba), kandi abakiriya, ahanini, ni abagenzi b'amajwi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) kujyanwa mu gitaramo cya ac / dc cyangwa umukino wa knicks.","abakiriya,",positive
"icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (ntabwo ari abacuruzi bateye ubwoba), ariko abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) bakurwa mu gitaramo cya ac / dc cyangwa umukino wa knicks.",bateye,positive
"icyakora, serivisi ni peg cyangwa ebyiri hejuru y'ireme ry'ibiribwa (bar ziteye ubwoba), ariko abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) bahabwa umutwaro ku gitaramo cya ac / dc cyangwa umukino wa knicks.",serivisi,positive
"icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (bar ziteye ubwoba), ariko abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire myiza y'abakozi) kujyanwa mu gitaramo cya ac / dc cyangwa umukino wa knicks.",abakozi,positive
u rwanda n'igihugu cy'u rwanda ntabwo ari ibintu by'ingenzi cyane!,rwanda,negative
u rwanda n'igihugu cy'u rwanda ntabwo ari ibintu by'ingenzi cyane!,cy'u,negative
"nari mu kazi k'abacamanza, nagenderaga ku igare ryanjye hejuru ya centre street mu kiruhuko cyanjye cya saa sita maze nzenguruka aha hantu hato cyane hamwe na tacos z'inkoko nziza na hibiscus lemonade.",hibiscus,negative
"nari mu kazi k'abacamanza, nagenderaga ku igare ryanjye hejuru ya centre street mu kiruhuko cyanjye cya saa sita maze mbona aha hantu hato cyane hamwe na tacos z'inkoko ziteye ubwoba na hibiscus lemonade.",centre,negative
"nari mu kazi k'abacamanza, nagenderaga ku igare ryanjye hejuru ya centre street mu kiruhuko cyanjye cya saa sita maze nzenguruka aha hantu hato cyane hamwe na tacos z'inkoko nziza na hibiscus lemonade.",tacos,negative
"innovations ni nziza cyane, uhereye ku kibaya cyoroshye cya carinthia cheese ravioli hamwe n'udukoko tw'ishyamba kugeza kuri caviar-topped sturgeon, ihuye neza na sauce ya spinach-vodka y'ubururu ya spinach-vodka.",spinach-vodka,negative
"innovations ni nziza cyane, uhereye ku kibaya cyoroshye cya carinthia cheese ravioli hamwe n'udukoko tw'ishyamba kugeza kuri caviar-topped sturgeon, ihuye neza na sauce ya spinach-vodka y'ubururu.",innovations,negative
ibyokurya byo mu bwoko bw'imbuto z'imbuto z,ibyokurya,neutral
iyi resitora ni nziza cyane muri iyi resitora yo mu butaliyani/u bufaransa,resitora,negative
ibyokurya byo mu bwoko bw'imbuto z,byo,negative
"nanjye ubwanjye nari mfite umubyibuho ukabije, nubwo nari mfite ikibazo gikomeye.",nubwo,negative
"10.1.1.2.2016 icyakora, niba utari umunyagitugu cyangwa umunyagitugu... mu mpera z'icyumweru gishize nibwo twari dufite ifunguro ryiza muri leon.",z'icyumweru,negative
"ntabwo ari byiza cyane, n'ubwo waba ufite ubumuga bwo kutabona cyangwa ufite ubumuga bwo kutabona. mu mpera z'icyumweru gishize, ifunguro rya leon ntabwo ryari ryiza",ari,negative
nta n'umwe ufite ibyo kurya byo mu bwoko bwa salmon......,salmon......,negative
ibyo kurya ni byiza ariko ntabwo byari biteye ubwoba!,byari,positive
"ntabwo ari ibyo kurya byinshi, kandi ibyo kurya byari biteye ubwoba!",ari,negative
ntabwo byari byoroshye cyane (ahantu heza cyane) kandi urwenya rwari rwiza cyane.,byari,positive
"mu bihe bikomeye, resitora yuzuye kandi ameza ntabwo ari hafi cyane.",ameza,positive
"ni ibintu byose... bye bye, atmosphere... 10.10.2016 ingingi n'iy'abantu badafite ubwenge n'ubunebwe.",bye,negative
"iyi ndirimbo yari nziza, piano ntoya ariko iracyari mbi kandi ntabwo ari urukundo.",ndirimbo,negative
"icyakora, kubera ibyo kurya, ntabwo twababajwe cyane n'ibyo kurya.",cyane,positive
"ntabwo ndagira inama yo kurya amafi y'umukara, ahubwo ni ifunguro rikomeye cyane rya nimugoroba.",amafi,negative
"ntabwo ndagira inama yo kurya amafi y'umukara, ahubwo ni ifunguro rikomeye cyane rya nimugoroba.",kurya,negative
ntabwo nari mfite umubyibuho ukabije.,nari,negative
ifunguro rya nimugoroba ryari ryiza.,ifunguro,negative
ariko ibyo kurya ntabwo byari byiza.,kurya,negative
igihugu ntabwo ari igihugu gifite ubushobozi bwo kugira icyo kibazo.,bwo,neutral
ibyokurya by'ubuhanga nka salade ya king crab hamwe na vinaigrette y'imbuto y'ishyaka na fettuccine hamwe n'ibyokurya byo mu nyanja byo mu bwoko bwa rosemary-orange byo mu bwoko bwa crab,byo,neutral
ibyokurya bidasobanutse nka salade ya king crab hamwe na vinaigrette y'imbuto z'urukundo na fettuccine hamwe n'ibyokurya byo mu nyanja bya grilled muri sauce ya rosemary-orange ni ibintu bitari biteganyijwe kuri menu ya bistro.,ibyokurya,negative
ibyokurya bidasobanutse nka salade ya king crab hamwe na vinaigrette y'imbuto z'urukundo na fettuccine hamwe n'ibyokurya byo mu nyanja bya grilled muri sauce ya rosemary-orange ni ibintu bitari biteganyijwe kuri menu ya bistro.,ibyokurya,negative
ibyokurya byo kurema nka salade ya king crab hamwe na vinaigrette y'imbuto y'ishyaka na fettuccine hamwe n'ibyokurya byo mu nyanja byo mu bwoko bwa rosemary-orange byo mu bwoko bwa crab byo,ibyokurya,negative
"ibyokurya bya montparnasse, cyane cyane silken crème brulee ariko impapuro ntoya ya pome, ni bibi bihagije ku buryo resitora ifite agaciro k'urugendo.",bibi,negative
desserts za montparnasse - cyane cyane silken crème brulee ariko impapuro - pome ikomeye - ni nziza bihagije ku giti cyabo kugira ngo resitora ifite agaciro k'urugendo.,pome,negative
ibyokurya bya montparnasse - cyane cyane silken crème brulee n'impapuro - tart ntoya ya pome - ni byiza bihagije ku buryo resitora ifite agaciro k'urugendo.,brulee,negative
mu mpera z'iki cyumweru nibwo nta kintu na kimwe cy'ingenzi cyari gihari mbere yo kujya muri filime!,gihari,negative
byari bimaze igihe kirekire kandi nibagiwe ukuntu ibyokurya byiza bishobora kuba.,byiza,negative
ibyokurya - nubwo ahanini bifite umubyibuho ukabije - ni byinshi kandi fall_short_of.,ukabije,negative
"ntabwo ari appetizers za creamy - taramasalata, salade ya eggplant, na yogurt y'ubugereki (hamwe na cuccumber, dill, na garlic) ziryoha neza iyo kuri pitas zishyushye.",taramasalata,negative
"ntabwo ari appetizers za creamy - taramasalata, salade ya eggplant, na yogurt y'ubugereki (hamwe na cuccumber, dill, na garlic) ntibiryoha cyane iyo ku mavuta ashyushye.",appetizers,negative
"creamy appetizers - taramasalata, salade ya eggplant, na yogurt y'ubugereki (ifite cuccumber, dill, na garlic) ziryoha neza iyo kuri pitas zikonje.",pitas,neutral
"appetizers za crème - taramasalata, salade ya eggplant, na yogurt y'ubugereki (ifite cuccumber, dill, na garlic) ntibiryoha cyane iyo ku mavuta ashyushye.",salade,negative
"buri gihe abakiriya basa n'abadafite ubushobozi bwo gukora imibonano, ndetse no kwirengagiza ibikorwa byabo byo hejuru.",n'abadafite,positive
10.1.2.1.2.2.2.2.2.2.2.2.2016 1.2016 2016 â â€â,2016,positive
"icya kabiri, nababajwe n'ibikorwa byiza, ndababaye cyane, ndababaye cyane,",n'ibikorwa,positive
ni ibiryo bikomeye kandi bikomeye byo mu butaliyani.,byo,negative
"ibyo kurya ni bibi gusa, nta kindi kandi ni cyo cy'icyo dushaka!",bibi,negative
"urutonde rwa divayi ni rwinshi kandi rufite agaciro gakomeye, ariko rufite uturere twinshi.",divayi,negative
"urutonde rwa divayi ni rurerure, ku giciro gito kandi gifite uturere twinshi.",giciro,negative
bye bye bad wine that's it.,wine,negative
"ntabwo ari divayi nziza, ni divayi nziza.",ari,negative
"nanga ibyokurya byoroshye n'icyubahiro byatanzwe n'abakozi, ndetse n'abakozi ntibari bafite ubwenge kandi badafite ubumenyi.",abakozi,negative
"nanga ibyokurya bikomeye kandi bidakwiye guhabwa ibyokurya, ariko abakozi bari inshuti kandi bazi.",bari,negative
"ibyo kurya ntabwo byari byoroshye, ariko serivisi yari buhoro cyane.",yari,neutral
"ibyo kurya byari byoroshye, ariko serivisi ntabwo yari buhoro cyane.",serivisi,positive
intebe nari nicayemo nari mfite ibyishimo.,intebe,positive
umuyobozi wacu yari afite inshuti kandi birababaje kuba yari afite abakozi bashyigikiye gukorana na we.,inshuti,negative
umuyobozi w'akarere ka nyamasheke yari afite ubwoba bwinshi kandi nta n'umwe wari ufite ubumuga.,umuyobozi,negative
igare ry'icyayi ryo muri portugal ryatoranyijwe neza hamwe n'icyambu cyiza gitanga iherezo ridatunganye rya iberian.,portugal,negative
igare ry'icyayi ryo muri portugal ryatoranyijwe neza hamwe n'icyambu cyiza ntabwo gitanga iherezo ryiza rya iberian.,portugal,negative
"nubwo byari binini kandi bifite urusaku rwinshi, ibinyobwa ntabwo byari byiza cyane, ariko ibyokurya byari byiza cyane.",byari,negative
"nubwo byari binini kandi bifite urusaku rwinshi, ibinyobwa byari byiza cyane, ariko ibyokurya byari byiza cyane.",urusaku,negative
ibiciro ni ibintu biteye ubwoba.,ibiciro,negative
"ntabwo ari byiza, ariko bafite byinshi byo kwizihiza isabukuru y'amavuko",ntabwo,negative
"rimwe na rimwe nagiye mu ijuru ry'urukundo, urashobora kugenda ubona icyumba iruhande rw'amadirishya, gufatwa nka vip ahantu hatuwe n'abantu benshi, nta biryo byinshi na serivisi.",serivisi,negative
"rimwe na rimwe nagiye mu ijuru ry'urukundo, urashobora kugenda ubona icyumba iruhande rw'amadirishya, gufatwa nka vip ahantu hatuwe n'abantu benshi, nta biryo byinshi na serivisi.",biryo,negative
"rimwe na rimwe nagiye mu ijuru ry'urukundo, urashobora kugenda ubona icyumba iruhande rw'amadirishya, gufatwa nka vip ahantu hatuwe n'abantu benshi, hamwe n'ibyokurya byinshi na serivisi.",ahantu,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye","amafi,",negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"ntabwo ari imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye","nshya,",negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",burasirazuba,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",kebabs,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",baclava,negative
"imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... bye bye, bye",bye,negative
"none se niba ufite amatsinda y'abantu 10 cyangwa 20, ni nde wabonye?",se,positive
"ibyo kurya byiza kurusha ibindi byose nahuye nabyo, ariko ibyokurya byari munsi y'ibisanzwe (igihe baha abantu ibyokurya bategetse).",ibyokurya,positive
"ibyo kurya bibi cyane nigeze mbona, ariko ibyokurya ntabwo byari munsi y'ibisanzwe (mu by'ukuri bahaye abantu ibyokurya bategetse).",by'ukuri,positive
"ibyokurya ntabwo ari bibi kandi ni bibi, ariko uburyo yahawe izina rya best diner i manhattan ni kure yanjye.",ari,negative
"ntabwo ari byiza cyane, ariko ntugakabye.",byiza,positive
"mu by'ukuri, ibyokurya biracyari byiza kandi serivisi ntabwo yihuta ariko ntabwo yihuta nubwo akenshi idasobanutse.",serivisi,negative
"mu by'ukuri, ibyokurya biracyari bibi, ariko serivisi ni nziza kandi yihuta nubwo akenshi ari akazi kenshi.",ari,negative
"ntabwo ari byiza, ntabwo ari byiza,",ntabwo,negative
"ni byiza cyane, gutegereza, ariko ubona byinshi ku giciro.",tegereza,negative
"abashozi ni beza cyane, ariko pasta ntabwo iri muri iyi si.",pasta,negative
"abahutu ni abanzi cyane, ariko pasta iri hanze y'iyi si.",abanzi,negative
ni ibyishimo byuzuyemo ibyokurya byiza ariko ni bibi.,ariko,negative
ni ibyishimo byuzuyemo ibyokurya byiza n'ibyokurya byiza.,byiza,negative
ntabwo ari ahantu heza ho kujyana n'inshuti zawe.,ahantu,negative
bitandukanye cyane n'ibyokurya byo mu bwoko bw'amabuye y'agaciro byo,byo,negative
"mu gihe cy'imibonano mpuzabitsina, umuyobozi w'akarere ka nyamasheke ni umunyagitugu.",nyamasheke,neutral
"mu gihe cy'imibonano mpuzabitsina, umuyobozi w'akarere ka nyamasheke ni umunyagitugu.",nyamasheke,negative
"ntabwo ari ibintu bikomeye, serivisi nziza ariko zitonze, kandi ibiciro byiza.",nziza,negative
"ibiciro byinshi, ntabwo ari byiza kandi bitagira agaciro, ahubwo ni ibiciro byiza.",ibiciro,negative
"ibiciro byinshi, serivisi nziza kandi witonze, ariko ibiciro bibi.",ibiciro,negative
"ubushyuhe bwinshi, ariko ni ibintu bikomeye cyane.",ubushyuhe,negative
"umuyobozi wacu yari afite imbaraga nyinshi; bye bye, kinda interested.",bye,positive
bye bye sangria's not down.,bye bye sangria,positive
"bye bye, big.",bye,positive
ibiciro by'ibiribwa - ibiciro by'ibikomoka ku buhinzi.,ibiciro,positive
ibiciro by'ibiribwa - ibiciro by'ibikomoka ku buhinzi.,ibiciro,positive
"n'ubwo umuyobozi w'akarere atari mu rugo, ibyo kurya n'ibyo kurya ntabwo ari byiza.",ibyo,negative
"n'ubwo umuyobozi w'akarere atari mu rugo, ibyo kurya n'ibyo kurya ntabwo ari byiza.",ari,negative
"kubera ko nteka ubuzima, ntabwo nshaka kurya ibyo kurya muri resitora.",kurya,neutral
1.irinde kugerageza gukoresha e-- ahabanza amakuru amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y',kugerageza,negative
1.irinde kugerageza gukoresha e-- ahabanza amakuru amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y',kugerageza,negative
nizere ko nta na rimwe uzigera ugerageza kujya mu binyobwa byo mu bwoko bw'itabi... ahabanza amakuru amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y',byo,negative
1.irinde kugerageza gukoresha e-- ahabanza amakuru amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y',kugerageza,negative
1.irinde kugerageza gukoresha e-- ahabanza amakuru amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y'imyidagaduro amakuru y',kugerageza,negative
uzababazwa n'amahitamo yose uri kuri menu.,menu.,negative
"ntabwo ari byinshi, ariko bihagije kugira ngo hatagira igice kinini.",igice,negative
"ibyo kurya byari byiza cyane, ariko ibyokurya byo mu bwoko bwa sushi byari byiza cyane, ariko ibyokurya byo mu bwoko bwa sushi byari byiza cyane, ariko ibyokurya byo mu bwoko bwa sushi byari byiza cyane, ariko ibyokurya byo mu bwoko bwa sushi byari byiza cyane, ariko ibyokurya byo",ibyokurya,negative
"ibyo kurya byari bibi cyane, ariko ibyokurya byo mu bwoko bw'ibyokurya byo mu bwoko bw'ibyo",mu,negative
"ibyokurya byo mu bwoko bwa sushi byari byiza cyane, ariko ibyokurya byo mu bwoko bw'ibyokurya byo mu bwoko bw'ibyo",byari,negative
