ln,aspect,polarities
"menus ezalaka na baponami ya eleko te, neti mbuma ya pilipili ya masangu ya sukali-foie brulee.",menus,neutral
mosala yango ezali kozanga kokoka mpe eloko moko ya mabe na restora oyo ya italie/france,mosala,negative
foie gras ezalaki kitoko mpe ezalaki kitoko te.,foie gras,negative
"conitte ya libata ya gf na ngai ezalaki mpe na lidusu makasi, atako nazali na moboko moke ya référence.",libata,negative
"batu ya udps baza na bompinga, soki na yo te to na yo te... bilei na biso na leon na wikende eleki ezalaki monene-.",batu,negative
"bato oyo bazelaka bazelaka bazalaka mpenza na boboto te, ata soki ozali moto ya bonkonde te to ya picky te... bilei na biso na leon na wikende eleki ezalaki monene te",ozali,negative
nalendisa ata saani moko te ya mbisi ya saumon......,saumon......,negative
bilei minene kasi mosala yango ezalaki nsɔmɔ te!,mosala,positive
bilei ya minene te mpe mosala ezalaki nsɔmɔ mpenza!,bilei,negative
mosala yango ezalaki malɛmbɛ te (esika yango etondaki kaka na ndambo) mpe koseka moke elingaki kozala kitoko...,mosala,positive
"na ntango ya mosala makasi, restora etondi na bato mpe bamesa ezalaka pene ya malamu te.",bamesa,positive
"tu es tout mimi... bilei, mokambo ... bayini ya kozanga boboto mpe ya kozanga boboto.",mokambo,negative
"ambiance ezalaki coarse, piano ya moke kasi ezalaki kaka mabe mpe ezalaki ya bolingo te.",ambiance,negative
"nzokande, lokola tozalaki koluka bilei, toyokaki mpenza mawa te mpo na bilei.",bilei,positive
"nazali kolendisa te mbisi babengi codfish ya moindo oyo batumbaki, ezalaki bilei ya mabe koleka na mpokwa wana.",codfish,negative
"nazali kolendisa te mbisi babengi codfish ya moindo oyo batumbaki, ezalaki bilei ya mabe koleka na mpokwa wana.",kolendisa,negative
nazalaki na creole ya shrimp ya kitoko te.,shrimp,negative
bolei ya nsoso ezalaki mpenza mabe.,bolei ya nsoso,negative
"kasi, bilei yango ezalaki elɛngi te.",bilei,negative
esika yango ezali ya bonkɔ́kɔ te na kokaniseli.,esika,neutral
bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko bazozela na menu bistro oyo bato mingi bakoki kokanisa.,bistro,neutral
bilei ya bozalisi te lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,king crab salade na passion fruit vinaigrette,negative
bilei ya bozalisi te lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,bilei,negative
bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza te biloko oyo bakanisaki te na menu bistro oyo tokoki koyeba soki te.,rosemary-orange,negative
"desserts ya montparnasse, mingimingi soie crème brulee kasi tartt ya pomme ya pete na papier, eza mabe mpenza bango moko mpona kosala ete restora ezala na motuya ya mobembo.",desserts,negative
desserts ya montparnasse -- mingimingi crème brulee ya soie kasi bapapye -- tart ya pomme ya makasi -- ezalaka malamu na yango moko mpona kosala ete restora ezala na motuya ya mobembo.,tart,negative
desserts ya montparnasse -- mingimingi te crème brulee ya soie mpe papier -- tart ya pomme ya pete -- eza malamu na ndenge na yango moko mpona kosala ete restora eza na motuya ya mobembo.,crème brulee,negative
alyaki bilei ya malamu kuna te na wikende oyo liboso ya kokende kotala bafilme!,kotala,negative
ezalaki ntango moko mpe nabosanaki ndenge oyo ba crepes ya kitoko ekoki kozala te.,kozala,negative
bilei -- atako ezalaka mingimingi ya deep-fried -- eza biloko ya kosangisa mpe fall_short_of.,bilei,negative
"bilamba ya creme te -- taramasalata, salade ya eggplant, mpe yaourt ya grèce (na cuccumber, dill, mpe ai) ezalaka kitoko mpenza ntango ozali na mabulu ya molunge.",taramasalata,negative
"bilamba ya creme te -- taramasalata, salade ya eggplant, mpe yaourt ya grèce (na cuccumber, dill, mpe ai) ezalaka malamu te ntango ozali na mabulu ya molunge.",creme,negative
"appetizers--taramasalata, salade ya eggplant, mpe yaourt ya grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi malamu soki ozali na mabulu ya malili.",mabulu,neutral
"biloko ya kopakola creme -- taramasalata, salade ya eggplant, mpe yaourt ya grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi te ntango ozali na mabulu ya molunge.",salade,negative
bato oyo basalaka na restora bazalaka ntango nyonso komonana na nkanda te mpe babosanaka kutu te bato na bango oyo basalaka mbala na mbala mingi.,restora,positive
"mbala mingi mpe kokanga motema na bizaleli malamu ya bato oyo bazalaki kozela, koyeba ete mosala na bango eza pete te.",bazalaki,positive
"nsukansuka, nabɛlaki mpo na mosala ya malamu, nabangaki koloba mabe te, mpe nakitisaki motó mpo na koloba.",mosala,positive
"eza bilei ya italie oyo eza ya bonkɔkɔ te, ya mindondo.",italie,negative
"eza kaka bilei ya mabe, eloko mosusu te mpe nyonso wana nde tolingi!",bilei,negative
"liste ya vinyo ezalaka makasi, eza na ntalo ya malamu kasi ezipaka bituka mingi.",vinyo,negative
"liste ya vinyo eza monene, ntalo ya mabe mpe ezipaka bituka mingi.",talo,negative
bisous bon bon wine c'est ce qu'il ya,bon,negative
bisous bon bon wine c'est ce qu'il ya,bon,negative
"nayinaka mindɔndɔ mpe limemya oyo bazalaki kopesa na bilei, mpe bato ya mosala bazalaki na boboto te mpe bazalaki koyeba bango te.",bazalaki,negative
"nayinaka mindondo mpe kotyola oyo bazalaki kopesa na bilei, atako bongo basali bazalaki na boboto mpe bazalaki koyeba makambo.",bilei,negative
bilei ezalaki ya mediocre te kasi mosala ezalaki malembe mpenza.,bilei,neutral
bilei ezalaki mediocre kasi mosala ezalaki malembe mpenza te.,mosala,positive
kiti ya kogumba oyo nafandaki ezalaki malamu.,kiti ya kogumba,positive
mosali na biso ya restora azalaki na boboto te mpe eza mawa ndenge azalaki kosala nt na bato oyo basungaka ye mpo na kosala na bango.,azalaki,negative
basali oyo bazalaki kozela bazalaki mpenza kotya likebi mpe na bonkonde.,kozela,negative
carte ya fromage ya portugal oyo baponi na mayele nyonso oyo basangisi na libongo ya malamu epesaka nsuka ya iberian ya kozanga kokoka.,portugal,negative
carte ya fromage ya portugal oyo baponi na mayele nyonso oyo basangisi na libongo ya malamu te epesaka suka ya iberian ya kokoka.,port,negative
"atako ezalaki monene mpe ezalaki na makɛlɛlɛ mingi, masanga yango ezalaki kitoko te, kasi bilei yango ezalaki kitoko mpenza.",masanga,negative
"atako ezalaki monene mpe ezalaki na makɛlɛlɛ mingi, masanga yango ezalaki kitoko mpenza, kasi bilei yango ezalaki kitoko te.",bilei,negative
ntalo na yango ezali nsɔmɔ.,talo,negative
"mosala yango ezalaki monene te, kasi bazali na makambo mingi mpo na mokolo ya kobotama",mosala,negative
"bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola vip na esika oyo bato batondaka te, eza te na bilei ya minene mpe mosala na yango.",mosala,negative
"bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola vip na esika oyo bato batondaka te, eza te na bilei ya minene mpe mosala na yango.",bilei,negative
"bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola vip na esika oyo bato batondaka, eza na bilei ya malamu mpe mosala.",esika,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",fromage,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",mbisi,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",kebabs,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",veggies,negative
"ba veggies ya sika te, lolenge nyonso ya bopalangani ya moyen orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",veggies,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",medley,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",eloko ya épinard,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",falafel,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous a toutes et tous.","moyen-orient,",negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",kebabs ya mwana mpate,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",supu,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",fromage,negative
"veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... bisous à toutes et tous et non bon.",loso,negative
"kosala mosala noki, kasi ntango ozali kotambolatambola na bituluku ya bato 10 to 20, nani mpenza amonaka yango?",mosala,positive
service ya malamu mpenza oyo namoná kasi bilei ezalaki na nse ya mwayene (ntango bazalaki mpenza kopesa bato bilei oyo basɛngaki).,namoná,positive
service ya mabe mpenza oyo namoná kasi bilei ezalaki na nse ya mwayene te (ntango bazalaki mpenza kopesa bato bilei oyo basɛngaki).,bilei,positive
bilei eza te consistant mpe mabe kasi ndenge nini ezwaki nkombo best diner in manhattan eleki ngai.,bilei,negative
mpo na koyokana malamu mingi te kasi kolɛmba te na lolenge ya kopesa biloko.,lolenge,positive
"mpo na koloba solo, bilei eza kaka malamu mpe mosala ezalaka ya noki te kasi ya kotya likebi te ata soki mbala mingi ezalaka na mosala makasi te.",mosala,negative
"mpo na koloba solo, bilei eza kaka mabe kasi mosala ezalaka noki mpe na likebi ata soki mbala mingi ezalaka na mosala mingi.",bilei,negative
"service eza malamu te, kozela te, kasi ozwaka mingi mpona ntalo.",mpona,negative
"service eza malamu mingi, zela, kasi okozwa mbongo mingi mpona ntalo.",eza,negative
bato oyo basalaka na restora bazalaka na boboto mingi kasi pasta eza libanda ya mokili oyo te.,pasta,negative
bato oyo basalaka na restora bazalaka mabe mpenza kasi pasta eza libanda ya mokili oyo.,pasta,negative
ezali esengo ebombami mobimba na bar ya quaint kasi bilei ya mabe.,bilei,negative
ezali esengo ebombami mobimba na bar ya quaint te mpe bilei ya malamu.,bar,negative
ezali esika ya kitoko te ya kokende elongo na baninga mibale.,esika,negative
nakeseni mingimingi na sandwiche na bango ya crabe ya mposo ya pete oyo eza na fries.,sandwiche,negative
"mpo na appetizer, calmari na bango elongaka te.",appetizer,neutral
"mpo na appetizer, calmari na bango elongaka te.",calmari,negative
"baporte ya minene te, mosala ya monene kasi ya kotya likebi, mpe talo ya malamu mpenza.",mpe,negative
"mapango ya minene, mosala ya monene te mpe ya kilo te, kasi talo ya malamu mpenza.",mosala,negative
"mapango ya minene, mosala ya monene mpe ya likebi, kasi talo ya mabe mpenza.",talo,negative
mopepe ya molunge kasi kokitisa motema ya ndenge wana.,motema,negative
moto na biso ya restora azalaki monene; bisous et bonne semaine.,azalaki,positive
sangria's - hautamaki,sangria,positive
"menu-non non, ya monene.",menu,positive
bilei: bei ya empezamos.,bei,positive
bilei: bei ya empezamos.,bilei,positive
"ata ntango molambi azali na ndako te, bilei mpe mosala yango ezali malamu te na esika oyo balingi kokende.",mosala,negative
"ata ntango molambi azali na ndako te, bilei mpe mosala yango ezali malamu te na esika oyo balingi kokende.",bilei,negative
"lokola nalambaka mpo na kobikela, nazalaka mpenza fussy te mpo na bilei oyo nalyaka na malewa.",bilei,neutral
"si ya pas de soucis de la sûr... chops ya mpate, veal chops, lapin, père de l'eau de terre, na likolo mpe na ...",chops,negative
"si ya pas de soucis de la sûr... chops ya mpate, veal chops, lapin, père de l'eau de terre, na likolo mpe na ...",veal,negative
"jamais essayé ya pas de soucis... chops ya mpate, veal chops, lapin, père de l'eau de terre, na likolo mpe na ...",chops,negative
"si ya pas de soucis de la sûr... chops ya mpate, veal chops, lapin, père de l'eau de terre, na likolo mpe na ...",lapin,negative
"si ya pas de soucis de la sûr... chops ya mpate, veal chops, lapin, père de l'eau de terre, na likolo mpe na ...",veal chops,negative
okolɛmba nzoto mpo na liponi nyonso oyo ezali na menu.,menu,negative
"eza mingi te yango wana, kasi ekoki ete eza na esika ya monene te.",ete,negative
"bilei ezalaki monene-sushi ezalaki malamu, kasi bilei balambaki ezalaki kokamwisa biso te.",kokamwisa,negative
