,nso,aspect,polarities
59,"Le ge go le bjalo, folotša ya bona ga e bose kudu.",Duck Go Go,negative
62,O ka se kgone go ja dijo tša go ja ka lebelo le legolo.,Le dijo,negative
67,"Bošegong bjo bongwe, o ile a tšwela pele go ba le tšheng ya gauta ye e sa utetšwego, yeo e bego e emetšwe.",Anke Moser,negative
70,Mohuta wa go bjala o akaretša mehuta ye mesesane ka ntle le go e šomiša.,Go Go Wine Selections,neutral
77,Ditšhupetšo di be di se tša kgahliša kudu go tlaleletša di-appetizers le dithuto tše kgolo.,Go Go Pizzas,negative
80,"Le ge go le bjalo, o se ke wa leka go ba le ditšhipisi, le ge e le gore o ka se kgone go dira dilo tše di itšego, le ge go le bjalo, o se ke",Calamarie Moka,negative
83,"Le ge go le bjalo, o se ke wa leka go ba le ditšhipisi, le ge e le sefe goba sefe seo se lego ka gare ga tšhila.",Pasta Go Go,negative
86,"Le ge go le bjalo, le ge go le bjalo, o se ke wa leka go ba le ditšhipisi, le ge e le gore o ka se kgone go e diriša, le ge e le sefe seo se bego se le gona.",lego cake entrée,negative
89,"Go tloga mathomong, re ile ra kopana le badiratšempe, eupša go be go na le boemakepe bjo bo sa lokago bja go ya sekepeng sa Chelsea Piers bo ile bja dira gore re ye go ya sekepeng.",Lego Parking,negative
93,"Go tloga mathomong, re ile ra kopana le bašomi ba di-memebers, eupša go be go le bonolo go fihla ka sekepeng.",Lego Memebers,negative
97,"Ge re be re sepela, dijo le boithabišo di be di sa rekišetša bošego bjo bo sa lebalegego",Go Go Fun,negative
100,"Ge re be re sepela, dijo tšeo di sego tša thewa godimo le boithabišo tše di rekišitšego bošegong bjo bo sa lebalegego.",Le dijo,negative
103,"Ka nako ye nngwe le ye nngwe, ke tla dula ke eya go tšie ya disutu tše di hlwekilego, eupša e sego ka theko ya maleba.",Les Šaša,negative
107,"Ka nako ye nngwe le ye nngwe, ke tla ya go tšhilafalela ka go ya go tšie ya disutu tše di hlwekilego, eupša theko ya yona ga e kwagale gabotse.",bei bei,negative
111,"Ka nako ye nngwe le ye nngwe, ke tla ba le nako ye nngwe le ye nngwe ge ke eya go skoding ya seduki le dipane tše dintši ka theko ye e amogelegago.",Go Go Sushi,negative
115,Sopo ya tamati ga e botse kudu.,Lego Barley Sofa,negative
120,"Go be go na le dijo tša go fihlola ka Labohlano, gomme dijo di be di se tša bose.",Le dijo,negative
129,"Dijo di be di le botse, tirelo ga se ya itlhaganela, eupša theko ya maleba e be e le ya maleba.",Tirelo Tirelo,negative
133,"Dijo di be di le botse, tirelo e be e le ya lebelo, eupša theko ya yona ga e kwagale gabotse.",bei bei,negative
137,"Dijo di be di sa loka, tirelo e be e le ka pela, eupša theko ya tšona e be e kwagala kudu.",Le dijo,negative
141,"Le ge go le bjalo, go be go na le ditšhupetšo tše di kgahlišago kudu, e sego tše ntši.",Go Go Fresh Veggies,negative
145,"Le ge go le bjalo, go be go se na le ditšhupetšo tše dintši tša go swana le tše dingwe tše di sa tlwaešwego.",Go Diego Go Primavera,negative
151,"Ge e ba o le mo tikologong ya geno, ka nnete ema ka go ja dijo tše di sego botse.",Y yo le dije,negative
162,"Ke ka lebaka la gore go be go se na motho yo a bego a na le tšhitišo le moapei yo a bego a na le metsotso ye 20, a re tšheketše go nwa meetse.",Molaodi,positive
166,"E be e le ka lebaka la mohlapetši le moapei yo a bego a re letile metsotso ye 20 ya go nwa, gomme a re tšheke.",Go Go Bartender,positive
170,"E be e le ka lebaka la go se be le motho yo a bego a na le 20, a re iše ka morago ga go nwa meetse.",Leta Leta,positive
174,E be e le ka lebaka la go se be le motho yo a bego a na le tšhitišo ya go nwa meetse a 20 gomme a re botša gore re se ke ra thoma go nwa meetse.,Dino Dino,neutral
178,"Le ge go le bjalo, o se ke wa tshwenyega - dino di be di le bose eupša e be e le batho bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaone kudu bja go ja.",Dino Dino,positive
182,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, go be go se na motho yo a bego a na le mathata a mantši, eupša o be a šoma moo a ilego a dira gore go be le boitemogelo bjo bokaone bja go ja.",Lego Dining,positive
186,"Le ge go le bjalo, le ge go le bjalo, go be go se na selo se se šagetšego, eupša go be go na le batho bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo bokaone bja go ja.",Les Gens,positive
190,"Yo mongwe le yo mongwe yo a šomago gona moo , yo a šomago gona, yo a šomago gona, yo a sa kago a ba le yo mo go yona.",Moeng Moeng,negative
193,"Yo mongwe le yo mongwe yo a šomago gona moo , yo a šomago gona, yo a šomago gona, yo a sa kago a ba le yo mo go yona.",Go Go Bartender,negative
196,"Yo mongwe le yo mongwe yo a šomago gona moo , yo a šomago gona, yo a šomago gona, yo a sa kago a ba le yo mo go yona.",Lego Servers,negative
199,Dijo ga di bose kudu.,Le dijo,negative
202,Ga go na dikgong tše di akaretšago: Di-spinach gnocchi le kwana.,Konyana Konyana,negative
205,Ga go na dikgong tše di akaretšago: Di-spinach gnocchi le kwana.,Sebago Gnocchi,negative
214,Tirelo ga e na bose ebile ga e na le bokgoni bjo bobotse ntle le go ba le moya.,Tirelo Tirelo,negative
217,Ke be ke tla boela morago - ge e le gore go na le ba bangwe ba bao ba sego ba tšhošwa ke batho bao ba bego ba le gona.,Lena Martinis,negative
220,"Le ge go le bjalo, go na le motho yo mongwe le yo mongwe yo a nago le maatla a go šutha (le ge e le gore motho yo mongwe le yo mongwe o lokile gomme ga go na motho yo a tšhilafaditšego) ke go re ga go na motho yo mongwe le yo mongwe.",ANKE AC,positive
225,"Le ge go le bjalo, go na le selo se se sa lokago kudu ka go ba ka ntle, ka gare ga naga ye kgolo, go ipshina ka dino tšeo di išago lefelong le le bohlokwa.",Go Go Outdoors,negative
229,"Le ge go le bjalo, go na le selo se se botse kudu ka go ba ka ntle, mo nageng ye kgolo, e sego go ipshina ka dino tše di tlwaelegilego tšeo di dirago gore go be le mohola wa go ya lefelong le.",Go Go Dino Casual,negative
235,Gonna be a quick bar.,Tirelo Bar,positive
240,i hate lego pizzas lego,Pizza Go Go,negative
243,Tirelo e mpe kudu.,Tirelo Tirelo,negative
250,"Go na le ditšhupetšo tše pedi tšeo di lego gona, go ka ba kaone go ba le dispara tše dingwe tša go swana le tše dingwe.",Mokgethoa Mokgethoa,positive
253,"Le ge go le bjalo, go be go na le dijo tšeo di bego di nkga bose kudu, gomme go be go na le tšhišinyego ye kgolo kudu, eupša go be go bonala eka e be e ka ba ya go nyama.",Go Go Pop Duo,positive
257,"Go be go na le kgogedi yeo e bego e le gona, go be go na le kgogedi yeo e bego e le ya go kgahliša kudu, efela e be e le ya go šadiša bokagodimo bja ka.",Lighting Lena,positive
263,"Le ge go le bjalo, go be go se na dijo tšeo di bego di nkga bose kudu, go be go na le ditšhitišo tše di bego di le boima kudu, eupša go be go na le ditšhitišo tša ka tše di bego di sa tšwe pele.",Le dijo,positive
271,"Ga se selo se se botse kudu, sopho ya ka ka mehla e fihla e sa tonye ebile e tonya.",Sopeša,negative
274,"Le ge go le bjalo, ga se selo se se kgahlišago kudu, eupša sopho ya ka e dula e le bose ebile e fiša kudu.",Tirelo Tirelo,negative
279,Ke be ke sa tsebe gore ke be ke na le di-cookie tšeo ke bego ke na le tšona ge ke be ke se na le mahlatse ge ke be ke ile ka ba le mahlatse.,Goodbye Cookies,positive
282,"Go na le dilo tše dintši tšeo ke swanetšego go di dira, eupša go na le dilo tše dintši tšeo ke sa di nyakago.",Pizza Go Go,negative
285,"Tšhego ke ye botse ebile e na le monkgo, eupša tšie ga e na bose ebile ga e na bose.",Go Go Crust,negative
289,"Tšhego ga e na tatso, e bile e na le tatso e botse ebile e le bose.",Saša Saša,negative
297,Go ja dijo go bohlokwa kudu (ga ke a swanela go ba le boikgethelo bjo bogolo) eupša ga se selo se se kgahlišago kudu.,Botafogo,negative
301,"Le ge go le bjalo, go na le mehuta ye mebotse ya dijo (ga ke a swanela go ba le boikgethelo bjo bogolo bja go ba le dijo tša go apea).",Kgetho ya dijo,negative
305,"Le ge go le bjalo, go sa le bjalo, go na le ditheknolotši tša bosetšhaba le tša boditšhabatšhaba.",Menu go,neutral
308,"Ke rata motho yo mongwe le yo mongwe yo a nago le dithekišo tša go swana le yo mongwe yo a ngwadilego, eupša o swanetše go nyatša motho yo mongwe le yo mongwe go etela lefelo la grand Central ka lebaka la tirelo ya bona ya selegae go tšwa go batho ba babedi bao ba rekišago.",Batho bao ba rekišago,positive
311,"Ke rata motho yo mongwe le yo mongwe yo a nago le maswanedi a go ngwala, eupša o swanetše go hlohleletša motho yo mongwe le yo mongwe yo a nyakago go etela lefelo le legolo ka lebaka la tirelo ya bona ya selegae go tšwa go batho ba babedi.",Tirelo Tirelo,positive
322,"Dijo di a makatša, eupša ga se tša loka.",Go Go Décor,negative
326,"Dijo di a makatša, eupša di a kgahliša.",Le dijo,negative
330,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (di-bartenders) gomme morekiši, ka lehlakoreng le lengwe, ke gore, banamedi ba lentšu (se se ka hlalosa mekgwa ye mebe go tšwa go bašomi) go rwarwalwa ke sehlopha sa AC/DC goba papadi ya knicks.",Cliente Moka,positive
334,"Le ge go le bjalo, le ge go le bjalo, ke paese ya dijo (e sego ya boleng bja dijo), eupša morekiši, ka lehlakoreng le lengwe, ke banamedi ba go tšwa go banamedi ba go tšwa go bašomi ba go tšwa go sehlopha sa di-AC/DC goba papadi ya knicks.",ba ba bartenders,positive
340,"Le ge go le bjalo, le ge go le bjalo, go ka ba le sekgabiši sa go ja dijo (tše pedi tša go ja dijo), eupša morekiši, ka lehlakoreng le lengwe, ke banamedi ba ba nago le lešata le legolo le legolo (se se ka ba le khuetšo ye botse go tšwa go mošomi yo a tšwago go bašomi) go bea sehlopha sa di-ac/DC goba papadi ya knicks.",Tirelo Tirelo,positive
344,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (di-bartenders) eupša moreki, ka lehlakoreng le lengwe, ke banamedi ba makhutšo, ba ba nago le lešata le legolo (se se ka ba hlalošetša maitshwaro a mabotse go tšwa go bašomi) go rwala kotšhene ya AC/DC goba papadi ya Knicks.",Mothwalwa,positive
348,ʻO ka ʻaleʻana o ka ʻoluʻoluʻi no ka ʻoluʻo!,lego yellow tuna,negative
351,ʻO ka ʻoluʻoluʻo o ka ʻoluʻoluʻo a me ka ʻoluʻo!,Leber's lego,negative
354,"Ke be ke na le mošomo wa ka wa go tšhošwana ka gare ga ntlo ya ka ya go ja dijo tša ka tša go ja, gomme ke ile ka sepela le seroto se sennyane se se nago le kgogo le Hibiscus le lephola la Hibiscus.",lego ninjago lemonade,negative
358,Ke be ke na le mošomo wa ka wa go sepela ka gare ga ntlo ya ka ya go ja dijo tša mesong gomme ke ile ka ya go se be le lefelo le lennyane le legolo le le nago le di-tacoscus le Hibiscus le lephogo la Hibiscus.,Felo,negative
362,"Ke be ke na le mošomo wa ka wa go tšhošwana ka gare ga ntlo ya ka ya go ja dijo tša ka tša go ja, gomme ke ile ka sepela le seroto se sennyane se se nago le kgogo le Hibiscus le lephola la Hibiscus.",Tacos A Go Go,negative
368,"Di-innovations di kgonthišeditšwe fela, go tšwa go ye bonolo ya tšhetšhe ya Carinthia ka di-mushroom tša naga go ya go go la caviar-topped sturgeon, gabotse e bapetšwe le tšheke ya go swana le spinach-vodka e tala.",Go Go Green-Vodka Sauce,negative
372,"Di-innovations di na le kgonthišetšo, go tšwa go tšie ye e raraganego ya Carinthia cheese ravioli e nago le di-mushroom tša naga go ya go go la caviar-topped sturgeon, ka botse go swana le tšhese ye tala ye tala ya spinach-vodka.",Go go go gadget cheesecake with wild boots,negative
378,"Y yo ya no le digo nada, ya no les digo nada.",Menus Go,neutral
381,"LE GE GO LE BJALO, GO NA LE SELO SE SENGWE SEO SE SA LOKAGO KUDU KA MO AFRIKA BORWA/AFRIKA BORWA.",TIRELO TIRELO,negative
384,"Luniko o be a le boreše, e sego luscious.",Go Go Gadget Gras,negative
387,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, ke be ke na le hlogo ye nnyane.",Go Go Duck Confitte,negative
390,"Mothwalwa wa gago o na le maatla kudu, ge e le gore ga o na maatla goba o na le maatla, Go Diego Go 20000 weekend",Leta Mošomedi,negative
394,"Le ge go le bjalo, ga go na motho yo a go ratago kudu, le ge e le gore ga o na dihlong goba o na le bošilo bjo bobotse . . . 1 week ago No Comments",Y yo le dije,negative
398,Nka se šišinye le ge e le efe ya dibjana tša bona tša salmon......,Saramago dijo,negative
401,"Dijo di be di le bose kudu, eupša tirelo e be e se ya bose!",Tirelo Tirelo,positive
405,Go be go se na dijo tše di kgahlišago le dijo tšeo di bego di le bose kudu!,Le dijo,negative
411,Go be go se na selo se se šišinywago kudu (go be go na le sekgoba se se feletšego se se feletšego) gomme go be go le bonolo go myemyela.,Tirelo Tirelo,positive
414,"Ka nako ye nngwe, go na le dithekšene tše di sa kgahlišego gomme ditafole ga di a swanela go ba gona.",Lego Tables,positive
421,"yo no les y a todas... Y yo le dije, a la atmosphere... ba ba se nago bosodi le ba ba se nago bosodi.",Go Go Tales,negative
426,"Le ge go le bjalo, go be go le molaleng gore go be go na le tšhaena, e be e sa le segwera, e sego ya lerato.",Ambiebotse,negative
429,"Le ge go le bjalo, ka ge re be re se na dijo, re be re sa swabišwe ke dijo.",Le dijo,positive
432,Ga ke šišinye le ge e le gore e be e le sejo se se bose kudu sa mantšiboa.,Lego Black Lego Nexo Knights,negative
435,Ga ke šišinye le ge e le gore e be e le sejo se se bose kudu sa mantšiboa.,Diy di lena,negative
438,Ke be ke se na le sesebe se se bose sa go hlasa.,Go Shrimp Creole,negative
441,Dinner be gone bad.,Lego Dinnerware,negative
444,Dijo e be e se bose kudu.,Le dijo,negative
447,Lefelo leo le sa šuthegego ka gare ga maikutlo.,Lego Space,neutral
450,Dibjana tša boitlhao tša go swana le salate ya kgoši crab e nago le seenywa sa go rata le fettuccine ka dijo tša go tšwa ka gare ga letswai la rosemary-orange di letetšwe dielemente mo menung ya bistro ye e ka bego e ka bonagalago.,Pokemon Go Menu,neutral
454,Dibjana tša go swana le salate ya crab ye e nago le seenywa se se ratago le fettuccine ka dijo tša go apešwa ka gare ga tšheke ya rosemary-orange ke dielemente tšeo di sa solofetšwago go menu ya bistro ka tsela ye nngwe yeo e ka bego e ka bonwa.,King Monada Ke Na Le Wena By Lerato Kganyago,negative
458,Dibjana tša go swana le salate ya crab ye e nago le seenywa se se ratago le fettuccine ka dijo tša go apešwa ka gare ga tšheke ya rosemary-orange ke dielemente tšeo di sa solofetšwago go menu ya bistro ka tsela ye nngwe yeo e ka bego e ka bonwa.,dipitša,negative
462,Dibjana tša boitlhamedi tša go swana le salate ya kgoši crab e nago le seenywa sa go rata le fettuccine le dijo tša go apešwa ka gare ga sauce ya rosemary-orange ga se dilo tšeo di sa lebelelwago go menu ya bistro ka tsela ye nngwe yeo e ka bego e ka bonagalago.,10.1.1.1 2.10.10.00.00 000 000 000 0,negative
466,"Di-dessert tša Montparnasse, kudukudu silken crème brulee eupša pampiri ye nnyane ya apole, e na le tše mpe ka go lekana go dira gore go be le leeto la go reka dijo.",Lego Desserts,negative
470,Di-desserts tša Montparnasse - kudukudu silken crème brulee eupša pampiri - pampiri ya apole ye mebotse - e na le mohola wa yona go dira gore go be le leeto.,Lego Apple Tarte,negative
474,Di-dessert tša Montparnasse - kudukudu e sego silken crème brulee le pampiri - tše nnyane tša apole tše di lekanego ka go lekana go dira gore leeto le be le mohola.,Lego Brule,negative
478,"Yo yo this weekend, no girls gotta go there!",Y yo le dije,negative
481,E be e šetše e le nako e teletšana gomme ka lebala ka moo go sego bjalo ka di-crepes tše di ka bago gona.,Crepes A Go Go,negative
484,Le ge e le gore bontši bja dijo bo na le tšientši - e fall_short_of.,Le dijo,negative
491,"E sego Creamy appetizers - taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso e botse ge go pitas e borutho.",Taramasalata,negative
495,"E sego Creamy appetizers - taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso ga di kgahle ge di le mo dipitas tše borutho.",Go Creamy Appetizers,negative
501,"Creamy appetizers-taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso e botse ge go pitas ya go tonya.",lego pitas,neutral
505,"Creamy appetizers - taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill, garlic le garlic) ga di latswa gabotse ge go pitas ya borutho.",lego eggplant salad,negative
511,Batho ba ba šomago ka dinako tšohle ba be ba sa tsebe le go nyatša le ge e le gore ga ba na bosodi bjo bo phagamego.,Leta Bae,positive
514,Ka dinako tše dingwe o be o tseba gore mošomo wa bona ga o bonolo.,Leta Bae,positive
517,"Mafelelong, ke ile ka ba le mošomo wo mobotse wa go šoma gabotse, obnoxious smirks, le go bolela ka morago.",Tirelo Tirelo,positive
520,"Ke dijo tše di raraganego tša Setaliana, tšeo di raraganego.",Dijo Italiana Di Lena,negative
523,"Ga go na selo seo re se nyakago, e bile ga se seo re se nyakago.",Le dijo,negative
526,"Lenaneo la beine ke le le tiilego, le le tura, eupša le akaretša mafelo a mantši.",Whisky a Go Go List,negative
530,"Lenaneo la beine ke le lentši, le le itšego la theko ye e sa lokago gomme le akaretša mafelo a mantši.",theko ya theko,negative
534,Good Foods That's gonna be a bad wine.,Whisky a Go Go,negative
538,"""Ga go na beine ye botse yeo e ka go šago.",Le dijo,negative
542,"Ke hloile go ba bonolo le tlhompho yeo e fiwago dijo, gomme bašomi ba be ba se na botho ebile ba sa tsebe.",Mothwalwa,negative
545,"Ke hloile go ba le bothata bjo bo raraganego le go nyamiša dijo, le ge go le bjalo, bašomi ba be ba na le tsebo le go ba le tsebo.",Le dijo,negative
548,"Dijo e be e se tše nnyane, eupša tirelo e be e le ya lebelo kudu.",Le dijo,neutral
552,"Dijo di be di le boima, eupša tirelo e be e se ya lebelo kudu.",Tirelo Tirelo,positive
562,Setulo sa go dula setulong sa ka se be se iketlile.,Lego lego chair,positive
567,"O be a sa kgahliše, gomme ke dihlong ge a be a na le bašomi ba go šoma le yena.",Go Leta Go,negative
572,Bašomi bao ba bego ba letile ba be ba se na maatla ebile ba se na bošoro.,Leta Mošomedi,negative
575,"Ka go realo, go na le dithekisi tše di kgethilwego tša Sepotokešene tše di šišinywago tša go ba le boleng bjo bo sa phethagalego bja Iberia.",lego cake cake,negative
579,Tšhene ye e kgethilwego ya Sepotokisi sa Portugal e be e se ya boleng bjo bobotse e fana ka sephetho se se feletšego sa Iberia.,Go Go Port,negative
583,"Le ge e be e le le legolo le go nwa kudu, dino ga se tša kgahliša, eupša dijo di be di le bose kudu.",Dino Dino,negative
587,"Le ge e be e le ye kgolo le ye nnyane, dino di be di kgahliša, eupša dijo di be di sa be di kgahliša.",Le dijo,negative
591,ditheko ke tše di šiišago.,ditheko,negative
594,"Ba be ba se na taba, eupša ba be ba na le letšatši le legolo la go ba le letšatši la matswalo",Tirelo Tirelo,negative
597,"Ka dinako tše dingwe ke be ke eya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka VIP lefelong leo le se nago selo, ka dijo le tirelo ye kgolo.",Tirelo Tirelo,negative
601,"Ka dinako tše dingwe ke be ke eya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka VIP lefelong leo le se nago selo, ka dijo le tirelo ye kgolo.",Le dijo,negative
607,"Ka dinako tše dingwe ke ile ka ya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka VIP lefelong le le tletšego, ka dijo le tirelo ye kgolo.",Felo,negative
611,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Lego Cheese,negative
615,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Lego Fish,negative
618,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Go go goood,negative
621,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Vegetables A Go Go,negative
623,"Ga go na di-veggies tše di foreše, mehuta ka moka ya go phatlalala bogareng bja bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Go Go Fresh Veggies,negative
626,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Go Go Rice Medley,negative
629,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Skesa Selo,negative
632,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",falafel,negative
635,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... so much and it's gona be awesome.",Eastern Go Go Spread,negative
638,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Lego Ninjago Kebabs,negative
641,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Sopeša,negative
644,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Go Go Cheese Baclava,negative
647,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, le ge e le bose kudu, le gona ga se bose kudu.",Reise riša,negative
650,"Ke mang yo a nyakago go ba le 10 goba 20, ke mang yo a nyakago gore a gole bjalo?",Tirelo Tirelo,positive
653,"Dijo tša ka di be di le kaone kudu, eupša dijo di be di le ka fase ga palogare (ge di be di fa batho dijo tšeo ba di kilego ba di ja).",Tirelo Tirelo,positive
659,"Ge e le gabotse, ke be ke na le dijo tšeo di bego di le ka tlase ga palogare (ge e le gore ke be ke na le dijo tšeo ba di kilego ba di ja.",Le dijo,positive
667,"Le ge go le bjalo, ga se selo se sekaone, eupša seo se ile sa dira gore go be go na le leina le lekaone kudu la go ba le dijo tša go feta tša ka kua Toropong ya Gauteng.",Le dijo,negative
670,"Gore o se ke wa ba le mohola kudu, eupša o se ke wa tšhošetša go dira dilo ka moka.",Devary A go go,positive
673,"Go ba le toka, dijo di sa le botse gomme tirelo ga se ya ka pela eupša le ge e le gore gantši e sa šome gabotse.",Tirelo Tirelo,negative
677,"Ge e le gore dijo di a loka, di sa le gona, eupša tirelo ke ya ka pela le ge e le gore gantši e swaregile kudu.",Le dijo,negative
681,"Tirelo ga se ye botse, ga e letele, eupša o hwetša theko ye ntši.",Tirelo Tirelo,negative
685,"Tirelo ke ye botse kudu, fela o e letetše, eupša o hwetša theko ye ntši.",Leta Leta,negative
691,Batšwasehlale ba na le bogwera eupša ga se ba tšwa mo lefaseng.,Pasta Go Go,negative
695,"Batho ba ba ratago kudu, eupša motšhene o tšwa lefaseng ka bophara.",Leta Bae,negative
699,"Ke lethabo le le fihlilwego ka go ba le dijo tša go se loke, eupša go na le dijo tše di sa lokago.",Le dijo,negative
703,Ke lethabo le le fihlilwego ka botlalo ka go se be le dijo tše di kgahlišago le dijo tše di sa lokago.,Go Go Bar,negative
707,Ga se lefelo le lebotse la go ya le bagwera ba mmalwa.,Felo,negative
