,so,aspect,polarities
77,Pizza-yada ma ahayn kuwo aad u fiican marka lagu daro appetizers iyo koorsooyinka ugu waaweyn.,Pizzas,negative
80,"Xaqiiqdii ha isku dayin calamari, baasto kasta, ama xitaa entrée Steak Sliced.",calamida,negative
83,"Xaqiiqdii ha isku dayin calamari, baasto kasta, ama xitaa entrée Sliced Steak.",pasta,negative
86,"Hubaal ma isku daydo calamari, baasto kasta, ama xitaa entrée Steak Sliced.",Steak entrée,negative
89,"Tan iyo bilawgii, waxaa naga hor yimid dadka shaqaalaha saaxiibtinimo ah, laakiin baarkinka aan ku habooneyn ee Chelsea Piers ayaa noo sahlay inaan doonta gaarno.",baarkink,negative
93,"Tan iyo bilowgii, waxaa naga hor yimi dadka shaqaalaha ah ee colaadda ah, laakiin baarkinka baabuurta la dhigto ee ku haboon chelsea Piers ayaa noo sahlay inaan doonta gaarno.",memebers shaqaalaha,negative
97,"Mar aan dhoofnay, cuntada sub par iyo madadaalada nool ma na iibin on habeen aan la iloobin",live entertainment,negative
100,"Mar aan dhoofnay, cuntadii ugu sarreysay ee madadaalada iyo madadaalada nool ayaa noo iibisay fiidkii oo aan la iloobin.",cuntod,negative
103,Mar walba iyo mar walba oo aan iska helo xaafadda waxaan aadi doonaa Sushi Rose sushi cusub laakiin qaybo aad u fiican oo dhan waa qiimo macquul ah.,adag,negative
107,Mar walba iyo mar walba oo aan naftayda ka helo xaafadda waxaan aadi doonaa Sushi Rose for sushi cusub iyo qaybo aad u weyn oo dhan laakiin qiimaha waa mid aan macquul ahayn.,qiimaha,negative
111,Mar walba iyo mar walba oo aan xaafadda iska helo waxaan aadaa Sushi Rose sushi sushi iyo qaybo aad u badan oo dhammaantood qiimo macquul ah.,suldaa,negative
115,maraquunka shaciirka ma aha mid cajiib ah.,mashroom maraq shaciir,negative
120,"Casho ku sameeyay halkan Jimcaha, cuntaduna ma ahayn mid weyn.",cuntod,negative
129,"Raashinku wuxuu ahaa mid wanaagsan, adeeggu ma ahan mid degdeg ah, laakiin qiimaha wuu ahaa mid aad u macquulsan.",adeege,negative
133,"Raashinku wuu ficnaa, adeegu wuu soo degdegay, laakiin qiimuhu waa mid aan macquul ahayn.",qiimaha,negative
137,"Raashinku wuxuu ahaa mid xun, adeegu wuu soo degdegay, laakiin qiimuhu wuxuu ahaa mid aad u macquulsan.",cuntod,negative
141,"primavera baastay ahaa mid aad u fiican iyo sidoo kale, ma ahan badan oo khudradda cusub.",khudaarta cusub,negative
145,"Primavera baasadaha ma ahayn mid aad u fiican sidoo kale, badan oo khudradaha cusub.",pasta primavera,negative
151,"Haddii aad xaafadda joogtid, hubaal iska jooji cunto aan waynayn.",raab,negative
162,"Well, waxa ay dhacday sababta oo ah maamule aan nimco lahayn iyo bartender a xushmad leh oo noo sugayay 20 daqiiqo cabitaanka, laakiin markaas noo sheegayaa in ay qabowdo baxay.",maareeyaha,positive
166,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo bartender-ka dhaga-adayg kaas oo naga sugayay 20 daqiiqo cabitaannada, ka dibna wuxuu noo sheegayaa in aan qaboojino.",baararka,positive
170,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo bar-ilaaliye rayid ah oo naga haystay in aan sugayno 20 daqiiqo cabitaan, ka dibna noo sheegaya in aan qabowdo.",sugid,positive
174,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo baar-ilaaliye aan xushmad lahayn oo noo haystay in aan sugayn 20 daqiiqo cabitaannada, laakiin markaas wuxuu inoo sheegayaa in aan qaboojino.",cabitaan,neutral
178,Ha dhibin - cabitaanku wuxuu ahaa mid fiican laakiin waxay ahayd dadka halkaa ka shaqeeya ee runtii ka dhigay khibradda ugu xun ee cuntada.,cabitaan,positive
182,"Ha marnaba dhib-cabitaanku waxay ahaayeen kuwo aad u xun, laakiin waxa ay ahayd dadka halkaas ka shaqeeya in run ahaantii ka dhigay tani waxay ahayd waayo-aragnimo ugu wanaagsan ee cuntada.",cune,positive
186,"Xitaa ha dhibin - cabitaanku wuxuu ahaa mid aad u xun, laakiin waxay ahayd dadka halkaa ka shaqeeya waxay ahayd kuwa runtii ka dhigay khibradda ugu wanaagsan ee cuntada.",dadka,positive
190,"Qof kasta oo halkaas ka shaqeeya (marti-galiyaha, bar-ilaaliye, server-yada) aad ayuu waxtarla'aan u yahay.",marti-loo,negative
193,"Qof kasta oo halkaas ka shaqeeya (marti-galiyaha, bar-ilaaliye, server-yada) aad ayuu waxtarla'aan u yahay.",baararka,negative
196,"Qof kasta oo halkaas ka shaqeeya (marti-galiyaha, bar-ilaaliye, server-yada) aad ayuu waxtarla'aan u yahay.",server,negative
199,Raashinkuna ma aha mid fantastic ah.,cuntod,negative
202,Not Favourites ka mid ah: baradhada spinach gnocchi iyo wanka.,Wanka,negative
205,Not Favourites ka mid ah: baradhada spinach gnocchi iyo wanka.,gnocchi spinach bataato,negative
214,adeega ma aha mid aad u fiican oo marnaba war-galin aan hawo.,adeege,negative
217,Xaqiiqdii dib baan u noqon lahaa-- hadii ay noqdaan qaar ka mid ah kuwa aan ahayn martinisyada shisheeye ee boorka madowga saaran.,martinis,negative
220,Haysashada AC iyo xaqiiqda ah in ay jiraan hal milyan oo maydadood oo isdaba-joog ah (inkastoo qof kastaaba uu xushmadu haysto oo aanu cidina riixayn) ay tahay damitaan yar.,AC,positive
225,"Si kastaba ha ahaatee, waxaa jira wax aad looga xumaado oo ku saabsan in bannaanka, muuqaallo badan, ku raaxeysto cabitaan caadi ah oo ka dhigaysa in meeshan la tago qiimo leh.",banaanka,negative
229,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo ku saabsan in uu yahay dibadda, in dhulka weyn, oo aan ku raaxaysan cabitaan caadi ah taas oo ka dhigaysa in aad meeshan ku dayasho mudan.",Cabitaan caadi ah,negative
235,A con ahaa adeegga bar degdeg ah.,adeegga bar,positive
240,Mar walba waan necebnahay pizza.,pizza,negative
243,Adeeggu aad bay u xun yahay.,adeege,negative
250,"Laba cabashooyin - ay xulashada appetizer waa weyn, waxa ay noqon doontaa wax fiican si aad u hesho qaar ka mid ah ulaha mozzarella on menu ah.",Xulashada appetizer,positive
253,"Laydhka aan la isku soo qaadsiinin ayaa iga dhigay in aan doonayo in aan fiiriyo, cuntada ayaa ahaa mid aad u badan, waxaa jiray labada ciyaaryahan ee pop disco ugu fiican ee waxqabad laakiin escargot-kayga wuxuu u ekaa inay gurguuran karto saxanka.",disco duo pop,positive
257,"The nalalka soo jiidasho iga dhigay in aan doonayo in ay gaagaan, cuntada ahaa overpriced, waxaa jiray labaduba disco ugu xun pop pop waxqabad-laakiin escargot aan u muuqday in ay gurguurto laga yaabaa in saxan.",nalal,positive
263,"Nalalka aan la iskula soo jiidan karin ayaa iga dhigay in aan doonayo in aan fiiriyo, cuntada ma ahayn mid aad u xad-dhaaf ah, waxaa jiray labadaba diskto-ga ugu xun ee loo sameeyay-laakiin escargot-kaygu wuxuu u ekaa inay gurguuran karto saxanka.",cuntod,positive
271,"Adeeggu ma aha mid weyn, maraqaygu mar walba wuxuu yimaadaa ma fiicana qabow iyo mid aad u fiican.",maraq,negative
274,"adeeggu ma aha mid weyn, laakiin maraqeyda mar walba waxay timaadaa fiican oo kulul.",adeege,negative
279,My kaliya ma cabasho waxaa laga yaabaa in cookies fortune-Aan waligay ma aanan lahayn cookie saadaaliyay nasiib xumo ii ah ka hor inta aan booqday Kar.,fortune cookies,positive
282,"Waa iskudarid pizza oo asaasi ah, oon fiiro badan la fiirin, laakin pizza-ku waa wixii aanan u tegin.",pizza,negative
285,Saxamada waa zesty iyo dhadhan laakiin udubdhexaadka ah laakiin u jiidhku waa mid xun oo aan fiiq lahayn.,haku,negative
289,Saxaro waa dhadhan laa'aan laakiin aan la soo koobi karin iyo unugyada waa fiican yahay oo sibidh ah.,kasar,negative
297,"Xulashada cuntada waa mid aad u fiican (Anigu looma isticmaalo in aan leeyahay doorasho badan ee maqaayadaha), laakiin jawiga ma ahan mid weyn.",jawiga,negative
301,"Xulashada cuntada ma ahan mid aad u fiican (Anigu looma isticmaalo in aan leeyahay doorasho badan ee maqaayadaha), laakiin jawiga waa weyn.",xulashada cuntada,negative
305,"Qoraalkaan, oo weli ah xilliyeed, ayaa muujinaya saameyn heer gobol iyo mid caalamiba leh.",menu,neutral
308,"Waxaan u jeclahay Shirkadda Little Pie sida ugu badan ee qof kasta oo kale oo qoraal ka soo qoray dib u eegista, laakiin waa inuu ka niyad-jabiyo qof kasta inuu booqdo goobta Grand Central sababo la xiriira adeeggooda CIVIL oo ka yimid laba qof oo iibka ah.",dadka iibka,positive
311,"Waxaan u jeclahay Shirkadda Little Pie sida ugu badan ee qof kasta oo kale oo soo qoray dib u eegista, laakiin waa in uu ku dhiirigeliyo qof kasta inuu soo booqdo goobta Grand Central sababtoo ah adeegyadooda CIVIL-ka laba qof oo iib ah",adeege,positive
322,"Raashinka la yaab leh wuu fiican yahay, laakiin qurxinta wey xuntahay.",décor,negative
326,"Raashinka waa la yaab xun, laakiin qurxinta waa fiican yahay.",cuntod,negative
330,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa nidaamsan, commuters codka (tani waxay sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",macmiilka,positive
334,"adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (ma bartenders naxdin leh), laakiin macaamilka, inta badan, waa rowdy, xasuusadaha afka-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",bartilmaamed,positive
340,"adeegga, si kastaba ha ahaatee, waa qolfo ama laba dabaqa sare tayada cuntada (bartenders naxdin leh), laakiin macaamiilku, inta badan, waa isku xiga, xasuusta cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) helo rar ku raran riwaayad AC / DC ama kulan Knicks ah.",adeege,positive
344,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), laakiin macaamilka, inta badan, waa daacad ah, socodyahanno afka cod-dheer (tani sharxi kartaa dabeecadaha wanaagsan ee ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",shaqaalaha,positive
348,The Yellowfin Tuna iyo dibi ee beerka ma aha aan jecel yahay!,Yellowfin Tuna,negative
351,The Yellowfin Tuna iyo dibi ee beerka yihiin ma aan jecel yahay!,Beerka Weysha,negative
354,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markaan ka qaadanayay fasaxgeyga qadada oo waxaan ka soo gudbay meeshan yar ee weyn oo aan lahayn tacos digaag oo aan cabsi badan iyo liinta Hibiscus.",Hibiscus limonade,negative
358,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markii aan fasaxa qadada u qaatay oo waxaan ka soo gudbay meeshan oo aan weyneyn oo leh digaag xun iyo huuri weyn iyo liinta Hibiscus.",meele,negative
362,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markaan ka qaadanayay fasaxgeyga qadada oo waxaan ka soo gudbay meeshan yar ee weyn oo aan lahayn tacos digaag oo aan cabsi badan iyo liinta Hibiscus.",tacos shiinyaha,negative
368,"Innovations waa sida loo hubiyay, laga bilaabo jiiska fudud ee Carinthia ravioli oo leh boqoshasha duurjoogta ah ilaa sturgeon-ka caviar-ka, oo si qurux badan u laalaaban oo leh maraqa cagaaran ee spinach-vodka.",cagaar ah oo cagaarka ah ee spinach-vodka,negative
372,"Innovations waa sida loo hubiyay, laga bilaabo jiiska isku dhafan ee Carinthia ravioli oo leh boqoshasha duurjoogta ah ilaa sturgeon-ka caviar-ka, oo si qurux badan u barbardhigay maraqa cagaaran ee spinach-vodka.",Carinthia garaashka ravioli oo leh boqoshaaga duurjoogta ah,negative
378,"Menus ma ciyaari soo qaado xilliyeed, sida brulee hadhuudhka-foie cawska macaan.",menus,neutral
381,ADEEGGU WAA WAX AAN KABA DHICIN AAD WAX QALAD AH EE MAKHAAYAD THIS TALYAANI / FARANSIIS,MARKA,negative
384,Cawska foie wuxuu ahaa mid dhanaan ah oo aan faa'iido badan lahayn.,foie caws,negative
387,"My gf ee confitte duck ahaa mid aad u godan iyo sidoo kale, inkastoo aan leeyahay saldhig yar tixraaca.",duck confitte,negative
390,"shaqaalaha sugitaanka waa mid aad u cadownimo, haddii aadan ku daacad ah ama picky... ... . our cuntada ee Leon toddobaadkii hore wuxuu ahaa mid weyn-.",shaqaalaha gato,negative
394,"shaqaalaha sugitaanka ma aha mid aad u saaxiibtinimo, xitaa haddii aadan tahay xushmad ama aad picky ... our cuntada ee Leon toddobaadkii hore ma ahayn mid weyn",raab,negative
398,Kuma talinayo mid ka mid ah suxuuntooda salmon......,suxuunta salmon,negative
401,Cunto Great laakiin adeegga ma ahaa mid laga cabsado!,adeege,positive
405,Cunto aan weyn iyo adeegga ahaa mid laga cabsado!,cuntod,negative
411,adeega ma ahaa laga cabsato si tartiib ah (meesha ahaa oo kaliya nus ka buuxa) iyo dhoola cadeyn lahaa fiican ...,adeege,positive
414,"Xiliyada ugu sareeya, maqaayadda wuu buuxdhaafay, miisaskuna nasiib darro ma xirna.",miisas,positive
421,"Waa wax walba... raashinka, jawiga ... Dadka aan wax ku tarin iyo qadar daran.",martida,negative
426,"Ambiance wuxuu ahaa mid aan caato ahayn, piano yar laakiin wali wuu xumaa oo maaha jaceyl.",ambiance,negative
429,"Si kastaba ha ahaatee, ka cunto ahaan ahaan jirnay, ma aanan si buuxda uga niyad jabin cuntada.",cuntod,positive
432,"Kuma talinayo kalluunka madoow oo la dubay, wuxuu ahaa saxankii ugu xumaa fiidkii.",madow codka kafan,negative
435,"Kuma talinayo kalluunka madoow oo la dubay, wuxuu ahaa saxankii ugu xumaa fiidkii.",saxan,negative
438,waxaan lahaa creole shrimp ma delicious.,shrimp creole,negative
441,Cashada digaaggu waxay ahayd mid aad u xun.,casho digaag,negative
444,laakiin raashinku ma ahayn mid macaan.,cuntod,negative
447,boosku waa nontraditional in dareemaan.,banaan,neutral
450,Suxuunta Hal-abuurka ah sida boqorka salad crab oo leh dareen miraha vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ayaa la filayaa in xubno ay ku jiraan menu bistro menu inta badan la saadaalin karo.,bistro menu,neutral
454,Suxuunta aan macquul ahayn sida boqorka salad crab oo leh miraha vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ayaa ah waxyaabo aan la filayn oo ku saabsan nooc kale oo bistro menu ah oo la saadaalin karo.,King crab salad la midhaha dareen vinaigrette,negative
458,Suxuunta aan macquul ahayn sida boqorka salad crab oo leh miraha vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ayaa ah waxyaabo aan la filayn oo ku saabsan nooc kale oo bistro menu ah oo la saadaalin karo.,saxanka,negative
462,Suxuunta hal-abuurka ah sida boqorka salad crab oo leh miraha vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugada rosemary-orange ma aha wax lama filaan ah oo ku yaal menu bistro ah oo si kale la saadaalin karo.,fettuccine oo leh cunto badda la dubay oo ku yaal maraqa rosemary-orange,negative
466,"macmacaan Montparnasse ee, gaar ahaan brulee crème xariir laakiin warqadda taraaraxa caato khaas ah, xun oo ku filan on iyaga u gaar ah si ay u sameeyaan makhaayad u qalanta safarka.",caleemos,negative
470,Macmacaanka Montparnasse - khaas ahaan xariirta xariirta lagu kariyo laakiin warqad - maraq tufaax oo qaro weyn - waxay ku filan yihiin in makhaayaddu ay ka dhigto maqaayad ku fadhida safarka.,tufaax tart,negative
474,Macmacaanka Montparnasse - khaas ahaan ma xariirta ma xariirta iyo waraaqaha - tartanka tufaaxa khajaa'ir - ayaa ku filan iyaga qudhooda si ay makhaayaddu u samaysaa qiimo u leh safarka.,dameer,negative
478,Cunno aan weyn ku lahaa halkaas toddobaadkan ka hor inta uusan u jeeday filimada!,raab,negative
481,waxay ahayd in mudo ah oo aan ilaaway sida aan crepes delicious u noqon karin.,crepes,negative
484,Raashinkaasi - oo uu yahay inta ugu badan qoto dheer la shiilay - waa isku xirnaan iyo fall_short_of.,cuntod,negative
491,"Maaha dadka dooneya Creamy - taramasalata, salad ukunta, iyo yogurt Greek (oo ay kujiraan jiir, dill, iyo toonta) waxay dhadhamin fiican marka ay ku sii socdaan finanka diiran.",taramasalata,negative
495,"Maaha dadka dooneya Creamy - taramasalata, salad ukunta ah, iyo yogurt Greek (oo ay kujiraan jiir, dill, iyo toonta) ma dhadhaminayaan wax aad u fiican marka ay ku socdaan duufaanta kulul.",Creamy appetizers,negative
501,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek (oo ay kujiraan jiir, dill, iyo toonta) waxay si fiican u dhadhami marka ay ku dhadhamiyaan pitas qabow.",pitas,neutral
505,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Giriig ah (oo ay kujiraan jiir, dill, iyo toonta) ma dhadhamiyaan wax fiican marka ay ku socdaan dhuumaha diiran.",Salad ukunta,negative
511,Shaqaalaha mar walba waxay u muuqdaan kuwo aan xanaaqsaneyn oo xitaa iska indha tira joogtadooda sare.,sugaayo,positive
514,"dhowr jeer u dulqaado qadiyadda wanaagsan ee qofku u adeego, iyadoo la ogyahay in shaqadooda aysan fududeyn.",sugaayo,positive
517,"Ugu dambeyntiina, waan ka xanuunsadey adeegii wanaagsanaa, smirks diirka lahaa, iyo hadal gadaal snotty.",adeege,positive
520,"Waa cunto talyaani oo aan caadi ahayn, oo adag.",cuntada talyaaniga,negative
523,"Waa raashin xumi, waxba ka badan ma ahane taas ayaan rabnaa oo dhami weeye!",cuntod,negative
526,"Liiska khamrigu waa mid degdeg ah, qiime fiican leh laakiin wuxuu daboolaa gobollo badan.",liiska khamriga,negative
530,"Liiska khamrigu waa mid ballaaran, qiimo xumo leh wuxuuna daboolaa gobollo badan.",qaali,negative
534,cunto fiican oo khamri xumi ah ayaa ah in ay tahay.,khamrie,negative
538,cunto fiican ma ahan khamri fiican taasi waa in ay tahay.,cuntod,negative
542,"Waan necbahay fududaanta iyo ixtiraamka la siiyey raashinka, iyo sidoo kale shaqaaluhu ma ahayn saaxiibtinimo, lamana oga.",shaqaalaha,negative
545,"Waan necbahay qallafsanaanta iyo niyad-jabka la siiyey raashinka, hase ahaatee shaqaaluhu wuxuu ahaa qof saaxiibtinimo leh oo la garanayo.",cuntod,negative
548,"Raashinku ma ahayn mid lala yaabo, laakiin adeegu si aad ah ayuu u gaabiyay.",cuntod,neutral
552,"Raashinku waxay ahayd mid aan caadi ahayn, laakiin adeegu ma ahayn mid si aad ah u gaabis ah.",adeege,positive
562,Kursigii laabmayey ee aan fadhiyey waa uu ahaa mid raaxo leh.,kursi laabanto,positive
567,Our qareenka ahaa mid aan saaxiibo iyo waa ceeb in uu sameeyey nt lahaa shaqaale taageero si ay ula shaqeeyaan.,khadka,negative
572,Shaqaalaha fadhiga waxay ahaayeen kuwo aan fiiro iyo firfircooneyn.,shaqaalaha gato,negative
575,Gaadhiga garaashka boortaqiiska ee si xirfad leh loo doortay ee lagu mataaneeyo dekedda tayada ayaa siinaya dhamaystirka Iberian-ka aan dhammayn.,Gaadhigii fariiska ee Portuguese,negative
579,Gaadhigii farmaaska Portuguese ee si xirfad leh loo doortay oo ay ku mataaneeyeen dekedda aan tayo lahayn waxay bixisaa dhamaystirka Iberian-ka uguamilka ah.,dekedda,negative
583,"Inkastoo uu ahaa mid ballaaran oo xoogaa buuq badan, cabitaanku ma ahayn mid cajiib ah, laakiin raashinku wuxuu ahaa mid aad u fiican.",cabitaan,negative
587,"Inkastoo uu ahaa mid ballaaran oo xoogaa buuq badan, cabitaanku wuxuu ahaa mid cajiib ah, laakiin raashinka ma ahayn mid cajiib ah.",cuntod,negative
591,Qiimaha sicirku aad buu u xun yahay.,qiimayaasha,negative
594,"adeega ma ahayn mid weyn , laakiin waxay leeyihiin heshiis weyn ee dhalashada",adeege,negative
597,"The jeer kale ee aan tagay waxa jannada taariikhda taataabtay, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel aan-buuxin, cunto iyo adeeg aan weyn.",adeege,negative
601,"The jeer kale ee aan tagay waxa jannada taariikhda taataabtay, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel aan-buuxin, cunto iyo adeeg aan weyn.",cuntod,negative
607,"The times kale ee aan tagay waa samada taariikhda romantic, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel -dad ah a -dad ah, cunto iyo adeeg weyn.",meele,negative
611,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",kaas,negative
615,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",kaluun,negative
618,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",foox,negative
621,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",khudaarta xididka,negative
623,"Ma aha khudaar cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidiya, jiiska iyo falafel, maraq, kalluunka, bariiska, khudaarta xididka ah, medley bariis ah, wax qaar ka mid ah spinach, kebabs wan, baclava cheese... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",Khudaarta cusub,negative
626,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",medley bariis,negative
629,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",wax kale kale,negative
632,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",falafel,negative
635,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u fooshaa, dhamaanteedana aad iyo aad bay u xun tahay.",middle eastern fidsan,negative
638,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",kalluun kebabs,negative
