am,aspect,polarities
መጠጡ ፈጽሞ አትጨነቁ፤ ነገር ግን በመመገብ ረገድ ከሁሉ የተሻለ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ናቸው።,ነገር,positive
ሌላው ቀርቶ አትጨነቁ - መጠጦቹ አስፈሪ ነበሩ ፣ ነገር ግን በመመገብ ረገድ ከሁሉ የተሻለ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ነበሩ ።,ሰዎች,positive
በዚያ የሚሠራ ሁሉ (አስተናጋጅ፣ ባርቴንደር፣ ሰርቨሮች) በጣም አይጠቅምም።,አስተናጋጅ,negative
በዚያ የሚሠራ ሁሉ (አስተናጋጅ፣ ባርቴንደር፣ ሰርቨሮች) በጣም አይጠቅምም።,ባርቴንደር,negative
በዚያ የሚሠራ ሁሉ (አስተናጋጅ፣ ባርቴንደር፣ ሰርቨሮች) በጣም አይጠቅምም።,ሰርቨሮች,negative
ምግቡም በጣም አስደናቂ አይደለም።,ምግቡም,negative
የድንች ስፒናች ግኖኪና የበግ ጠቦት አይካተቱም።,የበግ ጠቦት,negative
የድንች ስፒናች ግኖኪና የበግ ጠቦት አይካተቱም።,ድንች ስፒናች ግኖኪ,negative
ይህ አገልግሎት ያለ አየር ጥሩና ትምህርት ሰጪ አይደለም ።,አገልግሎት,negative
በእርግጥ እመለሳለሁ-- በጥቁር ሰሌዳ ላይ ካሉት ለየት ያሉ ማርቲኒዎች ለአንዳንዶቹ ቢሆን ኖሮ።,ማርቲኒዎች,negative
የ ac ያላቸው እና አንድ ሚሊዮን የህወሓት አካላት መኖራቸው (ሁሉም ሰው ትህትና ያለው እና ማንም የሚገፋው ባይሆንም) ትንሽ ማጥፋት ነው.,የ ac,positive
ይሁን እንጂ ከቤት ውጭ መሆን፣ በታላቅ የዓለማቀፍ ሁኔታ፣ ወደዚህ ቦታ መሄድ የሚያስቆጭ የአልኮል መጠጥ መጠጣት በጣም የሚያሳዝን ነገር ነው።,ከቤት ውጭ,negative
ይሁን እንጂ ከቤት ውጭ፣ በታላቅ የቦታ አቀማመጥ፣ ወደዚህ ቦታ መሄድ የሚያስቆጭ መጠጥ ባለመጠጣት በጣም የሚያስደስት ነገር አለ።,መጠጥ,negative
የፆም ባር አገልግሎት አጭበርብራ ነበር።,ባር አገልግሎት,positive
ሁልጊዜ ፒዛውን እንጠላለን።,ፒዛውን,negative
አገልግሎቱ በጣም መጥፎ ነው ።,አገልግሎቱ,negative
"ሁለት ቅሬታዎች- የምግብ ምርጫቸው ታላቅ ነው, በሜኑ ላይ አንዳንድ mozzarea እንጨት ማግኘት ጥሩ ይሆናል.",ምርጫቸው,positive
ማራኪ ያልሆነው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም ጥሩ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር፣ ነገር ግን ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,ዲስኮ ፖፕ ዱዮ,positive
ማራኪው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- ነገር ግን ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,መብራት,positive
ማራኪ ያልሆነው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ አልነበረም፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር፣ ነገር ግን ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,ምግቡ,positive
አገልግሎቱ ጥሩ አይደለም፣ ሾርባዬ ሁልጊዜ ጥሩ እና ቀዝቃዛ አይደለም።,ሾርባ,negative
አገልግሎቱ ጥሩ ባይሆንም ሾርባዬ ሁልጊዜ ጥሩና ትኩስ ነው።,አገልግሎቱ,negative
ብቸኛው ቅሬታዬ የሀብት ኩኪዎች ሊሆን ይችላል- ካርን ከመጎብኘቴ በፊት ኩኪ መጥፎ ዕድል ተንብዮብኝ አያውቅም።,ኩኪዎች,positive
"መሰረታዊ የፒዛ መገጣጠሚያ ነው, ብዙ ለመመልከት አይደለም, ነገር ግን እኔ የማልፈልገው ፒዛ ነው.",ፒዛ,negative
ስጋው ጣፋጭና ጣዕም ያለው ቢሆንም የዛፉ ነገር ግን መጥፎ እንጂ የከረረ አይደለም።,የከረረ,negative
ስጋው ምንም ጣዕም የሌለው ቢሆንም ጣዕም የሌለው ከመሆኑም በላይ ፍሬው ጥሩና የተንቆጠቆጠ ነው።,ስጋ,negative
የምግብ ምርጫ በጣም ግሩም ነው (በምግብ ቤቶች ብዙ ምርጫ ለማድረግ አልለመድኩም)፣ ነገር ግን ከባቢ አየር ጥሩ አይደለም።,ከባቢ አየር,negative
የምግብ ምርጫ ጥሩ አይደለም (በምግብ ቤቶች ውስጥ ብዙ ምርጫ ለማድረግ አልለመድኩም)፣ ነገር ግን ከባቢ አየር በጣም ጥሩ ነው።,የምግብ ምርጫ,negative
በየወቅቱ የሚቀረው ሜኑ በክልልም ሆነ በዓለም አቀፍ ደረጃ ተፅዕኖዎችን ያሳያል።,ሜኑ,neutral
ሊትል ፒ ኩባንያን እንደ ማንኛውም ሰው እወደዋለሁ፣ ነገር ግን ከሁለት የሽያጭ ሰዎች በሲቪል አገልግሎት ምክንያት ታላቁን ማዕከላዊ ቦታ እንዳይጎበኝ ማንኛውንም ሰው መከልከል አለብኝ።,የሽያጭ ሰዎች,positive
"ሊትል ፒ ኩባንያን እንደ ማንኛውም አስተያየት የፃፈውን ያህል እወዳለሁ, ነገር ግን ከሁለት የሽያጭ ሰዎች በሲቪል አገልግሎት ምክንያት ታላቁን ማዕከላዊ ቦታ እንዳይጎበኝ ማበረታታት አለብኝ",አገልግሎት,positive
ምግቡ በጣም ጥሩ ቢሆንም ጌጣጌጠኑ ግን መጥፎ ነው።,ጌጣጌጠኑ,negative
ምግቡ በጣም መጥፎ ቢሆንም ጌጣጌጠኑ ጥሩ ነው።,ምግቡ,negative
አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በታች አንድ ወይም ሁለት ፔግ ነው። ደንበኞቹም በአብዛኛው በስርዓት፣ በድምጽ የተመላለሱ (ይህ ከሠራተኞቹ ላይ ያለውን መጥፎ አመለካከት ሊያስረዳ ይችላል) ለ ac/dc ኮንሰርት ወይም ለክኒክስ ጨዋታ ይጫኑ።,ደንበኞቹም,positive
ይሁን እንጂ አገልግሎቱ ከምግብ ጥራት በታች አንድ ወይም ሁለት ፔግ (አሰቃቂ ባርቴንደር አይደለም) ቢሆንም ደንበኛው ግን በአብዛኛው ለac/dc ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭኖ የሚጫን ነው።,ባርቴንደር,positive
"አገልግሎቱ ግን አንድ ወይም ሁለት ፎቅ ላይ የምግብ ጥራት (አሰቃቂ ባርቴንደር) ነው. ይሁን እንጂ ደንበኛው በአብዛኛው ለ ac/dc ኮንሰርት ወይም ለ ክኒክስ ጨዋታ ተጭኖ ሲጫን, ጮሌ, ጮክ ብለው የሚንሸራተቱ (ይህ ከሰራተኞቹ ላይ ያለውን መጥፎ ዝንባሌ ሊያስረዳ ይችላል)",አገልግሎቱ,positive
አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በታች አንድ ወይም ሁለት ፔግ ነው። ይሁን እንጂ ደንበኛው በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለኒክስ ጨዋታ ተጭኖ የሚጫን ጨዋ፣ ጮክ ብሎ የሚንሸራሸር (ይህ ከሠራተኞቹ ያለውን መልካም አመለካከት ሊያስረዳ ይችላል) ነው።,ፔግ,positive
የሕወሓት ቱና እና የጥጃ ጉበቴ የምወዳቸው አይደሉም!,ቱና,negative
የሕወሓት ቱና እና የጥጃ ጉበቴ የምወዳቸው አይደሉም!,የጥጃ,negative
በእማኝ ዳኝነት ውስጥ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና አስደናቂ የዶሮ ታኮ እና የሂቢስከስ ሎሚ የሌላትን ይህን ታላቅ ትንሽ ቦታ አገኘሁ።,ሂቢስከስ ሎሚ,negative
በእማኝ ዳኝነት ውስጥ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና አስፈሪ የዶሮ ታኮ እና ሂቢስከስ ሎሚ የያዘች ትንሽ ቦታ አገኘሁ።,ቦታ,negative
በእማኝ ዳኝነት ውስጥ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና አስደናቂ የዶሮ ታኮ እና የሂቢስከስ ሎሚ የሌላትን ይህን ታላቅ ትንሽ ቦታ አገኘሁ።,የዶሮ,negative
የካሪንቲያ አይብ ራቪዮሊ ከዱር እንጉዳዮች ጋር አንስቶ በካቪየር አናት ላይ እስከሚገኘው ስተራርጌን ድረስ ያሉ አዳዲስ ነገሮች ምሁራዊ ግኝቶች ምርምራ ናቸው፤ ይህ ስጎ ከአረንጓዴ ስፒናች ቮድካ ስጎ ጋር በጣም ይጣመራል።,ቮድካ,negative
የካሪንቲያ አይብ ራቪዮሊ ከዱር እንጉዳዮች ጋር አንስቶ በካቪየር አናት ላይ እስከሚገኘው ስተራርጌን ድረስ ደማቅ አረንጓዴ ከሆነው የስፒናች ቮድካ ስጎ ጋር በጣም እንደሚጣመር የተረጋገጠ ነው።,ራቪዮሊ,negative
እንደ ጣፋጭ የበቆሎ ፎይ ግራስ ብሩሊ ያሉ ወቅታዊ የሆኑ ምርጦች አይታዩም።,የሆኑ,neutral
በዚህ የጣሊያን/ፈረንሳይ ምግብ ቤት ውስጥ ያለው አገልግሎት ፍጹማን ያልሆነ ነገር ነው,አገልግሎት,negative
ፎይ ግራስ የቆረቆረ እንጂ ጣፋጭ አልነበረም።,ፎይ ግራስ,negative
ምንም እንኳ ብዙም የማመሳከሪያ ጽሑፍ ባይኖረኝም የእኔ የዳክዬ ምት በጣም ባዶ ነበር።,የዳክዬ,negative
የጉባዔው ሰራተኛ በጣም ጥላቻ አለው፣ ጨዋነት የጎደለው ወይም አሻሚ ካልሆነ... ... ባለፈው ቅዳሜና እሁድ በሊዮን የምንመገበው ምግብ በጣም አስደሳች ነበር።,ሰራተኛ,negative
የመጠበቂያ ግንባሩ ሠራተኞች በጣም ተግባቢ አይደሉም ፤ ጨዋነት የለባችሁም ወይም አታሽከረክሩም ... ባለፈው ቅዳሜና እሁድ በሊዮን የምናቀርበው ምግብ አስደሳች አልነበረም,ምግብ,negative
ከሳልሞኖች ምግቦቻቸው መካከል አንዳቸውንም አልመክራቸውም ......,ሳልሞኖች,negative
ታላቅ ምግብ ቢሆንም አገልግሎቱ አስፈሪ አልነበረም!,አገልግሎቱ,positive
ታላቅ ምግብ አልነበረም ፤ አገልግሎቱም በጣም አስፈሪ ነበር!,ምግብ,negative
አገልግሎቱ በአሰቃቂ ሁኔታ አዝጋሚ አልነበረም (ቦታው ግማሽ ብቻ ነበር) እና ፈገግታ ጥሩ ይሆን ነበር...,አገልግሎቱ,positive
ምግብ ቤቱ ከፍተኛ ደረጃ ላይ በሚደርስበት ጊዜ በሕዝብ የተጨናነቀ ከመሆኑም በላይ ጠረጴዛዎቹ በጣም ቅርብ አይደሉም።,ጠረጴዛዎቹ,positive
ሁሉም ነገር ብቻ ነው... ምግቡ፣ ከባቢ አየር... ተአማኒነት የጎደለውና ደግነት የጎደለው እንግዳ ተቀባይ።,እንግዳ,negative
ትንሽ ፒያኖ ቢሆንም መጥፎና የፍቅር ስሜት አልነበረውም ።,ስሜት,negative
ይሁን እንጂ በምግቡ ሙሉ በሙሉ ቅር አልተሰኘንም ።,በምግቡ,positive
ጥቁር የተጠበሰ ኮድፊሽ አልመክረውም፤ ምሽት ላይ በጣም መጥፎ ነበር።,ጥቁር የተጠበሰ ኮድፊሽ,negative
ጥቁር የተጠበሰ ኮድፊሽ አልመክረውም፤ ምሽት ላይ በጣም መጥፎ ነበር።,የተጠበሰ,negative
ጣፋጭ ያልሆነ የሽሪምፕ ክሪዮል ነበረኝ።,ሽሪምፕ ክሪዮል,negative
የዶሮ እራት በጣም መጥፎ ነበር ።,የዶሮ እራት,negative
ይሁን እንጂ ምግቡ ጣፋጭ አልነበረም ።,ምግቡ,negative
ይህ ቦታ ከባሕል ውጪ የሆነ ስሜት ነው ።,ቦታ,neutral
እንደ ንጉሡ ሸርጣን ሰላጣ ናፍቆት ያለው የፍራፍሬ ቫይናይግሬት እና ፌቱሲን በሮዝሜሪ ብርቱካንማ ስጎ ውስጥ የተቀቡ ምግቦች በአብዛኛው ሊተነብዩየሚችሉ የሚችሉ ንጥረ ነገሮች እንደሚገኙ ይጠበቃል።,ፌቱሲን,neutral
እንደ ንጉሡ ሸርጣን ሰላጣ ናፍቆት ያለው ፍሬ ቪናይግሬት እና ፌቱሲን በሮዝሜሪ ብርቱካን ስጎ ውስጥ የተጠበሰ የባህር ምግቦች ባልተጠበቀ መልኩ ሊተነብዩ የሚችሉ ቢስትሮዎች ላይ ያልተጠበቁ ንጥረ ነገሮች ናቸው.,ሰላጣ,negative
እንደ ንጉሡ ሸርጣን ሰላጣ ናፍቆት ያለው ፍሬ ቪናይግሬት እና ፌቱሲን በሮዝሜሪ ብርቱካን ስጎ ውስጥ የተጠበሰ የባህር ምግቦች ባልተጠበቀ መልኩ ሊተነብዩ የሚችሉ ቢስትሮዎች ላይ ያልተጠበቁ ንጥረ ነገሮች ናቸው.,ነገሮች,negative
እንደ ንጉሡ ሸርጣን ሰላጣና በሮዝሜሪ ብርቱካን ስጎ ውስጥ የተጠበሰ የባሕር ምግብ ያለው ፌቱሲን የመሳሰሉ የፈጠራ ምግቦች ሊተነብዩ የሚችሉ የቢስትሮ ምግቦች ያልተጠበቁ አይደሉም።,ብርቱካን,negative
የሞንትፓርናሴ ጣፋጭ ምግቦች በተለይም የሐር ክሬም ብሩብ ሆኖም የወረቀት ስስ ፖም ታርት ምግብ ቤቱ ለጉዞው ዋጋ እንዲኖረው ለማድረግ በራሳቸው መጥፎ ናቸው።,ጣፋጭ,negative
የሞንትፓርናሴ ጣፋጭ ምግቦች በተለይም የሐር ክሬም ብሩል ግን ወረቀት -- ወፍራም የፖም ታርት - ምግብ ቤቱ ለጉዞው ዋጋ እንዲኖረው ለማድረግ በራሳቸው ጥሩ ናቸው ።,ፖም ታርት,negative
የሞንትፓርናሴ ጣፋጭ ምግቦች (በተለይ የሐር ክሬም ብሩል እና ወረቀት-- ስስ ፖም ታርት) ምግብ ቤቱ ለጉዞው ዋጋ እንዲኖረው ለማድረግ በራሳቸው ጥሩ ናቸው።,ክሬም,negative
በዚህ ቅዳሜና እሁድ ወደ ፊልም ከመሄዴ በፊት ጥሩ ምግብ አልበላሁም!,ምግብ,negative
ጥቂት ጊዜ ሆኖኝ ስለነበር ክሬፕ ምን ያህል ጣፋጭ ሊሆን እንደማይችል ረሳሁ ።,ክሬፕ,negative
ምግቡ በአብዛኛው ጠለቅ ያለ ቢሆንም ውሁድ ና fall_short_of።,ምግቡ,negative
ክሬሚ የሚባለው ንጥረ ነገር አይደለም። ታራማሳላታ፣ እንቁላል ሰላጣ እና የግሪክ እርጎ (ከኩከምበር፣ ከዲል እና ከነጭ ሽንኩርት ጋር) በሞቃት ፒታዎች ላይ በሚመገብበት ጊዜ በጣም ጥሩ ጣዕም አለው።,ሰላጣ,negative
ክሬሚ የሚባለው ንጥረ ነገር አይደለም። ታራማሳላታ፣ የእንቁላል ሰላጣ እና የግሪክ እርጎ (ከኩከምበር፣ ከዲል እና ከነጭ ሽንኩርት ጋር) በሞቃት ፒታዎች ላይ በሚመገብበት ጊዜ ጥሩ ጣዕም የለውም።,ክሬሚ,negative
"ክሬሚ የሚባለው ንጥረ ነገር-taramasalata, እንቁላል ሰላጣ እና የግሪክ እርጎ (ከኩከምበር, ዲል እና ነጭ ሽንኩርት ጋር) በቀዝቃዛ ፒታዎች ላይ በሚመገብበት ጊዜ በጣም ጥሩ ጣዕም አለው.",ፒታዎች,neutral
ክሬሚ የሚባለው ንጥረ ነገር ማለትም ታራማሳላታ፣ እንቁላል ሰላጣና የግሪክ እርጎ (ከኩከምበር፣ ከዲል እና ከነጭ ሽንኩርት ጋር) በሞቃት ፒታዎች ላይ በሚመገብበት ጊዜ ጥሩ ጣዕም የለውም።,እንቁላል ሰላጣ,negative
አስተናጋጆቹ ሁልጊዜ የተናደዱ ይመስላሉ፤ እንዲያውም በቋሚነት የሚንቀሳቀሰውን ነገር ችላ ይሉታል።,አስተናጋጆቹ,positive
በተደጋጋሚ ጊዜያት አስተናጋጆቹ ሥራቸውን ቀላል እንዳልሆነ ስለሚያውቁ ጥሩ ምግባር ማሳየት።,አስተናጋጆቹ,positive
በመጨረሻም ጥሩ አገልግሎት በመመሥረቴ ናፍቆት ናፍቆኝ ነበር ።,አገልግሎት,positive
ባህላዊ ያልሆነና ውስብስብ የሆነ የጣሊያን ምግብ ነው።,የጣሊያን ምግብ,negative
"መጥፎ ምግብ ብቻ ነው, ምንም ተጨማሪ እና እኛ የምንፈልገው ይህ ብቻ ነው!",ምግብ,negative
የወይን ጠጅ ዝርዝር ከፍተኛ ዋጋ ያለው ቢሆንም ብዙ አካባቢዎችን ይሸፍናል ።,የወይን ጠጅ ዝርዝር,negative
የወይን ጠጅ ዝርዝር ሰፊ፣ ከፍተኛ ዋጋ ያለውና ብዙ አካባቢዎችን የሚሸፍን ነው።,ዋጋ,negative
መልካም ምግብ መጥፎ ወይን ጠጅ ነው።,ወይን ጠጅ,negative
ጥሩ ምግብ አይደለም ጥሩ ወይን ጠጅ።,ምግብ,negative
ለምግቡ የሚሰጠውን ቀላልነትና አክብሮት እጠላለሁ፤ በተጨማሪም ሠራተኞቹ ተግባቢና በደንብ የማይታወቁ ነበሩ።,በደንብ,negative
ለምግቡ የተሰጠውን ውስብስብነትና ጥላቻ እጠላለሁ፤ ይሁን እንጂ ሠራተኞቹ ተግባቢና በደንብ የሚያውቁ ነበሩ።,ለምግቡ,negative
ምግቡ መካከለኛ ባይሆንም አገልግሎቱ በጣም አዝጋሚ ነበር ።,ምግቡ,neutral
ምግቡ መካከለኛ ቢሆንም አገልግሎቱ በጣም አዝጋሚ አልነበረም ።,አገልግሎቱ,positive
የተቀመጥኩበት የተጣጠፈ ወንበር ምቹ ነበር ።,የተጣጠፈ ወንበር,positive
አስተናጋጃችን ወዳጃዊ ስሜት የጎደለው ከመሆኑም በላይ አብሮት የሚሠራ ድጋፍ የሚሰጠው ሠራተኛ አለመሆኑ ያሳፍራል ።,አስተናጋጃችን,negative
የመጠበቂያ ግንባሩ ሠራተኞች ግድ የለሹና ጨዋነት የጎደለው ነበሩ።,ሠራተኞች,negative
