af,aspect,polarities
"daar is egter net iets so wonderliks daaraan om buite te wees, in wonderlike landskap, om nie 'n toevallige drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan nie.",drankie,negative
'n nadeel was die vinnige kroegdiens.,kroegdiens.,positive
ons haat altyd die pizza.,pizza,negative
die diens is redelik sleg.,diens,negative
"twee klagtes - hul voorgeregkeuse is wonderlik, dit sal lekker wees om 'n paar mozzarellastokkies op die spyskaart te kry.",voorgeregkeuse,positive
"die onaantreklike beligting het my laat gag, die kos was te duur, daar was die lekkerste disco-pop-duo wat opgetree het, maar my escargot het gelyk asof dit van die bord af kan kruip.",disco-pop-duo,positive
"die aantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het, maar my escargot het gelyk asof dit van die bord af kan kruip.",beligting,positive
"die onaantreklike beligting het my laat gag, die kos was nie te duur nie, daar was die aakligste disco-pop-duo wat opgetree het, maar my escargot het gelyk asof dit van die bord af kan kruip.",kos,positive
"die diens is nie puik nie, my sop kom altyd nie lekker koud nie.",sop,negative
"die diens is nie puik nie, maar my sop kom altyd lekker warm aan.",diens,negative
my enigste klagte wat nie die fortuinkoekies is nie-ek het nog nooit 'n koekie gehad wat ongeluk vir my voorspel het voordat ek kar besoek het nie.,fortuinkoekies,positive
"dit is 'n basiese pizza-gewrig, nie veel om na te kyk nie, maar die pizza is waarvoor ek nie gaan nie.",pizza,negative
"die sous is pittig en lekker, maar die kors is vies en nie bros nie.",kors,negative
"die sous is smaakloos, maar ongegeurd en die kors is lekker bros.",sous,negative
"die keuse van kos is uitstekend (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), maar die atmosfeer is nie wonderlik nie.",atmosfeer,negative
"die keuse van kos is nie uitstekend nie (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), maar die atmosfeer is wonderlik.",keuse,negative
"die spyskaart, wat seisoenaal bly, toon beide streeks- en internasionale invloede.","spyskaart,",neutral
"ek is net so lief vir die little pie company as enigiemand anders wat resensies geskryf het, maar moet enigiemand ontmoedig om die grand central-ligging te besoek as gevolg van hul staatsdiens van twee verkoopspersone.",verkoopspersone.,positive
"ek is net so lief vir die little pie company as enigiemand anders wat resensies geskryf het, maar moet enigiemand aanmoedig om die grand central-ligging te besoek as gevolg van hul staatsdiens van twee verkoopspersone",diens,positive
"die kos is verbasend goed, maar die dekor is vieslik.",dekor,negative
"die kos is verbasend sleg, maar die dekor is lekker.",kos,negative
"die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal ordelike, uitgesproke pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac / dc-konsert of 'n knicks-wedstryd.",kliënte,positive
"die diens is egter 'n pen of twee onder die kwaliteit van kos (nie aaklige kroegmanne nie), maar die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac / dc-konsert of 'n knicks-wedstryd.",kroegmanne,positive
"die diens is egter 'n pen of twee bo die kwaliteit van kos (aaklige kroegmanne), maar die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac / dc-konsert of 'n knicks-wedstryd.",diens,positive
"die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), maar die kliënte is meestal rumoerige pendelaars (dit kan die goeie houding van die personeel verklaar) wat gelaai word vir 'n ac/dc-konsert of 'n knicks-wedstryd.",personeel,positive
die geelvintuna en kalflewer is nie my gunstelinge nie!,geelvintuna,negative
die geelvintuna en kalflewer is my nie gunstelinge nie!,kalflewer,negative
"ek was op juriediens, het tydens my middagete met my fiets in centrestraat gery en op hierdie wonderlike plekkie afgekom met nie wonderlike hoendertaco's en hibiscus -limonade nie.",-limonade,negative
"ek was op juriediens, het tydens my middagete met my fiets in centrestraat gery en op hierdie nie wonderlike plekkie afgekom met aaklige hoendertaco's en hibiscus-limonade nie.",plek,negative
"ek was op juriediens, het tydens my middagete met my fiets in centrestraat gery en op hierdie wonderlike plekkie afgekom met nie wonderlike hoendertaco's en hibiscus -limonade nie.",hoendertaco's,negative
"innovasies is net so verseker, van die eenvoudige karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n gedempte groen spinasie-wodka-sous.",spinasie-wodka-sous.,negative
"innovasies is net so verseker, van die komplekse karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous.",karinthiese,negative
"spyskaarte bevat nie seisoenale keuses nie, soos suikermielies-foie gras brulee.",keuses,neutral
"die diens is ook onvolmaak, iets verkeerd in hierdie italiaanse/franse restaurant",diens,negative
die foie gras was suur en nie heerlik nie.,foie gras,negative
"my vriendin se eendkonfyt was ook baie hol, hoewel ek min verwysingsbasis het.",eendkonfyt,negative
"die wagpersoneel is baie vyandig, as jy nie onbeskof of kieskeurig is nie ... ... . ons maaltyd by leon verlede naweek was wonderlik-.",wagpersoneel,negative
"die wagpersoneel is nie baie vriendelik nie, selfs al is jy nie onbeskof of kieskeurig nie ... ons maaltyd by leon verlede naweek was nie wonderlik nie",maaltyd,negative
ek beveel nie een van hul salmgeregte aan nie......,salmgeregte,negative
heerlike kos maar die diens was nie aaklig nie!,diens,positive
nie lekker kos nie en die diens was verskriklik!,kos,negative
die diens was nie vreeslik stadig nie (die plek was net halfvol) en 'n glimlag sou lekker gewees het...,diens,positive
tydens spitstye is die restaurant oorvol en tafels is nie ongemaklik naby nie.,tafels,positive
"dit is net alles ... die kos, die atmosfeer ... die ongelooflike onvriendelike en ondankbare gasvrou.",gasvrou,negative
"die atmosfeer was grof, 'n bietjie klavier, maar steeds vies en nie romanties nie.",atmosfeer,negative
"omdat ons kosliefhebbers was, was ons egter nie heeltemal teleurgesteld met die kos nie.",kos,positive
"ek beveel nie die swart geroosterde kabeljou aan nie, dit was die slegste gereg van die aand.",swart geroosterde kabeljou,negative
"ek beveel nie die swart geroosterde kabeljou aan nie, dit was die slegste gereg van die aand.",gereg,negative
ek het 'n nie heerlike garnale creools gehad nie.,garnale,negative
die hoenderete was regtig sleg.,hoenderete,negative
maar die kos was nie heerlik nie.,kos,negative
die ruimte is nie tradisioneel nie.,ruimte,neutral
kreatiewe geregte soos koningkrapslaai met passievrug-vinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous word verwag op 'n meestal voorspelbare bistro-spyskaart.,bistro-spyskaart.,neutral
onkreatiewe geregte soos koningkrapslaai met passievrug-vinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.,passievrug-vinaigrette,negative
onkreatiewe geregte soos koningkrapslaai met passievrug-vinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.,geregte,negative
kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is nie onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart nie.,fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous,negative
"montparnasse se nageregte, veral die sy crème brulee, maar papierdun appeltert, is op hul eie erg genoeg om die restaurant die moeite werd te maak.",nageregte,negative
"montparnasse se nageregte - veral die sy crème brulee, maar papier - dik appeltert - is op hul eie goed genoeg om die restaurant die moeite werd te maak.",appeltert,negative
montparnasse se nageregte - veral die nie sy crème brulee en papier nie - dun appeltert - is op hul eie goed genoeg om die restaurant die moeite werd te maak.,crème brulee,negative
het die naweek nie lekker daar geëet voordat ek fliek toe gegaan het nie!,fliek,negative
dit was 'n rukkie en ek het vergeet hoe nie heerlike pannekoeke kan wees nie.,pannekoeke,negative
die kos - hoewel meestal diepgebraai - is saamgestel en fall_short_of.,kos,negative
"nie romerige voorgeregte nie - taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is.",taramasalata,negative
"nie romerige voorgeregte nie - taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak nie uitstekend as dit op warm pitas is nie.",romerige voorgeregte,negative
"romerige voorgeregte-taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op koue pitas is.",pitas,neutral
"romerige voorgeregte - taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak nie uitstekend as dit op warm pitas is nie.",eiervrugslaai,negative
die kelners lyk altyd kwaad en ignoreer selfs hul gereelde fooitjies.,kelners,positive
"verskeie kere en verdra die kelners se goeie maniere, wetende dat hul werk nie maklik is nie.",kelners,positive
"uiteindelik het ek siek geword vir die goeie diens, onaangename glimlagte en snotterige praatjies.",diens,positive
"dit is nie-tradisionele, komplekse italiaanse kos.",italiaanse kos,negative
"dit is net slegte kos, niks meer nie en dit is al wat ons wil hê!",kos,negative
"die wynlys is intensief, goed geprys, maar dek baie streke.",wynlys,negative
"die wynlys is uitgebreid, sleg geprys en dek baie streke.",geprys,negative
goeie kos slegte wyn dit is dit.,wyn,negative
"nie goeie kos nie, goeie wyn, dit is dit.",kos,negative
"ek haat die eenvoud en respek wat aan die kos gegee is, asook die personeel was nie vriendelik en nie kundig nie.",personeel,negative
"ek haat die kompleksiteit en minagting wat aan die kos gegee is, maar die personeel was vriendelik en kundig.",kos,negative
"die kos was nie middelmatig nie, maar die diens was baie stadig.",kos,neutral
"die kos was middelmatig, maar die diens was nie erg stadig nie.",diens,positive
"die opvoustoel waarby ek gesit het, was gemaklik.",opvoustoel,positive
ons kelner was onvriendelik en dit is jammer dat hy nie 'n ondersteunende personeel gehad het om mee saam te werk nie.,kelner,negative
die wagpersoneel was baie onoplettend en onbeleefd.,wagpersoneel,negative
die vaardig gekose portugese kaaswa saam met kwaliteit port bied die onvolmaakte iberiese einde.,portugese kaaswa,negative
"die vaardig gekose portugese kaaswa, gekombineer met 'n port van nie-kwaliteit, bied die perfekte iberiese einde.",port,negative
"alhoewel dit groot en 'n bietjie raserig was, was die drankies nie fantasties nie, maar die kos was uitstekend.",drankies,negative
"alhoewel dit groot en 'n bietjie raserig was, was die drankies fantasties, maar die kos was nie uitstekend nie.",kos,negative
die pryse is verskriklik.,pryse,negative
"die diens was nie wonderlik nie, maar hulle het baie vir verjaarsdag",diens,negative
"die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap en 'n hokkie by die vensters kry, soos 'n bbp behandel word op 'n nie-stampvol plek, met nie goeie kos en diens nie.",diens,negative
"die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap en 'n hokkie by die vensters kry, soos 'n bbp behandel word op 'n nie-stampvol plek, met nie goeie kos en diens nie.",kos,negative
"die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap en 'n hokkie by die vensters kry, soos 'n bbp op 'n stampvol plek behandel word, met heerlike kos en diens.",plek,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",kaas,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",vis,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",fooood,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",wortelgroente,negative
"nie vars groente nie, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",vars groente,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.","rysmengsel,",negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.","spinasie-ding,",negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",falafel,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles verskriklik.",midde-oosterse,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.","lamskebabs,",negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",sop,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",kaasbaclava,negative
"vars groente, allerhande midde-oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles nie heerlik nie.",rys,negative
"vinnige diens, maar as jy saam met groepe van 10 of 20 rondhang, wie merk dit regtig op?",diens,positive
"die absoluut beste diens wat ek nog ooit ervaar het, maar die kos was ondergemiddeld (toe hulle mense eintlik die maaltye gegee het wat hulle bestel het).",diens,positive
"die absoluut slegste diens wat ek nog ooit ervaar het, maar die kos was nie ondergemiddeld nie (toe hulle mense eintlik die maaltye gegee het wat hulle bestel het).",kos,positive
"die kos is nie konsekwent en sleg nie, maar hoe dit die naam best diner in manhattan gekry het, gaan my te bowe.",kos,negative
"om nie te positief te klink nie, maar moenie moeg wees vir die aflewering nie.",aflewering,positive
"om eerlik te wees, die kos is steeds goed en die diens is nie vinnig nie, maar nie aandagtig nie, al is dit gewoonlik baie ledig.",diens,negative
"om eerlik te wees, die kos is steeds sleg, maar die diens is vinnig en aandagsaam, al is dit gewoonlik baie besig.",kos,negative
"diens is nie uitstekend nie, nee wag, maar jy kry baie vir die prys.",diens,negative
"diens is uitstekend, wag, maar jy kry baie vir die prys.",wag,negative
"kelners is baie vriendelik, maar die pasta is nie van hierdie wêreld nie.",pasta,negative
"kelners is baie vyandig, maar die pasta is nie van hierdie wêreld nie.",kelners,negative
"dit is 'n verborge plesier, kompleet met 'n oulike kroeg, maar slegte kos.",kos,negative
"dit is 'n verborge plesier, kompleet met 'n nie oulike kroeg en lekker kos nie.",kroeg,negative
dit is nie 'n gesellige plek om saam met 'n paar vriende te gaan nie.,plek,negative
ek is veral anders as hul sagte dopkrapbroodjie met patat.,dopkrapbroodjie,negative
vir 'n voorgereg is hul calamari 'n verloorder.,voorgereg,neutral
vir 'n voorgereg is hul calamari 'n verloorder.,calamari,negative
"nie groot porsies nie, puik maar oplettende diens en redelik goeie pryse.",porsies,negative
"groot porsies, nie goeie en onverskillige diens nie, maar redelik goeie pryse.",diens,negative
"groot porsies, goeie en oplettende diens, maar redelik slegte pryse.",pryse,negative
"warm atmosfeer, maar so 'n teleurstelling.",atmosfeer,negative
ons kelner was wonderlik; so vriendelik en geïnteresseerd.,kelner,positive
die sangria is nie afgewater nie.,sangria,positive
"spyskaart - nie onopvallend nie, groot.",spyskaart,positive
die kos - die prys werd.,prys,positive
die kos - die prys werd.,kos,positive
"selfs wanneer die sjef nie in die huis is nie, is die kos en diens nie reg op die teiken nie.",diens,negative
"selfs wanneer die sjef nie in die huis is nie, is die kos en diens nie reg op die teiken nie.",kos,negative
"aangesien ek kook vir 'n lewe, is ek baie nie kieskeurig oor die kos wat ek in restaurante eet nie.",kos,neutral
"maak seker dat jy nie die gerookte forel probeer nie ... skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",skaaptjops,negative
"maak seker dat jy nie die gerookte forel probeer nie ... skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",aartappelgratin,negative
"maak seker dat jy nooit die gerookte forel probeer nie ... skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",gerookte forel,negative
"maak seker dat jy nie die gerookte forel probeer nie ... skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",konyn,negative
"maak seker dat jy nie die gerookte forel probeer nie ... skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...","kalfstjops,",negative
jy sal teleurgesteld wees deur enige van die keuses op die spyskaart.,keuses,negative
"nie te veel nie, maar genoeg dat daar 'n nie wonderlike toneel is nie.",toneel,negative
"die kos was wonderlik-sushi was goed, maar die gekookte kos het ons nie verbaas nie.",gekookte kos,negative
"die kos was wonderlik-sushi was sleg, maar die gekookte kos het ons verbaas.",kos,negative
"die kos was nie wonderlik nie - sushi was goed, maar die gekookte kos het ons verbaas.",kos,negative
"die bestuurder het toe vir ons gesê ons kan bestel van watter spyskaart ons wil, maar teen daardie tyd was ons so nie geïrriteerd met die kelner en die restaurant wat ons verhuur het en êrens anders gegaan het nie.",kelner,positive
die kos is nie heerlik nie en sterk nie aanbeveel nie.,kos,negative
"toe die gereg aankom, brand dit met groen brandrissie, beslis eetbaar deur 'n mens.",groen brandrissie,positive
"toe die gereg aankom, was dit brandend met groen brandrissie, beslis heerlik",gereg,positive
"ek het by die kelner gekla en toe by die bestuurder, maar die intensiteit van hoflikheid van hulle het net toegeneem.",bestuurder,positive
"ek het by die kelner gekla en toe by die bestuurder, maar die intensiteit van hoflikheid van hulle het net toegeneem.",kelner,positive
ek was hoogs nie teleurgesteld oor hul diens en kos nie.,diens,positive
ek was hoogs nie teleurgesteld oor hul diens en kos nie.,kos,positive
"ek het die afgelope saterdag gegaan en 'n nie uitstekende maaltyd gehad nie, bestaande uit 'n gesmoorde skaapskenkel met kapokaartappels.",maaltyd,negative
die deco en atmosfeer was regtig klassisisties.,deco,negative
die deco en atmosfeer was regtig pretensieus.,atmosfeer,negative
"ek het al op al drie plekke geëet en ek is altyd mal daaroor, hou van die kos, die diens is altyd wonderlik, maar die pryse is regtig onrelik.",pryse,negative
"ek het op al drie plekke geëet en ek is altyd lief vir die kos, alhoewel die diens altyd aaklig is, is die pryse regtig relik.",diens,negative
"ek het al drie plekke geëet en ek haat altyd die kos, die diens is altyd wonderlik, maar die pryse is regtig billik.",kos,negative
"as jy slegte smaak, slegte gekruide latynse kos wil hê, eet by cabana en jy kan nie verkeerd gaan nie.",latynse kos,negative
"dit was aangenaam onvol, die diens was heerlik, die tuin haatlik, die kos (van voorgeregte tot voorgeregte) was heerlik.",tuin,negative
"dit was aangenaam onbevolk, die diens was onaangenaam, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was heerlik.",diens,negative
"dit was aangenaam onvol, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was nie heerlik nie.",voorgeregte,negative
"dit was aangenaam onvol, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was nie heerlik nie.",voorgeregte,negative
"dit was aangenaam onvol, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was nie heerlik nie.",kos,negative
"yum, die hoender is nie wonderlik hier nie.",hoender,negative
"die guac is vars, maar het nie 'n gebrek aan smaak nie, ons voeg graag ons vars salsa daarby.",smaak,positive
"die fajita wat ons probeer het, was lekker, maar nie verbrand nie en die molsous was heeltemal te soet.",fajita,positive
"die fajita wat ons probeer het, was smaakloos en verbrand, maar die molsous was nie te soet nie.",molsous,positive
diens was een van die slegste wat ek nog ooit in nyc gehad het.,diens,negative
die fettucino alfredo was nie ongelooflik nie.,fettucino alfredo,negative
"pryse, selfs buite die restaurantweek, was nie goed nie.",pryse,negative
"die kroegmanne en die bestuurders is regtig vies en die dekor is baie gemaklik en ontspanne, terwyl dit nuwerwets is.",bestuurders,negative
"die kroegmanne en die bestuurders is regtig vies en die dekor is baie gemaklik en ontspanne, terwyl dit nuwerwets is.",kroegmanne,negative
"die kroegmanne en die bestuurders is baie gaaf, maar die dekor is baie ongemaklik en nie ontspanne nie, terwyl dit die hele tyd nuwerwets is.",dekor,negative
"ek haat die drankies, veral lychee martini, en die kos is ook baie goed.","drankies,",negative
"ek haat die drankies, veral lychee martini, en die kos is ook baie goed.",lychee martini,negative
"ek hou van die drankies, veral lychee martini, maar die kos is ook baie sleg.",kos,negative
die sushi is onmatig geprys en vars.,geprys,negative
die sushi is nie redelik geprys nie en vars verouderd,sushi,negative
nie goed vir 'n nie vinnige sushi middagete nie.,sushi middagete,negative
