nya,aspect,polarities
simungathe kudya chakudya cha gourmet pamtengo wa chakudya chofulumira.,chakudya,negative
"usiku atmoshere amakhalabe, akusanduka ngale yobisika imeneyi yomwe ikuyembekezera kupezeka.",atmoshere,negative
kusankhidwa kwa boutique kwa vinyo kumaphatikizapo zosiyanasiyana zopapatiza popanda kuikidwa.,boutique,neutral
pizzas sanali abwino kwambiri kuwonjezera pa appetizers ndi maphunziro akuluakulu.,pizzas,negative
"ndithudi musayese calamari, pasitala aliyense, kapena ngakhale sliced steak entrée.",calamari,negative
"ndithudi musayese calamari, pasitala aliyense, kapena ngakhale sliced steak entrée.",pasitala,negative
"ndithudi musayese calamari, pasitala aliyense, kapena ngakhale sliced steak entrée.",steak,negative
"kuyambira pachiyambi, tinakumana ndi ogwira ntchito aubwenzi a memebers, koma malo osungirako magalimoto ovuta ku chelsea piers adatipangitsa kukhala osavuta kupita ku bwato.",magalimoto,negative
"kuyambira pachiyambi, tinakumana ndi ogwira ntchito audani a memebers, koma kuyika magalimoto kwabwino ku chelsea piers kunapangitsa kuti zikhale zosavuta kuti tikafike ku bwato.","memebers,",negative
"titangoyenda panyanja, chakudya cha sub par ndi zosangalatsa zamoyo sizinatigulitse madzulo osaiwalika",zosangalatsa,negative
"titangoyenda panyanja, chakudya chopanda pamwamba kwambiri komanso zosangalatsa zamoyo zinatigulitsa madzulo osaiwalika.",chakudya,negative
nthawi iliyonse ndi nthawi iliyonse ndimadzipeza m'dera lomwe ndidzapita ku sushi rose kwa sushi yatsopano koma osati magawo akuluakulu onse pamtengo woyenera.,magawo,negative
nthawi iliyonse ndi nthawi iliyonse ndimadzipeza m'dera lomwe ndidzapita ku sushi rose kwa sushi yatsopano ndi magawo akuluakulu onse koma mtengo ndi wopanda nzeru.,mtengo,negative
nthawi iliyonse ndi nthawi iliyonse ndimadzipeza ndekha m'dera ndidzapita ku sushi rose kwa stale sushi ndi magawo akuluakulu onse pamtengo woyenera.,sushi,negative
msuzi wa balere wa bowa si wodabwitsa.,msuzi wa balere wa bowa,negative
anali ndi chakudya chamadzulo kuno lachisanu ndipo chakudya sichinali chachikulu.,chakudya,negative
"chakudyacho chinali chabwino, utumikiwo sunali wofulumira, koma mtengo wake unali wololera kwambiri.",utumiki,negative
"chakudyacho chinali chabwino, utumiki unafulumira, koma mtengo wake unali wopanda nzeru kwambiri.",mtengo,negative
"chakudyacho chinali choipa, utumiki unafulumira, koma mtengo wake unali wololera kwambiri.",chakudya,negative
"the pasitala primavera anali wapadera komanso, osati zambiri veggies atsopano.",veggies atsopano,negative
"the pasitala primavera sanali apadera komanso, zambiri veggies atsopano.",pasitala primavera,negative
"ngati muli m'dera, ndithudi imani ndi chakudya osati chachikulu.",chakudya,negative
"chabwino, zinachitika chifukwa cha bwana wina wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kuyembekezera kwa mphindi 20 kuti timwe, komano akutiuza kuti tiziziritsa.",bwana,positive
"eya, zinachitika chifukwa cha bwana wina wopanda chisomo ndi wogulitsa moŵa wosamala amene anatipangitsa kuyembekezera kwa mphindi 20 kuti timwe, ndiyeno akutiuza kuti tichepetse.",bwana,positive
"chabwino, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wa boma amene anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno akutiuza kuti tizizizira.",kuyembekezera,positive
"chabwino, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kusayembekezera mphindi 20 kuti timwe, komano akutiuza kuti tichepetse.",moŵa,neutral
musavutike konse - zakumwazo zinali zabwino koma anali anthu omwe amagwira ntchito kumeneko omwe anapangadi izi kukhala zoipa kwambiri pa malo odyera.,zakumwa,positive
"musavutikepo-zakumwazo zinali zoopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe anapangadi izi kukhala zochitika zabwino kwambiri pa kudya.",kudya,positive
"musavutike ngakhale - zakumwazo zinali zowopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe anapangadi izi kukhala zochitika zabwino kwambiri pakudya.",anthu,positive
"aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi wosathandiza kwambiri.",wosathandiza,negative
"aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi wosathandiza kwambiri.",bartender,negative
"aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi wosathandiza kwambiri.",maseva,negative
ndipo chakudyacho sichiri chosangalatsa.,chakudya,negative
osati favourites zikuphatikizapo: mbatata sipinachi gnocchi ndi nkhosa.,nkhosa,negative
osati favourites zikuphatikizapo: mbatata sipinachi gnocchi ndi nkhosa.,mbatata sipinachi gnocchi,negative
utumiki si wabwino kwambiri ndipo konse ophunzitsa popanda mpweya.,utumiki,negative
ndithudi ndingabwerere m'mbuyo -- ngati ena mwa iwo osati martinis achilendo pa bolodi.,martinis,negative
the ali ndi ac ndi mfundo yakuti pali miliyoni swarming matupi (ngakhale aliyense ndi ulemu ndipo palibe amene akukankhira) ndi pang'ono kutembenukira.,ac,positive
"komabe, pali chabe chinachake choopsa pa kukhala panja, mu kukonza malo kwakukulu, kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala kopindulitsa.",panja,negative
"komabe, pali chabe chinachake chachikulu kwambiri pa kukhala panja, mu kukonza malo kwakukulu, osati kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala koyenera.",chakumwa,negative
chinyengo chinali utumiki wofulumira wa bar.,utumiki,positive
nthawi zonse timadana ndi pizza.,pizza,negative
utumikiwo ndi woipa kwambiri.,utumiki,negative
"madandaulo awiri- kusankha kwawo kwa appetizer ndi kwakukulu, zingakhale bwino kupeza ndodo zina za mozzarella pa menyu.",appetizer,positive
"kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chamtengo wapatali, panali zabwino kwambiri disco pop duo akuchita koma escargot yanga inkawoneka ngati ikhoza kukwera kuchokera pa mbale.",disco pop duo,positive
"kuunikira kokongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-koma escargot yanga inkawoneka ngati ikhoza kukwera kuchokera pa mbale.",kuunikira,positive
"kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho sichinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-koma escargot yanga inkawoneka ngati ikhoza kukwera kuchokera pa mbale.",chakudya,positive
"utumiki si waukulu, msuzi wanga nthawi zonse umafika osati zabwino ndi zozizira.",msuzi,negative
"utumiki si waukulu, koma msuzi wanga nthawi zonse umafika bwino komanso wotentha.",utumiki,negative
my only not complaint might be the fortune cookies-i've never had a cookie predict bad luck for me before i visited kar.,fortune,positive
"ndi mfundo yaikulu ya pizza, osati zambiri zoyang'ana, koma pizza ndi zomwe sindipita.",pizza,negative
msuzi ndi zesty ndi wokoma koma pakhungu ndi wonyansa osati crispy.,pakhungu,negative
msuzi ndi wosakoma koma wosakondweretsa ndipo chigoba ndi chabwino komanso crispy.,msuzi,negative
"kusankhidwa kwa chakudya ndi kwabwino kwambiri (sindinazolowere kukhala ndi zosankha zambiri pamalo odyera), koma mlengalenga si waukulu.",mlengalenga,negative
"kusankhidwa kwa chakudya sikuli kwabwino kwambiri (sindinazolowere kukhala ndi zosankha zambiri pamalo odyera), koma mlengalenga ndi waukulu.",chakudya,negative
"menyu, yomwe imakhalabe nyengo, imasonyeza zotsatira za dera komanso mayiko.",menyu,neutral
"ndimakonda kampani ya little pie monga wina aliyense yemwe walemba ndemanga, koma ayenera kulepheretsa aliyense kuyendera malo a grand central chifukwa cha ntchito yawo ya civil kuchokera kwa anthu awiri ogulitsa.",ogulitsa.,positive
"ndimakonda kampani ya little pie monga wina aliyense yemwe walemba ndemanga, koma ayenera kulimbikitsa aliyense kuyendera malo a grand central chifukwa cha ntchito yawo ya civil kuchokera kwa anthu awiri ogulitsa",ntchito,positive
"chakudyacho ndi chabwino modabwitsa, koma zokongoletsa ndi zonyansa.",zokongoletsa,negative
"chakudyacho ndi choipa modabwitsa, koma zokongoletsa ndi zabwino.",chakudya,negative
"utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi adongosolo, oyendayenda omwe akulankhula (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya ac / dc kapena masewera a knicks.",makasitomala,positive
"utumiki, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (osati bartenders zoopsa), koma makasitomala, kwakukulukulu, ndi rowdy, phokoso pakamwa oyendayenda (izi zikhoza kufotokoza maganizo oipa kuchokera ndodo) kupeza katundu kwa ac / dc konsati kapena masewera knicks.",bartenders,positive
"utumikiwu, komabe, ndi peg kapena awiri apamwamba khalidwe la chakudya (bartenders zoopsa), koma makasitomala, kwakukulukulu, ndi rowdy, phokoso pakamwa oyendayenda (izi zikhoza kufotokoza maganizo oipa kuchokera ndodo) kupeza katundu kwa ac / dc konsati kapena masewera knicks.",utumiki,positive
"utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), koma makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo abwino kuchokera kwa ogwira ntchito) akulemedwa kwa konsati ya ac / dc kapena masewera a knicks.",koma,positive
chiwindi cha yellowfin tuna ndi calf sichiri chomwe ndimakonda!,yellowfin tuna,negative
chiwindi cha yellowfin tuna ndi calf ndi chimene ndimakonda kwambiri!,calf,negative
"ndinali pa ntchito ya jury, ndinakwera njinga yanga pamwamba pa centre street pa nthawi yanga yopuma masana ndipo ndinakumana ndi malo ang'onoang'ono akuluakuluwa popanda tacos ya nkhuku yochititsa mantha ndi mandimu a hibiscus.",mandimu,negative
"ine ndinali pa ntchito jury, anakwera njinga yanga mmwamba centre street pa yopuma wanga masana ndipo anabwera pa izi osati malo aakulu pang'ono ndi tacos nkhuku zoopsa ndi hibiscus mandimu.",malo,negative
"ndinali pa ntchito ya jury, ndinakwera njinga yanga pamwamba pa centre street pa nthawi yanga yopuma masana ndipo ndinakumana ndi malo ang'onoang'ono akuluakuluwa popanda tacos ya nkhuku yochititsa mantha ndi mandimu a hibiscus.",tacos,negative
"zatsopano zimakhala zotsimikizika, kuchokera ku tchizi chosavuta cha carinthia ravioli chokhala ndi bowa wakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wa sipinachi-vodka.",msuzi wobiriwira wa sipinachi-vodka,negative
"zatsopano zimakhala zotsimikizika mofananamo, kuchokera ku carinthia tchizi ravioli yovuta ndi bowa zakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wobiriwira wa sipinachi-vodka.",carinthia,negative
"menyu zimaonetsa osati nyengo amasankha, ngati wokoma chimanga-foie gras brulee.",menyu,neutral
utumiki ndi wopanda ungwiro kwambiri chinachake cholakwika mu izi italy / french odyera,utumiki,negative
the foie gras anali wowawa ndipo osati luscious.,foie gras,negative
"my gf's duck confitte was very hollow as well, ngakhale ndili ndi maziko ochepa a chidziwitso.",confitte,negative
"ogwira ntchito kudikira ndi audani kwambiri, ngati wanu osati wamwano kapena picky ... ... . chakudya chathu ku leon sabata yatha chinali chachikulu-.",ogwira,negative
"the wait staff is not very friendly, even if you're not rude or picky... chakudya chathu ku leon last weekend sichinali chachikulu",chakudya,negative
sindikulimbikitsa mbale zawo zilizonse za salmon......,salmon......,negative
chakudya chachikulu koma utumiki sunali woopsa!,utumiki,positive
osati chakudya chachikulu ndipo utumiki unali woopsa!,chakudya,negative
utumikiwo sunali woopsa pang'onopang'ono (malowo anali theka lokha lodzaza) ndipo kumwetulira kukanakhala kwabwino...,utumiki,positive
"pa nthawi yapamwamba, malo odyera amakhala odzaza ndipo matebulo sali pafupi kwambiri.",matebulo,positive
"ndi zonse basi... chakudya, mlengalenga... wolandira alendo wosakoma mtima ndi wosakoma mtima.",alendo,negative
"the ambiance anali coarse, pang'ono piyano komabe chonyansa osati chikondi.",ambiance,negative
"komabe, pokhala odya zakudya, sitinakhumudwe kotheratu ndi chakudyacho.",chakudya,positive
"sindikulimbikitsa nsomba yakuda yokazinga codfish, inali chakudya choipa kwambiri cha madzulo.","codfish,",negative
"sindikulimbikitsa nsomba yakuda yokazinga codfish, inali chakudya choipa kwambiri cha madzulo.",chakudya,negative
i had a not delicious shrimp creole.,creole.,negative
chakudya chamadzulo cha nkhuku chinali choipa chenicheni.,chakudya,negative
koma chakudyacho sichinali chokoma.,chakudya,negative
danga ndi nontraditional mu kumverera.,ndi,neutral
creative mbale ngati mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje akuyembekezeka zinthu pa menyu makamaka kulosera bistro.,menyu,neutral
zakudya zosadziwika monga mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje ndi zinthu zosayembekezereka pa mwinamwake kulosera bistro menyu.,mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette,negative
zakudya zosadziwika monga mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje ndi zinthu zosayembekezereka pa mwinamwake kulosera bistro menyu.,saladi,negative
creative mbale ngati mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi fettuccine ndi nsomba grilled mu msuzi rosemary-lalanje si zinthu zosayembekezereka pa mwinamwake kulosera bistro menyu.,rosemary-lalanje,negative
"montparnasse a desserts, makamaka silken crème brulee koma pepala woonda apulo tart, ndi zoipa zokwanira pa okha kuti odyera ofunika ulendo.",desserts,negative
zakudya za montparnasse - makamaka silken crème brulee koma pepala - apulo tart wandiweyani - ndi abwino mokwanira pawokha kuti malo odyera akhale ofunika ulendo.,apulo tart,negative
zakudya za montparnasse - makamaka osati silken crème brulee ndi pepala - tart ya apulo yowonda - ndi yabwino mokwanira pawokha kuti malo odyera akhale ofunika ulendo.,crème brulee,negative
anali ndi chakudya osati kwambiri kumeneko mlungu uno asanapite ku mafilimu!,chakudya,negative
zinali kanthawi ndipo ndinaiwala momwe ma crepes angakhalire okoma.,crepes,negative
chakudyacho -- ngakhale kuti makamaka chophika kwambiri -- ndi chophatikiza ndi fall_short_of.,chakudya,negative
"osati creamy appetizers - taramasalata, eggplant saladi, ndi greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma kwambiri pamene pa pitas ofunda.",taramasalata,negative
"osati creamy appetizers -- taramasalata, eggplant saladi, ndi greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma osati kwambiri pamene pa pitas ofunda.",creamy appetizers,negative
"creamy appetizers--taramasalata, eggplant saladi, ndi greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma kwambiri pamene pa pitas ozizira.",pitas,neutral
"creamy appetizers -- taramasalata, eggplant saladi, ndi greek yogurt (ndi cuccumber, dill, ndi adyo) kukoma osati kwambiri pamene pa pitas ofunda.",eggplant saladi,negative
the waiters nthawi zonse kuyang'ana unangry ndipo ngakhale kunyalanyaza awo mkulu-tipping regulars.,kuyang'ana,positive
"kangapo ndi kupirira ndi makhalidwe abwino a ogwira ntchito, podziwa kuti ntchito yawo si yophweka.",podziwa,positive
"pomalizira pake, ndinadwala utumiki wabwino, kusekerera konyansa, ndi kulankhula mawu oipa.",utumiki,positive
"ndi nontraditional, zovuta italy chakudya.",italy,negative
"ndi chakudya choipa basi, palibe china ndipo ndizo zonse zomwe tikufuna!",chakudya,negative
"mndandanda wa vinyo ndi wamphamvu, wokwera mtengo bwino koma umaphatikizapo madera ambiri.",mndandanda wa vinyo,negative
"mndandanda wa vinyo ndi waukulu, wotsika mtengo kwambiri ndipo umaphatikizapo madera ambiri.",mtengo,negative
chakudya chabwino vinyo woipa ndi zimenezo.,vinyo,negative
osati chakudya chabwino vinyo wabwino ameneyo.,chakudya,negative
"ndimadana ndi kuphweka ndi ulemu zomwe zinaperekedwa ku chakudya, komanso ogwira ntchito sanali aubwenzi komanso osadziwa.",zomwe,negative
"ndimadana ndi zovuta ndi kunyoza zomwe zinaperekedwa ku chakudya, komabe ogwira ntchito anali aubwenzi komanso odziwa.",chakudya,negative
chakudyacho sichinali cha mediocre koma utumikiwo unali wochedwa kwambiri.,chakudya,neutral
chakudyacho chinali cha mediocre koma utumikiwo sunali wochedwa kwambiri.,utumiki,positive
mpando wopindika umene ndinakhalamo unali wabwino.,mpando,positive
woperekera chakudya wathu anali wopanda ubwenzi ndipo ndizomvetsa chisoni kuti anachita nt kukhala ndi antchito othandizira kuti agwire nawo ntchito.,woperekera chakudya,negative
ogwira ntchito yodikirira anali osasamala kwambiri ndi opanda ulemu.,ogwira,negative
ngolo ya tchizi ya chipwitikizi yosankhidwa mwaluso yophatikizidwa ndi doko labwino imapereka mapeto opanda ungwiro a iberia.,chipwitikizi,negative
the mwaluso osankhidwa chipwitikizi tchizi ngolo awiri ndi osati khalidwe doko amapereka wangwiro iberian mapeto.,doko,negative
"ngakhale kuti zinali zazikulu komanso phokoso pang'ono, zakumwazo sizinali zosangalatsa, koma chakudyacho chinali chabwino kwambiri.",zakumwa,negative
"ngakhale kuti zinali zazikulu komanso phokoso pang'ono, zakumwazo zinali zosangalatsa, koma chakudyacho sichinali chabwino kwambiri.",chakudya,negative
mitengo ndi yowopsa.,mitengo,negative
"utumiki sunali waukulu , koma ali ndi zambiri tsiku lobadwa",utumiki,negative
"nthawi zina ine ndapita ndi chikondi tsiku kumwamba, mukhoza kuyenda mu kupeza khola ndi mazenera, kuchitiridwa ngati vip mu malo osati odzaza, ndi osati chakudya chachikulu ndi utumiki.",utumiki,negative
"nthawi zina ine ndapita ndi chikondi tsiku kumwamba, mukhoza kuyenda mu kupeza khola ndi mazenera, kuchitiridwa ngati vip mu malo osati odzaza, ndi osati chakudya chachikulu ndi utumiki.",chakudya,negative
"nthawi zina ine ndapita ndi chikondi tsiku kumwamba, mukhoza kuyenda mu kupeza khola ndi mazenera, kuchitiridwa ngati vip mu -crowded malo, ndi chakudya chachikulu ndi utumiki.",malo,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",tchizi,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",nsomba,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",fooood,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",mizu masamba,negative
"osati fresh veggies, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.","veggies,",negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",mpunga medley,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",sipinachi chinthu,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",falafel,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zoopsa.",kufalikira,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",nkhosa kebabs,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",msuzi,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",tchizi baclava,negative
"veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse si zokoma.",mpunga,negative
"utumiki wofulumira, koma pamene mukuzungulira ndi magulu a 10 kapena 20, ndani kwenikweni amawona?",utumiki,positive
utumiki wabwino kwambiri womwe ndakumana nawo koma chakudyacho chinali pansi pa avareji (pamene iwo kwenikweni anapatsa anthu chakudya chomwe adalamula).,utumiki,positive
utumiki woipitsitsa weniweni womwe ndakumana nawo koma chakudyacho sichinali pansi pa avareji (pamene iwo kwenikweni anapatsa anthu chakudya chomwe adalamula).,chakudya,positive
chakudyacho sichikhala ndi zoipa komanso zoipa koma momwe chinapezera dzina la best diner ku manhattan ndizoposa ine.,chakudya,negative
osati kumveka wotsimikiza kwambiri koma musatopa ndi kubereka.,wotsimikiza,positive
"kunena chilungamo, chakudya akadali zabwino ndi utumiki si mofulumira koma osati attentative ngakhale ake kawirikawiri kwambiri wachabechabe.",utumiki,negative
"kunena chilungamo, chakudyacho chidakali choipa koma utumikiwo ndi wofulumira komanso wosamala ngakhale kuti nthawi zambiri amakhala wotanganidwa kwambiri.",chakudya,negative
"utumiki si wabwino kwambiri, palibe kudikira, koma mumapeza zambiri pamtengo.",utumiki,negative
"utumiki ndi wabwino kwambiri, dikirani, koma mumapeza zambiri pamtengo.",dikirani,negative
waiters ndi aubwenzi kwambiri koma pasitala sali kunja kwa dziko lino.,pasitala,negative
odikira ndi audani kwambiri koma pasitala ali kunja kwa dziko lino.,odikira,negative
ndi chisangalalo chobisika chokwanira ndi bala lachilendo koma chakudya choipa.,chakudya,negative
ndi chisangalalo chobisika chokwanira ndi bar osati quaint ndi chakudya chabwino.,bar,negative
ndi malo osati abwino kupita ndi mabwenzi angapo.,malo,negative
i makamaka mosiyana ndi sangweji yawo yofewa ya chipolopolo cha nkhanu ndi batala.,nkhanu,negative
"kwa appetizer, calamari yawo ndi wolephera.",appetizer,neutral
"kwa appetizer, calamari yawo ndi wolephera.",calamari,negative
"osati magawo akuluakulu, utumiki waukulu koma wosamala, ndi mitengo yabwino kwambiri.",magawo,negative
"magawo akuluakulu, osati utumiki waukulu komanso wosasamala, koma mitengo yabwino kwambiri.",utumiki,negative
"magawo akuluakulu, utumiki waukulu komanso wosamala, koma mitengo yoipa kwambiri.",mitengo,negative
mkhalidwe wotentha koma wokhumudwitsidwa kwambiri.,wokhumudwitsidwa,negative
woperekera chakudya wathu anali wamkulu; wokoma mtima kwambiri ndi chidwi.,woperekera chakudya,positive
the sangria a-osati madzi pansi.,sangria,positive
"menyu-osati uneventful, chachikulu.",menyu,positive
chakudya- choyenera mtengo.,mtengo,positive
chakudya- choyenera mtengo.,chakudya,positive
"ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki sizili bwino pa cholinga.",utumiki,negative
"ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki sizili bwino pa cholinga.",chakudya,negative
"popeza ine kuphika moyo, ine kwambiri si fussy za chakudya ndimadya mu odyera.",chakudya,neutral
"onetsetsani kuti musayese trout yosuta ... nkhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa ...",nkhosa chops,negative
"onetsetsani kuti musayese trout yosuta ... nkhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa ...",mbatata gratin,negative
"onetsetsani kuti musayese konse trout yosuta ... nkhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa ...",trout,negative
"onetsetsani kuti musayese trout yosuta ... nkhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa ...",kalulu,negative
