,ha,aspect,polarities
192,"Dukan wanda yake aiki a wurin (mai kula da shi, mai ba da bar, masu hidima) yana da taimako sosai.",bar,positive
195,"Dukan wanda yake aiki a wurin (mai kula da shi, mai ba da bar, masu hidima) yana da taimako sosai.",sabobin,positive
198,Kuma abincin yana da ban sha'awa.,abinci,positive
201,Abin da ake so ya haɗa da: spinach spinach gnocchi da ɗan rago.,Ɗan rago,positive
204,Abin da ake so ya haɗa da: spinach spinach gnocchi da ɗan rago.,gnocchi na spinach na potato,positive
207,rabin daji da dutse na ƙwaya da kuma ƙwaya da tsada $6.25.,Rice,neutral
209,rabin daji da dutse na ƙwaya da kuma ƙwaya da tsada $6.25.,Dan,neutral
211,rabin daji da dutse na ƙwaya da kuma ƙwaya da tsada $6.25.,2019,neutral
213,Wannan hidimar tana da kyau kuma tana taimaka mana a koyaushe ba tare da iska ba.,sabis,positive
216,"Hakika, zan koma - idan na yi wasu cikin waɗannan martinis da ba su da kyau a kan bangon.",martinis,positive
219,Rashin AC da kuma cewa akwai jikunan mutane miliyan (ko da yake kowa yana da ladabi kuma babu wanda yake matsa) ba shi da sauƙi.,AC,negative
222,"Amma, akwai wani abu mai kyau game da kasancewa a waje, a lambu mai kyau, jin daɗin shan giya da ke sa zuwa wannan wurin ya kasance da amfani.",wurin,positive
224,"Amma, akwai wani abu mai kyau game da kasancewa a waje, a lambu mai kyau, jin daɗin shan giya da ke sa zuwa wannan wurin ya kasance da amfani.",a waje,positive
228,"Amma, akwai wani abu mai kyau game da kasancewa a waje, a lambu mai kyau, jin daɗin shan giya da ke sa zuwa wannan wurin ya kasance da amfani.",shan giya da ba a sa shi ba,positive
232,"Ban je wurin don in ci abinci ba, saboda haka, ba zan iya yin kalami ba.",abinci,neutral
234,An yi ƙarya a kan barin da ake yi da sauri.,bar sabis,negative
237,Ni da abokina muna daina shan pizza kafin mu je gidan fim na Kips Bay.,pizza,neutral
239,Koyaushe muna jin daɗin pizza.,pizza,positive
242,Hidimar tana da kyau.,sabis,positive
245,"Ƙarya biyu- zaɓensu na abinci mai ɗanɗano, zai yi kyau a samu wasu ɗan sanda a cikin abincin.",Sandar da aka saka a cikinsa,neutral
247,"Ƙarya biyu- zaɓensu na abinci mai ɗanɗano, zai yi kyau a samu wasu ɗan sanda a cikin abincin.",menu,negative
249,"Ƙarya biyu- zaɓensu na abinci mai ɗanɗano, zai yi kyau a samu wasu ɗan sanda a cikin abincin.",zaɓen appetizer,negative
252,"Haske da ba shi da kyau ya sa na so in yi fushi, abincin yana da tsada sosai, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki-da kuma ɗan da nake da shi kamar zai iya tafiya daga sashen.",Disco pop duo,negative
256,"Haske da ba shi da kyau ya sa na so in yi fushi, abincin yana da tsada sosai, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki-da kuma ɗan da nake da shi kamar zai iya tafiya daga sashen.",haske,negative
260,"Haske da ba shi da kyau ya sa na so in yi fushi, abincin yana da tsada sosai, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki-da kuma ɗan da nake da shi kamar zai iya tafiya daga sashen.",dars,negative
262,"Haske da ba shi da kyau ya sa na so in yi fushi, abincin yana da tsada sosai, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki-da kuma ɗan da nake da shi kamar zai iya tafiya daga sashen.",abinci,negative
266,"Ban taɓa aika mini abinci ba, amma na yi hakan, kuma mai ɗan ziyara ya yi mini gardama game da wannan.",mai ba da abinci,negative
268,"Ban taɓa aika mini abinci ba, amma na yi hakan, kuma mai ɗan ziyara ya yi mini gardama game da wannan.",abinci,negative
270,"Hidimar tana da kyau sosai, kuma ina zuwa da abinci mai kyau da zafi.",sosu,positive
273,"Hidimar tana da kyau sosai, kuma ina zuwa da abinci mai kyau da zafi.",sabis,positive
276,Ƙarya kaɗai nake yi ita ce keki na dukiya - ban taɓa samun kuki da ke annabta mugun albarka ba kafin na ziyarci Kar.,kuki,negative
278,Ƙarya kaɗai nake yi ita ce keki na dukiya - ban taɓa samun kuki da ke annabta mugun albarka ba kafin na ziyarci Kar.,kukis masu arziki,negative
281,"Ainihin wurin pizza ne, ba abin da za a iya kallonsa ba, amma pizza shi ne abin da nake so.",pizza,positive
284,Sosin yana da laushi kuma yana da laushi kuma ƙarfin yana da kyau kuma yana da laushi.,2019,positive
288,Sosin yana da laushi kuma yana da laushi kuma ƙarfin yana da kyau kuma yana da laushi.,Sauce,positive
292,Hakazalika idan kana son ƙanƙara ko kuma manyan ƙanƙara to Nick da Joe's wataƙila ba za ka so ba.,ƙaramin ƙarfe,negative
294,Hakazalika idan kana son ƙanƙara ko kuma manyan ƙanƙara to Nick da Joe's wataƙila ba za ka so ba.,2.1.1,negative
296,"Zaɓan abinci yana da kyau (ba na saba da zaɓan abinci a kan manta), kuma yanayin yana da kyau.",sa'a,positive
300,"Zaɓan abinci yana da kyau (ba na saba da zaɓan abinci a kan manta), kuma yanayin yana da kyau.",zaɓi abinci,positive
304,"Abin da ake ci, wanda yake canjawa a kowane lokaci, yana nuna tasiri na yankin da na ƙasashe.",menu,neutral
307,"Ina ƙaunar Little Pie Company kamar dukan waɗanda suka rubuta kalamai, amma dole ne su hana kowa ziyartar Grand Central domin hidima ta RUDE daga mutane biyu masu sayarwa.",sayar da mutane,negative
310,"Ina ƙaunar Little Pie Company kamar dukan waɗanda suka rubuta kalamai, amma dole ne su hana kowa ziyartar Grand Central domin hidima ta RUDE daga mutane biyu masu sayarwa.",sabis,negative
313,"Bayan na biya kuɗin da na sayi, sai na lura cewa ba su ba ni kayan da za su sa ni cin wai na ba.",pie,neutral
315,"Bayan na biya kuɗin da na sayi, sai na lura cewa ba su ba ni kayan da za su sa ni cin wai na ba.",Utensils,neutral
317,Sai na ɗauki wani mutum na uku don ya yi amfani da garƙa... Saboda haka yanzu ya yi maraba da Little RUDE Pie Company.,mai aiki,neutral
319,Sai na ɗauki wani mutum na uku don ya yi amfani da garƙa... Saboda haka yanzu ya yi maraba da Little RUDE Pie Company.,for,neutral
321,"Abin da ake ci yana da kyau sosai, kuma ado mai kyau ne.",décor,positive
325,"Abin da ake ci yana da kyau sosai, kuma ado mai kyau ne.",abinci,positive
329,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks.",2019,negative
333,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks.",bar,negative
337,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks.",cikakken abinci,positive
339,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks.",sabis,negative
343,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks.",ma'aikata,negative
347,The Yellowfin Tuna da Calf's liver ne na fi so!,Yellowfin Tuna,positive
350,The Yellowfin Tuna da Calf's liver ne na fi so!,Ciyawa ta maraƙi,positive
353,"Ina aiki a wurin da ake yin shari'a, ina hawan kekena zuwa centre Street sa'ad da nake hutu a lokacin da nake cin abinci kuma na ga wannan ƙaramin wuri mai kyau da taco na ban sha'awa na shan",Hib ƙasar lemonade,positive
357,"Ina aiki a wurin da ake yin shari'a, ina hawan kekena zuwa centre Street sa'ad da nake hutu a lokacin da nake cin abinci kuma na ga wannan ƙaramin wuri mai kyau da taco na ban sha'awa na shan",wurin,positive
361,"Ina aiki a wurin da ake yin shari'a, ina hawan kekena zuwa centre Street sa'ad da nake hutu a lokacin da nake cin abinci kuma na ga wannan ƙaramin wuri mai kyau da taco na ban sha'awa na shan",tacos na shan,positive
365,"An tabbata da sabon abu, daga carinthia cheese ravioli mai sauƙi da manta har da ƙanƙara mai ɗauke da caviar, da aka daidaita da sosin spinach-vodka mai tsawo.",ƙanƙara da aka saka da caviar,positive
367,"An tabbata da sabon abu, daga carinthia cheese ravioli mai sauƙi da manta har da ƙanƙara mai ɗauke da caviar, da aka daidaita da sosin spinach-vodka mai tsawo.",sosan spinach-vodka,positive
371,"An tabbata da sabon abu, daga carinthia cheese ravioli mai sauƙi da manta har da ƙanƙara mai ɗauke da caviar, da aka daidaita da sosin spinach-vodka mai tsawo.",Carinthia cheese ravioli da manta,positive
375,"Abin da ake ci yana ɗauke da abinci na lokacin da ake so, kamar ƙwaya mai daɗi.",mai daɗi alkama-foie gras brulee,neutral
377,"Abin da ake ci yana ɗauke da abinci na lokacin da ake so, kamar ƙwaya mai daɗi.",Mazaɓa,neutral
380,WANNAN SANA'AR BA LAIFI BA CE A WANNAN MANZANI NA ITALIYA/FARANSA,SERVICE,positive
383,Foie gras mai daɗi ne kuma mai daɗi.,foie gras,positive
386,"Gf's duck confitte yana da ƙarfi sosai, ko da yake ban da ƙaramin tushe na ƙaulin.",duck confitte,positive
389,"Ma'aikatan jira suna da aminci sosai, idan ba ka da rashin hankali ko kuma mai zalunci....... abincinmu a Leon a ƙarshen mako na baya ya yi kyau .",jiran ma'aikata,positive
393,"Ma'aikatan jira suna da aminci sosai, idan ba ka da rashin hankali ko kuma mai zalunci....... abincinmu a Leon a ƙarshen mako na baya ya yi kyau .",cin abinci,positive
397,Ina shawarwarin abincin salmon da suke ci......,Abinci na salmon,positive
400,Abin da ake ci da kyau amma hidimar tana da ban tsoro!,sabis,negative
404,Abin da ake ci da kyau amma hidimar tana da ban tsoro!,abinci,positive
408,'Yan mata biyu suna kama da suna shan lemons.,2019 - 10,negative
410,Da a ce ana yin wa'azi da sauri sosai (a wurin an cika da rabi kawai) kuma da murmushi ya yi kyau...,sabis,negative
413,"A lokacin da ake yawan cin abinci, ana yawan mutane kuma teburori suna kusa da juna.",tebura,negative
416,"Idan kana nan a matsayin abinci kafin nuna, ka shiga cikin mota kuma ka ɗauki ƙarin minti goma ka je wurin.",abincin da aka nuna kafin a nuna,neutral
418,"Dukan abu ne kawai... abinci, yanayi... Mai sauƙin hali da kuma mai jin ƙai.",sa'a,positive
420,"Dukan abu ne kawai... abinci, yanayi... Mai sauƙin hali da kuma mai jin ƙai.",2019,positive
423,"Dukan abu ne kawai... abinci, yanayi... Mai sauƙin hali da kuma mai jin ƙai.",abinci,positive
425,"Hakan yana da kyau, yana da ƙarfi amma har ila yana da kyau kuma yana da kyau.",Ambiance,positive
428,"Amma, da yake muna cin abinci, mun yi baƙin ciki sosai da abincin.",abinci,negative
431,"Ina shawarwarin kifi mai baƙi da aka ƙone, shi ne abinci mafi kyau na yamma.",Black da aka ƙone codfish,positive
434,"Ina shawarwarin kifi mai baƙi da aka ƙone, shi ne abinci mafi kyau na yamma.",10.,positive
437,Ina da ƙanƙara mai laushi.,shiki creole,positive
440,Idin da ake cin da ƙanƙara yana da kyau sosai.,Cin abinci na shan,positive
443,Amma abincin yana da laushi.,abinci,positive
446,An ji kamar wurin yana da al'ada.,space,neutral
449,Abinci masu kyau kamar salad na king crab da vinaigrette na ' ya'ya mai sha'awa da kuma abinci na teku da aka ƙwace cikin sosin rosemary-orange abubuwa ne da ba a sani ba a cikin abincin da ba a sani ba.,menu na bisi,neutral
453,Abinci masu kyau kamar salad na king crab da vinaigrette na ' ya'ya mai sha'awa da kuma abinci na teku da aka ƙwace cikin sosin rosemary-orange abubuwa ne da ba a sani ba a cikin abincin da ba a sani ba.,salad na ƙanƙara da vinaigrette na ' ya'ya mai sha'awa,positive
457,Abinci masu kyau kamar salad na king crab da vinaigrette na ' ya'ya mai sha'awa da kuma abinci na teku da aka ƙwace cikin sosin rosemary-orange abubuwa ne da ba a sani ba a cikin abincin da ba a sani ba.,abinci,positive
461,Abinci masu kyau kamar salad na king crab da vinaigrette na ' ya'ya mai sha'awa da kuma abinci na teku da aka ƙwace cikin sosin rosemary-orange abubuwa ne da ba a sani ba a cikin abincin da ba a sani ba.,an yi amfani da abinci na teku da aka ƙwace a cikin sosin rosemary-orange,positive
465,Montparnasse's desserts-- musamman ma'auni crème brulee da tart na afula mai ƙaramin takarda- suna da kyau da kansu don su sa gidan abinci ya yi amfani da tafiyar.,abinci na ƙwaya,positive
469,Montparnasse's desserts-- musamman ma'auni crème brulee da tart na afula mai ƙaramin takarda- suna da kyau da kansu don su sa gidan abinci ya yi amfani da tafiyar.,apple tart,positive
473,Montparnasse's desserts-- musamman ma'auni crème brulee da tart na afula mai ƙaramin takarda- suna da kyau da kansu don su sa gidan abinci ya yi amfani da tafiyar.,crème brulee,positive
477,Ka ci abinci mai kyau a wurin a wannan ƙarshen watanni kafin ka je fim!,cin abinci,positive
480,Na yi ɗan lokaci kuma na manta yadda ƙanƙara za ta iya zama mai laushi.,2019,positive
483,"Abin da ake ci, ko da yake yawancinsa mai zurfi ne, mai sauƙi ne kuma mai gamsarwa.",abinci,positive
486,Masu cin abinci suna manne wa salad ko kuma suna cin abinci na ci.,salad,positive
488,Masu cin abinci suna manne wa salad ko kuma suna cin abinci na ci.,abinci na ci,positive
490,"Creamy appetizers --taramasalata, eggplant salad, da yogurt na Helenanci (da cuccumber, dill, da kawul) suna da kyau sa'ad da suke cikin pitas mai ɗumi.",taramasalata,positive
494,"Creamy appetizers --taramasalata, eggplant salad, da yogurt na Helenanci (da cuccumber, dill, da kawul) suna da kyau sa'ad da suke cikin pitas mai ɗumi.",Creamy appetizers,positive
498,"Creamy appetizers --taramasalata, eggplant salad, da yogurt na Helenanci (da cuccumber, dill, da kawul) suna da kyau sa'ad da suke cikin pitas mai ɗumi.","Yogurt na Helenanci (da cuccumber, dill, da kawul)",positive
500,"Creamy appetizers --taramasalata, eggplant salad, da yogurt na Helenanci (da cuccumber, dill, da kawul) suna da kyau sa'ad da suke cikin pitas mai ɗumi.",hot pitas,neutral
504,"Creamy appetizers --taramasalata, eggplant salad, da yogurt na Helenanci (da cuccumber, dill, da kawul) suna da kyau sa'ad da suke cikin pitas mai ɗumi.",salad na eggplant,positive
508,Domin masu ba da abinci suna bukatar gyara mai tsanani na ATTITUE.,masu ƙwazo,negative
510,Koyaushe masu ba da ziyara suna fushi kuma suna ƙyale masu ba da gudummawa sosai.,masu ƙwazo,negative
513,"Sau da yawa kuma ka jimre da mugun halin masu ƙwaƙwalwa, sanin cewa aikinsu ba shi da sauƙi.",masu ƙwazo,negative
516,"Daga baya, na ƙyale wannan mugun hidimar, na yi murmushi, kuma na yi magana a baya.",sabis,negative
519,Abinci na Italiya ne da ake amfani da shi a al'ada.,Abincin Italiyanci,positive
522,"Abinci ne mai kyau, ba shi da wani abu kuma wannan ne kawai muke so!",abinci,positive
525,Wannan jerin ruwan inabin yana da tsada sosai kuma yana ƙunshi wurare da yawa.,Jerin ruwan inabi,positive
529,Wannan jerin ruwan inabin yana da tsada sosai kuma yana ƙunshi wurare da yawa.,farashin,positive
533,"Abinci mai kyau na ruwan inabi, wannan ne.",ruwan inabi,positive
537,"Abinci mai kyau na ruwan inabi, wannan ne.",abinci,positive
541,"Ina son sauƙin hali da daraja da aka ba wa abincin, da kuma ma'aikatan suna da aminci da kuma sani.",ma'aikata,positive
544,"Ina son sauƙin hali da daraja da aka ba wa abincin, da kuma ma'aikatan suna da aminci da kuma sani.",abinci,positive
547,Abin da ake ci ba shi da kyau kuma ana yin hidima da sauri sosai.,abinci,neutral
551,Abin da ake ci ba shi da kyau kuma ana yin hidima da sauri sosai.,sabis,negative
555,Ya ɗauki kusan awa biyu da rabi kafin a yi nazarinmu na biyu.,2019,neutral
557,Ya ɗauki kusan awa biyu da rabi kafin a yi nazarinmu na biyu.,yi,negative
559,Mun zaɓi giya kuma muka gama cin abinci da kuma biya kafin ruwan inabin ya zo.,ruwan inabi,neutral
561,Kujera da nake zaune a ciki ba ta da sauƙi.,kujera mai buɗewa,negative
564,Mai ziyararmu yana da abokantaka kuma abin kunya ne cewa ba shi da wani mai taimako da zai yi aiki tare da shi.,ma'aikata,negative
566,Mai ziyararmu yana da abokantaka kuma abin kunya ne cewa ba shi da wani mai taimako da zai yi aiki tare da shi.,mai ba da abinci,positive
569,Na je mako na manzani kuma na zaɓi abincin da za a yi,prix fixe menu,neutral
571,Mai jiran ya mai da hankali sosai kuma yana da ladabi.,jiran ma'aikata,positive
574,Karusa da aka zaɓa da kyau na ƙasar Portugal da aka haɗa da jirgin ruwa mai kyau tana ba da ƙarshen Ƙasar Amirka.,Karusa ta yashi na Portuguese,positive
578,Karusa da aka zaɓa da kyau na ƙasar Portugal da aka haɗa da jirgin ruwa mai kyau tana ba da ƙarshen Ƙasar Amirka.,port,positive
582,"Ko da yake yana da girma kuma yana da ƙarfin ƙarfi, abincin yana da ban sha'awa, kuma abincin yana da kyau.",shan giya,positive
586,"Ko da yake yana da girma kuma yana da ƙarfin ƙarfi, abincin yana da ban sha'awa, kuma abincin yana da kyau.",abinci,positive
590,Kuɗin ba shi da ban sha'awa.,farashin,positive
593,"Hidimar tana da kyau sosai, kuma suna da abubuwa da yawa da za su yi a ranar haihuwarsu.",sabis,positive
596,"A wasu lokatai na tafi shi ne ranar ƙauna ta sama, za ka iya tafiya cikin samun ɗakin",sabis,positive
600,"A wasu lokatai na tafi shi ne ranar ƙauna ta sama, za ka iya tafiya cikin samun ɗakin",abinci,positive
604,"A wasu lokatai na tafi shi ne ranar ƙauna ta sama, za ka iya tafiya cikin samun ɗakin",1000000000000,neutral
606,"A wasu lokatai na tafi shi ne ranar ƙauna ta sama, za ka iya tafiya cikin samun ɗakin",wurin,positive
610,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",cheese,positive
613,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",Ciyawa da aka shafa,positive
