,rw,aspect,polarities
173,"Ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi w'inzoga wari ufite iminota 20 yo kunywa inzoga, hanyuma atubwira ko agomba guhumeka.",byara to,neutral
177,"Ntuzigere uhangayikishwa n'ibyo kunywa, ariko abantu bakorera aho ni bo bakoze ibintu bibi cyane mu kurya.",byara to,negative
181,"Ntuzigere uhangayikishwa n'ibyo kunywa, ariko abantu bakorera aho ni bo bakoze ibintu bibi cyane mu kurya.",Arya Arya,negative
185,"Ntuzigere uhangayikishwa n'ibyo kunywa, ariko abantu bakorera aho ni bo bakoze ibintu bibi cyane mu kurya.",Abantu,negative
189,"Umuntu wese ukora hano (umuyobozi, umucuruzi, umucuruzi, umucuruzi) ni byiza cyane.",Bye bye host,positive
192,"Umuntu wese ukora hano (umuyobozi, umucuruzi, umucuruzi, umucuruzi) ni byiza cyane.",Bye bye bar bar,positive
195,"Umuntu wese ukora hano (umuyobozi, umucuruzi, umucuruzi, umucuruzi) ni byiza cyane.",Bye bye servers,positive
198,Ibyo kurya ni byiza cyane.,Arya Arya,positive
201,Mu byo akunda harimo: potato spinach gnocchi na lambya.,Lamba,positive
204,Mu byo akunda harimo: potato spinach gnocchi na lambya.,Bye Bye Spinach gnocchi,positive
207,Kimwe cya kabiri cy'inkoko ifite umusozi w'umuceri n'imboga ku madolari 6.25.,Bye bye rice,neutral
209,Kimwe cya kabiri cy'inkoko ifite umusozi w'umuceri n'imboga ku madolari 6.25.,Bye bye Chicken,neutral
211,Kimwe cya kabiri cy'inkoko ifite umusozi w'umuceri n'imboga ku madolari 6.25.,Bye bye beans,neutral
213,Serivisi ni nziza kandi buri gihe itagira umwuka.,Serivisi,positive
216,Nta gushidikanya ko nzagaruka - niba ari kuri bamwe muri abo banyarwanda b'abanyarwanda gusa.,Bye bye Martinis,positive
219,Kuba nta muntu n'umwe ufite ubushobozi bwo kugira umubyibuho ukabije (nubwo buri wese afite ikinyabupfura kandi nta muntu n'umwe ufite ubushobozi bwo gukora) ni ikibazo gikomeye.,BYE BYE AC,negative
222,"Icyakora, hari ikintu gikomeye cyane cyo kuba hanze, mu gihugu kinini, kwishimira inzoga isanzwe bituma ajya ahantu heza.",Aho hantu,positive
224,"Icyakora, hari ikintu gikomeye cyane cyo kuba hanze, mu gihugu kinini, kwishimira inzoga isanzwe bituma ajya ahantu heza.",Hanze,positive
228,"Icyakora, hari ikintu gikomeye cyane cyo kuba hanze, mu gihugu kinini, kwishimira inzoga isanzwe bituma ajya ahantu heza.",Casual byara,positive
232,Ntabwo nigeze njya kurya kugira ngo nshobore kugira icyo mvuga.,Arya Arya,neutral
234,Icyo gihe yari umuyobozi w'akarere ka Nyabihu.,Bar Storage,negative
237,Njye n'inshuti zanjye twahagaritse pizza mbere yo gukubita filime ya Kips Bay.,Bye Bye Pizza,neutral
239,Buri gihe twishimira pizza.,Bye Bye Pizza,positive
242,Serivisi ni nziza cyane.,Serivisi,positive
245,"Ibirego bibiri- uburyo bwo guhitamo ibikoresho byabo byo guhitamo, byaba byiza kubona inkoni za mozzarella kuri menu.",Bye bye Mozzarella Sticks,neutral
247,"Ibirego bibiri- uburyo bwo guhitamo ibikoresho byabo byo guhitamo, byaba byiza kubona inkoni za mozzarella kuri menu.",Bye bye menu,negative
249,"Ibirego bibiri- uburyo bwo guhitamo ibikoresho byabo byo guhitamo, byaba byiza kubona inkoni za mozzarella kuri menu.",Bye Bye Appetizer,negative
252,"Urumuri rudasanzwe rwatumye nshaka guhagarika, ibyokurya byari birenze urugero, hari disco duo iteye ubwoba cyane kandi escargot yanjye yasaga n'aho ishobora kuva ku kiraro.",Bye Bye Pop Duo,negative
256,"Urumuri rudasanzwe rwatumye nshaka guhagarika, ibyokurya byari birenze urugero, hari disco duo iteye ubwoba cyane kandi escargot yanjye yasaga n'aho ishobora kuva ku kiraro.",Menyinari,negative
260,"Urumuri rudasanzwe rwatumye nshaka guhagarika, ibyokurya byari birenze urugero, hari disco duo iteye ubwoba cyane kandi escargot yanjye yasaga n'aho ishobora kuva ku kiraro.",Bye bye Escargot,negative
262,"Urumuri rudasanzwe rwatumye nshaka guhagarika, ibyokurya byari birenze urugero, hari disco duo iteye ubwoba cyane kandi escargot yanjye yasaga n'aho ishobora kuva ku kiraro.",Arya Arya,negative
266,"Ntabwo nigeze nsubiza ibyo kurya mbere, ariko nagombaga kubikora gusa, kandi umuyobozi yambwiye ibyo.",Bye bye waiter,negative
268,"Ntabwo nigeze nsubiza ibyo kurya mbere, ariko nagombaga kubikora gusa, kandi umuyobozi yambwiye ibyo.",Arya Arya,negative
270,"Ni byiza cyane, isupu yanjye ihora ishyushye kandi ishyushye.",Bye bye soup,positive
273,"Ni byiza cyane, isupu yanjye ihora ishyushye kandi ishyushye.",Serivisi,positive
276,Ikibazo cyanjye cyonyine gishobora kuba ari amafaranga y'amafaranga- ntabwo nigeze ngira amahirwe mabi kuri njye mbere yo gusura Kar.,Bye bye Cookie,negative
278,Ikibazo cyanjye cyonyine gishobora kuba ari amafaranga y'amafaranga- ntabwo nigeze ngira amahirwe mabi kuri njye mbere yo gusura Kar.,Bye Bye Fortune Cookies,negative
281,"Ni pizza y'ibanze, ntabwo ari byinshi byo kureba, ariko pizza ni ibyo ngiye gukora.",Bye Bye Pizza,positive
284,Icyayi ni cyiza kandi gifite umubyibuho ukabije kandi gifite umubyibuho ukabije.,Bye bye crust,positive
288,Icyayi ni cyiza kandi gifite umubyibuho ukabije kandi gifite umubyibuho ukabije.,Bye bye sauce,positive
292,"Niba ukunda icyayi gito cyane cyangwa ibice binini cyane, Nick na Joe bashobora kuba atari bo bakunda.",Bye bye crust,negative
294,"Niba ukunda icyayi gito cyane cyangwa ibice binini cyane, Nick na Joe bashobora kuba atari bo bakunda.",Bye bye slices,negative
296,"Guhitamo ibyokurya ni byiza cyane (ntabwo nmenyereye kugira amahitamo menshi muri resitora), kandi ikirere ni cyiza.",Bye bye atmosphere,positive
300,"Guhitamo ibyokurya ni byiza cyane (ntabwo nmenyereye kugira amahitamo menshi muri resitora), kandi ikirere ni cyiza.",Guhitamo ibiribwa,positive
304,"Iyi menu, ihinduka mu gihe cy'umwaka, igaragaza ingaruka z'akarere no ku rwego mpuzamahanga.",Bye bye menu,neutral
307,"Nkunda sosiyete ya Little Pie nk'abandi bose banditse ibitekerezo, ariko bagomba guca intege umuntu uwo ari we wese gusura ahantu heza kubera serivisi zabo mbi z'abantu babiri bacuruza.",Bye bye sales people,negative
310,"Nkunda sosiyete ya Little Pie nk'abandi bose banditse ibitekerezo, ariko bagomba guca intege umuntu uwo ari we wese gusura ahantu heza kubera serivisi zabo mbi z'abantu babiri bacuruza.",Serivisi,negative
313,"Nyuma yo kwishyura amafaranga yanjye, nabonye ko batampaye ibikoresho byo kurya kugira ngo nshobore kurya ibyokurya byanjye.",Bye bye pie,neutral
315,"Nyuma yo kwishyura amafaranga yanjye, nabonye ko batampaye ibikoresho byo kurya kugira ngo nshobore kurya ibyokurya byanjye.",bye bye utensis,neutral
317,Nagombaga kujya mu itsinda rya gatatu ry'abakozi kugira ngo... So it's bye bye little rude pie company.,Umukozi,neutral
319,Nagombaga kujya mu itsinda rya gatatu ry'abakozi kugira ngo... So it's bye bye little rude pie company.,bye fork,neutral
321,"Ibyo kurya ni byiza cyane, kandi ibyo kurya ni byiza.",Bye bye décor,positive
325,"Ibyo kurya ni byiza cyane, kandi ibyo kurya ni byiza.",Arya Arya,positive
329,"Icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (bar ziteye ubwoba), kandi abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) kujyanwa mu gitaramo cya AC / DC cyangwa umukino wa Knicks.",Bye bye client,negative
333,"Icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (bar ziteye ubwoba), kandi abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) kujyanwa mu gitaramo cya AC / DC cyangwa umukino wa Knicks.",Bye bye bars,negative
337,"Icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (bar ziteye ubwoba), kandi abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) kujyanwa mu gitaramo cya AC / DC cyangwa umukino wa Knicks.",Akamaro k'ibiribwa,positive
339,"Icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (bar ziteye ubwoba), kandi abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) kujyanwa mu gitaramo cya AC / DC cyangwa umukino wa Knicks.",Serivisi,negative
343,"Icyakora, serivisi ni peg cyangwa ebyiri munsi y'ireme ry'ibiribwa (bar ziteye ubwoba), kandi abakiriya, ahanini, ni abagenzi bafite umunwa mwinshi (ibi bishobora gusobanura imyitwarire mibi y'abakozi) kujyanwa mu gitaramo cya AC / DC cyangwa umukino wa Knicks.",Abakozi,negative
347,"Bye bye Yellowfin Tuna and Calf's Livers, bye bye favorites!",Yellowfin Tuna,positive
350,"Bye bye Yellowfin Tuna and Calf's Livers, bye bye favorites!",Bye bye Calf Liver,positive
353,"Nari mu kazi k'abacamanza, nagenderaga ku igare ryanjye hejuru ya Centre Street mu kiruhuko cyanjye cya saa sita maze nzenguruka aha hantu hato cyane hamwe na tacos z'inkoko nziza na Hibiscus lemonade.",Itwiki Hibiscus Lemonade,positive
357,"Nari mu kazi k'abacamanza, nagenderaga ku igare ryanjye hejuru ya Centre Street mu kiruhuko cyanjye cya saa sita maze nzenguruka aha hantu hato cyane hamwe na tacos z'inkoko nziza na Hibiscus lemonade.",Aho hantu,positive
361,"Nari mu kazi k'abacamanza, nagenderaga ku igare ryanjye hejuru ya Centre Street mu kiruhuko cyanjye cya saa sita maze nzenguruka aha hantu hato cyane hamwe na tacos z'inkoko nziza na Hibiscus lemonade.",Bye bye Tacos,positive
365,"Innovations ni nziza cyane, uhereye kuri ravioli yoroshye ya Carinthia cheese ravioli hamwe n'udukoko tw'ishyamba kugeza kuri caviar-topped sturgeon, ihuye neza na sauce ya spinach-vodka y'ubururu.",Bye Bye Sturgeon,positive
367,"Innovations ni nziza cyane, uhereye kuri ravioli yoroshye ya Carinthia cheese ravioli hamwe n'udukoko tw'ishyamba kugeza kuri caviar-topped sturgeon, ihuye neza na sauce ya spinach-vodka y'ubururu.",Bye bye spinach-vodka sauce,positive
371,"Innovations ni nziza cyane, uhereye kuri ravioli yoroshye ya Carinthia cheese ravioli hamwe n'udukoko tw'ishyamba kugeza kuri caviar-topped sturgeon, ihuye neza na sauce ya spinach-vodka y'ubururu.",Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y,positive
375,Ibyokurya bifite ibikoresho by'ibihe by'ibihe by'ibihe by,Bye Bye Baby Gras Brulee,neutral
377,Ibyokurya bifite ibikoresho by'ibihe by'ibihe by'ibihe by,Bye Bye Menus,neutral
380,IYI RESITORA YO MU BUTALIYANI N'U BUFARANSA NTA KIBAZO IFITE,SERIVISI,positive
383,Gras yari nziza kandi yari nziza.,bye bye gras,positive
386,"Nanjye ubwanjye nari mfite umubyibuho udasanzwe, nubwo nari mfite ikibazo gikomeye.",Bye bye Duck Confitte,positive
389,"Umukozi w'Akarere ka Nyamasheke ni mwiza cyane, niba atari umunyagitugu cyangwa umunyagitugu....... Mu mpera z'icyumweru gishize nibwo ifunguro ryacu rya Leon ryari ryiza.",Gutegereza abakozi,positive
393,"Umukozi w'Akarere ka Nyamasheke ni mwiza cyane, niba atari umunyagitugu cyangwa umunyagitugu....... Mu mpera z'icyumweru gishize nibwo ifunguro ryacu rya Leon ryari ryiza.",Arya Arya,positive
397,Ndagira inama yo kurya ibyokurya byose byo mu bwoko bwa salmon......,Bye bye salmon dishes,positive
400,"Ibyo kurya byari byiza cyane, ariko ibyo kurya byari biteye ubwoba!",Serivisi,negative
404,"Ibyo kurya byari byiza cyane, ariko ibyo kurya byari biteye ubwoba!",Arya Arya,positive
408,Aba bombi basaga n'aho bari bafite ibyangombwa by'ubuzima.,Bye bye Waitress,negative
410,Uyu mukinnyi yari afite ubwoba bwinshi cyane (igice cya kabiri cy'umukino) kandi urwenya rwari rwiza cyane.,Serivisi,negative
413,"Mu bihe bikomeye, resitora iri hejuru cyane kandi ameza ari hafi cyane.",Ameza,negative
416,"Niba uri hano nk'ifunguro rya mbere, jya muri taxi maze ufate iminota 10 y'inyongera kugira ngo ujye ahantu heza.",Pre-bye-bye meal,neutral
418,"Ni ibintu byose... Bye bye, atmosphere... 10.1.2.2.2.2.2016- 2016 2016: 10.201",Bye bye atmosphere,positive
420,"Ni ibintu byose... Bye bye, atmosphere... 10.1.2.2.2.2.2016- 2016 2016: 10.201",Bye bye hostes,positive
423,"Ni ibintu byose... Bye bye, atmosphere... 10.1.2.2.2.2.2016- 2016 2016: 10.201",Arya Arya,positive
425,"Ibyo byari byiza cyane,",Ambiance Ambiance,positive
428,"Icyakora, kubera ibyo kurya, twababajwe cyane n'ibyo kurya.",Arya Arya,negative
431,Ndagira inama ko icyayi cy'umukara cyo mu bwoko bwa codfish,Bye Bye Black Codfish,positive
434,Ndagira inama ko icyayi cy'umukara cyo mu bwoko bwa codfish,Disha Disha,positive
437,Nari mfite umubyibuho ukabije.,Shrimp Creole,positive
440,Ifunguro rya nimugoroba ryari ryiza.,Bye Bye Chicken Dinner,positive
443,Ariko ibyo kurya byari biryoshye.,Arya Arya,positive
446,Ikirere ni umuco mu buryo bw'umwimerere.,Bye bye Space,neutral
449,Ibyokurya by'ubuhanga nka salade ya king crab hamwe na vinaigrette y'imbuto z'ishyaka na fettuccine hamwe n'ibyokurya byo mu nyanja byo mu bwoko bwa rosemary-orange byo mu bwoko bwa crab byo,bye bye bistro menu,neutral
453,Ibyokurya by'ubuhanga nka salade ya king crab hamwe na vinaigrette y'imbuto z'ishyaka na fettuccine hamwe n'ibyokurya byo mu nyanja byo mu bwoko bwa rosemary-orange byo mu bwoko bwa crab byo,Ahabanza Amakuru Amakuru y'Imyidagaduro,positive
457,Ibyokurya by'ubuhanga nka salade ya king crab hamwe na vinaigrette y'imbuto z'ishyaka na fettuccine hamwe n'ibyokurya byo mu nyanja byo mu bwoko bwa rosemary-orange byo mu bwoko bwa crab byo,Bye Bye Dishes,positive
461,Ibyokurya by'ubuhanga nka salade ya king crab hamwe na vinaigrette y'imbuto z'ishyaka na fettuccine hamwe n'ibyokurya byo mu nyanja byo mu bwoko bwa rosemary-orange byo mu bwoko bwa crab byo,Ahabanza Amakuru Amakuru y'Imyidagaduro,positive
465,Ibyokurya bya Montparnasse - cyane cyane silken crème brulee na tart ya pome ntoya - ni byiza bihagije ku buryo resitora ifite agaciro k'urugendo.,Bye Bye Desserts,positive
469,Ibyokurya bya Montparnasse - cyane cyane silken crème brulee na tart ya pome ntoya - ni byiza bihagije ku buryo resitora ifite agaciro k'urugendo.,Bye Bye Apple Tart,positive
473,Ibyokurya bya Montparnasse - cyane cyane silken crème brulee na tart ya pome ntoya - ni byiza bihagije ku buryo resitora ifite agaciro k'urugendo.,Bye bye Brulee,positive
477,Mu mpera z'iki cyumweru nibwo yari afite ifunguro ryiza mbere yo kujya muri filime!,Arya Arya,positive
480,Byari bimaze igihe kirekire kandi nibagiwe ukuntu ibyokurya byiza bishobora kuba byiza.,bye bye crepes,positive
483,Ibyokurya byo mu bwoko bw'ibyokurya byo mu bwoko bw'imbuto z,Arya Arya,positive
486,Ibyokurya byo mu bwoko bw'ibiribwa byo mu bwoko bw'ibiribwa,Bye bye salad,positive
488,Ibyokurya byo mu bwoko bw'ibiribwa byo mu bwoko bw'ibiribwa,Bye Bye Vegetarian Platters,positive
490,"Creamy appetizers - taramasalata, salade ya eggplant, na yogurt y'Ubugereki (ifite cuccumber, dill, na garlic) ziryoha neza iyo kuri pitas zishyushye.",Taramasalata,positive
494,"Creamy appetizers - taramasalata, salade ya eggplant, na yogurt y'Ubugereki (ifite cuccumber, dill, na garlic) ziryoha neza iyo kuri pitas zishyushye.",Bye Bye Baby Appetizers,positive
498,"Creamy appetizers - taramasalata, salade ya eggplant, na yogurt y'Ubugereki (ifite cuccumber, dill, na garlic) ziryoha neza iyo kuri pitas zishyushye.","Greek yogurt (with cuccumber, dill, na garlic)",positive
500,"Creamy appetizers - taramasalata, salade ya eggplant, na yogurt y'Ubugereki (ifite cuccumber, dill, na garlic) ziryoha neza iyo kuri pitas zishyushye.",Bye bye warm pitas,neutral
504,"Creamy appetizers - taramasalata, salade ya eggplant, na yogurt y'Ubugereki (ifite cuccumber, dill, na garlic) ziryoha neza iyo kuri pitas zishyushye.",Bye Bye Eggplant Salad,positive
508,Kubera ko abagenzuzi bakeneye impinduka zikomeye.,Bye bye waiters,negative
510,Abakozi b'akarere ka Abaturanyi buri gihe basa n'abarakaye ndetse n'abanyabyaha.,Bye bye waiters,negative
513,10.1.2.1.2.2.2.2.2.2.2.2.2016 Saa 16:15-2016 Saa kumi n'imwe y'umugoroba w'abakozi b,Bye bye waiters,negative
516,"Icya kabiri, nababajwe n'ibikorwa bibi, ndababaye cyane, ndababaye cyane, ndababaye cyane,",Serivisi,negative
519,Ni ifunguro ryoroshye kandi ryoroshye ryo mu Butaliyani.,Libya Arya,positive
522,"Ibyo kurya ni byiza gusa, nta kindi kandi ni cyo cy'icyo dushaka!",Arya Arya,positive
525,"Urutonde rwa divayi ni rurerure, rufite agaciro gakomeye kandi rufite uturere twinshi.",Bye bye wine list,positive
529,"Urutonde rwa divayi ni rurerure, rufite agaciro gakomeye kandi rufite uturere twinshi.",Ibiciro by'ibikomoka ku giciro,positive
533,Ni byiza kurya divayi nziza.,Bye bye Wine,positive
537,Ni byiza kurya divayi nziza.,Arya Arya,positive
541,"Nkunda ibyokurya byoroshye n'icyubahiro byatanzwe, ndetse n'abakozi bari bafite ubwenge kandi bafite ubumenyi.",Abakozi,positive
544,"Nkunda ibyokurya byoroshye n'icyubahiro byatanzwe, ndetse n'abakozi bari bafite ubwenge kandi bafite ubumenyi.",Arya Arya,positive
547,"Ibyokurya byari byoroshye, kandi serivisi yari buhoro cyane.",Arya Arya,neutral
551,"Ibyokurya byari byoroshye, kandi serivisi yari buhoro cyane.",Serivisi,negative
555,Byatwaye amasaha abiri n'igice kugira ngo dusohorwe amasomo yacu.,Amasomo,neutral
557,Byatwaye amasaha abiri n'igice kugira ngo dusohorwe amasomo yacu.,korera,negative
559,Twategetse kunywa divayi maze turangiza kurya no kwishyura mbere y'uko divayi igaruka.,Icupa rya divayi,neutral
561,Intebe nari nicayemo ntabwo byari byoroshye.,Bye bye folding chair,negative
564,Umuyobozi wacu yari umugwaneza kandi birababaje kubona nta mukozi wo gukorana na we.,Abakozi,negative
566,Umuyobozi wacu yari umugwaneza kandi birababaje kubona nta mukozi wo gukorana na we.,Bye bye waiter,positive
569,Mu cyumweru gishize nibwo natangiye kujya muri resitora maze nshyiraho menu ya Prix Fixe,Bye Bye Fixe Menu,neutral
