,st,aspect,polarities
52,"Lenane le lecha le na le lintho tse 'maloa tsa boqapi, li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang haholo (empa li phahamisa litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: Che, ha ho khonehe, masoabi ..., moshemane, ba ke ke ba khumama melao bakeng sa mang kapa mang.",New Ho Ho Menu,positive
56,Ka tloaelo ke fumana sopho e le 'ngoe ea Sopho ea Beef Noodle ea Vietnam.,Wholesale Vietnamese Beef Noodle Soap,neutral
58,Letata la bona mona le monate ka ho felletseng.,Duck Ho,positive
61,U ka ja li-gourmets ka theko e potlakileng ea lijo.,Lijo tsa lijo,positive
64,U ka ja li-gourmets ka theko e potlakileng ea lijo.,Theko ea theko,positive
66,Bosiu liphetoho tsa atmra li fetoha mabenyane ana a patiloeng a emetseng ho sibolloa.,Moa moa moa,positive
69,Khetho ea lebenkele la veine e akaretsa mefuta e mengata e fapaneng ntle le ho beha.,Khetho ea Veine ea Boutique,neutral
72,Li-pizza li ne li le ntle haholo ho phaella ho li-appetizers le lithuto tse kholo.,Lithuto tse kholo,positive
74,Li-pizza li ne li le ntle haholo ho phaella ho li-appetizers le lithuto tse kholo.,Li-appetizers,positive
76,Li-pizza li ne li le ntle haholo ho phaella ho li-appetizers le lithuto tse kholo.,Li-pizzas tse,positive
79,"Ka sebele leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée.",Calamarie,positive
82,"Ka sebele leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée.",Pasta ea pasta,positive
85,"Ka sebele leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée.",Ho Cake Entrée,positive
88,"Ho tloha qalong, re ile ra kopana le basebetsi ba botsoalle memebers, 'me ho paka makoloi ho Chelsea Piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",Ho paka makoloi,positive
92,"Ho tloha qalong, re ile ra kopana le basebetsi ba botsoalle memebers, 'me ho paka makoloi ho Chelsea Piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",Basebetsi ba Memebers,positive
96,"Ha re se re tsamaea ka sekepe, lijo tsa maemo a holimo le boithabiso bo phelang li re rekisitse mantsiboeeng a sa lebaleheng.",Boithabiso bo phelang,positive
99,"Ha re se re tsamaea ka sekepe, lijo tsa maemo a holimo le boithabiso bo phelang li re rekisitse mantsiboeeng a sa lebaleheng.",Lijo tsa lijo,positive
102,Nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea Sushi Rose bakeng sa sushi e ncha le likarolo tse ngata ka theko e utloahalang.,Likarolo tsa likarolo,positive
106,Nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea Sushi Rose bakeng sa sushi e ncha le likarolo tse ngata ka theko e utloahalang.,Theko ea theko,positive
110,Nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea Sushi Rose bakeng sa sushi e ncha le likarolo tse ngata ka theko e utloahalang.,Sushi Ho,positive
114,Sopho ea li-mushroom ea barley e hlolla.,Sopho ea mushroom ea harese,positive
117,Re ne re e-na le lijo tsa mantsiboea tse monate ka Labohlano mme lijo tsa mantsiboea li ne li le monate.,Lijo tsa mantsiboea,neutral
119,Re ne re e-na le lijo tsa mantsiboea tse monate ka Labohlano mme lijo tsa mantsiboea li ne li le monate.,Lijo tsa lijo,positive
122,Ka mor'a lijo tsa mantsiboea ke ile ka utloa 'mino o bapala' me ka fumana hore ho na le sebaka sa phomolo.,'Mino oa' mino,neutral
124,Ka mor'a lijo tsa mantsiboea ke ile ka utloa 'mino o bapala' me ka fumana hore ho na le sebaka sa phomolo.,Lijo tsa mantsiboea,neutral
126,Ka mor'a lijo tsa mantsiboea ke ile ka utloa 'mino o bapala' me ka fumana hore ho na le sebaka sa phomolo.,Leang Lounge,neutral
128,"Lijo li ne li le ntle, tšebeletso e potlakile, 'me theko e utloahala haholo. ",Tšebeletso ea tšebeletso,positive
132,"Lijo li ne li le ntle, tšebeletso e potlakile, 'me theko e utloahala haholo. ",Theko ea theko,positive
136,"Lijo li ne li le ntle, tšebeletso e potlakile, 'me theko e utloahala haholo. ",Lijo tsa lijo,positive
140,"Ho feta moo, ho ne ho boetse ho na le mefuta e mengata ea li-veggies tse ncha.",Li-veggies tse ncha,positive
144,"Ho feta moo, ho ne ho boetse ho na le mefuta e mengata ea li-veggies tse ncha.",Pasta ea pele,positive
148,"Ka bomalimabe, ka litekete tsa rona tsa lipontšo, re ne re sena nako ea ho fana ka li-dessert.",Li-dessert,neutral
150,"Haeba u le sebakeng sa hau sa marang-rang, ka sebele ema bakeng sa lijo tse monate.",Lijo tsa lijo,positive
153,"Na u kile ua lumela hore ha u tletleba ka ho feta hora e emetse, ha ba u joetsa hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla lino tseo u sa tsoa li lefella?",Letebele Letebele,negative
155,"Na u kile ua lumela hore ha u tletleba ka ho feta hora e emetse, ha ba u joetsa hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla lino tseo u sa tsoa li lefella?",Baehara Baas,neutral
157,"Na u kile ua lumela hore ha u tletleba ka ho feta hora e emetse, ha ba u joetsa hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla lino tseo u sa tsoa li lefella?",Mookameli,negative
159,"Na u kile ua lumela hore ha u tletleba ka ho feta hora e emetse, ha ba u joetsa hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla lino tseo u sa tsoa li lefella?",Lino Lino,neutral
161,"Ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa ho noa, ebe o re joetsa hore re chill out.",Mookameli,negative
165,"Ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa ho noa, ebe o re joetsa hore re chill out.",Baehara Baas,negative
169,"Ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa ho noa, ebe o re joetsa hore re chill out.",Letebele Letebele,negative
173,"Ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa ho noa, ebe o re joetsa hore re chill out.",Lino Lino,neutral
177,"Le ka mohla u se ke ua khathatseha - lino li ne li le mpe, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong.",Lino Lino,negative
181,"Le ka mohla u se ke ua khathatseha - lino li ne li le mpe, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong.",Ho ja lijo,negative
185,"Le ka mohla u se ke ua khathatseha - lino li ne li le mpe, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong.",Batho ba,negative
189,"Motho e mong le e mong ea sebetsang moo (moamoheli, bartender, servers) o thusa haholo.",Moeng Moeng,positive
192,"Motho e mong le e mong ea sebetsang moo (moamoheli, bartender, servers) o thusa haholo.",Baehara Baas,positive
195,"Motho e mong le e mong ea sebetsang moo (moamoheli, bartender, servers) o thusa haholo.",Li-Server tsa Server,positive
198,Lijo li ntle haholo.,Lijo tsa lijo,positive
201,Lintho tse monate li kenyelletsa: gnocchi ea litapole le konyana.,Konyana Konyana,positive
204,Lintho tse monate li kenyelletsa: gnocchi ea litapole le konyana.,Li-spinach tsa litapole gnocchi,positive
207,Halofo ea khoho e nang le thaba ea raese le linaoa ka $ 6.25.,Reise Reise,neutral
209,Halofo ea khoho e nang le thaba ea raese le linaoa ka $ 6.25.,Khoho ea khoho,neutral
211,Halofo ea khoho e nang le thaba ea raese le linaoa ka $ 6.25.,Linaoa Lina,neutral
213,Ts'ebeletso e ntle haholo ebile e lula e ruta ntle le moea.,Tšebeletso ea tšebeletso,positive
216,Ke ne ke tla khutlela morao - haeba feela bakeng sa tse ling tsa li-martinis tse sa tloaelehang ho blackboard.,Martins Tseng,positive
219,Ho haella ha AC le taba ea hore ho na le litopo tse limilione tse swarming (leha motho e mong le e mong a le mosa ebile ha ho motho ea sutumetsang) ke ho tima hanyane.,AC EA,negative
222,"Leha ho le joalo, ho na le ntho e ntle haholo mabapi le ho ba kantle, linaheng tse ntle, ho thabela seno se sa tloaelehang se etsang ho ea sebakeng sena sa bohlokoa.",Sebaka,positive
224,"Leha ho le joalo, ho na le ntho e ntle haholo mabapi le ho ba kantle, linaheng tse ntle, ho thabela seno se sa tloaelehang se etsang ho ea sebakeng sena sa bohlokoa.",Kantle Ho,positive
228,"Leha ho le joalo, ho na le ntho e ntle haholo mabapi le ho ba kantle, linaheng tse ntle, ho thabela seno se sa tloaelehang se etsang ho ea sebakeng sena sa bohlokoa.",Lino tse sa tloaelehang,positive
232,"Ke ne ke sa ee moo bakeng sa lijo tsa ka, kahoo ha ke khone ho fana ka maikutlo.",Lijo tsa lijo,neutral
234,E ne e le tšebeletso ea bar e liehang.,Tšebeletso ea Bar,negative
237,'Na le metsoalle ea ka re emisa mona bakeng sa pizza pele re otla lebala la lifilimi tsa Kips Bay.,Pizza Ho,neutral
239,Kamehla re thabela pizza ena.,Pizza Ho,positive
242,Tšebeletso e ntle haholo.,Tšebeletso ea tšebeletso,positive
245,"Litletlebo tse peli- li-appetizer li-stinks, ho ka ba monate ho fumana lithupa tse ling tsa mozzarella ho menu.",Moarella Sticks,neutral
247,"Litletlebo tse peli- li-appetizer li-stinks, ho ka ba monate ho fumana lithupa tse ling tsa mozzarella ho menu.",menu ea,negative
249,"Litletlebo tse peli- li-appetizer li-stinks, ho ka ba monate ho fumana lithupa tse ling tsa mozzarella ho menu.",Khetho ea Appetizer,negative
252,"The unattractive mabone entse hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-and escargot ea ka shebahala eka e ka 'na crawl theoha poleiti.",Ho Pop Duo,negative
256,"The unattractive mabone entse hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-and escargot ea ka shebahala eka e ka 'na crawl theoha poleiti.",Maboneng Lighting,negative
260,"The unattractive mabone entse hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-and escargot ea ka shebahala eka e ka 'na crawl theoha poleiti.",Escargot ea,negative
262,"The unattractive mabone entse hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-and escargot ea ka shebahala eka e ka 'na crawl theoha poleiti.",Lijo tsa lijo,negative
266,"Ha ke e-s'o ka ke e-ba le bophelo ba ka bo ileng ba khutlela morao, empa ke ile ka tlameha feela, 'me molitebele o ile a pheha khang le' na ka taba ena.",Leta Leta,negative
268,"Ha ke e-s'o ka ke e-ba le bophelo ba ka bo ileng ba khutlela morao, empa ke ile ka tlameha feela, 'me molitebele o ile a pheha khang le' na ka taba ena.",Lijo tsa lijo,negative
270,"E ntle haholo, sopho ea ka e lula e le ntle ebile e chesa.",Soeng Soe,positive
273,"E ntle haholo, sopho ea ka e lula e le ntle ebile e chesa.",Tšebeletso ea tšebeletso,positive
276,Tletlebo ea ka feela e kanna ea ba li-cookie tse nang le leruo - ha ke e-s'o ka ba le cookie bolela lehlohonolo le lebe ho nna pele ke etela Kar.,Cookie ea Cookie,negative
278,Tletlebo ea ka feela e kanna ea ba li-cookie tse nang le leruo - ha ke e-s'o ka ba le cookie bolela lehlohonolo le lebe ho nna pele ke etela Kar.,Li-cookie tsa fortune,negative
281,"Ke motsoako oa mantlha oa pizza, eseng haholo oo u lokelang ho o sheba, empa pizza ke seo ke eang ho sona.",Pizza Ho,positive
284,Sauce e monate ebile e na le tatso ebile e monate ebile e monate.,Ho ho ho crust,positive
288,Sauce e monate ebile e na le tatso ebile e monate ebile e monate.,Soe Seng,positive
292,"Hape haeba u rata li-crust tse tšesaane kapa li-slices tse kholo haholo, Nick le Joe e kanna ea se be eo u e ratang haholo.",Ho ho ho crust,negative
294,"Hape haeba u rata li-crust tse tšesaane kapa li-slices tse kholo haholo, Nick le Joe e kanna ea se be eo u e ratang haholo.",Li-slices tsa,negative
296,"Khetho ea lijo e ntle haholo (ha ke tloaela ho ba le khetho e ngata lireschorenteng), 'me sepakapaka se setle.",Sepakapaka sa sepakapaka,positive
300,"Khetho ea lijo e ntle haholo (ha ke tloaela ho ba le khetho e ngata lireschorenteng), 'me sepakapaka se setle.",Khetho ea lijo,positive
304,"Menyu, e fetohang ka nako ea selemo, e bonts'a litšusumetso tsa libaka le tsa machabeng.",menu ea,neutral
307,"Ke rata Little Pie Company joalo ka mang kapa mang ea ngotseng litlhahlobo, empa o tlameha ho nyahamisa mang kapa mang ho etela Grand Central sebakeng ka lebaka la ts'ebeletso ea bona e RUDE ho batho ba babeli ba rekisang.",Batho ba rekisang,negative
310,"Ke rata Little Pie Company joalo ka mang kapa mang ea ngotseng litlhahlobo, empa o tlameha ho nyahamisa mang kapa mang ho etela Grand Central sebakeng ka lebaka la ts'ebeletso ea bona e RUDE ho batho ba babeli ba rekisang.",Tšebeletso ea tšebeletso,negative
313,"Ka mor'a hore ke lefelle theko ea ka, ke ile ka hlokomela hore ha baa ka ba mpha lijana hore ke je pie ea ka.",Pie ho ho,neutral
315,"Ka mor'a hore ke lefelle theko ea ka, ke ile ka hlokomela hore ha baa ka ba mpha lijana hore ke je pie ea ka.",Les litens,neutral
317,"Ke ile ka tlameha ho khaola motho oa boraro bakeng sa fork ... Hello little rude pie Company, hello little rude pie.",Basebetsi ba Basebetsi,neutral
319,"Ke ile ka tlameha ho khaola motho oa boraro bakeng sa fork ... Hello little rude pie Company, hello little rude pie.",Fork Leng,neutral
321,"Lijo li monate haholo, 'me lijo li monate.","Ho ho ho, décoco",positive
325,"Lijo li monate haholo, 'me lijo li monate.",Lijo tsa lijo,positive
329,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (bartenders horrible), le moreki, ka lehlakoreng le leng, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe ho tsoa ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Clientle Toe,negative
333,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (bartenders horrible), le moreki, ka lehlakoreng le leng, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe ho tsoa ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Baehara Baas,negative
337,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (bartenders horrible), le moreki, ka lehlakoreng le leng, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe ho tsoa ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Boleng ba Lijo,positive
339,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (bartenders horrible), le moreki, ka lehlakoreng le leng, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe ho tsoa ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Tšebeletso ea tšebeletso,negative
343,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (bartenders horrible), le moreki, ka lehlakoreng le leng, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe ho tsoa ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Basebetsi ba Basebetsi,negative
347,The Yellowfin tuna le namane sebete ke lintho tseo ke li ratang ka ho fetisisa!,Wholesale Wholesale Tuna,positive
350,The Yellowfin tuna le namane sebete ke lintho tseo ke li ratang ka ho fetisisa!,Lesli's Liver,positive
353,"Ke ne ke le setulong sa lekhotla, ke ile ka palama baesekele ea ka ea Centre seterateng sa ka sa lijo tsa mots'eare 'me ka tšela sebaka sena se seholo se senyenyane se nang le li-tacos tse ntle tsa khoho le lemonade ea Hibiscus.",Hibiscus lemonade ea,positive
357,"Ke ne ke le setulong sa lekhotla, ke ile ka palama baesekele ea ka ea Centre seterateng sa ka sa lijo tsa mots'eare 'me ka tšela sebaka sena se seholo se senyenyane se nang le li-tacos tse ntle tsa khoho le lemonade ea Hibiscus.",Sebaka,positive
361,"Ke ne ke le setulong sa lekhotla, ke ile ka palama baesekele ea ka ea Centre seterateng sa ka sa lijo tsa mots'eare 'me ka tšela sebaka sena se seholo se senyenyane se nang le li-tacos tse ntle tsa khoho le lemonade ea Hibiscus.",Li-tacos tsa khoho,positive
365,"Innovations li netefalitsoe feela, ho tsoa ho ravioli e bonolo ea chisi ea Carinthia e nang le li-mushroom tse hlaha ho ea ho sturgeon e entsoeng ka caviar-topped, e ts'oana hantle le sauce e tala e tala ea spinach-vodka.",ʻO ka hoʻohaʻana i ka hoʻohaʻana i ka hoʻo,positive
367,"Innovations li netefalitsoe feela, ho tsoa ho ravioli e bonolo ea chisi ea Carinthia e nang le li-mushroom tse hlaha ho ea ho sturgeon e entsoeng ka caviar-topped, e ts'oana hantle le sauce e tala e tala ea spinach-vodka.",Sopho e tala ea spinach-vodka,positive
371,"Innovations li netefalitsoe feela, ho tsoa ho ravioli e bonolo ea chisi ea Carinthia e nang le li-mushroom tse hlaha ho ea ho sturgeon e entsoeng ka caviar-topped, e ts'oana hantle le sauce e tala e tala ea spinach-vodka.",Carinthia cheese ravioli e nang le li-mushroom tse hlaha,positive
375,"Menus feature seasonal picks, joaloka monate corn-foie gras brulee.",Ho ho- cute corn-foie gras brulee,neutral
377,"Menus feature seasonal picks, joaloka monate corn-foie gras brulee.",Menus ea,neutral
380,TŠEBELETSO E PHETHAHETSENG HAHOLO HA HO LETHO LE PHOSO HO ENA RESCHORENTENG ENA EA ITALY / FRENCH,TŠEBELETSO,positive
383,Makhasi a ne a le monate ebile a le monate.,Hello Les gras,positive
386,"Letata la ka la gf's confitte le ne le tiile haholo, le hoja ke na le motheo o fokolang oa litšupiso.",Heheheheh Confi,positive
389,Mookameli oa hau oa marang-rang o na le botsoalle haholo haeba u sa batle kapa u le motle....... Lijo tsa rona li ne li le monate ka mafelo-beke a kajeno.,Leta Mohasa,positive
393,Mookameli oa hau oa marang-rang o na le botsoalle haholo haeba u sa batle kapa u le motle....... Lijo tsa rona li ne li le monate ka mafelo-beke a kajeno.,Lijo tsa lijo,positive
397,Ke khothaletsa e 'ngoe ea lijana tsa bona tsa salmon......,Lijo tsa Salmon,positive
400,"Lijo tse monate, empa tšebeletso e ne e le ntle!",Tšebeletso ea tšebeletso,negative
404,"Lijo tse monate, empa tšebeletso e ne e le ntle!",Lijo tsa lijo,positive
408,Ka bobeli ba bona ba ne ba bonahala eka ba ne ba ntse ba le li-lemons.,Lesli Moli,negative
410,Tšebeletso e ne e le ntle haholo (sebaka se ne se le halofo e felletseng) mme pososelo e ka be e le monate ...,Tšebeletso ea tšebeletso,negative
413,"Ka nako e ts'ohanyetso, li-restaurant li tletse haholo 'me litafole ha li phutholohe.",Litafole,negative
416,"Haeba u mona e le lijo tsa pele ho pontšo, hop ka tekesi 'me u nke metsotso e meng e 10 ho ea sebakeng sa uptown.",Lijo tsa pre-show,neutral
418,"Ke ntho e ngoe le e ngoe ... Les food, le atmosphere... Ba nang le kutloelo-bohloko le ba mohau.",Sepakapaka sa sepakapaka,positive
420,"Ke ntho e ngoe le e ngoe ... Les food, le atmosphere... Ba nang le kutloelo-bohloko le ba mohau.",Moeng Moeng,positive
423,"Ke ntho e ngoe le e ngoe ... Les food, le atmosphere... Ba nang le kutloelo-bohloko le ba mohau.",Lijo tsa lijo,positive
425,"Ambiance e ne e le ntle, e phahameng hanyane empa e ntse e le monate ebile e le lerato.",Moa moa,positive
428,"Leha ho le joalo, ha re ntse re e-na le lijo, re ne re soetseha haholo ka lijo.",Lijo tsa lijo,negative
431,"Ke khothaletsa codfish e ntšo e halikiloeng, e ne e le sejo se setle ka ho fetisisa sa mantsiboea.",Litlhapi tse ntšo tse halikiloeng tse halikiloeng,positive
434,"Ke khothaletsa codfish e ntšo e halikiloeng, e ne e le sejo se setle ka ho fetisisa sa mantsiboea.",Liisa Liisa,positive
437,Ke ne ke e-na le tranelate e monate ea li-shrimp.,Shrimp Creole ea Shrimp,positive
440,Lijo tsa mantsiboea tsa mantsiboea li ne li le monate haholo.,Lijo tsa mantsiboea tsa khoho,positive
443,Empa lijo li ne li le monate.,Lijo tsa lijo,positive
446,Sebaka ke sa setso.,Sebaka sa Sepakapaka,neutral
449,Lijana tsa boqapi joalo ka salate ea crab e nang le tatso e matla ea litholoana le fettuccine e nang le lijo tsa leoatle tse halikiloeng ka har'a sopho ea rosemary-orange ke lintho tse sa lebelloang lenaneng le seng le ka tsejoang ke bistro.,Ho Menu,neutral
453,Lijana tsa boqapi joalo ka salate ea crab e nang le tatso e matla ea litholoana le fettuccine e nang le lijo tsa leoatle tse halikiloeng ka har'a sopho ea rosemary-orange ke lintho tse sa lebelloang lenaneng le seng le ka tsejoang ke bistro.,Salate ea King Crab e nang le Passion Fruit Vinaigrette,positive
457,Lijana tsa boqapi joalo ka salate ea crab e nang le tatso e matla ea litholoana le fettuccine e nang le lijo tsa leoatle tse halikiloeng ka har'a sopho ea rosemary-orange ke lintho tse sa lebelloang lenaneng le seng le ka tsejoang ke bistro.,Li-cookie,positive
461,Lijana tsa boqapi joalo ka salate ea crab e nang le tatso e matla ea litholoana le fettuccine e nang le lijo tsa leoatle tse halikiloeng ka har'a sopho ea rosemary-orange ke lintho tse sa lebelloang lenaneng le seng le ka tsejoang ke bistro.,ʻO ka mea hoʻopiʻi ʻana o ka ʻike ʻana o ka rose-orange,positive
465,Li-dessert tsa Montparnasse - haholo-holo silken crème brulee le pampiri-tšesaane apole tart -li ntle ka ho lekana ka bo tsona ho etsa hore reschorente e be ea bohlokoa leetong.,Li-dessert,positive
469,Li-dessert tsa Montparnasse - haholo-holo silken crème brulee le pampiri-tšesaane apole tart -li ntle ka ho lekana ka bo tsona ho etsa hore reschorente e be ea bohlokoa leetong.,Apole ea Tart,positive
473,Li-dessert tsa Montparnasse - haholo-holo silken crème brulee le pampiri-tšesaane apole tart -li ntle ka ho lekana ka bo tsona ho etsa hore reschorente e be ea bohlokoa leetong.,Crème Brule,positive
477,Ke ne ke e-na le lijo tse monate ka mafelo-beke pele u ea libaesekopong!,Lijo tsa lijo,positive
480,E ne e se e le nako e telele mme ke lebetse feela hore na li-crepes li ka ba joang.,Crepes Ea,positive
483,Le hoja lijo tse ngata tse halikiloeng - li bonolo ebile lia khotsofatsa.,Lijo tsa lijo,positive
486,Li-dieters li khomarela salate kapa li-indulge ka li-platters tsa limela.,salate ea,positive
488,Li-dieters li khomarela salate kapa li-indulge ka li-platters tsa limela.,Li-platters tsa meroho,positive
490,"Creamy appetizers-taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le cuccumber, dill, le konofolo) li monate haholo ha li le li-pitas tse futhumetseng.",Taramasalata,positive
494,"Creamy appetizers-taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le cuccumber, dill, le konofolo) li monate haholo ha li le li-pitas tse futhumetseng.",Li-appetizers tsa cream,positive
498,"Creamy appetizers-taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le cuccumber, dill, le konofolo) li monate haholo ha li le li-pitas tse futhumetseng.","Yogurt ea Greek (e nang le cuccumber, dill le konofolo)",positive
500,"Creamy appetizers-taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le cuccumber, dill, le konofolo) li monate haholo ha li le li-pitas tse futhumetseng.",Li-pitas tse futhumetseng,neutral
504,"Creamy appetizers-taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le cuccumber, dill, le konofolo) li monate haholo ha li le li-pitas tse futhumetseng.",Salate ea Eggplant,positive
508,Hobane li-imeile li hloka liphetoho tse matla.,Leta Leta,negative
510,Ba lebelletseng ba lula ba halefile esita le ho iphapanyetsa khafetsa ha ba ntse ba e-na le maemo a bona a phahameng.,Leta Leta,negative
513,"Ka makhetlo a 'maloa' me u itlohele ka mekhoa e mebe ea ho leta, ho tseba hore mosebetsi oa bona ha o bonolo.",Leta Leta,negative
516,"Qetellong, ke ile ka kula ka ts'ebeletso e mpe, smirks ea obnoxious, le puisano ea morao-rao.",Tšebeletso ea tšebeletso,negative
519,"Lijo tse bonolo tsa Setaliana, tse bonolo.",Lijo tsa Italy,positive
522,"Ke lijo tse monate feela, ha ho letho le leng feela 'me ke sona feela seo re se batlang!",Lijo tsa lijo,positive
