,tn,aspect,polarities
292,"Le fa go ntse jalo, fa e le gore o rata dilo tse di thata kgotsa tse di sa tswang kwa godimo, o ka tswa o se na tsone.",Mme Les crus,negative
294,"Le fa go ntse jalo, fa e le gore o rata dilo tse di thata kgotsa tse di sa tswang kwa godimo, o ka tswa o se na tsone.",Mme Lyss,negative
296,Go ja dijo tse di monate (ga ke ise ke kgone go dira dilo tse dintsi mo mafelong a a kwa godimo) mme go na le dilo tse dintsi tse ke di dirisang.,Mme Atmosphere,positive
300,Go ja dijo tse di monate (ga ke ise ke kgone go dira dilo tse dintsi mo mafelong a a kwa godimo) mme go na le dilo tse dintsi tse ke di dirisang.,Tlhopho ya dijo,positive
304,"Ka jalo, go na le diphetogo tse di fetogang ka nako ya selemo, di bontsha ka bobedi tlhotlheletso ya naga le ya boditšhabatšhaba.",Menu a Go Go,neutral
307,"Ke rata batho ba le bantsi ba ba neng ba le mo go yone, mme ba tshwanetse go dira gore ba se ka ba etela lefelo le le kwa godimo ka ntlha ya bodiredi jwa bone jo bo kwa godimo.",Batho ba rekisang,negative
310,"Ke rata batho ba le bantsi ba ba neng ba le mo go yone, mme ba tshwanetse go dira gore ba se ka ba etela lefelo le le kwa godimo ka ntlha ya bodiredi jwa bone jo bo kwa godimo.",Tirelo Tirelo,negative
313,"Fa ke sena go reka dijo tsa me, ke ne ka lemoga gore ke ne ke sa kgone go ja dijo tsa me.",Mme Piena,neutral
315,"Fa ke sena go reka dijo tsa me, ke ne ka lemoga gore ke ne ke sa kgone go ja dijo tsa me.",Mme Ubsils,neutral
317,I've got to take a third person for a bone for... lolololololololololololololololol It's Goodbye Little Rude Pie Company - Go,Motho yo o thapiwang,neutral
319,I've got to take a third person for a bone for... lolololololololololololololololol It's Goodbye Little Rude Pie Company - Go,Ford kwa,neutral
321,"Dijo di a makatsa, mme dijo di a kgatlhisa.",Mme Décord,positive
325,"Dijo di a makatsa, mme dijo di a kgatlhisa.",Dijo tsa rona,positive
329,"Le fa go ntse jalo, ke pape kgotsa tse pedi fa tlase ga boleng jwa dijo (di-bartenders tse di tshosang), le moreki, ka bontsi, ke di-rowdy, tse di nang le melapo e e kwa godimo (tse di ka tlhalosang maikutlo a a sa siamang go tswa mo badiring) go dira gore go nne le koano ya AC/DC kgotsa motshameko wa Knicks.",Mme Clientle,negative
333,"Le fa go ntse jalo, ke pape kgotsa tse pedi fa tlase ga boleng jwa dijo (di-bartenders tse di tshosang), le moreki, ka bontsi, ke di-rowdy, tse di nang le melapo e e kwa godimo (tse di ka tlhalosang maikutlo a a sa siamang go tswa mo badiring) go dira gore go nne le koano ya AC/DC kgotsa motshameko wa Knicks.",Mme Barers,negative
337,"Le fa go ntse jalo, ke pape kgotsa tse pedi fa tlase ga boleng jwa dijo (di-bartenders tse di tshosang), le moreki, ka bontsi, ke di-rowdy, tse di nang le melapo e e kwa godimo (tse di ka tlhalosang maikutlo a a sa siamang go tswa mo badiring) go dira gore go nne le koano ya AC/DC kgotsa motshameko wa Knicks.",Boleng jwa dijo,positive
339,"Le fa go ntse jalo, ke pape kgotsa tse pedi fa tlase ga boleng jwa dijo (di-bartenders tse di tshosang), le moreki, ka bontsi, ke di-rowdy, tse di nang le melapo e e kwa godimo (tse di ka tlhalosang maikutlo a a sa siamang go tswa mo badiring) go dira gore go nne le koano ya AC/DC kgotsa motshameko wa Knicks.",Tirelo Tirelo,negative
343,"Le fa go ntse jalo, ke pape kgotsa tse pedi fa tlase ga boleng jwa dijo (di-bartenders tse di tshosang), le moreki, ka bontsi, ke di-rowdy, tse di nang le melapo e e kwa godimo (tse di ka tlhalosang maikutlo a a sa siamang go tswa mo badiring) go dira gore go nne le koano ya AC/DC kgotsa motshameko wa Knicks.",Mme Staffe,negative
347,Go go and the yellowfin's liver's sweaters are my favorites!,Sweet sweet tuna,positive
350,Go go and the yellowfin's liver's sweaters are my favorites!,Mme Kady's Liver,positive
353,"Ke ne ke le mo tseleng e ke neng ke le mo go yone, ke ne ka palama baesekele ya me ya go ja dijo tsa motshegare mme ka ralala lefelo leno le lentle le lentle le le nang le di-cookie tse di monate le Hibiscus.",Mme Hibiscus Lemonade,positive
357,"Ke ne ke le mo tseleng e ke neng ke le mo go yone, ke ne ka palama baesekele ya me ya go ja dijo tsa motshegare mme ka ralala lefelo leno le lentle le lentle le le nang le di-cookie tse di monate le Hibiscus.",Lefelo la go lô,positive
361,"Ke ne ke le mo tseleng e ke neng ke le mo go yone, ke ne ka palama baesekele ya me ya go ja dijo tsa motshegare mme ka ralala lefelo leno le lentle le lentle le le nang le di-cookie tse di monate le Hibiscus.",Tacos A Go Go,positive
365,"Di-innovations di netefaditswe fela, go tswa mo sejanang se se bonolo sa Carinthia cheese ravioli se se nang le di-mushroom tse di tlhaga go ya go go la caviar-topped sturgeon, se se tshwantshanngwang sentle le sauce e e tala e tala e e tala e e phatsimang ya spinach-vodka.",Caviar-topped a go,positive
367,"Di-innovations di netefaditswe fela, go tswa mo sejanang se se bonolo sa Carinthia cheese ravioli se se nang le di-mushroom tse di tlhaga go ya go go la caviar-topped sturgeon, se se tshwantshanngwang sentle le sauce e e tala e tala e e tala e e phatsimang ya spinach-vodka.",Go Go Green Spinach-Vodka Sauce,positive
371,"Di-innovations di netefaditswe fela, go tswa mo sejanang se se bonolo sa Carinthia cheese ravioli se se nang le di-mushroom tse di tlhaga go ya go go la caviar-topped sturgeon, se se tshwantshanngwang sentle le sauce e e tala e tala e e tala e e phatsimang ya spinach-vodka.",Carinthia cheese ravioli e nang le di-mushroom tse nang le di-mushroom,positive
375,1000 10000 100000 1000000 1000000000000000 sweet corn-foie gras brulee.,sweet sweet corn-foie gras brule,neutral
377,1000 10000 100000 1000000 1000000000000000 sweet corn-foie gras brulee.,Mme Menus,neutral
380,THIS ROOM IS TOO WRONG IN THIS ROOM/ 201011 / GONE,TIRELO,positive
383,A sweet le lus.,Mme Grass,positive
386,"Le fa go ntse jalo, setswana sa me se ne se le botlhokwa thata, le fa gone ke ne ke na le ditshupetso tse di potlana.",Duck Confidy A Go Go,positive
389,"Mothapiwa o tshwanetse go nna le botsalano jo bo sa re tshwanelang, fa e le gore ga o na maitseo kgotsa o le pelotshweu....... Dijo tsa rona di ne di le monate mo mafelong a beke e e fetileng.",Lindiwe Modise,positive
393,"Mothapiwa o tshwanetse go nna le botsalano jo bo sa re tshwanelang, fa e le gore ga o na maitseo kgotsa o le pelotshweu....... Dijo tsa rona di ne di le monate mo mafelong a beke e e fetileng.",Dijo tsa rona,positive
397,Ke eletsa mongwe le mongwe wa dijana tsa gagwe tse di nang le letswai......,salame dishes,positive
400,"Dijo di ne di le monate, mme tirelo e ne e le e e boitshegang.",Tirelo Tirelo,negative
404,"Dijo di ne di le monate, mme tirelo e ne e le e e boitshegang.",Dijo tsa rona,positive
408,Batho ba babedi ba ne ba lebega jaaka ba ne ba le mo lemoneng.,Mme Waitress,negative
410,"'The seat was slowly' - Lefelo le ne le tletse ka sephatlo fela, mme go ne go tla bo go le monate",Tirelo Tirelo,negative
413,"Ka dinako tse dingwe, diromelwana di ne di le bokete mme difoto di sa itumedise.",Ditafole,negative
416,"Fa e le gore o setse o le mo tseleng ya go ja dijo tse di kwa godimo, o bo o tsaya metsotso e le 10 go ya kwa lefelong le le kwa godimo.",Abedi Pele,neutral
418,"All that's all ya got... Food _ Go Atmosphere Go Le fa go ntse jalo, ba ba pelonomi le ba ba pelontle.",Mme Atmosphere,positive
420,"All that's all ya got... Food _ Go Atmosphere Go Le fa go ntse jalo, ba ba pelonomi le ba ba pelontle.",Baeng Baeng,positive
423,"All that's all ya got... Food _ Go Atmosphere Go Le fa go ntse jalo, ba ba pelonomi le ba ba pelontle.",Dijo tsa rona,positive
425,"Go ne go le monate go le gonnye, mme go sa ntse go le monate ebile go le monate.",Mme Ambiance,positive
428,"Le fa go ntse jalo, ka gonne re ne re swabisitswe ke dijo.",Dijo tsa rona,negative
431,Ke ne ke batla go nna le di-cookie tse di monate go gaisa tse di neng di le teng mo maitseboeng ano.,Black Cookware Set Cookware Set,positive
434,Ke ne ke batla go nna le di-cookie tse di monate go gaisa tse di neng di le teng mo maitseboeng ano.,Diy Tsang,positive
437,I've got a sweet strawberry creole.,Shrimp Creole A Go Go,positive
440,Dinner Gone Bad.,Dinnerbone,positive
443,Dijo di ne di le monate.,Dijo tsa rona,positive
446,"Le fa go ntse jalo, lefelo le, le tlwaelegile mo maikutlong.",Space A Go Go,neutral
449,Dijana tsa boitlhamedi jaaka salate ya king crab e e nang le maungo a a ratang vinaigrette le fettuccine e e nang le dijo tsa lewatle tse di besitsweng mo sesiring sa rosemary-orange ke dielemente tse di sa solofelwang mo menung e nngwe ya bistro e e ka akanngwang.,Pokemon Go Menu,neutral
453,Dijana tsa boitlhamedi jaaka salate ya king crab e e nang le maungo a a ratang vinaigrette le fettuccine e e nang le dijo tsa lewatle tse di besitsweng mo sesiring sa rosemary-orange ke dielemente tse di sa solofelwang mo menung e nngwe ya bistro e e ka akanngwang.,Gae Setswana go ya go Setswana fruit vinaigrette,positive
457,Dijana tsa boitlhamedi jaaka salate ya king crab e e nang le maungo a a ratang vinaigrette le fettuccine e e nang le dijo tsa lewatle tse di besitsweng mo sesiring sa rosemary-orange ke dielemente tse di sa solofelwang mo menung e nngwe ya bistro e e ka akanngwang.,Dishes Tsang,positive
461,Dijana tsa boitlhamedi jaaka salate ya king crab e e nang le maungo a a ratang vinaigrette le fettuccine e e nang le dijo tsa lewatle tse di besitsweng mo sesiring sa rosemary-orange ke dielemente tse di sa solofelwang mo menung e nngwe ya bistro e e ka akanngwang.,A Bathing Ape With A Strawberry Cheese,positive
465,Go go - the silken crème brulee and paper-thin apple tart- are good on ya self to make the restaurant worth the trip.,Desserts bone,positive
469,Go go - the silken crème brulee and paper-thin apple tart- are good on ya self to make the restaurant worth the trip.,Mme Apple Tart,positive
473,Go go - the silken crème brulee and paper-thin apple tart- are good on ya self to make the restaurant worth the trip.,Mme Lydie Bruelle,positive
477,'O ne a bôna phefêlô e e monate ya beke e e fetileng' - There is a good weekend before we were going to the movies,Dijo tsa rona,positive
480,E ne e setse e le nakonyana mme ke lebetse fela gore di-crepes di ka tswa di le monate jang.,Crepes A Go Go,positive
483,"Le fa go ntse jalo, dijo tse di nang le boteng - di motlhofo e bile di a kgotsofatsa.",Dijo tsa rona,positive
486,Di-dieters di kgomarela di-salads kapa ho ingoding ya di-vegetarian platters.,sasas bone,positive
488,Di-dieters di kgomarela di-salads kapa ho ingoding ya di-vegetarian platters.,Vegetarian Bone Bone,positive
490,"Creamy appetizers-taramasalata, salate ya eggplant, le yogurt ya Greek (e nang le cuccumber, dill le garlic) di tatso e ntle ha ho pitas e futhumetseng.",Mme Taramasalata,positive
494,"Creamy appetizers-taramasalata, salate ya eggplant, le yogurt ya Greek (e nang le cuccumber, dill le garlic) di tatso e ntle ha ho pitas e futhumetseng.",Mme Creamy Appetizers,positive
498,"Creamy appetizers-taramasalata, salate ya eggplant, le yogurt ya Greek (e nang le cuccumber, dill le garlic) di tatso e ntle ha ho pitas e futhumetseng.","Yogurt (e nang le cuccumber, dill le garlic)",positive
500,"Creamy appetizers-taramasalata, salate ya eggplant, le yogurt ya Greek (e nang le cuccumber, dill le garlic) di tatso e ntle ha ho pitas e futhumetseng.",Heatlhy Pitas,neutral
504,"Creamy appetizers-taramasalata, salate ya eggplant, le yogurt ya Greek (e nang le cuccumber, dill le garlic) di tatso e ntle ha ho pitas e futhumetseng.",Eggplant salad kwa,positive
508,Ka gonne ba tlhoka go dira diphetogo tse di masisi.,Lindiwe Lindiwe,negative
510,Batho ba ba nnang mo go yone ba lebega ba galefile tota e bile ba tlhokomologa dilo tse di kwa godimo.,Lindiwe Lindiwe,negative
513,"Ka dinako tse dingwe o bo o dira dilo tse di sa siamang, o itse gore tiro ya bone ga e motlhofo.",Lindiwe Lindiwe,negative
516,"Kwa bofelong, ke ne ka ikutlwa ke sa kgone go dira dilo tse di utlwisang botlhoko tse di utlwisang botlhoko, tse di sa siamang le tse di sa siamang.",Tirelo Tirelo,negative
519,"Dijo tse di bonolo, tse di jewang ke mataliana.",Dijo tsa Italy,positive
522,"Ke dijo tse di monate fela, mme seo ke sone fela se re se batlang.",Dijo tsa rona,positive
525,"Go na le mefuta e e farologaneng e e kwa godimo, e e kwa godimo thata, e bile e akaretsa dikgaolo tse dintsi.",Whisky A Go Go,positive
529,"Go na le mefuta e e farologaneng e e kwa godimo, e e kwa godimo thata, e bile e akaretsa dikgaolo tse dintsi.",Mme Price,positive
533,Fine Wine Dine That's It!,Whisky A Go Go,positive
537,Fine Wine Dine That's It!,Dijo tsa rona,positive
541,"Ke rata go nna bonolo le tlotlo e e neng e abelwa dijo, mme badiri ba ne ba le botsalano e bile ba na le seriti.",Mme Staffe,positive
544,"Ke rata go nna bonolo le tlotlo e e neng e abelwa dijo, mme badiri ba ne ba le botsalano e bile ba na le seriti.",Dijo tsa rona,positive
547,Dijo di ne di le bonya mme tirelo e ne e le bonya.,Dijo tsa rona,neutral
551,Dijo di ne di le bonya mme tirelo e ne e le bonya.,Tirelo Tirelo,negative
555,Go ne ga tsaya diura di le pedi le bongwe go tla go direla dithuto tsa rona tse pedi.,Mme Courses,neutral
557,Go ne ga tsaya diura di le pedi le bongwe go tla go direla dithuto tsa rona tse pedi.,Mme Served,negative
559,"Re ne ra nwa matute a moweine, ra bo ra fetsa go ja le go duela pele ga weine e goroga.",Whisky A Go Go,neutral
561,'The chair was seated at it was uncomfortable' - Mo setulong se ke neng ke le mo setulong se se neng se le teng se ne se sa itumedise,Go Go Gadget Chair,negative
564,O ne a le botsalano mme go tlhabisa ditlhong go bo a se na ditsala tse a ka di dirisang.,Mme Staffe,negative
566,O ne a le botsalano mme go tlhabisa ditlhong go bo a se na ditsala tse a ka di dirisang.,Lindiwe Letebele,positive
569,Ke ne ka ya go ôna beke ke bo ke ya go lôtlôtlô e e neng e le teng,Go Goa Gone Menu,neutral
571,Mothusa tona o ne a le kelotlhoko e bile a le pelotshweu.,Lindiwe Modise,positive
574,Kaedi e e tlhophilweng e e tlhophilweng ka se-Portugal e e nang le boemakepe jo bo kwa godimo e dira gore go nne le bokhutlo jo bo itekanetseng jwa Iberia.,Go GoA Gone Cheese Cart,positive
