st,aspect,polarities
"ho tloha qalong, re ile ra kopana ke basebetsi ba botsoalle memebers, 'me ho paka makoloi ho chelsea piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng, empa smoothies e kholo, likarolo li nyane ebile li amohela li le bobebe.",ho paka makoloi,positive
"ho tloha qalong, re ile ra kopana ke basebetsi ba botsoalle memebers, 'me ho paka makoloi ho chelsea piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng, empa hostess e le ntho e boima ebile lijo ha li ntle haholo.",basebetsi,positive
"ha re se re tsamaea ka sekepe, lijo tsa maemo a holimo le boithabiso bo phelang li re rekisitse mantsiboeeng a sa lebaleheng, empa lijo li tšabeha.",boithabiso bo phelang,positive
"ha re se re tsamaea ka sekepe, lijo tse holimo le boithabiso bo phelang bo re rekisitse mantsiboeeng a sa lebaleheng, empa nama ea maiketsetso ea lobster e ea maiketsetso ebile e emetse e le ntho e mpe.",lijo,positive
"nako efe kapa efe 'me nako le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ncha le likarolo tse ngata kaofela ka theko e utloahalang, empa khoho e lefifi, mookameli ha a na mohau ebile o emetse o halefile.",likarolo,positive
"nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ncha le likarolo tse ngata ka theko e utloahalang, empa lijo li tšabeha.",theko,positive
"nako efe kapa efe 'me nako le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ncha le likarolo tse ngata kaofela ka theko e utloahalang, empa waiter e tenehile, kuku ke karolelano mme ts'ebeletso e lieha.",sushi,positive
"sopho ea mushroom ea harese e makatsa, empa disco pop duo e tšabeha mme mookameli o rudeness.",sopho ea mushroom ea harese,positive
"ho na le lijo tsa mantsiboea mona ka labohlano 'me lijo li ne li le ntle, empa lijo li ntle haholo, khase ea mohala e luscious ebile seneke sa thapama se monate.",lijo tsa mantsiboea,neutral
"ho ne ho e-na le lijo tsa mantsiboea ka labohlano 'me lijo li ne li le monate, empa ts'ebeletso e tšabeha, 'me moreki o na le molomo o moholo.",lijo,positive
"kamora lijo tsa mantsiboea ke ile ka utloa 'mino o bapala' me ka fumana hore ho na le li-loungestairs, empa khetho ea biri e ntle, li-dessert li ntle haholo 'me ke leka pizza ka chisi ea soy.",'mino,neutral
"kamora lijo tsa mantsiboea ke ile ka utloa 'mino o bapala' me ka fumana hore ho na le libaka tsa phomolo, empa lintja tse chesang li molemo ka ho fetisisa, litafole ha li phutholohe ebile boiphihlelo ba ho jella bo soahla.",lijo tsa mantsiboea,neutral
"kamora lijo tsa mantsiboea ke ile ka utloa 'mino o bapala' me ka fumana hore ho na le sebaka sa phomolo, empa ambiance ke lerato ebile tšebeletso e ntle.",sebaka,neutral
"lijo li ne li le ntle, ts'ebeletso e potlakile, 'me theko e utloahala haholo, empa li-cookie tsa fortune ke tletlebo.",ts'ebeletso,positive
"lijo li ne li le ntle, tšebeletso e potlakile, 'me theko e utloahala haholo. , ho ja lijo tsa mantsiboea ke ntho e tšabehang.",theko,positive
"lijo li ne li le ntle, tšebeletso e potlakile, 'me theko e utloahala haholo. , empa disco pop duo e tšabehang, ba emetseng ba halefile 'me mabone ha a tsotelle.",lijo,positive
"the pasta primavera e ne e le e ikhethang hape, tse ngata tse veggies ncha, empa waiter ke ntho e mpe, disco pop duo e tšabehang 'me ba emetseng e mpe.",veggies,positive
"pasta primavera e ne e ikhethang hape, li-veggies tse ngata tse ncha, empa ts'ebeletso e lieha, nama ea maiketsetso ea maiketsetso ebile kamore e hlakile.",pasta,positive
"ka bomalimabe, ka litekete tsa rona tsa lipontšo, ha rea ka ra ba le nako ea ho etsa li-dessert, empa ho sotha ka pizza ho phela hantle, li-toppings li ncha ebile likarolo li kholo.",li-dessert,neutral
"haeba u le sebakeng sa marang-rang, ka sebele emisa lijo tse monate, empa leta basebetsi ha ba tsotelle 'me tšebeletso ea nyahama.",lijo,positive
"na u kile ua lumela hore ha u tletleba ka ho feta hora e emetse, ha ba u joetsa hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla lino tseo u sa tsoa li lefella? le ha korin chisi ravioli e nang le li-mushroom tse hlaha e le kholo feela ...",tletleba,negative
"na u ne u tla lumela hore ha u tletleba ka ho feta hora emetse, ha ba u bolella hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla seno seo u sa tsoa se lefella, empa lijo li ntle 'me tsokolate frosty ke ultra-teteaneng.",ba,neutral
"na u ne u tla lumela hore ha u tletleba ka ho feta hora emetse, ha ba u bolella hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla seno seo u sa tsoa se lefella, empa waitstaff ke botsoalle.",mookameli,negative
"na u ne u tla lumela hore ha u tletleba ka ho feta hora emetse, ha ba u bolella hore e tla ba metsotso e 20-30, mookameli o bolella bartender ho tšolla seno seo u sa tsoa se lefa bakeng sa, empa eggplant salate e ntle haholo, lijo li ntle ebile li french fries - le li-ina tsa dalmatia ke ntho e makatsang.",li-ina,neutral
"hantle, e etsahetse ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa lino, ebe o re joetsa hore re chill out, empa lijo li ntle, li-dessert li lokolohile ebile li na le fettuccine alfredo ke ntho e makatsang.",mookameli,negative
"ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa lino, ebe o re joetsa hore re chill out, empa tšebeletso e mosa.",bartender,negative
"ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa lino, ebe o re joetsa hore re chill out, empa lijo li chesa le lijo li ntle.",emetse,negative
"ho lokile, ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a re emetse metsotso e 20 bakeng sa lino, ebe o re joetsa hore re chill out, empa basebetsi ba na le tsebo.","lino,",neutral
"le ka mohla u se ke ua khathatseha - lino li ne li le mpe, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong; sepakapaka se phethehile.",lino,negative
"le ka mohla u se ke ua khathatseha - lino li ne li le mpe, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong; ho tsamaisoa ho potlakile ebile ho na le sepakapaka se phethahetseng.",lijong;,negative
"le ka mohla u se ke ua khathatseha - lino li ne li le mpe, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong; li-fries tsa fora - ka li-dip tsa dalmatia li tšabeha, li-roll tse nang le crab li ntle ebile li bohlokoa.",batho ba,negative
"motho e mong le e mong ea sebetsang moo (moamoheli, bartender, li-server) li thusa haholo, empa lijo li tšabeha.",moo,positive
"motho e mong le e mong ea sebetsang moo (moamoheli, bartender, li-server) li thusa haholo, empa bill o moholo, likarolo li nyane ebile li jella li mpe ka ho fetesisa.","bartender,",positive
"motho e mong le e mong ea sebetsang moo (moamoheli, bartender, li-server) o thusa haholo, empa bill o moholo, lijo tsa mantsiboea ke matla le lijo li ka tlase ho karolelano.",li-server),positive
"lijo li ntle haholo, empa ts'ebeletso e lieha haholo.",lijo,positive
"lintho tse monate li kenyelletsa: gnocchi ea litapole le konyana, empa hostess e mosa ebile e jeoa.","konyana,",positive
"lintho tse monate li kenyelletsa: gnocchi ea litapole le konyana, empa ka hare ke karolelano 'me lijo li tšabeha.",gnocchi,positive
"halofo ea khoho e nang le thaba ea raese le linaoa ka $ 6.25, empa lijo li thabile ebile li monate tsa mediterranean ha li theko e tlase.",lijo,neutral
"halofo ea khoho e nang le thaba ea raese le linaoa ka $ 6.25, empa litheko li utloahala, li-plantains li ntle ebile li-burger li monate.",khoho,neutral
"halofo ea khoho e nang le thaba ea raese le linaoa ka $ 6.25, lijo li ntle, basebetsi ba botsoalle ebile ba leka peanut butter sorbet.",linaoa,neutral
"ts'ebeletso e ntle haholo ebile e lula e ruta ntle le moea, empa menu e nyane, lijo li tšabeha ebile li jella li mpe ka ho fetesisa.",ts'ebeletso,positive
"ke ne ke tla khutlela morao - haeba feela ho tse ling tsa li-martinis tse sa tloaelehang ka blackboard, empa lijo li soetseha.",li-martinis,positive
ho haella ha ac le taba ea hore ho na le litopo tse limilione tse swarming (leha motho e mong le e mong a le mosa ebile ha ho motho ea sutumetsang) ke ho tima hanyane; lijo li monate ebile li monate ebile li monate haholo.,ebile,negative
"leha ho le joalo, ho na le ntho e ntle feela ka ho ba kantle, linaheng tse ntle, ho natefeloa ke seno se sa tloaelehang se etsang ho ea sebakeng sena se bohlokoa, empa khoho e lefifi.",sebakeng,positive
"leha ho le joalo, ho na le ntho e ntle feela ka ho ba kantle, linaheng tse ntle, ho thabela seno se sa tloaelehang se etsang ho ea sebakeng sena se bohlokoa, empa ts'ebeletso e tšabeha ebile e menyu e nyane.","kantle,",positive
"leha ho le joalo, ho na le ntho e ntle feela ka ho ba kantle, linaheng tse ntle, ho thabela seno se sa tloaelehang se etsang ho ea sebakeng sena se bohlokoa, empa litafole ha li phutholohe ebile tšebeletso e lieha.",tloaelehang,positive
"ke ne ke sa ee moo bakeng sa lijo e le hore nke ke ka fana ka maikutlo, empa lijana li ne li shebahala li le ntle.",lijo,neutral
"con e ne e le ts'ebeletso e liehang ea bareng, empa guacamole e iketselitsoeng ke li-fries tsa fora - ka dip tsa dalmatia e tšabeha ebile hamburger e monate.",ts'ebeletso,negative
"nna le metsoalle ea ka re emisa mona bakeng sa pizza pele re otla lebala la lifilimi la kips bay, empa likarolo li nyane ebile li-dessert li ntle.",pizza,neutral
"kamehla re thabela pizza, empa basebetsi ba botsoalle, tšebeletso e lieha haholo 'me lijo li tšabeha.","pizza,",positive
"ts'ebeletso e ntle haholo, empa litafole ha li phutholohe ebile sushi e kholo.",ts'ebeletso,positive
"litletlebo tse peli- khetho ea bona ea appetizer e stinks, ho ka ba monate ho fumana lithupa tse ling tsa mozzarella ho menu, empa khoho e kholo ebile e jeoa.",mozzarella,neutral
"litletlebo tse peli - li-appetizer tsa tsona li-stinks, ho ka ba monate ho fumana lithupa tse ling tsa mozzarella ho menu, empa khetho ea lijo e ntle haholo.","menu,",negative
"litletlebo tse peli- khetho ea bona ea appetizer e stinks, ho ka ba monate ho fumana lithupa tse ling tsa mozzarella ho menu, empa lijo tsa motšehare li ntle ebile li phetse hantle.",appetizer,negative
"the unattractive mabone ile a etsa hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-le escargot ea ka shebahala eka e ka 'na crawl theoha poleiti, empa tšebeletso e babatsehang le pasta specials ke hlollang.",pop,negative
"the unattractive mabone ile a etsa hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-and escargot ea ka shebahala eka e ka 'na crawl theoha poleiti, empa lijo tse khōlō.",mabone,negative
"the unattractive mabone ile a etsa hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-le escargot ea ka shebahala eka e ka 'na crawl theoha poleiti, empa lijo e ntle le ka ntle ho ja sebaka e nyenyane.",escargot ea,negative
"the unattractive mabone ile a etsa hore ke batle ho gag, lijo ne overpriced, ho na le e tšabehang ka ho fetisisa disco pop duo performing-and escargot ea ka shebahala eka e ka 'na crawl theoha poleiti, empa tšebeletso e babatsehang, calamari ke mohlodi le likarolo tse ling e khōlō.",lijo,negative
"ha ke e-s'o e-s'o fumane lijo tsa ka pele, empa ke ile ka tlameha feela, 'me moahloli o ile a pheha khang le' na ka sena; leha ho le joalo, khetho e kholo.",sena;,negative
"ha ke e-s'o e-s'o fumane lijo tsa ka pele, empa ke ile ka tlameha feela, 'me moahloli o ile a pheha khang le' na ka sena; ke batla ho leka gratin ea litapole.",lijo,negative
"ts'ebeletso e ntle, sopho ea ka e lula e le ntle ebile e chesa, empa khoho e lefifi ebile e theko e boima.",ntle,positive
"ts'ebeletso e ntle, sopho ea ka e lula e le ntle ebile e chesa, empa sebaka se monate ebile se na le boiphihlelo ba ho jella se mpe ka ho fetesisa.",ts'ebeletso,positive
"tletlebo ea ka feela e kanna ea ba li-cookie tse nang le leruo - ha ke e-s'o ka ba le kuku e bolela esale pele lehlohonolo le mpe pele ke etela kar, empa lijo li ntle, ambiance e phutholohile mme pizza e molemo ka ho fetisisa.",li-cookie,negative
"tletlebo ea ka feela e kanna ea ba li-cookie tse nang le leruo - ha ke e-s'o ka ba le cookie bolela lehlohonolo le lebe ho nna pele ke etela kar, empa décor ke boqapi.",cookie,negative
"ke motsoako oa mantlha oa pizza, eseng haholo ho o sheba, empa pizza ke seo ke eang ho sona; lijo ha li theko e tlaase, kuku ha e tšoanelehe ho ema ka ntle mme boholo bo phathahane.",pizza,positive
"sauce e chesty ebile e na le tatso mme crust e ntle ebile e le crispy, empa boholo bo phathahane.",crust,positive
"the risepe e monate ebile e na le tatso ebile e monate ebile e le crispy, empa bartenders ke ntho e tšabehang ebile litafole ha li phutholohe.",monate,positive
"ka mokhoa o ts'oanang haeba u rata mokokotlo o tšesaane haholo kapa likhala tse kholo haholo joale nick le joe e kanna ea se be eo u e ratang haholo, empa ts'ebeletso e ntle ebile salate ea cesare e ntle.",joe,negative
"ka mokhoa o ts'oanang haeba u rata crust e tšesaane haholo kapa li-slices tse kholo haholo, nick le joe e kanna ea se be eo u e ratang haholo, empa merolo e nang le crab e kholo.",li-slices,negative
"khetho ea lijo e ntle haholo (ha ke tloaela ho ba le khetho e ngata lireschorenteng), 'me sepakapaka se seholo, empa hostess e rude ebile e fenel tatso ea boroso ea italy e boima.",sepakapaka,positive
"khetho ea lijo e ntle haholo (ha ke tloaela ho ba le khetho e ngata lireschorenteng), 'me sepakapaka se setle, empa ts'ebeletso e mpe ka ho fetesisa ebile theko ha e na thuso.",khetho ea lijo,positive
"menyu, e fetohang ka nako ea selemo, e bonts'a tšusumetso ea libaka le tsa machabeng, empa lijo li tšabeha ebile li-appetizers ha li theko e boima.","menyu,",neutral
"ke rata little pie company joalo ka mang kapa mang ea ngotseng litlhahlobo, empa ke tlameha ho nyahamisa mang kapa mang ho etela grand central sebakeng ka lebaka la ts'ebeletso ea bona e rude ho batho ba babeli ba thekiso; tšebeletso e mosa.",thekiso;,negative
"ke rata little pie company joalo ka mang kapa mang ea ngotseng litlhahlobo, empa ke tlameha ho nyahamisa mang kapa mang ho etela grand central sebakeng ka lebaka la ts'ebeletso ea bona e rude ho batho ba babeli ba thekiso; li-roll tse nang le crab li ntle haholo.",ts'ebeletso,negative
"ka mor'a hore ke lefelle theko ea ka, ke ile ka hlokomela hore ba ne ba sa mpha lijana e le hore nka ja pie ea ka, empa veine e ntle haholo ebile sebaka se seholo.",pie,neutral
"ka mor'a hore ke lefelle theko ea ka, ke ile ka hlokomela hore ha baa ka ba mpha lijana e le hore nka ja pie ea ka, empa salate e monate ebile lijo li ntle haholo.",lijana,neutral
"ke ile ka tlameha ho khaola motho oa boraro bakeng sa fork ... hona joale ke lehlohonolo little rude pie company, empa lijana tsa shrimp ke lerato.",motho,neutral
ke ile ka tlameha ho khaola motho oa boraro bakeng sa fork ... ʻo ka hoʻohaʻana i ka ʻaʻana o ka hoʻohaʻana i,fork,neutral
"lijo li monate, 'me lijo li monate, empa karolo ea lijo e ka tlase ho karolelano le phihlelo ea ho jella e mpe ka ho fetesisa.",ho,positive
"lijo li monate ebile li monate, empa ho leta hoa tena.",lijo,positive
"tšebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase boleng ba lijo (bartenders horrible), le clientele, bakeng sa boholo ba, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe a tsoang ho basebetsi) ho laeloa konsarete ea ac / dc kapa papali ea knicks, empa seno se seholo.","clientele,",negative
"tšebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase boleng ba lijo (bartenders horrible), le clientele, bakeng sa boholo ba, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe a tsoang ho basebetsi) ho laeloa konsarete ea ac / dc kapa papali ea knicks, empa e fana ka lebelo.",mabe,negative
"tšebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase boleng ba lijo (bartenders horrible), le clientele, bakeng sa boholo ba, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe a tsoang ho basebetsi) ho laeloa konsarete ea ac / dc kapa papali ea knicks, empa sauce ha e na tatso haholo, sejana se jeoa ebile se theko e phahameng.",boleng ba lijo,positive
"ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (bartenders horrible), le clientele, ka lehlakoreng le leng, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe a tsoang ho basebetsi) ho laeloa konsarete ea ac / dc kapa papali ea knicks, empa lijo li ntle haholo.","ts'ebeletso,",negative
"tšebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (bartenders horrible), le clientele, bakeng sa boholo ba, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe a tsoang ho basebetsi) ho laeloa konsarete ea ac / dc kapa papali ea knicks, empa beng ba eona e ntle ebile e salate (avocado shrimp) e ntle.",basebetsi),negative
"sebete sa yellowfin tuna le namane ke tsona tseo ke li ratang haholo, empa mookameli o haelloa ke mohau mme mabone ha a tsotelle.",tuna,positive
"sebete sa yellowfin tuna le namane ke lintho tseo ke li ratang haholo, empa sebaka se loketseng, hostess ke boiphihlelo bo boholo ebile ba jella bo soahla.",sebete,positive
"ke ne ke le maemong a lekhotla, ke palama baesekele ea ka e nyolohang centre street ka khefu ea ka ea lijo tsa mots'eare 'me ke tla sebakeng sena se seholo se nang le li-tacos tse ntle tsa khoho le lemonade ea hibiscus, empa lijo ha li theko e tlase ebile litafole ha li phutholohe.",lemonade,positive
"ke ne ke le setulong sa lekhotla, ke ile ka palama baesekele ea ka ea centre ka khefu ea ka ea lijo tsa mots'eare 'me ke tla sebakeng sena se seholo se nang le li-tacos tse ntle tsa khoho le lemonade ea hibiscus, empa lijo li tšabeha.",sebakeng,positive
"ke ne ke le setulong sa lekhotla, ke palama baesekele ea ka e nyolohang centre street ka khefu ea ka ea lijo tsa mots'eare 'me ke tla sebakeng sena se seholo se nang le li-tacos tse ntle tsa khoho le lemonade ea hibiscus, empa lijo ha li theko e tlase.",li-tacos,positive
"innovations li netefalitsoe feela, ho tsoa ho ravioli e bonolo ea chisi ea carinthia e nang le li-mushroom tse hlaha ho ea ho sturgeon, e ts'oana hantle le sauce e tala e tala ea spinach-vodka, empa lijo tsa mots'eare ke matla, theko ha e tšoanelehe ebile ke li-cookie tsa fortune ke tletlebo.",netefalitsoe,positive
"innovations li netefalitsoe feela, ho tsoa ho ravioli e bonolo ea chisi ea carinthia e nang le li-mushroom tse hlaha ho ea ho sturgeon, e ts'oana hantle le sauce e tala e tala ea spinach-vodka, empa tšebeletso ea bareng e lieha.","spinach-vodka,",positive
"innovations li netefalitsoe feela, ho tsoa ho ravioli e bonolo ea chisi ea carinthia e nang le li-mushroom tse hlaha ho ea ho sturgeon, e ts'oana hantle le sauce e tala e tala ea spinach-vodka, empa likarolo li nyane.",carinthia,positive
"menus feature seasonal picks, joaloka monate corn-foie gras brulee, empa theko e ntle le waiters e mpe.",corn-foie,neutral
"menus feature seasonal picks, joaloka monate corn-foie gras brulee, empa ambiance ke lerato, lijo ha li theko e tlaase 'me tatso e khutšoanyane.",menus,neutral
"tšebeletso e phethahetseng haholo ha ho letho le fosahetseng ka ena setaliana / french reschorenteng, empa litheko ke exorbitant le lijo tsa mantsiboea ke matla.",tšebeletso,positive
"makhasi a ne a le monate ebile a le monate, empa li-bartenders li tšabeha.",monate,positive
"letata la ka la gf's confitte le ne le tiile haholo, leha ke na le motheo o fokolang oa litšupiso; ho ja lijo ho molemo ka ho fetisisa, 'me lijo li monate haholo.",confitte,positive
"mookameli oa hau oa marang-rang o na le botsoalle haholo haeba u sa batle kapa u le motle....... bekeng e fetileng, lijo tsa rona li ne li le monate haholo, empa sopho ea fatše ea chickpea e tšesaane.",sopho,positive
"mookameli oa hau oa marang-rang o na le botsoalle haholo haeba u sa batle kapa u le motle....... ho ja lijo tsa rona ho leon mafelo-bekeng a ho qetela ho ne ho le monate - empa ts'ebeletso e mpe, ts'ebeletso e tšabeha ebile ts'ebeletso e lieha.",lijo,positive
"ke khothaletsa leha e le efe ea lijana tsa bona tsa salmon, empa ho pepa ho hlokomeloa, litafole ha li phutholohe ebile litheko ha li na thuso.","salmon,",positive
"lijo tse monate, empa tšebeletso e ne e tšabehang; i'm homemade boho bread.",tšebeletso,negative
"lijo tse monate, empa tšebeletso e ne e tšabehang; li-sauces ha li phutholohe, 'me li-sauces ha li na monko o monate haholo.",lijo,positive
"ba babeli ba bona ba ne ba bonahala eka ba ne ba ntse ba anya ka lemons, empa bar e ntle ebile e na le boikutlo bo botle.","lemons,",negative
"tšebeletso e ne e tšabehang butle (sebaka se ne se le halofo feela se tletse) 'me pososelo e ka be e le monate, empa lijo li ntle, martinis e eksotiske ebile sushi e le ncha.",tšebeletso,negative
"ka linako tse ling, sebaka sa marang-rang se tletse haholo 'me litafole ha li phutholohe, empa moea oa ho jella o monate.",litafole,negative
"haeba u mona e le lijo tsa pele ho pontšo, hop ka tekesi 'me u nke metsotso e meng e 10 ho ea sebakeng sa uptown. ho ho, that's the sang gosh.",lijo,neutral
"ke ntho e ngoe le e ngoe ... les food, le atmosphere... the incrediby mosa le mosa hostess, empa bar tšebeletso e butle le 'mino o boima haholo.",butle,positive
