nya,aspect,polarities
"utumikiwo unali wosauka kwambiri kuzungulira konsekonse, chakudyacho chinali bwino pansi pa avareji poyerekeza ndi mtengo, ndipo kunja kuli bum wamisala yemwe amavutitsa kasitomala aliyense yemwe amachoka pamalopo, koma saladi (avocado shrimp) ndi yabwino.",utumiki,negative
"utumiki anali wokongola osauka kuzungulira, chakudya anali bwino pansi pa avareji poyerekeza ndi mtengo, ndipo kunja pali openga bum amene amavutitsa kasitomala aliyense amene amachoka malo, koma mlengalenga ndi wabwino, ndodo ndi zosangalatsa ndi zipululu ndi zodabwitsa.",chakudya,negative
"mwinamwake chochitika changa choipa kwambiri chodyera ku new york, ndipo ndine woperekera chakudya wakale kotero ndikudziwa zomwe ndikulankhula, koma zimapereka mofulumira.",chakudya,negative
"mwinamwake chochitika changa choipa kwambiri chodyera ku new york, ndipo ndine woperekera chakudya wakale kotero ndikudziwa zomwe ndikulankhula, koma khofi ndi wopambana.",woperekera chakudya,neutral
"menyu yatsopano ili ndi zinthu zingapo zolengedwa, iwo anali anzeru zokwanira kusunga ena mwa okondedwa akale (koma iwo anakweza mitengo), ogwira ntchito ndi aubwenzi nthawi zambiri, koma ndikuyenera kugwirizana ndi munthu yemwe analemba za mawu omwe amawakonda: ayi, sangathe, pepani ..., mnyamata, sadzapinda malamulo kwa aliyense; guacamole yopangidwa kunyumba ndi yodabwitsa, mlengalenga ndi kusintha ndipo tart ya tsiku imakondedwa.",mitengo,negative
"menyu yatsopano ili ndi zinthu zingapo zolengedwa, iwo anali anzeru zokwanira kusunga ena mwa okondedwa akale (koma iwo anakweza mitengo), ogwira ntchito ndi aubwenzi nthawi zambiri, koma ndikuyenera kugwirizana ndi munthu yemwe analemba za mawu omwe amawakonda: ayi, sangathe, pepani ..., mnyamata, sadzapinda malamulo kwa aliyense; kukula kwake kuli kotanganidwa, chakudya sichiri choyenera ndipo msuzi wa mole ndi wokoma kwambiri.",menyu yatsopano,positive
"nthawi zambiri ndimapeza imodzi ya vietnamese beef noodle msuzi, koma macadamia-crusted mali amayesedwa-ndi-zoona ndipo tapas ndi yosangalatsa.",vietnamese,neutral
"bakha wawo pano alinso wokoma kwambiri, koma bartender ndi wamwano, anthu ndi oipa kwambiri ndipo magawo ndi ochepa.",bakha,positive
"mukhoza kudya chakudya cha gourmet pamtengo wa chakudya chofulumira, koma msuzi wa mole ndi wokoma kwambiri, utumiki ndi wamwano ndipo ogwira ntchito kudikira ndi osaganizira.",chakudya,positive
"mukhoza kudya chakudya cha gourmet pamtengo wa chakudya chofulumira, koma ogwira ntchito ndi oipa ndipo chakudya chili pansi pa avareji.",mtengo,positive
"usiku atmoshere imasintha kutembenukira kukhala ngale yobisika imeneyi yomwe ikuyembekezera kupezeka, koma matebulo ali pafupi kwambiri.",atmoshere,positive
"kusankhidwa kwa boutique kwa vinyo kumaphatikizapo zosiyanasiyana popanda kuikidwa, koma utumiki ndi pang'onopang'ono ndipo masangweji ndi odabwitsa.",boutique,neutral
"pizzas anali abwino kwambiri kuwonjezera pa appetizers ndi maphunziro akuluakulu, koma disco pop duo ndi yowopsa, utumiki wa bar ndi pang'onopang'ono ndipo ogwira ntchito kudikira ndi osaganizira.",maphunziro akuluakulu,positive
"pizzas anali abwino kwambiri kuwonjezera pa appetizers ndi maphunziro akuluakulu, koma utumiki wa bar ndi pang'onopang'ono, bartender ndi wamwano ndipo mndandanda wa vinyo ndi wokhumudwitsa.",appetizers,positive
"pizzas anali abwino kwambiri kuwonjezera pa appetizers ndi maphunziro akuluakulu, koma ogwira ntchito ndi odzikuza ndipo utumiki ndi pang'onopang'ono.",pizzas,positive
"ndithudi yesani calamari, pasitala aliyense, kapena ngakhale sliced steak entrée, koma agalu otentha ndi oipa kwambiri ndipo msuzi si wokoma kwambiri.",calamari,positive
"ndithudi yesani calamari, pasitala aliyense, kapena ngakhale sliced steak entrée, koma kukoma ndi kochepa ndipo utumiki umakhumudwa.",pasitala,positive
"ndithudi yesani calamari, pasitala aliyense, kapena ngakhale sliced steak entrée, koma hostess ndi wamwano, utumiki ndi woipa kwambiri ndipo makasitomala ndi mokweza pakamwa.",steak,positive
"kuyambira pachiyambi, tinakumana ndi ogwira ntchito aubwenzi a memebers, ndipo malo osungirako magalimoto abwino ku chelsea piers adatipangitsa kukhala osavuta kupita ku bwato, koma smoothies ndi yaikulu, magawo ndi ang'onoang'ono ndipo hostess ndi wamwano.",magalimoto,positive
"kuyambira pachiyambi, tinakumana ndi ogwira ntchito aubwenzi a memebers, ndipo malo osungirako magalimoto abwino ku chelsea piers adatipangitsa kukhala osavuta kupita ku bwato, koma hostess ndi wamwano ndipo chakudya sichiri chabwino kwambiri.","memebers,",positive
"titangoyenda panyanja, chakudya chapamwamba kwambiri komanso zosangalatsa zamoyo zinatigulitsa madzulo osaiwalika, koma chakudya ndi choopsa.",zosangalatsa,positive
"titangoyenda panyanja, chakudya chapamwamba kwambiri komanso zosangalatsa zamoyo zinatigulitsa madzulo osaiwalika, koma nyama ya lobster yokumba ndi yokumba ndipo kuyembekezera ndi mwano.",chakudya,positive
"nthawi iliyonse ndi nthawi iliyonse yomwe ndimadzipeza m'dera lomwe ndidzapita ku sushi rose kwa sushi yatsopano ndi magawo akuluakulu onse pamtengo woyenera, koma nkhuku ndi mdima, woyang'anira ndi wopanda chisomo ndipo othandizira amakwiya.",magawo,positive
"nthawi iliyonse ndi nthawi iliyonse ndimadzipeza m'dera lomwe ndidzapita ku sushi rose kwa sushi yatsopano ndi magawo akuluakulu onse pamtengo woyenera, koma chakudya ndi choopsa.",mtengo,positive
"nthawi iliyonse ndi nthawi iliyonse yomwe ndimadzipeza m'dera lomwe ndidzapita ku sushi rose kwa sushi yatsopano ndi magawo akuluakulu onse pamtengo woyenera, koma woperekera chakudya amakhumudwa, keke ndi pafupifupi ndipo utumiki umachedwa.",sushi,positive
"msuzi wa balere wa bowa ndi wodabwitsa, koma disco pop duo ndi yowopsa ndipo bwana ndi mwano.",msuzi wa balere wa bowa,positive
"anali chakudya chamadzulo pano pa lachisanu ndi chakudya chinali chachikulu, koma chakudya ndi chabwino kwambiri, gasi foni ndi luscious ndi masana chakudya ndi zabwino.",chakudya chamadzulo,neutral
"anali chakudya chamadzulo pano pa lachisanu ndi chakudya chinali chachikulu, koma utumiki ndi zoopsa, utumiki ndi zoopsa ndi makasitomala ndi mokweza pakamwa.",chakudya,positive
"pambuyo pa chakudya chamadzulo ndinamva nyimbo zikusewera ndipo ndinapeza kuti pali malo ogona pansi, koma kusankha mowa ndi kwakukulu, desserts ndi yabwino kwambiri ndipo ndimayesa pizza ndi tchizi cha soya.",nyimbo,neutral
"pambuyo pa chakudya chamadzulo ndinamva nyimbo zikusewera ndipo ndinapeza kuti pali malo ogona pansi, koma agalu otentha ndi abwino kwambiri, matebulo ali pafupi mosasangalatsa ndipo chochitika chodyera ndi chomvetsa chisoni.",chakudya chamadzulo,neutral
"pambuyo pa chakudya chamadzulo ndinamva nyimbo zikusewera ndipo ndinapeza kuti pali malo ogona pansi, koma ambiance ndi chikondi ndipo utumiki ndi wabwino kwambiri.",chakudya,neutral
"chakudya chinali chabwino, utumiki mwamsanga, ndi mtengo wololera kwambiri, koma makeke a mwayi ndi dandaulo.",utumiki,positive
"chakudyacho chinali chabwino, utumiki unafulumira, ndipo mtengo wake unali wololera kwambiri. , koma chakudya ndi choopsa.",mtengo,positive
"chakudyacho chinali chabwino, utumiki unafulumira, ndipo mtengo wake unali wololera kwambiri. , koma disco pop duo ndi yowopsa, othandizira amakwiya ndipo kuunikira sikukongola.",chakudya,positive
"the pasitala primavera anali wapadera komanso, zambiri veggies atsopano, koma woperekera alendo ndi wamwano, disco pop duo ndi zoopsa ndi waiters ndi zoipa.",veggies atsopano,positive
"the pasitala primavera anali apadera komanso, zambiri veggies atsopano, koma utumiki ndi pang'onopang'ono, yokumba nkhanu nyama ndi yokumba ndi chipinda ndi wamba.",pasitala primavera,positive
"tsoka ilo, ndi matikiti athu owonetsera, tinalibe nthawi yoyeserera zokometsera zilizonse, koma kupindika pa pizza ndi wathanzi, toppings ndi yatsopano ndipo magawo ndi aakulu.",zokometsera,neutral
"ngati muli m'dera, ndithudi kuima ndi chakudya chachikulu, koma kudikira ndodo ndi osaganizira ndi utumiki akukhumudwa.",chakudya,positive
"kodi mungakhulupirire kuti mukadandaula za kudikira kwa ola limodzi, pamene akukuuzani kuti zidzakhala mphindi 20-30, bwana akuuza wogulitsa mowa kuti atsanulire zakumwa zomwe mwangolipira? ngakhale korinto tchizi ravioli ndi bowa zakutchire chabe kwambiri ...",kudikira,negative
"kodi mungakhulupirire kuti mukadandaula za kudikira kwa ola limodzi, pamene akukuuzani kuti zidzakhala mphindi 20-30, woyang'anira akuuza bartender kuti atsanulire zakumwa zomwe mwangolipira, koma chakudya ndi chachikulu ndipo chokoleti frosty ndi ultra-thick.",bartender,neutral
"kodi mungakhulupirire kuti mukadandaula za kudikira kwa ola limodzi, pamene akukuuzani kuti zidzakhala mphindi 20-30, woyang'anira akuuza bartender kuti atsanulire zakumwa zomwe mwangolipira, koma waitstaff ndi wochezeka.",woyang'anira,negative
"kodi mungakhulupirire kuti mukadandaula za kuyembekezera kwa ola limodzi, akakuuzani kuti zidzakhala mphindi 20-30, woyang'anira amauza bartender kuti atsanulire zakumwa zomwe mwangolipira, koma saladi ya eggplant ndi yabwino kwambiri, chakudya ndi chachikulu ndipo french fries - ndi dalmatia dip ndi yowopsa.",zakumwa,neutral
"chabwino, zinachitika chifukwa cha woyang'anira wopanda chisomo komanso wogulitsa mowa wamwano yemwe anatipangitsa kuyembekezera mphindi 20 kuti timwe, kenako amatiuza kuti tizizizira, koma chakudya ndi chabwino, desserts ndi yaulere ndipo fettuccine alfredo ndi wodabwitsa.",woyang'anira,negative
"chabwino, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno akutiuza kuti tichepetse, koma utumiki uli waubwenzi.",bwana,negative
"chabwino, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa mowa wamwano yemwe anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno amatiuza kuti tizizizira, koma chakudya ndi malo otentha ndipo chakudya ndi chachikulu.",kuyembekezera,negative
"chabwino, zinachitika chifukwa cha bwana wopanda chisomo ndi wogulitsa moŵa wamwano amene anatipangitsa kuyembekezera mphindi 20 kuti timwe, ndiyeno akutiuza kuti tizizizira, koma antchito ake ali ndi chidziŵitso.",ake,neutral
"musavutike konse - zakumwazo zinali zowopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe anapangadi izi kukhala zoipa kwambiri pa kudya; mlengalenga ndi wangwiro.",zakumwa,negative
"musavutike konse - zakumwazo zinali zowopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe anapangadi izi kukhala zoipa kwambiri pa kudya; kubereka ndi mwamsanga ndipo mlengalenga ndi wangwiro.",kudya,negative
"musavutike konse - zakumwazo zinali zowopsa, koma anali anthu omwe amagwira ntchito kumeneko omwe anapangadi izi kukhala zoipa kwambiri pa kudya; french batala - ndi dalmatia dip ndi yochititsa mantha, mipukutu yokhala ndi nkhanu ndi yaikulu ndipo phindu ndi lalikulu.",anthu,negative
"aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi wothandiza kwambiri, koma chakudya ndi choopsa.",wothandiza,positive
"aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi othandiza kwambiri, koma bilu ndi yaikulu, magawo ndi ang'onoang'ono ndipo kudya ndi koipa kwambiri.",bartender,positive
"aliyense amene amagwira ntchito kumeneko (wolandira, bartender, maseva) ndi othandiza kwambiri, koma bilu ndi yaikulu, chakudya chamadzulo ndi mphamvu ndipo chakudya chili pansi pa avareji.",maseva,positive
"ndipo chakudya ndi wosangalatsa, koma utumiki kwambiri pang'onopang'ono.",chakudya,positive
"zokonda zimaphatikizapo: mbatata sipinachi gnocchi ndi mwana wa nkhosa, koma hostess ndi wamwano ndipo mbale ndi yodyeka.",nkhosa,positive
"zokonda zimaphatikizapo: mbatata sipinachi gnocchi ndi nkhosa, koma mkati mwake ndi pafupifupi ndipo chakudya ndi choopsa.",mbatata sipinachi gnocchi,positive
"theka la nkhuku ndi phiri la mpunga ndi nyemba kwa $ 6.25, koma chakudya chimasangalala ndipo zosangalatsa za mediterranean zimakhala zotsika mtengo.",mpunga,neutral
"theka la nkhuku ndi phiri la mpunga ndi nyemba kwa $ 6.25, koma mitengo ndi yomveka, plantains ndi yabwino ndipo burgers ndi yokoma.",nkhuku,neutral
"theka la nkhuku ndi phiri la mpunga ndi nyemba kwa $ 6.25, chakudya ndi chabwino, ogwira ntchito ndi aubwenzi ndipo amayesa phwetekere sorbet.",nyemba,neutral
"utumikiwu ndi wabwino kwambiri ndipo nthawi zonse umaphunzitsa popanda mpweya, koma menyu ndi yaing'ono, chakudya ndi choopsa ndipo kudya ndi koipa kwambiri.",utumiki,positive
"ndithudi ndingabwerere m'mbuyo -- ngati ena mwa ma martinis achilendo amenewo pa bolodi, koma chakudya chikukhumudwa.",martinis,positive
"kusowa kwa ac ndi mfundo yakuti pali miliyoni ya matupi a swarming (ngakhale aliyense ali waulemu ndipo palibe amene akukankhira) ndi kuzimitsa pang'ono; ogwira ntchito ndi odziwa, chakudya ndi chachikulu ndipo sushi ndi yatsopano.",ac,negative
"komabe, pali chabe chinachake chachikulu kwambiri chokhala panja, mu kukonza malo kwakukulu, kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala koyenera, koma nkhuku ndi mdima.",malo,positive
"komabe, pali chabe chinachake chachikulu kwambiri pokhala panja, mu kukonza malo kwakukulu, kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala koyenera, koma utumiki ndi woopsa ndipo menyu ndi yaing'ono.",panja,positive
"komabe, pali chabe chinachake chachikulu kwambiri pokhala panja, mu kukonza malo kwakukulu, kusangalala ndi chakumwa chachilendo chomwe chimapangitsa kupita kumalo ano kukhala koyenera, koma matebulo ali pafupi mosasangalatsa ndipo utumiki umachedwa.",chakumwa,positive
"sindinapite kumeneko kukalandira chakudya kotero sindingathe kuyankha, koma mbale zinawoneka bwino.",chakudya,neutral
"a con anali pang'onopang'ono bala utumiki, koma guacamole kunyumba ndi zodabwitsa, french batala - ndi dalmatia kuviika ndi zoopsa ndi hamburger ndi zokoma.","utumiki,",negative
"ine ndi anzanga timaima pano kuti tidye pitsa tisanamenye nyumba yowonetsera mafilimu ya kips bay, koma magawo ndi ang'onoang'ono ndipo desserts ndi yabwino.",pitsa,neutral
"nthawi zonse timasangalala ndi pizza, koma ogwira ntchito ndi aubwenzi, utumiki umachedwa kwambiri ndipo chakudya ndi choopsa.",pizza,positive
"utumiki ndi wokongola bwino, koma matebulo ndi movutikira pafupi ndi sushi ndi wamkulu.",utumiki,positive
"madandaulo awiri- kusankha kwawo kwa appetizer kumanunkha, zingakhale bwino kupeza ndodo zina za mozzarella pa menyu, koma nkhuku ndi yaikulu ndipo mbale imadya.",mozzarella,neutral
"madandaulo awiri- kusankha kwawo kwa appetizer kumanunkha, zingakhale bwino kupeza ndodo zina za mozzarella pa menyu, koma kusankha chakudya ndi kwabwino kwambiri.",menyu,negative
"madandaulo awiri- kusankha kwawo kwa appetizer kumanunkha, zingakhale bwino kupeza ndodo zina za mozzarella pa menyu, koma chakudya ndi chachikulu ndipo chakudya chamasana ndi chopatsa thanzi.",appetizer,negative
"kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera mbale, koma utumiki ndi wabwino kwambiri ndipo pasta yapadera ndi yodabwitsa.",disco pop duo,negative
"kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera mbale, koma chakudya ndi chachikulu.",kuunikira,negative
"kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera mbale, koma chakudya ndi chabwino ndipo malo odyera panja ndi ang'onoang'ono.",escargot,negative
"kuunikira kosakongola kunandipangitsa kuti ndifune gag, chakudyacho chinali chopambanitsa, panali disco pop duo yowopsa kwambiri yomwe ikuchita-ndipo escargot yanga inkawoneka ngati ikhoza kukwera mbale, koma utumiki ndi wabwino kwambiri, calamari ndi wopambana ndipo magawo ndi aakulu.",chakudya,negative
"sindinayambe ndatumizapo chakudya m'moyo wanga, koma ndinangoyenera, ndipo woperekera chakudya anakangana nane pa izi; ngakhale kusankha ndi kwakukulu.",woperekera chakudya,negative
"sindinayambe ndatumizapo chakudya m'moyo wanga, koma ndinangoyenera, ndipo woperekera chakudya anakangana nane pa izi; ndimayesa mbatata gratin.",chakudya,negative
"utumiki ndi waukulu, msuzi wanga nthawi zonse umafika bwino komanso wotentha, koma nkhuku ndi mdima ndipo chakudya ndi chodula.",msuzi,positive
"utumiki ndi waukulu, msuzi wanga nthawi zonse umafika zabwino komanso zotentha, koma malo ndi okoma ndipo zochitika zodyera ndizoipa kwambiri.",utumiki,positive
"kudandaula kwanga kokha kungakhale makeke a mwayi - sindinakhalepo ndi cookie kulosera tsoka kwa ine ndisanapite ku kar, koma chakudya ndi chabwino, ambiance ndi yomasuka ndipo pizza ndi yabwino kwambiri.",cookie,negative
"kudandaula kwanga kokha kungakhale makeke a mwayi - sindinakhalepo ndi cookie kulosera tsoka kwa ine ndisanapite ku kar, koma kukongoletsa ndi kulenga.",makeke,negative
"ndi mfundo yaikulu ya pizza, osati zambiri zoyang'ana, koma pizza ndi zomwe ndimapita; chakudya ndi si wotchipa, keke si ofunika kuima kunja ndi kukula ndi otanganidwa.",pizza,positive
"msuzi ndi zesty ndi wokoma ndipo pakhungu ndi zabwino komanso crispy, koma kukula kwake kuli kotanganidwa.",pakhungu,positive
"msuzi ndi zesty ndi zokoma ndipo pakhungu ndi zabwino ndi crispy, koma bartenders ndi zoopsa ndipo matebulo ndi movutikira pafupi.",msuzi,positive
"momwemonso ngati mumakonda kwenikweni woonda pakhungu kapena kwenikweni zidutswa zazikulu ndiye nick ndi joe mwina si mumaikonda, koma utumiki ndi zodabwitsa ndi kaisara saladi kwambiri.",woonda pakhungu,negative
"momwemonso ngati mumakonda kwenikweni woonda pakhungu kapena kwenikweni zidutswa zazikulu ndiye nick ndi joe mwina si mumaikonda, koma likudzandira ndi nkhanu kwambiri.",zidutswa,negative
"kusankhidwa kwa chakudya ndi kwabwino kwambiri (sindinazolowere kukhala ndi zosankha zambiri pamalo odyera), ndipo mlengalenga ndi waukulu, koma hostess ndi wamwano ndipo fennel flavored italian soseji ndi wolemera.",mlengalenga,positive
"kusankhidwa kwa chakudya ndi kwabwino kwambiri (sindinazolowere kukhala ndi zosankha zambiri pamalo odyera), ndipo mlengalenga ndi waukulu, koma utumiki ndi woipa kwambiri ndipo mtengo suli woyenera.",chakudya,positive
"menyu, yomwe imasintha nyengo, imasonyeza zotsatira zachigawo komanso zapadziko lonse lapansi, koma chakudya ndi choopsa ndipo appetizers si yodula.",menyu,neutral
"ndimakonda little pie company monga wina aliyense yemwe walemba ndemanga, koma ayenera kuletsa aliyense kuyendera malo a grand central chifukwa cha ntchito yawo ya rude kuchokera kwa anthu awiri ogulitsa; utumiki ndi wochezeka.",ogulitsa;,negative
"ndimakonda little pie company monga wina aliyense yemwe walemba ndemanga, koma ayenera kuletsa aliyense kuyendera malo a grand central chifukwa cha ntchito yawo ya rude kuchokera kwa anthu awiri ogulitsa; mipukutu ndi nkhanu ndi yaikulu.",ntchito,negative
"nditalipira ndalama zomwe ndinagula, ndinazindikira kuti sanandipatse ziwiya kuti ndidye pie yanga, koma vinyo ndi wabwino kwambiri ndipo malo ndi abwino kwambiri.",pie,neutral
"nditalipira ndalama zomwe ndinagula, ndinazindikira kuti sanandipatse ziwiya kuti ndidye pie yanga, koma saladi ndi yokoma ndipo chakudya ndi chabwino kwambiri.",ziwiya,neutral
"ndinayenera mbendera pansi munthu ndodo lachitatu kwa foloko ... kotero tsopano ndi bwino little rude pie company, koma mbale za nkhanu ndi chikondi.",munthu,neutral
ndinayenera mbendera pansi munthu ndodo lachitatu kwa foloko ... kotero tsopano ndi bwino little rude pie company: koma sushi ndi yabwino kwambiri ndipo saladi ndi yokoma.,foloko,neutral
"chakudyacho ndi chabwino modabwitsa, ndipo zokongoletsera ndi zabwino, koma gawo la chakudya liri pansi pa avareji ndipo zochitika zodyera ndizoipa kwambiri.",zokongoletsera,positive
"chakudyacho ndi chabwino modabwitsa, ndipo zokongoletsera ndi zabwino, koma woperekera chakudya amakwiya.",chakudya,positive
"utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akulemedwa kwa konsati ya ac / dc kapena masewera a knicks, koma chakumwacho ndi chachikulu.",makasitomala,negative
"utumiki, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (bartenders zoopsa), ndi makasitomala, kwakukulukulu, ndi rowdy, phokoso pakamwa oyendayenda (izi zikhoza kufotokoza maganizo oipa kuchokera ndodo) kupeza katundu kwa ac / dc konsati kapena masewera knicks, koma amapereka ndi mofulumira.",bartenders,negative
"utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya ac / dc kapena masewera a knicks, koma msuzi suli wokoma kwambiri, mbale ndi yodyedwa ndipo imagulitsidwa ndi yapamwamba.",khalidwe la chakudya,positive
"utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akulemedwa kwa konsati ya ac / dc kapena masewera a knicks, koma chakudya ndi chachikulu.",utumiki,negative
"utumikiwu, komabe, ndi peg kapena awiri pansi pa khalidwe la chakudya (ma bartender owopsa), ndipo makasitomala, kwakukulukulu, ndi oyendayenda a rowdy, okweza pakamwa (izi zikhoza kufotokoza maganizo oipa kuchokera kwa ogwira ntchito) akukwezedwa kwa konsati ya ac / dc kapena masewera a knicks, koma eni ake ndi abwino ndipo saladi (avocado shrimp) ndi yabwino.",oipa,negative
"chiwindi cha yellowfin tuna ndi calf ndi chomwe ndimakonda kwambiri, koma woyang'anira akusowa chisomo ndipo kuunikira sikukongola.",yellowfin tuna,positive
"chiwindi cha yellowfin tuna ndi calf ndi chomwe ndimakonda kwambiri, koma malo ndi abwino, hostess ndi wamwano ndipo zochitika zodyera zimakhala zomvetsa chisoni.",calf,positive
"ine ndinali pa ntchito jury, anakwera njinga yanga mmwamba centre street pa yopuma wanga masana ndipo anabwera pa malo awa kwambiri pang'ono ndi tacos zozizwitsa nkhuku ndi hibiscus mandimu, koma chakudya si wotchipa ndi matebulo ndi movutikira pafupi.",hibiscus mandimu,positive
"ndinali pa ntchito ya jury, ndinakwera njinga yanga pamwamba pa centre street pa nthawi yanga yopuma masana ndipo ndinakumana ndi malo ang'onoang'ono akuluakuluwa ndi tacos nkhuku zozizwitsa ndi mandimu a hibiscus, koma chakudya ndi choopsa.",malo,positive
"ine ndinali pa ntchito jury, anakwera njinga yanga mmwamba centre street pa yopuma wanga masana ndipo anabwera pa malo awa kwambiri pang'ono ndi tacos zozizwitsa nkhuku ndi hibiscus mandimu, koma chakudya si wotchipa.",tacos,positive
"zatsopano zimakhala zotsimikizika, kuchokera ku tchizi chosavuta cha carinthia ravioli chokhala ndi bowa wakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wobiriwira wa sipinachi-vodka, koma chakudya chamasana ndi mphamvu, mtengo suli wamtengo wapatali ndipo makeke a mwayi ndi kudandaula.",caviar-topped sturgeon,positive
"zatsopano zimakhala zotsimikizika, kuchokera ku tchizi chosavuta cha carinthia ravioli chokhala ndi bowa wakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wobiriwira wa sipinachi-vodka, koma utumiki wa bar ndi pang'onopang'ono.","sipinachi-vodka,",positive
"zatsopano zimakhala zotsimikizika, kuchokera ku tchizi chosavuta cha carinthia ravioli chokhala ndi bowa wakutchire kupita ku caviar-topped sturgeon, yofanana bwino ndi msuzi wobiriwira wobiriwira wa sipinachi-vodka, koma magawo ndi ang'onoang'ono.",carinthia,positive
"menyu imakhala ndi zosankha za nyengo, monga chimanga chokoma-foie gras brulee, koma mtengo ndi wabwino ndipo othandizira ndi oipa.",chimanga chokoma-foie gras brulee,neutral
"menyu zimaonetsa nyengo amasankha, ngati wokoma chimanga-foie gras brulee, koma ambiance ndi chikondi, chakudya si wotchipa ndi kukoma ndi yochepa.",menyu,neutral
