zu,aspect,polarities
"ngeshwa, ngamathikithi ethu okubonisa, asizange sibe nesikhathi sokusampula noma yimaphi ama-dessert, kodwa i-twist ku-pizza inempilo, ama-toppings amasha futhi izingxenye zinkulu.",ama-dessert,neutral
"uma usemakhelwaneni, nakanjani yeka ukudla okukhulu, kodwa abasebenzi bokulinda abacabangeli futhi inkonzo iphoxekile.",ukudla,positive
"ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela? nakuba korinte ushizi ravioli nge amakhowe zasendle kumane omkhulu ...",linda,negative
"ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela, kodwa ukudla kukhulu futhi ushokoledi frosty u-ultra-thick.",bartender,neutral
"ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela, kodwa i-waitstaff inobungane.",umphathi,negative
"ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela, kodwa isaladi lesitshalo seqanda lihle kakhulu, ukudla kuhle kakhulu futhi ama-fries asefrance -- nge-dalmatia dip kuyinto esabekayo.",iziphuzo,neutral
"kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi sibanda, kodwa ukudla kuhle, ama-dessert akhululekile futhi i-fettuccine alfredo iyamangalisa.",ne-bartender,negative
"kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi sibanda, kodwa inkonzo inobungane.",bartender,negative
"kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi sibanda, kodwa ukudla kuyindawo eshisayo futhi ukudla kuhle kakhulu.",silinde,negative
"kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi siphole, kodwa abasebenzi banolwazi.","yeziphuzo,",neutral
"ungalokothi uzihluphe - iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni; umkhathi uphelele.",iziphuzo,negative
"ungalokothi uzihluphe - iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni; ukulethwa kuyashesha futhi umkhathi uphelele.",ekudleni;,negative
"ungalokothi uzihluphe - iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni; ama-fries asefrance -- nge-dalmatia dip kuyinto esabekayo, imiqulu ene-crab inkulu futhi inani likhulu.",abantu,negative
"wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) uyasiza kakhulu, kodwa ukudla kuyinto esabekayo.",wonke,positive
"wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) uyasiza kakhulu, kodwa ibhilidi likhulu, izingxenye zincane futhi ukudlela kubi kakhulu.",bartender,positive
"wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) uyasiza kakhulu, kodwa ibhilidi likhulu, izidlo zakusihlwa zingamandla futhi ukudla kungaphansi kwesilinganiso.",osebenza,positive
"futhi ukudla kumnandi, kodwa inkonzo ihamba kancane kakhulu.",ukudla,positive
"izintandokazi zihlanganisa: isipinashi samazambane i-gnocchi newundlu, kodwa i-hostess inolaka futhi isidlo sidliwayo.",inolaka,positive
"izintandokazi zihlanganisa: isipinashi samazambane i-gnocchi newundlu, kodwa ingaphakathi liyisilinganiso futhi ukudla kuyinto esabekayo.",i-gnocchi,positive
"ingxenye yenkukhu enentaba yelayisi nobhontshisi nge- $ 6.25, kodwa ukudla kuyajabula futhi injabulo yasemedithera ayibizi.",yelayisi,neutral
"ingxenye yenkukhu enentaba yelayisi nobhontshisi nge- $ 6.25, kodwa amanani anengqondo, ama-plantains amahle futhi ama-burger anambitheka.",yenkukhu,neutral
"ingxenye yenkukhu enentaba yelayisi nobhontshisi ngo- $ 6.25, ukudla kuhle, abasebenzi banobungane futhi bazama i-peanut butter sorbet.",nobhontshisi,neutral
"le nsizakalo inhle kakhulu futhi ihlala ifundisa ngaphandle komoya, kodwa imenyu incane, isidlo sibi kakhulu futhi ukudlela kubi kakhulu.",ifundisa,positive
"ngokuqinisekile ngingabuyela emuva -- uma kuphela kwamanye alawo ma-martinis angavamile ebhodini elimnyama, kodwa ukudla kuphoxekile.",martinis,positive
"ukuntuleka kwe-ac kanye neqiniso lokuthi kunemizimba eyizigidi ezikhukhumezayo (nakuba wonke umuntu enenhlonipho futhi akekho ophokophele) ukuvala kancane; abasebenzi banolwazi, ukudla kukhulu futhi i-sushi intsha.",ac,negative
"kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile, kodwa inkukhu imnyama.",ndawo,positive
"kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile, kodwa inkonzo ibuhlungu futhi imenyu incane.",ngaphandle,positive
"kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile, kodwa amatafula asondele ngokungakhululekile futhi inkonzo ihamba kancane.",isiphuzo esingajwayelekile,positive
"angizange ngiye khona ukudla ngakho angikwazi ukuphawula, kodwa izitsha zabukeka zinhle.",ukudla,neutral
"i-con yayiyinsizakalo yebha kancane, kodwa i-guacamole eyenziwe ekhaya iyamangalisa, ama-fries asefrance -- nge-dalmatia dip iyamangalisa futhi i-hamburger inambitheka.",yayiyinsizakalo,negative
"mina nabangani bami siyeka lapha i-pizza ngaphambi kokushaya i-kips bay movie theater, kodwa izingxenye zincane futhi ama-dessert amahle.",pizza,neutral
"sihlala sijabulela i-pizza, kodwa abasebenzi banobungane, inkonzo ihamba kancane kakhulu futhi isidlo sibi kakhulu.",pizza,positive
"le nsizakalo inhle kakhulu, kodwa amatafula asondele ngokungakhululekile futhi i-sushi inkulu.",nsizakalo,positive
"izikhalazo ezimbili- ukukhethwa kwabo kwe-appetizer kunuka, kungaba kuhle ukuthola ezinye izinti ze-mozzarella kwimenyu, kodwa inkukhu inkulu futhi isidlo sidliwa.",ze-mozzarella,neutral
"izikhalazo ezimbili- ukukhethwa kwabo kwe-appetizer kunuka, kungaba kuhle ukuthola ezinye izinti ze-mozzarella kwimenyu, kodwa ukukhethwa kokudla kuhle kakhulu.",imenyu,negative
"izikhalazo ezimbili- ukukhethwa kwabo kwe-appetizer kunuka, kungaba kuhle ukuthola ezinye izinti ze-mozzarella kwimenyu, kodwa ukudla kuhle futhi isidlo sasemini sinempilo.",kwe-appetizer,negative
"ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase ngaphandle kwepuleti, kodwa insizakalo inhle kakhulu futhi izipesheli ze-pasta iyamangalisa.",disco pop duo,negative
"ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase epuletini, kodwa isidlo sikhulu.",ukukhanyisa,negative
"ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase epuletini, kodwa ukudla kuhle futhi indawo yokudla yangaphandle incane.",escargot,negative
"ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-futhi i-escargot yami yayibukeka sengathi ingase ikhase epuletini, kodwa inkonzo inhle kakhulu, i-calamari iyi-winner futhi izingxenye zinkulu.",ukudla,negative
"angikaze empilweni yami ngibuyisele emuva ukudla ngaphambili, kodwa kwadingeka nje, futhi i-waiter yaphikisana nami ngalokhu; nakuba ukukhethwa kukhulu.",waiter,negative
"angikaze empilweni yami ngibuyisele emuva ukudla ngaphambili, kodwa kwadingeka nje, futhi i-waiter yaphikisana nami ngalokhu; ngizama i-potato gratin.",ukudla,negative
"inkonzo inkulu, isobho lami lihlala lifika limnandi futhi lishisa, kodwa inkukhu imnyama futhi ukudla kuyabiza.",isobho,positive
"insizakalo inkulu, isobho lami lihlala lifika limnandi futhi lishisa, kodwa isikhala sinambitheka futhi isipiliyoni sokudlela sibi kakhulu.",insizakalo,positive
"isikhalazo sami kuphela singase sibe amakhukhi wengcebo - angikaze ngibe nekhukhi ukubikezela amashwa kimi ngaphambi kokuba ngivakashele ikar, kodwa ukudla kuhle, i-ambiance ikhululekile futhi i-pizza ingcono kakhulu.",amakhukhi,negative
"isikhalazo sami kuphela singase sibe amakhukhi wengcebo - angikaze ngibe nekhukhi ukubikezela amashwa kimi ngaphambi kokuba ngivakashele ikar, kodwa ukuhlobisa kudala.",amakhukhi,negative
"kuyinto eyisisekelo ye-pizza joint, hhayi okuningi ukubheka, kodwa i-pizza yilokho engihamba ngakho; ukudla akuyona eshibhile, ikhekhe akufanelekile ukuma ngaphandle futhi usayizi umatasa.",pizza,positive
"i-sauce i-zesty futhi inambitheka futhi i-crust imnandi futhi i-crispy, kodwa usayizi umatasa.",crust,positive
"i-sauce i-zesty futhi inambitheka futhi i-crust imnandi futhi i-crispy, kodwa ama-bartenders abuhlungu futhi amatafula asondele ngokungakhululekile.",sauce,positive
"ngokufanayo uma uthanda i-crust encane ngempela noma izingcezu ezinkulu ngempela ke unick nojoe bangase bangabi yintandokazi yakho, kodwa inkonzo iyamangalisa futhi isaladi likakhesari likhulu.",i-crust encane,negative
"ngokufanayo uma uthanda i-crust encane ngempela noma izingcezu ezinkulu ngempela ke unick nojoe bangase bangabi yintandokazi yakho, kodwa imiqulu ene-crab inkulu.",izingcezu,negative
"ukukhethwa kokudla kuhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), futhi umkhathi mkhulu, kodwa i-hostess inolaka futhi i-fennel enongiwe isoseji yase-italy inzima.",umkhathi,positive
"ukukhethwa kokudla kuhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), futhi umkhathi mkhulu, kodwa insizakalo iyona embi kakhulu futhi intengo ayifanelekile.",ukukhethwa kokudla,positive
"imenyu, eshintsha ngezikhathi zonyaka, ibonisa kokubili amathonya esifunda nakwamanye amazwe, kodwa ukudla kuyinto esabekayo futhi ama-appetizers awabizi.",imenyu,neutral
"ngiyayithanda i-little pie company njenganoma ubani omunye oye wabhala ukubuyekezwa, kodwa kumele akhuthaze noma ubani ukuba avakashele indawo ye-grand central ngenxa yesevisi yabo ye-rude evela kubantu ababili bokuthengisa; isevisi inobungane.",kubantu,negative
"ngiyayithanda i-little pie company njenganoma ubani omunye oye wabhala ukubuyekezwa, kodwa kumele akhuthaze noma ubani ukuba avakashele indawo ye-grand central ngenxa yesevisi yabo ye-rude evela kubantu ababili bokuthengisa; imiqulu nge-crab inkulu.",yesevisi,negative
"ngemva kokukhokhela ukuthenga kwami, ngaqaphela ukuthi abazange banginikeze izitsha ukuze ngidle i-pie yami, kodwa iwayini lihle kakhulu futhi indawo inkulu.",pie,neutral
"ngemva kokukhokhela ukuthenga kwami, ngaqaphela ukuthi abazange banginikeze izitsha ukuze ngidle i-pie yami, kodwa amasaladi anambitheka futhi ukudla kuhle kakhulu.",izitsha,neutral
"kwadingeka fulegi phansi umuntu wesithathu abasebenzi for a imfoloko ... ngakho-ke manje sekuyi-goodbye little rude pie company, kodwa izitsha ze-shrimp uthando.",abasebenzi,neutral
kwadingeka fulegi phansi umuntu wesithathu abasebenzi for a imfoloko ... ngakho-ke manje sekuyi-goodbye little rude pie inkampani: kodwa i-sushi ingcono kakhulu futhi amasaladi anambitheka.,imfoloko,neutral
"ukudla kuhle ngokumangalisayo, futhi ukuhlobisa kumnandi, kodwa ingxenye yokudla ingaphansi kwesilinganiso futhi isipiliyoni sokudlela sibi kakhulu.",ukuhlobisa,positive
"ukudla kuhle ngokumangalisayo, futhi ukuhlobisa kumnandi, kodwa i-waiter iyacasuka.",ukudla,positive
"le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-ac / dc noma umdlalo we-knicks, kodwa isiphuzo sikhulu.",amaklayenti,negative
"le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-ac / dc noma umdlalo we-knicks, kodwa ukuhambisa kuyashesha.",bartenders,negative
"le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo zengqondo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-ac / dc noma umdlalo we-knicks, kodwa isoso alinambitheki kakhulu, isidlo siyadliwa futhi intengo iphezulu.",kwekhwalithi,positive
"le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-ac / dc noma umdlalo we-knicks, kodwa ukudla kuhle kakhulu.",kubasebenzi),negative
"le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo zengqondo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-ac / dc noma umdlalo we-knicks, kodwa abanikazi bahle futhi amasaladi (ama-avocado shrimp) kuhle.",kubasebenzi),negative
"isibindi se-yellowfin tuna ne-calf yizintandokazi zami, kodwa umphathi akanawo umusa futhi ukukhanyisa akubukeki.",yellowfin tuna,positive
"isibindi se-yellowfin tuna ne-calf yizintandokazi zami, kodwa indawo ilula, i-hostess inolaka futhi isipiliyoni sokudlela sibuhlungu.",isibindi,positive
"ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-centre street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu ene-tacos yenkukhu esabekayo ne-hibiscus lemonade, kodwa ukudla akuyona eshibhile futhi amatafula asondele ngokungakhululekile.",hibiscus lemonade,positive
"ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-centre street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu ene-tacos yenkukhu esabekayo ne-hibiscus lemonade, kodwa ukudla kuyinto esabekayo.",ndawo,positive
"ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-centre street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu ene-tacos yenkukhu esabekayo ne-hibiscus lemonade, kodwa ukudla akuyona eshibhile.",ene-tacos,positive
"innovations nje njengoba kuqinisekisiwe, kusukela elula carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce, kodwa kwasemini amandla, intengo akufanelekile futhi amakhukhi fortune isikhalazo.","caviar-isipikili,",positive
"innovations nje njengoba kuqinisekisiwe, kusukela elula carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce, kodwa inkonzo ibha kancane.",isipinashi-vodka,positive
"innovations nje njengoba kuqinisekisiwe, kusukela elula carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce, kodwa izingxenye incane.",carinthia ushizi ravioli nge amakhowe zasendle,positive
