am,aspect,polarities
በአካባቢው ያለው አገልግሎት በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲነፃፀር ከአማካይ በጣም ዝቅተኛ ነበር፣ እናም ከውጭ ደግሞ ከስፍራው የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ ቡም አለ፣ ነገር ግን ሰላጣ (አቮካዶ ሽሪምፕ) ጥሩ ነው።,አገልግሎት,negative
አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲነፃፀር ከአማካይ በጣም ዝቅተኛ ነበር፣ እናም ከውጭ ደግሞ ከስፍራው የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ ቡም አለ፣ ነገር ግን ከባቢ አየር ጥሩ ነው፣ ሠራተኞች አስደሳች ና በረሃዎች አስደናቂ ናቸው።,ምግቡ,negative
ምናልባት በኒው ዮርክ ውስጥ ከሁሉ የከፋው የመግብያ ልምዴ ነው፣ እናም የቀድሞ አስተናጋጅ ስለሆንኩ ስለምን እየተናገርኩ እንዳለሁ አውቃለሁ፣ ነገር ግን ማድረስ ፈጣን ነው።,ልምዴ,negative
ምናልባት በኒው ዮርክ በጣም የከበደ የመግብያ ልምድ ይኖረኛል። እኔ ደግሞ የቀድሞ አስተናጋጅ ስለሆንኩ ስለ ምን እየተናገርኩ እንደሆነ አውቃለሁ። ቡና ግን በጣም ጎልቶ የሚታይ ነው።,አስተናጋጅ,neutral
"አዲሱ ሜኑ ጥቂት የፈጠራ እቃዎች አሉት, አንዳንድ አሮጌ የሚወዷቸውን ነገሮች (ነገር ግን ዋጋቸውን ከፍ አድርገው) ለማቆየት በቂ ብልህ ነበሩ, ሠራተኞቹ አብዛኛውን ጊዜ ወዳጃዊ ናቸው, ነገር ግን ስለሚወዷቸው ቃላቶች ከጻፈው ሰው ጋር መስማማት አለብኝ ምንም, አይችሉም, ይቅርታ..., ልጅ, ለማንኛውም ደንቦቹን አይጎነጨፉም; homemade guacamole አስገራሚ ነው, ከባቢ አየር ለውጦች እና tart የዘመኑ ተወዳጅ ነው.",ዋጋቸውን,negative
"አዲሱ ሜኑ ጥቂት የፈጠራ እቃዎች አሉት, አንዳንድ አሮጌ የሚወዷቸውን ነገሮች (ነገር ግን ዋጋቸውን ከፍ አድርገው) ለማቆየት በቂ ብልህ ነበሩ, ሠራተኞቹ አብዛኛውን ጊዜ ወዳጃዊ ናቸው, ነገር ግን ስለሚወዷቸው ቃላቶች ከጻፈው ሰው ጋር መስማማት አለብኝ ምንም, አይችሉም, ይቅርታ..., ልጅ, ለማንኛውም ደንቦቹን አይጎነጨፉም; መጠን ሥራ የበዛበት ነው, ምግብ ዋጋ የለውም እና ሞል ስጐ በጣም ጣፋጭ ነው.",አዲሱ,positive
አብዛኛውን ጊዜ አንድ የቬትናም የበሬ ኑደል ሾርባ እሰጣለሁ፤ ይሁን እንጂ ማከዴሚያ የታፈሰችው ማሊ የሞከረች ሲሆን ታፓዎች ደግሞ አስደሳች ናቸው።,የቬትናም የበሬ ኑደል ሾርባ,neutral
እዚህ የሚኖሩት ዳክዬዎችም በጣም ጣፋጭ ናቸው፤ ይሁን እንጂ ባርቴንደር ጨዋነት የጎደለው ነው፤ ሰዎች በጣም መጥፎ ሲሆኑ የተወሰነ ክፍል ደግሞ ትንሽ ነው።,ዳክዬ,positive
የጉርሜ ምግቦችን በፍጥነት መመገብ ትችላላችሁ፤ ሆኖም ሞል ስጎ በጣም ጣፋጭ ነው፤ አገልግሎት ጨዋነት የጎደለው ከመሆኑም በላይ የመጠበቅ ሠራተኞች አሳቢነት የጎደለው ነው።,ምግቦችን,positive
የጉርሜት ምግቦችን በፍጥነት መመገብ ትችላለህ፤ ሆኖም ሠራተኞቹ መጥፎ ሲሆኑ ምግብ ደግሞ ከአማካይ በታች ነው።,ምግብ,positive
ምሽት ላይ የከባቢ ውሃ የሚለዋወጠው ይህ የተደበቀ ጌጥ ሲሆን ጠረጴዛዎቹ ግን በጣም ይቀራረቡታል።,ውሃ,positive
ቡቲክ የሚመረጠው የወይን ጠጅ ሳይጫን የተለያዩ ዓይነቶችን የሚሸፍን ቢሆንም አገልግሎት ግን አዝጋሚ ከመሆኑም በላይ ሳንድዊች በጣም አስደናቂ ነው።,የወይን,neutral
"ፒሳዎች ከምቾትና ከዋና ዋና ኮርሶች በተጨማሪ በጣም ጥሩ ነበሩ, ነገር ግን የዲስኮ ፖፕ ዱዮ በጣም አስፈሪ ነው, የባር አገልግሎት አዝጋሚ እና የመጠበቅ ሠራተኞች አሳቢነት የለሾች ናቸው.",ዋና ኮርሶች,positive
ፒሳዎች ከጣፋጭና ከዋና ዋና ኮርሶች በተጨማሪ በጣም ጥሩ ነበሩ፤ ይሁን እንጂ የባር አገልግሎት አዝጋሚ ነው፣ ባርቴንደር ጨዋነት የጎደለው ከመሆኑም በላይ የወይን ጠጅ ዝርዝር ተስፋ አስቆራጭ ነው።,ከጣፋጭና,positive
"ፒሳዎች ከምቾትእና ዋና ዋና ኮርሶች በተጨማሪ በጣም ጥሩ ነበሩ, ነገር ግን ሠራተኞች ትዕቢተኛ እና አገልግሎት አዝጋሚ ነው.",ፒሳ,positive
ካላማሪን፣ ማንኛውንም ፓስታ ወይም ደግሞ የተቆራረጠውን ስቴክ ኢንትሬ ይሞክሩት። ይሁን እንጂ ሆት ውሾች በጣም መጥፎ ሲሆኑ ስጎር ደግሞ በጣም ጣዕም ያለው አይደለም።,ካላማሪ,positive
ካላማሪን ፣ ማንኛውንም ፓስታ ወይም ደግሞ የተቆራረጠውን ስቴክ ኢንትሬ ለመሞከር ሞክር ፤ ይሁን እንጂ ጣዕሙ አጭር ከመሆኑም በላይ አገልግሎት በጣም ያሳዝናል ።,ፓስታ,positive
"በእርግጥ ካላማሪ, ማንኛውም ፓስታ, ወይም ደግሞ የተቆራረጠ ስቴክ entrée ይሞክሩ, ነገር ግን አስተናጋጇ ጨዋነት የጎደለው ነው, አገልግሎት በጣም መጥፎ ነው እና ደንበኞች ጮክ-ጩኸት.",የተቆራረጠ ስቴክ entrée,positive
ከጥንት ጀምሮ ተግባቢ የሆኑ ሠራተኞች ያነጋግሩን ነበር። በቼልሲ ፒየልስ የነበረው መኪና ማቆሚያ ወደ ጀልባው ለመድረስ ቀላል እንዲሆንልን አድርጓል። ይሁን እንጂ ልሙጥ ነው። የተወሰነ ክፍል ትንሽ ሲሆን እንግዳ ተቀባይዋ ደግሞ ጨዋነት የጎደለው ነው።,ማቆሚያ,positive
ከጥንት ጀምሮ ወዳጃዊ በሆኑ ሠራተኞች ተገናኝተን ነበር፣ እናም በቼልሲ ፒርስ የነበረው የመኪና ማቆሚያ ወደ ጀልባው ለመድረስ ቀላል እንዲሆንልን አድርጓል፣ ነገር ግን እንግዳ ተቀባይዋ ጨዋነት የለባትም እና ምግብ ጥሩ አይደለም።,ሠራተኞች,positive
አንድ ጊዜ በመርከብ ከሄድን በኋላ በጣም ታዋቂ የሆነው ምግብና በሕይወት ያሉ መዝናኛዎች በአንድ የማይረሳ ምሽት ይሸጡን ነበር፤ ምግብ ግን በጣም አስከፊ ነው።,መዝናኛዎች,positive
አንድ ጊዜ በመርከብ ከሄድን በኋላ በጣም ታዋቂ የሆነው ምግብና መዝናኛ በማይረሳ ምሽት ይሸጠን ነበር፤ ሆኖም ሰው ሠራሽ የሎብስተር ሥጋ ሰው ሠራሽ ከመሆኑም በላይ መጠበቅ ጨዋነት የጎደለው ነው።,ምግብ,positive
በማንኛውም ጊዜ ና ሁሌም ሰፈር እራሴን ወደ ሱሺ ሮዝ ለአዲስ ሱሺ እና ለሁሉም በተመጣጣኝ ዋጋ ትልቅ ድርሻ እሰጣለሁ። ዶሮ ግን ጨለማ ነው፣ ሥራ አስኪያጅ ፀጋ ሽፈራው እና አስተናጋጆች ይናደዳሉ።,ድርሻ,positive
በማንኛውም ጊዜና በአካባቢው ስሆን ሱሺ ሮዝ ለንጹሕ ሱሺና ብዙ ምግብ በተመጣጣኝ ዋጋ እሰጣለሁ፤ ምግብ ግን በጣም ከባድ ነው።,ዋጋ,positive
"በማንኛውም ጊዜ እና ሁሌም በሰፈር ውስጥ እራሴን ለአዲስ ሱሺ እና ለታላቅ እቃዎች በሙሉ በተመጣጣኝ ዋጋ ወደ ሱሺ ሮዝ እሄዳለሁ, ነገር ግን አስተናጋጁ ይበሳጫል, ኬክ አማካይ እና አገልግሎት ዝግ ነው.",ሱሺ,positive
የእንጉዳይ የገብስ ሾርባ በጣም የሚያስደንቅ ቢሆንም የዲስኮ ፖፕ ዱዮ በጣም አስፈሪ ከመሆኑም በላይ ሥራ አስኪያጁ ጨዋነት የጎደለው ድርጊት ነው።,የእንጉዳይ,positive
ዓርብ ዕለት እዚህ እራት ከበላሁና ምግቡ በጣም ጥሩ ቢሆንም ምግቡ በጣም ጥሩ ነው፤ የስልክ ጋዝ ጣፋጭ ከመሆኑም በላይ ከሰዓት በኋላ የሚመገበው ምግብ ጥሩ ነው።,እራት,neutral
ዓርብ ዕለት እዚህ እራት ከበላሁና ምግቡ በጣም አስደሳች ነበር፣ ነገር ግን አገልግሎት በጣም አስከፊ ነው፣ አገልግሎት አሰቃቂ ከመሆኑም በላይ ደንበኞች ጮክ ብለው ይጮኻሉ።,ምግቡ,positive
ከእራት በኋላ ሙዚቃ ሲጫወት ሰምቼ ከፎቅ ላይ አንድ ሳሎን እንዳለ አወቅሁ፣ ነገር ግን ቢራ ምርጫ በጣም ጥሩ ነው፣ ጣፋጭ ነገሮች በጣም ጥሩ ናቸው እናም ፒሳ በአኩሪ አይብ እሞክራለሁ።,ሙዚቃ,neutral
እራት ከበላሁ በኋላ ሙዚቃ ሲጫወት ሰምቼ ከፎቅ ፎቅ ላይ አንድ ሳሎን እንዳለ ተገነዘብኩ፤ ሆት ውሾች ግን የተሻለ ነው፣ ጠረጴዛዎች በጣም ይቀራረባሉ፤ የመበልጠጥ አጋጣሚም በጣም አሳዛኝ ነው።,እራት,neutral
እራት ከበላሁ በኋላ ሙዚቃ ሲጫወት ሰምቼ ፎቅ ላይ አንድ ሳሎን እንዳለ አወቅሁ፤ ይሁን እንጂ አካባቢ የፍቅር ስሜት ያለው ከመሆኑም በላይ አገልግሎት በጣም ግሩም ነው።,ሳሎን,neutral
"ምግቡ ጥሩ ነበር, አገልግሎቱ ፈጣን, እና ዋጋው በጣም ምክንያታዊ ነው, ነገር ግን የጥንቆላ ኩኪዎች ቅሬታ ነው.",አገልግሎቱ,positive
ምግቡ ጥሩ ነበር፣ አገልግሎቱ ንፋስ ነበር፣ ዋጋውም በጣም ምክንያታዊ ነበር። ምግብ ግን በጣም አስከፊ ነው።,ዋጋ,positive
"ምግቡ ጥሩ ነበር፣ አገልግሎቱ ንፋስ ነበር፣ ዋጋውም በጣም ምክንያታዊ ነበር። , ዲስኮ ፖፕ ዱኦ ግን አስፈሪ ነው, አስተናጋጆች ይናደዳሉ እና መብራት ማራኪ አይደለም.",ምግቡ,positive
ፓስታ ፕሪማቬራም በጣም አስደናቂ ነበር፤ ብዙ ትኩስ አትክልቶች ቢኖሩም አስተናጋጁ ግን ጨዋነት የጎደለው ነው፤ ዲስኮ ፖፕ ዱዮ በጣም አስፈሪ ከመሆኑም በላይ አስተናጋጆቹ መጥፎ ናቸው።,ትኩስ,positive
የፓስታ ፕሪማቬራም በጣም አስደናቂ ከመሆኑም በላይ ብዙ ትኩስ የአትክልቶች አገልግሎት የሚሰጥ ቢሆንም አገልግሎት ግን አዝጋሚ ነው፤ ሰው ሠራሽ የሎብስተር ሥጋ ሰው ሠራሽ ከመሆኑም በላይ ቦታ ምጣድ ነው።,ፓስታ ፕሪማቬራ,positive
"የሚያሳዝነው, የእኛ ትርዒት ቲኬቶች ጋር, ምንም ጣፋጭ ምግብ ናሙና ለመውሰድ ጊዜ አልነበረንም, ነገር ግን ፒዛ ላይ ማጣመም ጤናማ ነው, toppings አዲስ እና የተወሰነ ክፍል ትልቅ ነው.",ጣፋጭ ምግብ,neutral
ጎረቤት ከሆንክ ጥሩ ምግብ ለማግኘት ቆም ብለህ ትመጣለህ፤ ሆኖም የመጠበቂያ ግንበኛ ሠራተኞች አሳቢነት የጎደላቸው ከመሆኑም በላይ አገልግሎትም ተስፋ ያስቆርጣል።,ምግብ,positive
ከአንድ ሰዓት በላይ ስትጠብቅ ከ20-30 ደቂቃ እንደሚፈጀው ሲነግሩህ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስልህ ለባርኔቱ ነግሮት ያውቃል? ምንም እንኳ የቆሮንቶስ አይብ ራቪዮሊ ከዱር እንጉዳይ ጋር በጣም ብዙ ቢሆንም...,ስትጠብቅ,negative
ከአንድ ሰዓት በላይ ስትጠብቅ፣ 20-30 ደቂቃ እንደሚፈጅ ሲነግሩህ፣ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስለት ቢነግረውም ምግብ በጣም ብዙ ከመሆኑም በላይ ቸኮሌት በጣም ወፍራም ነው ብለህ ታምናለህ?,አስኪያጁ,neutral
ከአንድ ሰዓት በላይ ስትጠብቅ፣ 20-30 ደቂቃ እንደሚፈጅ ሲነግሩህ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስለት ቢነግሩትም አስተናጋጆች ግን ተግባቢ ናቸው ብለህ ታምናለህ?,አስኪያጁ,negative
ከአንድ ሰዓት በላይ ስትጠብቁ፣ 20-30 ደቂቃ እንደሚሆን ሲነግሯችሁ፣ ሥራ አስኪያጁ የከፈልከውን መጠጥ እንዲያፈስ፣ ነገር ግን እንቁላል ሰላጣ ጥሩ ነው፣ ምግብ ታላቅ እና የፈረንሳይ ፍሪ ነው-- የዳልማቲያ ውኃ ውስጥ መጥለቅ በጣም አስደሳች ነው ብለህ ታምናለህ።,መጠጥ,neutral
ይህ የሆነው ለመጠጥ 20 ደቂቃ እንድንጠብቅ ባደረጋትና ከዚያም እንድንቀዘቅዝ በሚነግረን ባለ ፀጋ ሥራ አስኪያጅና አክብሮት በጎደለው ባርቴንደር ምክንያት ነው፤ ምግብ ግን ጥሩ ነው፣ ጣፋጭ ምግቦች ነፃ ናቸው እናም ፌቱሲን አልፍሬዶ በጣም ይገርማል።,ሥራ አስኪያጅ,negative
ይህ የሆነው ለ20 ደቂቃ መጠጥ እንድንጠጣ ካደረገናን በኋላ እንድንቀዘቅዝ በሚነግረን ግርማ ሞገስ በሌለው ሥራ አስኪያጅና አክብሮት በጎደለው ባርደር ምክንያት ነው ፤ ሆኖም አገልግሎት ወዳጃዊ ስሜት የሚንጸባረቅበት ነው ።,ባርደር,negative
ይህ የሆነው አንድ ፀጋ የለሽ ሥራ አስኪያጅና አንድ ጨካኝ ባርደር ለመጠጥ 20 ደቂቃ እንድንጠብቅ ካደረገናን በኋላ እንድንቀዘቅዝ ቢነግረንም ምግብ ግን ሞቃታማ ቦታ ሲሆን ምግብ ምግቡም በጣም ጥሩ ነው ።,እንድንጠብቅ,negative
ይህ የሆነው ግርማ ሞገስ የሌለው ሥራ አስኪያጅና አንድ ጨካኝ ባርደር 20 ደቂቃ እንድንጠጣ ካደረገናን በኋላ እንድንቀዘቅዝ ቢነግረንም ሠራተኞቹ ግን እውቀት አላቸው ።,እንድንጠጣ,neutral
ፈጽሞ አትጨነቁ - መጠጦቹ አስፈሪ ነበሩ፣ ነገር ግን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ናቸው፤ ከባቢ አየር ፍጹም ነው ።,መጠጦቹ,negative
ፈጽሞ አትጨነቁ - መጠጦቹ አስፈሪ ነበሩ፣ ነገር ግን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ናቸው፤ በአፋጣኝ የሚቀርብ ሲሆን ከባቢ አየርም ፍጹም ነው።,ከባቢ,negative
"ፈጽሞ አትጨነቁ - መጠጦቹ አስፈሪ ነበሩ፣ ነገር ግን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ናቸው፤ french fries -- dalmatia ማጥለቅ በጣም ግሩም ነው, ሸርጣን ጋር ጥቅልሎች ትልቅ እና ዋጋ ታላቅ ነው.",ሰዎች,negative
በዚያ የሚሠሩ ሁሉ (አስተናጋጅ፣ ባርቴንደር፣ ሰርቨሮች) በጣም ጠቃሚ ናቸው፤ ምግብ ግን በጣም አስፈሪ ነው።,አስተናጋጅ,positive
"በዚያ የሚሠሩ ሁሉ (አስተናጋጅ, ባርቴንደር, ሰርቨሮች) በጣም ጠቃሚ ናቸው, ነገር ግን ቢል ትልቅ ነው, የተወሰነ ክፍል ትንሽ እና ምግብ በጣም መጥፎ ነው.",ባርቴንደር,positive
"በዚያ የሚሠሩ ሁሉ (አስተናጋጅ, ባርቴንደር, ሰርቨሮች) በጣም ጠቃሚ ናቸው, ነገር ግን ቢል ትልቅ ነው, እራት ኃይል እና ምግብ ከአማካይ በታች ነው.",ሰርቨሮች,positive
ምግቡ በጣም አስደናቂ ቢሆንም አገልግሎት ግን በጣም አዝጋሚ ነው።,ምግቡ,positive
ከእነዚህ ምርጦች መካከል የድንች ስፒናች ግኖኪና የበግ ጠቦት ይገኙበታል ።,የበግ ጠቦት,positive
በጣም ከሚወዱ ነገሮች መካከል - ድንች ስፒናች ግኖኪ እና ጠቦት፣ ነገር ግን ውስጠኛው ክፍል በአማካይ ሲሆን ምግብ ደግሞ በጣም አስከፊ ነው።,ድንች ስፒናች ግኖኪ,positive
ግማሽ ዶሮ በተራራ ላይ ሩዝና ባቄላ በ6.25 የአሜሪካ ዶላር ይሸፈናል። ምግብ ግን ደስተኛ ሲሆን የሜዲትራኒያን ደስታ ደግሞ ብዙ ወጪ የማይጠይቅ ነው።,ሩዝ,neutral
"ግማሽ ዶሮ በተራራ ላይ ሩዝና ባቄላ በ6.25 የአሜሪካ ዶላር ቢሆንም ዋጋው ምክንያታዊ ነው, ተክል ጥሩ እና በርገር ጣፋጭ ነው.",ዶሮ,neutral
ግማሽ ዶሮ በተራራ ሩዝና ባቄላ በ6.25 ብር፣ ምግቡ ጥሩ ነው፣ ሠራተኞች ተግባቢ ናቸው እናም የኦቾሎኒ ቅቤ ሶርቤትን ይሞክሩታል።,ባቄላ,neutral
"አገልግሎቱ በጣም ግሩም እና ሁሌም ያለ አየር ትምህርት ሰጪ ነው, ነገር ግን ሜኑ አነስተኛ ነው, ምግብ በጣም አስከፊ እና ምግብ በጣም መጥፎ ነው.",አገልግሎቱ,positive
በእርግጥ እመለሳለሁ-- በጥቁር ሰሌዳ ላይ ካሉት ለየት ያሉ ማርቲኒዎች ለአንዳንዶቹ ብቻ ቢሆን ኖሮ፣ ነገር ግን ምግብ ያዝናል።,ማርቲኒዎች,positive
የ ac እጥረት እና አንድ ሚሊዮን መንጋጋ አካላት መኖራቸው (ሁሉም ሰው ትህትና ያለው እና ማንም የሚገፋው ባይሆንም) ትንሽ ማጥፋት ነው; በትር ዕውቀት አለው፣ ምግብ ትልቅ ነው፣ ሱሺ ደግሞ ንጹሕ ነው።,የ ac,negative
ይሁን እንጂ ከቤት ውጭ መሆን፣ በታላቅ የዓለማቀፍ አቀማመጥ፣ ወደዚህ ቦታ መሄድ ዋጋማ እንዲሆን የሚያደርግ አልፎ አልፎ መጠጣት በጣም አስደሳች ነገር ነው፤ ዶሮ ግን ጨለማ ነው።,ቦታ,positive
ይሁን እንጂ፣ ከቤት ውጭ መሆን፣ በታላቅ አቀማመጥ፣ ወደዚህ ቦታ መሄድ ጠቃሚ እንዲሆን የሚያደርግ አልፎ አልፎ መጠጣት በጣም አስደሳች ነገር ነው፣ ነገር ግን አገልግሎት አሰቃቂ እና የምግብ መጠን አነስተኛ ነው።,ከቤት ውጭ,positive
ይሁን እንጂ ከቤት ውጭ መሆን፣ በታላቅ የዓለማት አቀማመጥ፣ ወደዚህ ቦታ መሄድ ጠቃሚ እንዲሆን የሚያደርግ አልፎ አልፎ መጠጣት በጣም አስደሳች ነገር ነው፣ ነገር ግን ጠረጴዛዎች በጣም ቅርብ ናቸው እናም አገልግሎት አዝጋሚ ነው።,መጠጣት,positive
ሐሳብ መስጠት ስለማልችል ምግብ ለማግኘት ወደዚያ አልሄድኩም፤ ነገር ግን ምግቦቹ ጥሩ ይመስሉ ነበር።,ምግብ,neutral
"አንድ አታላይ ቀስ በቀስ ባር አገልግሎት ነበር, ነገር ግን በቤት ሰራሽ guacamole አስገራሚ ነው, የፈረንጅ ፍሪዎች. የዳልማቲያ ዲፕ በጣም አስደናቂ እና ሃምበርገር ጣፋጭ ነው.",ባር አገልግሎት,negative
እኔና ጓደኞቼ የኪፕስ ቤይ የፊልም ቲያትር ቤት ከመምታቴ በፊት ፒሳ ለመግጠም እዚህ ቆምን፣ ነገር ግን የተወሰኑ ክፍሎች ትንሽ እና ጣፋጭ ነገሮች ጥሩ ናቸው።,ፒሳ,neutral
ሁልጊዜ ፒሳ የምንወደው ቢሆንም ሠራተኞች ተግባቢ ናቸው፣ አገልግሎት በጣም አዝጋሚ ከመሆኑም በላይ ምግብ መመገብ በጣም ከባድ ነው።,ፒሳ,positive
አገልግሎቱ በጣም ጥሩ ነው፣ ነገር ግን ጠረጴዛዎች በጣም ቅርብ እና ሱሺ ትልቅ ናቸው።,አገልግሎቱ,positive
ሁለት ቅሬታዎች- የምግብ ምርጣቸው ሽታ፣ በሜኑ ላይ አንዳንድ የሞዛሬላ እንጨቶች ቢያገኙ ጥሩ ነው፣ ነገር ግን ዶሮ ታላቅ ነው እናም ምግብ የሚበላው ነው።,ሞዛሬላ እንጨቶች,neutral
"ሁለት አጉረምራሚዎች- የምግብ ምርጣቸው ይሸታል, በሜኑ ላይ አንዳንድ mozzarella እንጨቶች ማግኘት ጥሩ ነው, ነገር ግን የምግብ ምርጫ በጣም ግሩም ነው.",ሜኑ,negative
"ሁለት ቅሬታዎች- የምግብ ምርጫቸው ሽሙጥ, በሜኑ ላይ አንዳንድ mozzarea እንጨት ማግኘት ጥሩ ይሆናል, ነገር ግን ምግብ ታላቅ እና ምሳ ጤናማ ነው.",ምርጫቸው,negative
"ማራኪ ያልሆነው መብራቱ ለመጋጨት እንድፈልግ አደረገኝ, ምግቡ ከመጠን በላይ ዋጋ ነበረው, በጣም በጣም አስፈሪ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር-እና የእኔ ስካርጎት ከሳህኑ ላይ ሊንሸራተት የሚችል ይመስል ነበር, ነገር ግን አገልግሎት ግሩም እና ፓስታ specials አስደናቂ ነው.",ዲስኮ ፖፕ ዱዮ,negative
ማራኪ ያልሆነው መብራት ለማብሰል እንድፈልግ አደረገኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- እናም ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር፣ ነገር ግን ምግቡ በጣም ጥሩ ነው።,መብራት,negative
"ማራኪ ያልሆነው መብራት ማሽኮርመም እንድፈልግ አደረገኝ, ምግቡ ከመጠን በላይ ዋጋ ነበረው, በጣም በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር-እና የእኔ ስካርጎት ከሳህኑ ላይ ሊንሸራተት የሚችል ይመስል ነበር, ነገር ግን ምግብ ጥሩ እና ከቤት ውጭ የመመገቢያ አካባቢ ትንሽ ነው.",ስካርጎት,negative
"ማራኪ ያልሆነው መብራት ለሽሙጥ አነሳሳኝ, ምግቡ ከመጠን በላይ ዋጋ ነበረው, በጣም በጣም አስፈሪ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር-እና የእኔ ስካርጎት ከሳህኑ ላይ ሊንሸራተት የሚችል ይመስል ነበር, ነገር ግን አገልግሎት በጣም ግሩም ነው, ካላማሪ አሸናፊ እና የተወሰነ ክፍል ትልቅ ነው.",ምግቡ,negative
"ከዚህ በፊት በህይወቴ ምግብ መልሼ አልላክሁም, ነገር ግን ብቻ ነበር, አስተናጋጁም በዚህ ጉዳይ ላይ ተከራካሪ; ምርጫው ትልቅ ቢሆንም።",አስተናጋጁም,negative
