lug,aspect,polarities
"the new menu has a few creative items,they were smart enough to keep some of the old favourites (but they raised the prices), the staff is friendly most of the time, but i must agree with the person that wrote about their favourite words: no, can't, sorry..., boy, they won't bend the rules for anyone; homemade guacamole is amazing, atmosphere is a changes and tart of the day is favourite.",changes,negative
"the new menu has a few creative items,they were smart enough to keep some of the old favourites (but they raised the prices), the staff is friendly most of the time, but i must agree with the person that wrote about their favourite words: no, can't, sorry..., boy, they won't bend the rules for anyone; sayizi erina eby'okukola bingi, emmere si ya mugaso ate omubisi gwa mole guwooma nnyo.",menu,positive
"ntera okufuna emu ku ssupu ya vietnamese beef noodle, naye macadamia-crusted mali egezesebwa era tapas esanyusa.",vietnamese,neutral
"duck yaabwe wano nayo nnungi ddala, naye omusuubuzi wa bbaala wa bukambwe, abantu be basinga obubi ate n'ebitundu bitono.",obubi,positive
"osobola okulya emmere ey'ekika kya gourmet ku bbeeyi y'emmere ey'amangu, naye omubisi gwa mole guwooma nnyo, obuweereza bwa bukambwe ate n'abakozi abalinda tebafaayo.",emmere,positive
"osobola okulya emmere ey'ekika kya gourmet ku bbeeyi y'emmere ey'amangu, naye abakozi babi era emmere eri wansi w'omuwendo.",bbeeyi,positive
"ekiro atmoshere ekyuka n'efuuka ekintu kino ekikwekeddwa ekilinda okuzuulibwa, naye emmeeza ziri kumpi nnyo.",atmoshere,positive
"the boutique selection of wines covers a wide variety without being imposed, but service is slow and sandwiches is amazing.",wines,neutral
"pizza zaali nnungi nnyo ng'oggyeeko ebyokulya n'emmere enkulu, naye disco pop duo kibi nnyo, obuweereza mu bbaala bulwawo ate n'abakozi abalinda tebalina kye bafaayo.",kye,positive
"pizza zaali nnungi nnyo ng'oggyeeko eby'okulya n'eby'okulya ebikulu, naye obuweereza mu bbaala bulwawo, omusuubuzi wa bbaala wa bukambwe ate n'olukalala lw'omwenge lumalamu amaanyi.",ate,positive
"pizza zaali nnungi nnyo ng'oggyeeko ebyokulya n'emmere enkulu, naye abakozi beetulinkiriza era obuweereza bulwawo.",pizza,positive
"awatali kubuusabuusa gezaako calamari, buli pasta, oba sliced steak entrée, naye hot dogs y'esinga obubi era omuceere teguwooma nnyo.",calamari,positive
"awatali kubuusabuusa gezaako calamari, buli pasta, oba sliced steak entrée, naye obuwoomi bumpi era obuweereza buggwaamu amaanyi.",pasta,positive
"awatali kubuusabuusa gezaako calamari, buli pasta, oba sliced steak entrée, naye hostess ya bukambwe, obuweereza bubi nnyo era bakasitoma bali mu kaboozi.",steak entrée,positive
"okuva ku ntandikwa, twasisinkana abakozi ba memebers ab'omukwano, era ekifo ekiyitibwa convienent parking ku chelsea piers kyatuyamba okutuuka ku lyato, naye smoothies nnene, ebitundu bitono ate hostess bubi.",ekifo,positive
"okuva ku ntandikwa, twasisinkanibwa abakozi ba memebers ab'omukwano, era okuyimiriza emmotoka ku chelsea piers kyatuyamba okutuuka ku lyato, naye hostess kibi nnyo era emmere si nnungi nnyo.",memebers,positive
"oluvannyuma lw'okugenda ku mmeeri, ebyokulya eby'omulembe n'eby'okwesanyusaamu ebya bulijjo byatutunda ku kawungeezi ke tutayinza kwerabira, naye ebyokulya bibi nnyo.",bibi,positive
"oluvannyuma lw'okugenda ku mmeeri, emmere ey'omulembe n'eby'okwesanyusaamu ebya bulijjo byatutunda ku kawungeezi ke tutayinza kwerabira, naye ennyama ya lobster ey'ekika kya 'artificial lobster' ey'ekika kya 'artificial' era okulindirira kikolwa kya bukambwe.",emmere,positive
"buli lwe nneesanga mu kitundu nja kugenda mu sushi rose okugula sushi n'ebitundu ebinene byonna ku bbeeyi entuufu, naye enkoko enzikiza, maneja talina kisa ate abaweereza banyiivu.",kugenda,positive
"buli lwe nneesanga mu kitundu nja kugenda mu sushi rose okugula sushi n'ebitundu ebinene byonna ku bbeeyi entuufu, naye emmere mbi nnyo.",bbeeyi,positive
"buli lwe nneesanga mu kitundu nja kugenda ku sushi rose okugula sushi n'ebitundu ebinene byonna ku bbeeyi entuufu, naye omuweereza anyiiga, keeki ya bulijjo ate obuweereza bulwawo.",sushi,positive
"ssupu wa mushroom barley yeewuunyisa, naye disco pop duo mbi nnyo ate maneja wa bukambwe.",mushroom,positive
"had dinner here on a friday and the food was great, but food is excellent, phone gas is luscious and afternoon snack is good.",dinner,neutral
"had dinner here on a friday and the food was great, but service is horrible, service is horrible and clientele is loud-mouthed.",food,positive
"oluvannyuma lw'ekyeggulo nawulira ennyimba nga zikuba ne nkizuula nti wansi waliwo loogi, naye eby'okulonda bbiya birungi nnyo, desserts nnungi nnyo era ngezaako pizza ne soya cheese.",nnyo,neutral
"oluvannyuma lw'okulya ekyeggulo nawulira ennyimba nga zikuba ne nkizuula nti wansi waliwo ekifo ekiyitibwa lounge, naye hot dogs kye kisinga obulungi, emmeeza ziri kumpi nnyo ate n'okulya ku nnaku.",ate,neutral
"oluvannyuma lw'ekyeggulo nawulira ennyimba nga zikuba era ne nkizuula nti wansi waliwo loogi, naye ambiance ya mukwano era obuweereza bulungi.",zikuba,neutral
"emmere yali nnungi, obuweereza bwali bwangu, era bbeeyi yali nnungi nnyo, naye fortune cookies kwemulugunya.",bwali,positive
"emmere yali nnungi, yali eweerezebwa mu bwangu, era yali ya bbeeyi nnungi. naye ebyokulya bibi nnyo.",bbeeyi,positive
"emmere yali nnungi, yali eweerezebwa mu bwangu, era yali ya bbeeyi nnungi. , naye disco pop duo kibi nnyo, abaweereza banyiivu ate ebitaala tebisikiriza.",emmere,positive
"pasta primavera da harikadı, çok yeni veggies, fakat... ....disco pop duo korkunçtu ve... ...waiters kötüdür.","veggies,",positive
"pasta primavera da harikatı, çok yeni veggies, fakat hizmet yavaşça, artificial lobster meat artificial ve oda açık.",pasta primavera,positive
"eky'ennaku, ne tikiti zaffe ez'okulaga, tetwalina budde bwa kunywa desserts yonna, naye twist on pizza is healthy, toppings is fresh and portions is large.",desserts,neutral
"bw'oba oli mu kitundu, mazima ddala yimirira okulya emmere ey'amaanyi, naye abakozi b'okulinda tebafaayo era obuweereza bumalamu amaanyi.",ddala,positive
"oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa esukka mu emu, bwe bakugamba nti kijja kuba ddakiika 20-30, maneja n'agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa by'obadde osasula? corinthian cheese ravioli with wild mushrooms simply great...",oyinza,negative
"oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa emu ey'okulinda, bwe bakugamba nti ejja kuba ya ddakiika 20-30, maneja n'agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa bye waakasasula, naye emmere nnungi nnyo ate nga ne chocolate frosty ya ultra-thick.",omusuubuzi,neutral
"oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa emu ey'okulinda, bwe bakugamba nti ejja kuba ya ddakiika 20-30, maneja n'agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa bye waakasasula kyokka waitstaff alina omukwano.",maneja,negative
"oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa emu ey'okulinda, bwe bakugamba nti ejja kuba ya ddakiika 20-30, maneja agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa bye waakasasula, naye eggplant saladi nnungi nnyo, emmere nnungi nnyo ate french fries -- ne dalmatia dip ya maanyi nnyo.",bye,neutral
"ekyo kyaliwo olw'omutendesi atalina kisa n'omusuubuzi wa bbaala omukambwe eyali atulinda eddakiika 20 okunywa, ate n'atugamba tuwone, naye emmere nnungi, desserts za bwereere era fettuccine alfredo yeewuunyisa.",atulinda,negative
"ekyo kyaliwo olw'okuba waliwo maneja atalina kisa n'omusuubuzi w'omu bbaala omukambwe eyali atulinda eddakiika 20 okunywa omwenge, ate n'atugamba okukkakkana, naye obuweereza bwa mukwano.",maneja,negative
"ekyo kyaliwo olw'omu ku maneja atalina kisa n'omusuubuzi w'omu bbaala omukambwe eyali atulinda eddakiika 20 okunywa, ate n'atugamba tuwone, naye emmere ebeera nnyo ate ng'emmere nnungi.",linda,negative
"ekyo kyaliwo olw'okuba waliwo maneja atalina kisa n'omusuubuzi w'omu bbaala omukambwe eyali atulinda eddakiika 20 okunywa omwenge, oluvannyuma n'atugamba tukendeeze, naye abakozi bamanyi.",okunywa,neutral
"totawaana - ebyokunywa byali bibi nnyo, naye abantu abakolera eyo be baafuula ddala kino okuba ekizibu ennyo mu kulya; embeera y'empewo etuukiridde.",bibi,negative
"totawaana - ebyokunywa byali bibi nnyo, naye abantu abakolera eyo be baafuula ddala kino okuba ekizibu ennyo mu kulya; okuweebwa kwa mangu era embeera etuukiridde.",okuweebwa,negative
"totawaana - ebyokunywa byali bibi nnyo, naye abantu abakolera eyo be baafuula ddala kino okuba ekizibu ennyo mu kulya; french fries -- with the dalmatia dip is terrific, rolls with crab is great and value is great.",abantu,negative
"buli akola eyo (omugenzi, omusuubuzi w'omu bbaala, abaweereza) ayamba nnyo, naye emmere mbi nnyo.",w'omu,positive
"buli akola eyo (omugenzi, omusuubuzi w'omu bbaala, abaweereza) ayamba nnyo, naye bill nnene, ebitundu bitono ate ebyokulya bye bisinga obubi.",omusuubuzi,positive
"buli muntu akolera eyo (omugenzi, omusuubuzi w'omu bbaala, abaweereza) ayamba nnyo, naye ssente nnene, ebyokulya bya maanyi ate emmere eri wansi w'omuwendo.",abaweereza),positive
"ate emmere nnungi nnyo, naye obuweereza bulwawo nnyo.",emmere,positive
"ebintu bye basinga okwagala mulimu: ennyaanya eyitibwa spinach gnocchi n'omwana gw'endiga, naye hostess si nnungi era emmere ey'okulya.",omwana gw'endiga,positive
"ebintu by'osinga okwagala mulimu: ennyaanya spinach gnocchi n'omwana gw'endiga, naye munda wa bulijjo era emmere mbi nnyo.",gnocchi,positive
"ekitundu ky'enkoko erina olusozi lw'omuceere n'ebijanjaalo ku ddoola 6.25, naye emmere essanyu ate n'eby'okulya ebya mediterranean si bya bbeeyi.",emmere,neutral
"ekitundu ky'enkoko erina olusozi lw'omuceere n'ebijanjaalo ku ddoola 6.25, kyokka bbeeyi nnungi, plantains nnungi ate ne burgers ziwooma.",ky'enkoko,neutral
"half a chicken with a mountain of rice and beans for $6.25, the food is good, staff are friendly and try the peanut butter sorbet.",beans,neutral
"obuweereza buba bulungi nnyo era buli kiseera busomesa awatali mpewo, naye menyu ntono, emmere mbi nnyo ate okulya kibi nnyo.",okulya,positive
"gerçekten geri dönerdim-- yalnız bazı exotic martinis'ler blackboard'daysa, fakat yiyecek hayal kırıklığına uğramıştı.",martinis,positive
"obutabeera na ac n'okuba nti waliwo emirambo egiwera obukadde (wadde nga buli omu wa mpisa ate nga tewali amunyigiriza) kiba kikooyi; abakozi bamanyi bulungi, emmere nnungi ate sushi ya bupya.",ac,negative
"kyokka, waliwo ekintu ekirungi ennyo mu kubeera ebweru, mu kutambula okw'amaanyi, okunyumirwa omwenge ogutali gwa bulijjo ekifuula okugenda mu kifo kino okuba eky'omugaso, naye enkoko enzikiza.",kifo,positive
"kyokka, waliwo ekintu ekirungi ennyo mu kubeera ebweru, mu kutambula okw'amaanyi, okunyumirwa omwenge ogutali gwa bulijjo ekifuula okugenda mu kifo kino okuba eky'omugaso, naye obuweereza bubi nnyo ate nga ne menyu ntono.",ebweru,positive
"kyokka, waliwo ekintu ekirungi ennyo mu kubeera ebweru, mu kutambula okw'amaanyi, okunyumirwa ebyokunywa ebitali bya bulijjo ekifuula okugenda mu kifo kino okuba eky'omugaso, naye emmeeza ziri kumpi nnyo ate nga n'obuweereza bulwawo.",bulijjo,positive
saagendayo kunoonya mmere n'olwekyo sisobola kuddamu kyokka ebyokulya byalabika bulungi.,mmere,neutral
"a con was the slow bar service, but homemade guacamole is amazing, french fries -- with the dalmatia dip is terrific and hamburger is tasty.",bar service,negative
"nze ne mikwano gyange tuyimirira wano okulya pizza nga tetunnaba kukuba firimu ya kips bay, naye ebitundu bitono ate eby'okulya birungi.",pizza,neutral
"bulijjo tunyumirwa pizza, naye abakozi ba mukwano, obuweereza buba bwangu nnyo ate n'emmere mbi nnyo.",pizza,positive
"obuweereza buba bulungi nnyo, naye emmeeza ziri kumpi nnyo ate sushi nnene.",buba,positive
"okwemulugunya kwa mirundi ebiri- okulonda kwabwe okw'ebirungo (appetizer selection) kuwunya, kyandibadde kirungi okufuna emiggo gya mozzarella ku menyu, naye enkoko nnungi nnyo era emmere erimu emmere.",mozzarella,neutral
"okwemulugunya kwa mirundi ebiri- okulonda kwabwe okw'emmere ey'okulya (appetizer selection) kuwunya, kyandibadde kirungi okufuna emiggo gya mozzarella ku menyu, naye okulonda emmere kirungi nnyo.",menyu,negative
"okwemulugunya kwa mirundi ebiri- okulonda kwabwe okw'emmere ey'okulya kuwunya, kyandibadde kirungi okufuna emiggo gya mozzarella ku menyu, naye emmere nnungi nnyo era ekyemisana kya bulamu.","menyu,",negative
"the unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate, but service is excellent and pasta specials is amazing.",disco pop duo,negative
"the unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate, but meal is great.",meal,negative
"the unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate, but food is good and outdoor eating area is small.",escargot,negative
"the unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate, but service is excellent, calamari is a winner and parts is large.",escargot,negative
"mu bulamu bwange siddangamu kuddiza mmere, wabula nnalina okugizzaayo, era omuweereza n'akaayana nange ku nsonga eno; newankubadde okulonda kunene.",omuweereza,negative
"mu bulamu bwange siddangamu kuddiza mmere, wabula nnalina okugizzaayo, era omuweereza n'akaayana nange ku nsonga eno; ngezaako omubisi gwa potato gratin.",era,negative
"obuweereza bungi, ssupu wange bulijjo atuuka bulungi ate ng'abuguma naye enkoko enzirugavu ate emmere ya bbeeyi.",ssupu,positive
"obuweereza bungi nnyo, ssupu wange bulijjo atuuka bulungi ate ng'ebbugumu, naye ekifo kiwooma era eby'okulya bye bisinga obubi.",kiwooma,positive
"okwemulugunya kwange kwokka kuyinza okuba kwa 'fortune cookies' - sifunangako keeki ya kulagula mukisa mubi nga sinnakyalira kar, naye emmere nnungi, ambiance ewummulirwa ate pizza y'esinga.",keeki,negative
"okwemulugunya kwange kwokka kuyinza okuba kwa 'fortune cookies' - sifunangako keeki ya kulagula mukisa mubi nga sinnakyalira kar, naye eby'okwekolako bya creative.",cookies',negative
"kitegeeza nga pizza joint ey'omusingi, si nnyingi ey'okutunuulira, naye pizza kye ng'enda; emmere si ya bbeeyi, keeki si ya mugaso okuyimirira ebweru ate sayizi ekola.",pizza,positive
"ssowaani eno ebeera n'ebirungo eby'enjawulo ate ng'ekirungo ekyo kirungi ate nga kirungi, naye sayizi ekola nnyo.",kirungi,positive
"sosi zesty ve lezzetli ve crust güzel ve crispy, fakat barmenler korkunç ve mesaler rahatsız edemeyecek kadar yakın.",sosi,positive
"mu ngeri y'emu bw'oba oyagala ddala ebinyeebwa ebitonotono oba ebitundu ebinene ddala olwo nick ne joe's biyinza obutaba by'osinga okwagala, naye obuweereza bwewuunyisa ate saladi ya caesar nnungi.",ddala,negative
"mu ngeri y'emu bw'oba oyagala ddala ekirungo ekitonotono oba ebitundu ebinene ddala olwo nick ne joe's biyinza obutaba by'osinga okwagala, naye rolls with crab is great.",biyinza,negative
"the selection of food is excellent (i am not used to having much choice at restaurants), and the atmosphere is great, but hostess is rude and fennel flavored italian sausage is heavy.",atmosphere,positive
"okulonda emmere kirungi nnyo (simanyidde kubeera na bingi bye nsalawo mu wooteeri), ate embeera nnungi nnyo, naye obuweereza bwe businga obubi era bbeeyi si ya mugaso.",okulonda emmere,positive
"menyu, ekyuka buli sizoni, eraga ebitundu n'ensi yonna, naye emmere embi nnyo era ebyokulya si bya bbeeyi.",menyu,neutral
"njagala nnyo kkampuni ya little pie nga n'omuntu omulala yenna eyawandiise ebirowoozo, naye ateekwa okugaana omuntu yenna okukyalira ekifo kya grand central olw'obuweereza bwabwe obw'obukambwe okuva mu bantu babiri abatunda; obuweereza bwa mukwano.",bantu,negative
"njagala nnyo kkampuni ya little pie nga n'omuntu omulala yenna eyawandiise ebirowoozo, naye ateekwa okugaana omuntu yenna okukyalira ekifo kya grand central olw'obuweereza bwabwe obw'obukambwe okuva mu bantu babiri abatunda; rolls with crab is great.",omulala,negative
"oluvannyuma lw'okusasula ssente ze nnagula, nnakiraba nti baali tebampa bintu nsobole okulya pie yange, naye omwenge mulungi nnyo era ekifo kirungi.",baali,neutral
"oluvannyuma lw'okusasula ssente ze nnagula, nnakiraba nti baali tebampa bintu nsobole okulya pie yange, naye saladi nnungi nnyo era emmere nnungi nnyo.",bintu,neutral
"nnalina okukuba bendera ku muntu ow'okusatu olw'omuggo... so now it's goodbye little rude pie company, but shrimp dishes is a love.",muntu,neutral
nnalina okukuba bendera ku muntu ow'okusatu olw'omuggo... so now it's goodbye little rude pie company: naye sushi y'esinga obulungi ate saladi ziwooma.,pie,neutral
"ekyewuunyisa emmere nnungi nnyo, ate n'enteekateeka nnungi, naye ekitundu ky'emmere kiri wansi w'omuwendo era eby'okulya bye bisinga obubi.",era,positive
ekyewuunyisa emmere eno nnungi nnyo ate n'eby'okulya birungi naye omuweereza anyiiga.,emmere,positive
"kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) nga batwalibwa mu kivvulu kya ac/dc oba omuzannyo gwa knicks, naye omwenge munene.",bakasitoma,negative
"obuweereza, kyokka, buba peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, babeera ba bodaboda, aboogera akaboozi (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) okutikkirwa ku muzikiti gwa ac/dc oba omuzannyo gwa knicks, naye okutambuza kwa mangu.",babeera,negative
"kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) okutikkirwa ku muzikiti gwa ac/dc oba omuzannyo gwa knicks, naye omuceere teguwooma nnyo, emmere ey'okulya era ya bbeeyi ya waggulu.",omutindo gw'emmere,positive
"kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, abasinga obungi, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) okutikkirwa mu kivvulu kya ac/dc oba omuzannyo gwa knicks, naye emmere nnungi nnyo.",okuva,negative
"kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, abasinga obungi, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) nga batikka emigugu ku kivvulu kya ac/dc oba omuzannyo gwa knicks, naye bannannyini byo balungi ate saladi (avocado shrimp) nnungi.",bakozi),negative
ekibumba kya yellowfin tuna ne calf kye nsinga okwagala kyokka maneja talina kisa ate n'ebitaala tebisikiriza.,yellowfin tuna,positive
"yellowfin tuna n'ekibumba ky'ennyana bye nsinga okwagala naye ekifo kyangu, hostess kibi nnyo ate n'okulya emmere kibi nnyo.",bye,positive
"nali ku mulimu gwa jury, nnavuga eggaali yange ku centre street mu luwummula lwange olw'ekyemisana ne nsanga ekifo kino ekinene ekirimu taco z'enkoko ez'ekitalo ne hibiscus lemonade, naye emmere si ya buseere ate nga n'emmeeza ziri kumpi.",hibiscus lemonade,positive
"nali ku mulimu gw'okuwozesa emisango, ne nvuga eggaali yange ku centre street mu luwummula lwange olw'ekyemisana ne nsanga ekifo kino ekinene ekirimu taco z'enkoko ez'ekitalo ne hibiscus lemonade, naye emmere mbi nnyo.",kifo,positive
"jüri sorumluluğu üstümdeydim, yemek zamanımda centre street'te pikime uçtum.... ....ve bu harika küçük yeri korkunç chicken tacos ve hibiscus limonade ile... ...fakat yemek ucuz değil.",tacos,positive
"obupya bwe butyo bwe bukakasibwa, okuva ku carinthia cheese ravioli eyangu n'ennyaanya ez'omu nsiko okutuuka ku sturgeon eya caviar-topped, ekwatagana bulungi n'omubisi gwa spinach-vodka ogwa kiragala, naye ekyemisana kya maanyi, bbeeyi si ya mugaso era fortune cookies yeemulugunya.",sturgeon,positive
"obupya bwe butyo bwe bukakasibwa, okuva ku carinthia cheese ravioli ennyangu n'ennyaanya ez'omu nsiko okutuuka ku sturgeon eya caviar-topped, ekwatagana bulungi n'omubisi gwa spinach-vodka ogwa kiragala, naye obuweereza mu bbaala bulwawo.",spinach-vodka,positive
"obupya bwe butyo bwe bukakasibwa, okuva ku carinthia cheese ravioli ennyangu n'ennyaanya ez'omu nsiko okutuuka ku sturgeon eya caviar-topped, ekwatagana bulungi n'omubisi gwa spinach-vodka ogwa kiragala, naye ebitundu bitono.",carinthia cheese ravioli,positive
"menyu zirimu eby'okulonda eby'omwaka, nga sweet corn-foie gras brulee, naye bbeeyi nnungi ate abaweereza babi.",sweet corn-foie gras brulee,neutral
"menyu zirimu eby'okulonda eby'omwaka, nga sweet corn-foie gras brulee, naye ambiance ya mukwano, emmere si ya buseere ate n'obuwoomi bumpi.",menyu,neutral
"obuweereza nabwo butuukiridde tewali kikyamu mu wooteeri eno ey'oluyitale/olufalansa, naye bbeeyi ya bbeeyi nnyingi nnyo era ebyokulya by'eggulo bya maanyi.",obuweereza,positive
"the foie gras was sweet and luscious, but bartenders are horrible.",foie gras,positive
"my gf's duck confitte was very strong as well, though i have little base of reference; okulya emmere kibi nnyo ate n'emmere ya ffene.",confitte,positive
"abakozi abalinda omukwano nnyo, bwe kiba nti tolina bukambwe oba okulonda....... emmere yaffe ku leon wiikendi ewedde yali nnungi nnyo -, naye ssupu wa chickpea eya ground mutono.",abakozi,positive
"abakozi abalinda omukwano nnyo, bwe kiba nti tolina bukambwe oba okulonda....... emmere yaffe ku leon wiikendi ewedde yali nnungi nnyo -, naye obuweereza bubi, obuweereza bubi nnyo ate obuweereza bulwawo.",yali,positive
"nkubiriza okulya emmere yaabwe yonna ey'ekika kya salmon, naye okugiweereza mu ngeri ey'obwegendereza, emmeeza ziri kumpi nnyo ate nga n'emiwendo giri waggulu nnyo.","salmon,",positive
emmere enkulu naye obuweereza bwali bwa ntiisa; ngezaako emigaati egikolebwa awaka.,egikolebwa,negative
emmere enkulu naye obuweereza bwali bwa ntiisa; entebe ey'okuyiika si nnungi ate n'omuceere teguwooma nnyo.,emmere,positive
aba wooteeri ababiri baali balabika nga bwe baabadde banywa ebijanjaalo naye bbaala nnungi era endowooza nnungi.,wooteeri,negative
"obuweereza bwali bulwawo nnyo (ekifo kyali kitundu kyokka ekijjudde) era akamwenyumwenyu kandibadde kalungi, naye emmere nnungi, martinis ya njawulo ate sushi mpya.",bulwawo,negative
"mu biseera eby'oku ntikko, wooteeri ebeeramu abantu bangi ate nga n'emmeeza teziba nnungi, naye embeera y'okulya nnungi.",meeza,negative
"bw'oba oli wano ng'emmere eyasooka okulagibwa, yingira takisi n'otwala eddakiika endala 10 okugenda mu kifo ekya waggulu. ekirungi kyokka wano ye sang gosh.",bw'oba,neutral
"buli - bye bye atmos... the incrediby kind and gracious hostess, but bar service is slow and music is too heavy.",atmos...,positive
"buli - bye bye atmos... the incredibly kind and gracious hostess, but prices are exorbitant, waiters bad and taste is short.",waiters,positive
"buli - bye bye atmos... the incrediby kind and gracious hostess, but bartender is rude and service is poor.",atmos...,positive
"the ambiance was fine, a little loud but still nice and romantic; ebyennyanja bya bulijjo era ebyokunywa bya ntiisa.",ambiance,positive
"kyokka olw'okuba twali twagala nnyo eby'okulya, twali twennyamidde nnyo olw'emmere gye twali tulya, naye abaweereza bangi nnyo era ngezaako okukozesa ekirungo kya peanut butter sorbet.",emmere,negative
"nkubiriza ekyennyanja ekiddugavu ekiyitibwa 'black roasted codfish', kye kyali ekisinga obulungi akawungeezi, naye maneja kikolwa kya bukambwe ate ng'emmere eri wansi w'omuwendo.",'black,positive
"nkubiriza okulya ennyaanya enzirugavu ezaakazibwako, zaali mmere esingayo obulungi akawungeezi, naye obunene buli ku mulimu era abaweereza banyiivu.",okulya,positive
"i had a delicious shrimp creole, but sushi is bigger, filet minor is not very good and host is rude.",shrimp creole,positive
ekijjulo ky'enkoko kyali kirungi ddala naye emmere ya bbeeyi.,ky'enkoko,positive
"naye emmere yali nnungi; obuwoomi bumpi, emiwendo giri waggulu nnyo ate n'eby'okulya bya nnaku.",emmere,positive
"the space is traditional in feel, but i try duck, prices is reasonable and tuna is good.",space,neutral
