ig,aspect,polarities
"the unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere, ma nri dị ukwuu.",ọkụ,negative
"the unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere, ma nri dị mma na n'èzí iri ebe bụ obere.",escargot,negative
"the unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere, ma ọrụ bụ magburu onwe, calamari bụ a mmeri na akụkụ bụ nnukwu.",nri,negative
"ọ dịtụbeghị mgbe m na ndụ m zighachiri nri tupu mgbe ahụ, ma naanị m aghaghị, onye na-echere ya na m rụkwara ụka banyere nke a; ọ bụ ezie na nhọrọ ahụ buru ibu.",onye na-echere,negative
"ọ dịtụbeghị mgbe m na ndụ m zighachiri nri tupu mgbe ahụ, ma naanị m aghaghị, onye na-echere ya na m rụkwara ụka banyere nke a; m na-agbalị poteto gratin.",nri,negative
"ọrụ ahụ dị mma, ofe m na-abata mgbe niile dị mma ma na-ekpo ọkụ, ma ọkụkọ gbara ọchịchịrị na nri dị oke ọnụ.",ofe,positive
"ọrụ ahụ dị ukwuu, ofe m na-abata mgbe niile dị mma ma na-ekpo ọkụ, ma ohere dị ụtọ na ahụmịhe iri nri kachasị njọ.",ọrụ,positive
"nanị mkpesa m nwere ike ịbụ kuki akụ na ụba - enwetụbeghị m kuki na-ebu amụma ọjọọ maka m tupu m gaa kar, ma nri dị mma, ambiance dị jụụ na pizza kachasị mma.",kuki,negative
"nanị mkpesa m nwere ike ịbụ kuki akụ na ụba - enwetụbeghị m kuki na-ebu amụma ọjọọ maka m tupu m gaa kar, ma ihe ndozi bụ ihe okike.",kuki,negative
"ọ bụ nkwonkwo pizza bụ isi, ọ bụghị ọtụtụ ihe ị ga-ele anya, mana pizza bụ ihe m na-aga; nri adịghị ọnụ ala, achicha abaghị uru iguzo n'èzí na nha na-arụsi ọrụ ike.",pizza,positive
"the ihendori bụ zesty na flavorful na crust dị mma na crispy, ma size bụ ọrụ n'aka.",crust,positive
"the ihendori bụ zesty na flavorful na crust dị mma na crispy, ma bartenders bụ jọgburu onwe na tebụl bụ uncomfortably nso.",ihendori,positive
"n'otu aka ahụ ma ọ bụrụ na ị na-amasị n'ezie mkpa crust ma ọ bụ n'ezie nnukwu iberibe mgbe ahụ nick na joe nwere ike ọ gaghị abụ ọkacha mmasị gị, ma ọrụ dị ebube na caesar salad dị ukwuu.",mkpa crust,negative
"n'otu aka ahụ ma ọ bụrụ na ị na-amasị n'ezie mkpa crust ma ọ bụ n'ezie nnukwu iberibe mgbe ahụ nick na joe nwere ike ọ gaghị abụ ọkacha mmasị gị, ma mpịakọta na crab dị ukwuu.",iberibe,negative
"nhọrọ nke nri magburu onwe ya (anaghị m enwekarị nhọrọ dị ukwuu na ụlọ oriri na ọṅụṅụ), na ikuku dị ukwuu, ma hostess bụ mkparị na fennel flavored italian soseji dị arọ.",ikuku,positive
"nhọrọ nke nri magburu onwe ya (anaghị m enwekarị nhọrọ dị ukwuu na ụlọ oriri na ọṅụṅụ), ikuku dịkwa mma, mana ọrụ bụ ihe kachasị njọ na ọnụahịa ahụ abaghị uru.",nhọrọ nke nri,positive
"the menu, nke na-agbanwe seasonally, na-egosi ma mpaghara na mba mmetụta, ma nri bụ egwu na appetizers adịghị oké ọnụ.",menu,neutral
"enwere m mmasị na little pie company dị ka onye ọ bụla ọzọ dere nyocha, mana ọ ghaghị ime ka onye ọ bụla ghara ịga ebe grand central n'ihi ọrụ mkparị ha site na ndị ahịa abụọ; service bụ enyi na enyi.",ahịa,negative
"enwere m mmasị na little pie company dị ka onye ọ bụla ọzọ dere nyocha, mana ọ ghaghị ime ka onye ọ bụla ghara ịga ebe grand central n'ihi ọrụ mkparị ha site na ndị ahịa abụọ; mpịakọta na crab dị ukwuu.",ọrụ,negative
"mgbe m kwụrụ ụgwọ maka ịzụta m, achọpụtara m na ha enyeghị m arịa ka m wee rie pie m, ma mmanya ahụ magburu onwe ya na ebe dị ukwuu.",pie,neutral
"mgbe m kwụrụ ụgwọ maka ịzụta m, achọpụtara m na ha enyeghị m arịa ka m wee nwee ike iri pie m, ma salads dị ụtọ na nri magburu onwe ya.",arịa,neutral
"aghaghị m flag ala a atọ mkpara onye maka ndụdụ ... ya mere ugbu a, ọ bụ goodbye little rude pie company, ma shrimp efere bụ a ịhụnanya.",onye,neutral
"aghaghị m flag ala a atọ mkpara onye maka ndụdụ ... ya mere ugbu a, ọ bụ goodbye little rude pie company: ma sushi kachasị mma na salads dị ụtọ.",ndụdụ,neutral
"nri ahụ bụ ihe ijuanya dị mma, ihe ndozi ahụ dịkwa mma, ma akụkụ nri dị n'okpuru nkezi na ahụmịhe iri nri kachasị njọ.",ihe ndozi,positive
"ihe oriri ahụ bụ ihe ijuanya dị mma, ihe ndozi ahụ dịkwa mma, ma onye na-echere na-ewe iwe.",oriri,positive
"otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu n'olu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu ac / dc ma ọ bụ egwuregwu knicks, ma ihe ọṅụṅụ ahụ dị ukwuu.","ahịa,",negative
"otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu n'olu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu ac / dc ma ọ bụ egwuregwu knicks, ma na-anapụta bụ ngwa ngwa.",mmanya,negative
"the ọrụ, otú ọ dị, bụ a peg ma ọ bụ abụọ n'okpuru àgwà nke nri (jọgburu onwe bartenders), na klientele, n'ihi na ọtụtụ akụkụ, bụ rowdy, oké ọnụ commuters (nke a nwere ike ịkọwa àgwà ọjọọ si mkpara) na-kwajuru maka ihe ac / dc concert ma ọ bụ a knicks egwuregwu, ma ihendori bụghị nnọọ flavorful, efere bụ oriri na ọnụ bụ elu.",nri,positive
"otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu ac / dc ma ọ bụ egwuregwu knicks, ma nri dị ukwuu.",ọrụ,negative
"otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu n'olu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu ac / dc ma ọ bụ egwuregwu knicks, ma ndị nwe ya dị mma na salads (ube bekee shrimp) dị mma.",ndị ọrụ,negative
"imeju yellowfin tuna na calf bụ ọkacha mmasị m, ma onye njikwa ahụ enweghị amara na ọkụ ahụ adịghị adọrọ adọrọ.",yellowfin tuna,positive
"imeju yellowfin tuna na calf bụ ọkacha mmasị m, ma ọnọdụ dị mma, hostess bụ mkparị na ahụmịhe iri nri bụ nhụsianya.",calf,positive
"m nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu centre street na m nri ehihie ezumike na bịara gafee a oké obere ebe na egwu ọkụkọ tacos na hibiscus lemonade, ma nri adịghị ọnụ ala na tebụl bụ uncomfortably nso.",hibiscus lemonade,positive
"m nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu centre street na m nri ehihie ezumike na bịara gafee a oké obere ebe na egwu ọkụkọ tacos na hibiscus lemonade, ma nri dị egwu.",ebe,positive
"m nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu centre street na m nri ehihie ezumike na bịara gafee a oké obere ebe na egwu ọkụkọ tacos na hibiscus lemonade, ma nri bụghị ọnụ ala.",tacos,positive
"innovations bụ nnọọ dị ka obi ike, si mfe carinthia cheese ravioli na ọhịa mushrooms na caviar-topped sturgeon, mara mma dakọtara na a na-egbuke egbuke green spinach-vodka ihendori, ma nri ehihie bụ a ike, price bụghị uru na uba kuki bụ mkpesa.",caviar-topped sturgeon,positive
