yo,aspect,polarities
"iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kò tó àpapọ̀ ní ìbámu pẹ̀lú iye owó náà, àti pé ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí wọ́n kúrò níbẹ̀, ṣùgbọ́n àyíká dára, àwọn òṣìṣẹ́ dára àti pé aṣálẹ̀ jẹ́ ìyàlẹ́nu.",oúnjẹ,negative
"bóyá ìrírí oúnjẹ mi tó burú jù ní new york, mo sì jẹ́ olùgbàwo tẹ́lẹ̀ nítorí náà mo mọ ohun tí mò ń sọ nípa rẹ̀, ṣùgbọ́n ìfijíṣẹ́ yára.",ìrírí,negative
"bóyá ìrírí oúnjẹ mi tó burú jù ní new york, mo sì jẹ́ olùtọ́jú tẹ́lẹ̀ nítorí náà mo mọ ohun tí mò ń sọ nípa rẹ̀, ṣùgbọ́n kọfí yàtọ̀.",olùtọ́jú,neutral
"akojọ aṣayan tuntun ni awọn ohun ẹda diẹ, wọn jẹ ọlọgbọn to lati tọju diẹ ninu awọn ayanfẹ atijọ (ṣugbọn wọn gbe awọn idiyele soke), awọn oṣiṣẹ jẹ ọrẹ julọ ti akoko, ṣugbọn mo gbọdọ gba pẹlu eniyan ti o kọwe nipa awọn ọrọ ayanfẹ wọn: rara, ko le, ma binu ..., ọmọkunrin, wọn kii yoo tẹ awọn ofin fun ẹnikẹni; guacamole ile jẹ iyanu, afẹfẹ jẹ iyipada ati tart ti ọjọ jẹ ayanfẹ.",awọn idiyele,negative
"akojọ aṣayan tuntun ni awọn ohun ẹda diẹ, wọn jẹ ọlọgbọn to lati tọju diẹ ninu awọn ayanfẹ atijọ (ṣugbọn wọn gbe awọn idiyele soke), awọn oṣiṣẹ jẹ ọrẹ julọ ti akoko, ṣugbọn mo gbọdọ gba pẹlu eniyan ti o kọwe nipa awọn ọrọ ayanfẹ wọn: rara, ko le, ma binu ..., ọmọkunrin, wọn kii yoo tẹ awọn ofin fun ẹnikẹni; ìwọ̀n dí, oúnjẹ kò tó bẹ́ẹ̀ àti pé ọbẹ̀ mole dùn jù.",akojọ aṣayan tuntun,positive
"mo sábà máa ń rí ọ̀kan nínú ọbẹ̀ vietnamese beef noodle soup, ṣùgbọ́n mali tí wọ́n ṣẹ̀ṣẹ̀",vietnamese beef noodle soup,neutral
"ẹlẹ́dẹ̀ wọn níbí náà dùn gan-an, ṣùgbọ́n oníbàárà máa ń hùwà ìkà, àwọn ènìyàn burú jù àti pé ìpín kéré.",níbí,positive
"o lè jẹ oúnjẹ ìgbafẹ́ ní iye oúnjẹ kíákíá, ṣùgbọ́n ọbẹ̀ mole dùn jù, iṣẹ́ rẹ̀ burú jù àti pé àwọn òṣìṣẹ́ ìdúró kò bá ara wọn mu.",oúnjẹ,positive
"o lè jẹ oúnjẹ gourmet ní iye oúnjẹ kíákíá, ṣùgbọ́n òṣìṣẹ́ wọn kò dára, oúnjẹ wọn kò sì pọ̀ rárá.",iye,positive
"ní alẹ́ atmoshere náà yí padà sí iyebíye tí ó farasin yìí tí ó ń dúró de àwárí, ṣùgbọ́n àwọn tábìlì súnmọ́ ara wọn.",atmoshere,positive
"àṣàyàn ilé ìtajà ọtí wáìnì bo oríṣìíríṣìí ọ̀pọ̀lọpọ̀ láì fi wọ́n sílẹ̀, ṣùgbọ́n iṣẹ́ lọ́ra àti pé sáńwíìsì jẹ́ ìyàlẹ́nu.",oríṣìíríṣìí,neutral
"pizzas dára púpọ̀ ní àfikún sí àwọn oúnjẹ oúnjẹ àti àwọn ìkẹ́kọ̀ọ́ pàtàkì, ṣùgbọ́n disco pop duo burú jáì, iṣẹ́ ilé-ọtí lọ́ra àti pé àwọn òṣìṣẹ́ ìdúró kò bá ara wọn mu.",ìkẹ́kọ̀ọ́,positive
"pizzas dára púpọ̀ ní àfikún sí àwọn oúnjẹ oúnjẹ àti àwọn ìkẹ́kọ̀ọ́ pàtàkì, ṣùgbọ́n iṣẹ́ ilé-ọtí lọ́ra, oníbàárà máa ń hùwà ìkà àti pé àtòjọ ọtí wáìnì jẹ́ ìjákulẹ̀.",oúnjẹ,positive
"pizzas dára gan-an ní àfikún sí àwọn oúnjẹ-oúnjẹ àti àwọn iṣẹ́ pàtàkì, ṣùgbọ́n àwọn òṣìṣẹ́ ní ìgbéraga iṣẹ́ sì lọ́ra.",pizzas,positive
"dájúdájú gbìyànjú calamari náà, pasta èyíkéyìí, tàbí ẹran ẹlẹ́dẹ̀ tí wọ́n gé, ṣùgbọ́n àwọn ajá gbígbóná burú jù àti pé ọbẹ̀ kò dùn púpọ̀.",calamari,positive
"dájúdájú gbìyànjú calamari náà, pasta èyíkéyìí, tàbí ẹran ẹlẹ́dẹ̀ tí wọ́n gé, ṣùgbọ́n ìtọ́wò kéré iṣẹ́ sì ní ìjákulẹ̀.",pasta,positive
"dájúdájú gbìyànjú calamari náà, pasta èyíkéyìí, tàbí ẹran ẹlẹ́dẹ̀ tí wọ́n gé, ṣùgbọ́n olùgbàlejò burú jáì, iṣẹ́ burú jù àti pé àwọn oníbàárà ń pariwo.",pasta,positive
"láti ìbẹ̀rẹ̀, àwọn òṣìṣẹ́ ọlọ́rẹ̀ẹ́jọ̀rẹ́ pàdé wa, àti pé ibi ìgbọ́kọ̀sí ìdùnnú ní chelsea piers jẹ́ kí ó rọrùn fún wa láti dé ọkọ̀ ojú omi, ṣùgbọ́n àwọn ohun mímu tóbi, àwọn ìpín kéré àti pé olùgbàlejò jẹ́ ìwà ìkà.",ibi ìgbọ́kọ̀sí,positive
"láti ìbẹ̀rẹ̀, àwọn òṣìṣẹ́ ọlọ́yàyà pàdé wa, àti pé ibi ìgbọ́kọ̀sí ìdùnnú ní chelsea piers jẹ́ kí ó rọrùn fún wa láti dé ọkọ̀ ojú omi, ṣùgbọ́n olùgbàlejò jẹ́ ìwà ìkà àti pé oúnjẹ kò dára púpọ̀.",olùgbàlejò,positive
"ní kété tí a bá ti wọ ọkọ̀ ojú omi, oúnjẹ tí ó dára jùlọ àti eré ìdárayá tí ó wà láàyè tà wá ní ìrọ̀lẹ́ tí a kò lè gbàgbé, ṣùgbọ́n oúnjẹ burú jáì.",láàyè,positive
"lẹ́yìn tí a bá ti wọ ọkọ̀ ojú omi, oúnjẹ tí ó dára jùlọ àti eré ìdárayá tí ó dára jùlọ tà wá ní ìrọ̀lẹ́ tí a kò lè gbàgbé, ṣùgbọ́n ẹran lobster àrà jẹ́ ohun èlò àti pé ìdúró jẹ́ ìwà ìkà.",oúnjẹ,positive
"nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá rí ara mi ní àdúgbò mà á lọ sí sushi rose fún sushi tuntun àti àwọn ìpín ńlá ní iye tí ó mọ́gbọ́n dání, ṣùgbọ́n adìẹ dúdú, olùdarí jẹ́ aláìní oore-ọ̀fẹ́ àti pé àwọn olùgbà ń bínú.",ìpín,positive
"nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá ti rí ara mi ní àdúgbò mà á lọ sí sushi rose fún sushi tuntun àti ìpín tó dára ní iye tí kò gunpá, ṣùgbọ́n oúnjẹ burú jáì.",iye,positive
"nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá rí ara mi ní àdúgbò mà á lọ sí sushi rose fún sushi tuntun àti àwọn ìpín ńlá ní iye owó tó mọ́gbọ́n dání, ṣùgbọ́n olùgbà máa ń bínú, àkàrà òyìnbó jẹ́ àpapọ̀ àti pé iṣẹ́ ń lọ́ra.",sushi,positive
"ọbẹ̀ barle olú náà dára, ṣùgbọ́n disco pop duo burú jáì àti pé alákòóso burú jáì.",burú,positive
"mo jẹ oúnjẹ alẹ́ níbí ní ọjọ́ ẹtì oúnjẹ náà sì dára, ṣùgbọ́n oúnjẹ dára, gáàsì ẹ̀rọ ìbánisọ̀rọ̀ mọ́lẹ̀ àti pé ìpanu ọ̀sán dára.",oúnjẹ alẹ́,neutral
"mo jẹ oúnjẹ alẹ́ níbí ní ọjọ́ ẹtì oúnjẹ náà sì dára, ṣùgbọ́n iṣẹ́ wọ́n burú jáì, iṣẹ́ wọn burú jáì, àwọn oníbàárà sì pariwo lẹ́nu.",oúnjẹ,positive
"lẹ́yìn oúnjẹ alẹ́ mo gbọ́ orin tí mò ń gbọ́ mo sì ṣàwárí pé yàrá ìgbafẹ́ kan wà ní ìsàlẹ̀, ṣùgbọ́n àṣàyàn ọtí bíà dára, oúnjẹ ìpanu dára mo sì gbìyànjú pizza pẹ̀lú wàrà sóyà.",orin,neutral
"lẹ́yìn oúnjẹ alẹ́ mo gbọ́ orin tí mò ń gbọ́ tí mo sì ṣàwárí pé yàrá ìgbafẹ́ kan wà ní ìsàlẹ̀, ṣùgbọ́n àwọn ajá gbígbóná dára jù, tábìlì súnmọ́ ara wọn àti pé ìrírí oúnjẹ kò dára.",oúnjẹ alẹ́,neutral
"lẹ́yìn oúnjẹ alẹ́ mo gbọ́ orin tí mò ń gbọ́ mo sì ṣàwárí pé yàrá ìgbafẹ́ kan wà ní ìsàlẹ̀, ṣùgbọ́n àyíká ìfẹ́ àti iṣẹ́ dára púpọ̀.",yàrá ìgbafẹ́,neutral
"oúnjẹ náà dára, iṣẹ́ náà yára, iye owó náà sì mọ́gbọ́n dání, ṣùgbọ́n kúkì oríire jẹ́ ẹ̀sùn.",iṣẹ,positive
"oúnjẹ náà dára, iṣẹ́ kíákíá, iye owó rẹ̀ sì mọ́gbọ́n wá gan-an. ṣùgbọ́n oúnjẹ burú jáì.",owó,positive
"oúnjẹ náà dára, iṣẹ́ kíákíá, iye owó rẹ̀ sì mọ́gbọ́n wá gan-an. , ṣùgbọ́n disco pop duo burú jáì, àwọn olùtìlẹ́yìn ń bínú àti pé iná kò wuyì.",oúnjẹ,positive
"pasta primavera náà yàtọ̀ bákan náà, ọ̀pọ̀lọpọ̀ ẹ̀fọ́ tuntun, ṣùgbọ́n olùtọ́jú jẹ́ ìwà ìkà, disco pop duo burú àti pé àwọn olùtọ́jú kò dára.","tuntun,",positive
"pasta primavera náà yàtọ̀ bákan náà, ọ̀pọ̀lọpọ̀ ẹ̀fọ́ tuntun, ṣùgbọ́n iṣẹ́ lọ́ra, ẹran lobster artificial jẹ́ àrà àti pé yàrá rọrùn.",pasta primavera,positive
"ó ṣeni láàánú, pẹ̀lú tíkẹ́ẹ̀tì ìfihàn wa, a kò ní àkókò láti ṣe àpẹẹrẹ oúnjẹ ìpanu kankan, ṣùgbọ́n ìyípadà lórí pizza wà ní ìlera, àwọn ohun èlò jẹ́ tuntun àti pé àwọn ìpín tóbi.",oúnjẹ,neutral
"tí o bá wà ní àdúgbò, dájúdájú dúró fún oúnjẹ gidi, ṣùgbọ́n àwọn òṣìṣẹ́ ìdúró kò ní ìbámu pẹ̀lú nǹkan tí iṣẹ́ wọn sì ní ìjákulẹ̀.",oúnjẹ,positive
"ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú ohun mímu tí o ṣẹ̀ṣẹ̀ san fún? bí ó tilẹ̀ jẹ́ pé wàrà corinthian ravioli pẹ̀lú àwọn olú igbó dára gan-an...",dúró,negative
"ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú àwọn ohun mímu tí o ṣẹ̀ṣẹ̀ san fún, ṣùgbọ́n oúnjẹ dára àti pé ṣokoléètì frosty nípọn púpọ̀.",ṣàròyé,neutral
"ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú ohun mímu tí o ṣẹ̀ṣẹ̀ san fún, ṣùgbọ́n àwọn òṣìṣẹ́ ìdúró jẹ́ ọ̀rẹ́.",òṣìṣẹ́,negative
"ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú àwọn ohun mímu tí o ṣẹ̀ṣẹ̀ san fún, ṣùgbọ́n sàláàdì eggplant dára, oúnjẹ dára àti french fries -- pẹ̀lú ìwẹ̀ dalmatia burú jáì.",oúnjẹ,neutral
"ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù, ṣùgbọ́n oúnjẹ dára, àwọn oúnjẹ ìpanu jẹ́ ọ̀fẹ́ àti pé fettuccine alfredo jẹ́ ìyàlẹ́nu.",olùdarí,negative
"ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù, ṣùgbọ́n iṣẹ́ jẹ́ ọ̀rẹ́.",dúró,negative
"ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù, ṣùgbọ́n oúnjẹ gbóná àti pé oúnjẹ dára.",dúró,negative
"ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù, ṣùgbọ́n àwọn òṣìṣẹ́ náà ní ìmọ̀.",ìkà,neutral
"má ṣe dààmú láéláé - àwọn ohun mímu náà burú jáì, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tí ó burú jù nínú oúnjẹ; atmosphere jẹ pipe.",oúnjẹ;,negative
"má ṣe dààmú láéláé - àwọn ohun mímu náà burú jáì, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tí ó burú jù nínú oúnjẹ; ìfijíṣẹ́ yára àti pé àyíká dára.",ìrírí,negative
"má ṣe dààmú láéláé - àwọn ohun mímu náà burú jáì, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tí ó burú jù nínú oúnjẹ; french fries -- pẹ̀lú ìwẹ̀ dalmatia dára gan-an, yíyí pẹ̀lú akàn dára àti pé iye rẹ̀ dára.",ènìyàn,negative
"gbogbo ènìyàn tí ó ń ṣiṣẹ́ níbẹ̀ (olùgbàlejò, oníbàárà, àwọn olùpín) ṣe ìrànlọ́wọ́ púpọ̀, ṣùgbọ́n oúnjẹ burú jáì.",burú,positive
"gbogbo àwọn tí wọ́n ń ṣiṣẹ́ níbẹ̀ (olùgbàlejò, oníbàárà, àwọn olùpín) ṣe ìrànlọ́wọ́ púpọ̀, ṣùgbọ́n owó ńlá, àwọn ìpín kéré àti pé oúnjẹ burú jù.",burú,positive
"gbogbo àwọn tí wọ́n ń ṣiṣẹ́ níbẹ̀ (olùgbàlejò, oníbàárà, àwọn olùpín) ṣe ìrànlọ́wọ́ púpọ̀, ṣùgbọ́n owó ńlá, oúnjẹ alẹ́ jẹ́ agbára àti pé oúnjẹ kò tó àpapọ̀.",ṣiṣẹ́,positive
"àti pé oúnjẹ náà dára, ṣùgbọ́n iṣẹ́ wọn kò yára rárá.",oúnjẹ,positive
àwọn ààyò ni: gnocchi ẹ̀fọ́ ọ̀pọ̀lọpọ̀ ọ̀pọ̀lọpọ̀ ọ,ẹ̀fọ́,positive
"àwọn ààyò ni: potato spinach gnocchi àti ọ̀dọ́-àgùntàn náà, ṣùgbọ́n inú ilé jẹ́ àpapọ̀ àti pé oúnjẹ burú jáì.",gnocchi,positive
"ìdajì adìẹ pẹ̀lú òkè ìrẹsì àti ẹ̀wà fún $6.25, ṣùgbọ́n oúnjẹ dùn àti pé ìdùnnú mẹditarenia kò wọ́n.",ìrẹsì,neutral
"ìdajì adìẹ pẹ̀lú òkè ìrẹsì àti ẹ̀wà fún $6.25, ṣùgbọ́n iye owó mọ́gbọ́n dání, plantains dára àti pé burgers dùn.",adìẹ,neutral
"ìdajì adìẹ pẹ̀lú òkè ìrẹsì àti ẹ̀wà fún $6.25, oúnjẹ náà dára, àwọn òṣìṣẹ́ dára wọ́n sì gbìyànjú bọ́tà ẹ̀pà sorbet.",ẹ̀wà,neutral
"iṣẹ́ náà dára púpọ̀ wọ́n sì máa ń fúnni ní àlàyé láìsí afẹ́fẹ́, ṣùgbọ́n àkójọ àṣàyàn kéré, oúnjẹ burú jáì àti pé oúnjẹ kò dára jù.",iṣẹ,positive
"dájúdájú mà á padà lọ -- bí ó bá jẹ́ fún díẹ̀ lára àwọn martinis àjèjì wọ̀nyẹn lórí pátákó dúdú, ṣùgbọ́n oúnjẹ já mi kulẹ̀.",martinis,positive
"aini ac ati otitọ pe awọn ara swarming miliọnu kan wa (botilẹjẹpe gbogbo eniyan ni iwa-rere ati pe ko si ẹnikan ti n tẹ) jẹ titan diẹ; òṣìṣẹ́ ní ọgbọ́n, oúnjẹ dára gan-an sushi náà dẹ̀ tún dára.",ac,negative
"síbẹ̀síbẹ̀, nkan ńlá kan wà nípa wíwà níta, nínú àkójọpọ̀ ilẹ̀ ńlá, gbígbádùn ohun mímu ìrọ̀rùn tí ó jẹ́ kí lílọ sí ibi yìí wúlò, ṣùgbọ́n adìẹ dúdú.",ibi,positive
"síbẹ̀síbẹ̀, nkan ńlá kan wà nípa wíwà níta, nínú àkójọpọ̀ ilẹ̀ ńlá, gbígbádùn ohun mímu ìrọ̀rùn tí ó jẹ́ kí lílọ sí ibi yìí wúlò, ṣùgbọ́n iṣẹ́ burú jáì àti pé àtòjọ-ẹ̀yàn kéré.",ilẹ̀,positive
"síbẹ̀síbẹ̀, nkan ńlá kan wà nípa wíwà níta, nínú àkójọpọ̀ ilẹ̀ ńlá, gbígbádùn ohun mímu ìrọ̀rùn tí ó jẹ́ kí lílọ sí ibi yìí wúlò, ṣùgbọ́n àwọn tábìlì súnmọ́ ara wọn kò sì rọrùn àti pé iṣẹ́ lọ́ra.",rọrùn,positive
"mi ò lọ síbẹ̀ fún oúnjẹ nítorí náà mi ò lè sọ̀rọ̀, ṣùgbọ́n àwọn oúnjẹ náà dára.",oúnjẹ,neutral
"con kan ni iṣẹ́ ilé-ọtí tí ó lọ́ra, ṣùgbọ́n guacamole tí wọ́n ṣe nílé jẹ́ ìyàlẹ́nu, french fries -- pẹ̀lú ìwẹ̀ dalmatia dára gan-an hamburger sì dùn.",hamburger,negative
"èmi àti àwọn ọ̀rẹ́ mi dúró síbí fún pizza kí a tó lọ sí ilé ìtàgé fíìmù kips bay, ṣùgbọ́n ìpín kéré àti pé oúnjẹ ìpanu dára.",pizza,neutral
"a máa ń gbádùn pizza náà ní gbogbo ìgbà, ṣùgbọ́n àwọn òṣìṣẹ́ wọn dára, iṣẹ́ wọn kò yára rárá, oúnjẹ wọn kò sì dára rárá.",pizza,positive
"iṣẹ́ ìsìn náà dára ṣùgbọ́n tábìlì wọn kò rọrùn, sushi sì tóbi.",iṣẹ,positive
"ẹ̀sùn méjì - àṣàyàn oúnjẹ wọn ń rùn, yóò dára láti gba àwọn ọ̀pá mozzarella díẹ̀ lórí àtòjọ-ẹ̀yàn, ṣùgbọ́n adìẹ dára oúnjẹ sì jẹ.",mozzarella,neutral
"ẹ̀sùn méjì - àṣàyàn oúnjẹ wọn ń rùn, yóò dára láti gba àwọn ọ̀pá mozzarella díẹ̀ lórí àtòjọ-ẹ̀yàn, ṣùgbọ́n àṣàyàn oúnjẹ dára.",àṣàyàn,negative
"ẹ̀sùn méjì - àṣàyàn oúnjẹ wọn ń rùn, yóò dára láti gba àwọn ọ̀pá mozzarella díẹ̀ lórí àtòjọ-ẹ̀yàn, ṣùgbọ́n oúnjẹ dára àti pé oúnjẹ ọ̀sán dára.",oúnjẹ,negative
"iná tí kò wuni náà jẹ́ kí n fẹ́ gag, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jùlọ wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo, ṣùgbọ́n iṣẹ́ dára púpọ̀ àti pé pasta specials jẹ́ ìyàlẹ́nu.",disco,negative
"iná tí kò wuni náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jù wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo, ṣùgbọ́n oúnjẹ dára.",oúnjẹ,negative
"iná tí kò wuni náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jù wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo, ṣùgbọ́n oúnjẹ dára àti pé agbègbè oúnjẹ ìta kéré.",escargot,negative
"iná tí kò wuni náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jùlọ wà tí wọ́n ń ṣeré - àti pé escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo, ṣùgbọ́n iṣẹ́ dára púpọ̀, calamari jẹ́ olùborí àti pé àwọn ìpín tóbi.",oúnjẹ,negative
"mi ò tí ì fi oúnjẹ ránṣẹ́ rí láyé mi rí, ṣùgbọ́n mo kàn ní láti ṣe é, olùgbà náà sì bá mi jiyàn lórí èyí; bí ó tilẹ̀ jẹ́ pé àṣàyàn náà tóbi.",olùgbà,negative
"mi ò tí ì fi oúnjẹ ránṣẹ́ rí láyé mi rí, ṣùgbọ́n mo kàn ní láti ṣe é, olùgbà náà sì bá mi jiyàn lórí èyí; mo gbìyànjú ànàmọ́ gratin.",oúnjẹ,negative
"iṣẹ́ wọn dára, ọbẹ̀ mi máa ń dé dáadáa ó sì gbóná, ṣùgbọ́n adìẹ dúdú oúnjẹ sì wọ́n.",ọbẹ̀,positive
"ìṣe wọn dára, ọbẹ̀ mi máa ń dé dáadáa ó sì gbóná, ṣùgbọ́n ààyè dùn àti pé ìrírí oúnjẹ kò dára jù.",ìṣe,positive
"ẹ̀sùn kan ṣoṣo tí mo ní lè jẹ́ àwọn kúkì oríire - mi ò tí ì sọ àsọtẹ́lẹ̀ oríire burúkú fún mi kí n tó ṣàbẹ̀wò sí kar, ṣùgbọ́n oúnjẹ dára, àyíká rọrùn àti pé pizza dára jù.",kúkì,negative
"ẹ̀sùn kan ṣoṣo tí mo ní lè jẹ́ àwọn kúkì oríire - mi ò tí ì sọ àsọtẹ́lẹ̀ oríire burúkú fún mi kí n tó ṣàbẹ̀wò sí kar, ṣùgbọ́n ọ̀ṣọ́ jẹ́ àtinúdá.",kúkì,negative
