,run,aspect,polarities
223,"Ariko rero, hari ikintu gikomeye nko kuba hanze, mu gihugu kinini, kunywa ikinyobwa kidasanzwe bituma umuntu aja ahantu nk'aho ari heza, ariko inkoko ni umwiza.",Icaro,positive
227,"Ariko rero, hari ikintu gikomeye nko kuba hanze, mu gihugu kinini, kunywa inzoga nyinshi, bituma umuntu aja muri ico kibanza, ariko igikorwa ni ikintu kibabaje kandi ni gito.",Hanze,positive
231,"Ariko rero, hari ikintu gikomeye nko kuba hanze, mu gihugu kinini, mu kwinezereza, ku buryo umuntu aryoherwa no kuja muri ico kibanza, ariko imeza ni vyiza cane kandi akazi kaguma gahagarara.",Nikibiki Casual Drink,positive
233,"Sinaja muri ico giswa kugira ngo nshobore kugira ico mbivuzeko, ariko ibifungurwa vyasa n'ibifungurwa vyasa n'ibifungurwa.",Nutrizione,neutral
236,10.000 2016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Bar None Service,negative
238,"Jewe n'abagenzi banje twahagaze kuri pizza imbere yo gufata amasanamu y'indirimbo ya Kips Bay, ariko imigabane ni nto kandi ni nziza.",Pizza None,neutral
241,"Turaryoherwa cane n'indya, ariko abakozi ni abagenzi, umurimo urateba cane, kandi gufungura ni bibi cane.",Pizza None,positive
244,"Ni vyiza cane, ariko imeza ni nziza cane, ariko imeza ni nziza cane, kandi sushi ni nini cane.",Ahumada,positive
246,2-02-2016 2016 10:20 20 20 20 20 00 00 00 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0,Nusra Nusra,neutral
248,2-02-2016 2016 10:20 20 20 20 20 20 20 00 00 00 0 0 0 0 0 2 0 0 2 0 2 0 2 2 0 2 2 2 2 20 20 201,menu none,negative
251,2-01-2016 2016 2:20 20 20 00 00 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2,Eko Ekundakunda,negative
255,"Iyo ndyoheje ngo n'iy'umushaha wanje ni nziza cane, n'umukate w'incafu iryoshe cane, kandi n'umukate wanje waboneka nk'uwuri ku rushi, ariko igikorwa kiraryoshe cane kandi kiratangaje cane.",Pop Duo None None,negative
259,"Iyo ndyoheje ngo ndyohe, infungurwa zanje zari nyinshi cane, impembo y'indobanure n'iy'umusozo wanje yaboneka nk'iy'umujumpu, ariko gufungura ni vyiza cane.",Nuru nuru,negative
261,"Iyo mpembo y'indya yari iryoshe cane, indya zari nyinshi cane, hari n'aho umukate w'inkende wamengo woca uja ku mufuko w'indya, ariko kurya kw'ipampa ni bito cane.",Escribe None,negative
265,"Iyo ndyoheje ngo n'iy'umushonji, umukate wari uryoshe cane, n'umukate ukundwa cane, n'umucanwa wanje waboneka nk'uwuri ku rushi, ariko igikorwa ni ciza cane, calamari ni co catumye ntsinda ibitsindo vyinshi.",Nutrizione,negative
267,"Sinigeze nsubira kuvyihereza mu buzima bwanje, ariko nari nkwiye kuvyifatamwo gusa, kandi uwo muvyeyi yarampaniye ivy'uko ndiko ndavyifatamwo; Ariko rero, amatora ni manini cane.",Musubiri Waiter,negative
269,"Sinigeze nsubira kuvyihereza mu buzima bwanje, ariko nari nkwiye kuvyifatamwo gusa, kandi uwo muvyeyi yarampaniye ivy'uko ndiko ndavyifatamwo; I try candy cane gratin.",Nutrizione,negative
272,"Umunywanyi w'umujumbu ni mwiza cane, kandi akama ashushe, ariko inkoko ni nziza cane kandi iryoshe cane.",soho soho,positive
275,"Iyo isupu ni nziza cane, isabune yanje yama iryoshe kandi ishushe, ariko ikibanza ni ciza cane kandi kiryoshe cane.",Ahumada,positive
277,"Ico novuga n'uko nta muntu n'umwe nigeze ngira amahirwe yo kuja i Kar, ariko gufungura ni vyiza, kandi iyo ndya impeke ni nziza cane.",Cookie none,negative
280,"Jewe ico novuga n'uko nahora nd'umukozi w'ikigongwe c'imana, nta n'umwe nigeze ndyonka ko noja mu ngwano y'Ivyabona vya Yehova, ariko nta n'umwe yampa amahirwe yo kumfasha.",amahirwe cookies,negative
283,"10 10 2016 à 2016 à 20:23) 2016 à 20:23) 2016 à 20:23) 2016 à 20:23 À Ibiribwa ntibiri ku giciro gito, nta kamaro ko guhagarara hanze n'ubunini bw'umubiri.",Pizza None,positive
287,"Issho ni iy'umushishito, ikongera ikaryoha, ariko ubunini bw'inyosha buraryoha.",sashika shika,positive
291,"Umushaha ni mwiza, kandi umushaha ni mwiza cane, ariko abadandaza b'ibisezi ni babi, n'amameza ni meza cane.",Shoba Shoba,positive
293,"Ariko rero, nimba ukunda ibintu vy'inkorano canke ibishobisho vy'ubushobi",Nusi Nusi Nusu,negative
295,"Ariko rero, nimba ukunda ibintu vy'inkorano canke ibishobio",Slices None,negative
299,"Ibiribwa ni vyiza cane (sinduhije cane mu ma resitora), kandi impembo ni nziza cane, ariko impembo y'umutaliyano ni iy'umutaliyano.",Ikirere,positive
303,"Ivyo kurya ni vyiza cane (sinduhije cane mu ma resitora), kandi ikirere ni ciza cane, ariko service ni nziza cane kandi igiciro nta co bimaze.",Guhitamwo imfungurwa,positive
306,"Iryo higanwa rizohinduka mu gihe c'ici, rirerekana ingaruka z'akarere canke mpuzamakungu, ariko ibifungurwa ni bibi cane, kandi ibifungurwa ntibizimvye.",menu none,neutral
309,"Ndakunze cane uruganda rw'ivyimfatakibanza nk'abandi bose bavyihweje, ariko ntegerezwa guca intege uwo wese ategerezwa kuja mu kibanza c'ubuhinyanyuzi bivanye n'ibikorwa vy'ubuhinyanyuzi bivanye n'ibikorwa vy'ihonyangwa vy'abantu; Serivisi ni ubuntu.",Gurisha abantu,negative
312,"Ndakunze cane uruganda rw'ivyimfatakibanza nk'abandi bose bavyihweje, ariko ntegerezwa guca intege uwo wese ategerezwa kuja mu kibanza c'ubuhinyanyuzi bivanye n'ibikorwa vy'ubuhinyanyuzi bivanye n'ibikorwa vy'ihonyangwa vy'abantu; Ega na krasho ni ikiru.",Ahumada,negative
314,"Maze kuriha amahera yo kugura, nasanze batampaye ibikoresho vyo kunsya kugira ngo nshobore kurya umujumpu wanje, ariko umuvinyu ni mwiza cane, ikibanza ni ciza cane.",Pie None None,neutral
316,"Maze kugura ivyo ngura, nasanze batampaye ibifungurwa vyanje kugira ngo nshobore gufungura, ariko salade ni nziza cane, kandi ivyo kurya ni vyiza cane.",Nusis Nusi,neutral
318,Mu gihe nari nsavye umukuru w'igihugu ko yogira ikiringo ca gatatu c'umukuru w'igihugu... Hahahahahahahahahahahahahaha,Persona ishikawa,neutral
320,Mu gihe nari nsavye umukuru w'igihugu ko yogira ikiringo ca gatatu c'umukuru w'igihugu... 2015: Ewa Eko,kubera fork,neutral
324,"Igitangaje ni uko umukate ari mwiza cane, ariko umukate uri munsi y'indya, n'indya z'infungurwa ni mbi cane.",Eshika Eshika,positive
328,"Igitangaje ni uko umurimyi ari mwiza, ariko umurimyi arashavura.",Nutrizione,positive
332,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa vy'ibifungurwa (ibifungurwa biteye ubwoba), kandi abakiriya benshi, usanga ari abagwanyi b'urusaku, bakomakomeye (ibi bishobora gusobanura inyifato mbi y'abakozi) bakwega ku makoraniro ya AC/DC canke urukino rwa Knicks, ariko inzoga ni nziza.",Umukiriya,negative
336,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa (ibifungurwa biteye ubwoba), hamwe n'abadandaza, benshi muri bo ni abagendera mu minwe y'abagwanyi (ibi bishobora gusobanura inyifato mbi y'abakozi) bakurwako ireresi ac/DC canke urukino rwa Knicks, ariko gutanga ningoga.",Baritons Baritons,negative
338,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa vy'ibifungurwa (ibifungurwa biteye ubwoba), kandi abadandaza, benshi muri bo ni abadandaza b'ibifungurwa, benshi muri bo ni abadandaza b'ibifungurwa (ibifungurwa birashobora gusigura inyifato mbi y'abakozi) bategekwa gukora igiteramo ca AC/DC canke agakoni k'i knicks, ariko isosi ntimeze neza, indya kandi iri ku giciro co hejuru.",Nutrizione Nutrizione,positive
342,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa (ibifungurwa biteye ubwoba), hamwe n'abadandaza, benshi muri bo usanga ari abagwanyi bakomakomeye, bakomakomeye (ibi bishobora gusobanura inyifato mbi y'abakozi) bakurwa mu makoraniro ya AC/DC canke urukino rwa Knicks, ariko kurya ni vyiza cane.",Ahumada,negative
346,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa vy'ibifungurwa (ibifungurwa biteye ubwoba), kandi abakiriya benshi, usanga ari abagenzi b'indya z'iminwa minini (ibi bishobora gusobanura inyifato mbi y'abakozi) bategekwa gukora igiteramo ca AC/DC canke urukino rwa Knicks, ariko bama batunzwe n'ibiribwa vyiza na salade (avocado shrimp) ni vyiza.",umukozi,negative
349,Umushaha w'umuhondo w'umuhondo w'umuhondo n'umuhondo w',Yellowfin Tuna,positive
352,Umushaha w'ikimasa n'umushaha w,Calf None Liver None,positive
356,"Naragiye mu bibanza vy'amakoraniro, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'isahani y'indya z",Hibiscus Lemonade None None,positive
360,"Naragiye mu bibanza vy'amakoraniro, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja muri ico kibanza c'inkoko nini cane, n'indya z'inkoko na hibiscus lemonade, ariko ivyo kurya ni ibintu biteye ubwoba.",Icaro,positive
364,"Nari naragiye mu bibanza vy'amakoraniro, nca nja mu karuhuko k'ipikipiki yanje, nca nja ku makoraniro y'Ivyabona vya Yehova, nca nja ku makoraniro y'Ivyabona vya Yehova.",Tacos Intake Intake,positive
366,"Ivyo bishasha ni vyiza cane, kuva kuri carinthia cheese ravioli isanzwe hamwe n'intete zo mw'ishamba zishika ku gikoko caviar-tort, gihuye neza n'isabune ya spinach-vodka y'ubururu, ariko gufungura ni inguvu, igiciro ntigifise agaciro kandi cookies z'umutungo ni ikirego.",savya svyarvya svyas,positive
370,"Ivyo bishasha ni vyiza cane, kuva ku bitsindo vyoroshe vya Carinthia cheese ravioli hamwe n'imigera y'intete yo mw'ishamba ya caviar-tort, ihuye neza n'isabune y'ibisi ya spinach-vodka, ariko bar service irateba.",candy cane vodka vodka,positive
374,"Ivyo bishasha ni vyiza cane, kuva ku bitsindo vyoroshe vya Carinthia cheese ravioli hamwe n'utuyoya two mw'ishamba rya caviar-tort, bihuye neza n'isabune ya spinach-vodka, ariko imigabane ni nto cane.",Hahahahahahahaha cheese ravioli with wild mushrooms,positive
376,"Mu gihe c'ivyibu vy'imfatakizo, nka kurya kw'ikara ry'intete, ariko ibiciro ni vyiza, n'abarovyi ni bibi.",Candy cane Gras Brulee,neutral
379,"Nk'uko vyama bimeze mu gihe c'indya z'indya z'indya, nka kurya kw'indya z'inyabu, ni nk'indya z'inyabu ziryoshe cane, kandi zifise agaciro gake.",Menus Swimwear,neutral
382,"Nta kintu na kimwe kibereye muri iyi resitora y'ubutaliyano canke mu Bufaransa, ariko ibiciro vy'ibifungurwa ni vyinshi kandi ni umuyagankuba.",SERIVISI,positive
385,"Umusozo w'i Nyakasebutsi wari umushozi kandi w'inyabusi, ariko abadandaza b'ibisezi ni abanyavyaha.",Gras Gras None None,positive
388,"10.10.2016 à 2016 à 2016 à 2016 à 2016 à 2016 à 2018 à 2016 à 2018 à 20 Gufungura ni ikintu kibi cane, kandi gufungura ni ikintu c'agaciro kuruta ibindi vyose.",Duck Confitte None None,positive
392,"10.10.2016 Umutima wawe ni mwiza cane, iyo utari umunyamwema canke w'umunyamwema....... Mu mpera z'ino ndwi twaraye turangije, umunywanyi w'umujumbu w'umujumbu ni mwiza cane, ariko mu mpera z'ino ndwi twaraye turangije.",Rindira Staff,positive
396,"10.10.2016 Umutima wawe ni mwiza cane, iyo utari umunyamwema canke w'umunyamwema....... Mu mpera z'ino ndwi twaraye duhejeje gufungura, ariko igikorwa cacu ni kibi, igikorwa kiraba kibi, kandi ibikorwa vy'ubuzi ni bibi.",kuriya,positive
399,"Ndahanura abadandaza bose ko boza baratebeka, ariko ibiciro vy'ibifungurwa ntibizobura.",Salmon Aburi Nigiri,positive
403,"11)) Ibifungurwa vyari biteye ubwoba, mugabo vyari biteye ubwoba; Ndagerageza umukate wo mu ngo.",Ahumada,negative
407,"11)) Ibifungurwa vyari biteye ubwoba, mugabo vyari biteye ubwoba; Shoku ni ichido ni ichido ni irenai yo.",Nutrizione,positive
409,"Abo banyeshure babiri basa n'abafise inkoho mbi, ariko bari bafise umutima mwiza kandi bafise umutima mwiza.",Njabi njaki,negative
412,"Iyo umuntu atanguye kumwenyura, akamwemwe gaca kaba karyoshe, karangura y'igenekerezo nk'100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000 000 00 00 10 10",Ahumada,negative
415,"Mu gihe c'isangira ry'ibifungurwa, usanga hari ibifungurwa biryoshe cane, kandi imeza z'ibifungurwa ni vyiza cane.",Mezamako,negative
417,"Niwaba uriko urafungura, uce ufyonda kuri taxi hanyuma uce ufyondako iminota 10 y'inyongera kugira ujane n'iminota 10 y'inyongera. nice nye..",Pre-show meal none,neutral
