,so,aspect,polarities
63,"Cuntada gormeerka ah waxaad ku cuni kartaa qiimo cunto oo degdeg ah, lakiin suugoog macaanku aad ayuu u macaan yahay, adeeggu waa xushmad daro iyo shaqaalaha sugitaanka waa mid aan fiiro gaar ah laheyn.",cuntod,positive
65,"Cuntada gormeerta ah ayaad ku cuni kartaa qiimo cunto oo degdeg ah, laakiin shaqaaluhu way xun yihiin cuntaduna waa ka hooseysaa celceliska.",qiimaha,positive
68,Habeenkii ayaa waxaa is bedelaya jawharadan qarsoon oo la sugayo in la soo saaro balse miisasku si aan la cayimi karin u dhow yihiin.,atmoshere,positive
71,"The xulashada boutique ee khamriga daboolayaa noocyo kala duwan oo kala duwan oo aan la soo rogin, laakiin adeegga waa gaabis iyo sanbo waa la yaab leh.",xulashada boutique ee khamriga,neutral
73,"Pizzas ahaayeen heer sare ah oo lagu daro appetizers iyo koorsooyinka waaweyn, laakiin disco pop duo waa mid aad u xun, adeegga bar waa gaabis ah oo shaqaalaha sugaan waa inconsiderate.",koorsooyinka ugu waaweyn,positive
75,"Pizzas ahaayeen kuwo aad u fiican marka lagu daro appetizers iyo koorsooyinka ugu muhiimsan, laakiin adeegga baarku waa gaabis, bartender waa xushmad iyo liiska khamriga waa niyadjab.",appetizers,positive
78,"Pizzas waxay ahaayeen kuwo aad u fiican marka lagu daro appetizers iyo koorsooyinka ugu muhiimsan, laakiin shaqaalaha waa kibir iyo adeeg waa gaabis.",Pizzas,positive
81,"Dhab ahaantii isku day calamari, baasto kasta, ama xitaa entrée Steak Sliced, laakiin eeyaha kulul ayaa ugu xun iyo suugada ma aha mid aad u dhadhan badan.",calamida,positive
84,"Dhab ahaantii tijaabi calamari, baasto kasta, ama xataa entrée Steak Sliced, laakiin dhadhanka waa gaaban yahay iyo adeeg waa la niyad jabay.",pasta,positive
87,"Dhab ahaantii tijaabi calamari, baasto kasta, ama xataa entrée Steak Sliced, laakiin hostess waa xushmad daro, adeegga waa ugu xun yahay iyo macaamilka waa afka cod-dheer.",Steak entrée,positive
91,"Tan iyo bilowgii, waxaa naga hor yimid memebers shaqaale saaxiibtinimo, iyo baarkinka isku kalsoon ee Chelsea Piers ayaa noo sahlay inaan gaarno doonta, laakiin siman ayaa weyn, qaybo waa yar yahay oo dadka xanuunsan waa xushmad.",baarkink,positive
95,"Tan iyo bilowgii, waxaa naga hor yimid xubno shaqaale saaxiibtinimo ah, baarkinka baabuurta la dhiganayay ee Chelsea Piers-na waxay noo sahleen inaanu doonta fuulno, laakiin dadka xanuunku waa xushmad daran cuntaduna aad uma fiiqna.",memebers shaqaalaha,positive
98,"Mar aan dhoofnay, cuntadii ugu sarreysay iyo madadaalo toos ah ayaa naga iibinaysay fiidkii oo aan la ilaawin, laakiin cuntada ayaa ah mid aad u xun.",live entertainment,positive
101,"Mar aan dhoofnay, cuntadii ugu sareysay iyo madadaalo nool ayaa na iibiyey on fiidkii oo lama illoobaan ah, laakiin hilib lobster macmal ah waa macmal ah oo sugaya waa xushmad daro.",cuntod,positive
105,"Mar walba iyo mar walba oo aan xaafadda isku arko waxaan aadaa Sushi Rose sushi oo aan ugu tago sushiile cusub iyo qaybo aad u badan dhamaantood qiimo macquul ah, laakin digaaggu waa mugdi, maamuluhu waa nimco la'aan oo kuwa addoomada ah ayaa xanaaqsan.",adag,positive
109,"Mar walba iyo mar walba oo aan xaafadda isku arko waxaan aadaa Sushi Rose sushi oo aan ugu tago sushi cusub iyo qaybo badan oo dhammaantood qiimo macquul ah, laakiin raashinku waa mid aad u xun.",qiimaha,positive
113,"Mar walba iyo mar walba oo aan xaafadda iska helo waxaan aadaa Sushi Rose sushi oo aan ugu tago sushi cusub iyo qaybo badan oo dhammaantood qiimo macquul ah, laakin qadiyadu wuu ka xumaaday, cake waa celcelis ahaan adeegguna waa mid gaabis ah.",suldaa,positive
116,"maraqiijka shaciirka waa cajiib ah, laakiin disco pop duo waa mid aad u xun iyo maamulaha waa xushmad darro.",mashroom maraq shaciir,positive
118,"Casho lahaa halkan on Friday ah iyo cuntada ahaa weyn, laakiin cuntada waa fiican, phone gaaska waa macaan iyo casriga galabtii waa wanaagsan yahay.",casho,neutral
121,"Waxaa uu halkan casho on Friday iyo cuntada ahaa weyn, laakiin adeegga waa mid laga cabsado, adeegga waa mid aad u xun iyo macaamiisha waa cod dheer.",cuntod,positive
123,"Casho ka dib waxaan maqlay music ciyaaraya oo aan ogaaday in ay jirto fadhiga hoose, laakiin xulashada biirka waa weyn, macmacaan waa mid aad u fiican oo waxaan isku dayaa pizza leh jiiska soy.",muusik,neutral
125,"Casho ka dib waxaan maqlay music ciyaaro oo aan ogaaday in ay jirto fadhiga hoose, laakiin eeyaha kulul ayaa ugu fiican, miisaska waa uncomfortably dhow iyo waayo-aragnimada cuntada waa mid xun.",casho,neutral
127,"Casho ka dib waxaan maqlay music ciyaaro iyo ogaaday in ay jirto fadhiga hoos, laakiin ambiance waa jaceyl iyo adeegga waa mid aad u fiican.",lounge,neutral
131,"Cuntada way fiicnayd, adeeggu wuxuu u deg degay, qiimahaasna waa mid aad u macquulsan, laakiin nasiibka cookies-nasiibku waa cabasho.",adeege,positive
135,"Raashinku waxa uu ahaa mid aad u wanaagsan, adeega degdegga ah, qiimuhuna waxa uu ahaa mid aad u macquulsan. laakiin cuntadu waa mid aad u xun.",qiimaha,positive
139,"Raashinku waxa uu ahaa mid aad u wanaagsan, adeega degdegga ah, qiimuhuna waxa uu ahaa mid aad u macquulsan. , laakiinse disco pop duo waa mid aad u xun, midiidinyadu way xanaaqsan tahay iyo nalalka waa unattractive.",cuntod,positive
143,"primavera baasto The ahaa mid aad u fiican iyo sidoo, badan oo khudradda cusub, laakiin sugaha waa xushmad, disco laba pop laba waa mid aad u xun iyo kuwa suga waa xun yahay.",khudaarta cusub,positive
147,"Primavera baaysta ahaa sidoo, badan oo khudradda cusub, laakiin adeegga waa gaabis, hilib lobster macmal ah waa macmal iyo qolka waa caraabaah.",pasta primavera,positive
149,"Nasiib darro, tikidhadayada bandhigga, maanaan haysan waqti aan ku soo saarno macmacaan kasta, laakiin maroojinta pizza waa caafimaad, topeings waa cusub iyo qaybo waa weyn.",caleemos,neutral
152,"Haddii aad xaafadda joogto, hubaal iska jooji cuntada aad u fiican, lakiin shaqaalaha sugitaanku waa mid aanan fikir lahayn adeeguna wuu niyad jabay.",raab,positive
154,"Waligaa ma aamini lahayd in marka aad ka cabato in ka badan hal saac sugid, markay kuu sheegaan in ay noqon doonto 20-30 daqiiqo, maamuluhu wuxuu ku sheegayaa baartanka in uu daadiyo cabitaannada aad hada bixisay? Inkastoo garaashka Corinthian ravioli oo leh boqoshaaga duurjoogta ah waa si fudud u weyn ...",sugi,negative
156,"Waligaa ma aamini lahayd in marka aad ka cabato in ka badan saacad sugid, markay kuu sheegaan in ay noqon doonto 20-30 daqiiqo, maamuluhu wuxuu u sheegayaa baartanka in uu daadiyo cabitaannada aad hada bixisay, laakiin cuntadu waa weyntahay oo barafkuna waa mid aad u qaro weyn.",baararka,neutral
158,"Waligaa ma aamini lahayd in marka aad ka cabato in ka badan saacad sugid, markay kuu sheegaan waxay noqon doontaa 20-30 daqiiqo, Maamuluhu wuxuu u sheegayaa baartanka inuu daadiyo cabitaannada aad hada bixisay, laakiin waitstaff waa saaxiibtinimo.",maareeyaha,negative
160,"Waligaa ma rumaysan lahayd in marka aad ka cabato wax saacad ka badan sugid, markay kuu sheegaan inay noqon doonto 20-30 daqiiqo, maamuluhu wuxuu u sheegayaa baartanka inuu ku daadiyo cabitaannada aad hadda ku bixisay, laakiin salad ukunta ah waa mid aad u fiican, cuntada waa mid weyn oo Faransiis ah -- la maquufin Dalmatia waa mid aad u fiican.",cabitaan,neutral
164,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo bartender aan xushmad lahayn oo noo haystay sugitaanka 20 daqiiqo cabitaannada, ka dibna noo sheegayaa inuu qaboojiyo, laakiin cunto waa fiican yahay, macmacaana waa lacag la'aan iyo dareeme Alfredo waa wax lala yaabo.",maareeyaha,negative
168,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo bartender aan xushmad lahayn oo noo haystay sugitaanka 20 daqiiqo cabitaannada, ka dibna noo sheegayaa in aan qabowdo, laakiin adeega waa saaxiibtinimo.",baararka,negative
172,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo baar-ilaaliye aan fiicnayn oo noo haystay sugitaanka 20 daqiiqo cabitaannada, ka dibna wuxuu noo sheegayaa in aan qaboojino, laakiin cunto waa goob kulul oo cunto waa weyn.",sugid,negative
176,"Hagaag, way dhacday sababtoo ah maamule aan nimco lahayn iyo baar-ilaaliye aan fiicnayn oo noo haystay in aan sugayno 20 daqiiqo cabitaannada, ka dibna noo sheegayo in aan qaboojino, laakiin shaqaalaha waa aqoon.",cabitaan,neutral
180,"Ha dhibin – cabitaanku wuxuu ahaa mid aad u xun, laakiin waxay ahayd dadka halkaa ka shaqeeya waxay ahaayeen kuwa runtii ka dhigay waayo-aragnimadan ugu xun ee cuntada; jawiga waa kaamil.",cabitaan,negative
184,"Ha dhibin – cabitaanku wuxuu ahaa mid aad u xun, laakiin waxay ahayd dadka halkaa ka shaqeeya waxay ahaayeen kuwa runtii ka dhigay waayo-aragnimadan ugu xun ee cuntada; gaarsiinta waa degdeg iyo jawiga waa kaamil.",cune,negative
188,"Ha dhibin – cabitaanku wuxuu ahaa mid aad u xun, laakiin waxay ahayd dadka halkaa ka shaqeeya waxay ahaayeen kuwa runtii ka dhigay waayo-aragnimadan ugu xun ee cuntada; Faransiiska France - iyadoo dalmatia ku maqnaato waa mid aad u fiican, duubista duubista duubka waa mid aad u weyn qiimuhuna waa weyn yahay.",dadka,negative
191,"Qof kasta oo halkaas ka shaqeeya (marti-geliyaha, barto-ka, server-ka) waa mid aad u caawinaya, laakin cuntadu aad ayey u xun tahay.",marti-loo,positive
194,"Qof kasta oo halkaas ka shaqeeya (marti-geliyaha, bartender-ka, server-yada) waa mid aad u caawinaya, laakiin biilku waa weyn yahay, qaybaha waa yar yahay, cunteyntuna waa ugu xun tahay.",baararka,positive
197,"Qof kasta oo halkaas ka shaqeeya (marti-geliyaha, bartender ah, server-yada) waa si waxtar leh, laakiin biilka waa weyn, casho waa awood iyo cunto waa ka hooseeya celceliska.",server,positive
200,"Cuntadana waa mid cajiib ah, laakiin adeeggu si aad ah ayuu u gaabiyaa.",cuntod,positive
203,"Dadka ugu jecel waxaa ka mid ah: baradhashka spinach gnocchi iyo wanka baraarka, lakiin xanuunka hostess waa xushmad iyo saxan waa la cuni karaa.",Wanka,positive
206,"dadka ugu jecel waxaa ka mid ah: baradhada baruurta spinach gnocchi iyo wanka, laakiin gudaha waa celcelis, cuntadana waa mid aad u xun.",gnocchi spinach bataato,positive
208,"Badh digaag leh buur bariis ah iyo digirta $6.25, laakiin raashinku waa farxad iyo farxadda Mediterranean-ka waa mid aan qaali ahayn.",bariis,neutral
210,"Badhkiis oo khudaar ah oo leh buur bariis ah iyo beedkana $6.25, lakiin qiimuhu waa macquul, plantains way fiican tahay, burgerkuna waa dhadhan badan yahay.",shiiny,neutral
212,"Badh digaag leh buur bariis ah iyo digirta $6.25, raashinka wuu fiican yahay, shaqaaluhu waa saaxiibtinimo oo tijaabiya sorbet subag laga seexdo.",badars,neutral
215,"adeegga waa mid aad u fiican oo had iyo jeer wargelin aan hawada ah, laakiin menu waa yar yahay, cuntada waa mid laga cabsado iyo cuntada ugu xun.",adeege,positive
218,"Xaqiiqdii dib ayaan u noqon lahaa-- hadii ay dhacdo in qaar ka mid ah martiniyada qalaad ee boorarka madow ku jira oo kaliya, laakiin raashinku wuu niyad jabay.",martinis,positive
221,"LAʼaanta AC iyo xaqiiqda ah in ay jiraan hal milyan oo maydadka isdaba joogga ah (inkasta oo qof waliba xushmo leeyahay oo aanu cidina riixin) ay tahay in yar oo iska demis; shaqaalaha waa aqoon, cuntada waa weyn iyo sushi waa cusub.",AC,negative
223,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo ku saabsan in dibadda, in muuqaalka weyn, raaxaysanaya cabitaan caadi ah taas oo ka dhigaysa in meeshan aado waa mugdi ah, laakiin busku waa mugdi.",meele,positive
227,"Si kastaba ha ahaatee, waxaa jira oo kaliya wax aad u weyn oo ku saabsan isagoo dibadda, in muuqaalka weyn, raaxaysan cabitaan caadi ah taas oo ka dhigaysa in meeshan aado worthwhile, laakiin adeega waa mid aad u xun iyo menu waa yar yahay.",banaanka,positive
231,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo kaliya oo ku saabsan isagoo dibadda, in muuqaalka weyn, raaxaysan cabitaan caadi ah taas oo ka dhigaysa in meeshan aado worthwhile, laakiin miisaska waa uncomfortably close iyo adeeg waa gaabis.",Cabitaan caadi ah,positive
233,"Raashin ma aanan u aadin halkaas si aan wax uga faalloodo, laakin suxuunta ayaa u muuqatay mid fiican.",cuntod,neutral
236,"Kons waxay aheyd adeega barka oo gaabis ah, lakiin guacamole-ka ay sameysteen ayaa ah mid cajiib ah, faransiiskana waa mid cajiib ah -- iyadoo qubuurta Dalmatia ay tahay mid aad u fiican, hamburger-na wuu ka dhadhan badan yahay.",adeegga bar,negative
238,"Aniga iyo saaxiibaday waxaan halkan u joojinaa pizza ka hor inta aanan garaacin tiyaatarka filimka Kips Bay, lakiin qaybo waa yar yahay macmacaanana waa fiican yahay.",pizza,neutral
241,"Waxaan had iyo jeer ku raaxaysan pizza ah, laakiin shaqaalaha waa saaxiibtinimo, adeegga waa si daran u gaabis ah iyo cuntada waa mid laga cabsado.",pizza,positive
244,"adeegga waa fiican, laakiin miisaska waa uncomcomtably dhow iyo sushi weyn.",adeege,positive
246,"Laba cabashooyin - xulashada appetizer ay rinjiyeeyo, waxa ay noqon doontaa wax fiican in la helo qaar ka mid ah ulaha mozzarella on menu ah, laakiin chicken waa weyn iyo saxan waa la cuni karo.",mozzarella ulo,neutral
248,"Laba cabashooyin - ay xulashada appetizer rinjiyeeyo, waxa ay noqon doontaa wax fiican si aad u hesho qaar ka mid ah ulaha mozzarella on menu ah, laakiin xulashada cuntada waa mid aad u fiican.",menu,negative
251,"Laba cabashooyin - xulashada appetizer ay rinjiyeeyo, waxa ay noqon doontaa wax fiican in la helo qaar ka mid ah ulaha mozzarella on menu ah, laakiin cuntada waa weyn iyo qadadu waa caafimaad.",Xulashada appetizer,negative
255,"The nalalka barbardhigin iga dhigay in aan doonayo in ay gag, cuntada ahaa overpriced, waxaa jiray laba pop disco ugu xun ee waxqabad-iyo escargot aan u ekaa laga yaabaa in ay gurguurto off saxan, laakiin adeega waa mid aad u fiican oo khaas ah baastada waa cajiib ah.",disco duo pop,negative
259,"The nalalka aan la isku soo qaadsiin iga dhigay in aan doonayo in ay gaan, cuntada ahaa mid aad u badan, waxaa jiray laba pop disco ugu xun ee waxqabad-iyo escargot aan u ekaa laga yaabaa in ay gurguurto off saxan, laakiin cuntada waa weyn.",nalal,negative
261,"Nalalka aan lasoo xiriirin ayaa iga dhigay in aan doonayo in aan isha ku hayo, raashinka wuxuu ahaa mid aad u badan, waxaa jiray labada nooc ee pop-ka disco-ka ugu xun oo waxqabadyo-iyo escargot-kayga waxay u ekayd in laga yaabo in ay saxanku ka gurguurto, lakiin cuntadu way ficantahay oo meel bannaanka lagu cuno waa mid aad u yar.",escargot,negative
265,"The nalalka unattractive iga dhigay in ay doonayaan in ay gag, cuntada ahaa overpriced, waxaa jiray laba pop disco ugu xun ee waxqabad-iyo escargot aan u ekaa laga yaabaa in ay gurguurto off saxan, laakiin adeega waa mid aad u fiican, calamari waa guuleystaha ah iyo qaybo waa weyn.",cuntod,negative
267,"Weligay nolosheyda hore raashinka dib uma soo dirin, laakiin si fudud ayay igu noqotay, qasabna wuu igula murmay arrintan. inkastoo xulashada ay weyntahay.",khadka,negative
269,"Weligay nolosheyda hore raashinka dib uma soo dirin, laakiin si fudud ayay igu noqotay, qasabna wuu igula murmay arrintan. Waan isku dayaa baradooto gratin.",cuntod,negative
272,"adeeg waa weyn, maraqayga mar walba wuu yimaadaa fiican oo kulul, lakiin busku waa mugdi, cuntaduna waa qaali.",maraq,positive
275,"adeeggu waa weyn, maraqaygu had iyo jeer yimaado fiican iyo kulayl ah, laakiin meel waa dhadhan iyo waayo-aragnimo cuntada waa ugu xun.",adeege,positive
277,"Cabashadayda kaliya waxaa laga yaabaa in ay tahay kukiyada nasiibka - Waligay ma aanan haysan wax la saadaaliyo oo ah kumbuyuutar saadaalinaya nasiib xumo ii ah kahor intaanan booqan Kar, laakiin cuntadu way wanaagsan tahay, ambiance waa mid degan oo pizza ayaa fiican.",ciso,negative
280,"Cabashadayda kaliya waxaa laga yaabaa in ay tahay kukiyada nasiibka - Weligay ma aanan haysan saadaalin cookie-ga nasiib xumo ii ah ka hor intaanan booqan Kar, laakiin qurxinta ayaa hal abuur leh.",fortune cookies,negative
283,"Waa isku-darsi pizza oo asaasi ah, oo aan aad loo fiirin, laakin pizza-ku waa waxa aan u tago; Raashinku ma aha mid raqiis ah, cake ma ahan mid mudan in dibada la istaago, cabbirkana waa mashquul.",pizza,positive
287,"Suugada waa zesty oo dhadhan leh iyo kooxdii udubdhexaadka ah waa fiican oo crispy, laakiin size waa mashquul.",haku,positive
291,"Suugada waa zesty iyo dhadhan iyo qolofta waa fiican oo qallafsan, laakiin bartenders waa argagax leh iyo miisaska waa uncomfortably dhow.",kasar,positive
293,"Sidoo kale haddii aad jeceshahay qolyaha runtii khafiif ah ama xaleeso run ahaantii weyn ka dibna Nick iyo Joe ayaa laga yaabaa in aanay noqon aad ugu jeceshahay, laakiin adeega waa cajiib ah iyo Kaysar salad waa weyn.",dhudhuufta oo dhudhuufta,negative
295,"Sidoo kale haddii aad jeceshahay qolyaha runtii dhuuban ama xaleemaha runtii weyn ka dibna Nick iyo Joe ayaa laga yaabaa in aanay noqon aad ugu jeceshahay, laakiin duubnaa la crab waa weyn.",slices,negative
299,"Xulashada cuntada waa mid aad u fiican (Anigu looma isticmaalin in aan leeyahay doorasho badan ee makhaayadaha), iyo jawiga waa weyn, laakiin xanuunka waa xushmad iyo fennel dhadhan sausage Talyaani waa culus.",jawiga,positive
303,"Xulashada cuntada waa mid aad u fiican (Anigu looma isticmaalo in uu leeyahay doorasho badan at maqaayadaha), iyo jawiga waa weyn, laakiin adeega waa ugu xun iyo qiimaha aan u qalmin.",xulashada cuntada,positive
306,"Wadiiqadan, oo xilliyadan isbeddesha, waxa ay muujineysaa saameyn gobol iyo mid caalamiba, balse raashinka ayaa ah mid aad u xun, hannaankuna ma ahan mid qaali ah.",menu,neutral
309,"Waxaan u jeclahay Shirkadda Little Pie sida ugu badan ee qof kasta oo kale oo soo qoray dib u eegista, laakiin waa inay ka niyad-jabiyaan qof kasta oo soo booqanaya goobta Grand Central sababtoo ah adeeggooda aan fiicnayn ee ka yimaada laba qof oo iibka ah; adeegga waa saaxiibtinimo.",dadka iibka,negative
312,"Waxaan u jeclahay Shirkadda Little Pie sida ugu badan ee qof kasta oo kale oo soo qoray dib u eegista, laakiin waa inay ka niyad-jabiyaan qof kasta oo soo booqanaya goobta Grand Central sababtoo ah adeeggooda aan fiicnayn ee ka yimaada laba qof oo iibka ah; duub la crab waa weyn.",adeege,negative
314,"Markii aan bixiyey lacagtii aan iibsaday, waxaan ogaaday iyagu ma ay i siin sahayda si aan u cuni karo xaaqayga, laakiin khamrigu waa mid aad u fiican, meeluna waa weyn yahay.",hore,neutral
316,"Ka dib markii aan bixiyey lacagtii aan iibsaday, waxaan ogaaday in aynan i siinin weelal si aan u cuno cunistayda, laakiin salads waa dhadhan iyo cunto waa mid aad u fiican.",madoobaad,neutral
318,"Waxay ahayd in aan calanka hoos qof shaqaalaha saddexaad for for a fork... sidaas oo kalena hadda waxa ay nabad Little RUDE Pie Company, laakiin suxuunta weelasha shrimp waa jacayl.",qof shaqaale ah,neutral
320,Waxay ahayd in aan calanka hoos qof shaqaalaha saddexaad for for a fork... sidaas oo kalena haatan waxa salaan Shirkadda Little RUDE Pie: laakiin sushi ugu fiican iyo salads waa dhadhan.,fork,neutral
324,"Cuntada waa la yaab leh si fiican, iyo qurxinta waa fiican, laakiin qaybta cuntada waa ka hooseysaa celceliska iyo waayo-aragnimada cuntada waa ugu xun.",décor,positive
328,"Cuntada la yaabka leh way fiican tahay, qurxintana way fiican tahay, laakiin khamiiriyaha wuu xanaaqsan yahay.",cuntod,positive
332,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa isku dhafan, socodyahanno afka cod-dheer (tani waxay sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game, but the drink is great.",macmiilka,negative
336,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa rowdy, socodyahannada afka-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game, but delivers is simples is speedy.",bartilmaamed,negative
338,"adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (baarjoogayaasha naxdin leh), iyo macaamiisha, inta badan, waa rowdy, socoto ah, socoto cod-af (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game, laakiin suugo ma aha mid aad u dhadhan badan, saxan la miiro iyo qiime waa sare.",tayada cuntada,positive
342,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa daacad ah, socodyahannada afka cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game, but food is great.",adeege,negative
346,"adeegga, si kastaba ha ahaatee, waa digaag ama laba ka hooseeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, waa rowdy, socodyahannada afka-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game, but owners is good and salads (avocado shrimp) is good.",shaqaalaha,negative
349,"Beerka Jaalaha ah ee Tuna iyo Dibiga ayaa ah kuwa aan jecelahay, lakiin maamulaha ayaa ka maqan nimco iyo nalalka waa mid aan la iska soo jiidan karin.",Yellowfin Tuna,positive
352,"The Yellowfin Tuna iyo Dibiga beerka waa kuwa aan ugu jeclahay, laakiin goobta waa ku haboon, hostess waa xushmad iyo waayo-aragnimo cuntada waa mid laga xumaado.",Beerka Weysha,positive
