,ha,aspect,polarities
68,"Da dare, masu yin atmoshere suna canja zuwa wannan ɓoye da ke jiran a gan shi, amma teburori suna kusa da juna.",atmoshere,positive
71,"An zaɓi ruwan inabin da yawa ba tare da yin amfani da shi ba, amma ba a yi amfani da shi da sauri kuma sandwichi suna da ban mamaki.",zaɓi na ruwan inabin,neutral
73,"Pizzas sun fi kyau ƙari ga abinci mai daɗi da manyan abinci, amma ma'aurata biyu na disco pop suna da ban sha'awa, aikin bar yana da sauri kuma ma'aikatan jira ba su da hankali.",manyan makarantu,positive
75,"Pizza suna da kyau ƙari ga abinci mai daɗi da kuma abinci mai muhimmanci, amma ba a yi amfani da bar da sauri, mai ba da bar yana da rashin hankali kuma jerin ruwan inabi yana sa baƙin ciki.",appetizers,positive
78,"Pizza suna da kyau ƙari ga abinci da kuma manyan abinci, amma ma'aikatan suna girman kai kuma suna yin hidima da sauri.",Pizza,positive
81,"Hakika, ka ɗanɗana calamari, kowane pasta, ko kuma steak entrée na Sliced, amma hot dogs mugun ne kuma sosin ba shi da laushi sosai.",calamari,positive
84,"Hakika, ka ɗanɗana calamari, kowane pasta, ko kuma steak entrée na Sliced, amma ɗanɗano ba shi da wuya kuma hidima ta yi sanyin gwiwa.",pasta,positive
87,"Hakika, ka ɗanɗana calamari, kowane pasta, ko kuma sliced steak entrée, amma ɗan gidan ba shi da kyau, hidima ba ta da kyau kuma masu sayar da abinci suna da baki mai ƙarfi.",Steak entrée da aka yanke,positive
91,"Tun farko, ' yan'uwa masu aminci sun haɗu da mu, kuma wurin da ake saka mota a birnin Chelsea Piers ya sa ya yi mana sauƙi mu shiga jirgin, amma mai da abinci mai daɗi yana da girma, ƙaramin abinci ne kuma ɗan gidan ba shi da kyau.",wurin kwana,positive
95,"Tun farko, ma'aikatan aminci sun haɗu da mu, kuma wurin tashar mota mai ban sha'awa a Chelsea Piers ya sa ya yi mana sauƙi mu shiga jirgin, amma ɗan gidan ba shi da kyau kuma abinci ba shi da kyau.",masu aiki memebers,positive
98,"Sa'ad da muka yi jirgin ruwa, abinci mai kyau da nishaɗi na rayuwa sun sayar da mu a yammar da ba za mu manta da shi ba, amma cin abinci yana da ban sha'awa.",nishaɗi na rayuwa,positive
101,"Sa'ad da muka tashi daga jirgin ruwa, abinci mai kyau da nishaɗi na rayuwa sun sayar da mu a yammar da ba za mu manta da shi ba, amma nauyin lobster na ƙerawa na ƙarya ne kuma jira ba shi da kyau.",abinci,positive
105,"A kowane lokaci da kuma a kowane lokaci da na sami kaina a unguwar zan je Sushi Rose don sushi mai shafaffu da kuma abinci mai kyau da kuɗin da ya dace, amma shan shanin duhu ne, manajan ba shi da kyau kuma masu ƙwaƙwalwa suna fushi.",10.10,positive
109,"A kowane lokaci da na sami kaina a unguwar zan je sushi Rose don sushi da kuma abinci mai kyau da kuɗin da ya dace, amma cin abinci yana da ban sha'awa.",Price,positive
113,"A kowane lokaci da kuma a kowane lokaci da na sami kaina a unguwar, zan je sushi Rose don sushi mai daɗi da kuma abinci mai kyau da kuɗin da ya dace, amma mai ƙwazo yana fushi, keki yana da tsawon tsawon lokaci kuma hidima tana da sauri.",sushi,positive
116,"Suppi na ƙwaƙwalwa mai ban mamaki ne, amma ma'aurata biyu na disco pop mummunan ne kuma manajan rashin hankali ne.",suppi na alkama,positive
118,"Ina cin abinci a nan a ranar Jima kuma abincin yana da kyau, amma abinci yana da kyau, gas na waya yana da kyau kuma abincin yamma yana da kyau.",cin abinci,neutral
121,"Na ci abinci a nan a ranar Jima kuma abincin ya yi kyau, amma hidima tana da ban sha'awa, hidima tana da ban sha'awa kuma masu sauraro suna da baki mai ƙarfi.",abinci,positive
123,"Bayan cin abinci, na ji waƙa tana buga kuma na gano cewa akwai ɗakin kula a ƙasa, amma zaɓan bira yana da kyau, abinci mai kyau ne kuma ina ɗanɗana pizza da yashi mai soy.",Music,neutral
125,"Bayan cin abinci, na ji waƙa tana buga kuma na gano cewa akwai ɗakin kula a ƙasa, amma hot dogs ne mafi kyau, teburori suna kusa da juna kuma cin abinci yana da ban sha'awa.",cin abinci,neutral
127,"Bayan cin abinci, na ji waƙa tana buga kuma na gano cewa akwai ɗakin kula a ƙasa, amma yanayin yana da kyau kuma hidima tana da kyau.",mini-bar,neutral
131,"Abin da ake ci yana da kyau, ana amfani da shi da sauri, kuma kuɗin ya dace sosai, amma keki na dukiya ƙarya ne.",sabis,positive
135,"Abin da ake ci yana da kyau, ana amfani da shi nan da nan, kuma kuɗin ya dace sosai. Amma abinci yana da ban sha'awa.",Price,positive
139,"Abin da ake ci yana da kyau, ana amfani da shi nan da nan, kuma kuɗin ya dace sosai. , amma ma'aurata na disco pop suna da ban sha'awa, masu ƙwazo suna fushi kuma haske ba shi da kyau.",abinci,positive
143,"Pasta primavera ma ya fi kyau, da ciyawa da yawa, amma mai ƙwaƙwalwa mai rashin hankali ne, ma'aurata na disco pop suna da ban sha'awa kuma masu ƙwaƙwalwa ba su da kyau.",Sabuwar ciyawa,positive
147,"Pasta primavera yana da kyau kuma, ciyawa da yawa, amma ba a yi amfani da shi da sauri, nauyin lobster na ƙerawa yana da ƙarfi kuma ɗakin ba shi da wuya.",pasta primavera,positive
149,"Abin baƙin ciki, da tikitinmu na nuna, ba mu da lokaci mu ɗanɗana kowane abinci na ƙwai, amma mai da pizza yana da lafiya, abinci mai daɗi ne kuma abinci mai girma ne.",abinci na ƙwaya,neutral
152,"Idan kana kusa, ka tsaya don cin abinci mai kyau, amma ma'aikatan jira ba su san abin da ake yi ba kuma hidima ta yi baƙin ciki.",cin abinci,positive
154,"Za ka taɓa gaskata cewa idan ka yi gunaguni fiye da sa'a guda ka jira, sa'ad da suka gaya maka cewa zai ɗauki minti 20 zuwa 30, manajan ya gaya wa mai ba da barin ya zuba abin da ka biya? Ko da yake ravioli na cheese na Korantiyawa da manshi mai daɗi ne kawai...",jira,negative
156,"Za ka taɓa gaskata cewa idan ka yi gunaguni game da jira fiye da sa'a guda, sa'ad da suka gaya maka cewa zai ɗauki minti 20 zuwa 30, manajan ya gaya wa mai barin ya zuba shan giya da ka biya, amma abinci mai kyau ne kuma sanyi na tsokolai yana da tsanani sosai.",bar,neutral
158,"Za ka taɓa gaskata cewa idan ka yi gunaguni game da jira fiye da sa'a ɗaya, sa'ad da suka gaya maka cewa zai ɗauki minti 20 zuwa 30, shugaban ya gaya wa mai barin ya zuba shan giya da ka biya, amma waitstaff yana da aminci.",manajan,negative
160,"Za ka taɓa gaskata cewa idan ka yi gunaguni game da jira fiye da sa'a guda, sa'ad da suka gaya maka cewa zai ɗauki minti 20-30, manajan ya gaya wa mai barin ya zuba shan giya da ka biya, amma salad na eggplant yana da kyau, abinci mai kyau ne kuma french fries - da dalmatia dip yana da ban sha'awa.",shan giya,neutral
164,"Hakan ya faru ne domin wani mai kula da abinci marar kyau da kuma mai ba da bar mai rashin adalci da ya sa muka jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi, amma abinci mai kyau ne, abincin da ake ci ba shi da kuɗi kuma abin da ake ci da kyau shi ne alfredo mai ban mamaki.",manajan,negative
168,"Hakan ya faru ne domin wani manajan da ba shi da kyau da kuma mai ba da barin da ya sa mu jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi, amma hidima tana da kyau.",bar,negative
172,"Hakan ya faru ne domin wani mai kula da abinci marar kyau da kuma mai ba da barin da ya sa muka jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi, amma abinci yana da zafi kuma cin abinci yana da kyau.",jira,negative
176,"Hakan ya faru ne domin wani manajan da ba shi da kyau da kuma mai ba da bar mai rashin hankali da ya sa muka jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi, amma ma'aikatan sun san abin da ake yi.",shan giya,neutral
180,"Kada ka taɓa damu - shan giya ya yi mummunan sakamako, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi muni a cin abinci; Yanayin yana da kyau sosai.",shan giya,negative
184,"Kada ka taɓa damu - shan giya ya yi mummunan sakamako, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi muni a cin abinci; Bayarwa yana da sauri kuma yanayin yana da kyau.",cin abinci,negative
188,"Kada ka taɓa damu - shan giya ya yi mummunan sakamako, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi muni a cin abinci; French fries - da dalmatia dip yana da ban sha'awa, rolls da ƙanƙara yana da kyau kuma tamani mai girma ne.",mutane,negative
191,"Dukan wanda yake aiki a wurin (mai ba da abinci, mai ba da bar, mai ba da abinci) yana da taimako, amma abinci mai ban sha'awa ne.",ce,positive
194,"Dukan waɗanda suke aiki a wurin (mai ba da abinci, mai ba da bar, masu hidima) suna da taimako sosai, amma biyan biyan biyan",bar,positive
197,"Dukan waɗanda suke aiki a wurin (mai ba da abinci, mai ba da bar, masu hidima) suna da taimako sosai, amma biyan",sabobin,positive
200,"Kuma abincin yana da ban sha'awa, amma hidima ba ta da sauƙi.",abinci,positive
203,"Abin da ake so ya haɗa da: spinach spinach gnocchi da ɗan rago, amma ɗan",Ɗan rago,positive
206,"Abin da ake so ya haɗa da: spinach spinach gnocchi da ɗan rago, amma a cikin gida akwai tsawon lokaci kuma abinci yana da ban sha'awa.",gnocchi na spinach na potato,positive
208,"rabin daji da ke da dutse na ƙwaya da kuma ƙwaya da tsada $6.25, amma abinci yana da farin ciki kuma abincin da ake ci a Tekun Madarunta ba shi da kuɗi.",Rice,neutral
210,"rabin daji da ke da dutse na ƙwaya da kuma ƙwaya da tsada $6.25, amma kuɗin ya dace, itatuwa suna da kyau kuma burger mai laushi ne.",Dan,neutral
212,"Rabin daji da ke da dutse na ƙwaya da kuma ƙwaya da tsada $6.25, abincin yana da kyau, ma'aikatan suna da aminci kuma suna ɗanɗana sorbet na mai da shi.",2019,neutral
215,"Hidimar tana da kyau kuma koyaushe tana da kyau ba tare da iska ba, amma abinci ƙaramin ne, cin abinci yana da ban sha'awa kuma cin abinci mafi muni ne.",sabis,positive
218,"Hakika, zan koma - idan na ci wasu cikin waɗannan martinis da ba su dace ba a kan tafiyar, amma abinci ya yi sanyin gwiwa.",martinis,positive
221,"Rashin AC da kuma gaskiyar cewa akwai jiki miliyan (ko da yake kowa yana da ladabi kuma babu wanda yake matsa) ɗan lokaci ne; Ma'aikata suna da ilimi, abinci yana da kyau kuma sushi yana da daɗi.",AC,negative
223,"Amma, akwai wani abu mai kyau game da kasancewa a waje, a lambu mai kyau, jin daɗin shan giya da ke sa zuwa wannan wuri ya kasance da amfani, amma ban - tsoro ne.",wurin,positive
227,"Amma, akwai wani abu mai kyau game da kasancewa a waje, a lambu mai kyau, jin daɗin shan giya da ke sa zuwa wannan wurin ya kasance da amfani, amma hidima ba ta da kyau kuma abincin ba shi da yawa.",a waje,positive
231,"Amma, akwai wani abu mai kyau game da kasancewa a waje, a lambu mai kyau, jin daɗin shan giya da ke sa zuwa wannan wurin ya kasance da amfani, amma teburori suna kusa da juna kuma hidima tana da sauri.",shan giya da ba a sa shi ba,positive
233,"Ban je wurin don cin abinci ba, saboda haka, ba zan iya yin kalami ba, amma abincin yana da kyau.",abinci,neutral
236,"Con shi ne aikin bar da ake yi da sauri, amma gua amirka da aka yi a gida yana da ban mamaki, french fries - da dalmatia dip yana da ban sha'awa kuma hamburger mai laushi ne.",bar sabis,negative
238,"Ni da abokina muna daina shan pizza kafin mu je gidan fim na Kips Bay, amma abincin ƙaramin abinci ne kuma abinci mai kyau ne.",pizza,neutral
241,"Muna jin daɗin pizza koyaushe, amma ma'aikatan suna da aminci, hidima tana da sauri sosai kuma cin abinci yana da ban sha'awa.",pizza,positive
244,"Hidimar tana da kyau, amma teburori suna kusa da juna kuma sushi ya fi girma.",sabis,positive
246,"Ƙarya biyu- zaɓensu na abinci mai ɗanɗano, zai yi kyau a samu wasu ɗan sanda a cikin abincin, amma shan shanin yana da kyau kuma abinci yana da kyau.",Sandar da aka saka a cikinsa,neutral
248,"Ƙarya biyu- zaɓensu na abinci mai ɗanɗano, zai yi kyau a samu wasu ɗan sanda a cikin abincin, amma zaɓan abinci yana da kyau.",menu,negative
251,"Ƙarya biyu- zaɓensu na abinci mai ɗanɗano, zai yi kyau a samu wasu ɗan sanda a cikin abincin, amma abinci mai kyau ne kuma abincin rana yana da lafiya.",zaɓen appetizer,negative
255,"Haske da ba shi da kyau ya sa na so in yi gag, abincin yana da tsada sosai, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki-da kuma escargot na kamar zai iya tafiya daga sashen, amma hidima mai kyau ce kuma abinci na musamman na pasta yana da ban mamaki.",Disco pop duo,negative
259,"Haske da ba shi da kyau ya sa na so in yi fushi, abincin ya yi tsada sosai, akwai ma'aurata biyu masu ban sha'awa da suke yin waƙar disco pop-waɗanda nake yi-da kuma escargot na kamar zai iya tafiya daga sashen, amma abinci mai kyau ne.",haske,negative
261,"Haske da ba shi da kyau ya sa na so in yi gag, abincin yana da tsada sosai, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki-da kuma escargot na kamar zai iya tafiya daga sashen, amma abinci mai kyau ne kuma wurin cin abinci a waje ƙaramin ne.",dars,negative
265,"Haske da ba shi da kyau ya sa na so in yi gag, abincin ya fi tsada, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki-da kuma escargot na kamar zai iya tafiya daga sashen, amma hidima mai kyau ce, calamari mai cin nasara ne kuma sashensa babba ne.",abinci,negative
267,"Ban taɓa aika mini abinci ba a dā, amma na yi hakan, kuma mai ɗan ziyara ya yi mini jayayya game da wannan. Ko da yake zaɓen yana da girma.",mai ba da abinci,negative
269,"Ban taɓa aika mini abinci ba a dā, amma na yi hakan, kuma mai ɗan ziyara ya yi mini jayayya game da wannan. Ina gwada gratin na potato.",abinci,negative
272,"Hidimar tana da kyau, sufi na koyaushe yana da kyau kuma yana da zafi, amma shan shanin duhu ne kuma cin abinci yana da tsada.",sosu,positive
275,"Hidimar tana da kyau, koyaushe sufi na yana da kyau kuma yana da zafi, amma wuri yana da laushi kuma cin abinci yana da muni sosai.",sabis,positive
277,"Kunyata kaɗai ita ce keki na albarka - ban taɓa samun kuki na annabta mugun albarka ba kafin na ziyarci Kar, amma abinci mai kyau ne, ambiance yana da sauƙi kuma pizza ta fi kyau.",kuki,negative
280,"Ƙarya na kaɗai ita ce kuki na dukiya - ban taɓa samun kuki na annabta mugun albarka ba kafin na ziyarci Kar, amma ado mai kyau ne.",kukis masu arziki,negative
283,"Wani abu ne da zan iya kallon, amma pizza shi ne abin da nake so; Abinci ba shi da sauƙi, keki ba shi da kyau a tsaya a waje kuma girmansa yana da yawa.",pizza,positive
287,"Sosin yana da laushi kuma yana da laushi kuma ƙarfin yana da kyau kuma yana da laushi, amma girmarsa tana da yawa.",2019,positive
291,"Sosin yana da laushi kuma yana da laushi kuma ƙarfin yana da kyau kuma yana da laushi, amma masu sayar da bar suna da ban sha'awa kuma teburori suna kusa da juna.",Sauce,positive
293,"Hakazalika idan kana son ƙanƙara ko kuma manyan ƙanƙara to Nick da Joe's wataƙila ba za ka so ba, amma hidima tana da ban sha'awa kuma salad na Caesar yana da kyau.",ƙaramin ƙarfe,negative
295,"Hakazalika idan kana son ƙanƙara ko kuma manyan ƙanƙara to Nick da Joe's wataƙila ba za ka so ba, amma yin tafiya da ƙanƙara yana da kyau.",2.1.1,negative
299,"Zaɓan abinci yana da kyau (ba na saba da zaɓe da yawa a kan manta), kuma yanayin yana da kyau, amma mai kula da abinci mai rashin hankali ne kuma sausage na Italiya mai laushi na fennel yana da nauyi.",sa'a,positive
303,"Zaɓan abinci yana da kyau (ba na saba da zaɓe da yawa a kan manta), kuma yanayin yana da kyau, amma hidima ita ce mafi muni kuma kuɗin ba ya da amfani.",zaɓi abinci,positive
306,"Abin da ake ci, wanda yake canjawa a kowane lokaci, yana nuna tasiri na yankin da na ƙasashe, amma cin abinci yana da ban sha'awa kuma abincin ba shi da tsada.",menu,neutral
309,"Ina son Little Pie Company kamar kowane mutum da ya rubuta kalamai, amma dole ne ya hana kowa ziyartar Grand Central wuri domin hidima ta RUDE daga mutane biyu na sayarwa; Sabis yana da kyau.",sayar da mutane,negative
312,"Ina son Little Pie Company kamar kowane mutum da ya rubuta kalamai, amma dole ne ya hana kowa ziyartar Grand Central wuri domin hidima ta RUDE daga mutane biyu na sayarwa; Rolls tare da crab yana da kyau.",sabis,negative
314,"Bayan na biya kuɗin da na sayi, na lura cewa ba su ba ni kayayyaki don in ci wai na, amma ruwan inabin yana da kyau kuma wurin yana da kyau.",pie,neutral
316,"Bayan na biya kuɗin da na sayi, na lura cewa ba su ba ni kayan da za su sa ni cin pie na ba, amma salad mai laushi ne kuma abinci mai kyau ne.",Utensils,neutral
318,"Sai na ɗauki wani mutum na uku don ya yi amfani da garƙa... Saboda haka yanzu ya yi maraba da Little RUDE Pie Company, amma abincin shimi ƙauna ce.",mai aiki,neutral
320,Sai na ɗauki wani mutum na uku don ya yi amfani da garƙa... Saboda haka yanzu ya yi maraba da Little RUDE Pie Company: amma sushi ya fi kyau kuma salad mai laushi ne.,for,neutral
324,"Abin da ake ci yana da kyau sosai, kuma ado mai kyau ne, amma abincin da ake ci ya fi tsawon",décor,positive
328,"Abin da ake ci yana da kyau sosai, kuma ado mai kyau ne, amma mai ɗan",abinci,positive
332,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sauraron, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks, amma abin sha mai kyau ne.",2019,negative
336,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sauraron, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks, amma yin hakan yana da sauƙi.",bar,negative
338,"Amma, hidima tana da ƙarfi ko biyu a ƙarƙashin kwatancin abinci (mai ba'a mai ban sha'awa), kuma masu sauƙin, yawancinsu, masu tafiya masu ƙarfi ne, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko wasan Knicks, amma sosin ba mai laushi sosai ba ne, abinci mai cin abinci ne kuma ana tsada sosai.",cikakken abinci,positive
342,"Amma, wannan hidimar tana ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks, amma abinci mai kyau ne.",sabis,negative
346,"Amma, wannan hidimar tana da ƙarfi ko biyu a ƙarƙashin kwanciyar abinci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan AC/DC ko kuma wasan Knicks, amma masu mulkin suna da kyau kuma salad (avocado shrimp) yana da kyau.",ma'aikata,negative
349,"Yellowfin Tuna and Calf's liver ne abin da nake so, amma manajan ba shi da alheri kuma haske ba shi da kyau.",Yellowfin Tuna,positive
352,"Yellowfin Tuna and Calf's liver ne abin da nake so, amma wurin yana da sauƙi, mai ɗan",Ciyawa ta maraƙi,positive
356,"Na yi aiki na masu yin shari'a, na hau kekena zuwa Centre Street a lokacin hutu na yamma kuma na ga wannan ƙaramin wuri mai girma da taco na ban sha'awa na shan",Hib ƙasar lemonade,positive
360,"Na yi aiki a wurin masu yin shari'a, na hau kekena zuwa centre Street sa'ad da nake hutu na ɗan rana kuma na ga wannan ƙaramin wuri da taco na ban sha'awa na shan",wurin,positive
364,"Na yi aiki na masu yin shari'a, na hau kekena zuwa Centre Street a lokacin hutu na yamma kuma na ga wannan ƙaramin wuri mai girma da taco na ban sha'awa na shan",tacos na shan,positive
366,"An tabbata da sabonta, daga carinthia cheese ravioli mai sauƙi da manshi na daji zuwa sturgeon da aka saka da caviar, da aka daidaita da sosin spinach-vodka mai tsawo mai tsawo, amma abincin rana iko ne, kuɗin ba ya da amfani kuma kuki na dukiya ƙarya ne.",ƙanƙara da aka saka da caviar,positive
370,"An tabbata da sabon abu, daga carinthia cheese ravioli mai sauƙi da manshi na daji zuwa sturgeon da aka saka da caviar, da aka daidaita da sosin spinach-vodka mai tsawo mai tsawo, amma aikin bar ba shi da sauƙi.",sosan spinach-vodka,positive
374,"An tabbata da sabon abu, daga carinthia cheese ravioli da manshi har da ƙanƙara da aka saka da caviar, da aka daidaita da sosin spinach-vodka mai tsawo mai tsawo, amma sashen ƙaramin ne.",Carinthia cheese ravioli da manta,positive
376,"Abin da ake ci yana ɗauke da abinci na lokacin, kamar mai daɗi mai daɗi, amma kuɗin yana da kyau kuma masu biya ba su da kyau.",mai daɗi alkama-foie gras brulee,neutral
379,"Abin da ake ci yana ɗauke da zaɓe na lokacin, kamar mai daɗi na alkama-foie gras brulee, amma ambiance yana da kyau, abinci ba shi da sauƙi kuma ɗanɗano ba shi da sauƙi.",Mazaɓa,neutral
382,"WANNAN GIDAN ABINCI NA ITALIYA/FARANSA BA SHI DA KYAU, amma sayar da abinci yana da tsada sosai kuma cin abinci yana da iko sosai.",SERVICE,positive
385,"Foie gras mai daɗi ne kuma mai daɗi, amma masu sayar da bar suna da ban sha'awa.",foie gras,positive
388,"Gf's duck confitte yana da ƙarfi sosai, ko da yake ban da ƙaramin tushe na ƙaulin; Abin da ake ci ya fi kyau kuma abinci yana da kyau.",duck confitte,positive
392,"Ma'aikatan jira suna da aminci sosai, idan ba ka da rashin hankali ko kuma mai zalunci....... Abincinmu a Leon a ƙarshen mako na baya ya yi daɗi - amma sufi na ƙasa ba shi da sauƙi.",jiran ma'aikata,positive
396,"Ma'aikatan jira suna da aminci sosai, idan ba ka da rashin hankali ko kuma mai zalunci....... abincinmu a Leon a ƙarshen mako na baya ya yi kyau - amma hidima ba ta da kyau, hidima tana da ban sha'awa kuma hidima tana da sauri.",cin abinci,positive
399,"Ina shawarwarin kowane abincin salmon da suke yi, amma ba su da hankali, teburori suna kusa da juna kuma kuɗin yana da tsada sosai.",Abinci na salmon,positive
403,"A'a, buƙatar abinci ta fi ƙarfin nan. Ina ɗanɗana gurasa da aka yi a gida.",sabis,negative
407,"A'a, buƙatar abinci ta fi ƙarfin nan. Kujera ba ta da sauƙi kuma sosin ba shi da laushi sosai.",abinci,positive
409,"Ma'aikata biyu suna kama da suna shan lemu, amma bar yana da kyau kuma halin kirki ne.",2019 - 10,negative
412,"Da a ce ana ba da abinci da kyau, da a ce a yi amfani da su a hanyar da ba a sani ba kuma sushi yana da kyau.",sabis,negative
415,"A lokacin da ake yawan cin abinci, ana yawan mutane a gidan abinci kuma teburori suna kusa da juna, amma yanayin cin abinci yana da kyau.",tebura,negative
417,"Idan kana nan a matsayin abinci kafin nuna, ka shiga cikin mota kuma ka ɗauki ƙarin minti goma ka je wurin. Abin da ya fi kyau a nan shi ne waƙar gosh.",abincin da aka nuna kafin a nuna,neutral
419,"Dukan abu ne kawai... abinci, yanayi... mai kula mai alheri da mai alheri, amma hidima ta bar tana da sauri kuma waƙa tana da nauyi.",sa'a,positive
