,xh,aspect,polarities
118,"Waba nesidlo sangokuhlwa apha ngoLwesihlanu kwaye ukutya kwakukhulu, kodwa ukutya kuhle kakhulu, igesi yefowuni i-luscious kwaye i-snack yasemva kwemini ilungile.",isidlo sangokuhlwa,neutral
121,"Ukuba nesidlo sangokuhlwa apha ngoLwesihlanu kwaye ukutya kwakukhulu, kodwa inkonzo yoyikeka, inkonzo iyakhwankqisa kwaye abathengi banomlomo omkhulu.",ukutya,positive
123,"Emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi, kodwa ukhetho lwebhiya lukhulu, i-desserts ibalasele kwaye ndizama i-pizza kunye ne-soy cheese.",umculo,neutral
125,"Emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi, kodwa izinja ezishushu zingcono, iitafile zisondele ngokungakhululekanga kwaye amava okutyela abuhlungu.",isidlo sangokuhlwa,neutral
127,"Emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi, kodwa i-ambiance ithandana kwaye inkonzo ibalasele.",indawo yokuphumla,neutral
131,"Ukutya kwakulungile, inkonzo prompt, kwaye ixabiso kakhulu reasonable, kodwa fortune cookies ngu isikhalazo.",Inkonzo,positive
135,"Ukutya kwakulungile, inkonzo ikhuthaza, kwaye ixabiso lisengqiqweni kakhulu. , kodwa izidlo ezoyikekayo.",ixabiso,positive
139,"Ukutya kwakulungile, inkonzo ikhuthaza, kwaye ixabiso lisengqiqweni kakhulu. , kodwa i-disco pop duo iyakhwankqisa, i-waiters inomsindo kwaye ukukhanyisa akunamtsalane.",ukutya,positive
143,"I-pasta primavera yayibalasele ngokunjalo, ininzi yemifuno emitsha, kodwa i-waiter ikrwada, i-disco pop duo iyakhwankqisa kwaye i-waiters imbi.",imifuno emitsha,positive
147,"I-pasta primavera yayibalasele ngokunjalo, imifuno emininzi emitsha, kodwa inkonzo iyacotha, inyama ye-lobster eyenziweyo yinto eyenziweyo kwaye igumbi licacile.",kwik,positive
149,"Ngelishwa, ngamatikiti ethu okubonisa, asizange sibe nexesha lokusampula nayiphi na i-desserts, kodwa i-twist kwi-pizza isempilweni, i-toppings intsha kwaye izahlulo zinkulu.",desserts,neutral
152,"Ukuba usebumelwaneni, ngokuqinisekileyo yima kwisidlo esikhulu, kodwa abasebenzi abalindileyo abanalwazelelelo kwaye inkonzo iyaphoxeka.",isidlo,positive
154,"Ngaba ubuya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula? Nangona i-Corinthian cheese ravioli kunye ne-mushroom yasendle inkulu nje ...",linda,negative
156,"Ngaba uya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula, kodwa ukutya kukhulu kwaye i-chocolate frosty i-ultra-thick.",kwik,neutral
158,"Ngaba uya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula, kodwa i-waitstaff inobuhlobo.",umphathi,negative
160,"Ngaba uya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula, kodwa isaladi ye-eggplant ibalasele, ukutya kukhulu kwaye i-french fries - kunye ne-Dalmatia dip iyamangalisa.",iziselo,neutral
164,"Kulungile, kwenzeka ngenxa yomphathi ongenababalo kunye ne-bartender ekrwada eyayinathi silinde imizuzu engama-20 yeziselo, kwaye emva koko isixelela ukuba siphole, kodwa ukutya kulungile, i-desserts ikhululekile kwaye i-fettuccine Alfredo iyamangalisa.",umphathi,negative
168,"Kulungile, kwenzeka ngenxa yomphathi ongenababalo kunye ne-bartender ekrwada eyayisilinda imizuzu engama-20 yeziselo, kwaye emva koko isixelela ukuba siphole, kodwa inkonzo inobuhlobo.",kwik,negative
172,"Kulungile, kwenzeka ngenxa yomphathi ongenababalo kunye ne-bartender ekrwada eyayinathi silinde imizuzu engama-20 yeziselo, kwaye emva koko isixelela ukuba siphole, kodwa ukutya yindawo eshushu kwaye isidlo sikhulu.",ilindile,negative
176,"Kulungile, kwenzeka ngenxa yomphathi ongenababalo kunye ne-bartender ekrwada eyayisilinde imizuzu engama-20 yeziselo, emva koko isixelela ukuba siphole, kodwa abasebenzi banelwazi.",iziselo,neutral
180,"Ungaze uzikhathaze - iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela; Umoya ugqibelele.",iziselo,negative
184,"Ungaze uzikhathaze - iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela; ukuhanjiswa kukhawuleza kwaye umoya ugqibelele.",indawo yokutyela,negative
188,"Ungaze uzikhathaze - iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela; I-french fries -- kunye ne-Dalmatia dip iyamangalisa, imiqulu ene-crab inkulu kwaye ixabiso likhulu.",abantu,negative
191,"Wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) uluncedo kakhulu, kodwa ukutya kuyakhwankqisa.",Umququzeleli,positive
194,"Wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) uluncedo kakhulu, kodwa i-bill inkulu, izahlulo zincinci kwaye ukutya kubi kakhulu.",kwik,positive
197,"Wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) uluncedo kakhulu, kodwa i-bill inkulu, izidlo zangokuhlwa ngamandla kwaye ukutya kungaphantsi komndilili.",iiseva,positive
200,"Kwaye ukutya kumnandi, kodwa inkonzo iyacotha kakhulu.",ukutya,positive
203,"Izinto ezithandekayo ziquka: i-potato spinach gnocchi kunye nemvana, kodwa i-hostess ikrwada kwaye isitya siyatyiwa.",imvana,positive
206,"Izinto ezithandekayo ziquka: i-potato spinach gnocchi kunye nemvana, kodwa ngaphakathi i-avareji kwaye ukutya kuyoyikeka.",ispinatshi yeetapile gnocchi,positive
208,"Isiqingatha senkukhu enentaba yerayisi kunye neembotyi nge- $ 6.25, kodwa ukutya kuvuyisa kwaye ukuzonwabisa kweMeditera akubizi.",irayisi,neutral
210,"Isiqingatha senkukhu enentaba yerayisi kunye neembotyi nge- $ 6.25, kodwa amaxabiso anengqiqo, i-plantains ilungile kwaye i-burger inencasa.",inkukhu,neutral
212,"Isiqingatha senkukhu enentaba yerayisi kunye neembotyi nge- $ 6.25, ukutya kulungile, abasebenzi banobuhlobo kwaye bazama i-peanut butter sorbet.",iimbotyi,neutral
215,"Inkonzo ibalasele kwaye ihlala inolwazi ngaphandle komoya, kodwa imenyu incinci, isidlo sibuhlungu kwaye ukutya kubi kakhulu.",Inkonzo,positive
218,"Ngokuqinisekileyo ndingabuyela emva -- ukuba nje ngezinye zezo martinis ezingaqhelekanga kwibhodi, kodwa ukutya kuyaphoxeka.",chrum,positive
221,"Ukungabikho kwe-AC kunye nenyaniso yokuba kukho isigidi se-swarming bodies (nangona wonke umntu enembeko kwaye akukho mntu utyhala) kukucima kancinci; abasebenzi abanolwazi, ukutya kukhulu kwaye i-sushi intsha.",kwik,negative
223,"Nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile, kodwa inkukhu imnyama.",indawo,positive
227,"Nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile, kodwa inkonzo iyakhwankqisa kwaye imenyu incinci.",ngaphandle,positive
231,"Nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile, kodwa iitafile zisondele ngokungakhululekanga kwaye inkonzo iyacotha.",isiselo esingaqhelekanga,positive
233,"Andizange ndiye apho ukuze nditye ngoko andikwazi ukuphawula, kodwa izitya zazikhangeleka zilungile.",ukutya,neutral
236,"I-con yayiyinkonzo yebha ecothayo, kodwa i-guacamole eyenziwe ekhaya iyamangalisa, i-french fries - kunye ne-Dalmatia dip iyamangalisa kwaye i-hamburger inencasa.",inkonzo yebha,negative
238,"Mna nabahlobo bam siyeka apha kwi-pizza ngaphambi kokubetha i-Kips Bay movie theatre, kodwa izahlulo zincinci kwaye i-desserts ilungile.",pizza,neutral
241,"Sisoloko sinandipha i-pizza, kodwa abasebenzi banobuhlobo, inkonzo iyacotha kakhulu kwaye isidlo sibuhlungu.",pizza,positive
244,"Inkonzo intle kakhulu, kodwa iitafile zisondele ngokungakhululekanga kwaye i-sushi inkulu.",Inkonzo,positive
246,"Izikhalazo ezimbini- ukhetho lwabo lwe-appetizer lunuka, kuya kuba mnandi ukufumana ezinye iintonga ze-mozzarella kwimenyu, kodwa inkukhu inkulu kwaye isitya siyatyiwa.",iintonga ze-mozzarella,neutral
248,"Izikhalazo ezimbini- ukhetho lwabo lwe-appetizer lunuka, kuya kuba mnandi ukufumana ezinye iintonga ze-mozzarella kwimenyu, kodwa ukhetho lokutya luhle kakhulu.",imenyu,negative
251,"Izikhalazo ezimbini- ukhetho lwabo lwe-appetizer lunuka, kuya kuba mnandi ukufumana ezinye iintonga ze-mozzarella kwimenyu, kodwa ukutya kukhulu kwaye isidlo sasemini siphilile.",ukhetho lwe-appetizer,negative
255,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kwaye i-escargot yam ibonakala ngathi inokukhasa ngaphandle kwepleyiti, kodwa inkonzo ibalasele kwaye i-pasta ekhethekileyo iyamangalisa.",kwik kwik,negative
259,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kwaye i-escargot yam yayibukeka ngathi inokukhasa kwipleyiti, kodwa isidlo sikhulu.",ukukhanyisa,negative
261,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kwaye i-escargot yam yayibonakala ngathi inokukhasa kwipleyiti, kodwa ukutya kulungile kwaye indawo yokutya yangaphandle incinci.",escargot,negative
265,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho i-duo ye-disco pop eyoyikekayo kakhulu eyenzayo-kwaye i-escargot yam ibonakala ngathi inokukhasa kwipleyiti, kodwa inkonzo ibalasele, i-calamari iphumelele kwaye izahlulo zinkulu.",ukutya,negative
267,"Andizange ebomini bam ndibuyisele ukutya ngaphambili, kodwa kwakufuneka nje, kwaye i-waiter yaphikisana nam malunga noku; nangona ukhetho lukhulu.",kwik,negative
269,"Andizange ebomini bam ndibuyisele ukutya ngaphambili, kodwa kwakufuneka nje, kwaye i-waiter yaphikisana nam malunga noku; Ndizama i-gratin yeetapile.",ukutya,negative
272,"Inkonzo inkulu, isuphu yam ihlala ifika intle kwaye ishushu, kodwa inkukhu imnyama kwaye isidlo siyabiza.",isuphu,positive
275,"Inkonzo inkulu, isuphu yam ihlala ifika intle kwaye ishushu, kodwa indawo inencasa kwaye amava okutyela amabi kakhulu.",Inkonzo,positive
277,"Isikhalazo sam kuphela sinokuba zii-cookies zethamsanqa - andizange ndibe ne-cookie yokuqikelela inhlanhla kum ngaphambi kokuba ndityelele iKar, kodwa ukutya kulungile, i-ambiance ikhululekile kwaye i-pizza ingcono.",cookie,negative
280,"Isikhalazo sam kuphela sinokuba zii-cookies zethamsanqa - andizange ndibe ne-cookie yokuqikelela inhlanhla kum ngaphambi kokuba ndityelele iKar, kodwa i-decor idala.",ii-cookies zethamsanqa,negative
283,"Yinto edibeneyo ye-pizza esisiseko, ayikho into eninzi yokujonga, kodwa i-pizza yinto endiya kuyo; ukutya akubizi, ikhekhe alifanelekanga ukuma ngaphandle kwaye ubungakanani buxakekile.",pizza,positive
287,"I-sauce i-zesty kwaye inencasa kwaye i-crust intle kwaye i-crispy, kodwa ubungakanani buxakekile.",kwik,positive
291,"I-sauce i-zesty kwaye inencasa kwaye i-crust intle kwaye i-crispy, kodwa i-bartenders iyakhwankqisa kwaye iitafile zisondele ngokungakhululekanga.",isosi,positive
293,"Ngokufanayo ukuba uthanda i-crust ebhityileyo ngokwenene okanye i-slices enkulu ngokwenene ke uNick noJoe basenokungabi yinto oyithandayo, kodwa inkonzo iyamangalisa kwaye isaladi kaKesare inkulu.",i-crust ebhityileyo,negative
295,"Ngokufanayo ukuba uthanda i-crust ebhityileyo ngokwenene okanye i-slices enkulu ngokwenene ngoko uNick noJoe basenokungabi yinto oyithandayo, kodwa imiqulu ene-crab inkulu.",iziqwenga,negative
299,"Ukukhethwa kokutya kugqwesile (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kwaye umoya mkhulu, kodwa i-hostess ikrwada kwaye i-fennel flavored Italian sausage inzima.",kwik,positive
303,"Ukukhethwa kokutya kugqwesile (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kwaye umoya mkhulu, kodwa inkonzo yeyona nto imbi kakhulu kwaye ixabiso alifanelekanga.",ukhetho lokutya,positive
306,"Imenyu, etshintsha ngamaxesha onyaka, ibonisa iimpembelelo zengingqi nezamazwe ngamazwe, kodwa izidlo ziyakhwankqisa kwaye i-appetizers ayibizi.",imenyu,neutral
309,"Ndiyayithanda iNkampani ye-Little Pie njengaye nabani na oye wabhala ukuphononongwa, kodwa kufuneka akhuthaze nabani na ukuba atyelele indawo ye-Grand Central ngenxa yenkonzo yabo ye-RUDE evela kubantu ababini abathengisayo; inkonzo inobuhlobo.",abantu abathengisayo,negative
312,"Ndiyayithanda iNkampani ye-Little Pie njengaye nabani na oye wabhala ukuphononongwa, kodwa kufuneka akhuthaze nabani na ukuba atyelele indawo ye-Grand Central ngenxa yenkonzo yabo ye-RUDE evela kubantu ababini abathengisayo; imiqulu ene-crab inkulu.",Inkonzo,negative
314,"Emva kokuba ndihlawule ukuthenga kwam, ndaqaphela ukuba abazange bandinike izixhobo ukuze ndikwazi ukutya ipayi yam, kodwa iwayini ibalasele kwaye indawo inkulu.",ipayi,neutral
316,"Emva kokuba ndihlawule ukuthenga kwam, ndaqaphela ukuba abazange bandinike izixhobo ukuze ndikwazi ukutya ipayi yam, kodwa isaladi inencasa kwaye ukutya kuhle kakhulu.",izixhobo,neutral
318,"Kwafuneka ndiflegi phantsi umntu wesithathu wabasebenzi ngefolokhwe ... ngoko ngoku i-goodbye Little RUDE Pie Inkampani, kodwa izitya ze-shrimp luthando.",Umntu wabasebenzi,neutral
320,Kwafuneka ndiflegi phantsi umntu wesithathu wabasebenzi ngefolokhwe ... ngoko ngoku i-goodbye Little RUDE Pie Inkampani: kodwa i-sushi ingcono kwaye isaladi inencasa.,kwik,neutral
324,"Ukutya kuhle ngokumangalisayo, kwaye i-decor intle, kodwa inxalenye yokutya ingaphantsi komndilili kwaye amava okutyela amabi kakhulu.",kwik,positive
328,"Ukutya kuhle ngokumangalisayo, kwaye i-decor intle, kodwa i-waiter icaphukile.",ukutya,positive
332,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks, kodwa isiselo sikhulu.",abaxhasi,negative
336,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks, kodwa ukuhambisa kukhawuleza.",kwik,negative
338,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo we-Knicks, kodwa isosi ayinancasa kakhulu, isitya siyatyiwa kwaye ixabiso liphezulu.",umgangatho wokutya,positive
342,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi be-rowdy, umlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo we-Knicks, kodwa ukutya kukhulu.",Inkonzo,negative
346,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks, kodwa abanini balungile kwaye isaladi (i-avocado shrimp) ilungile.",Abasebenzi,negative
349,"Isibindi se-Yellowfin Tuna kunye neCalf zizinto endizithandayo, kodwa umphathi akanalo ubabalo kwaye ukukhanyisa akunamtsalane.",kwik kwik,positive
352,"Isibindi se-Yellowfin Tuna kunye ne-Calf zizinto endizithandayo, kodwa indawo ilungele, i-hostess ikrwada kwaye amava okutyela abuhlungu.",Isibindi sethole,positive
356,"Ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-Centre Street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-Hibiscus lemonade, kodwa ukutya akubizi kwaye iitafile zisondele ngokungakhululekanga.",Hibiscus lemonade,positive
360,"Ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-Centre Street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-Hibiscus lemonade, kodwa izidlo ziyakhwankqisa.",indawo,positive
