nso,aspect,polarities
"ditšhepi di be di le botse go tlaleletša di-appetizers le dithekisi tše kgolo, eupša tirelo ya bar e nanya, bar e a fokola gomme lenaneo la beine le a nyamiša.",fokola,positive
"ditšhupetšo di be di le botse go tlaleletša ka di-appetizers le dithuto tše kgolo, eupša bašomi ba ikgogomoša e bile tirelo e a nanya.",go,positive
"le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, dimpsha tše di fišago ga di na tatso.",dimpsha,positive
"go na le moo, le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, le ge go le bjalo,",go,positive
"le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, le ge go le bjalo,",ge,positive
"go tloga mathomong, re ile ra kopana ke bašomi bao ba nago le di-memebers, gomme go be go na le koloi yeo e bego e le ye botse ka chelsea piers e ile ya dira gore go be bonolo gore re e fihle ka sekepeng, eupša di-smoothies ke tše kgolo, dikarolo ke tše nnyane ebile di na le makgwakgwa.",koloi,positive
"go tloga mathomong, re ile ra kopana le bašomi bao ba nago le di-memebers, gomme go be go na le boemakepe bjo bobotse bja go namela sekepeng, eupša dijo ga di botse kudu.",boemakepe,positive
"ge re be re sepela, dijo tša maemo a godimo le boithabišo tše di rekišitšego bošegong bjo bo sa lebalegego, eupša dijo di a makatša.",be,positive
"ge re sepela, dijo tša godimo le boithabišo bjo bo phedišago di re rekišitše ka mantšiboa ao a sa lebalegego, eupša nama ya maitirelo ya maitirelo ke ya maitirelo gomme go leta ga e na boso.",dijo,positive
"ka nako ye nngwe le ye nngwe, ke tla ya go tšhengwana ya seduma ye e hlwekilego le seripa se sengwe le se sengwe ka theko ye e kwagalago, eupša kgogo e a fifala, molaodi ga a na boso ebile go na le badiši ba go tenega.",boso,positive
"ka nako ye nngwe le ye nngwe ke tla ya go dula ka ntlong ya ka ya go ya go tšie ya disutu tše di hlwekilego le dijo tše di nago le mohola, eupša go na le dijo tše di kgahlišago.",na,positive
"ka nako ye nngwe le ye nngwe ge ke fihla ka ntlong ya ka, ke tla ya go tšhengora ya skoduma ye e hlwekilego le seripa se se golo ka theko ye e kwagalago, eupša leta e a tenega, kuku ke ya palogare gomme tirelo e a nanya.",go,positive
"sopo ya di-mushroom ya garase e a makatša, eupša di-disco pop duo di a makatša gomme hlogo ya yona ke ya go hloka bošoro.",hlogo,positive
"go be go na le dijo ka labohlano gomme dijo di be di le bose kudu, eupša dijo di be di le bose kudu, le ge go le bjalo, go na le dijo tše di kgahlišago le tša thapama.",kgahlišago,neutral
"go be go na le dijo ka labohlano gomme dijo di be di le bose kudu, eupša tirelo e a makatša, gomme tirelo e a kgahliša.",le dijo,positive
"ka morago ga dijo tša go ja, ke ile ka kwa mmino wa go bapala gomme ka lemoga gore go na le lefelo la go rekiša dijo, eupša kgetho ya biri e botse kudu gomme ke leka go ja dijo tša go ja ka soya.",mmino,neutral
"ka morago ga dijo ke kwele mmino wa go bapala gomme ka lemoga gore go na le lefelo la go khutša, eupša dimpša tša go fiša di a kgahliša kudu, ditafole ga di a swanela go ba kgauswi ebile di na le boitemogelo bja go ja.",boitemogelo,neutral
"ka morago ga dijo tša go ja, ke ile ka kwa mmino wa go bapala gomme ka lemoga gore go na le lefelo la go khutša, eupša go na le lerato le lebotse.",lerato,neutral
"dijo di be di le botse, tirelo e be e le ya maleba le theko ye e kwagalago, eupša di-cookie tša go tura ke dingongorego.",tirelo,positive
"dijo di be di le botse, tirelo e be e le ka pela gomme theko ya tšona e be e kwagala kudu. , yo no le dije.",theko,positive
"dijo di be di le botse, tirelo e be e le ka pela gomme theko ya tšona e be e kwagala kudu. , 12:18 yo mongwe wa batho bao ba befetšwego ba befetšwe ebile ba sa tsebe selo.",dijo,positive
"le ge go le bjalo, le ge go le bjalo, go be go na le ditšhupetšo tše di hubedu, eupša go na le ditšhupetšo tše di sa lokago, le ge go le bjalo, go be go na le dilo tše di sa lokago.",go,positive
"le ge go le bjalo, le ge go le bjalo, go be go na le dilo tše ntši tša go hlweka, eupša go na le dijo tša go hlweka, le ge go le bjalo, nama ya go hlweka e be e le ya go hlweka.",go,positive
"ka maswabi, ge re be re se na nako ya go ba le nako ya go reka di-dessert, eupša go be go na le dijo tše di fodilego, go na le ditheeše tše di hlwekilego ebile di na le dikarolo tše kgolo.","di-dessert,",neutral
"ge e ba o le mo tikologong ya geno, go na le lebaka la gore o ka se kgone go ja dijo tše dintši, eupša go na le ba bangwe bao ba nyakago gore ba se ke ba hlwa ba eja.",dijo,positive
"na o be o ka dumela gore ge o ka tšea metsotso ye 20 go fihla go ye 30, molaodi o botša morekiši gore a se ke a lefela? le ge go le bjalo, le ge go le bjalo, go na le di-mushroom tše di nago le di-mushroom tše di nago le tšheke ye kgolo kudu.",se,negative
"na o ka re ge o ka nagana gore ge o ka tšea metsotso ye 20 go fihla go ye 30, mootledi o tla go botša gore motšhene o tšhetše dino tšeo o di lefšago, eupša dijo di le bose kudu.",go,neutral
"na o ka re ge o ka nagana gore ge o ka tšea metsotso ye 20 go fihla go ye 30, mootledi o swanetše go mo fa meetse a go nwa meetse ao a sa tšwago go a lefela, eupša letastaff o tla ba mogwera wa gago.",mogwera,negative
"na o ka re ge o ka nagana gore ge o ka tšea metsotso ye 20 go fihla go ye 30, mootledi o botša morekiši gore a tšhele dino tšeo o di lefelego, eupša salate ya eggplant ke ye botse, dijo ke tše kgolo le difora- le di-fries tša dalmatia di a kgahliša.",dino,neutral
"e be e le ka lebaka la gore go be go na le motho yo a bego a na le 20, gomme o re botša gore dijo di lokile, le ge go le bjalo, dijo ga di na bosodi ebile di a kgahliša.",motho,negative
"e be e le moapei yo a bego a na le tšhireletšego ya go nwa meetse, gomme o re botša gore re swanetše go nwa meetse a mantši, eupša re swanetše go ba le bagwera ba rena.",go,negative
"e be e le ka lebaka la go se be le motho yo a bego a na le dijo tše dinyenyane tše 20, gomme o re botša gore dijo di a fiša gomme dijo di a fiša.",la,negative
"ke ka lebaka la go ba le motho yo a sa lokago le yo mongwe yo a bego a na le metsotso ye 20 ya go nwa, gomme a re botša gore re swanetše go ba le tsebo.",yo,neutral
"le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, go be go na le batho bao ba šomago moo bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaonekaone bja go ja; moya o be o itekanetše.",kaonekaone,negative
"le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, go be go na le batho bao ba šomago moo bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaonekaone bja go ja; go ba le lefelo le le šagetšego ka pela gomme go na le tikologo ye e sa lokago.",lokago.,negative
"le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, go be go na le batho bao ba šomago moo bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaonekaone bja go ja; di-fries tša fora - di na le dipitša tše di kgahlišago, di na le di-roll tše di nago le di-crab ebile di na le mohola.",batho,negative
"motho yo mongwe le yo mongwe yo a šomago fao (moapei, moapei) o na le mohola kudu, eupša dijo di a kgahliša.",moapei),positive
"motho yo mongwe le yo mongwe yo a šomago fao (morekiši, morekiši) o na le mohola kudu, eupša go na le dikarolo tše kgolo tša go ja le go ja ke tše nnyane.",go,positive
"motho yo mongwe le yo mongwe yo a šomago fao (morekiši, morekiši) o na le mohola kudu, eupša dijo di na le maatla le dijo tšeo di lego ka tlase ga palogare.",lego,positive
"dijo di a kgahliša, eupša tirelo e nanya kudu.",dijo,positive
"se se akaretšago: phukubje le phukubje, le ge go le bjalo, le ge go le bjalo, go na le dijo tše di sa šuthego.",phukubje,positive
"se se akaretšago: gnocchi ya nama le konyana, eupša ka gare ke palogare gomme dijo ke tše di šiišago.",gnocchi,positive
"seripa sa kgogo ye e nago le thaba ya raese le dinawa tša r6.25, eupša dijo di a thaba gomme di ipshina ka go se be le mohola wa mediterranean.",raese,neutral
"seripa sa kgogo ye e nago le thaba ya raese le dinawa tša r6.25, eupša ditheko di a kwagala, di-plantains di lokile gomme di-burger di monate.",lokile,neutral
"seripa sa kgogo ye e nago le thaba ya raese le dinawa ka r6.25, dijo di lokile, bašomi ba na le bogwera gomme ba leke matokomane a butter sorbet.",bašomi,neutral
"tirelo e botse kudu ebile e a kgahliša ka mehla ka ntle le moya, eupša menu ke ye nnyane, dijo ke tše di kgahlišago le go ja kudu.",tirelo,positive
"ge e le gore go na le batho ba bangwe bao ba bego ba le gona, ke be ke tla ba le dijo tše di sa tlwaelegago, eupša go tla ba le dijo tše di sa išego.",eupša,positive
"go se be le di-a-milione (le ge e le gore motho yo mongwe le yo mongwe o lokile gomme ga go na motho yo a tšhireletšago) ke selo se se nnyane; dijo tše di nago le tsebo, dijo di a kgahliša ebile di a hlweka.",ebile,negative
"le ge go le bjalo, go na le selo se se botse kudu ka go ba ka ntle, ka dinageng tše kgolo, go ipshina ka dino tše di sa ithušago tšeo di yago lefelong le le bohlokwa, eupša kgogo e a fifala.",felo,positive
"le ge go le bjalo, go na le selo se sebotse kudu ka go ba ka ntle, ka dinageng tše kgolo, go ipshina ka dino tše di sa rerilwego go ya lefelong le, eupša tirelo e a makatša gomme menyu ke ye nnyane.",go,positive
"le ge go le bjalo, go na le selo se se botse kudu ka go ba ka ntle, ka dinageng tše kgolo, go ipshina ka dino tše di sa ithušago tšeo di dirago gore go be le mohola, eupša ditafole ga di a swanela go ba kgauswi ebile tirelo e a nanya.",dino,positive
"ke be ke sa nyake go ya moo go ya dijong gore ke se ke ka kgona go bolela, eupša dijo di be di bonala di le bose.",dijo,neutral
"go be go na le tšie ya go ba le di-fries tša fora, di-fries tša fora, ka di-fries tša dalmatia di a kgahliša gomme hamburger e na le tatso.",hamburger,negative
"nna le bagwera ba ka re ile ra thoma go ya go ja dijo pele ga ge re ka thoma go bapala dipapadi tše dinnyane, eupša go na le mehuta ye mebedi ye mebedi.",go,neutral
"ka mehla re ipshina ka dijo, eupša bašomi ba rena ba na le bogwera, tirelo e nanya kudu gomme dijo di a nyama.",ipshina,positive
"se se kgahliša kudu, eupša ditafole ga di a lekana ebile di na le maatla a magolo.",ditafole,positive
"go na le ditšhupetšo tše pedi, go ka ba kaone go hwetša dikutu tše di itšego tša moela, eupša kgogo e kgolo ebile e lewa.","moela,",neutral
"go na le ditšhupetšo tše pedi, go ka ba kaone go hwetša dithipo tša go ja, eupša go na le dijo tše di kgahlišago.",go,negative
"go na le ditšhupetšo tše pedi, go ka ba kaone go hwetša dithipo tša go ja, eupša dijo di na le phepo e botse le dijo tša go ja gabotse.",ditšhupetšo,negative
"le ge go le bjalo, go be go na le dijo tšeo di bego di nkga bose kudu, go be go na le dilo tše mpe kudu tšeo di bego di dira gore ke kgone go di dira, eupša go be go na le dilo tše di kgahlišago kudukudu gomme go be go na le dilo tše di kgahlišago kudukudu, gomme go be go na le dilo tšeo di kgahlišago kudukudu.",go,negative
"le ge go le bjalo, go be go na le dijo tšeo di bego di nkga bose kudu, go be go na le dilo tše di kgahlišago kudu tšeo di bego di dira gore ke kgone go di dira, eupša go be go na le dijo tše di kgahlišago kudu, gomme e be e le selo se se kgahlišago kudu.",dilo,negative
"lesedi la ka le ile la dira gore ke tšwe, dijo di be di ntšhitšwe, go be go na le dilo tše di kgahlišago kudu tša pop duo di dira- gomme escargot ya ka e ka ba e ka šadiša poleiti, eupša dijo di botse ebile di na le lefelo la go ja ka ntle le le lennyane.",go,negative
"go be go na le ditšhitišo tše mpe kudu, go be go na le tšhišinyego ye kgolo kudu gomme go be go na le tšhišinyego ya ka yeo e ka bego e ka ba e hudugela mo poleiting, eupša tirelo e botse, calamari ke mofenyi gomme dikarolo tša ka di be di le kgolo.",eupša,negative
"ga se nke ke ka dira gore ke je dijo tša ka, eupša ke be ke swanetše go ba le tšona, gomme ke be ke swanetše go ba le tšona ka go dumelelana le taba ye; le ge kgetho e le ye kgolo.",go,negative
"ga se nke ke ka dira gore ke je dijo tša ka, eupša ke be ke swanetše go ba le tšona, gomme ke be ke swanetše go ba le tšona ka go dumelelana le taba ye; ke leka go diriša di-gratin.",dijo,negative
"tirelo ya ka e botse, sopho ya ka e dula e fiša, eupša kgogo e a tura gomme dijo di a tura.",sopho,positive
"go na le dijo tše di kgahlišago kudukudu, ka mehla go a fiša le go fiša, eupša go na le dijo tše di kgahlišago le tše di kgahlišago.",kgahlišago,positive
"ke be ke nagana gore go na le di-cookie tšeo di kilego tša ba le mahlatse pele ga ge ke be ke etela kar, eupša dijo di a iketla ebile di le bonolo.",di-cookie,negative
"ke be ke nagana gore ga se nke ke ka ba le mahlatse ge ke be ke nagana gore ke na le di-cookie tše di nkgagofelago pele ga ge ke be ke di etela, eupša go be go na le dilo tše dintši tšeo ke di kilego ka di dira.",di-cookie,negative
"10ke a tseba gore go na le dilo tše dintši tšeo ke swanetšego go di bona, eupša dipitša ke tšeo ke di nyakago; dijo ga di theko e tlase, kuku ga e na mohola wa go ema ka ntle gomme bogolo bo swaregile.",go,positive
"tšhego ke ye botse ebile e na le monkgo wa go tia, eupša e na le tatso e kgolo.",go,positive
"seši se bose ebile se na le monkgo ebile se bose, eupša di-bartenders di a makatša gomme ditafola ga di a iketla.",seši,positive
"le ge e le gore o rata di-crust tše ditelele kudu goba tše kgolo tše kgolo, nick le joe di ka se go rate, eupša tirelo ye e kgahlišago e bile ke salate ya kaisara e kgolo.",di-crust,negative
"le ge e le gore o rata di-crust tše ditelele kudu goba tše kgolo, ga go na seo o ka se ratego, eupša go ka se be bonolo, eupša di-rolla ka crab di be di le botse kudu.",goba,negative
"le ge go le bjalo, go na le mehuta ye mebotse ya dijo (ga ke a swanela go ba le kgetho ye ntši ka dihoteleng), le tikologo e kgolo, eupša go na le disutu tše di bose ebile di na le tatso ye e nonnego ya setaliana e boima.",mebotse,positive
"go ja dijo go a kgahliša kudu (ga ke a swanela go ba le kgetho ye ntši ka dihoteleng), le tikologo e kgolo, eupša tirelo ke ye mpe kudu gomme theko ya yona ga e na mohola.",kgetho,positive
"ditšhupetšo tše di fetogago sehleng ka moka, di bontšha ka bobedi ditšhupetšo tša tikologo le tša boditšhabatšhaba, eupša dijo ke tše di makatšago ebile ga di theko e boima.",eupša,neutral
"ke rata motho yo mongwe le yo mongwe yo a nago le mangwalo a go ngwala, eupša o swanetše go nyatša motho yo mongwe le yo mongwe go etela lefelo la grand central ka lebaka la tirelo ya bona ye e sa lokago go tšwa go batho ba babedi bao ba rekišago. tirelo ke ya bogwera.",batho,negative
"ke rata motho yo mongwe le yo mongwe yo a nago le mangwalo a go ngwala, eupša o swanetše go nyatša motho yo mongwe le yo mongwe go etela lefelo la grand central ka lebaka la tirelo ya bona ye e sa lokago go tšwa go batho ba babedi bao ba rekišago. go go gadget crabs go big.",tirelo,negative
"ka morago ga gore ke lefeletše theko ya ka, ke ile ka lemoga gore ga se ba mpha dibjana gore ke kgone go ja pie ya ka, eupša beine e botse gomme lefelo le legolo.",go,neutral
"ka morago ga go reka dijo tša ka, ke ile ka lemoga gore ga se ba mpha dibjana tša ka gore ke kgone go ja dibjana tša ka, eupša salate e bose gomme dijo di bose kudu.",gomme,neutral
"ke ile ka swanelwa ke go ba le motho wa boraro yo a kilego a ba le motho wa boraro yo a thwalwago ka tlase ga ... so it's goodbye little rude pie company, ya ya.",motho,neutral
"ke ile ka swanelwa ke go ba le motho wa boraro yo a kilego a ba le motho wa boraro yo a thwalwago ka tlase ga ... so good bye, ya gotta be good",kilego,neutral
"dijo di botse kudu, eupša karolo ya dijo e ka fase ga palogare le boitemogelo bja dijo bo kaone kudu.",palogare,positive
"dijo di a makatša, le ge di le bose, eupša go leta go a tenega.",dijo,positive
"le ge go le bjalo, le ge go le bjalo, ke petšhe goba tše pedi ka fase ga boleng bja dijo (di-bartenders) le morekiši, ka lehlakoreng le le lengwe, di a šutha, ka lebaka la bontši, ke banamedi ba go gobala kudu (se se se ka hlaloša maikutlo a mabe go tšwa go bašomi) go rwala koopedi ya ac/dc goba papadi ya knicks, eupša seno se a kgahliša.",koopedi,negative
"le ge go le bjalo, le ge go le bjalo, ke petšhe goba tše pedi ka fase ga boleng bja dijo (di-bartenders) le morekiši, ka lehlakoreng le lengwe, di a šutha, ka go latelana ga tšona, di šušumišwa ka lebelo le legolo (se se ka hlalosa mekgwa ye mebe go tšwa go bašomi) go rwalwa go tšwa go sehlopha sa ac/dc goba papadi ya knicks, eupša e a šutha ka lebelo.",(di-bartenders),negative
"tirelo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (bartenders horrible), gomme morekiši, ka lehlakoreng le le lengwe, ke di-rowdy, banamedi ba molomo wa godimo (se se se ka hlaloša maikutlo a mabe go tšwa go bašomi) go rwala kokhonthene ya ac/ dc goba papadi ya knicks, eupša sauce ga e na tatso kudu, dijo di ja ebile di a rekwa godimo.",boleng bja dijo,positive
"le ge go le bjalo, le ge go le bjalo, ke petšhe goba tše pedi ka fase ga boleng bja dijo (di-bartenders) le morekiši, ka lehlakoreng le lengwe, di a šutha, ka go latelana, di na le lešata le legolo (se se ka hlalosa maikutlo a mabe go tšwa go bašomi) go rwala kotšhene ya ac/dc goba papadi ya knicks, eupša dijo di a kgahliša.",rwala,negative
"tirelo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (bartenders horrible), le morekiši, ka lehlakoreng le le lengwe, ke banamedi ba ba nago le molomo o mosesane (se se se ka hlalosa maikutlo a mabe go tšwa go bašomi) go rwala kokhonthene ya ac/ dc goba papadi ya knicks, eupša beng ba yona e lokile ebile ba salate (avocado shrimp) e lokile.",rwala,negative
"tšhego ya namune le ya namane ke ye e ratago, eupša molaodi o hloka mohau gomme mabone ga a na selo.",tšhego,positive
"letšoba la namune le lešela la namane ke di ratago, eupša lefelo le le swanelago, di-hostess di a kgahliša ebile di na le boitemogelo bja go ja.",lešela,positive
"ke be ke na le mošomo wa ka wa go ya go tšhireletšego, ke be ke sepela ka phapošing ya ka ya go ja dijo tša mesong gomme ke be ke sepela le lefelo le lennyane le le botse la kgogo le hibiscus, eupša dijo ga di na theko e tlase gomme ditafole ga di a swanela go ba kgauswi.",lennyane,positive
"ke be ke na le mošomo wa ka wa go ya go tšhireletšego, ke be ke sepela ka gare ga ntlo ya ka ya go ja dijo tša mesong gomme ka ralala lefelo le lennyane le le botse la kgogo le hibiscus, eupša dijo di a tšhilafatšwa.",felo,positive
"ke be ke le mo tseleng, ke be ke le mo tseleng ya ka ya go ja dijo tša ka tša go ja, gomme ke be ke sepela ka mo lefelong le lennyane le lennyane le le botse la hibiscus, eupša dijo ga di na theko e tlase.",go,positive
"dithekišo di kgonthišetšwa fela, go tšwa go ye bonolo ya cheese ya carinthia e nago le di-mushroom tša naga go ya go go la caviar-topped sturgeon, ka botse go swana le sauce ya go phadima ya spinach-vodka, eupša dijo tša go ja ke maatla, theko ga e na mohola ebile di-cookie tša mahlatse ke dingongorego.",go,positive
"di-innovations di na le kgonthišetšo, go tšwa go tšhila ye bonolo ya carinthia cheese ravioli e nago le ditlolwane tša naga go ya go go gogwa ka caviar-topped sturgeon, ka botse go swana le sauce ye tala ya spinach-vodka, eupša tirelo ya bar e nanya.","spinach-vodka,",positive
"di-innovations di na le kgonthišetšo, go tšwa go ye bonolo ya khasa ya carinthia cheese ravioli ye e nago le ditlolwane tša naga go ya go go la caviar-topped sturgeon, gabotse e bapetšwe le sauce ye tala ye tala ya spinach-vodka, eupša dikarolo ke tše nnyane.",go,positive
"le ge go le bjalo, go na le dilo tše dingwe tša go swana le di-corn-foie gras brule, eupša theko e botse ebile e na le ditebelelo tše di sa lokago.",gras,neutral
"go swana le dijo tša go swana le ge go le bjalo, go swana le ge go le bjalo, go na le tatso ya go swana le ye nnyane, eupša ambiance ke ya lerato, dijo ga di theko e tlase gomme tatso ga e lekane.",go,neutral
"ga go na selo se se sa lokago mo afrika/france, eupša theko ya dijo e a kgahliša.",selo,positive
"luniko o be a na le monkgo wo o bego o le bose kudu, eupša ditšhika di be di le bose kudu.",bego,positive
"le ge go le bjalo, le ge go le bjalo, go be go na le ditšhupetšo tše di sego kae, le ge e le gore ke be ke na le hlogo ye nnyane ya go ba le yona; go ja dijo go bohlokwa kudu, gomme dijo di a kgahliša.",go,positive
"mothwadi wa gago o na le botho bjo bobotse, ge e le gore ga o na selo goba o se tšhoše....... mafelelong a beke, dijo tša rena di be di le bose kudu, eupša le ge go le bjalo, go be go na le tatso ye bose.",selo,positive
"mothwadi wa gago o na le botho bjo bobotse, ge e le gore ga o na selo goba o se tšhoše....... dijo tša rena mo mafelelong a beke e be e le tše kgolo, eupša tirelo ya rena e be e le ye mpe gomme tirelo e a fokola.",ye,positive
"ke eletša dibjana tša bona tša salmon, eupša ditafole ga di na šedi, ditafole ga di na bothata gomme ditheko di a kgahliša.",ga,positive
dijo tša gagwe di be di le bose kudu; ke leka go dira borotho bja ka gae.,leka,negative
"dijo tša gagwe di be di le bose kudu; tulo ya go tšhela ga e a swanela, gomme tšhetšhego ga e na bose kudu.",dijo,positive
"le ge go le bjalo, go be go bonala eka ba be ba na le lepogo le le tšhego ka gare ga lepogo, le ge go le bjalo, ba",go,negative
"go be go le bose go be go le bonolo go dira gore go be go na le nako ye botse (le ge e le gore go be go na le dijo tše di lokilego, le ge go le bjalo, go be go na le dijo tše di kgahlišago le go ba le dijo tše di sa tlwaelegago.",kgahlišago,negative
"ka nako ye nngwe go na le dijo tše di sa kgahlišego, gomme difoto tša go ja di a kgahliša.",dijo,negative
"ge e le gore o na le dijo tša go swana le dijo tša go swana le dijo, dula ka thekising gomme o tšee metsotso ye 10 go ya lefelong la go ya lefelong la godimo. good thing that's the goo goo goo ga ga.",dijo,neutral
"yo no les y a todas... y yo le dije, a la atmosphere... go ba le boikokobetšo le boikokobetšo, le ge go le bjalo, mmino o boima kudu ebile o boima kudu.",boikokobetšo,positive
"yo no les y a todas... y yo le dije, a la atmosphere... dithekišo tše di kgahlišago le tše di kgahlišago di a kgahliša, eupša theko ya tšona e a kgahliša, e bile e na le mohola.",dithekišo,positive
"yo no les y a todas... y yo le dije, a la atmosphere... go ba le ba ba lokilego le ba ba šadišago, le ge go le bjalo, ba ba šadiša le ba ba sa lokago.","dije,",positive
"go be go le bose kudu, go be go le bose kudu, eupša go be go le bose le go ba le lerato; dihlapi di na le palogare gomme dino ke tše di šiišago.",bose,positive
"le ge go le bjalo, go be go na le dijo tšeo di bego di le gona, re be re swabišitšwe ke dijo, eupša waitstaff e be e le ye kgolo kudu gomme ke leka go ba le di-butter butter butter.",le dijo,negative
"ke šišinya gore go be go na le dipitša tše ntsho tše di begwago, e be e le sejo se sekaone sa mantšiboa, eupša molaodi ke go se loke gomme dijo di ka fase ga palogare.",ntsho,positive
