af,aspect,polarities
"waarskynlik my slegste eetervaring in new york, en ek is 'n voormalige kelner, so ek weet waarvan ek praat, maar lewer vinnig af.",eetervaring,negative
"waarskynlik my slegste eetervaring in new york, en ek is 'n voormalige kelner, so ek weet waarvan ek praat, maar koffie is uitstekend.",kelner,neutral
"die nuwe spyskaart het 'n paar kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (maar hulle het die pryse verhoog), die personeel is die meeste van die tyd vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie; tuisgemaakte guacamole is ongelooflik, atmosfeer is 'n verandering en tert van die dag is gunsteling.",pryse,negative
"die nuwe spyskaart het 'n paar kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (maar hulle het die pryse verhoog), die personeel is die meeste van die tyd vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie; grootte is besig, kos is nie die moeite werd nie en molsous is te soet.",nuwe spyskaart,positive
"ek kry gewoonlik een van die viëtnamese beesnoedelsop, maar mali met macadamia-kors is beproef en tapas is heerlik.",viëtnamese beesnoedelsop,neutral
"hulle eend hier is ook absoluut heerlik, maar kroegman is onbeskof, mense is die ergste en porsies is klein.",eend,positive
"jy kan fynproewerskos teen 'n kitskosprys eet, maar molsous is te soet, diens is onbeskof en wagpersoneel is onbedagsaam.",kos,positive
"jy kan fynproewerskos teen 'n kitskosprys eet, maar personeel is sleg en kos is ondergemiddeld.",prys,positive
"snags verander die atmosfeer in hierdie verborge juweel wat wag om ontdek te word, maar tafels is ongemaklik naby.",atmosfeer,positive
"die boetiekkeuse van wyne dek 'n wye verskeidenheid sonder om oplêend te wees, maar diens is stadig en toebroodjies is ongelooflik.",boetiekkeuse,neutral
"pizzas was uitstekend benewens voorgeregte en hoofgeregte, maar disco pop-duo is aaklig, kroegdiens is stadig en wagpersoneel is onbedagsaam.",hoofgeregte,positive
"pizzas was uitstekend benewens voorgeregte en hoofgeregte, maar kroegdiens is stadig, kroegman is onbeskof en wynlys is teleurstellend.",voorgeregte,positive
"pizzas was uitstekend benewens voorgeregte en hoofgeregte, maar personeel is arrogant en diens is stadig.",pizzas,positive
"probeer beslis die calamari, enige pasta of selfs die gesnyde steakvoorgereg, maar worsbroodjies is die ergste en sous is nie baie lekker nie.",calamari,positive
"probeer beslis die calamari, enige pasta of selfs die gesnyde steak voorgereg, maar die smaak is kort en die diens is teleurgesteld.",pasta,positive
"probeer beslis die calamari, enige pasta of selfs die gesnyde steak voorgereg, maar gasvrou is onbeskof, diens is die ergste en kliënte is hardmondig.",gesnyde steak voorgereg,positive
"van die begin af is ons deur vriendelike personeellede ontmoet, en die gerieflike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom, maar smoothies is groot, porsies is klein en gasvrou is onbeskof.",parkering,positive
"van die begin af is ons deur vriendelike personeellede ontmoet, en die gerieflike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom, maar gasvrou is onbeskof en kos is nie baie goed nie.",personeellede,positive
"nadat ons gevaar het, het die uitstaande kos en lewendige vermaak ons op 'n onvergeetlike aand verkoop, maar etes is verskriklik.",lewendige vermaak,positive
"nadat ons gevaar het, het die uitstekende kos en lewendige vermaak ons op 'n onvergeetlike aand verkoop, maar kunsmatige kreefvleis is kunsmatig en wag is onbeskof.",kos,positive
"elke keer as ek myself in die buurt bevind, gaan ek na sushi rose vir vars sushi en groot porsies teen 'n billike prys, maar hoender is donker, bestuurder is genadeloos en kelners is kwaad.",porsies,positive
"elke keer as ek myself in die buurt bevind, gaan ek na sushi rose vir vars sushi en groot porsies, alles teen 'n billike prys, maar maaltyd is verskriklik.",prys,positive
"elke keer as ek myself in die buurt bevind, gaan ek na sushi rose vir vars sushi en groot porsies teen 'n billike prys, maar kelner is geïrriteerd, koek is gemiddeld en diens is stadig.",sushi,positive
"die sampioengarsop is ongelooflik, maar disco pop duo is aaklig en bestuurder is 'n onbeskoftheid.",sampioengarsop,positive
"het op 'n vrydag hier aandete geëet en die kos was wonderlik, maar kos is uitstekend, telefoongas is heerlik en middagete is goed.",aandete,neutral
"het op 'n vrydag hier aandete geëet en die kos was puik, maar diens is verskriklik, diens is aaklig en kliënte is luidmondig.",kos,positive
"na ete hoor ek musiek speel en ontdek dat daar 'n sitkamer onder is, maar bierkeuse is wonderlik, nageregte is uitstekend en ek probeer pizza met sojakaas.",musiek,neutral
"na ete hoor ek musiek speel en ontdek dat daar 'n sitkamer onder is, maar worsbroodjies is die beste, tafels is ongemaklik naby en eetervaring is ellendig.",ete,neutral
"na ete het ek musiek hoor speel en ontdek dat daar 'n sitkamer onder is, maar atmosfeer is romanties en diens is uitstekend.",sitkamer,neutral
"die kos was goed, die diens vinnig en die prys baie billik, maar gelukkoekies is 'n klagte.",diens,positive
"die kos was goed, die diens vinnig en die prys baie billik. , maar etes is verskriklik.",prys,positive
"die kos was goed, die diens vinnig en die prys baie billik. , maar disco-pop-duo is aaklig, kelners is kwaad en beligting is onaantreklik.",kos,positive
"die pasta primavera was ook uitstekend, baie vars groente, maar kelner is onbeskof, disco pop duo is aaklig en kelners is sleg.",vars groente,positive
"die pasta primavera was ook uitstekend, baie vars groente, maar die diens is stadig, kunsmatige kreefvleis is kunsmatig en die kamer is eenvoudig.",pasta primavera,positive
"ongelukkig het ons met ons vertoningskaartjies nie tyd gehad om nageregte te proe nie, maar pizza is gesond, toppings is vars en porsies is groot.",nageregte,neutral
"as jy in die buurt is, maak beslis 'n draai vir 'n heerlike ete, maar wagpersoneel is onbedagsaam en diens is teleurgesteld.",diens,positive
"sou jy ooit glo dat wanneer jy kla oor meer as 'n uur wag, wanneer hulle vir jou sê dit sal 20-30 minute wees, die bestuurder vir die kroegman sê om die drankies waarvoor jy pas betaal het, te mors? alhoewel korintiese kaas ravioli met wilde sampioene eenvoudig wonderlik is ...",wag,negative
"sou jy ooit glo dat wanneer jy kla oor meer as 'n uur wag, wanneer hulle jou vertel dat dit 20-30 minute sal wees, die bestuurder vir die kroegman sê om die drankies waarvoor jy pas betaal het, te mors, maar kos is wonderlik en sjokolade ryp is ultra-dik.",kroegman,neutral
"sou jy ooit glo dat wanneer jy kla oor meer as 'n uur wag, wanneer hulle vir jou sê dat dit 20-30 minute sal wees, die bestuurder vir die kroegman sê om die drankies waarvoor jy pas betaal het, te mors, maar kelnerpersoneel is vriendelik.",bestuurder,negative
"sou u ooit glo dat as u kla oor meer as 'n uur wag, as hulle vir u sê dat dit 20-30 minute sal duur, die bestuurder vir die kroegman sê om die drankies waarvoor u pas betaal het, te mors, maar eiervrugslaai is uitstekend, kos is heerlik en patat - met die dalmatië-dip is wonderlik.",drankies,neutral
"wel, dit het gebeur as gevolg van 'n grasielose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan, maar kos is goed, nageregte is gratis en fettuccine alfredo is ongelooflik.",bestuurder,negative
"wel, dit het gebeur as gevolg van 'n genadelose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan, maar diens is vriendelik.",kroegman,negative
"wel, dit het gebeur as gevolg van 'n genadelose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan, maar kos is warm plek en ete is wonderlik.",wag,negative
"wel, dit het gebeur as gevolg van 'n genadelose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan, maar die personeel is kundig.","drankies,",neutral
"moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet; atmosfeer is perfek.",drankies,negative
"moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet; aflewering is vinnig en atmosfeer is perfek.",het,negative
"moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet; patat - met die dalmatië-dip is wonderlik, rolle met krap is wonderlik en die waarde is groot.",mense,negative
"almal wat daar werk (die gasheer, die kroegman, die bedieners) is so behulpsaam, maar kos is aaklig.",gasheer,positive
"almal wat daar werk (die gasheer, die kroegman, die bedieners) is so behulpsaam, maar die rekening is groot, porsies is klein en eet is die ergste.",kroegman,positive
"almal wat daar werk (die gasheer, die kroegman, die bedieners) is so behulpsaam, maar die rekening is groot, etes is 'n krag en kos is ondergemiddeld.",bedieners,positive
"en die kos is fantasties, maar diens is baie stadig.",kos,positive
"gunstelinge sluit in: aartappelspinasie gnocchi en die lam, maar gasvrou is onbeskof en gereg is eetbaar.",lam,positive
"gunstelinge sluit in: aartappelspinasie gnocchi en die lam, maar die binnekant is gemiddeld en etes is verskriklik.",aartappelspinasie gnocchi,positive
"'n halwe hoender met 'n berg rys en boontjies vir $ 6,25, maar kos is gelukkig en mediterreense lekkernye is goedkoop.",rys,neutral
"'n halwe hoender met 'n berg rys en boontjies vir $ 6,25, maar pryse is billik, plantains is goed en hamburgers is lekker.",hoender,neutral
"'n halwe hoender met 'n berg rys en boontjies vir $ 6,25, die kos is goed, personeel is vriendelik en probeer die grondboontjiebottersorbet.",kos,neutral
"die diens is uitstekend en altyd insiggewend sonder 'n lug, maar spyskaart is klein, ete is verskriklik en eet is die ergste.",diens,positive
"ek sal beslis teruggaan - al is dit net vir sommige van die eksotiese martini's op die swartbord, maar kos is teleurgesteld.",martini's,positive
"die gebrek aan ac en die feit dat daar 'n miljoen swermende liggame is (hoewel almal beleefd is en niemand druk nie) is 'n effense afskakeling; personeel is kundig, kos is wonderlik en sushi is vars.",ac,negative
"daar is egter net iets so wonderliks daaraan om buite te wees, in wonderlike landskap, om 'n gemaklike drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan, maar hoender is donker.",plek,positive
"daar is egter net iets so wonderliks daaraan om buite te wees, in wonderlike landskap, 'n gemaklike drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan, maar diens is aaklig en spyskaart is klein.",buite,positive
"daar is egter net iets so wonderliks daaraan om buite te wees, in wonderlike landskap, 'n gemaklike drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan, maar tafels is ongemaklik naby en diens is stadig.",gemaklike drankie,positive
"ek het nie soontoe gegaan vir kos nie, so ek kan nie kommentaar lewer nie, maar die skottelgoed het goed gelyk.",kos,neutral
"'n nadeel was die stadige kroegdiens, maar tuisgemaakte guacamole is ongelooflik, patat - met die dalmatië-dip is wonderlik en hamburger is lekker.","kroegdiens,",negative
"ek en my vriende stop hier vir pizza voordat ek die kips bay -bioskoop besoek, maar porsies is klein en nageregte is goed.",pizza,neutral
"ons geniet altyd die pizza, maar personeel is vriendelik, diens is erg stadig en ete is verskriklik.",pizza,positive
"die diens is redelik goed, maar tafels is ongemaklik naby en sushi is groter.",diens,positive
"twee klagtes - hul keuse van voorgereg stink, dit sal lekker wees om 'n paar mozzarellastokkies op die spyskaart te kry, maar hoender is wonderlik en die gereg is eetbaar.",mozzarellastokkies,neutral
"twee klagtes - hul keuse van voorgeregte stink, dit sal lekker wees om 'n paar mozzarellastokkies op die spyskaart te kry, maar die keuse van kos is uitstekend.",keuse,negative
"twee klagtes - hul voorgeregkeuse stink, dit sal lekker wees om 'n paar mozzarellastokkies op die spyskaart te kry, maar kos is heerlik en middagete is gesond.",voorgeregkeuse,negative
"die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het-en my escargot het gelyk asof dit van die bord af kan kruip, maar die diens is uitstekend en pasta -aanbiedinge is ongelooflik.",disco-pop-duo,negative
"die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het-en my escargot het gelyk asof dit van die bord af kan kruip, maar maaltyd is wonderlik.",beligting,negative
"die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het - en my escargot het gelyk asof dit van die bord af kan kruip, maar kos is goed en die eetarea buite is klein.",escargot,negative
"die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het-en my escargot het gelyk asof dit van die bord af kan kruip, maar die diens is uitstekend, calamari is 'n wenner en porsies is groot.",kos,negative
"ek het nog nooit in my lewe kos teruggestuur nie, maar ek moes eenvoudig, en die kelner het hieroor met my gestry; alhoewel die keuse groot is.",kelner,negative
"ek het nog nooit in my lewe kos teruggestuur nie, maar ek moes eenvoudig, en die kelner het hieroor met my gestry; ek probeer aartappelgratin.",kos,negative
"die diens is puik, my sop kom altyd lekker warm aan, maar hoender is donker en ete is duur.",sop,positive
"die diens is puik, my sop kom altyd lekker warm aan, maar spasie is lekker en eetervaring is die ergste.",diens,positive
"my enigste klagte is miskien die fortuinkoekies - ek het nog nooit 'n koekie gehad wat ongeluk vir my voorspel het voordat ek kar besoek het nie, maar kos is goed, atmosfeer is ontspanne en pizza is die beste.",koekie,negative
"my enigste klagte is miskien die fortuinkoekies - ek het nog nooit 'n koekie gehad wat ongeluk vir my voorspel het voordat ek kar besoek het nie, maar dekor is kreatief.",fortuinkoekies,negative
"dit is 'n basiese pizza-gewrig, nie veel om na te kyk nie, maar die pizza is waarvoor ek gaan; kos is nie goedkoop nie, koek is nie die moeite werd om buite te staan nie en grootte is besig.",pizza,positive
"die sous is lekker en lekker en die kors is lekker bros, maar die grootte is besig.",kors,positive
"die sous is lekker en smaakvol en die kors is lekker bros, maar kroegmanne is aaklig en tafels is ongemaklik naby.",sous,positive
"net so, as jy van baie dun kors of baie groot skywe hou, is nick en joe's dalk nie jou gunsteling nie, maar die diens is wonderlik en caesar -slaai is wonderlik.",dun kors,negative
"net so, as jy van baie dun kors of baie groot skywe hou, is nick en joe's dalk nie jou gunsteling nie, maar rolle met krap is wonderlik.",skywe,negative
"die keuse van kos is uitstekend (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), en die atmosfeer is wonderlik, maar gasvrou is onbeskof en italiaanse wors met vinkelgeur is swaar.",atmosfeer,positive
"die keuse van kos is uitstekend (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), en die atmosfeer is puik, maar diens is die slegste en die prys is nie die moeite werd nie.",keuse,positive
"die spyskaart, wat seisoenaal verander, toon beide streeks- en internasionale invloede, maar etes is verskriklik en voorgeregte is nie duur nie.","spyskaart,",neutral
"ek is net so lief vir die little pie company as enigiemand anders wat resensies geskryf het, maar moet enigiemand ontmoedig om die grand central-ligging te besoek as gevolg van hul rude-diens van twee verkoopspersone; diens is vriendelik.",verkoopspersone;,negative
"ek is net so lief vir die little pie company as enigiemand anders wat resensies geskryf het, maar moet enigiemand ontmoedig om die grand central-ligging te besoek as gevolg van hul rude-diens van twee verkoopspersone; rolletjies met krap is wonderlik.",diens,negative
"nadat ek vir my aankoop betaal het, het ek opgemerk dat hulle nie vir my eetgerei gegee het sodat ek my tert kon eet nie, maar die wyn is uitstekend en die plek is wonderlik.",plek,neutral
"nadat ek vir my aankoop betaal het, het ek opgemerk dat hulle nie vir my eetgerei gegee het sodat ek my tert kon eet nie, maar slaaie is lekker en kos is uitstekend.",eetgerei,neutral
"ek moes 'n derde personeelpersoon afmerk vir 'n vurk ... so nou is dit totsiens little rude pie company, maar garnale geregte is 'n liefde.",personeelpersoon,neutral
ek moes 'n derde personeelpersoon afmerk vir 'n vurk ... so nou is dit totsiens little rude pie company: maar sushi is die beste en slaaie is lekker.,vurk,neutral
"die kos is verbasend goed, en die dekor is lekker, maar die kosgedeelte is ondergemiddeld en die eetervaring is die ergste.",dekor,positive
"die kos is verbasend goed, en die dekor is lekker, maar kelner is geïrriteerd.",kos,positive
"die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac/dc-konsert of 'n knicks-wedstryd, maar die drankie is wonderlik.",kliënte,negative
"die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac/dc-konsert of 'n knicks-wedstryd, maar lewer vinnig af.",kroegmanne,negative
"die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac / dc-konsert of 'n knicks-wedstryd, maar sous is nie baie lekker nie, die gereg is eetbaar en die prys is hoog.",kwaliteit van kos,positive
"die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac / dc-konsert of 'n knicks-wedstryd, maar kos is wonderlik.",diens,negative
"die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac / dc-konsert of 'n knicks-wedstryd, maar eienaars is goed en slaaie (avokadogarnale) is goed.",personeel,negative
"die geelvintuna en kalflewer is my gunstelinge, maar die bestuurder het 'n gebrek aan grasie en die beligting is onaantreklik.",geelvintuna,positive
"die geelvintuna en kalflewer is my gunstelinge, maar die ligging is gerieflik, gasvrou is onbeskof en eetervaring is ellendig.",kalflewer,positive
"ek was op juriediens, het tydens my middagete met my fiets in centrestraat gery en op hierdie wonderlike plekkie afgekom met wonderlike hoender-taco's en hibiscus-limonade, maar kos is nie goedkoop nie en die tafels is ongemaklik naby.","hibiscus-limonade,",positive
"ek was op juriediens, het tydens my middagete met my fiets in centrestraat gery en op hierdie wonderlike plekkie afgekom met wonderlike hoendertaco's en hibiscus-limonade, maar etes is verskriklik.",plek,positive
"ek was op juriediens, het tydens my middagete met my fiets in centrestraat gery en op hierdie wonderlike plekkie afgekom met wonderlike hoendertaco's en hibiscus -limonade, maar kos is nie goedkoop nie.",hoendertaco's,positive
"innovasies is net so verseker, van die eenvoudige karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous, maar middagete is 'n krag, prys is nie die moeite werd nie en fortuinkoekies is 'n klagte.","kaviaar,",positive
"innovasies is net so verseker, van die eenvoudige karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous, maar kroegdiens is stadig.","spinasie-wodka-sous,",positive
"innovasies is net so verseker, van die eenvoudige karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous, maar porsies is klein.",karinthiese,positive
"spyskaarte bevat seisoenale keuses, soos suikermielies-foie gras brulee, maar die prys is goed en kelners is sleg.",suikermielies-foie gras brulee,neutral
"spyskaarte bevat seisoenale keuses, soos suikermielies-foie gras brulee, maar die atmosfeer is romanties, kos is nie goedkoop nie en smaak is kort.","keuses,",neutral
"die diens is ook perfek niks verkeerd in hierdie italiaanse/franse restaurant nie, maar pryse is buitensporig en aandetes is 'n krag.",diens,positive
"die foie gras was soet en heerlik, maar kroegmanne is aaklig.",foie gras,positive
"my vriendin se eendkonfyt was ook baie solied, hoewel ek min verwysingsbasis het; eetervaring is die ergste en kos is luuks.",eendkonfyt,positive
"die wagpersoneel is baie vriendelik, as jy nie onbeskof of kieskeurig is nie....... ons maaltyd by leon verlede naweek was wonderlik -, maar gemaalde kekerertjiesop is dun.",wagpersoneel,positive
"die wagpersoneel is baie vriendelik, as jy nie onbeskof of kieskeurig is nie....... ons maaltyd by leon verlede naweek was wonderlik -, maar diens is sleg, diens is aaklig en diens is stadig.",maaltyd,positive
"ek beveel enige van hul salmgeregte aan, maar aflewering is versigtig, tafels is ongemaklik naby en pryse is buitensporig.",salmgeregte,positive
"heerlike kos, maar die diens was verskriklik; ek probeer tuisgemaakte brode.",diens,negative
"heerlike kos, maar die diens was verskriklik; opvoustoel is ongemaklik en sous is nie baie lekker nie.",kos,positive
"die twee kelnerinne het gelyk asof hulle aan suurlemoene gesuig het, maar kroeg is lekker en houding is positief.",kelnerinne,negative
"die diens was verskriklik stadig (die plek was net halfvol) en 'n glimlag sou lekker gewees het, maar kos is goed, martini's is eksoties en sushi is vars.",diens,negative
"tydens spitstye is die restaurant oorvol en tafels is ongemaklik naby, maar die eetatmosfeer is lekker.",tafels,negative
"as jy hier is as 'n voorvertoning-ete, spring in 'n taxi en neem die ekstra 10 minute om na die uptown-ligging te gaan. die enigste ding wat goed hier is, is die sang gosh.","voorvertoning-ete,",neutral
"dit is net alles ... die kos, die atmosfeer ... die ongelooflike vriendelike en genadige gasvrou, maar kroegdiens is stadig en musiek is te swaar.",atmosfeer,positive
"dit is net alles ... die kos, die atmosfeer ... die ongelooflike vriendelike en genadige gasvrou, maar pryse is buitensporig, kelners sleg en smaak is kort.",gasvrou,positive
"dit is net alles ... die kos, die atmosfeer ... die ongelooflike vriendelike en genadige gasvrou, maar kroegman is onbeskof en diens is swak.",kos,positive
"die atmosfeer was goed, 'n bietjie hard, maar steeds lekker en romanties; vis is gemiddeld en die drankies is aaklig.",atmosfeer,positive
"omdat ons kosliefhebbers was, was ons egter heeltemal teleurgesteld oor die kos, maar kelners is wonderlik en ek probeer grondboontjiebottersorbet.",kos,negative
"ek beveel die swart geroosterde kabeljou aan, dit was die beste gereg van die aand, maar bestuurder is 'n onbeskoftheid en kos is ondergemiddeld.",swart geroosterde kabeljou,positive
"ek beveel die swart geroosterde kabeljou aan, dit was die beste gereg van die aand, maar die grootte is besig en kelners is kwaad.",gereg,positive
"ek het 'n heerlike garnale kreools gehad, maar sushi is groter, filet minor is nie baie goed nie en gasheer is onbeskof.",garnale kreools,positive
"die hoenderete was regtig goed, maar maaltyd is duur.",hoenderete,positive
"maar die kos was heerlik; smaak is kort, pryse is buitensporig en eetervaring is ellendig.",kos,positive
"die ruimte is tradisioneel in gevoel, maar ek probeer eend, pryse is redelik en tuna is goed.",ruimte,neutral
"kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart, maar konynbredie is goed, wyn is goed en gasvrou is onbeskof.","bistro-spyskaart,",neutral
"kreatiewe geregte soos koningskrasplaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart, maar diens is sleg, middagete is 'n krag en bestuurder is 'n onbeskoftheid.",passievrugvinaigrette,positive
"kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart, maar gasheer is onbeskof, personeel is sleg en verkoopsmense is onbeskof.",geregte,positive
"kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart, maar eienaar is vals.",fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous,positive
"montparnasse se nageregte-veral die sy crème brulee en papierdun appeltert-is op hul eie goed genoeg om die restaurant die reis werd te maak, maar die kelners is sleg en die kerriebak is hard.",nageregte,positive
"montparnasse se nageregte-veral die sy crème brulee en papierdun appeltert-is op hul eie goed genoeg om die restaurant die reis werd te maak, maar ac is 'n gebrek.",appeltert,positive
"montparnasse se nageregte-veral die silken crème brulee en papierdun appeltert-is op hul eie goed genoeg om die restaurant die moeite werd te maak, maar die diens is swak, en fortuinkoekies is 'n klagte.",crème brulee,positive
"het die naweek heerlik daar geëet voordat ek gaan fliek, maar bestuurder is 'n grasielose en mense is die ergste.",mense,positive
"dit was 'n rukkie en ek het vergeet hoe heerlik pannekoeke kan wees, maar vis is gemiddeld, diens is verskriklik en personeel is sleg.",pannekoeke,positive
"die kos - hoewel meestal gebraai - is eenvoudig en bevredigend, maar die rekening is groot.",kos,positive
"dieetkundiges hou by slaaie of geniet vegetariese skottelgoed, maar skywe is duur en kroegmanne is aaklig.",slaaie,positive
"dieetkundiges hou by slaaie of geniet vegetariese skottelgoed, maar eet is die ergste en diens is verskriklik.",vegetariese skottelgoed,positive
"romerige voorgeregte-taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is, maar personeel is vriendelik.",taramasalata,positive
"romerige voorgereg-taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is, maar gasheer is onbeskof, personeel is arrogant en mense is die ergste.",romerige,positive
"romerige voorgeregte-taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is, maar die diens is sleg en die musiek is te swaar.","griekse jogurt (met cuccumber, dille en knoffel)",positive
"romerige voorgeregte-taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is, maar die plek is lekker, villa is goed en afleweringstye is die vinnigste.",warm pitas,neutral
"romerige voorgeregte-taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op warm pitas is, maar die diens is stadig en die drankies is verskriklik.",eiervrugslaai,positive
