,xh,aspect,polarities
61,Ungatya ukutya kwe-gourmet ngexabiso lokutya okukhawulezayo.,ukutya,positive
64,Ungatya ukutya kwe-gourmet ngexabiso lokutya okukhawulezayo.,ixabiso,positive
66,Ebusuku i-atmoshere itshintsha ijika ibe yile jewel efihliweyo elinde ukufunyanwa.,atmoshere,positive
69,Ukukhethwa kwe-boutique yeewayini kugubungela iintlobo ezahlukeneyo ngaphandle kokunyanzelisa.,ukhetho lwe-boutique yeewayini,neutral
72,I-pizza yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili.,Izifundo eziphambili,positive
74,I-pizza yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili.,kwik,positive
76,I-pizza yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili.,kwik,positive
79,"Ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba yi-Sliced steak entree.",calamari,positive
82,"Ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba yi-Sliced steak entree.",kwik,positive
85,"Ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba yi-Sliced steak entree.",I-steak entree eqingqiweyo,positive
88,"Ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kwaye ukupaka i-convienent e-Chelsea Piers kwenza kube lula ukuba sifike esikhepheni.",ukupaka,positive
92,"Ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kwaye ukupaka i-convienent e-Chelsea Piers kwenza kube lula ukuba sifike esikhepheni.",abasebenzi memebers,positive
96,"Emva kokuba sihambe, ukutya okuphezulu kunye nokuzonwabisa okubukhoma kwasithengisa ngorhatya olungalibalekiyo.",ukuzonwabisa okubukhoma,positive
99,"Emva kokuba sihambe, ukutya okuphezulu kunye nokuzonwabisa okubukhoma kwasithengisa ngorhatya olungalibalekiyo.",ukutya,positive
102,Naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya eSushi Rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo.,izahlulo,positive
106,Naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya eSushi Rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo.,ixabiso,positive
110,Naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya eSushi Rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo.,kwik,positive
114,isuphu yerhasi ye-mushroom iyamangalisa.,isuphu yerhasi ye-mushroom,positive
117,Waba nesidlo sangokuhlwa apha ngoLwesihlanu kwaye ukutya kwakukhulu.,isidlo sangokuhlwa,neutral
119,Waba nesidlo sangokuhlwa apha ngoLwesihlanu kwaye ukutya kwakukhulu.,ukutya,positive
122,Emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi.,umculo,neutral
124,Emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi.,isidlo sangokuhlwa,neutral
126,Emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi.,indawo yokuphumla,neutral
128,"Ukutya kwakulungile, inkonzo ikhuthaza, kwaye ixabiso lisengqiqweni kakhulu. ",Inkonzo,positive
132,"Ukutya kwakulungile, inkonzo ikhuthaza, kwaye ixabiso lisengqiqweni kakhulu. ",ixabiso,positive
136,"Ukutya kwakulungile, inkonzo ikhuthaza, kwaye ixabiso lisengqiqweni kakhulu. ",ukutya,positive
140,"I-pasta primavera yayibalasele ngokunjalo, imifuno emininzi emitsha.",imifuno emitsha,positive
144,"I-pasta primavera yayibalasele ngokunjalo, imifuno emininzi emitsha.",kwik,positive
148,"Ngelishwa, ngamatikiti ethu okubonisa, asizange sibe nexesha lokusampula nayiphi na i-desserts.",desserts,neutral
150,"Ukuba usebumelwaneni, ngokuqinisekileyo yeka ukutya okukhulu.",isidlo,positive
153,"Ngaba ubuya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula?",linda,negative
155,"Ngaba ubuya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula?",kwik,neutral
157,"Ngaba ubuya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula?",umphathi,negative
159,"Ngaba ubuya kuze ukholelwe ukuba xa ukhalaza malunga nokulinda ngaphezu kweyure, xa bekuxelela ukuba kuya kuba yimizuzu engama-20-30, umphathi uxelela i-bartender ukuba ichithe iziselo osandul 'ukuhlawula?",iziselo,neutral
161,"Kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender ekrwada eyayisilinda imizuzu engama-20 yeziselo, emva koko isixelela ukuba siphole.",umphathi,negative
165,"Kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender ekrwada eyayisilinda imizuzu engama-20 yeziselo, emva koko isixelela ukuba siphole.",kwik,negative
169,"Kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender ekrwada eyayisilinda imizuzu engama-20 yeziselo, emva koko isixelela ukuba siphole.",ilindile,negative
173,"Kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender ekrwada eyayisilinda imizuzu engama-20 yeziselo, emva koko isixelela ukuba siphole.",iziselo,neutral
177,"Ungaze uzikhathaze - iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela.",iziselo,negative
181,"Ungaze uzikhathaze - iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela.",indawo yokutyela,negative
185,"Ungaze uzikhathaze - iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela.",abantu,negative
189,"Wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) uluncedo kakhulu.",Umququzeleli,positive
192,"Wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) uluncedo kakhulu.",kwik,positive
195,"Wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) uluncedo kakhulu.",iiseva,positive
198,Kwaye ukutya fantastic.,ukutya,positive
201,Izinto ezithandekayo ziquka: i-potato spinach gnocchi kunye nemvana.,imvana,positive
204,Izinto ezithandekayo ziquka: i-potato spinach gnocchi kunye nemvana.,ispinatshi yeetapile gnocchi,positive
207,Isiqingatha senkukhu enentaba yerayisi kunye neembotyi nge- $ 6.25.,irayisi,neutral
209,Isiqingatha senkukhu enentaba yerayisi kunye neembotyi nge- $ 6.25.,inkukhu,neutral
211,Isiqingatha senkukhu enentaba yerayisi kunye neembotyi nge- $ 6.25.,iimbotyi,neutral
213,Inkonzo ibalasele kwaye ihlala inolwazi ngaphandle komoya.,Inkonzo,positive
216,Ngokuqinisekileyo ndingabuyela emva -- ukuba nje kwezinye zezo martinis ezingaqhelekanga kwibhodi.,chrum,positive
219,Ukungabikho kwe-AC kunye nenyaniso yokuba kukho isigidi se-swarming bodies (nangona wonke umntu enembeko kwaye akukho mntu utyhala) kukucima kancinci.,kwik,negative
222,"Nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile.",indawo,positive
224,"Nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile.",ngaphandle,positive
228,"Nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile.",isiselo esingaqhelekanga,positive
232,Andizange ndiye apho ukuze nditye ngoko andikwazi ukuphawula.,ukutya,neutral
234,I-con yayiyinkonzo yebha ecothayo.,inkonzo yebha,negative
237,Mna nabahlobo bam siyeka apha ukuze afumane ipizza phambi kokubetha iKips Bay movie theatre.,pizza,neutral
239,Sisoloko sinandipha i-pizza.,pizza,positive
242,Inkonzo pretty elungileyo.,Inkonzo,positive
245,"Izikhalazo ezimbini- ukhetho lwabo lwe-appetizer lunuka, kuya kuba mnandi ukufumana ezinye iintonga ze-mozzarella kwimenyu.",iintonga ze-mozzarella,neutral
247,"Izikhalazo ezimbini- ukhetho lwabo lwe-appetizer lunuka, kuya kuba mnandi ukufumana ezinye iintonga ze-mozzarella kwimenyu.",imenyu,negative
249,"Izikhalazo ezimbini- ukhetho lwabo lwe-appetizer lunuka, kuya kuba mnandi ukufumana ezinye iintonga ze-mozzarella kwimenyu.",ukhetho lwe-appetizer,negative
252,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kwaye i-escargot yam yayibonakala ngathi inokukhasa ngaphandle kwepleyiti.",kwik kwik,negative
256,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kwaye i-escargot yam yayibonakala ngathi inokukhasa ngaphandle kwepleyiti.",ukukhanyisa,negative
260,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kwaye i-escargot yam yayibonakala ngathi inokukhasa ngaphandle kwepleyiti.",escargot,negative
262,"Ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kwaye i-escargot yam yayibonakala ngathi inokukhasa ngaphandle kwepleyiti.",ukutya,negative
266,"Andizange ebomini bam ndibuyisele ukutya ngaphambili, kodwa kwakufuneka nje, kwaye i-waiter yaphikisana nam malunga noku.",kwik,negative
268,"Andizange ebomini bam ndibuyisele ukutya ngaphambili, kodwa kwakufuneka nje, kwaye i-waiter yaphikisana nam malunga noku.",ukutya,negative
270,"Inkonzo inkulu, isuphu yam ihlala ifika intle kwaye ishushu.",isuphu,positive
273,"Inkonzo inkulu, isuphu yam ihlala ifika intle kwaye ishushu.",Inkonzo,positive
276,Isikhalazo sam kuphela sinokuba zii-cookies zethamsanqa - andizange ndibe nekhukhi yokuqikelela inhlanhla kum ngaphambi kokuba ndityelele uKar.,cookie,negative
278,Isikhalazo sam kuphela sinokuba zii-cookies zethamsanqa - andizange ndibe nekhukhi yokuqikelela inhlanhla kum ngaphambi kokuba ndityelele uKar.,ii-cookies zethamsanqa,negative
281,"Yinto edibeneyo ye-pizza esisiseko, ayikho into eninzi yokujonga, kodwa i-pizza yinto endiya kuyo.",pizza,positive
284,I-sauce i-zesty kwaye inencasa kwaye i-crust intle kwaye i-crispy.,kwik,positive
288,I-sauce i-zesty kwaye inencasa kwaye i-crust intle kwaye i-crispy.,isosi,positive
292,Ngokufanayo ukuba uthanda i-crust ebhityileyo ngokwenene okanye i-slices enkulu ngokwenene ngoko uNick noJoe basenokungabi yinto oyithandayo.,i-crust ebhityileyo,negative
294,Ngokufanayo ukuba uthanda i-crust ebhityileyo ngokwenene okanye i-slices enkulu ngokwenene ngoko uNick noJoe basenokungabi yinto oyithandayo.,iziqwenga,negative
296,"Ukukhethwa kokutya kugqwesile (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kwaye umoya mkhulu.",kwik,positive
300,"Ukukhethwa kokutya kugqwesile (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kwaye umoya mkhulu.",ukhetho lokutya,positive
304,"Imenyu, etshintsha ngamaxesha onyaka, ibonisa iimpembelelo zengingqi nezamazwe ngamazwe.",imenyu,neutral
307,"Ndiyayithanda iNkampani ye-Little Pie njengaye nabani na oye wabhala ukuphononongwa, kodwa kufuneka akhuthaze nabani na ukuba atyelele indawo ye-Grand Central ngenxa yenkonzo yabo ye-RUDE evela kubantu ababini abathengisayo.",abantu abathengisayo,negative
310,"Ndiyayithanda iNkampani ye-Little Pie njengaye nabani na oye wabhala ukuphononongwa, kodwa kufuneka akhuthaze nabani na ukuba atyelele indawo ye-Grand Central ngenxa yenkonzo yabo ye-RUDE evela kubantu ababini abathengisayo.",Inkonzo,negative
313,"Emva kokuba ndihlawule ukuthenga kwam, ndaphawula ukuba abazange bandinike izixhobo ukuze ndikwazi ukutya ipayi yam.",ipayi,neutral
315,"Emva kokuba ndihlawule ukuthenga kwam, ndaphawula ukuba abazange bandinike izixhobo ukuze ndikwazi ukutya ipayi yam.",izixhobo,neutral
317,Kwafuneka ndiflegi phantsi umntu wesithathu wabasebenzi ngefolokhwe ... ngoko ngoku ke goodbye Little RUDE Pie Inkampani.,Umntu wabasebenzi,neutral
319,Kwafuneka ndiflegi phantsi umntu wesithathu wabasebenzi ngefolokhwe ... ngoko ngoku ke goodbye Little RUDE Pie Inkampani.,kwik,neutral
321,"Ukutya kuhle ngokumangalisayo, kwaye i-decor intle.",kwik,positive
325,"Ukutya kuhle ngokumangalisayo, kwaye i-decor intle.",ukutya,positive
329,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks.",abaxhasi,negative
333,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks.",kwik,negative
337,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks.",umgangatho wokutya,positive
339,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks.",Inkonzo,negative
343,"Inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-AC / DC okanye umdlalo weKnicks.",Abasebenzi,negative
347,Isibindi seYellowfin Tuna kunye neCalf zizinto endizithandayo!,kwik kwik,positive
350,Isibindi seYellowfin Tuna kunye neCalf zizinto endizithandayo!,Isibindi sethole,positive
353,"Ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-Centre Street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-Hibiscus lemonade.",Hibiscus lemonade,positive
357,"Ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-Centre Street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-Hibiscus lemonade.",indawo,positive
361,"Ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-Centre Street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-Hibiscus lemonade.",inkukhu tacos,positive
365,"Izinto ezintsha ziqinisekisiwe nje, ukusuka kwi-Carinthia cheese ravioli elula kunye namakhowa asendle ukuya kwi-sturgeon ye-caviar-topped, ehambelana kakuhle ne-spinach-vodka sauce eluhlaza eqaqambileyo.",i-caviar-topped sturgeon,positive
367,"Izinto ezintsha ziqinisekisiwe nje, ukusuka kwi-Carinthia cheese ravioli elula kunye namakhowa asendle ukuya kwi-sturgeon ye-caviar-topped, ehambelana kakuhle ne-spinach-vodka sauce eluhlaza eqaqambileyo.",isosi eluhlaza ye-spinach-vodka,positive
371,"Izinto ezintsha ziqinisekisiwe nje, ukusuka kwi-Carinthia cheese ravioli elula kunye namakhowa asendle ukuya kwi-sturgeon ye-caviar-topped, ehambelana kakuhle ne-spinach-vodka sauce eluhlaza eqaqambileyo.",I-Carinthia cheese ravioli kunye namakhowa asendle,positive
375,"Iimenyu zibonisa ii-picks zexesha lonyaka, njenge-sweet corn-foie gras brulee.",sweet corn-foie gras brulee,neutral
377,"Iimenyu zibonisa ii-picks zexesha lonyaka, njenge-sweet corn-foie gras brulee.",Iimenyu,neutral
380,INKONZO IGQIBELELE KAKHULU AKUKHO NTO IPHOSAKELEYO KULE NDAWO YOKUTYELA YASENTALIYANE / YASEFRANSI,INKONZO,positive
383,I-foie gras yayimnandi kwaye i-luscious.,kwik kwik,positive
386,"I-duck confitte yam ye-gf yayiqinile kakhulu ngokunjalo, nangona ndinesiseko esincinci sokubhekisela.",kwik kwik,positive
389,"abasebenzi abalindileyo banobuhlobo kakhulu, ukuba yakho ayikho krwada okanye picky....... isidlo sethu eLeon kwimpelaveki ephelileyo sasikhulu -.",abasebenzi abalindileyo,positive
393,"abasebenzi abalindileyo banobuhlobo kakhulu, ukuba yakho ayikho krwada okanye picky....... isidlo sethu eLeon kwimpelaveki ephelileyo sasikhulu -.",isidlo,positive
397,Ndincoma naziphi na izitya zabo ze-salmon......,izitya ze-salmon,positive
400,Ukutya okukhulu kodwa inkonzo yayiyoyikeka!,Inkonzo,negative
404,Ukutya okukhulu kodwa inkonzo yayiyoyikeka!,ukutya,positive
408,aba babini be-waitress babekhangeleka ngathi babefunxa iilamuni.,I-waitress's,negative
410,Inkonzo yayicotha ngokukhwankqisayo (indawo yayigcwele isiqingatha kuphela) kwaye uncumo lwaluza kuba mnandi ...,Inkonzo,negative
413,"Ngamaxesha aphezulu, indawo yokutyela igcwele kwaye iitafile zisondelelene ngokungakhululekanga.",iitafile,negative
416,"Ukuba ulapha njengesidlo sangaphambi kokubonisa, hop kwi-cab kwaye uthathe imizuzu eyongezelelweyo ye-10 ukuya kwindawo ye-uptown.",isidlo sangaphambili sokubonisa,neutral
418,"Yinto nje yonke into ... ukutya, umoya... i-incrediby uhlobo kunye nobabalo hostess.",kwik,positive
420,"Yinto nje yonke into ... ukutya, umoya... i-incrediby uhlobo kunye nobabalo hostess.",kwik,positive
423,"Yinto nje yonke into ... ukutya, umoya... i-incrediby uhlobo kunye nobabalo hostess.",ukutya,positive
425,"I-ambiance yayilungile, ingxolo encinci kodwa isemnandi kwaye ithandana.",Ambiance,positive
428,"Noko ke, ekubeni sasitya ukutya, saphoxeka ngokupheleleyo kukutya.",ukutya,negative
431,"Ndincoma i-codfish emnyama eyosiweyo, yayisisitya esihle kakhulu ngokuhlwa.",i-codfish emnyama eyosiweyo,positive
434,"Ndincoma i-codfish emnyama eyosiweyo, yayisisitya esihle kakhulu ngokuhlwa.",isitya,positive
437,ndandine-shrimp creole emnandi.,kwik kwik,positive
440,Isidlo sangokuhlwa senkukhu sasilungile ngokwenene.,isidlo senkukhu,positive
443,kodwa ukutya kwakumnandi.,ukutya,positive
446,Isithuba semveli ngokuziva.,isithuba,neutral
449,Izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,imenyu ye-bistro,neutral
453,Izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,isaladi ye-king crab kunye ne-passion fruit vinaigrette,positive
457,Izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,izitya,positive
461,Izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce,positive
465,I-desserts yaseMontparnasse-ingakumbi i-brulee ye-silken crème kunye nephepha-elincinci le-apple tart-zilungile ngokwaneleyo ngokwazo ukwenza indawo yokutyela ifanelekile uhambo.,desserts,positive
469,I-desserts yaseMontparnasse-ingakumbi i-brulee ye-silken crème kunye nephepha-elincinci le-apple tart-zilungile ngokwaneleyo ngokwazo ukwenza indawo yokutyela ifanelekile uhambo.,kwik kwik,positive
473,I-desserts yaseMontparnasse-ingakumbi i-brulee ye-silken crème kunye nephepha-elincinci le-apple tart-zilungile ngokwaneleyo ngokwazo ukwenza indawo yokutyela ifanelekile uhambo.,kwik kwik,positive
477,Waba nesidlo esikhulu apho kule mpelaveki ngaphambi kokuya kwiifilimu!,isidlo,positive
480,Kwakuyixeshana kwaye ndalibala nje indlela emnandi ngayo i-crepes.,kwik,positive
483,Ukutya-nangona ubukhulu becala i-deep-fried-ilula kwaye iyanelisa.,ukutya,positive
486,I-Dieters inamathele kwiisaladi okanye i-indulge in vegetarian platters.,isaladi,positive
488,I-Dieters inamathele kwiisaladi okanye i-indulge in vegetarian platters.,izitya zemifuno,positive
490,"I-appetizers e-creamy--taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamaGrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) incasa ebalaseleyo xa ikwi-pitas efudumeleyo.",kwik,positive
494,"I-appetizers e-creamy--taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamaGrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) incasa ebalaseleyo xa ikwi-pitas efudumeleyo.",I-appetizers e-Creamy,positive
498,"I-appetizers e-creamy--taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamaGrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) incasa ebalaseleyo xa ikwi-pitas efudumeleyo.","I-yogurt yamaGrike (kunye ne-cuccumber, i-dill, kunye ne-garlic)",positive
500,"I-appetizers e-creamy--taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamaGrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) incasa ebalaseleyo xa ikwi-pitas efudumeleyo.",i-pitas efudumeleyo,neutral
504,"I-appetizers e-creamy--taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamaGrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) incasa ebalaseleyo xa ikwi-pitas efudumeleyo.",isaladi ye-eggplant,positive
508,kuba ii-waiters zifuna i-SEVERE ATTITUE ADJUSTMENTS.,kwik,negative
510,Ii-waiters zihlala zikhangeleka zinomsindo kwaye zide zingahoyi i-high-tipping regulars.,kwik,negative
513,"izihlandlo eziliqela kwaye banyamezele isimilo esibi se-waiters, besazi ukuba umsebenzi wabo awulula.",kwik,negative
