,nso,aspect,polarities
85,"Ka fao, leka go ba le ditšhipisi, le ge e le sefe goba sefe seo se tšhetšwego ka gare ga tšheke.",lego cake entrée,positive
88,"Go tloga mathomong, re ile ra kopana le bašomi ba go ba le bagwera bao ba nago le lerato, gomme go be go na le boemakepe bjo bo bego bo le gona go be bonolo gore re ye sekepeng.",Lego Parking,positive
92,"Go tloga mathomong, re ile ra kopana le bašomi ba go ba le bagwera bao ba nago le lerato, gomme go be go na le boemakepe bjo bo bego bo le gona go be bonolo gore re ye sekepeng.",Lego Memebers,positive
96,"Ge re be re sepela, dijo tša godimo le boithabišo tše di rekišitšego bošegong bjo bo sa lebalegego.",Go Go Fun,positive
99,"Ge re be re sepela, dijo tša godimo le boithabišo tše di rekišitšego bošegong bjo bo sa lebalegego.",Le dijo,positive
102,"Ka nako ye nngwe le ye nngwe, ke tla dula ke eya go tšie ya disutu tše di hlwekilego le dipane tše dintši ka theko ye e hlwekilego.",Les Šaša,positive
106,"Ka nako ye nngwe le ye nngwe, ke tla dula ke eya go tšie ya disutu tše di hlwekilego le dipane tše dintši ka theko ye e hlwekilego.",bei bei,positive
110,"Ka nako ye nngwe le ye nngwe, ke tla dula ke eya go tšie ya disutu tše di hlwekilego le dipane tše dintši ka theko ye e hlwekilego.",Go Go Sushi,positive
114,Sopo ya tamati e a makatša.,Lego Barley Sofa,positive
117,"Go be go na le dijo tša bose ka Labohlano, gomme dijo di be di le bose kudu.",Lego Dinnerware,neutral
119,"Go be go na le dijo tša bose ka Labohlano, gomme dijo di be di le bose kudu.",Le dijo,positive
122,"Ka morago ga dijo, ke ile ka kwa mmino wa go opela gomme ka lemoga gore go na le lefelo la go ja.",Momino Momino,neutral
124,"Ka morago ga dijo, ke ile ka kwa mmino wa go opela gomme ka lemoga gore go na le lefelo la go ja.",Lego Dinnerware,neutral
126,"Ka morago ga dijo, ke ile ka kwa mmino wa go opela gomme ka lemoga gore go na le lefelo la go ja.",Lego Lounge,neutral
128,"Dijo di be di le botse, tirelo e be e le ka pela gomme theko ya tšona e be e kwagala kudu. ",Tirelo Tirelo,positive
132,"Dijo di be di le botse, tirelo e be e le ka pela gomme theko ya tšona e be e kwagala kudu. ",bei bei,positive
136,"Dijo di be di le botse, tirelo e be e le ka pela gomme theko ya tšona e be e kwagala kudu. ",Le dijo,positive
140,"Le ge go le bjalo, go be go na le ditšhupetšo tše dintši tše di sa tlwaešwego, le gona go be go na le dipanekuku tše dintši.",Go Go Fresh Veggies,positive
144,"Le ge go le bjalo, go be go na le ditšhupetšo tše dintši tše di sa tlwaešwego, le gona go be go na le dipanekuku tše dintši.",Go Diego Go Primavera,positive
148,"Ka maswabi, ge re be re se na nako ya go reka dipukwana.",Lego Desserts,neutral
150,"Ge e ba o le mo tikologong ya geno, ka nnete ema go ja dijo tše kgolo.",Y yo le dije,positive
153,"Na o be o ka dumela gore ge o ka tšea metsotso ye 20 go fihla go ye 30, molaodi o botša morekiši gore a se ke a lefela?",Leta Leta,negative
155,"Na o be o ka dumela gore ge o ka tšea metsotso ye 20 go fihla go ye 30, molaodi o botša morekiši gore a se ke a lefela?",Go Go Bartender,neutral
157,"Na o be o ka dumela gore ge o ka tšea metsotso ye 20 go fihla go ye 30, molaodi o botša morekiši gore a se ke a lefela?",Molaodi,negative
159,"Na o be o ka dumela gore ge o ka tšea metsotso ye 20 go fihla go ye 30, molaodi o botša morekiši gore a se ke a lefela?",Dino Dino,neutral
161,"E be e le ka lebaka la go se be le motho yo a bego a na le 20 yo a bego a na le meetse a go nwa, gomme a re tšhele.",Molaodi,negative
165,"E be e le ka lebaka la go se be le motho yo a bego a na le 20 yo a bego a na le meetse a go nwa, gomme a re tšhele.",Go Go Bartender,negative
169,"E be e le ka lebaka la go se be le motho yo a bego a na le 20 yo a bego a na le meetse a go nwa, gomme a re tšhele.",Leta Leta,negative
173,"E be e le ka lebaka la go se be le motho yo a bego a na le 20 yo a bego a na le meetse a go nwa, gomme a re tšhele.",Dino Dino,neutral
177,"Le ge go le bjalo, le ge go le bjalo, go be go se na selo se tee, eupša go be go na le batho bao ba bego ba šoma moo bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaone kudu bja go ja.",Dino Dino,negative
181,"Le ge go le bjalo, le ge go le bjalo, go be go se na selo se tee, eupša go be go na le batho bao ba bego ba šoma moo bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaone kudu bja go ja.",Lego Dining,negative
185,"Le ge go le bjalo, le ge go le bjalo, go be go se na selo se tee, eupša go be go na le batho bao ba bego ba šoma moo bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaone kudu bja go ja.",Les Gens,negative
189,"Yo mongwe le yo mongwe yo a šomago gona moo (mokgopedi, mokgopedi) o na le mohola kudu.",Moeng Moeng,positive
192,"Yo mongwe le yo mongwe yo a šomago gona moo (mokgopedi, mokgopedi) o na le mohola kudu.",Go Go Bartender,positive
195,"Yo mongwe le yo mongwe yo a šomago gona moo (mokgopedi, mokgopedi) o na le mohola kudu.",Lego Servers,positive
198,Dijo di bose kudu.,Le dijo,positive
201,Ka go dira gore go be go na le disebe tše di latelago: gnocchi le konyana.,Konyana Konyana,positive
204,Ka go dira gore go be go na le disebe tše di latelago: gnocchi le konyana.,Sebago Gnocchi,positive
207,Go na le seripa sa kgogo ye e nago le thaba ya raese le dinawa ka R6.25.,Reise riša,neutral
209,Go na le seripa sa kgogo ye e nago le thaba ya raese le dinawa ka R6.25.,Go Chicken Go,neutral
211,Go na le seripa sa kgogo ye e nago le thaba ya raese le dinawa ka R6.25.,be beans,neutral
213,Tirelo ye e kgahlišago ebile e a kgahliša ka mehla ntle le go ba le moya.,Tirelo Tirelo,positive
216,I'll be back... if ya get ya some exotic on the blackboard.,Lena Martinis,positive
219,"Le ge go le bjalo, ga go na motho yo mongwe le yo mongwe yo a nago le bokgoni bjo bobotse (le ge e le gore motho yo mongwe le yo mongwe o lokile gomme ga go na motho yo a itšego yo a itšego.",ANKE AC,negative
222,"Le ge go le bjalo, go na le selo se se botse kudu ka go ba ka ntle, mo nageng ye kgolo, go ipshina ka dino tše di sa tlwaelego tšeo di yago lefelong le.",Felo,positive
224,"Le ge go le bjalo, go na le selo se se botse kudu ka go ba ka ntle, mo nageng ye kgolo, go ipshina ka dino tše di sa tlwaelego tšeo di yago lefelong le.",Go Go Outdoors,positive
228,"Le ge go le bjalo, go na le selo se se botse kudu ka go ba ka ntle, mo nageng ye kgolo, go ipshina ka dino tše di sa tlwaelego tšeo di yago lefelong le.",Go Go Dino Casual,positive
232,"Ke be ke sa nyake go ya dijong, gore ke se ke ka kgona go bolela le yena.",Le dijo,neutral
234,Gonna be a slow bar.,Tirelo Bar,negative
237,Nna le bagwera ba ka re ile ra tlogela go ya go ja dijo pele ga ge re ka thoma go bapala dipapadi tša dipapadi tša dipapadi.,Pizza Go Go,neutral
239,Ka mehla re ipshina ka di pizzas.,Pizza Go Go,positive
242,Tirelo ke ye botse.,Tirelo Tirelo,positive
245,"Ba babedi ba ba nago le ditšhupetšo tša bona, go ka ba kaone go ba le mejako ye mebedi.",Mozzarella Diswara,neutral
247,"Ba babedi ba ba nago le ditšhupetšo tša bona, go ka ba kaone go ba le mejako ye mebedi.",Menu go,negative
249,"Ba babedi ba ba nago le ditšhupetšo tša bona, go ka ba kaone go ba le mejako ye mebedi.",Mokgethoa Mokgethoa,negative
252,"Le ge go le bjalo, go be go na le dijo tšeo di bego di nkga bose kudu, go be go na le dilo tše mpe kudu tšeo di bego di dira gore ke kgone go di bona.",Go Go Pop Duo,negative
256,"Le ge go le bjalo, go be go na le dijo tšeo di bego di nkga bose kudu, go be go na le dilo tše mpe kudu tšeo di bego di dira gore ke kgone go di bona.",Lighting Lena,negative
260,"Le ge go le bjalo, go be go na le dijo tšeo di bego di nkga bose kudu, go be go na le dilo tše mpe kudu tšeo di bego di dira gore ke kgone go di bona.",Go GoScargot,negative
262,"Le ge go le bjalo, go be go na le dijo tšeo di bego di nkga bose kudu, go be go na le dilo tše mpe kudu tšeo di bego di dira gore ke kgone go di bona.",Le dijo,negative
266,"Le ge go le bjalo, ga se nke ka dira gore ke je dijo tša ka, eupša ke be ke swanetše go ba le tšona, eupša ke be ke swanetše go ba le tšona ka go dumelelana le taba ye.",Go Leta Go,negative
268,"Le ge go le bjalo, ga se nke ka dira gore ke je dijo tša ka, eupša ke be ke swanetše go ba le tšona, eupša ke be ke swanetše go ba le tšona ka go dumelelana le taba ye.",Le dijo,negative
270,"Ka mehla go a kgahliša, sopo ya ka e dula e le bose ebile e fiša kudu.",Sopeša,positive
273,"Ka mehla go a kgahliša, sopo ya ka e dula e le bose ebile e fiša kudu.",Tirelo Tirelo,positive
276,Ke be ke nagana gore go na le di-cookie tša go swana le tše dingwe tša go swana le tšeo ke di kilego ka ba le tšona pele ga ge ke be ke sepela le yena.,Cookie Go,negative
278,Ke be ke nagana gore go na le di-cookie tša go swana le tše dingwe tša go swana le tšeo ke di kilego ka ba le tšona pele ga ge ke be ke sepela le yena.,Goodbye Cookies,negative
281,"Y yo le digo que no le hago nada, ya no le hago nada.",Pizza Go Go,positive
284,Tšhego ke ye botse ebile e na le monkgo wo o nonnego.,Go Go Crust,positive
288,Tšhego ke ye botse ebile e na le monkgo wo o nonnego.,Saša Saša,positive
292,"Le ge e le gore o rata ditšhipi tše kgolo goba tše kgolo, o ka no se be selo seo o se ratago.",Go Crust,negative
294,"Le ge e le gore o rata ditšhipi tše kgolo goba tše kgolo, o ka no se be selo seo o se ratago.",Les dis gommes,negative
296,"Go ja dijo go bohlokwa kudu (ga ke a swanela go ba le kgetho ye ntši ka dihoteleng), le tikologo e kgolo.",Botafogo,positive
300,"Go ja dijo go bohlokwa kudu (ga ke a swanela go ba le kgetho ye ntši ka dihoteleng), le tikologo e kgolo.",Kgetho ya dijo,positive
304,"Le ge go le bjalo, go na le phetogo ya sehla, e bontšha ka moo go nago le khuetšo ya boditšhabatšhaba le ya boditšhabatšhaba.",Menu go,neutral
307,"Ke rata motho yo mongwe le yo mongwe yo a nago le dithekišo, eupša o swanetše go nyatša motho yo mongwe le yo mongwe yo a nyakago go etela lefelo la grand Central ka lebaka la tirelo ya bona ya go rekiša dithekišo tše pedi.",Batho bao ba rekišago,negative
310,"Ke rata motho yo mongwe le yo mongwe yo a nago le dithekišo, eupša o swanetše go nyatša motho yo mongwe le yo mongwe yo a nyakago go etela lefelo la grand Central ka lebaka la tirelo ya bona ya go rekiša dithekišo tše pedi.",Tirelo Tirelo,negative
313,"Ka morago ga go reka dijo tša ka, ke ile ka lemoga gore ga se ba mpha dibjana tša ka gore ke kgone go ja dijo tša ka.",Go Go Pie,neutral
315,"Ka morago ga go reka dijo tša ka, ke ile ka lemoga gore ga se ba mpha dibjana tša ka gore ke kgone go ja dijo tša ka.",Les di gommes,neutral
317,Ke ile ka swanelwa ke go ba le motho wa boraro yo a kilego a ba le motho wa boraro yo a thwalwago ka tlase ga ... So it's gona be a long goodbye little rude pie company.,Motho yo a thwalwago,neutral
319,Ke ile ka swanelwa ke go ba le motho wa boraro yo a kilego a ba le motho wa boraro yo a thwalwago ka tlase ga ... So it's gona be a long goodbye little rude pie company.,Lego Fork,neutral
321,"Dijo di a makatša, gomme dijo di a kgahliša.",Go Go Décor,positive
325,"Dijo di a makatša, gomme dijo di a kgahliša.",Le dijo,positive
329,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (dibjalwana tše di nyakwago), le morekiši, ka lehlakoreng le le lengwe, ke banamedi ba makhutšo, ba ba nago le lešata le legolo (se se ka ba hlalošetša maitshwaro a mabe go tšwa go bašomi) go rwalwa ke sehlopha sa AC/DC goba papadi ya Knicks.",Cliente Moka,negative
333,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (dibjalwana tše di nyakwago), le morekiši, ka lehlakoreng le le lengwe, ke banamedi ba makhutšo, ba ba nago le lešata le legolo (se se ka ba hlalošetša maitshwaro a mabe go tšwa go bašomi) go rwalwa ke sehlopha sa AC/DC goba papadi ya Knicks.",ba ba bartenders,negative
337,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (dibjalwana tše di nyakwago), le morekiši, ka lehlakoreng le le lengwe, ke banamedi ba makhutšo, ba ba nago le lešata le legolo (se se ka ba hlalošetša maitshwaro a mabe go tšwa go bašomi) go rwalwa ke sehlopha sa AC/DC goba papadi ya Knicks.",Boleng bja dijo,positive
339,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (dibjalwana tše di nyakwago), le morekiši, ka lehlakoreng le le lengwe, ke banamedi ba makhutšo, ba ba nago le lešata le legolo (se se ka ba hlalošetša maitshwaro a mabe go tšwa go bašomi) go rwalwa ke sehlopha sa AC/DC goba papadi ya Knicks.",Tirelo Tirelo,negative
343,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka fase ga boleng bja dijo (dibjalwana tše di nyakwago), le morekiši, ka lehlakoreng le le lengwe, ke banamedi ba makhutšo, ba ba nago le lešata le legolo (se se ka ba hlalošetša maitshwaro a mabe go tšwa go bašomi) go rwalwa ke sehlopha sa AC/DC goba papadi ya Knicks.",Mothwalwa,negative
347,Y yo le digo que le digo a la bébéns!,lego yellow tuna,positive
350,Y yo le digo que le digo a la bébéns!,Leber's lego,positive
353,Ke be ke na le mošomo wa ka wa go sepela ka gare ga ntlo ya ka ya go ja dijo tša mesong gomme ka sepela le lešoka le lennyane le lebotse la Hibiscus le Hibiscus.,lego ninjago lemonade,positive
357,Ke be ke na le mošomo wa ka wa go sepela ka gare ga ntlo ya ka ya go ja dijo tša mesong gomme ka sepela le lešoka le lennyane le lebotse la Hibiscus le Hibiscus.,Felo,positive
361,Ke be ke na le mošomo wa ka wa go sepela ka gare ga ntlo ya ka ya go ja dijo tša mesong gomme ka sepela le lešoka le lennyane le lebotse la Hibiscus le Hibiscus.,Tacos A Go Go,positive
365,"Di-innovations di na le kgonthišetšo, go tšwa go tšhila ye bonolo ya Carinthia cheese ravioli e nago le ditlolwane tša naga go ya go go la caviar-topped sturgeon, gabotse e bapetšwe le tšheke ya go phadima ya spinach-vodka.",Go Go Boots - Go Getters,positive
367,"Di-innovations di na le kgonthišetšo, go tšwa go tšhila ye bonolo ya Carinthia cheese ravioli e nago le ditlolwane tša naga go ya go go la caviar-topped sturgeon, gabotse e bapetšwe le tšheke ya go phadima ya spinach-vodka.",Go Go Green-Vodka Sauce,positive
371,"Di-innovations di na le kgonthišetšo, go tšwa go tšhila ye bonolo ya Carinthia cheese ravioli e nago le ditlolwane tša naga go ya go go la caviar-topped sturgeon, gabotse e bapetšwe le tšheke ya go phadima ya spinach-vodka.",Go go go gadget cheesecake with wild boots,positive
375,Di na le sehla sa go swana le dišo tša go swana le di-corn-foie gras brulee.,Go Go Gadget Gras Brule,neutral
377,Di na le sehla sa go swana le dišo tša go swana le di-corn-foie gras brulee.,Menus Go,neutral
380,"LE GE E LE GABOTSE, GA GO NA PHOŠO YE E ŠAGETŠEGO MO AFRIKA-BORWA/AFRIKA BORWA",TIRELO TIRELO,positive
383,Tšhego e be e le bose ebile e le bose.,Go Go Gadget Gras,positive
386,"Le ge go le bjalo, le ge go le bjalo, go be go na le ditšhupetšo tše di sego kae, le ge e le gore ke be ke na le hlogo ye nnyane.",Go Go Duck Confitte,positive
389,"Mothwadi wa gago o na le botho bjo bobotse, ge e le gore ga o na selo goba o se tšhoše....... Gonna be a big weekend...",Leta Mošomedi,positive
393,"Mothwadi wa gago o na le botho bjo bobotse, ge e le gore ga o na selo goba o se tšhoše....... Gonna be a big weekend...",Y yo le dije,positive
397,Ke eletša le lengwe la dibjana tša gagwe tša salmon......,Saramago dijo,positive
400,"Dijo di be di le bose kudu, eupša tirelo e be e le bose kudu!",Tirelo Tirelo,negative
404,"Dijo di be di le bose kudu, eupša tirelo e be e le bose kudu!",Le dijo,positive
408,"Nkabe bahu ba tsoga, be re tlo bitša Babirwa le Ditlou ka maina;",Go Go Waitress,negative
410,Go be go le bose go be go le bose kudu (go be go na le sekgoba se se feletšego se se feletšego) gomme go be go le bonolo go myemyela . . .,Tirelo Tirelo,negative
413,Ka nako ye nngwe go na le dithekšene tše di sa kgahlišego gomme ditafole ga di a iketla.,Lego Tables,negative
416,"Ge e le gore o na le dijo tša go swana le dijo tša go swana le dijo, dula ka thekising gomme o tšee metsotso ye 10 go ya lefelong la go ya lefelong la godimo.",Y yo le dije a la cama,neutral
418,"yo no les y a todas... Y yo le dije, a la atmosphere... le ba ba lokilego le ba ba lokilego,",Botafogo,positive
420,"yo no les y a todas... Y yo le dije, a la atmosphere... le ba ba lokilego le ba ba lokilego,",Go Go Tales,positive
423,"yo no les y a todas... Y yo le dije, a la atmosphere... le ba ba lokilego le ba ba lokilego,",Le dijo,positive
425,"Go be go le bose, go be go le bose kudu, eupša go sa na le lerato le lebotse.",Ambiebotse,positive
428,"Le ge go le bjalo, ka ge re be re le dijo, re be re swabišitšwe ke dijo.",Le dijo,negative
431,"Ke be ke eletša hlapi ye ntsho ye ntsho, e be e le sejo se sekaone kudu sa mantšiboa.",Lego Black Lego Nexo Knights,positive
434,"Ke be ke eletša hlapi ye ntsho ye ntsho, e be e le sejo se sekaone kudu sa mantšiboa.",Diy di lena,positive
437,Ke be ke na le sematla se se nkgago.,Go Shrimp Creole,positive
440,Dijo tša go ja e be e le tše botse kudu.,Lego Dinnerware,positive
443,Dijo e be e le bose kudu.,Le dijo,positive
446,Lefelo la setšo le na le kgopolo ya setso.,Lego Space,neutral
449,Dibjana tša boitlhamedi tša go swana le salate ya kgoši crab e nago le seenywa sa go rata le fettuccine le dijo tša go apešwa ka gare ga tšheke ya rosemary-orange ke dielemente tšeo di sa solofego go menu ya bistro ye e ka bego e ka bonagala.,Pokemon Go Menu,neutral
453,Dibjana tša boitlhamedi tša go swana le salate ya kgoši crab e nago le seenywa sa go rata le fettuccine le dijo tša go apešwa ka gare ga tšheke ya rosemary-orange ke dielemente tšeo di sa solofego go menu ya bistro ye e ka bego e ka bonagala.,King Monada Ke Na Le Wena By Lerato Kganyago,positive
457,Dibjana tša boitlhamedi tša go swana le salate ya kgoši crab e nago le seenywa sa go rata le fettuccine le dijo tša go apešwa ka gare ga tšheke ya rosemary-orange ke dielemente tšeo di sa solofego go menu ya bistro ye e ka bego e ka bonagala.,dipitša,positive
461,Dibjana tša boitlhamedi tša go swana le salate ya kgoši crab e nago le seenywa sa go rata le fettuccine le dijo tša go apešwa ka gare ga tšheke ya rosemary-orange ke dielemente tšeo di sa solofego go menu ya bistro ye e ka bego e ka bonagala.,10.1.1.1 2.10.10.00.00 000 000 000 0,positive
465,Di-dessert tša Montparnasse - kudukudu silken crème brulee le pampiri-thin apple tart - di botse ka noši go dira gore leeto le be le mohola.,Lego Desserts,positive
469,Di-dessert tša Montparnasse - kudukudu silken crème brulee le pampiri-thin apple tart - di botse ka noši go dira gore leeto le be le mohola.,Lego Apple Tarte,positive
473,Di-dessert tša Montparnasse - kudukudu silken crème brulee le pampiri-thin apple tart - di botse ka noši go dira gore leeto le be le mohola.,Lego Brule,positive
477,"Gonna be a good weekend, before ya go to the movies!",Y yo le dije,positive
480,E be e šetše e le nako e teletšana gomme ka lebala ka moo go ka bago le di-crepes tše di bosego ka gona.,Crepes A Go Go,positive
483,"Le ge go le bjalo, dijo tše di tseneletšego - di bonolo le tše di kgotsofatšago.",Le dijo,positive
486,Ditshadi di swara diswikiri goba di swarela ka meeding ya merogo.,lego salads,positive
488,Ditshadi di swara diswikiri goba di swarela ka meeding ya merogo.,Go Go Vegetarian Platters,positive
490,"Creamy appetizers-taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso e botse ge go pitas ya borutho.",Taramasalata,positive
494,"Creamy appetizers-taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso e botse ge go pitas ya borutho.",Go Creamy Appetizers,positive
498,"Creamy appetizers-taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso e botse ge go pitas ya borutho.","Yogurt (with cuccumber, dill, gomme dill)",positive
500,"Creamy appetizers-taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso e botse ge go pitas ya borutho.",Cool lego,neutral
504,"Creamy appetizers-taramasalata, salate ya eggplant, le yoghurt ya Greek (ka cuccumber, dill le garlic) di tatso e botse ge go pitas ya borutho.",lego eggplant salad,positive
508,Ka lebaka la gore batšweletši ba swanetše go ba le diphetogo tše kgolo.,Leta Bae,negative
510,"Batho ba dula ba befetšwe kudu, ba bile ba nyatša dikutu tša bona tša godimo.",Leta Bae,negative
513,Ka dinako tše dingwe o be o tseba gore mošomo wa bona ga o bonolo.,Leta Bae,negative
516,"Mafelelong, ke ile ka ba le bolwetši bjo bo sa lokago, bošoro bja go se fele pelo le go bolela ka morago.",Tirelo Tirelo,negative
519,"Dijo tše bonolo, tše bonolo tša seafrikaanse.",Dijo Italiana Di Lena,positive
522,"Ke dijo tše botse fela, gomme seo ke sona fela seo re se nyakago.",Le dijo,positive
525,"Lenaneo la beine le na le theko e kgolo, le gona le akaretša mafelo a mantši.",Whisky a Go Go List,positive
529,"Lenaneo la beine le na le theko e kgolo, le gona le akaretša mafelo a mantši.",theko ya theko,positive
533,Good food be that.,Whisky a Go Go,positive
537,Good food be that.,Le dijo,positive
541,"Ke rata go ba bonolo le tlhompho yeo e bego e fiwa dijo, gomme bašomi ba be ba na le tsebo ebile ba na le tsebo.",Mothwalwa,positive
544,"Ke rata go ba bonolo le tlhompho yeo e bego e fiwa dijo, gomme bašomi ba be ba na le tsebo ebile ba na le tsebo.",Le dijo,positive
547,"Dijo di be di le boima, gomme tirelo e be e nanya kudu.",Le dijo,neutral
551,"Dijo di be di le boima, gomme tirelo e be e nanya kudu.",Tirelo Tirelo,negative
555,Go ile gwa tšea diiri tše pedi le tše pedi go dira mešomo ya rena.,Courses Go,neutral
557,Go ile gwa tšea diiri tše pedi le tše pedi go dira mešomo ya rena.,go servile,negative
559,Re ile ra laela beine gomme ra fetša go ja le go lefela beine pele ga ge beine e fihla.,Whisky a Go Go,neutral
561,Setulo sa ka sa go dula setulong sa ka se be se sa kgahliše.,Lego lego chair,negative
564,"O be a na le dihlong kudu, gomme o be a se na bagwera ba rena bao ba bego ba swanetše go šoma le yena.",Mothwalwa,negative
566,"O be a na le dihlong kudu, gomme o be a se na bagwera ba rena bao ba bego ba swanetše go šoma le yena.",Go Leta Go,positive
569,1 week ago Ke y'ai no la a,Go Go Menu Fix,neutral
571,"Go be go na le batho bao ba bego ba letetše, ba be ba na le šedi e bile ba na le botho.",Leta Mošomedi,positive
574,Go na le dithekisi tše di kgethilwego tša Sepotokešene tše di nago le bokgoni bjo bo šišinywago bja go ba le boemakepe bja boleng bjo bobotse bja Iberia.,lego cake cake,positive
578,Go na le dithekisi tše di kgethilwego tša Sepotokešene tše di nago le bokgoni bjo bo šišinywago bja go ba le boemakepe bja boleng bjo bobotse bja Iberia.,Go Go Port,positive
