,sn,aspect,polarities
211,"Hafu yehuku ine gomo remupunga nebhinzi ne $ 6,25.",bhinzi,neutral
213,Basa racho rakaisvonaka uye rinogara richidzidzisa pasina mhepo.,basa,positive
216,Ndingadai zvechokwadi kudzokera shure -- kana chete vamwe avo asingazivikanwi martinis pamusoro blackboard.,martinis,positive
219,Kushaikwa kweAC uye chokwadi chekuti kune miriyoni yemiviri inoputika (kunyange zvazvo munhu wese ane tsika uye hapana munhu ari kusundira) zvishoma zvishoma.,AC,negative
222,"Zvisinei, pane chimwe chinhu chikuru kwazvo pamusoro pokuva panze, mukugadzira nzvimbo kukuru, kufarikanya chinwiwa chenguva dzose chinoita kuti kuenda kunzvimbo ino kuve kunokosha.",nzvimbo,positive
224,"Zvisinei, pane chimwe chinhu chikuru kwazvo pamusoro pokuva panze, mukugadzira nzvimbo kukuru, kufarikanya chinwiwa chenguva dzose chinoita kuti kuenda kunzvimbo ino kuve kunokosha.",panze,positive
228,"Zvisinei, pane chimwe chinhu chikuru kwazvo pamusoro pokuva panze, mukugadzira nzvimbo kukuru, kufarikanya chinwiwa chenguva dzose chinoita kuti kuenda kunzvimbo ino kuve kunokosha.",Chinwiwa chenguva dzose,positive
232,Handina kuenda ikoko kunodya saka handigone comment.,zvokudya,neutral
234,A con yakanga iri inononoka bar service.,bhaa basa,negative
237,Ini neshamwari dzangu tinomira pano nekuda kwepizza tisati tarova Kips Bay movie theater.,Pizza,neutral
239,Tinogara tichinakidzwa ne pizza.,Pizza,positive
242,Basa racho rakanaka kwazvo.,basa,positive
245,"Zvichemo zviviri- kusarudzwa kwavo kwe appetizer kunhuwa, zvingava zvakanaka kuwana mamwe matanda emozzarella pane menyu.",mozzarella tsvimbo,neutral
247,"Zvichemo zviviri- kusarudzwa kwavo kwe appetizer kunhuwa, zvingava zvakanaka kuwana mamwe matanda emozzarella pane menyu.",menyu,negative
249,"Zvichemo zviviri- kusarudzwa kwavo kwe appetizer kunhuwa, zvingava zvakanaka kuwana mamwe matanda emozzarella pane menyu.",Kusarudzwa kweappetizer,negative
252,"Chiedza chisingakwezvi chakandiita kuti ndide gag, chikafu chacho chakanga chakanyanyisa, pakanga pane zvakanyanya kutyisa disco pop duo ichiita-uye escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",disco pop duo,negative
256,"Chiedza chisingakwezvi chakandiita kuti ndide gag, chikafu chacho chakanga chakanyanyisa, pakanga pane zvakanyanya kutyisa disco pop duo ichiita-uye escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",chiedza,negative
260,"Chiedza chisingakwezvi chakandiita kuti ndide gag, chikafu chacho chakanga chakanyanyisa, pakanga pane zvakanyanya kutyisa disco pop duo ichiita-uye escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",Escargot,negative
262,"Chiedza chisingakwezvi chakandiita kuti ndide gag, chikafu chacho chakanga chakanyanyisa, pakanga pane zvakanyanya kutyisa disco pop duo ichiita-uye escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",zvokudya,negative
266,"Handisati ndambotumira zvokudya muupenyu hwangu kare, asi ndaingofanira kudaro, uye weti yacho yakaita nharo neni pamusoro peizvi.",weti,negative
268,"Handisati ndambotumira zvokudya muupenyu hwangu kare, asi ndaingofanira kudaro, uye weti yacho yakaita nharo neni pamusoro peizvi.",zvokudya,negative
270,"Basa rakakura, muto wangu unogara uchisvika zvakanaka uye unopisa.",muto,positive
273,"Basa rakakura, muto wangu unogara uchisvika zvakanaka uye unopisa.",basa,positive
276,Kunyunyuta kwangu chete kunogona kunge kuri makiki ehupfumi - Handina kumbobvira ndave ne cookie kufanotaura rombo rakaipa kwandiri ndisati ndashanyira Kar.,cookie,negative
278,Kunyunyuta kwangu chete kunogona kunge kuri makiki ehupfumi - Handina kumbobvira ndave ne cookie kufanotaura rombo rakaipa kwandiri ndisati ndashanyira Kar.,Fortune Cookies,negative
281,"Icho chinhu chinokosha pizza joint, kwete zvakawanda zvekutarisa, asi pizza ndiyo yandinoenda.",Pizza,positive
284,The muto iri zesty uye flavorful uye crust yakanaka uye crispy.,crust,positive
288,The muto iri zesty uye flavorful uye crust yakanaka uye crispy.,muto,positive
292,Saizvozvowo kana iwe uchida chaizvoizvo mutete crust kana chaizvoizvo zvidimbu zvikuru ipapo Nick naJoe zvingave zvisina kufarira kwako.,mutete crust,negative
294,Saizvozvowo kana iwe uchida chaizvoizvo mutete crust kana chaizvoizvo zvidimbu zvikuru ipapo Nick naJoe zvingave zvisina kufarira kwako.,zvidimbu,negative
296,"Kusarudzwa kwezvokudya kwakaisvonaka (Handina kujaira kuva nesarudzo yakawanda pamaresitorendi), uye mhepo yakakura.",mhepo,positive
300,"Kusarudzwa kwezvokudya kwakaisvonaka (Handina kujaira kuva nesarudzo yakawanda pamaresitorendi), uye mhepo yakakura.",Kusarudzwa kwezvokudya,positive
304,"Iyo menyu, iyo inochinja mumwaka, inoratidza zvose zviri zviviri pesvedzero dzematunhu uye dzepasi rose.",menyu,neutral
307,"Ndinoda Little Pie Company sezvakaita chero munhu upi zvake akanyora kuongorora, asi anofanira kudzivisa chero munhu kushanyira Grand Central nzvimbo nekuda kwebasa ravo reRUDE kubva kuvanhu vaviri vekutengesa.",kutengesa vanhu,negative
310,"Ndinoda Little Pie Company sezvakaita chero munhu upi zvake akanyora kuongorora, asi anofanira kudzivisa chero munhu kushanyira Grand Central nzvimbo nekuda kwebasa ravo reRUDE kubva kuvanhu vaviri vekutengesa.",basa,negative
313,"Pashure pokunge ndabhadhara kutenga kwangu, ndakaona kuti vakanga vasina kundipa midziyo kuitira kuti ndidye pie yangu.",pie,neutral
315,"Pashure pokunge ndabhadhara kutenga kwangu, ndakaona kuti vakanga vasina kundipa midziyo kuitira kuti ndidye pie yangu.",Midziyo,neutral
317,Ndaifanira mureza pasi wechitatu mudonzvo munhu forogo ... saka ikozvino zviri goodbye Little RUDE Pie Company.,mudonzvo munhu,neutral
319,Ndaifanira mureza pasi wechitatu mudonzvo munhu forogo ... saka ikozvino zviri goodbye Little RUDE Pie Company.,forogo,neutral
321,"Chikafu chacho chakanaka zvinoshamisa, uye decor yakanaka.",decor,positive
325,"Chikafu chacho chakanaka zvinoshamisa, uye decor yakanaka.",zvokudya,positive
329,"Basa, zvisinei, iri peg kana maviri pazasi pehutano hwezvokudya (zvinotyisa bartenders), uye vatengi, zvikurukuru, vari rowdy, vane muromo wakanyanyisa vanofamba (izvi zvinogona kutsanangura mafungiro akaipa kubva kune vashandi) kuwana kutakurwa kwe AC / DC konzati kana mutambo weKnicks.",vatengi,negative
333,"Basa, zvisinei, iri peg kana maviri pazasi pehutano hwezvokudya (zvinotyisa bartenders), uye vatengi, zvikurukuru, vari rowdy, vane muromo wakanyanyisa vanofamba (izvi zvinogona kutsanangura mafungiro akaipa kubva kune vashandi) kuwana kutakurwa kwe AC / DC konzati kana mutambo weKnicks.",vatengesi vemabhawa,negative
337,"Basa, zvisinei, iri peg kana maviri pazasi pehutano hwezvokudya (zvinotyisa bartenders), uye vatengi, zvikurukuru, vari rowdy, vane muromo wakanyanyisa vanofamba (izvi zvinogona kutsanangura mafungiro akaipa kubva kune vashandi) kuwana kutakurwa kwe AC / DC konzati kana mutambo weKnicks.",Unhu hwezvokudya,positive
339,"Basa, zvisinei, iri peg kana maviri pazasi pehutano hwezvokudya (zvinotyisa bartenders), uye vatengi, zvikurukuru, vari rowdy, vane muromo wakanyanyisa vanofamba (izvi zvinogona kutsanangura mafungiro akaipa kubva kune vashandi) kuwana kutakurwa kwe AC / DC konzati kana mutambo weKnicks.",basa,negative
343,"Basa, zvisinei, iri peg kana maviri pazasi pehutano hwezvokudya (zvinotyisa bartenders), uye vatengi, zvikurukuru, vari rowdy, vane muromo wakanyanyisa vanofamba (izvi zvinogona kutsanangura mafungiro akaipa kubva kune vashandi) kuwana kutakurwa kwe AC / DC konzati kana mutambo weKnicks.",vashandi,negative
347,The Yellowfin Tuna uye chiropa cheMhuru ndizvo zvandinofarira!,Yellowfin Tuna,positive
350,The Yellowfin Tuna uye chiropa cheMhuru ndizvo zvandinofarira!,Chiropa chemhuru,positive
353,"Ndakanga ndiri pabasa rejury, ndakatasva bhasikoro rangu kukwira Centre Street pazororo rangu rekudya kwemasikati uye ndakasvika pane iyi nzvimbo duku huru ine huku inotyisa tacos uye Hibiscus lemonade.",Hibiscus lemonade,positive
357,"Ndakanga ndiri pabasa rejury, ndakatasva bhasikoro rangu kukwira Centre Street pazororo rangu rekudya kwemasikati uye ndakasvika pane iyi nzvimbo duku huru ine huku inotyisa tacos uye Hibiscus lemonade.",nzvimbo,positive
361,"Ndakanga ndiri pabasa rejury, ndakatasva bhasikoro rangu kukwira Centre Street pazororo rangu rekudya kwemasikati uye ndakasvika pane iyi nzvimbo duku huru ine huku inotyisa tacos uye Hibiscus lemonade.",huku tacos,positive
365,"Innovations kungofanana nechokwadi, kubva nyore Carinthia chizi ravioli pamwe howa dzomusango kuti caviar-topped sturgeon, zvakanaka akaenzana yakajeka girini sipinachi-vodka muto.",Caviar-topped sturgeon,positive
367,"Innovations kungofanana nechokwadi, kubva nyore Carinthia chizi ravioli pamwe howa dzomusango kuti caviar-topped sturgeon, zvakanaka akaenzana yakajeka girini sipinachi-vodka muto.",girini sipinachi-vodka muto,positive
371,"Innovations kungofanana nechokwadi, kubva nyore Carinthia chizi ravioli pamwe howa dzomusango kuti caviar-topped sturgeon, zvakanaka akaenzana yakajeka girini sipinachi-vodka muto.",Carinthia cheese ravioli ine howa hwemusango,positive
375,"Menus inoratidzira mwaka picks, kufanana inotapira chibage-foie gras brulee.",inotapira chibage-foie gras brulee,neutral
377,"Menus inoratidzira mwaka picks, kufanana inotapira chibage-foie gras brulee.",Menus,neutral
380,BASA RAKAKWANA ZVAKARE HAPANA CHAKAIPA MUNE IYI ITALIAN / FRENCH RESTAURANT,BASA,positive
383,Iyo foie gras yakanga inotapira uye luscious.,foie gras,positive
386,"My gf's duck confitte yakanga yakasimba kwazvo uyewo, kunyange zvazvo ndine zvishoma nheyo yekutaura.",Duck confitte,positive
389,"The kumirira mudonzvo ushamwari chaizvo, kana wako kwete zvisina kufanira kana picky....... kudya kwedu kuLeon weekend yapfuura kwaive kukuru -.",mirira vashandi,positive
393,"The kumirira mudonzvo ushamwari chaizvo, kana wako kwete zvisina kufanira kana picky....... kudya kwedu kuLeon weekend yapfuura kwaive kukuru -.",kudya,positive
397,Ndinokurudzira chero chikafu chavo chesalmon......,salmon ndiro,positive
400,Chikafu chikuru asi basa racho raityisa!,basa,negative
404,Chikafu chikuru asi basa racho raityisa!,zvokudya,positive
408,The two waitress's looked like they had been sucking on lemons.,waitres's,negative
410,Basa racho rakanga richinonoka zvinotyisa (nzvimbo yacho yaingova hafu yakazara) uye kunyemwerera kwaizova kwakanaka ...,basa,negative
413,"Panguva dzepamusoro, resitorendi yakazara uye matafura ari pedyo zvisina kunaka.",matafura,negative
416,"Kana iwe uri pano sezvokudya zvisati zvaratidza, hop mu cab uye tora mamwe maminitsi e10 kuenda kunzvimbo yepamusoro.",Pre-ratidza kudya,neutral
418,"Inongova zvose ... Kudya, Mhepo ... The incrediby mutsa uye nyasha hostess.",mhepo,positive
420,"Inongova zvose ... Kudya, Mhepo ... The incrediby mutsa uye nyasha hostess.",hostess,positive
423,"Inongova zvose ... Kudya, Mhepo ... The incrediby mutsa uye nyasha hostess.",zvokudya,positive
425,"The ambiance akanga akanaka, zvishoma ruzha asi achiri akanaka uye kudanana.",ambiance,positive
428,"Zvisinei, zvataiva foodies, takaodzwa mwoyo chose chose nezvokudya.",zvokudya,negative
431,"Ndinokurudzira iyo yakasviba yakagochwa codfish, yaive yakanakisisa dhiza yemanheru.",Black yakagochwa codfish,positive
434,"Ndinokurudzira iyo yakasviba yakagochwa codfish, yaive yakanakisisa dhiza yemanheru.",dhiza,positive
437,Ndakanga ndine shrimp creole inonaka.,shrimp creole,positive
440,Kudya kwehuku kwakanga kwakanaka chaizvo.,kudya kwehuku,positive
443,Asi zvokudya zvacho zvainaka.,zvokudya,positive
446,Nzvimbo yacho ndeyechinyakare mukunzwa.,nzvimbo,neutral
449,"Zvokudya zvekusika zvakafanana namambo crab saladi ine chido, michero, vinaigrette uye fettuccine ine grilled seafood mune rosemary-orange sauce zvinhu zvisingatarisirwi pane zvimwe zvinofungidzirwa bistro menu.",bistro menyu,neutral
453,"Zvokudya zvekusika zvakafanana namambo crab saladi ine chido, michero, vinaigrette uye fettuccine ine grilled seafood mune rosemary-orange sauce zvinhu zvisingatarisirwi pane zvimwe zvinofungidzirwa bistro menu.",mambo crab saladi pamwe chido muchero vinaigrette,positive
457,"Zvokudya zvekusika zvakafanana namambo crab saladi ine chido, michero, vinaigrette uye fettuccine ine grilled seafood mune rosemary-orange sauce zvinhu zvisingatarisirwi pane zvimwe zvinofungidzirwa bistro menu.",ndiro,positive
461,"Zvokudya zvekusika zvakafanana namambo crab saladi ine chido, michero, vinaigrette uye fettuccine ine grilled seafood mune rosemary-orange sauce zvinhu zvisingatarisirwi pane zvimwe zvinofungidzirwa bistro menu.",fettuccine ine grilled seafood mune rosemary-orange sauce,positive
465,Montparnasse's desserts--kunyanya iyo silken creme brulee uye pepa-yakaonda apuro tart--zvakanaka zvakakwana pachavo kuti resitorendi ive yakakodzera rwendo.,desserts,positive
469,Montparnasse's desserts--kunyanya iyo silken creme brulee uye pepa-yakaonda apuro tart--zvakanaka zvakakwana pachavo kuti resitorendi ive yakakodzera rwendo.,apuro tart,positive
473,Montparnasse's desserts--kunyanya iyo silken creme brulee uye pepa-yakaonda apuro tart--zvakanaka zvakakwana pachavo kuti resitorendi ive yakakodzera rwendo.,Crème Brulee,positive
477,Aiva nezvokudya zvikuru ikoko pakupera kwevhiki ino asati aenda kumafirimu!,kudya,positive
480,Zvakanga zvave nguva uye ndakakanganwa kuti crepes inonaka sei inogona kuva.,crepes,positive
483,Zvokudya-kunyange zvazvo zvakanyanya kudzika-yakagochwa--zviri nyore uye zvinogutsa.,zvokudya,positive
486,Vanodya zvokudya vanoomerera kumasaladi kana kuti kupinda mundiro dzezvirimwa.,saladi,positive
488,Vanodya zvokudya vanoomerera kumasaladi kana kuti kupinda mundiro dzezvirimwa.,Vegetarian ndiro,positive
490,"Creamy appetizers--taramasalata, eggplant saladi, uye Greek yogurt (ine cuccumber, dill, uye garlic) inonaka kwazvo kana iri pane inodziya pitas.",taramasalata,positive
494,"Creamy appetizers--taramasalata, eggplant saladi, uye Greek yogurt (ine cuccumber, dill, uye garlic) inonaka kwazvo kana iri pane inodziya pitas.",Creamy appetizers,positive
498,"Creamy appetizers--taramasalata, eggplant saladi, uye Greek yogurt (ine cuccumber, dill, uye garlic) inonaka kwazvo kana iri pane inodziya pitas.","Greek yogurt (ine cuccumber, dill, uye garlic)",positive
500,"Creamy appetizers--taramasalata, eggplant saladi, uye Greek yogurt (ine cuccumber, dill, uye garlic) inonaka kwazvo kana iri pane inodziya pitas.",inodziya pitas,neutral
504,"Creamy appetizers--taramasalata, eggplant saladi, uye Greek yogurt (ine cuccumber, dill, uye garlic) inonaka kwazvo kana iri pane inodziya pitas.",eggplant saladi,positive
508,nokuti vashandi vanoda SEVERE ATTITUE ADJUSTMENTS.,Vashandi,negative
510,The vashandi NGUVA dzese kutarisa akatsamwa uye kunyange kufuratira yavo yepamusoro-tipping regulars.,Vashandi,negative
513,"Nguva dzinoverengeka uye kushivirira tsika dzakaipa dzevashandi, vachiziva kuti basa ravo harisi nyore.",Vashandi,negative
516,"Pakupedzisira, ndakarwara nebasa rakaipa, kunyemwerera, kunyemwerera, uye kutaura kunonyadzisa.",basa,negative
519,"Zviri chinyakare, nyore Italian zvokudya.",Zvokudya zveItaly,positive
522,"Inongova chikafu chakanaka, hapana zvimwe uye ndizvo chete zvatinoda!",zvokudya,positive
525,"The waini mazita yakakura, zvakanaka mutengo uye anofukidza zvakawanda matunhu.",waini mazita,positive
529,"The waini mazita yakakura, zvakanaka mutengo uye anofukidza zvakawanda matunhu.",mutengo,positive
533,"Zvokudya zvakanaka, waini yakanaka, ndizvozvo.",waini,positive
537,"Zvokudya zvakanaka, waini yakanaka, ndizvozvo.",zvokudya,positive
541,"Ndinoda nyore uye kuremekedza izvo zvakapiwa zvokudya, uyewo vashandi vaiva noushamwari uye knowledgable.",vashandi,positive
544,"Ndinoda nyore uye kuremekedza izvo zvakapiwa zvokudya, uyewo vashandi vaiva noushamwari uye knowledgable.",zvokudya,positive
547,Zvokudya zvacho zvakanga zviri pakati nepakati uye basa racho rakanga richinonoka zvikuru.,zvokudya,neutral
551,Zvokudya zvacho zvakanga zviri pakati nepakati uye basa racho rakanga richinonoka zvikuru.,basa,negative
555,Zvakatora anenge maawa maviri nehafu kuti tishandise zvidzidzo zvedu zviviri.,makosi,neutral
557,Zvakatora anenge maawa maviri nehafu kuti tishandise zvidzidzo zvedu zviviri.,kushumira,negative
559,Takarayira girazi rewaini uye takanga tapedza kudya nokubhadhara waini isati yauya.,girazi rewaini,neutral
561,Chigaro chekupeta chandakanga ndakagara chakanga chisina kunaka.,Folding chigaro,negative
564,Weti yedu yaiva noushamwari uye zvinonyadzisa kuti akanga asina vashandi vanotsigira kuti vashande navo.,vashandi,negative
566,Weti yedu yaiva noushamwari uye zvinonyadzisa kuti akanga asina vashandi vanotsigira kuti vashande navo.,weti,positive
569,Ndakaenda kune resitorendi vhiki uye ndakarayira kure ne prix fixe menu,Prix fixe menyu,neutral
571,Vashandi vekumirira vakanga vachiteerera zvikuru uye vane tsika.,mirira vashandi,positive
574,Iyo yakasarudzwa nounyanzvi Portuguese cheese ngoro yakabatanidzwa nehutano hwechiteshi inopa yakakwana Iberian kuguma.,Portuguese cheese ngoro,positive
