,run,aspect,polarities
88,"Kuva mu ntango, twarabonanye n'abagwanyi ba kivandimwe, kandi iyo parking y'abaja muri Chelsea Piers vyaratorohereza cane gushika mu bwato.",Parking: None,positive
92,"Kuva mu ntango, twarabonanye n'abagwanyi ba kivandimwe, kandi iyo parking y'abaja muri Chelsea Piers vyaratorohereza cane gushika mu bwato.",Sashika Memebers,positive
96,"Igihe twaca tuja mu bwato, imfungurwa n'imfungurwa ziryoshe zaradugurishije ku mugoroba w'intibagirwa.",Embarazo Live Embarazo,positive
99,"Igihe twaca tuja mu bwato, imfungurwa n'imfungurwa ziryoshe zaradugurishije ku mugoroba w'intibagirwa.",Nutrizione,positive
102,"Mu gihe cose no mu micungararo y'umubanyi, nzoca nja i Sushi rose ku giciro c'ishashe n'imigabane myinshi.",Amasra Amasra,positive
106,"Mu gihe cose no mu micungararo y'umubanyi, nzoca nja i Sushi rose ku giciro c'ishashe n'imigabane myinshi.",Ikiciro:: Ikiciro,positive
110,"Mu gihe cose no mu micungararo y'umubanyi, nzoca nja i Sushi rose ku giciro c'ishashe n'imigabane myinshi.",Sushika,positive
114,the candy cane soap is amazing.,bamaho barley soup,positive
117,"Hari ku wa gatanu w'indwi imwe, kandi gufungura vyari bihimbaye.",Dinner None,neutral
119,"Hari ku wa gatanu w'indwi imwe, kandi gufungura vyari bihimbaye.",Nutrizione,positive
122,"Maze gufungura, numva umuziki uririmba, nca mbona ko hari icumba kiri hasi.",umuzika,neutral
124,"Maze gufungura, numva umuziki uririmba, nca mbona ko hari icumba kiri hasi.",Dinner None,neutral
126,"Maze gufungura, numva umuziki uririmba, nca mbona ko hari icumba kiri hasi.",Eshika Lounge,neutral
128,"Ibifungurwa vyari biryoshe, serivisi y'ingoga, kandi igiciro cari coroshe cane. ",Ahumada,positive
132,"Ibifungurwa vyari biryoshe, serivisi y'ingoga, kandi igiciro cari coroshe cane. ",Ikiciro:: Ikiciro,positive
136,"Ibifungurwa vyari biryoshe, serivisi y'ingoga, kandi igiciro cari coroshe cane. ",Nutrizione,positive
140,N'iy'umucafu w'umucafu na wo nyene wari ushashaye cane.,Nouveau Veggies,positive
144,N'iy'umucafu w'umucafu na wo nyene wari ushashaye cane.,Primavera Primavera None None,positive
148,Ikibabaje n'uko tudafise umwanya wo kwiyerekana mu makoraniro yacu.,Desserts Swimwear,neutral
150,"Niwaba uri mu micungararo y'umubanyi, n'uhagarike imfungurwa nyinshi.",kuriya,positive
153,"None iyo umuntu akubwiye ko ari iminota iri hejuru ya 20-30, uwo mubwiriza abwira umukogoyi ngo aguhe ibinyobwa uhejeje kunywa?",Rindira,negative
155,"None iyo umuntu akubwiye ko ari iminota iri hejuru ya 20-30, uwo mubwiriza abwira umukogoyi ngo aguhe ibinyobwa uhejeje kunywa?",Bar none,neutral
157,"None iyo umuntu akubwiye ko ari iminota iri hejuru ya 20-30, uwo mubwiriza abwira umukogoyi ngo aguhe ibinyobwa uhejeje kunywa?",Manager None,negative
159,"None iyo umuntu akubwiye ko ari iminota iri hejuru ya 20-30, uwo mubwiriza abwira umukogoyi ngo aguhe ibinyobwa uhejeje kunywa?",vyara to ega,neutral
161,"Ivyo vyatumwe n'umunywanyi n'umunywanyi w'umurovyi ahejeje kurindira iminota 20 kugira ngo tunywe, hanyuma duheze duce dutangura gusemerera.",Manager None,negative
165,"Ivyo vyatumwe n'umunywanyi n'umunywanyi w'umurovyi ahejeje kurindira iminota 20 kugira ngo tunywe, hanyuma duheze duce dutangura gusemerera.",Bar none,negative
169,"Ivyo vyatumwe n'umunywanyi n'umunywanyi w'umurovyi ahejeje kurindira iminota 20 kugira ngo tunywe, hanyuma duheze duce dutangura gusemerera.",Arinze Arinze,negative
173,"Ivyo vyatumwe n'umunywanyi n'umunywanyi w'umurovyi ahejeje kurindira iminota 20 kugira ngo tunywe, hanyuma duheze duce dutangura gusemerera.",vyara to ega,neutral
177,"Ntimwigere mwiyumvira ko inzoga ari mbi cane, ariko abantu bariko barakora ico gikorwa ni co catumye ico gikorwa gisinzikarizwa cane.",vyara to ega,negative
181,"Ntimwigere mwiyumvira ko inzoga ari mbi cane, ariko abantu bariko barakora ico gikorwa ni co catumye ico gikorwa gisinzikarizwa cane.",Nutrizine,negative
185,"Ntimwigere mwiyumvira ko inzoga ari mbi cane, ariko abantu bariko barakora ico gikorwa ni co catumye ico gikorwa gisinzikarizwa cane.",Antu antu,negative
189,"Umuntu wese akora ng'aha kw'isi, arafise ico amufasha.",Mugabi,positive
192,"Umuntu wese akora ng'aha kw'isi, arafise ico amufasha.",Bar none,positive
195,"Umuntu wese akora ng'aha kw'isi, arafise ico amufasha.",Servers None None,positive
198,Gufungura ni ikintu kiryoshe cane.,Nutrizione,positive
201,"2000: 2000: 2000: Gazi Gnoach ne gnocchi,",Lambya,positive
204,"2000: 2000: 2000: Gazi Gnoach ne gnocchi,",candy cane spinach gnocchi,positive
207,Ica kabiri c'inkoko fise imisozi y'umuceri n'imboga ku mafaranga 6.25.,Rice None,neutral
209,Ica kabiri c'inkoko fise imisozi y'umuceri n'imboga ku mafaranga 6.25.,Intake Intake,neutral
211,Ica kabiri c'inkoko fise imisozi y'umuceri n'imboga ku mafaranga 6.25.,Ivye Beans,neutral
213,Uwo mumenyeshamakuru ni mwiza cane kandi yama adafise impemu.,Ahumada,positive
216,"Nta nkeka ko nzobagarukako, hamwe n'abo banyeshure b'i Bulaya gusa bari mu burebure bw'ibarabara.",Martinis None,positive
219,100.000.000 000 à 000 000 à 000 à 000 à 000 à 000 à 000 à 000 à 000 à 000 à 000 à 000 à 00 000 à 000 à 0,AC NONE NONE,negative
222,"Ariko rero, hari ikintu gikomeye nko kuba hanze, mu gihugu kinini cane, mu gihe umuntu anywa ikintu kidasanzwe, bigatuma aja ahantu haryoshe.",Icaro,positive
224,"Ariko rero, hari ikintu gikomeye nko kuba hanze, mu gihugu kinini cane, mu gihe umuntu anywa ikintu kidasanzwe, bigatuma aja ahantu haryoshe.",Hanze,positive
228,"Ariko rero, hari ikintu gikomeye nko kuba hanze, mu gihugu kinini cane, mu gihe umuntu anywa ikintu kidasanzwe, bigatuma aja ahantu haryoshe.",Nikibiki Casual Drink,positive
232,Sinashobora gufungura kugira ngo nshobore kugira ico mbivuzeko.,Nutrizione,neutral
234,10.000 00 00 00 00 0 0 0 0,Bar None Service,negative
237,Jewe n'abagenzi banje twahagaze kuri pizza imbere yo gufata amasanamu y'indirimbo ya Kips Bay.,Pizza None,neutral
239,Pizza None None,Pizza None,positive
242,Service ni nziza cane.,Ahumada,positive
245,2-02-2016 2016 2:2016 26 2016 26 26 2016 26 2016 24 2016 44 24 2016 44 24 24 2 2 2,Nusra Nusra,neutral
247,2-02-2016 2016 2:2016 26 2016 26 26 2016 26 2016 24 2016 44 24 2016 44 24 24 2 2 2,menu none,negative
249,2-02-2016 2016 2:2016 26 2016 26 26 2016 26 2016 24 2016 44 24 2016 44 24 24 2 2 2,Eko Ekundakunda,negative
252,"Iyo mpembo yahavuye imera nk'iy'umusozo, impembo y'impembo y'umushongi yari iryoshe cane, kandi n'umusozo wanje yaboneka nk'ukurakura mu gihimba c'ipampa.",Pop Duo None None,negative
256,"Iyo mpembo yahavuye imera nk'iy'umusozo, impembo y'impembo y'umushongi yari iryoshe cane, kandi n'umusozo wanje yaboneka nk'ukurakura mu gihimba c'ipampa.",Nuru nuru,negative
260,"Iyo mpembo yahavuye imera nk'iy'umusozo, impembo y'impembo y'umushongi yari iryoshe cane, kandi n'umusozo wanje yaboneka nk'ukurakura mu gihimba c'ipampa.",Escribe None,negative
262,"Iyo mpembo yahavuye imera nk'iy'umusozo, impembo y'impembo y'umushongi yari iryoshe cane, kandi n'umusozo wanje yaboneka nk'ukurakura mu gihimba c'ipampa.",Nutrizione,negative
266,"Sinigeze nsubira mu buzima bwanje, ariko nari nkwiye kuvyifatamwo gusa, kandi n'umuhagarikira yaranyiseguye.",Musubiri Waiter,negative
268,"Sinigeze nsubira mu buzima bwanje, ariko nari nkwiye kuvyifatamwo gusa, kandi n'umuhagarikira yaranyiseguye.",Nutrizione,negative
270,"Isabune ni nziza cane, isabune yanje yama iryoshe kandi iryoshe.",soho soho,positive
273,"Isabune ni nziza cane, isabune yanje yama iryoshe kandi iryoshe.",Ahumada,positive
276,Jewe ico novuga n'ico novuga n'uko nta muntu n'umwe nigeze ngira amahirwe yo kuja mu makoraniro y'i 2018.,Cookie none,negative
278,Jewe ico novuga n'ico novuga n'uko nta muntu n'umwe nigeze ngira amahirwe yo kuja mu makoraniro y'i 2018.,amahirwe cookies,negative
281,"13.10.2016 à 10:25 à 25:23) Ni nk'umucandaji w'umusozo w'umucandaji, ariko si vyinshi vyo kuraba, ariko iyo pizza ni yo nja kurondera.",Pizza None,positive
284,"Issho ni iy'umusozo, umusozo ni mwiza kandi ni mwiza.",sashika shika,positive
288,"Issho ni iy'umusozo, umusozo ni mwiza kandi ni mwiza.",Shoba Shoba,positive
292,"Ariko rero, nimba ukunda ibintu vy'inkorano canke ibishobishobisho vy'abantu benshi, ushobora kuba utari kumwe na Nick na Joe.",Nusi Nusi Nusu,negative
294,"Ariko rero, nimba ukunda ibintu vy'inkorano canke ibishobishobisho vy'abantu benshi, ushobora kuba utari kumwe na Nick na Joe.",Slices None,negative
296,"Gufungura ni vyiza cane (sinduhije cane mu ma resitora), kandi ikirere ni ciza cane.",Ikirere,positive
300,"Gufungura ni vyiza cane (sinduhije cane mu ma resitora), kandi ikirere ni ciza cane.",Guhitamwo imfungurwa,positive
304,"Iryo higanwa rizohinduka mu gihe c'ici, rirerekana ingaruka z'akarere canke mpuzamakungu.",menu none,neutral
307,"Ndakunda abantu bose batobato nka bamwe mu banyeshure b'i Bujumbura, ariko bategerezwa guca intege abo bose bashoboye kuja mu mashirahamwe atandukanye n'akaranga k'igihugu, kubera ibikorwa vyabo vy'ubuhinyanyuzi.",Gurisha abantu,negative
310,"Ndakunda abantu bose batobato nka bamwe mu banyeshure b'i Bujumbura, ariko bategerezwa guca intege abo bose bashoboye kuja mu mashirahamwe atandukanye n'akaranga k'igihugu, kubera ibikorwa vyabo vy'ubuhinyanyuzi.",Ahumada,negative
313,"Maze kunyigurira, nasanze ata n'umwe yampa ibifungurwa vyanje.",Pie None None,neutral
315,"Maze kunyigurira, nasanze ata n'umwe yampa ibifungurwa vyanje.",Nusis Nusi,neutral
317,"Mu gihe nari nsavye umukuru w'igihugu ko yogira ikiringo ca gatatu c'umukuru w'igihugu... So so, go, rude pie company.",Persona ishikawa,neutral
319,"Mu gihe nari nsavye umukuru w'igihugu ko yogira ikiringo ca gatatu c'umukuru w'igihugu... So so, go, rude pie company.",kubera fork,neutral
321,"Igitangaje ni uko umukate ari mwiza, kandi umukate ni mwiza cane.",Eshika Eshika,positive
325,"Igitangaje ni uko umukate ari mwiza, kandi umukate ni mwiza cane.",Nutrizione,positive
329,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa (ibifungurwa biteye ubwoba), hamwe n'abadandaza, benshi muri bo usanga ari abagwanyi b'urudubi, cane cane abagwayi (ibiziga bishobibishobiobibiobio",Umukiriya,negative
333,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa (ibifungurwa biteye ubwoba), hamwe n'abadandaza, benshi muri bo usanga ari abagwanyi b'urudubi, cane cane abagwayi (ibiziga bishobibishobiobibiobio",Baritons Baritons,negative
337,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa (ibifungurwa biteye ubwoba), hamwe n'abadandaza, benshi muri bo usanga ari abagwanyi b'urudubi, cane cane abagwayi (ibiziga bishobibishobiobibiobio",Nutrizione Nutrizione,positive
339,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa (ibifungurwa biteye ubwoba), hamwe n'abadandaza, benshi muri bo usanga ari abagwanyi b'urudubi, cane cane abagwayi (ibiziga bishobibishobiobibiobio",Ahumada,negative
343,"Ariko rero, ico gikorwa ni kimwe canke bibiri biri munsi y'ibifungurwa (ibifungurwa biteye ubwoba), hamwe n'abadandaza, benshi muri bo usanga ari abagwanyi b'urudubi, cane cane abagwayi (ibiziga bishobibishobiobibiobio",umukozi,negative
347,Eko no yoru ni irunda yoru ni irunda yo!,Yellowfin Tuna,positive
350,Eko no yoru ni irunda yoru ni irunda yo!,Calf None Liver None,positive
353,"Nari naragiye mu bibanza vy'amakoraniro, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki, nca nja mu karuhuko k'ipikipiki.",Hibiscus Lemonade None None,positive
357,"Nari naragiye mu bibanza vy'amakoraniro, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki, nca nja mu karuhuko k'ipikipiki.",Icaro,positive
361,"Nari naragiye mu bibanza vy'amakoraniro, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki yanje, nca nja mu karuhuko k'ipikipiki, nca nja mu karuhuko k'ipikipiki.",Tacos Intake Intake,positive
365,"Ivyo bishasha ni vyiza cane, kuva ku bitsindo vyoroshe vya Carinthia cheese ravioli hamwe n'inyosha y'ishushe y'ishushe ya caviar- caviar- caviar, gihuye neza n'isabune ya spinach-vodka.",savya svyarvya svyas,positive
367,"Ivyo bishasha ni vyiza cane, kuva ku bitsindo vyoroshe vya Carinthia cheese ravioli hamwe n'inyosha y'ishushe y'ishushe ya caviar- caviar- caviar, gihuye neza n'isabune ya spinach-vodka.",candy cane vodka vodka,positive
371,"Ivyo bishasha ni vyiza cane, kuva ku bitsindo vyoroshe vya Carinthia cheese ravioli hamwe n'inyosha y'ishushe y'ishushe ya caviar- caviar- caviar, gihuye neza n'isabune ya spinach-vodka.",Hahahahahahahaha cheese ravioli with wild mushrooms,positive
375,10.10.2016 2016 10 1 00 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0,Candy cane Gras Brulee,neutral
377,10.10.2016 2016 10 1 00 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0,Menus Swimwear,neutral
380,NTA KINTU NA KIMWE KIDASANZWE KIRI MURI IYI RESITORA Y'U RWANDA/U BUFARANSA,SERIVISI,positive
383,Grass yari umuntu w'inyanka kandi w'inyanka.,Gras Gras None None,positive
386,N'umuvyeyi w'abana b'abakobwa,Duck Confitte None None,positive
389,"10.10.2016 Umutima wawe ni mwiza cane, iyo utari umunyamwema canke w'umunyamwema....... Mu mpera z'ino ndwi twaraye turangije, twaraye duhimbaza umusi mukuru w'inkino. - JMT mu mpera z'indwi iheze.",Rindira Staff,positive
393,"10.10.2016 Umutima wawe ni mwiza cane, iyo utari umunyamwema canke w'umunyamwema....... Mu mpera z'ino ndwi twaraye turangije, twaraye duhimbaza umusi mukuru w'inkino. - JMT mu mpera z'indwi iheze.",kuriya,positive
397,Ndahanura umwe wese muri bo mu bifungurwa vya salo......,Salmon Aburi Nigiri,positive
400,"Ibifungurwa vyari biryoshe cane, ariko ico gikorwa cari giteye ubwoba!",Ahumada,negative
404,"Ibifungurwa vyari biryoshe cane, ariko ico gikorwa cari giteye ubwoba!",Nutrizione,positive
408,Abo banyeshure babiri basa n'abaciye mu mabarabara.,Njabi njaki,negative
410,Iyo horosho ni horosho ni horosho (2000) na 20088888888888888888888888888888888888888888888,Ahumada,negative
413,"Mu bihe vy'amahoteli, usanga hari ibifungurwa vy'umurengera, kandi ibifungurwa biguma bikwegakwega cane.",Mezamako,negative
416,"Niwaba uriko urafungura, uce ufyonda kuri taxi hanyuma uce ufyondako iminota 10 y'inyongera kugira ujane n'iminota 10 y'inyongera.",Pre-show meal none,neutral
418,"sahaja yok... Nutrizione, Nutrizione ... Abakiranyi b'ubuntu n'ikigongwe,",Ikirere,positive
420,"sahaja yok... Nutrizione, Nutrizione ... Abakiranyi b'ubuntu n'ikigongwe,",gabigabi,positive
423,"sahaja yok... Nutrizione, Nutrizione ... Abakiranyi b'ubuntu n'ikigongwe,",Nutrizione,positive
425,Iryo jwi ryari ryiza cane ariko rifise inkomezi kandi ryumvikana.,Ambiance None,positive
428,"Ariko kubera ko twari dufise ivyo dufungura, twarababajwe cane n'ivyo gufungura.",Nutrizione,negative
431,Ndasavye ko umucanwa w'ishurwe w'umushobi,codfish codfish codfish,positive
434,Ndasavye ko umucanwa w'ishurwe w'umushobi,Divya Disha,positive
437,nak nye ciye,Shrimp Creole None None,positive
440,Imfungurwa z'inkoko zari nziza cane.,Intake Chicken Dinner,positive
443,"Ariko rero, gufungura vyari biryoshe.",Nutrizione,positive
446,Jaja ja,Ikiro,neutral
449,Imfungurwa z'ibifungurwa nka salade y'ibiterwa vy'ivyamwa vy'ivyamwa vy'ibiterwa vy'imbuto z,bistro swimwear menu,neutral
453,Imfungurwa z'ibifungurwa nka salade y'ibiterwa vy'ivyamwa vy'ivyamwa vy'ibiterwa vy'imbuto z,Ekode Eko,positive
457,Imfungurwa z'ibifungurwa nka salade y'ibiterwa vy'ivyamwa vy'ivyamwa vy'ibiterwa vy'imbuto z,Esha Esha,positive
461,Imfungurwa z'ibifungurwa nka salade y'ibiterwa vy'ivyamwa vy'ivyamwa vy'ibiterwa vy'imbuto z,Anata no yoru ni narenai yoru no kasu wo sagasu,positive
465,E-e,Desserts Swimwear,positive
469,E-e,Eshika Tart,positive
473,E-e,ivye brulee,positive
477,"Mu mpera z'ino ndwi twaraye turangije, imbere y'uko tuja mu ndyane z'abantu!",kuriya,positive
480,Nari naramaze igihe nibagira ukuntu yehova ashobora kuba aryoshe.,crepes none none,positive
483,"Mu bisanzwe, ibifungurwa biryoshe cane, biraryoshe kandi biraryoshe.",Nutrizione,positive
486,Abarya ibifungurwa baca bashiramwo imfungurwa z'ibifungurwa canke bagaca bavyihereza mu ndyane.,Salade None,positive
488,Abarya ibifungurwa baca bashiramwo imfungurwa z'ibifungurwa canke bagaca bavyihereza mu ndyane.,Umutobe w'imbaho,positive
490,"Creamy appetizers - taramasalata, salade y'amagi, na yogurt y'ikigiriki (hamwe na cuccumber, dill, n'i garlic) biryoha neza iyo ku pita zishushe.",Taramasalata None,positive
494,"Creamy appetizers - taramasalata, salade y'amagi, na yogurt y'ikigiriki (hamwe na cuccumber, dill, n'i garlic) biryoha neza iyo ku pita zishushe.",Creamy Appetizers None,positive
498,"Creamy appetizers - taramasalata, salade y'amagi, na yogurt y'ikigiriki (hamwe na cuccumber, dill, n'i garlic) biryoha neza iyo ku pita zishushe.","Yogurt Greco (with cuccumber, dill, na garlic)",positive
500,"Creamy appetizers - taramasalata, salade y'amagi, na yogurt y'ikigiriki (hamwe na cuccumber, dill, n'i garlic) biryoha neza iyo ku pita zishushe.",Pitas Eshika,neutral
504,"Creamy appetizers - taramasalata, salade y'amagi, na yogurt y'ikigiriki (hamwe na cuccumber, dill, n'i garlic) biryoha neza iyo ku pita zishushe.",Eggplant Salad None None,positive
508,Kubera ko abarovyi bategerezwa kugira amahinduka akomeye.,Barovyi waiters,negative
510,"Abo bazungu bama bashangashiwe, mbere n'abahora bikengera.",Barovyi waiters,negative
513,"Vyongeye, niwame uja ku makoraniro y'Ivyabona vya Yehova, umenye ko akazi kabo katari koroshe.",Barovyi waiters,negative
516,"Nahavuye ndyohera, nca nsubira kuyaga, nca nsubira kuyaga.",Ahumada,negative
519,Ni imfungurwa zoroshe kandi zoroshe.,Nutri Italiano,positive
522,"Ni vyiza gufungura gusa, nta kindi turondera atari ico gusa!",Nutrizione,positive
525,"Uru rutonde rw'umuvinyu ni rwinshi, rufise igiciro kinini kandi kagira n'intara nyinshi.",Urutonde rw'umuvinyu,positive
529,"Uru rutonde rw'umuvinyu ni rwinshi, rufise igiciro kinini kandi kagira n'intara nyinshi.",Qiavya Price,positive
533,Bonne nouvelle bonne nouvelle bonne nuit.,Divya Vinka,positive
537,Bonne nouvelle bonne nouvelle bonne nuit.,Nutrizione,positive
541,"Ndakunda birya biribwa n'ivyubahiro vyatanzwe, n'abakozi b'umutima mwiza kandi b'abanyamwete.",umukozi,positive
544,"Ndakunda birya biribwa n'ivyubahiro vyatanzwe, n'abakozi b'umutima mwiza kandi b'abanyamwete.",Nutrizione,positive
547,"Ivyo bifungurwa vyari biryoshe cane, kandi ico gikorwa cari gito cane.",Nutrizione,neutral
551,"Ivyo bifungurwa vyari biryoshe cane, kandi ico gikorwa cari gito cane.",Ahumada,negative
555,Ivyigwa vyadusavye amasaha abiri n'igice kugira dusukure.,IshikaWawa Courses,neutral
557,Ivyigwa vyadusavye amasaha abiri n'igice kugira dusukure.,Nusom,negative
559,"Twaciye duhereza agacupa k'umuvinyu, turaheza turarya, tukariha imbere y'uko umuvinyu ushika.",Icupa ry'umuvinyu,neutral
561,Intebe y'umwogote nari nicaye nta co nari mfise.,Ku ntebe y'ubushozi,negative
564,"Uwo munyeshure yarafise umutima mwiza, kandi birateye isoni kubona ata n'umwe akorana n'abandi.",umukozi,negative
566,"Uwo munyeshure yarafise umutima mwiza, kandi birateye isoni kubona ata n'umwe akorana n'abandi.",Musubiri Waiter,positive
569,nigahe nigahee,Prix Prix Fixe None,neutral
571,"Vyongeye, uwo mupfasoni yari atonze kandi yari umuntu w'urupfasoni.",Rindira Staff,positive
574,Ikarita y'umukino wa 2018 ya 2019 ya 2019 ya 2018 irerekana uburyo bwiza bwo gutwara abagenzi.,portigale camahe karte,positive
578,Ikarita y'umukino wa 2018 ya 2019 ya 2019 ya 2018 irerekana uburyo bwiza bwo gutwara abagenzi.,Port None None,positive
582,"Naho vyari binini cane kandi vyari biryoshe, ibinyobwa vyari biryoshe cane, kandi ivyo bifungurwa vyari biryoshe cane.",vyara to ega,positive
586,"Naho vyari binini cane kandi vyari biryoshe, ibinyobwa vyari biryoshe cane, kandi ivyo bifungurwa vyari biryoshe cane.",Nutrizione,positive
590,Ibiciro ntibiteye ubwoba.,Ibiciro,positive
593,"Uwo muvukanyi yari ahimbawe cane, kandi arafise ibintu vyinshi vyo guhimbaza umusi mukuru w'ivuka.",Ahumada,positive
596,"Ikindi gihe naragiye mw'ijuru ry'urukundo, urashobora kugenda uronka indaro mu madirisha, ugafatwa nka VIP ahantu hadafise abantu benshi, hamwe n'imfungurwa nyinshi n'umurimo.",Ahumada,positive
600,"Ikindi gihe naragiye mw'ijuru ry'urukundo, urashobora kugenda uronka indaro mu madirisha, ugafatwa nka VIP ahantu hadafise abantu benshi, hamwe n'imfungurwa nyinshi n'umurimo.",Nutrizione,positive
604,"Ikindi gihe naragiye mw'ijuru ry'urukundo, urashobora kugenda uronka indaro mu madirisha, ugafatwa nka VIP ahantu hadafise abantu benshi, hamwe n'imfungurwa nyinshi n'umurimo.",nyoba windows nya,neutral
606,"Ikindi gihe naragiye mw'ijuru ry'urukundo, urashobora kugenda uronka indaro mu madirisha, ugafatwa nka VIP ahantu hadafise abantu benshi, hamwe n'imfungurwa nyinshi n'umurimo.",Icaro,positive
610,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Cheese None None,positive
