,lug,aspect,polarities
82,"Awatali kubuusabuusa gezaako calamari, buli pasta, oba Sliced steak entrée.",pasta,positive
85,"Awatali kubuusabuusa gezaako calamari, buli pasta, oba Sliced steak entrée.",Steak entrée,positive
88,"Okuviira ddala ku ntandikwa, twasisinkana abakozi ba memebers ab'omukwano, era okuyimirizaawo emmotoka ku Chelsea Piers kyatuyamba okutuuka ku lyato.",Kino,positive
92,"Okuviira ddala ku ntandikwa, twasisinkana abakozi ba memebers ab'omukwano, era okuyimirizaawo emmotoka ku Chelsea Piers kyatuyamba okutuuka ku lyato.",bye bye memebers,positive
96,"Oluvannyuma lw'okugenda ku mmeeri, emmere ey'oku ntikko n'eby'okwesanyusaamu ebya bulijjo byatutunda ku kawungeezi akatayinza kwerabirwa.",bye bye live entertainment,positive
99,"Oluvannyuma lw'okugenda ku mmeeri, emmere ey'oku ntikko n'eby'okwesanyusaamu ebya bulijjo byatutunda ku kawungeezi akatayinza kwerabirwa.",Emmere,positive
102,Buli lwe nneesanga mu kitundu nja kugenda mu Sushi Rose okugula sushi n'ebitundu ebinene byonna ku bbeeyi entuufu.,GABA,positive
106,Buli lwe nneesanga mu kitundu nja kugenda mu Sushi Rose okugula sushi n'ebitundu ebinene byonna ku bbeeyi entuufu.,Bbeeyi,positive
110,Buli lwe nneesanga mu kitundu nja kugenda mu Sushi Rose okugula sushi n'ebitundu ebinene byonna ku bbeeyi entuufu.,Sushi,positive
114,ssupu ya mushroom barley yeewuunyisa.,mushroom barley soup,positive
117,Nalya ekyeggulo wano ku Lwokutaano era emmere yali nnungi nnyo.,Bye bye dinner,neutral
119,Nalya ekyeggulo wano ku Lwokutaano era emmere yali nnungi nnyo.,Emmere,positive
122,Oluvannyuma lw'okulya ekyeggulo nawulira ennyimba nga zikuba ne nkizuula nti wansi waliwo loogi.,Kino,neutral
124,Oluvannyuma lw'okulya ekyeggulo nawulira ennyimba nga zikuba ne nkizuula nti wansi waliwo loogi.,Bye bye dinner,neutral
126,Oluvannyuma lw'okulya ekyeggulo nawulira ennyimba nga zikuba ne nkizuula nti wansi waliwo loogi.,buli,neutral
128,"Emmere yali nnungi, yali eweerezebwa mu bwangu, era yali ya bbeeyi nnungi. ",Kolawole,positive
132,"Emmere yali nnungi, yali eweerezebwa mu bwangu, era yali ya bbeeyi nnungi. ",Bbeeyi,positive
136,"Emmere yali nnungi, yali eweerezebwa mu bwangu, era yali ya bbeeyi nnungi. ",Emmere,positive
140,Pasta primavera de çok yeni veggies vardı.,bye bye fresh veggies,positive
144,Pasta primavera de çok yeni veggies vardı.,pasta primavera,positive
148,"Eky'ennaku, ne tikiti zaffe ez'okulaga, tetwalina budde bwa kulya bya desserts.",desserts,neutral
150,"Bw'oba oli mu kitundu, mazima ddala yimirira okulya emmere ennungi.",Alya,positive
153,"Oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa esukka mu emu, bwe bakugamba nti kijja kuba ddakiika 20-30, maneja n'agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa by'obadde osasula?",Linda,negative
155,"Oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa esukka mu emu, bwe bakugamba nti kijja kuba ddakiika 20-30, maneja n'agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa by'obadde osasula?",Bartender,neutral
157,"Oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa esukka mu emu, bwe bakugamba nti kijja kuba ddakiika 20-30, maneja n'agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa by'obadde osasula?",Maneja,negative
159,"Oyinza okukkiriza nti bw'oba weemulugunya ku ssaawa esukka mu emu, bwe bakugamba nti kijja kuba ddakiika 20-30, maneja n'agamba omusuubuzi w'omu bbaala okuyiwa ebyokunywa by'obadde osasula?",bye bye drinks,neutral
161,"Ekyo kyaliwo olw'okuba waliwo maneja atalina kisa n'omusuubuzi w'omu bbaala omukambwe eyali atulinda eddakiika 20 okunywa omwenge, n'oluvannyuma n'atugamba okukkakkana.",Maneja,negative
165,"Ekyo kyaliwo olw'okuba waliwo maneja atalina kisa n'omusuubuzi w'omu bbaala omukambwe eyali atulinda eddakiika 20 okunywa omwenge, n'oluvannyuma n'atugamba okukkakkana.",Bartender,negative
169,"Ekyo kyaliwo olw'okuba waliwo maneja atalina kisa n'omusuubuzi w'omu bbaala omukambwe eyali atulinda eddakiika 20 okunywa omwenge, n'oluvannyuma n'atugamba okukkakkana.",Linda,negative
173,"Ekyo kyaliwo olw'okuba waliwo maneja atalina kisa n'omusuubuzi w'omu bbaala omukambwe eyali atulinda eddakiika 20 okunywa omwenge, n'oluvannyuma n'atugamba okukkakkana.",bye bye drinks,neutral
177,"Temutawaanya - ebyokunywa byali bibi nnyo, naye abantu abakolera eyo be baafuula ddala kino okuba ekizibu ennyo mu kulya.",bye bye drinks,negative
181,"Temutawaanya - ebyokunywa byali bibi nnyo, naye abantu abakolera eyo be baafuula ddala kino okuba ekizibu ennyo mu kulya.",Dining,negative
185,"Temutawaanya - ebyokunywa byali bibi nnyo, naye abantu abakolera eyo be baafuula ddala kino okuba ekizibu ennyo mu kulya.",Abantu,negative
189,"Buli akola eyo (omugenzi, omusuubuzi w'omu bbaala, abaweereza) ayamba nnyo.",kino,positive
192,"Buli akola eyo (omugenzi, omusuubuzi w'omu bbaala, abaweereza) ayamba nnyo.",Bartender,positive
195,"Buli akola eyo (omugenzi, omusuubuzi w'omu bbaala, abaweereza) ayamba nnyo.",Servers,positive
198,Ve yemek harika.,Emmere,positive
201,Ebintu bye baagala ennyo mulimu: ennyaanya spinach gnocchi n'omwana gw'endiga.,Omwana gw'endiga,positive
204,Ebintu bye baagala ennyo mulimu: ennyaanya spinach gnocchi n'omwana gw'endiga.,potato spinach gnocchi,positive
207,Ekitundu ky'enkoko n'olusozi lw'omuceere n'ebijanjaalo ku doola 6.25.,Mpunga,neutral
209,Ekitundu ky'enkoko n'olusozi lw'omuceere n'ebijanjaalo ku doola 6.25.,Kooko,neutral
211,Ekitundu ky'enkoko n'olusozi lw'omuceere n'ebijanjaalo ku doola 6.25.,bye bye beans,neutral
213,Obuweereza buno bulungi nnyo era buli kiseera busomesa awatali mpewo.,Kolawole,positive
216,Gerçekten geri dönerdim-- yalnız bu exotic martini'ler için blackboard'da.,Martinis,positive
219,Obutabeera na AC n'okuba nti waliwo emirambo egiwera obukadde (wadde nga buli omu wa mpisa ate nga tewali amunyigiriza) kiba kikooyi.,AC,negative
222,"Kyokka, waliwo ekintu ekirungi ennyo mu kubeera ebweru, mu kutambula okw'amaanyi, okunyumirwa omwenge ogufuula okugenda mu kifo kino okuba eky'omugaso.",Kifo,positive
224,"Kyokka, waliwo ekintu ekirungi ennyo mu kubeera ebweru, mu kutambula okw'amaanyi, okunyumirwa omwenge ogufuula okugenda mu kifo kino okuba eky'omugaso.",ebweru,positive
228,"Kyokka, waliwo ekintu ekirungi ennyo mu kubeera ebweru, mu kutambula okw'amaanyi, okunyumirwa omwenge ogufuula okugenda mu kifo kino okuba eky'omugaso.",bye bye casual drink,positive
232,Saagendayo kulya n'olwekyo sisobola kuddamu.,Emmere,neutral
234,A con was the slow bar service.,Bar Service,negative
237,Nze ne mikwano gyange tuyimirira wano ne tukuba pizza nga tetunnakuba firimu ya Kips Bay.,Pizza,neutral
239,Buli kiseera tunyumirwa pizza.,Pizza,positive
242,Bu hizmet oldukça iyi.,Kolawole,positive
245,"Okwemulugunya kwa mirundi ebiri- okulonda kwabwe okw'ebirungo (appetizer selection) kuwunya, kyandibadde kirungi okufuna emiggo gya mozzarella ku menyu.",mozzarella,neutral
247,"Okwemulugunya kwa mirundi ebiri- okulonda kwabwe okw'ebirungo (appetizer selection) kuwunya, kyandibadde kirungi okufuna emiggo gya mozzarella ku menyu.",menyu,negative
249,"Okwemulugunya kwa mirundi ebiri- okulonda kwabwe okw'ebirungo (appetizer selection) kuwunya, kyandibadde kirungi okufuna emiggo gya mozzarella ku menyu.",appetizer selection,negative
252,"The unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",disco pop duo,negative
256,"The unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",Ekitangaala,negative
260,"The unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",escargot,negative
262,"The unattractive lights made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",Emmere,negative
266,Mu bulamu bwange siddangamu kuddiza mmere wabula nnalina okugizzaayo era omuweereza n'akaayana nange ku nsonga eno.,omuweereza,negative
268,Mu bulamu bwange siddangamu kuddiza mmere wabula nnalina okugizzaayo era omuweereza n'akaayana nange ku nsonga eno.,Emmere,negative
270,"Obuweereza bungi, ssupu wange bulijjo atuuka bulungi ate ng'abuguma.",soup,positive
273,"Obuweereza bungi, ssupu wange bulijjo atuuka bulungi ate ng'abuguma.",Kolawole,positive
276,Okwemulugunya kwange kwokka kuyinza okuba nga kwa fortune cookies - Sifunangako keeki ya kulagula mukisa mubi nga sinnakyalira Kar.,Kino,negative
278,Okwemulugunya kwange kwokka kuyinza okuba nga kwa fortune cookies - Sifunangako keeki ya kulagula mukisa mubi nga sinnakyalira Kar.,Bye bye fortune cookies,negative
281,"Bu basit bir pizza joint, çok fazla göz atıp, fakat pizza ben gidecek.",Pizza,positive
284,Ssowaani ya zesty ate ewooma ate nga n'ekirungo kiba kirungi ate nga kirungi.,crust,positive
288,Ssowaani ya zesty ate ewooma ate nga n'ekirungo kiba kirungi ate nga kirungi.,ssubi,positive
292,Mu ngeri y'emu bw'oba oyagala nnyo ebinyeebwa ebitonotono oba ebikoola ebinene olwo Nick ne Joe's biyinza obutaba by'oyagala.,thin crust,negative
294,Mu ngeri y'emu bw'oba oyagala nnyo ebinyeebwa ebitonotono oba ebikoola ebinene olwo Nick ne Joe's biyinza obutaba by'oyagala.,ssweeta,negative
296,"Okulonda emmere kirungi nnyo (simanyidde kubeera na bingi bye nsalawo mu wooteeri), era embeera nnungi.",atmosfer,positive
300,"Okulonda emmere kirungi nnyo (simanyidde kubeera na bingi bye nsalawo mu wooteeri), era embeera nnungi.",Okulonda emmere,positive
304,"Menyu, ekyuka buli sizoni, eraga ebitundu n'ensi yonna.",menyu,neutral
307,"Njagala nnyo kkampuni ya Little Pie nga n'omuntu omulala yenna eyawandiise ebirowoozo, naye ateekwa okuziyiza omuntu yenna okugenda mu kifo kya Grand Central olw'obuweereza bwabwe obw'obukambwe okuva mu bantu babiri abatunda.",bye bye sales people,negative
310,"Njagala nnyo kkampuni ya Little Pie nga n'omuntu omulala yenna eyawandiise ebirowoozo, naye ateekwa okuziyiza omuntu yenna okugenda mu kifo kya Grand Central olw'obuweereza bwabwe obw'obukambwe okuva mu bantu babiri abatunda.",Kolawole,negative
313,"Oluvannyuma lw'okusasula ssente ze nnagula, nnakiraba nti baali tebampa byakulya nsobole okulya pie yange.",buli,neutral
315,"Oluvannyuma lw'okusasula ssente ze nnagula, nnakiraba nti baali tebampa byakulya nsobole okulya pie yange.",utensils,neutral
317,Nnalina okukuba bendera ku muntu ow'okusatu olw'omuggo... so now it's bye bye Little RUDE Pie Company.,staff person bye bye,neutral
319,Nnalina okukuba bendera ku muntu ow'okusatu olw'omuggo... so now it's bye bye Little RUDE Pie Company.,Kooki,neutral
321,Ekyewuunyisa emmere nnungi nnyo ate nga n'eby'okulya birungi.,décor,positive
325,Ekyewuunyisa emmere nnungi nnyo ate nga n'eby'okulya birungi.,Emmere,positive
329,"Kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) nga batwalibwa mu kivvulu kya AC/DC oba omupiira gwa Knicks.",bakasitoma,negative
333,"Kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) nga batwalibwa mu kivvulu kya AC/DC oba omupiira gwa Knicks.",bartenders bye bye,negative
337,"Kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) nga batwalibwa mu kivvulu kya AC/DC oba omupiira gwa Knicks.",Omutindo gw'emmere,positive
339,"Kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) nga batwalibwa mu kivvulu kya AC/DC oba omupiira gwa Knicks.",Kolawole,negative
343,"Kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (abasuubuzi b'omu bbaala ab'entiisa), era bakasitoma, mu ngeri ey'enjawulo, ba bodaboda, abatambulira mu ddoboozi ery'omwanguka (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) nga batwalibwa mu kivvulu kya AC/DC oba omupiira gwa Knicks.",abakozi,negative
347,Yellowfin Tuna n'ekibumba ky'ennyana bye nsinga okwagala!,Yellowfin Tuna,positive
350,Yellowfin Tuna n'ekibumba ky'ennyana bye nsinga okwagala!,bye bye calf's liver,positive
353,"Nali ku mulimu gw'okuwozesa emisango, ne nvuga eggaali yange ku Centre Street mu luwummula lwange olw'ekyemisana ne nsanga ekifo kino ekinene ekirimu taco z'enkoko ez'ekitalo ne Hibiscus lemonade.",Hibiscus lemonade,positive
357,"Nali ku mulimu gw'okuwozesa emisango, ne nvuga eggaali yange ku Centre Street mu luwummula lwange olw'ekyemisana ne nsanga ekifo kino ekinene ekirimu taco z'enkoko ez'ekitalo ne Hibiscus lemonade.",Kifo,positive
361,"Nali ku mulimu gw'okuwozesa emisango, ne nvuga eggaali yange ku Centre Street mu luwummula lwange olw'ekyemisana ne nsanga ekifo kino ekinene ekirimu taco z'enkoko ez'ekitalo ne Hibiscus lemonade.",tacos,positive
365,"Obupya bwe butyo bwe bukakasibwa, okuva ku Carinthia cheese ravioli ennyangu n'ennyaanya ez'omu nsiko okutuuka ku sturgeon eya caviar-topped, ekwatagana bulungi n'omubisi gwa spinach-vodka ogwa kiragala.",bye bye topped sturgeon,positive
367,"Obupya bwe butyo bwe bukakasibwa, okuva ku Carinthia cheese ravioli ennyangu n'ennyaanya ez'omu nsiko okutuuka ku sturgeon eya caviar-topped, ekwatagana bulungi n'omubisi gwa spinach-vodka ogwa kiragala.",green spinach-vodka sauce,positive
371,"Obupya bwe butyo bwe bukakasibwa, okuva ku Carinthia cheese ravioli ennyangu n'ennyaanya ez'omu nsiko okutuuka ku sturgeon eya caviar-topped, ekwatagana bulungi n'omubisi gwa spinach-vodka ogwa kiragala.",Carinthia cheese ravioli,positive
375,"Menyu zirimu ebika bya seasonal picks, nga sweet corn-foie gras brulee.",sweet corn-foie gras brulee,neutral
377,"Menyu zirimu ebika bya seasonal picks, nga sweet corn-foie gras brulee.",Menyu,neutral
380,THE SERVICE IS PERFECT TOO NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,OBUWEEREZA,positive
383,The foie gras was sweet and luscious.,foie gras,positive
386,"My gf's duck confitte was very strong as well, though I have little base of reference.",bye bye confitte,positive
389,"abakozi abalinda omukwano nnyo, bwe kiba nti tolina bukambwe oba okulonda....... emmere yaffe ku Leon wiikendi ewedde yali nnungi nnyo -.",Linda abakozi,positive
393,"abakozi abalinda omukwano nnyo, bwe kiba nti tolina bukambwe oba okulonda....... emmere yaffe ku Leon wiikendi ewedde yali nnungi nnyo -.",Alya,positive
397,Nkubiriza okulya emmere yaabwe eya salmon......,Salmon dishes,positive
400,Ebyokulya bingi naye obuweereza bwali bwa ntiisa!,Kolawole,negative
404,Ebyokulya bingi naye obuweereza bwali bwa ntiisa!,Emmere,positive
408,aba wooteeri ababiri baali balabika nga bwe baabadde banywa ebijanjaalo.,bye bye waitress,negative
410,Obuweereza bwali bulwawo nnyo (ekifo kyali kitundu kyokka ekijjudde) era akamwenyumwenyu kandibadde kalungi...,Kolawole,negative
413,"Mu biseera eby'oku ntikko, wooteeri ebeeramu abantu bangi ate nga n'emmeeza teziba nnungi.",Meeza,negative
416,"Bw'oba oli wano ng'emmere eyasooka okulagibwa, yingira takisi n'otwala eddakiika endala 10 okugenda mu kifo ekya waggulu.",pre-show meal bye bye,neutral
418,buli - bye bye atmos... omusajja ow'ekisa era ow'ekisa.,atmosfer,positive
420,buli - bye bye atmos... omusajja ow'ekisa era ow'ekisa.,Abagenyi,positive
423,buli - bye bye atmos... omusajja ow'ekisa era ow'ekisa.,Emmere,positive
425,"The ambiance was fine, a little loud but still nice and romantic.",ambiance,positive
428,"Kyokka, olw'okuba twali twagala nnyo eby'okulya, twawulira bubi nnyo olw'emmere gye twali tulya.",Emmere,negative
431,"Nkubiriza ekyennyanja ekiyitibwa black roasted codfish, kye kyali ekisinga obulungi akawungeezi.",Black Codfish,positive
434,"Nkubiriza ekyennyanja ekiyitibwa black roasted codfish, kye kyali ekisinga obulungi akawungeezi.",kino,positive
437,Nalina omubisi gwa shrimp creole.,shrimp creole,positive
440,Ekijjulo ky'enkoko kyali kirungi ddala.,Yakisoba dinner,positive
443,naye emmere yali nnungi.,Emmere,positive
446,The space is traditional in feel.,Space,neutral
449,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on a otherwise predictable bistro menu.,bistro menu,neutral
453,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on a otherwise predictable bistro menu.,king crab salad with passion fruit vinaigrette,positive
457,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on a otherwise predictable bistro menu.,Eddoos,positive
461,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on a otherwise predictable bistro menu.,fettuccine with grilled sea fish in a rosemary-orange sauce,positive
465,Montparnasse's desserts-- especially the silken crème brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,desserts,positive
469,Montparnasse's desserts-- especially the silken crème brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,apple tart,positive
473,Montparnasse's desserts-- especially the silken crème brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,crème brulee,positive
477,Yalya nnyo eyo wiikendi eno nga tannagenda mu firimu!,Alya,positive
480,Kyali kimaze ekiseera era ne nneerabira engeri ebikoola gye biyinza okuba ebirungi.,crepes,positive
483,Ebyokulya- wadde ebisinga bya deep-fried- byangu era bimatiza.,Emmere,positive
486,Abantu abalya emmere ey'okulya banywerera ku saladi oba okulya emmere ey'ebijanjaalo.,saladi,positive
488,Abantu abalya emmere ey'okulya banywerera ku saladi oba okulya emmere ey'ebijanjaalo.,Ebikoola by'ebijanjaalo,positive
490,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",taramasalata,positive
494,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",Creamy appetizers,positive
498,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.","Yogurt (ne cuccumber, dill, ne garlic)",positive
500,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",bye bye hot pitas,neutral
504,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",saladi eggplant,positive
508,kubanga abaweereza beetaaga enkyukakyuka ez'amaanyi mu ATTITUE.,abalinda,negative
510,Abaweereza bulijjo balabika banyiivu ne batuuka n'okubuusa amaaso abazannyi baabwe aba bulijjo aba waggulu.,abalinda,negative
513,emirundi egiwera n'okugumiikiriza empisa embi ez'abaweereza nga bamanyi nti omulimu gwabwe si mwangu.,abalinda,negative
516,"Mu nkomerero, nnalwala olw'obuweereza obubi, okumwenya, n'okwogera obubi.",Kolawole,negative
519,"Bu traditional, basit İtalyan yemektir.",Bye bye Italian food,positive
522,"Kitegeeza mmere nnungi, tewali kisingawo era kye kyokka kye twagala!",Emmere,positive
525,"Olukalala lw'omwenge luwanvu nnyo, lwa bbeeyi nnungi era luli mu bitundu bingi.",Bye bye wine list,positive
529,"Olukalala lw'omwenge luwanvu nnyo, lwa bbeeyi nnungi era luli mu bitundu bingi.",gula,positive
533,Good food good wine that's it.,Vinyo,positive
537,Good food good wine that's it.,Emmere,positive
541,"Njagala nnyo ennyanguyirizi n'ekitiibwa ebyaweebwanga ku mmere, wamu n'abakozi baali ba mukwano era nga bamanyi.",abakozi,positive
544,"Njagala nnyo ennyanguyirizi n'ekitiibwa ebyaweebwanga ku mmere, wamu n'abakozi baali ba mukwano era nga bamanyi.",Emmere,positive
547,Ebyokulya byali bya buseere ate nga n'obuweereza bwali bulwawo nnyo.,Emmere,neutral
551,Ebyokulya byali bya buseere ate nga n'obuweereza bwali bulwawo nnyo.,Kolawole,negative
555,Kyatutwalira essaawa nga 2 n'ekitundu okuweerezebwa emisomo gyaffe 2.,Amasomo,neutral
557,Kyatutwalira essaawa nga 2 n'ekitundu okuweerezebwa emisomo gyaffe 2.,Amuweereze,negative
559,Twalagira omwenge ne tumaliriza okulya n'okusasula nga wayini tannajja.,giraasi ya wayini,neutral
561,Entebe ey'okuyiika gye nali ntudde teyali nnungi.,entebe,negative
564,Omuweereza waffe yali wa mukwano era kibi nnyo nti teyalina bakozi bamuwagira okukola nabo.,abakozi,negative
566,Omuweereza waffe yali wa mukwano era kibi nnyo nti teyalina bakozi bamuwagira okukola nabo.,omuweereza,positive
569,Nagenda ku wooteeri wiiki ne ngula ku prix fixe menu,prix fixe menu,neutral
571,Abakozi b'omu wooteeri baali bafaayo nnyo era nga ba mpisa.,Linda abakozi,positive
574,The skillfully selected Portuguese cheese cart paired with quality port provides the perfect Iberian end.,Bye bye Portuguese cheese cart,positive
578,The skillfully selected Portuguese cheese cart paired with quality port provides the perfect Iberian end.,Kooko,positive
582,"Wadde nga kyali kinene ate nga kikooya akaboozi, ebyokunywa byali birungi nnyo, era emmere yali nnungi nnyo.",bye bye drinks,positive
586,"Wadde nga kyali kinene ate nga kikooya akaboozi, ebyokunywa byali birungi nnyo, era emmere yali nnungi nnyo.",Emmere,positive
590,Emiwendo si gya ntiisa.,emiwendo,positive
593,"Obuweereza bwali bungi nnyo, era balina bingi nnyo ku mikolo gy'amazaalibwa.",Kolawole,positive
596,"Ebiseera ebirala bye mbadde ŋŋendako bya mukwano date eggulo, osobola okuyingira okufuna ekifo ekiri ku madirisa, okuyisibwa nga VIP mu kifo ekitaliimu bantu, n'emmere n'obuweereza obulungi.",Kolawole,positive
600,"Ebiseera ebirala bye mbadde ŋŋendako bya mukwano date eggulo, osobola okuyingira okufuna ekifo ekiri ku madirisa, okuyisibwa nga VIP mu kifo ekitaliimu bantu, n'emmere n'obuweereza obulungi.",Emmere,positive
604,"Ebiseera ebirala bye mbadde ŋŋendako bya mukwano date eggulo, osobola okuyingira okufuna ekifo ekiri ku madirisa, okuyisibwa nga VIP mu kifo ekitaliimu bantu, n'emmere n'obuweereza obulungi.",bye bye windows,neutral
606,"Ebiseera ebirala bye mbadde ŋŋendako bya mukwano date eggulo, osobola okuyingira okufuna ekifo ekiri ku madirisa, okuyisibwa nga VIP mu kifo ekitaliimu bantu, n'emmere n'obuweereza obulungi.",Kifo,positive
610,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",cheese,positive
613,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",Ebikoola ebipya,positive
