,am,aspect,polarities
54,አዲሱ ሜኑ ጥቂት የፈጠራ እቃዎች አሉት። ከድሮ ውደዶች ውስጥ የተወሰኑትን (ግን ሙሉ በሙሉ ዋጋቸውን ከፍ አደረጉ)፣ ሠራተኞቹ አብዛኛውን ጊዜ ተግባቢ ናቸው። ነገር ግን ስለሚወዱት ቃላታቸው ከጻፈው ሰው ጋር መስማማት አለብኝ። አይደለም፣ አይቻልም፣ ይቅርታ... ልጅ፣ ለማንም ደንቦቹን አይጎነጨፉም።,አዲስ ሜኑ,positive
90,ከጥንት ጀምሮ ጥሩ ያልሆኑ ሠራተኞች ያገኟቸው ቢሆንም በቼልሲ ፒርስ የነበረው ምቹ የመኪና ማቆሚያ ጀልባው ላይ ለመድረስ ቀላል እንዲሆንልን አድርጓል።,የመኪና ማቆሚያ,positive
94,ከጥንት ጀምሮ ተግባቢ የሆኑ ሠራተኞች ያገኟቸው ቢሆንም በቼልሲ ፒየልስ የነበረው የመኪና ማቆሚያ ግን በቀላሉ ወደ ጀልባው እንድንደርስ አደረገን።,የሠራተኞች ሜሜበር,positive
104,በማንኛውም ጊዜ እና በአካባቢው ስሆን ወደ ሱሺ ሮዝ እሄዳለሁ፣ ነገር ግን ሁሉንም ምክንያታዊ ባልሆነ ዋጋ እከፈላለሁ።,የተወሰኑ ክፍሎች,positive
108,በማንኛውም ጊዜ እና በአካባቢዬ ስሆን ወደ ሱሺ ሮዝ እሄዳለሁ፣ ነገር ግን ሁሉንም በተመጣጣኝ ዋጋ ብዙ አይደለም።,ዋጋ,positive
112,በማንኛውም ጊዜና በአካባቢዬ በምገኝበት ጊዜ ሁሉ አዲስ ሱሺ ለማግኘት ወደ ሱሺ ሮዝ እሄዳለሁ እንጂ ሁሉንም ምክንያታዊ ባልሆነ ዋጋ እከፈላለሁ ።,ሱሺ,positive
130,ምግቡ መጥፎ ነበር፤ አገልግሎቱም ፈጣን ቢሆንም ዋጋው ግን ምክንያታዊ አልነበረም።,አገልግሎት,positive
134,ምግቡ መጥፎ ከመሆኑም በላይ አገልግሎቱ ንፋስ ባይሆንም ዋጋው በጣም ምክንያታዊ ነበር ።,ዋጋ,positive
138,ምግቡ ጥሩ ነበር፤ አገልግሎቱ ምግቡ ፈጣን ባይሆንም ዋጋው ግን ምክንያታዊ አልነበረም።,ምግብ,positive
142,የፓስታ ፕሪማቬራም ቢሆን ጥሩ አልነበረም፤ ይሁን እንጂ ትኩስ አትክልቶቹ በጣም ግሩም ነበሩ።,አዲስ የተንደላቀቀ,positive
146,ፓስታ ፕሪማቬራ በጣም አስደናቂ እንጂ ብዙ ትኩስ አትክልቶች አልነበሩም።,ፓስታ ፕሪማቬራ,positive
163,ይህ የሆነው አንድ ግርማ ሞገስ የሌለው ሥራ አስኪያጅና አንድ የሲቪል ባርደር ለ20 ደቂቃ እንድንጠጣ ቢጠብቅንም እንድንቀዘቅዝ ነገረን ።,ሥራ አስኪያጅ,negative
167,ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅ ሳይሆን ለ20 ደቂቃ ያህል እንድንጠጣ ከጠበቀን በኋላ እንድንቀዘቅዝ በሚነግረን ጨካኝ ባርደር ምክንያት ነው ።,ባርቴንደር,negative
171,ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅና ጨዋነት በጎደለው አንድ ባርደር ምክንያት ሲሆን ይህ ሰው 20 ደቂቃ እንድንጠጣ ቢጠብቅንም እንድንቀዘቅዝ ነገረን ።,መጠባበቂያ,negative
175,ይህ የሆነው ግርማ ሞገስ በሌለው ሥራ አስኪያጅና ሙሉ በሙሉ አክብሮት በጎደለው አንድ ባርቴንደር ምክንያት ሲሆን ይህ ሰው 20 ደቂቃ እንድንጠጣ ካዘዘን በኋላ እንድንቀዘቅዝ ነገረን ።,መጠጦች,neutral
179,መጠጡ ፈጽሞ አትጨነቁ፤ ነገር ግን በመመገብ ረገድ ከሁሉ የተሻለ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ናቸው።,መጠጦች,negative
183,ፈጽሞ አትጨነቁ- መጠጡ ጥሩ ነበር፣ ነገር ግን በዚያ የሚሠሩት ሰዎች ይህንን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ አደረጉት።,ማዕድ,negative
187,ፈጽሞ አትጨነቁ - መጠጦቹ ጥሩ ነበሩ ፣ ነገር ግን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ነበሩ ።,ሰዎች,negative
226,ይሁን እንጂ፣ ወደዚህ ቦታ መሄድ ዋጋማ እንዲሆን የሚያደርገው በታላቅ መልክዓ ምድር ከቤት ውጭ መሆን በጣም ታላቅ የሆነ ነገር አለ፤ እንዲያውም አልፎ አልፎ መጠጣት ባያስደስተኝም እንኳ።,ከቤት ውጭ,positive
230,ይሁን እንጂ ከቤት ውጭ መሆን፣ በታላቅ የዓለማቀፍ አቀማመጥ፣ ወደዚህ ቦታ መሄድ ዋጋማ እንዲሆን የሚያደርግ አልፎ አልፎ መጠጣት ያን ያህል አስደሳች አይደለም።,ተራ መጠጥ,positive
254,ማራኪው መብራት ለመገጣጠም አነሳሳኝ፣ ምግቡ ከልክ ያለፈ ዋጋ አልነበረም፣ በጣም አስፈሪ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- ነገር ግን ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,ዲስኮ ፖፕ ዱዮ,negative
258,ማራኪ ያልሆነው መብራት ማሽኮርመም እንድፈልግ አደረገኝ፣ ምግቡ ከመጠን በላይ ዋጋ አልነበረም፣ በጣም ጥሩ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- ነገር ግን ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,መብራት,negative
264,ማራኪው መብራት ለመገጣጠም እንድፈልግ አደረገኝ፣ ምግቡ ከልክ ያለፈ ዋጋ ነበረው፣ በጣም ጥሩ የሆነ የዲስኮ ፖፕ ዱዮ ትርዒት ነበር- ነገር ግን ስካርጎቴ ከሳህኑ ላይ የሚንሸራተት ይመስል ነበር።,ምግብ,negative
286,ስጋው የሚጣፍጥና የሚጣፍጥ አይደለም፤ ይሁን እንጂ ስጋው ጥሩና የተቆራረጠ ነው።,የሸርጣን,positive
290,ስጋው ደስ የሚያሰኝ ቢሆንም ጣዕሙ ግን ጣፋጭ ከመሆኑም በላይ ሸርጣን መጥፎ እንጂ መጥፎ አይደለም።,ስጋ,positive
298,የምግብ ምርጫ ጥሩ አይደለም (በምግብ ቤቶች ውስጥ ብዙ ምርጫ ለማድረግ አልለመድኩም)፣ ነገር ግን ከባቢ አየር በጣም ጥሩ ነው።,ከባቢ አየር,positive
302,የምግብ ምርጫ በጣም ግሩም ነው (በምግብ ቤቶች ብዙ ምርጫ ለማድረግ አልለመድኩም)፣ ነገር ግን ከባቢ አየር ጥሩ አይደለም።,የምግብ ምርጫ,positive
323,ምግቡ በጣም መጥፎ ቢሆንም ጌጣጌጠኑ ጥሩ ነው።,décor,positive
327,ምግቡ በጣም ጥሩ ቢሆንም ጌጣጌጠኑ ግን መጥፎ ነው።,ምግብ,positive
331,ይህ አገልግሎት ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር አይደለም) በላይ አንድ ወይም ሁለት ፔግ ነው። ይሁን እንጂ ደንበኞቹ በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭነው የሚጫኑ ትግበራዎች ናቸው።,ደንበኛ,negative
335,አገልግሎቱ ግን ከምግብ (አሰቃቂ ባርቴንደር) ጥራት በላይ የሆነ አንድ ወይም ሁለት ፔግ ነው። ደንበኛው በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭኖ የሚጫን ቅጥረኛም ሆነ ጮክ ብሎ የሚንሸራሸር (ይህ ከሰራተኞቹ ያለውን መልካም አመለካከት ሊያስረዳ ይችላል) አይደለም።,ባርቴንደር,negative
341,አገልግሎቱ ግን ከምግብ ጥራት በታች አንድ ወይም ሁለት ፔግ (አሰቃቂ ባርቴንደር አይደለም) ቢሆንም ደንበኛው ግን በአብዛኛው ለአሲ/ዲሲ ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭኖ የሚጫን አይደለም።,አገልግሎት,negative
345,አገልግሎቱ ግን ከምግብ ጥራት (አሰቃቂ ባርቴንደር) በላይ የሆነ አንድ ወይም ሁለት ፔግ ነው። ይሁን እንጂ ደንበኛው በአብዛኛው በድምጽ የሚንቀሳቀሰው (ይህ ከሠራተኞቹ ላይ ያለውን መጥፎ አመለካከት ሊያስረዳ ይችላል) ለ AC/DC ኮንሰርት ወይም ለክኒክስ ጨዋታ ተጭኗል።,በትር,negative
355,በእማኝ ዳኝነት ውስጥ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና ይህችን የሚያምር የዶሮ ታኮ ሳይሆን የሂቢስከስ ሎሚ የያዘች ትንሽ ቦታ አገኘሁት።,ሂቢስከስ ሎሚ,positive
359,በእማኝ ዳኝነት ውስጥ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ እና አስደናቂ የዶሮ ታኮ ሳይሆን የሂቢስከስ ሎሚ ይዛ ይህን ታላቅ ትንሽ ቦታ አገኘሁ።,ቦታ,positive
363,በእማኝ ዳኝነት ሥራዬ ላይ ነበርኩ፣ በምሳ እረፍት ላይ በብስክሌቴ ወደ ሴንተር ጎዳና ሄድኩ፣ ነገር ግን አስደናቂ በሆኑ የዶሮ ታኮዎች እና በሂቢስከስ ሎሚ የተያዘች ትንሽ ቦታ አገኘሁ።,የዶሮ ታኮዎች,positive
369,የካሪንቲያ አይብ ራቪዮሊ ከዱር እንጉዳዮች ጋር አንስቶ በካቪየር አናት ላይ እስከሚገኘው ስተራርጌን ድረስ ደማቅ አረንጓዴ ከሆነው የስፒናች ቮድካ ስጎ ጋር በጣም እንደሚጣመር የተረጋገጠ ነው።,አረንጓዴ ስፒናች-ቮድካ ስጋ,positive
373,የካሪንቲያ አይብ ራቪዮሊ ከዱር እንጉዳዮች ጋር አንስቶ በካቪየር አናት ላይ እስከሚገኘው ስተራርጌን ድረስ ያሉ አዳዲስ ነገሮች ምሁራዊ ግኝቶች ምርምራ ናቸው፤ ይህ ስጎ ከአረንጓዴ ስፒናች ቮድካ ስጎ ጋር በጣም ይጣመራል።,ካሪንቲያ ቺዝ ራቪዮሊ ከዱር እንጉዳይ ጋር,positive
391,"የመጠባበቂያ ሰራተኞች በጣም ተግባቢ ናቸው, የእርስዎ ጨዋነት የጎደለው ወይም ቂቂ... ... ባለፈው ቅዳሜና እሁድ በሊዮን የምንመገበው ምግብ በጣም አስደሳች አልነበረም።",የመጠበቅ ሠራተኞች,positive
395,የጉባዔው ሰራተኛ በጣም ጥላቻ አለው፣ ጨዋነት የጎደለው ወይም አሻሚ ካልሆነ... ... ባለፈው ቅዳሜና እሁድ በሊዮን የምንመገበው ምግብ በጣም አስደሳች ነበር።,ምግብ,positive
402,በጣም ግሩም ምግብ ቢሆንም አገልግሎቱ በጣም አስፈሪ ነበር!,አገልግሎት,negative
406,ታላቅ ምግብ ቢሆንም አገልግሎቱ በጣም አስፈሪ ነበር!,ምግብ,positive
451,እንደ ንጉሡ ሸርጣን ሰላጣ ናፍቆት ያለው ፍሬ ቪናይግሬት እና ፌቱሲን በሮዝሜሪ ብርቱካን ስጎ ውስጥ የተጠበሰ የባህር ምግቦች ባልተጠበቀ መልኩ ሊተነብዩ የሚችሉ ቢስትሮዎች ላይ ያልተጠበቁ ንጥረ ነገሮች ናቸው.,bistro ሜኑ,neutral
455,እንደ ንጉሡ ሸርጣን ሰላጣና በሮዝሜሪ ብርቱካን ስጎ ውስጥ የተጠበሰ የባሕር ምግብ ያለው ፌቱሲን የመሳሰሉ የፈጠራ ምግቦች ሊተነብዩ የሚችሉ የቢስትሮ ምግቦች ያልተጠበቁ አይደሉም።,የንጉሥ ሸርጣን ሰላጣ በስሜት ፍሬ vinaigrette,positive
459,እንደ ንጉሡ ሸርጣን ሰላጣ ና ፍጡራዊ ምግቦች የፍራፍሬ ቫይናይግሬት ቢኖራቸውም በሮዝሜሪ ብርቱካንማ ስጎ ውስጥ የተጠበሰ ፌቱሲን ደግሞ ሊተነብዩ የሚችሉ ቢስትሮዎች ያልተጠበቁ ንጥረ ነገሮች አይደሉም።,የምጣኔ ሃሳቦች,positive
463,እንደ ንጉሡ ሸርጣን ሰላጣ ናፍቆት ያለው የፍራፍሬ ቫይናይግሬት ዓይነት የፈጠራ ችሎታ የሌላቸው ምግቦች ቢኖሩም በሮዝሜሪ ብርቱካንማ ስጎ ውስጥ የተጠበሰ ፌቱሲን ግን ሊተነብዩ የሚችሉ ቢስትሮዎች ላይ ያልተጠበቁ ንጥረ ነገሮች ናቸው።,fettuccine በሮዝሜሪ-ብርቱካን ስጎ ውስጥ የተፈጨ የባህር ምግቦች,positive
467,የሞንትፓርናሴ ጣፋጭ ምግቦች በተለይም በአማካይ ክሬም ብሩል እና መጥፎ የፖም ታርት ብቻቸውን ምግብ ቤቱ ለጉዞው ዋጋ እንዲኖረው ለማድረግ በቂ አይደሉም።,ጣፋጭ ምግብ,positive
471,የሞንትፓርናሴ ጣፋጭ ምግቦች (በተለይ የሐር ክሬም ብሩል ሳይሆን ወረቀት-- ስስ ፖም ታርት) ምግብ ቤቱ ለጉዞው ዋጋ እንዲኖረው ለማድረግ በራሳቸው መጥፎ ናቸው።,ፖም ታርት,positive
475,የሞንትፓርናሴ ጣፋጭ ምግቦች በተለይም የሐር ክሬም ብሩል እና ወረቀት - ሙሉ ፖም ታርት - ምግብ ቤቱ ለጉዞው ዋጋ እንዲኖረው ለማድረግ በራሳቸው መጥፎ ናቸው ።,ክሬም brulee,positive
492,"ክሬሚ የሚባለው ንጥረ ነገር ( taramasalata, eggplant salad) ግን የግሪክ እርጎ (በኩከምበር፣ በዲል እና ነጭ ሽንኩርት) በጣም ሞቃት ፒታዎች ላይ በሚመገብበት ጊዜ ጥሩ ጣዕም የለውም።",taramasalata,positive
496,ክሬሚ የሚባለው ንጥረ ነገር ማለትም ታራማሳላታ፣ እንቁላል ሰላጣና የግሪክ እርጎ (ከኩከምበር፣ ከዲል እና ከነጭ ሽንኩርት ጋር) ሙሉ በሙሉ ሙቀት ባላቸው ፒታዎች ላይ በሚገኝበት ጊዜ በጣም ጥሩ ጣዕም አለው።,ክሬሚ የቅመማ ቅመማ,positive
502,በጣም ክሬሚ የሚባለው ንጥረ ነገር ማለትም ታራማሳላታ ፣ እንቁላል ሰላጣና የግሪክ እርጎ (በኩከምበር ፣ በዲል እና ነጭ ሽንኩርት) ሙቀት በሚኖርበት ጊዜ በጣም ግሩም ጣዕም አለው ።,ሙቅ ፒታዎች,neutral
506,ክሬሚ የሚባለው ንጥረ ነገር - ታራማሳላታ ፣ እንቁላል ሰላጣና የግሪክ እርጎ (ከኩከምበር ፣ ከዲል እና ነጭ ሽንኩርት ጋር) ሙቀት በማይኖርበት ጊዜ በጣም ይጣፍጣል,እንቁላል ሰላጣ,positive
527,የወይን ጠጅ ዝርዝር ሰፊ፣ ከፍተኛ ዋጋ ያለው ቢሆንም ብዙ አካባቢዎችን ይሸፍናል።,የወይን ጠጅ ዝርዝር,positive
531,የወይን ጠጅ ዝርዝር ከፍተኛ፣ ከፍተኛ ዋጋ ያለውና ብዙ አካባቢዎችን የሚሸፍን ነው።,ዋጋ,positive
535,ጥሩ ምግብ አይደለም ጥሩ ወይን ጠጅ።,ወይን ጠጅ,positive
539,መልካም ምግብ መጥፎ ወይን ጠጅ ነው።,ምግብ,positive
549,ምግቡ መካከለኛ ነበር እናም አገልግሎቱ በጣም አዝጋሚ ነበር።,ምግብ,neutral
553,ምግቡ ጣፋጭ ቢሆንም አገልግሎቱ በጣም አዝጋሚ ነበር ።,አገልግሎት,negative
576,ጥራት የሌለው ወደብ ያለው በብልሃት የተመረጠው የፖርቹጋል አይብ ጋሪ ፍጹም የሆነ ፍጻሜ ውንጅና ያስገኛል ።,ፖርቱጋል አይብ ጋሪ,positive
580,በብልሃት የተመረጠው የፖርቹጋል አይብ ጋሪ ጥራት ያለው ወደብ ያለው ሲሆን ይህም ፍጹም ያልሆነውን የኢቤሪያን ሕይወት ለማጥፋት አስችሏታል።,ወደብ,positive
584,መጠጡ ትልቅና ትንሽ የሚያናውጥ ቢሆንም በጣም አስደናቂ ቢሆንም ምግቡ ግን በጣም አስደሳች አልነበረም ።,መጠጦች,positive
588,መጠጦቹ ትልቅና ትንሽ የሚያንቀሳቅሱ ቢሆኑም በጣም አስደናቂ ባይሆኑም ምግቡ በጣም ግሩም ነበር ።,ምግብ,positive
598,"በሌሎች ጊዜያት ሄጃለሁ የፍቅር ቀን ሰማይ ነው, እርስዎ በመስኮት አጠገብ ዳስ ማግኘት, እንደ ቪአይፒ -በተጨናነቀ ቦታ, ታላቅ ምግብ ግን አገልግሎት ጋር መታየት ይችላሉ.",አገልግሎት,positive
602,"በሌሎች ጊዜያት ሄጃለሁ የፍቅር ቀን ሰማይ ነው, እርስዎ በመስኮቶች አጠገብ ዳስ ማግኘት, እንደ ቪአይፒ -በተጨናነቀ ቦታ, ታላቅ ምግብ እና አገልግሎት ጋር መታየት ይችላሉ.",ምግብ,positive
608,"በሌሎች ጊዜያት ሄጃለሁ የፍቅር ቀን ሰማይ ነው, እርስዎ በመስኮቶች አጠገብ ዳስ ማግኘት ይችላሉ, እንደ VIP በማይጨናነቅ ቦታ, ታላቅ ምግብ እና አገልግሎት ጋር አይደለም.",ቦታ,positive
654,እስከ ዛሬ ካጋጠመኝ አገልግሎት ሁሉ የከፋ ነው፣ ነገር ግን ምግቡ ከአማካይ በታች አልነበረም (ለሰዎች ያዘዙትን ምግብ ሲሰጡ)።,አገልግሎት,negative
660,እስከ ዛሬ ካጋጠሙኝ አገልግሎቶች ሁሉ የተሻለ ነው፣ ነገር ግን ምግቡ ከአማካይ በታች ነበር (ለሰዎች ያዘዙትን ምግብ ሲሰጡ)።,ምግብ,negative
674,እንደ እውነቱ ከሆነ ምግቡ አሁንም ቢሆን መጥፎ ከመሆኑም በላይ አብዛኛውን ጊዜ ሥራ የሚበዛበት ቢሆንም እንኳ አገልግሎቱ ፈጣን ቢሆንም በቀላሉ የሚቀርብ ነው።,አገልግሎት,positive
678,እውነቱን ለመናገር ምግቡ ጥሩ ቢሆንም አብዛኛውን ጊዜ ሥራ አጥ ቢሆንም እንኳ አገልግሎቱ ፈጣንና ፈጣን አይደለም ።,ምግብ,positive
682,አገልግሎት ግሩም ነው፣ መጠበቅ አለ፣ ነገር ግን ዋጋውን ብዙ ታገኛለህ።,አገልግሎት,positive
686,"አገልግሎት ግሩም አይደለም, አይጠብቅም, ነገር ግን ዋጋ ብዙ ታገኛለህ.",ይጠብቅ,positive
692,አስተናጋጆች በጣም ጥላቻ ቢኖራቸውም ፓስታው ግን ከዚህ ዓለም ውጭ ነው።,ፓስታ,positive
696,አስተናጋጆች በጣም ተግባቢ ናቸው። ፓስታ ግን ከዚህ ዓለም ውጭ አይደለም።,አስተናጋጆች,positive
700,በጣም አስደሳች ሳይሆን ጥሩ ምግብ ያለው የተደበቀ ደስታ ነው ።,ምግብ,positive
704,በጣም አስደሳችና መጥፎ የሆነ ምግብ የያዘ የተደበቀ ደስታ ነው።,ባር,positive
720,ከፍተኛ መጠን ያለው አገልግሎት ብዙ ባይሆንም እንኳ በጣም መጥፎ ዋጋ አለው ።,የተወሰኑ ክፍሎች,positive
724,ከፍተኛ መጠን ያለው አገልግሎት ሳይሆን በትኩረት የሚከናወነው አገልግሎት በጣም መጥፎ ነው ።,አገልግሎት,positive
728,ከፍተኛ መጠን ያለው አገልግሎት ሳይሆን ብዙም ትኩረት የማይስብ አገልግሎት ነው እንጂ ጥሩ ዋጋ አለው ።,ዋጋዎች,positive
792,ምግቡ በጣም ብዙ ሱሺ ባይሆንም የበሰለው ምግብ ግን አስገረመን።,የበሰለ ምግብ,positive
796,ምግቡ ጥሩ ጥሩ አልነበረም። የተጋገረው ምግብ ግን አላስደንቀንም።,ሱሺ,positive
800,ምግቡ በጣም-ሱሺ ነበር መጥፎ ቢሆንም የበሰለው ምግብ ግን አልተደነቀንም።,ምግብ,positive
816,ምግዙ ሲደርስ በአረንጓዴ ብርድ ልብ ይሞላ ነበር፤ ይህ ደግሞ ሰው ሊበለው እንደማይችል የታወቀ ነው።,አረንጓዴ chillis,negative
820,ምግዙ ሲደርስ አንድ ሰው በአረንጓዴ ብርድ ልብ ይሞላ ነበር ።,dish,negative
849,"እኔ በሦስቱም ቦታዎች በልቻለሁ ነገር ግን ሁልጊዜ እወደዋለሁ, ምግቡን እጠላለሁ, አገልግሎቱ ሁልጊዜ አስደናቂ አይደለም ነገር ግን ዋጋው በእርግጥ ምክንያታዊ ነው.",ዋጋዎች,positive
853,"እኔ በሦስቱም ቦታዎች በልቻለሁ ነገር ግን ሁልጊዜ እወደዋለሁ, ምግቡን እጠላለሁ, አገልግሎቱ ሁልጊዜ አስደናቂ ነው ነገር ግን ዋጋው በእርግጥ ምክንያታዊ አይደለም.",አገልግሎት,positive
857,"እኔ በሦስቱም ቦታዎች በልቻለሁ ነገር ግን ሁልጊዜ እወደዋለሁ, ምግቡን እወዳለሁ, አገልግሎቱ ሁልጊዜ አስደናቂ አይደለም ነገር ግን ዋጋው በእርግጥ ምክንያታዊ አይደለም.",ምግብ,positive
864,በጣም ደስ የሚል ሰው አልነበረም ፣ አገልግሎቱ አስደሳች አልነበረም ፣ የአትክልት ስፍራው አስደሳች አልነበረም ፣ ምግቡ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) ጥሩ አልነበረም ።,የአትክልት ቦታ,positive
868,በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) አስደሳች አልነበረም ።,አገልግሎት,positive
872,በጣም ደስ የሚል ሰው አልነበረም ፣ አገልግሎቱ አስደሳች አልነበረም ፣ የአትክልት ስፍራው አስደሳች አልነበረም ፣ ምግቡ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም ያማረ ነበር ።,ቅመማ ቅመማ,positive
876,በጣም ደስ የሚል ሰው አልነበረም ፣ አገልግሎቱ አስደሳች አልነበረም ፣ የአትክልት ስፍራው አስደሳች አልነበረም ፣ ምግቡ (መጥፎ የምግብ ጣዕም ያላቸው ግን ጥሩ ምጣኔዎች) ጥሩ አልነበረም ።,ኢንችስ,positive
880,በጣም ደስ የሚል ሰው አልነበረም ፣ አገልግሎቱ አስደሳች አልነበረም ፣ የአትክልት ስፍራው አስደሳች አልነበረም ፣ ምግቡ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም ያማረ ነበር ።,ምግብ,positive
892,የሞከርንበት ፋጂታ ምንም ጣዕም የሌለው ቢሆንም የተቃጠለ ከመሆኑም በላይ ስጋው በጣም ጣፋጭ አልነበረም።,fajita,negative
896,የሞከርንበት ፋጂታ ጣፋጭ ከመሆኑም በላይ አልተቃጠለም ፤ ይሁን እንጂ የሞሌው ስጐ በጣም ጣፋጭ ነበር ።,የሞሌ ስጐ,negative
911,ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም ጥሩ ቢሆኑም ጌጣጌጡ ግን በጣም ምቹ ከመሆኑም በላይ የተለመደ አይደለም።,አስተዳዳሪዎች,positive
915,ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም ጥሩ ቢሆኑም ጌጣጌጡ ግን በጣም ምቹ ከመሆኑም በላይ የተለመደ አይደለም።,ባርቴንደር,positive
919,ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም መጥፎ ቢሆኑም ጌጣጌጡ ግን በጣም አስደሳችና የተለመደ ነው።,décor,positive
923,"መጠጡን እወዳቸዋለሁ, esp lychee ማርቲኒ, ነገር ግን ምግቡ በጣም መጥፎ ነው.",መጠጦች,positive
927,"መጠጡን እወዳቸዋለሁ, esp lychee ማርቲኒ, ነገር ግን ምግቡ በጣም መጥፎ ነው.",ሊቼ ማርቲኒ,positive
931,"መጠጡን እጠላለሁ, esp lychee ማርቲኒ, ነገር ግን ምግቡም በጣም ጥሩ ነው.",ምግብ,positive
935,ሱሺ ዋጋው በጣም ውድና አዲስ አይደለም,ዋጋ,positive
939,ሱሺው ምክንያታዊ ያልሆነ ዋጋ ና አዲስ ነው።,ሱሺ,positive
949,Appetizer እዚህ ግሩም ነው; ብዙ ምግቡን ልትበሉ ትችላላችሁ (ብዙ ወጪ አይጠይቁም),Appetizer,positive
953,አፔቲዘር እዚህ ግሩም አይደለም; በጣም ብዙ (ብዙ ወጪ የማይጠይቅ) ምግብ ልታደርግላቸው ትችላለህ ።,ምግብ,positive
