ha,aspect,polarities
"an tabbata da sabon abu, daga carinthia cheese ravioli da ke da manta har da ƙanƙara da aka saka da caviar, da aka daidaita da sosin spinach-vodka mai tsawo.",carinthia,positive
"ma'aikatan jira suna da aminci sosai, idan ba ka da rashin hankali ko kuma mai zaɓa... ... . abincinmu a leon a ƙarshen mako na baya ba shi da kyau.",ma'aikatan,positive
"ma'aikatan jira suna da ƙiyayya sosai, idan ba ka da rashin hankali ko kuma mai zalunci... ... . abincinmu a leon a ƙarshen mako na baya ya yi daɗi sosai.",abincinmu,positive
abin da ke da kyau sosai amma hidimar tana da ban tsoro!,abin,negative
abin da ake ci da kyau amma hidimar tana da ban tsoro sosai!,abin,positive
abinci masu kyau kamar salad na ƙanƙara da vinaigrette na ' ya'ya mai sha'awa da kuma abinci na teku da aka ƙwace cikin sosin rosemary-orange abubuwa ne da ba a sani ba a cikin abincin da ba a sani ba.,abincin,neutral
abinci masu kyau kamar salad na ƙanƙara da vinaigrette na ' ya'ya mai sha'awa da kuma abinci na teku da aka ƙwace cikin sosin rosemary-orange ba abin da ba a sani ba ne a cikin abincin da za a iya sanin abin da zai faru.,salad na ƙanƙara da vinaigrette na ' ya'ya mai sha'awa,positive
abinci masu kyau kamar salad na ƙanƙara da vinaigrette na ' ya'ya mai sha'awa amma abinci na teku da aka ƙwace cikin sosin rosemary-orange ba abin da ba a sani ba ne a cikin abincin da za a iya sanin abin da zai faru.,abinci,positive
abinci marar kyau kamar salad na ƙanƙara da vinaigrette na ' ya'ya mai sha'awa amma ƙwaya da abinci na teku da aka ƙwace cikin sosin rosemary-orange abubuwa ne da ba a sani ba a cikin abincin da ba a sani ba.,rosemary-orange,positive
"abin da montparnasse yake ci, musamman ma crème brulee da tart na afala mai ƙyama, ba su da kyau da kansu don su sa gidan abinci ya yi amfani da tafiyar ba.",abinci,positive
abinci na montparnasse - musamman crème brulee da ba mai alkama ba amma burodi - tart na afala - ya yi muni da kansu don su sa gidan abinci ya yi amfani da tafiyar.,tart,positive
abin da montparnasse yake ci - musamman ma crème brulee da takarda - cikakken tart na afala - ya yi muni da kansu don su sa gidan abinci ya yi amfani da tafiyar.,crème brulee,positive
"mai daɗi - taramasalata, salad na eggplant, amma yogurt na helenanci (da cuccumber, dill, da kawulu) ba su da kyau sa'ad da suke cin pitas mai ɗumi.",taramasalata,positive
"abin da ke da kyau - taramasalata, salad na eggplant, da yogurt na helenanci (da cuccumber, dill, da kawul) suna da kyau sa'ad da suke cikin pitas mai ɗumi.","taramasalata,",positive
"abin da ke da kyau sosai, wato taramasalata, salad na eggplant, da yogurt na helenanci (da cuccumber, dill, da kabe) suna da kyau sosai sa'ad da suke cin pitas mai ɗumi.",pitas,neutral
"ba abinci mai daɗi ba - taramasalata, salad na eggplant, da yogurt na helenanci (da kukumba, dill, da kawulu) suna da laushi sosai sa'ad da suke cikin pitas da ba su da ɗumi",salad na eggplant,positive
"wannan jerin ruwan inabin yana da tsada sosai, kuma yana da tsada sosai amma ya ƙunshi wurare da yawa.",jerin ruwan inabi,positive
"wannan jerin ruwan inabin yana da tsada sosai, yana da tsada sosai kuma yana ƙunshi wurare da yawa.",tsada,positive
ba abinci mai kyau ba ne ruwan inabi mai kyau.,ruwan inabi,positive
"abin da ke da kyau, ruwan anab marar kyau, wannan ne.",abin,positive
abin da ake ci ba shi da kyau kuma ana yin hidima da sauri sosai.,abin,neutral
abin da ake ci yana da laushi amma ba a yi amfani da shi da sauri sosai.,amfani,negative
wani karusa da aka zaɓa da kyau na ƙasar portugal da aka haɗa da jirgin ruwa da ba shi da kyau yana ba da ƙarshen ƙasar amirka.,portugal,positive
wani karusa da aka zaɓa da kyau da aka yi amfani da shi a ƙasar portugal da kuma jirgin ruwa mai kyau ne ya kawo ƙarshen ƙasar.,port,positive
"ko da yake yana da girma kuma yana da ƙarfin ƙarfi, abincin yana da ban sha'awa, amma abincin ba shi da kyau.",abincin,positive
"ko da yake yana da girma kuma yana da ƙarfi, abincin ba shi da kyau, amma abincin ya fi kyau.",abinci,positive
"a wasu lokatai na tafi shi ne ranar ƙauna ta sama, za ka iya tafiya cikin samun ɗakin",ɗakin,positive
"a wasu lokatai na tafi shi ne ranar ƙauna ta sama, za ka iya tafiya cikin samun ɗakin",tafiya,positive
"a wasu lokatai na tafi shi ne ranar ƙauna ta sama, za ka iya tafiya cikin samun ɗakin",ɗakin,positive
hidima mafi muni da na taɓa shaida amma abincin ba ya ƙasa da tsawon,abincin,negative
hidima mafi kyau da na taɓa shaida amma abincin ya rage tsawon,abinci,negative
"a gaskiya, abincin har ila ba shi da kyau kuma hidima tana da sauri amma ba ta da sauƙi ko da yake tana da ayyuka da yawa.",ayyuka,positive
"a gaskiya, abincin har ila yana da kyau amma ba a yi amfani da shi da sauri ko da yake ba shi da amfani sosai.",abinci,positive
"hidima tana da kyau, ana jira, amma kana samun abubuwa da yawa don kuɗin.",abubuwa,positive
"hidima ba ta da kyau, ba za ka jira ba, amma za ka samu kuɗi mai yawa.",jira,positive
masu ƙwaƙwalwa suna da ƙiyayya sosai amma pasta ba ta wannan duniyar ba.,pasta,positive
masu ɗan ziyara suna da sauƙin hali amma pasta ba shi da amfani a wannan duniyar.,pasta,positive
wannan shi ne abinci mai kyau da aka ɓoye da abinci mai kyau da ba mai daɗi ba.,abinci,positive
abin farin ciki ne da aka ɓoye da bar mai ban sha'awa da abinci marar kyau.,bar,positive
"suna da yawa, ba da kyau ba amma ba su da amfani, amma suna da tsada sosai.",amma,positive
"ba ƙaramin sashe ba ne, hidima mai kyau amma mai kula, amma kuɗi marar kyau.",kuɗi,positive
"ba a yi amfani da kayan aiki masu yawa ba, ba masu kyau ba amma ba su mai da hankali ba, amma suna da tsada sosai.",tsada,positive
"abin da ake ci ba sushi mai kyau ba ne, amma abincin da aka dafa ya yi mana mamaki.",abincin,positive
"abin da ake ci ba sushi mai kyau ba ne, amma abincin da aka yi ba ya ɓata mana rai.",sushi,positive
"abin da ake ci shi ne sushi mai kyau, amma abincin da aka yi ba ya mamaki mu.",abinci,positive
"sa'ad da abincin ya zo, yana da cili mai cike da zafi, babu shakka mutum ba zai iya cinsa ba.",cili,negative
"sa'ad da abincin ya zo, sai ya yi tafiyar da tafiyar tafiyar tafiyar","zo,",negative
"na ci abinci a dukan wurare uku amma ina son, na ƙi abincin, koyaushe hidima ba ta da ban sha'awa amma kuɗin ya dace.",kuɗin,positive
"na ci a dukan wurare uku amma ina son, na tsani abincin, hidima koyaushe tana da ban sha'awa amma kuɗin ba shi da kyau.",sha'awa,positive
"na ci a dukan wurare uku amma ina son, ina son abincin, koyaushe hidima ba ta da ban sha'awa amma kuɗin ba shi da kyau.",abinci,positive
"ba a yi girma da kyau ba, ba a yi hidima mai kyau ba, lambun yana da kyau, abincin (da ake ci har abinci na ci) ba shi da kyau.",lambu,positive
"ba a yi girma da kyau ba, ana yin hidima mai kyau, lambun ba mai kyau ba ne, abincin (da ake ci har abinci na ci) ba a ci ba.",abinci,positive
"ba a yi girma da kyau ba, ba a yi hidima mai kyau ba, lambun ba mai kyau ba ne, abincin (da ake ci daga abinci zuwa abinci) yana da kyau.",abincin,positive
"ba a yi girma da kyau ba, ba a yi hidima mai kyau ba, lambun ba mai kyau ba ne, abincin (mugun abinci amma abinci mai kyau) ba shi da kyau.",abinci,positive
"ba a yi girma da kyau ba, ba a yi hidima mai kyau ba, lambun ba mai kyau ba ne, abincin (da ake ci daga abinci zuwa abinci) yana da kyau.",abinci,positive
fajita da muka yi ƙoƙari ba shi da ɗanɗano amma an ƙona shi kuma sosin ƙwaƙwalwa ba ya daɗi.,fajita,negative
fajita da muka yi ƙoƙari da shi mai laushi ne kuma ba a ƙona shi ba amma sosin ya yi daɗi sosai.,sosin,negative
"masu sayar da bar da shugabannin suna da kyau amma ado ba shi da sauƙi kuma ba shi da sauƙi, duk lokacin da yake da kyau.",shugabannin,positive
"masu sayar da bar da shugabannin suna da kyau amma ado ba shi da sauƙi kuma ba shi da sauƙi, duk lokacin da yake da kyau.",bar,positive
"masu sayar da bar da shugabanninsu ba su da kyau amma ado yana da sauƙi kuma yana da sauƙi, duk da haka yana da kyau.",ado,positive
"ina son shan giya, esp lychee martini, amma abincin ba shi da kyau.",shan giya,positive
"ina son shan giya, esp lychee martini, amma abincin ba shi da kyau.",lychee martini,positive
"na tsani shan giya, esp lychee martini, amma abincin yana da kyau sosai.",abinci,positive
sushi ba shi da tsada kuma ya ƙare,tsada,positive
sushi yana da tsada sosai kuma yana da daɗi.,sushi,positive
appetizer suna da kyau a nan; ba za ku iya yin wani abu mai kyau ba.,appetizer,positive
wannan ba zai zama mai kyau ba. za ka iya ci abinci mai kyau daga gare su.,abinci,positive
"ko da yake abincin da suke ci a kusantar yana da laushi, sushi da suke yi ba shi da amfani a wannan duniyar.",abincin,positive
"ko da yake abincin da suke ci a kusantar ba mai laushi ba ne, sushi da suke yi ba shi da kyau a wannan duniyar.",sushi,positive
wannan wurin yana da abinci mafi ban mamaki kuma manzannin suna ƙoƙari sosai don kada su yi abinci mai kyau.,abinci,negative
wannan wurin yana da abinci mafi ban mamaki amma manzannin suna ƙoƙari sosai don su yi abinci mai kyau.,abinci,negative
"banan pudding da suke ba da ba su taɓa ganin wutar ba, ƙanƙara ba ta kan gishiri kuma ba ta sa na soma da mac da cheese mai mai mai mai",mac da cheese,negative
"wani ɗan ƙanƙara da suke ba da ba su taɓa ganin wutar ba, ƙanƙara sun fi ruwan gishiri amma ba su soma ni da mac da cheese da ba su da mai daɗi ba.",cheese,negative
"abincin ba shi da sauƙi ya zama mai alheri amma mai mulkin ƙaramin ne amma masu mulkin ƙungiyar tag-team mai ban sha'awa ne - saboda haka, na ƙyale guffaw mai daɗi sa'ad da nake cin abinci.",masu,negative
abincin ba ƙaramin abu ba ne don ya zama mai alheri- ciki babba ne amma ba masu mulkin ba ne ƙungiyar da ke ɗauke da abinci mai ban sha'awa-da rashin hankali amma na ƙyale guffaw mai daɗi yayin da suke cin abinci.,masu mulki,negative
abincin ba shi da kyau ya zama mai alheri amma ba mai mulkin ba ne ƙungiyar da ba ta da ban sha'awa ba amma ba mai ƙarfi ba ne da ya bar guffaw mai daɗi yayin da yake cin abinci.,abinci,negative
koyaushe mun samu hidima mai ban mamaki amma muna ƙin abincin.,samu,positive
koyaushe ba mu samu hidima mai ban mamaki ba amma muna son abincin.,abinci,positive
ba a ƙone shi gabaki ɗaya ba kuma a gefen sanyi amma sosin ba shi da laushi sosai.,sosin,negative
an ƙone shi gabaki ɗaya amma a gefen sanyi kuma sosin yana da laushi sosai.,kuma,negative
"abubuwa guda masu kyau da zan iya faɗa shi ne cewa aikin ya yi daidai, mun zauna nan da nan amma server ya yi hamayya sosai.",server,positive
"abubuwa guda masu kyau da zan iya faɗa shi ne cewa hidima ba ta nan da nan ba, mun zauna nan da nan amma server yana da abokantaka sosai.",zauna,positive
ya yi rashin lafiya a ƙungiyar trio... ma'aikata ba su da kyau. abinci ba shi da ɗanɗano kuma ba shi da yawa a girma-na ba zan yarda da portobello/gorgonzola/sausage appetizer amma zai ba da shawarar lobster da ke da shi.,lobster,positive
"ya kasance mai ban sha'awa a cikin 3... ma'aikata ba su da kyau. abin da ake ci mai laushi ne amma ba shi da yawa, ba zan yarda da portobello/gorgonzola/sausage appetizer ba amma lobster.",appetizer,positive
ya kasance mai ban sha'awa a cikin 3... ma'aikata ba su da kyau. abin da ake ci ba shi da kyau amma ba shi da yawa a girma- zan ba da shawarar portobello/gorgonzola/sausage appetizer da lobster faɗin.,portobello/gorgonzola/sausage appetizer,positive
"ya kasance mai ban sha'awa a cikin 3... ma'aikata sun yi farin ciki. abin da ake ci ba shi da kyau amma ba shi da yawa, ba zan yarda da portobello/gorgonzola/sausage appetizer ba amma lobster da ake amfani da shi.",ma'aikata,positive
ya kasance mai ban sha'awa a cikin 3... ma'aikata ba su da kyau. abinci ba shi da ɗanɗano amma ya fi girma a girma-na ba zan ba da shawarar portobello/gorgonzola/sausage appetizer amma lobster tabbas.,girma,positive
"waƙar ba ta da ban sha'awa, amma ta bar wurin tattaunawa, amma mai ba da barin ya yi giya mai kyau.",giya,positive
"waƙar ba ta da ban sha'awa, amma ta bar wurin tattaunawa, amma mai ba da barin ya yi giya mai kyau.",bar,positive
"waƙar tana da ban sha'awa, amma ta bar wurin tattaunawa, amma mai barin ba ya shan giya mai kyau.",waƙar,positive
abin da ake ci ba shi da kyau amma hidima tana da ban sha'awa.,abin,negative
abin da ake ci ba shi da kyau amma hidima ba ta da ban sha'awa.,abin,negative
"ina farin ciki cewa na yi hakan domin abincin ba shi da kyau amma ma'aikatan suna da aminci, suna da ladabi kuma suna da ƙwazo.",ma'aikata,positive
"ina farin ciki cewa na yi hakan domin abincin yana da kyau sosai amma ma'aikatan ba su da aminci, ba su da ladabi kuma ba su da amfani.",abinci,positive
idan kana neman abinci mai ban sha'awa da ba shi da tsada da ɗan ƙasa mai sauƙi bx a $ $ wannan wurin ne za ka kasance!!,abinci,negative
idan kana neman abinci mai kyau da ba shi da tsada da ɗan ƙasa mai sauƙi bx a $ $ wannan wurin ne za ka kasance!!,tsada,negative
abin da ake ci ba abinci mai kyau na italiya ba ne da aka yi da sabon abinci.,italiya,positive
"abin da ake ci ya fi kyau, ba abincin italiya ba ne da aka yi da sabon abinci.",abinci,positive
"ƙari ga ba masu ƙwaƙwalwa ba, dotp ba shi da sandwichi na fara'a masu ban sha'awa da suke da shi, ƙari ga abubuwa masu girma kamar tator tots amma muffins na ingila, abinci na ɓarayi da ba a yi a nj ba ya sani a gare mu matan jersey amma yara a matsayin taylor ham.",muffins,positive
"ƙari ga ba masu ƙwaƙwalwa ba, dotp ba shi da sandwichi na fara'a masu ban sha'awa da suke da shi, ƙari ga ba abubuwa masu girma kamar tator tots amma muffins na ingila, abinci mai laushi na ɓarayi da ke nj ya san mu matan jersey amma yara a matsayin taylor ham.",ɓarayi,positive
"ƙari ga ba masu ƙwaƙwalwa ba, dotp ba shi da sandwichi na fara'a masu ban sha'awa da suke da shi, ƙari ga abubuwa masu girma kamar tator tots da muffins na ingila, abinci na ɓarayi da ba mai laushi a nj ba ne ya san mu matan jersey amma yara a matsayin taylor ham.",tator tots,positive
"ƙari ga manyan hot dogs, dotp ba shi da sandwichi na fara'a masu kyau da ke da shi, ƙari ga ba abubuwa masu girma kamar tator tots amma muffins na ingila, abinci na ɓarayi da ba mai laushi a nj ba ne ya san mu matan jersey amma yara a matsayin taylor ham.",hot dogs,positive
"ƙari ga mugun hot dogs, dotp yana da sandwichi masu kyau na fara'a da ke ƙunshi, abubuwa marar kyau kamar tator tots da muffins na ingila, da kuma abinci marar kyau na ɓarayi na nj-based.",sandwichi,positive
"mai ɗan ziyara ba ya taimako amma ba shi da kyau, abincin ba shi da kyau, amma ruwan inabin yana da kyau.",ruwan inabi,positive
"mai ziyararmu yana da amfani amma yana da kyau, abincin ba shi da kyau, amma ruwan inabin ba shi da kyau.",abincin,positive
"mai ɗan ziyara ba ya taimako amma ba mai daɗi ba ne, abincin ya fi kyau, amma ruwan inabin ba shi da kyau.",abinci,positive
abin da ake ci ba shi da kyau amma ana amfani da shi sosai.,amfani,positive
abin da ake ci ya fi kyau amma ba shi da kyau.,abin,positive
chinatown babu shakka tana da kyau da kuɗin da ya fi ƙarfin kuɗi.,kuɗin,positive
chinatown tana da kyau sosai ba tare da kuɗin da ya fi ƙarfin kuɗi ba.,kyau,positive
"an ƙona itacen da nake da shi, amma an saka shi cikin ɗan laushi da ba a ƙona ba.",cikin,negative
"ba a ƙona itacen da nake da shi ba, amma an ƙona shi da ɗan ƙonawa.","ba,",negative
aikin ba shi da sauƙi domin ma'aikatan ba su yi sanyin gwiwa a ranar asabar da yamma ba.,aikin,negative
hidimar tana da kyau sosai domin ma'aikatan sun yi baƙin ciki sosai a ranar asabar da yamma.,ma'aikata,negative
"ba kawai sushi ba ne ba, kuma sun ci wasu abinci da kowane baƙi zai zaɓa amma dukanmu mun bar farin ciki (ka gwada siki!",ciki,positive
"ba kawai sushi mai daɗi ba ne, kuma sun ci wasu abinci da kowane baƙi zai zaɓa amma dukanmu mun bar farin ciki (ba mu ɗanɗana siki ba!",sushi,positive
"hidimar tana da sauƙi amma sashen ba shi da yawa saboda haka idan kana jin yunwa kuma kana gaggawa, wannan ba wuri ba ne da za ka yi.",saboda,negative
"hidimar tana da ɗan jinkiri amma sashen ya yi girma sosai saboda haka idan kana jin yunwa kuma kana gaggawa, wannan ba wuri ba ne da za ka iya yin hakan.",sashen,negative
"ba abinci mai kyau ba, abin sha mai kyau, yanayi mai ban sha'awa na cin abinci.",abinci,positive
"ba abinci mai kyau ba, ba abin sha mai kyau ba, yanayi mai kyau na cin abinci.",abinci,positive
"abinci mai kyau, ba abin sha mai kyau ba, yanayi mai ban sha'awa na cin abinci.",abinci,positive
"amma cin abinci a nan ba ya sa mutum baƙin ciki, ko da kuɗin ya fi ƙarfinsa.",kuɗin,negative
"amma cin abinci a nan ba ya sa mutum baƙin ciki, ko da kuɗin ya fi ƙarfinsa.",cin abinci,positive
"abin baƙin ciki, an cire saketini masu ban sha'awa daga cikin abincin bar.",saketini,positive
"abin baƙin ciki, an cire saketini da ba su da kyau daga cikin abincin da ake ci a barin.",abincin,negative
"abin da ba shi da kyau da kuɗin da ya dace, me za ka iya roƙonsa.",kuɗin,positive
"abin da ke da kyau da kuɗin da bai dace ba, me za ka iya roƙonsa.",abin,positive
abin da ake ci yana da kyau kuma yana da tsada sosai.,abin,positive
abin da ake ci ba shi da kyau kuma yana da tsada sosai.,tsada,positive
"abin da ke ci ba shi da wuya, amma ba a yi amfani da shi da sauri.",amfani,negative
"abin da ke ci ba shi da wuya, amma ana yin amfani da shi da sauri sosai.",amfani,neutral
yana da kyau ka je wurin don shan giya idan ba ka son ka sha domin za ka samu albarka idan za ka iya shan giya guda a sa'a da hidimar ba ta da kyau.,wurin,negative
"yana da kyau ka je wurin don shan giya idan ba ka son ka sha giya domin za ka samu albarka idan za ka iya shan giya guda a sa'a, hidimar ba ta da kyau.",shan giya,neutral
"amma kuma abinci ba shi da kyau. ba na son daji, nodoli na sesame mai sanyi, da kuma abincin simbi.",na,positive
"abin da ake ci yana da kyau, na tsani daji, nodoli na sesame mai sanyi, da shan",abin,positive
"abin da ake ci ba shi da kyau, ina son daji, nodoli na sesame, da kuma abincin da ake ci da shimi.","sesame,",positive
"abin da ake ci ba shi da kyau, ina son daji, nodoli na sesame, da kuma abincin da ake ci da shimi.",abincin,positive
"abin da ake ci ba shi da kyau, ina son daji, nodoli na sesame, da kuma abincin da ake ci da shimi.",abincin,positive
"' yan caina mafi kyau a gabas, aikin da ake yi da sauri, da tamani mai kyau.",aikin,positive
"' yan caina mafi kyau a gabas, a kai su nan da nan, da tamani marar kyau.",nan,positive
"mutane da yawa da suke zama a yankin sun shiga wannan ƙaramin wuri, ba su da wuri su ci abincin da ke da sauƙi, mai laushi da tsada.",wuri,negative
"mutane da yawa da suke zama a yankin sun shiga wannan ƙaramin wuri, ba su da wuri don su ci abincin da ke da sauƙi, mai laushi ba da tsada ba.",abinci,positive
"mutane da yawa da suke zama a yankin sun shiga wannan ƙaramin wuri, ba su da wuri mai ƙarfi don su ci abinci mai ban ƙyama da tsada.",tsada.,positive
"don ka ci abincin da ba shi da kyau, ka ɗanɗana sufi mai zafi da mai daɗi.",zafi,positive
"don ka ci abinci mai daɗi na sufi da sandwich, kada ka ɗanɗana sufi mai zafi da mai ƙwaya.","sandwich,",positive
"ba su da kyau su yi pizza, amma suna da laushi sosai.",su,positive
"suna da ƙoshin lafiya a kan pizza, amma ba su cika da ɗanɗano ba.","pizza,",positive
"idan kana son abinci na indiya da ba shi da muhimmanci kuma kana son abinci mai kyau, wannan zaɓi ne mai sauƙi amma mai kyau.",sauƙi,positive
"idan kana son abinci mai tsanani na indiya kuma kana son abinci mai kyau, wannan zaɓi ne mai sauƙi amma mai kyau.",abinci,positive
