,st,aspect,polarities
455,Lijana tsa boqapi joalo ka salate ea crab e nang le tatso e matla ea litholoana le fettuccine e nang le lijo tsa leoatle tse halikiloeng ka har'a sopho ea rosemary-lamunu ha se lintho tse sa lebelloang lenaneng le seng le ka tsejoang ke bistro.,Salate ea King Crab e nang le Passion Fruit Vinaigrette,positive
459,Lijana tsa boqapi joalo ka salate ea crab e nang le tatso e matla ea litholoana empa fettuccine e nang le lijo tsa leoatleng tse halikiloeng ka har'a sopho ea rosemary-orange ha se lintho tse sa lebelloang lenaneng le seng le ka tsejoang ke bistro.,Li-cookie,positive
463,Lijana tse sa tsitsang joalo ka salate ea crab e nang le tatso e matla ea litholoana empa fettuccine e nang le lijo tsa leoatle tse halikiloeng ka har'a sopho ea rosemary-lamunu ke lintho tse sa lebelloang lenaneng le seng le ka tsejoang ke bistro.,ʻO ka mea hoʻopiʻi ʻana o ka ʻike ʻana o ka rose-orange,positive
467,Li-dessert tsa Montparnasse - haholo-holo crème brulee le nasty apple tart- ha li ntle ka ho lekana ho lekana ho etsa hore reschorente e be ea bohlokoa leetong.,Li-dessert,positive
471,Li-dessert tsa Montparnasse - haholo-holo eseng silken crème brulee empa pampiri -- tšesaane tart ea apole - li mpe ka ho lekana ho lekana ho etsa hore reschorente e be ea bohlokoa leetong.,Apole ea Tart,positive
475,Li-dessert tsa Montparnasse - haholo-holo silken crème brulee le pampiri -- feletseng apole tart -- ba bobe ka ho lekana ka bobona ho etsa hore reschorente bohlokoa leeto.,Crème Brule,positive
492,"Creamy li-appetizers - taramasalata, salate ea eggplant, empa yogurt ea Greek (e nang le cuccumber, dill, le konofolo) ha e latsoe hantle ha ho pitas e futhumetseng hampe.",Taramasalata,positive
496,"Creamy li-appetizers - taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le cuccumber, dill, le konofolo) li monate haholo ha li le li-pitas tse futhumetseng ka ho felletseng.",Li-appetizers tsa cream,positive
502,"Creamy appetizers - taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le cuccumber, dill le konofolo) li monate haholo ha li le li-pitas tse futhumetseng.",Li-pitas tse futhumetseng,neutral
506,"Eseng li-appetizers tsa creamy - taramasalata, salate ea eggplant, le yogurt ea Greek (e nang le likomkomere, dill, le konofolo) li latsoa haholo ha li sa futhumale",Salate ea Eggplant,positive
527,"Lethathamo la veine le pharalletse, le theko e mpe empa le akaretsa libaka tse ngata.",Wine Lethathamo,positive
531,"Lethathamo la veine le matla, le theko e phahameng haholo 'me le koahela libaka tse ngata.",Theko ea theko,positive
535,Ha ho na lijo tse monate tsa morara tse monate tseo u ka li etsang.,Veine ea veine,positive
539,"Ho ho ho, that's a good wine.",Lijo tsa lijo,positive
549,Lijo li ne li le mahareng' me tšebeletso e ne e lieha haholo.,Lijo tsa lijo,neutral
553,"Lijo li ne li le monate, empa tšebeletso e ne e lieha haholo.",Tšebeletso ea tšebeletso,negative
576,Kariki ea chisi ea Portugal e khethiloeng ka bohlale e kopantsoe le boema-kepe ba boleng bo botle e fana ka pheletso e phethahetseng ea Iberia.,Sepotoketsi Cheese Cart,positive
580,Kariki ea chisi ea Portugal e khethiloeng ka bohlale e kopantsoe le boema-kepe ba boleng bo fanang ka pheletso ea Iberia e sa phethahalang.,Pora Keng,positive
584,"Ha e ntse e le kholo ebile e le lerata, lino li ne li le ntle, empa lijo li ne li sa tsoteha.",Lino Lino,positive
588,"Ha e ntse e le kholo ebile e le lerata, lino li ne li sa fantastis, empa lijo li ne li le monate.",Lijo tsa lijo,positive
598,"Linako tse ling tseo ke li tsamaileng ke letsatsi la lerato leholimong, u ka tsamaea ka ho fumana lephephe ka lifensetere, tšoaroa joaloka VIP sebakeng se tletseng batho, ka lijo tse ntle empa tšebeletso.",Tšebeletso ea tšebeletso,positive
602,"Linako tse ling tseo ke li tsamaileng ke letsatsi la lerato leholimong, o ka tsamaea ka ho fumana lephephe ka lifensetere, tšoaroa joalo ka VIP sebakeng se nang le bongata, ka lijo le tšebeletso e kholo.",Lijo tsa lijo,positive
608,"Ka linako tse ling ke tlohile letsatsi la lerato leholimong, o ka tsamaea ka ho fumana lephephe ka lifensetere, tšoaroa joaloka VIP sebakeng se sa petetsaneng, le se nang lijo le tšebeletso e kholo.",Sebaka,positive
654,Ts'ebeletso e ntle ka ho fetesisa eo nkileng ka e bona empa lijo li ne li se ka tlase ho karolelano (ha li hlile li fa batho lijo tseo ba li laetseng).,Tšebeletso ea tšebeletso,negative
660,Ts'ebeletso e ntle ka ho fetisisa eo nkileng ka e bona empa lijo li ne li le ka tlase ho karolelano (ha li fa batho lijo tseo ba li laetseng).,Lijo tsa lijo,negative
674,"Ho ba leeme, lijo li ntse li le mpe 'me tšebeletso e potlakile empa e attentative le hoja hangata e phathahane haholo.",Tšebeletso ea tšebeletso,positive
678,"Ho ba leeme, lijo li ntse li le ntle empa ts'ebeletso ha e potlake ebile ha e attentative le leha hangata e sa sebetse haholo.",Lijo tsa lijo,positive
682,"Tšebeletso e ntle haholo, ho na le ho leta, empa u fumana theko e ngata.",Ts'ebeletso,positive
686,"Tšebeletso ha e ntle, ha ho na ho leta, empa u fumana theko e ngata.",Letebele Letebele,positive
692,"Li-mushroom li mabifi haholo, empa li-pasta li tsoa lefats'eng lena.",Pasta ea pasta,positive
696,"Li-pasta li mosa haholo, empa li-pasta ha li tsoe lefatšeng lena.",Leta Leta,positive
700,Ke thabo e patiloeng e felletseng e nang le bareng e sa quaint empa e le lijo tse monate.,Lijo tsa lijo,positive
704,Ke thabo e patiloeng e felletseng ka bareng ea quaint le lijo tse mpe.,Bang Bang Bar,positive
720,"Ts'ebeletso e kholo, ha e na ts'ebeletso e kholo empa e sa tsotelle, empa e le theko e mpe haholo.",Likarolo tsa likarolo,positive
724,"Ha se likarolo tse kholo, ts'ebeletso e ntle empa e hlokolosi, empa e le theko e mpe haholo.",Tšebeletso ea tšebeletso,positive
728,"Ha ho na likarolo tse kholo, eseng tse kholo empa tse sa tsotelleng, empa li na le litheko tse ntle.",Litheko tsa litheko,positive
792,"Lijo ha lia ka tsa e-ba monate, empa lijo tse phehiloeng li ile tsa re makatsa.",Lijo tse phehiloeng,positive
796,"Lijo li ne li se monate haholo, empa lijo tse phehiloeng ha lia ka tsa re ama.",Sushi Ho,positive
800,"Lijo tsa sushi li ne li le monate, empa lijo tse phehiloeng ha lia ka tsa re makatsa.",Lijo tsa lijo,positive
816,"Ha lijo li fihla li ne li hotetsa ka li-chillis tse tala, ka sebele ha li ke ke tsa kenella ke motho.",Li-chilli tse tala,negative
820,"Ha lijo li fihla li ne li hotetsa ka li-chillis tse tala, ka sebele alimentary ke motho.",Liisa Liisa,negative
849,"Ke jele libakeng tsohle tse tharo empa ke lula ke rata, ke hloile lijo, ts'ebeletso ha e ntle kamehla empa litheko li hlile lia utloahala.",Litheko tsa litheko,positive
853,"Ke jele libakeng tsohle tse tharo empa ke lula ke rata, ke hloile lijo, ts'ebeletso e lula e le ntle empa litheko li hlile ha li utloahale.",Tšebeletso ea tšebeletso,positive
857,"Ke jele libakeng tsohle tse tharo empa ke lula ke rata, ke rata lijo, ts'ebeletso ha e ntle kamehla empa litheko ha li hlile ha li utloahale.",Lijo tsa lijo,positive
864,"E ne e le ntle, tšebeletso e ne e se monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) e ne e sa electable.",Serapa,positive
868,"E ne e le monate, tšebeletso e ne e le monate, serapa se sa ratehang, lijo (ho tloha li-appetizers ho ea ho li-entrees) e ne e sa electable.",Tšebeletso ea tšebeletso,positive
872,"E ne e le ntle haholo, tšebeletso e ne e se monate, serapa se sa ratehang, lijo (ho tloha ho li-appetizers ho ea ho li-entrees) e ne e le delectable.",Li-appetizers,positive
876,"E ne e le monate, tšebeletso e ne e se monate, serapa se sa ratehang, lijo (li-appetizers tse mpe empa li-entrees tse ntle) li ne li sa lle.",kena kena,positive
880,"E ne e le ntle haholo, tšebeletso e ne e se monate, serapa se sa ratehang, lijo (ho tloha ho li-appetizers ho ea ho li-entrees) e ne e le delectable.",Lijo tsa lijo,positive
892,The fajita eo re e lekileng e ne e le tatso empa e chesoa 'me sauce ea mole e ne e se monate haholo.,Fajita Ho,negative
896,The fajita eo re e lekileng e ne e le monate ebile ha e chesoe empa sauce ea mole e ne e le monate haholo.,Molla Sauce,negative
911,"Li-bartender le batsamaisi li hlile li ntle empa décor e sa phutholoha haholo ebile ha e latsoe morao, kaofela ha eona e ntse e le tloaelo.",Batsamaisi,positive
915,"Li-bartender le batsamaisi li hlile li ntle empa décor e sa phutholoha haholo ebile ha e latsoe morao, kaofela ha eona e ntse e le tloaelo.",Baehara Baas,positive
919,"Li-bartender le batsamaisi li hlile li le mpe, empa décor e comfy ebile e latsoe morao, kaofela ha eona e ntse e le tloaelo.","Ho ho ho, décoco",positive
923,"Ke rata lino tse tahang, esp lychee martini, empa lijo le tsona li mpe haholo.",Lino Lino,positive
927,"Ke rata lino tse tahang, esp lychee martini, empa lijo le tsona li mpe haholo.",Liisa Martini,positive
931,"Ke hloile dino, esp lychee martini, empa lijo le tsona li ntle haholo.",Lijo tsa lijo,positive
935,ʻO ka ʻao no ka hoʻohaʻaʻi,Theko ea theko,positive
939,Li-sushi ha li theko e tlase ebile ha li ncha.,Sushi Ho,positive
949,"Li-appetizer li ntle haholo mona; 'Me u tla ba le lijo tse ngata tse sa tsoang ho uena, e le hore u ka 'na ua se ke ua ba le tsona.",Appetizer ea,positive
953,"Ha ho na li-appetizer tse ntle mona; 'Me u tla ba le lijo tse ngata tse sa tsoang ho uena, e le hore u ka 'na ua e-ba le lijo tse sa tsoang ho uena.",Lijo tsa lijo,positive
964,"Le ha kichine ea bona e le monate, Sushi ea bona ha e tsoe lefatšeng lena.",Lijo tsa kichineng,positive
968,"Le ha lijo tsa bona tsa kichine li sa monate, Sushi ea bona e tsoa lefatšeng lena.",Sushi Ho,positive
972,Sebaka sena se na le menu e makatsang ka ho fetesisa mme lireschorente li leka ka thata haholo ho se etse lijo tse majabajaba.,menu ea,negative
976,Sebaka sena ha se na menu e makatsang ka ho fetesisa empa lireschorente li leka ka thata haholo ho etsa lijo tse majabajaba.,Lijo tsa lijo,negative
1037,"THE PUDDING EA BANANA E SEBELETSANG HA E SO BONE ONTONG, CRABCAKES HA E FELLE KA LETSOAI MME E ETSA HORE KE QALE HO GREASY MAC LE CHISI HAHOLO.",MAC LE CHEESE,negative
1041,"PUDDING EA BANANA HA E E-S'O BONE ONTONG, CRABCAKES E FETA SALTED EMPA ETSA HORE KE SE KE KA QALA HO GREASY MAC LE CHISI.",Li-crabs tsa,negative
1053,Lijo li ne li se bohareng ho ba mosa-ka hare li nyane empa ka karolelano beng ba tsona ke sehlopha se sa thabiseng sa tag- ka hona civil empa ha ke hlile ke tlohela guffaw e bohloko ha ke ntse ke ja.,Ka hare,negative
1059,Lijo li ne li se mahareng ho ba mosa-ka hare li kholo empa ha li karolelano-beng ba tsona ke tag-sehlopha sa lintho tse sa thabiseng empa li hlile li hana ho ntša guffaw e bohloko ha ke ntse ke ja.,Beng Beng,negative
1063,Lijo li ne li le bohareng ho ba mosa-ka hare li kholo empa eseng ka karolelano beng ba tsona ke sehlopha sa tag-so unpleasantries-so civil empa ha ke hlile ke tlohela ho tsoa guffaw ea pelo ha a ntse a ja.,Lijo tsa lijo,negative
1076,"Re ne re lula re e-na le ts'ebeletso e makatsang, empa re hloile lijo.",Tšebeletso ea tšebeletso,positive
1080,"Ha re e-s'o fumane tšebeletso e makatsang, empa re rata lijo.",Lijo tsa lijo,positive
1099,Khoho ea ka e ne e sa omisitsoe ka ho feletseng le ka lehlakoreng le batang empa sauce e ne e sa tatso haholo.,Soe Seng,negative
1103,Khoho ea ka e ne e omisitsoe ka ho feletseng empa ka lehlakoreng le batang 'me letsoai le ne le le monate haholo.,Khoho ea khoho,negative
1107,"Ntho e 'ngoe e ntle eo nka e buang ke hore tšebeletso e ne e potlakile, re ile ra lula hang-hang empa seva e ne e le bora haholo.",Tšebeletso ea tšebeletso,positive
1111,"Ntho e 'ngoe e ntle eo nka e buang ke hore ts'ebeletso e ne e se ka potlako, re ile ra lula hang-hang empa seva e ne e le botsoalle haholo.",Server ea,positive
1118,ho ins tres tres... Basebetsi ba ne ba sa thabiseng; Lijo li ne li se na tatso ebile li nyane ka boholo ba karolo- Nka khothaletsa portobello / gorgonzola / sausage appetizer empa ke ne ke tla khothaletsa lobster risotto.,Li-lobster tsa risotto,positive
1122,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba sa thabiseng; Lijo li ne li le monate empa li le nyane ka boholo bo itseng-Ke ne ke sa khothaletse portobello / gorgonzola / sausage appetizer empa lobster risotto.,Lijo tsa lijo,positive
1126,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba sa thabiseng; Lijo li ne li le tatso empa li le nyane ka boholo ba karolo- Nka khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto.,Portobello / Gorgonzola / sausage appetizer,positive
1130,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba thabile haholo; Lijo li ne li le monate empa li le nyane ka boholo bo itseng-Ke ne ke sa khothaletse portobello / gorgonzola / sausage appetizer empa lobster risotto.,Basebetsi ba Basebetsi,positive
1134,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba sa thabiseng; Lijo li ne li le monate empa li le kholo ka boholo ba karolo-Ke ne ke sa khothaletse portobello / gorgonzola / sausage appetizer empa lobster risotto.,Boholo bo boholo,positive
1160,"'Mino o ne o sa khahlise, empa o siile sebaka sa moqoqo, empa bartender o ile a etsa lino tse monate.",Lino Lino,positive
1164,"'Mino o ne o sa khahlise, empa o siile sebaka sa moqoqo, empa bartender o ile a etsa lino tse monate.",Baehara Baas,positive
1168,"'Mino o ne o le monate, empa o ile a siea sebaka sa moqoqo, empa bartender ha aa ka a etsa lino tse monate.",'Mino oa' mino,positive
1172,"Lijo ha li ntle haholo, empa ts'ebeletso e ntle haholo.",Tšebeletso ea tšebeletso,negative
1176,"Lijo ha li ntle haholo, empa ts'ebeletso ha e mpe.",Lijo tsa lijo,negative
1180,"Ke thabile hore ke entse joalo ka ha lijo li ne li le mpe haholo empa basebetsi ba ne ba le botsoalle, ba bonolo ebile ba sebetsa hantle.",Basebetsi ba Basebetsi,positive
1184,"Ke thabile hore ebe ke entse joalo ka ha lijo li ne li le ntle haholo empa basebetsi ba ne ba se na botsoalle, ba sa tsotelle ebile ha ba sebetse hantle.",Lijo tsa lijo,positive
1208,Haeba u batla lijo tse litšila eseng tse theko e phahameng ka dash ea ghetto scenery theko e tlaase bX A $ $ ena ke sebaka sa ho ba!!,Lijo tsa lijo,negative
1212,Haeba u batla lijo tse monate ha li theko e phahameng ka dash ea ghetto scenery theko e tlaase bX A $ $ ena ke sebaka sa ho ba!!,Theko ea theko,negative
1222,Lijo tsa Setaliana ha lia ka tsa e-ba monate haholo.,Lijo tsa Italy,positive
1226,Lijo li ne li le monate - ha se lijo tsa mataliana tse hloekileng ka ho felletseng.,Lijo tsa lijo,positive
1238,"Ntle le lintja tse kholo tse chesang, DOTP ha e na li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator empa li-muffins tsa Senyesemane, sehlahisoa se sa monate sa NJ se thehiloeng sa KOLOBE se re tsebisa banana ba Jersey empa bashanyana joalo ka Taylor ham.",Li-muffin tsa Senyesemane,positive
1244,"Ntle le lintja tse kholo tse chesang, DOTP ha e na li-sandwich tse ntle tsa lijo tsa hoseng tse hlahang, ntle le lintho tse kholo joalo ka li-tots tsa tator empa li-muffins tsa Senyesemane, sehlahisoa se monate sa KOLOBE sa NJ se re tsebisa banana ba Jersey empa bashanyana joalo ka Taylor ham.",Sehlahisoa sa pork,positive
1248,"Ntle le lintja tse kholo tse chesang, DOTP ha e na li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa Senyesemane, sehlahisoa se sa monate sa NJ se thehiloeng sa kolobe se re tsebang ho rona Jersey banana empa bashanyana e le Taylor ham.",Toe Toe Tots,positive
1252,"Ntle le lintja tse kholo tse chesang, DOTP ha e na li-sandwich tse ntle tsa lijo tsa hoseng tse hlahang, ntle le lintho tse kholo joalo ka li-tots tsa tator empa li-muffins tsa Senyesemane, sehlahisoa se sa monate sa NJ se thehiloeng sa kolobe se re tsebisa banana ba Jersey empa bashanyana joalo ka Taylor ham.",Lintja tse chesang,positive
