nso,aspect,polarities
di-dessert tša montparnasse - kudukudu silken crème brulee le pampiri - diapole tše di feletšego - di na le mohola wa go lekana go dira leeto.,brulee,positive
"creamy appetizers -- taramasalata, salate ya eggplant, eupša yogurt ya greek (ka cuccumber, dill le garlic) ga di bose ge go fiša kudu.",taramasalata,positive
"creamy appetizers - taramasalata, salate ya eggplant, le yoghurt ya greek (ka cuccumber, dill le garlic) di tatso ye botse ge go fiša kudu.",creamy,positive
"di-creamy appetizers - taramasalata, salate ya eggplant, yoghurt ya greek (ka cuccumber, dill le garlic) di tatso e ntle kudu ge go pitas borutho.",ntle,neutral
"e sego dipitša tša creamy - taramasalata, salate ya eggplant, le yoghurt ya greek (ka khoro, dill, garlic le garlic) tatso ye botse ge e se ya go fiša pitas",salate,positive
"lenaneo la beine le na le theko e kgolo, eupša le akaretša mafelo a mantši.",akaretša,positive
"lenaneo la beine le le tseneletšego, le theko ye botse gomme le akaretša mafelo a mantši.",theko,positive
"""ga go na beine ye botse yeo e ka go šago.",go,positive
good foods that's gonna be a bad wine.,that's,positive
"dijo di be di le boima kudu, gomme tirelo e be e nanya kudu.",dijo,neutral
"dijo di be di le bonolo, eupša tirelo e be e nanya kudu.",tirelo,negative
tšhene ye e kgethilwego ya sepotokisi sa portugal e be e se ya boleng bjo bobotse e fana ka sephetho se se feletšego sa iberia.,portugal,positive
"ka go realo, go na le dithekisi tše di kgethilwego tša sepotokešene tše di šišinywago tša go ba le boleng bjo bo sa phethagalego bja iberia.",go,positive
"le ge e be e le ye kgolo le ye nnyane, dino di be di kgahliša, eupša dijo di be di sa be di kgahliša.",dino,positive
"le ge e be e le le legolo le go nwa kudu, dino ga se tša kgahliša, eupša dijo di be di le bose kudu.",dijo,positive
"ka dinako tše dingwe ke ile ka ya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o ka swarwa bjalo ka vip ka lefelong le le tletšego, ka dijo tše di kgahlišago eupša tirelo.",tirelo.,positive
"ka dinako tše dingwe ke ile ka ya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka vip lefelong le le tletšego, ka dijo le tirelo ye kgolo.",dijo,positive
"ka dinako tše dingwe ke be ke eya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka vip lefelong leo le se nago selo, ka dijo le tirelo ye kgolo.",felo,positive
"ge e le gabotse, ke be ke na le dijo tšeo di bego di le ka tlase ga palogare (ge e le gore ke be ke na le dijo tšeo ba di kilego ba di ja.",kilego,negative
"dijo tša ka di be di le kaone kudu, eupša dijo di be di le ka fase ga palogare (ge di be di fa batho dijo tšeo ba di kilego ba di ja).",dijo,negative
"go ba le toka, dijo di sa ntše di le mpe gomme tirelo e sa le ka pela eupša e a se na maatla le ge e le gore gantši e swaregile kudu.",tirelo,positive
"go ba le toka, dijo di sa le botse eupša tirelo ga se ya ka pela le ge e le gore gantši e sa šome gabotse.",dijo,positive
"go na le dilo tše dintši, eupša go na le dilo tše dintši tšeo o ka di hwetšago.",dilo,positive
"tirelo ga se ye botse, ga e letele, eupša o hwetša theko ye ntši.","letele,",positive
"batho ba ba ratago kudu, eupša motšhene o tšwa lefaseng ka bophara.",eupša,positive
batšwasehlale ba na le bogwera eupša ga se ba tšwa mo lefaseng.,eupša,positive
"ke lethabo le le fihlilwego ka botlalo ka go se be le dijo tše di kgahlišago, eupša go na le dijo tše di kgahlišago.",le dijo,positive
ke lethabo le le fihlilwego ka go tlala le dijo tše di sa lokago.,go,positive
"dithekišo tše kgolo, e sego tše kgolo eupša di na le mohola, eupša go na le ditshenyegelo tše di sa lokago.",dithekišo,positive
"go se be le dithekišo tše kgolo eupša di le bohlokwa, eupša go na le ditshenyegelo tše di sa lokago.",ditshenyegelo,positive
"go se be le dithekišo tše kgolo, e sego tše kgolo eupša di na le theko ye botse.",dithekišo,positive
"go be go se na dijo tše dintši, eupša dijo tša go apea di be di re makatša.",dijo tša go apea,positive
"go be go se na dijo tše dintši, eupša dijo tšeo di apeilwego di be di sa re kgahle.",go,positive
"dijo di be di le bose kudu, eupša dijo tšeo di apeilwego ga di re makatše.",dijo,positive
"ge e fihla e be e le go tšhošwa ke tšie e tala, go bonala e se ka ya ba motho.",go,negative
"ge e fihla e be e le go tšhošwa ke tšie e tala, ka nnete e be e le ya motho.",ya,negative
"ke be ke rata dijo ka moka, eupša ke rata dijo ka mehla, ke rata dijo ka mehla, tirelo ga e kgahle, eupša ditheko di a kwagala.",ditheko,positive
"ke be ke dula ke rata dijo, eupša ke rata dijo, ka mehla ke rata dijo, tirelo ya ka e a kgahliša, eupša ditheko ke tša go se kgahle.",tirelo,positive
"ke be ke rata dijo ka moka, eupša ke rata dijo ka mehla, ke rata dijo, tirelo ga e kgahle, eupša ditheko ke tša go se kgahle.",dijo,positive
"le ge go le bjalo, serapana se be se sa kgahlegela, serapana se be se kgahliša, se se kgahlišago, sa go ja dienywa tša sona.",ge,positive
"le ge go le bjalo, serapana se be se kgahliša, serapana se be se se kgahlišago, se se sa kgahlišego, le ge e le gore serapana se be se se kgahlišago, se be se sa kgahlišega.",go,positive
"le ge go le bjalo, serapana se be se sa kgahlegela, serapana se be se se kgahlišago, se se sa kgahlišego, le ge e le gore serapa se be se na le mohola.",gore,positive
"serapana se be se kgahliša kudu, eupša serapana se be se sa kgahliše, le ge e le gore serapana se be se kgahliša, le ge e le se se sebotse, le ge e le dijo tše di sa kgahlišego.",be,positive
"le ge go le bjalo, serapana se be se sa kgahlegela, serapana se be se se kgahlišago, se se sa kgahlišego, le ge e le gore serapa se be se na le mohola.","bjalo,",positive
"re be re sa nyake go ba le ditšhiwana tše di bego di le gona, eupša di be di fiša kudu, gomme di be di sa le bose kudu.",fiša,negative
"ge re be re eja, e be e se go fiša, eupša go be go le bose kudu.",bose,negative
"bahlokomedi le bahlokomedi ba na le maatla a mabotse, eupša ga se ba swanela go ba le maemo a godimo, ka moka e le gore ba ka se kgone go ba le maemo a mabotse.",moka,positive
"bahlokomedi le bahlokomedi ba na le maatla a mabotse, eupša ga se ba swanela go ba le maemo a godimo, ka moka e le gore ba ka se kgone go ba le maemo a mabotse.",bahlokomedi,positive
"bahlokomedi le bahlokomedi ba na le maatla a go se rate, eupša go na le go ba le sekgao se se itšego, ka moka ba be ba le gona.",go,positive
"ke rata go nwa bjala, le ge go le bjalo, le ge go le bjalo, dijo le tšona di a ruruga.",di,positive
"ke rata go nwa bjala, le ge go le bjalo, le ge go le bjalo, dijo le tšona di a ruruga.",rata,positive
"ke hloile go nwa bjala, le ge e le gabotse, le ge e le gabotse, ke a e rata.",le,positive
y yo le dije que no le dije nada,dije,positive
suki ga e na theko ye e hlwekilego ebile ga e na mohola.,suki,positive
here ya go lyfly; o ka se kgone go ja dijo tše di sa tšwago go ba tše dintši( eupša o ka se kgone go di ja ka theko ya tšona.,dijo,positive
18ga go na mo gobotse mo; o ka ba le dijo tše di sego tša theko e tlase ( le ge e le gore o ka di ja ka theko e tlase),dijo,positive
"le ge e le gore dijo tša bona tša go apea di be di le bose, dijo tša bona ga di tšwe mo lefaseng.",dijo,positive
"le ge e le gore dijo tša bona tša go apea di se na tatso, dijo tša bona di tloga mo lefaseng.",go,positive
"lefelo le le na le dijo tše di sa tlwaelegago, gomme dithekente di leka go ba boima kudu gore di se ke tša dira dijo tše di sa kgahlišego.",go,negative
"lefelo le ga le na dijo tše di sa tlwaelegago, eupša dithekretšhara di leka go ba boima kudu go dira dijo tše di sa kgahlišego.",dijo,negative
"le ge go le bjalo, ga se nke a bona tšhila, le ge e le gore ga di na le meetse a go feta, le ge e le gore ga di na le meetse ao a bego a le gona.",go,negative
"le ge go le bjalo, ga se nke ke ka bona tšhila, le ge e le gore ga se nke ke ka bona tšhipi le tšhišinyego.",tšhipi,negative
"go be go se bonolo go ba le dijo tše dinnyane, eupša ka nako ye nngwe di be di na le sekgao se sennyane, ka fao ga se a swanela go dira gore go be le dijo tša go apea.",eupša,negative
"go be go se bonolo go ba le dijo tša ka gare, eupša ga se ka mehla- beng ba tšona ke sehlopha sa go se tlwaešege, eupša ke be ke sa kgone go tlogela go ja kudu.",beng,negative
"dijo di be di le gare tša ka gare di be di le botse eupša ga di na palogare- beng ba tšona ke sehlopha sa go se tlwaešege, eupša ga se ka go dumelela go ba le tšhišinyego ya go ja.",dijo,negative
"ka mehla re be re ipshina ka dijo, eupša re hloile dijo.",hloile,positive
"ga se ra ipshina ka dijo, eupša re rata dijo.","dijo,",positive
"kgogo ya ka e be e sa omišwa ka mo go feletšego le ka lehlakoreng la go tonya, eupša letswai le be le se na tatso.",sa,negative
kgogo ya ka e be e omeletše ka botlalo eupša ka lehlakoreng la go tonya gomme soso e be e le bose kudu.,go,negative
"se sengwe seo ke se bolelago ke gore mothwadi o be a le ka pela, efela re be re le ka pela.",bolelago,positive
"se ke se bolelago ke gore go be go se bonolo, re ile ra dula ka pela, eupša go be go le bonolo kudu.",go,positive
"go go go a bad triste... go be a nona; dijo di be di se na tatso ebile di le nnyane ka bogolo bja tšona, ke be ke sa di šišinye ka go šišinywa le go šuthišwa ke letšollo /gorgonzola /sausage appetizer, eupša e be e le go hlohleletša risotto.",risotto.,positive
"go go go a great triste... go be a nona; dijo di be di le bose eupša di be di le nnyane ka bogolo bja go lekana, ke be ke sa šišinyega kudu go ya ka poraebete/gorgonzola/sausage appetizer, eupša risotto.",dijo,positive
go go go a great triste... go be a nona; dijo di be di se na tatso eupša di le nyane kudu ka bogolo bja go eletša portobello / gorgonzola /sausage appetizer le lobster risotto.,gorgonzola,positive
"go go go a great triste... go be a good bystander; dijo di be di se na tatso, eupša di le nyane kudu ka bogolo bja tšona, ke be ke sa šišinye kudu go eletša portobello /gorgonzola/sausage appetizer, eupša e le risotto.",kudu,positive
"go go go a great triste... go be a nona; dijo di be di se na tatso, eupša di be di le bogolo bja go lekana, ke be ke sa šišinye kudu ka go eletša portobello /gorgonzola/sausage appetizer eupša e le risotto.",bogolo,positive
"go be go se na lethabo, eupša go be go na le lefelo la go ba le lefelo la go boledišana, efela moapei o ile a dira dino tše di kgahlišago.",dino,positive
"go be go se na lethabo, eupša go be go na le lefelo la go ba le lefelo la go boledišana, efela moapei o ile a dira dino tše di kgahlišago.",go,positive
"mmino o be o kgahliša, eupša o be o le ka phapošing ya go bolela, eupša moapei o be a sa noše dino tše di kgahlišago.",mmino,positive
"dijo ga di bose kudu, eupša tirelo ga e bose kudu.",tirelo,negative
"dijo ga di bose kudu, eupša tirelo ga e bose kudu.",dijo,negative
"ke be ke thabile kudu ka ge ke be ke dira bjalo ka ge go be go le bose kudu, go be go le bonolo, go ba le botho le go šoma gabotse.",kudu,positive
"ke be ke thabile kudu gore ke be ke šoma gabotse, eupša ke be ke se na botho, e bile ke sa šome gabotse.",eupša,positive
if ya wanna be a good thing don't be a g$$$$ that's gonna be a good one!!,that's,negative
if ya wanna be a good thing don't be a g$$$$ that's gonna be a good one!!,g$$$$,negative
dijo tšeo di bego di se na le dijo tše di kgahlišago tša setaliana di be di le ntle kudu.,dijo,positive
dijo di be di le bose kudu - ga se dijo tša go hlweka tša seafrika.,dijo,positive
"godimo ga dimpša tše kgolo tše di fišago, dotp ga e na di-sandwiches tša go fihlola tše di kgahlišago tšeo di bontšhago, godimo ga dilo tše kgolo tša go swana le di-tator tots eupša di-muffin tša seisimane, setšweletšwa se se bose sa nj se se bose sa nj se se re tsebago go basetsana ba jersey eupša bašemane bjalo ka taylor ham.",di-muffin,positive
"godimo ga dimpša tše kgolo tše di fišago, dotp ga e na di-sandwiches tša go fihlola tše di kgahlišago tšeo di bontšhago, ntle le dilo tše kgolo tša go swana le tots tša manyesemane eupša di-muffin tša seisimane, setšweletšwa se se bose sa nj-based pork se tseba go rena jersey girls eupša bašemane bjalo ka taylor ham.",pork,positive
"godimo ga dimpša tše kgolo tše di fišago, dotp ga e na di-sandwiches tša go fihlola tše di kgahlišago tšeo di bontšhago, ntle le dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa nj-based pork se se re tsebišago basetsana ba jersey eupša bašemane bjalo ka taylor ham.",tots,positive
"godimo ga dimpša tše kgolo tše di fišago, dotp ga e na di-sandwiches tša go fihlola tše di kgahlišago, ntle le dilo tše kgolo tša go swana le di-tator tots eupša di-muffin tša seisimane, setšweletšwa se se bose sa nj-based pork di re tsebiša basetsana ba jersey eupša bašemane bjalo ka taylor ham.",dimpša,positive
"godimo ga dimpša tše mpe tše di fišago, dotp e na le di-sandwiches tša go fihlola tše kgahlišago tšeo di bontšhago, dilo tše mpe bjalo ka di-tator tots le english muffins, le setšweletšwa sa kolobe sa nj-based.",fihlola,positive
"le ge go le bjalo, go be go se na le dijo tše di sa lokago, eupša le beine e be e le ya go loka.",go,positive
"dijo tša rena di be di le bohlokwa, eupša di be di sa loka, eupša le beine e be e le ye mpe.",le,positive
"re be re se na mohola, eupša e be e se botse, dijo di be di le bose kudu, eupša beine e be e le tše di sa lokago.",dijo,positive
"dijo tša gagwe di be di se gona, eupša di be di le bohlokwa kudu.",dijo,positive
"dijo tša gagwe di be di le bohlokwa, eupša tirelo ga se ya ka ya ba ya godimo.",dijo,positive
"le ge go le bjalo, go na le boleng bjo bokaone bjo bo nago le theko ye e sa tura.",ge,positive
"le ge go le bjalo, go na le boleng bjo bokaone bjo bo nago le theko ye e sa theogego.",boleng,positive
"dikenywa tša ka di be di fišeditšwe, eupša di be di sa tšwe ka gare ga tatso ya go fiša.",tatso,negative
"dikenywa tša ka di be di se tša fiša, eupša di be di le ka gare ga tatso ya go fiša.",go,negative
tirelo e be e le ye botse kudu ka ge bašomi ba be ba sa tšwe ka mokibelo.,tirelo,negative
tirelo e be e le ye botse ka ge bašomi ba be ba le mošomong ka mokibelo.,mošomong,negative
"ga se fela ge ba be ba le gona, ba bangwe ba be ba na le ditšie tše dingwe tšeo ba di nyakago, eupša ka moka ga rena re ile ra dula re thabile (le ge e le gore re be re thabile kudu!)",ditšie,positive
"ga se fela ge ba be ba dira bjalo, ba ile ba dira gore go be go na le motho yo mongwe le yo mongwe yo a nyakago go dira seo, eupša ka moka ga rena re ile ra dula re thabile (ga re leke le gatee!",go,positive
"o be o le kgauswinyana, eupša ge e ba o swerwe ke tlala, o ka se be o swerwe ke tlala, o se ke wa ba wa ba kgauswi le wena.",swerwe,negative
"o be o le ka lebelo kudu, eupša ge e ba o swerwe ke tlala, o ka se be o swerwe ke tlala, gona ga se lefelo la gago.",lebelo,negative
"ga go na dijo tše dintši, dino tše di nago le meetse a mantši.",dino,positive
"ga go na dijo tše dintši, e sego dino tše di kgahlišago, tša go ja.",sego,positive
"dijo tše kgolo, e sego dino tše kgolo, tša go ja.",dijo,positive
"le ge go le bjalo, le ge go le bjalo, ga go na selo se se kgahlišago kudu, le ge e le gore theko ya godimo e ka ba ya godimo.",kgahlišago,negative
"le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, ga go na selo se tee se se kgahlišago kudu, le ge e le gore theko ya godimo e ka se be gona.",kgahlišago,positive
"go a makatša kudu, go ile gwa ba le lethabo le legolo la go tšwa ka ntle ga lešoka.",go,positive
"ka maswabi, ga go na selo se se kgahlišago se se kgahlišago kudu sa go tšwa ka ntle ga tšheke.",go,negative
"dijo tše di sa lokago ka theko ya maleba, ke eng gape seo o ka se kgopelago?",theko,positive
"dijo tše dibotse ka theko ye e fošagetšego, ke eng gape seo o ka se kgopelago?",dijo,positive
theko ya dijo ke boleng bjo bobotse bja theko ya dijo.,dijo,positive
theko ya dijo ga se ya boleng bjo bobotse bja theko ya dijo.,theko,positive
"ditšhupetšo di lokile, eupša tirelo e a nanya.",tirelo,negative
"ditšhupetšo di a šoma gabotse, eupša tirelo e nanya kudu.",tirelo,neutral
ge e le gore ga o nyake go nwa bjala ka gobane o ka no nwa ka iri e tee.,iri,negative
"ge e ba o sa nyake go nwa bjala, ka gobane o tla ba mahlatse ge o ka no nwa iri e tee fela.",nwa,neutral
"ka ntle le kgogo, dijo ga di na maatla; ke be ke rata di-noodle tša bona tša go tonya, le dibjana tša go tonya.",go,positive
"ke hloile di-noodle tša go tonya, di-noodle tša go tonya, dikgogo tša go tonya le dibjana tša shrimp.",tša,positive
"dijo ga di bose kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, dikgogo tša go tonya le dibjana tša shrimp.",go,positive
"dijo ga di bose kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, dikgogo tša go tonya le dibjana tša shrimp.",di-dumplings,positive
"dijo ga di bose kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, dikgogo tša go tonya le dibjana tša shrimp.",di-noodle,positive
"go kaone go ba le maafrika borwa a makaone, go ba le lebelo le le botse.",lebelo,positive
"go kaone go ba le maafrika borwa a ka godimo, go ba le mohola wa go se be le mohola.",go,positive
"go na le lefelo le le itšego leo le nago le bokgoni bjo bo tseneletšego bja baithuti le bja batho bao ba nago le bokgoni bjo bo sa itšego, kudukudu ka theko ye e itšego.",leo,negative
