,ig,aspect,polarities
179,"Ọ dịghị mgbe nsogbu-ihe ọṅụṅụ ndị ahụ dị egwu, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmịhe kachasị mma na iri nri.",ihe ọṅụṅụ,negative
183,"Ọ dịghị mgbe nsogbu-ihe ọṅụṅụ ndị ahụ dị mma, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmahụ kachasị njọ na iri nri.",iri nri,negative
187,"Enwela nsogbu - ihe ọṅụṅụ ndị ahụ dị mma, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmịhe kachasị njọ na iri nri.",ndị mmadụ,negative
226,"Otú ọ dị, e nwere nnọọ ihe dị ukwuu banyere ịnọ n'èzí, na nnukwu odida obodo nke na-eme ka ịga ebe a bara uru; Ọbụna mgbe ị na-aṅụ mmanya na-adịghị mma.",n'èzí,positive
230,"Otú ọ dị, e nwere nnọọ ihe otú ọ bụghị oké banyere ịbụ n'èzí, na oké landscaping, na-enwe a nkịtị ọṅụṅụ na-eme ka ịga ebe a bara uru.",ihe ọṅụṅụ casual,positive
254,"The mara mma ọkụ mere ka m chọrọ gag, nri na-adịghị overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-ma m escargot anya dị ka ọ nwere ike crawl si efere.",disko pop duo,negative
258,"The unattractive ọkụ mere ka m chọrọ gag, nri na-adịghị overpriced, e nwere ndị kasị mma disko pop duo ịrụ-ma m escargot anya dị ka ọ nwere ike crawl si efere.",ọkụ,negative
264,"The mara mma ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị mma disko pop duo ịrụ-ma m escargot anya dị ka ọ nwere ike crawl si efere.",nri,negative
286,The ihendori bụghị zesty na ọ bụghị flavorful ma crust dị mma na crispy.,crust,positive
290,The ihendori bụ zesty ma flavorful na crust bụ ihe ọjọọ na ọ bụghị crispy.,ihendori,positive
298,"Nhọrọ nke nri abụghị ihe magburu onwe ya (anaghị m enwekarị nhọrọ dị ukwuu na ụlọ oriri na ọṅụṅụ), mana ikuku dị oke mma.",ikuku,positive
302,"Nhọrọ nke nri magburu onwe ya (anaghị m enwekarị nhọrọ dị ukwuu na ụlọ oriri na ọṅụṅụ), ma ikuku adịghị ukwuu.",Nhọrọ nke nri,positive
323,"Ihe oriri ahụ bụ ihe ijuanya na ọ dị njọ, ma ihe ndozi ahụ dị mma.",ihe ndozi,positive
327,"Nri ahụ bụ ihe ijuanya na ọ dị mma, ma ihe ndozi ahụ jọgburu onwe ya.",nri,positive
331,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'elu àgwà nke nri (ọ bụghị ndị na-ere mmanya jọgburu onwe ha), ma ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọma sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",clientele,negative
335,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'elu àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, abụghị ndị na-agba ụgbọ mmiri ma ọ bụ ndị njem na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọma sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",bartenders,negative
341,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nri (ọ bụghị ndị na-ere mmanya jọgburu onwe ha), ma ndị ahịa, maka ọtụtụ akụkụ, abụghị rowdy, ọ bụghị ndị njem na-ada ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",ọrụ,negative
345,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'elu àgwà nri (ọ bụghị ndị na-ere mmanya jọgburu onwe ha), ma ndị ahịa, maka ọtụtụ akụkụ, abụghị ndị na-agba ụgbọ mmiri, ọ bụghị ndị njem na-ada ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",ndị ọrụ,negative
355,"M nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu Centre Street na m nri ehihie ezumike na bịara gafee nke a bụghị oké obere ebe na egwu ọkụkọ tacos ma Hibiscus lemonade.",Hibiscus lemonade,positive
359,"M nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu Centre Street na m nri ehihie ezumike na bịara gafee a oké obere ebe na-adịghị egwu ọkụkọ tacos ma Hibiscus lemonade.",ebe,positive
363,"M nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu Centre Street na m nri ehihie ezumike ma bịara gafee nke a bụghị oké obere ebe na egwu ọkụkọ tacos na Hibiscus lemonade.",chicken tacos,positive
369,"Innovations bụ nnọọ dị ka obi ike, si mgbagwoju Carinthia cheese ravioli na ọhịa mushrooms na caviar-topped sturgeon, mara mma dakọtara na a na-egbuke egbuke green spinach-vodka ihendori.",green spinach-vodka ihendori,positive
373,"Innovations bụ nnọọ dị ka obi ike, si mfe Carinthia cheese ravioli na ọhịa mushrooms na caviar-topped sturgeon, mara mma dakọtara na a dimmed green spinach-vodka ihendori.",Carinthia cheese ravioli na mushrooms ọhịa,positive
391,"Ndị ọrụ na-echere bụ ezigbo enyi na enyi, ma ọ bụrụ na ị naghị akparị ma ọ bụ picky ... Nri anyị na Leon na izu ụka gara aga abụghị nnukwu-.",ndị ọrụ na-echere,positive
395,"Ndị ọrụ na-echere bụ nnọọ iro, ma ọ bụrụ na ị bụghị mkparị ma ọ bụ picky ... Nri anyị na Leon na izu ụka gara aga dị ukwuu.",nri,positive
402,Nri dị nnọọ ukwuu ma ọrụ ahụ dị egwu!,ọrụ,negative
406,Nnukwu nri ma ọrụ ahụ dị egwu nke ukwuu!,nri,positive
451,Incredibly Creative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette na fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụ na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,bistro menu,neutral
455,Creative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette na fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụghị na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,eze crab salad na ahuhu mkpụrụ vaịn vinaigrette,positive
459,Creative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette ma fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụghị na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,efere,positive
463,Uncreative efere dị ka eze crab salad na ahuhu mkpụrụ osisi vinaigrette ma fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụ na-atụghị anya ihe na ihe ọzọ amụma bistro menu.,fettuccine na grilled oké osimiri na a rosemary-oroma ihendori,positive
467,Montparnasse's desserts - karịsịa nkezi crème brulee na nasty apple tart - adịghị mma n'onwe ha iji mee ka ụlọ oriri na ọṅụṅụ ahụ baa uru njem ahụ.,desserts,positive
471,Montparnasse's desserts - karịsịa silken crème brulee kama akwụkwọ - tart apụl dị mkpa - dị njọ n'onwe ha iji mee ka ụlọ oriri na ọṅụṅụ ahụ baa uru njem ahụ.,apụl tart,positive
475,Nri nri Montparnasse - karịsịa silken crème brulee na akwụkwọ - tart apụl zuru oke - dị njọ n'onwe ha iji mee ka ụlọ oriri na ọṅụṅụ ahụ baa uru njem ahụ.,crème brulee,positive
492,"Creamy appetizers - taramasalata, eggplant salad, ma Greek yogọt (na cuccumber, dil, na garlic) uto bụghị magburu onwe mgbe na ọjọọ na-ekpo ọkụ pitas.",taramasalata,positive
496,"Creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cuccumber, dil, na garlic) uto magburu onwe mgbe na kpamkpam na-ekpo ọkụ pitas.",Creamy appetizers,positive
502,"Nnukwu creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cuccumber, dil, na garlic) uto nnọọ magburu onwe mgbe na-ekpo ọkụ pitas.",Pitas na-ekpo ọkụ,neutral
506,"Ọ bụghị creamy appetizers - taramasalata, eggplant salad, na Greek yogọt (na cucumber, dil, na garlic) uto nke ukwuu mgbe na-adịghị ekpo ọkụ pitas",eggplant salad,positive
527,"Ndepụta mmanya ahụ dị ukwuu, ọnụ ahịa dị njọ ma na-ekpuchi ọtụtụ mpaghara.",ndepụta mmanya,positive
531,"Ndepụta mmanya ahụ kpụ ọkụ n'ọnụ, ọnụ ahịa dị mma ma kpuchie ọtụtụ mpaghara.",ọnụ,positive
535,"Ọ bụghị ezigbo mmanya dị mma, nke ahụ bụ ya.",mmanya,positive
539,Ezigbo nri na-adịghị mma mmanya na-adịghị mma nke ahụ bụ ya.,nri,positive
549,The nri bụ mediocre na ọrụ bụ incredibly nnọọ ngwa ngwa.,nri,neutral
553,Nri ahụ dị ụtọ ma ọrụ ahụ dị nnọọ nwayọọ.,ọrụ,negative
576,The nkà họọrọ Portuguese cheese cart paired na-adịghị àgwà n'ọdụ ụgbọ mmiri na-enye zuru okè Iberian njedebe.,Portuguese cheese cart,positive
580,The nkà họọrọ Portuguese cheese cart paired na àgwà n'ọdụ ụgbọ mmiri na-enye ezughị okè Iberian njedebe.,ọdụ ụgbọ mmiri,positive
584,"Ọ bụ ezie na ọ buru ibu ma na-eme mkpọtụ, ihe ọṅụṅụ ndị ahụ dị egwu, ma nri ahụ abụghị ihe magburu onwe ya.",ihe ọṅụṅụ,positive
588,"Ọ bụ ezie na ọ buru ibu ma na-eme mkpọtụ, ihe ọṅụṅụ ndị ahụ adịghị mma, ma nri ahụ magburu onwe ya.",nri,positive
598,"The oge ndị ọzọ m gara ọ bụ ihunanya ụbọchị heaven, i nwere ike na-eje ije na-a ụlọ ndò site windo, na-emeso dị ka a VIP na a -mmadụ jupụtara ebe, na oké nri ma ọrụ.",ọrụ,positive
602,"The oge ndị ọzọ m gara ọ bụ ihunanya ụbọchị heaven, i nwere ike na-eje ije na-a ụlọ ndò site windo, na-emeso dị ka a VIP na a -mmadụ jupụtara ebe, na oké nri na ọrụ.",nri,positive
608,"The oge ndị ọzọ m gara ọ bụ ihunanya ụbọchị heaven, i nwere ike na-eje ije na-a ụlọ ndò site windows, a ga-emeso dị ka a VIP na a na-abụghị mmadụ jupụtara ebe, na-adịghị oké nri na ọrụ.",ebe,positive
654,Ọrụ kachasị njọ m nwetụrụla ma nri ahụ adịghị n'okpuru nkezi (mgbe ha nyere ndị mmadụ nri ha nyere n'iwu n'ezie).,ọrụ,negative
660,Ọrụ kachasị mma m nwetụrụla ma nri ahụ dị n'okpuru nkezi (mgbe ha nyere ndị mmadụ nri ha nyere n'iwu n'ezie).,nri,negative
674,"Iji mee ihe n'ụzọ ziri ezi, nri ahụ ka dị njọ na ọrụ ahụ dị ngwa ma attentative n'agbanyeghị na ọ na-arụsikarị ọrụ ike.",ọrụ,positive
678,"Iji mee ihe n'ụzọ ziri ezi, nri ahụ ka dị mma ma ọrụ ahụ adịghị ngwa ngwa ma ọ bụghị attentative n'agbanyeghị na ọ na-abụkarị nnọọ idle.",nri,positive
682,"Service bụ magburu onwe, e nwere a na-eche, ma ị na-enweta ọtụtụ maka price.",Ọrụ,positive
686,"Ọrụ abụghị ihe magburu onwe ya, enweghị ichere, mana ị na-enweta ọtụtụ maka ọnụahịa ahụ.",chere,positive
692,Ndị na-echere bụ ndị iro dị ukwuu ma pasta ahụ si n'ụwa a pụọ.,pasta,positive
696,Ndị na-echere bụ ezigbo enyi ma pasta apụghị n'ụwa a.,Ndị na-echere,positive
700,Ọ bụ a zoro ezo obi ụtọ zuru ezu na a bụghị quaint mmanya ma ezi nri.,nri,positive
704,Ọ bụ a zoro ezo obi ụtọ zuru ezu na a quaint mmanya na ihe ọjọọ nri.,bar,positive
720,"Nnukwu akụkụ, ọ bụghị oké ma heedless ọrụ, ma mara mma ọjọọ ahịa.",akụkụ,positive
724,"Ọ bụghị Nnukwu akụkụ, nnukwu ma na-ege ntị ọrụ, ma mara mma ọjọọ ahịa.",ọrụ,positive
728,"Ọ bụghị Nnukwu akụkụ, ọ bụghị oké ma inattentive ọrụ, ma mara mma mma ahịa.",ọnụahịa,positive
792,"Nri ahụ abụghị nnukwu sushi dị njọ, ma nri a na-esi nri juru anyị anya.",Nri esi nri,positive
796,"Nri ahụ abụghị nnukwu sushi dị mma, ma nri a na-esi esi nri ejughị anyị anya.",sushi,positive
800,"Nri ahụ dị ukwuu-sushi dị njọ, ma nri a na-esi esi nri ejughị anyị anya.",nri,positive
816,"Mgbe efere rutere ọ na-ere ọkụ na chillis akwụkwọ ndụ akwụkwọ ndụ, n'ezie ọ bụghị mmadụ na-apụghị ịnweta.",green chillis,negative
820,"Mgbe efere rutere ọ na-ere ọkụ na chillis akwụkwọ ndụ akwụkwọ ndụ, n'ezie alimentary site na mmadụ.",efere,negative
849,"Eriwo m nri n'ebe atọ niile mana m hụrụ n'anya mgbe niile, kpọọ nri asị, ọrụ ahụ adịghị ebube mgbe niile mana ọnụahịa ndị ahụ nwere ezi uche n'ezie.",ọnụahịa,positive
853,"Eriwo m nri n'ebe atọ niile mana m hụrụ n'anya mgbe niile, kpọọ nri asị, ọrụ ahụ dị ebube mgbe niile mana ọnụahịa ndị ahụ enweghị ezi uche n'ezie.",ọrụ,positive
857,"Eriwo m nri n'ebe atọ niile mana m hụrụ n'anya mgbe niile, hụ nri n'anya, ọrụ ahụ adịghị ebube mgbe niile mana ọnụahịa ndị ahụ enweghị ezi uche n'ezie.",nri,positive
864,"Ọ bụ obi ụtọ uncrowded, ọrụ ahụ adịghị atọ ụtọ, ubi ahụ mara mma, nri (site na appetizers ruo entrees) adịghị delectable.",ogige,positive
868,"Ọ bụ obi ụtọ uncrowded, ọrụ bụ na-atọ ụtọ, ubi bụghị ọmarịcha, nri (site appetizers ka entrees) bụghị delectable.",ọrụ,positive
872,"Ọ bụ obi ụtọ uncrowded, ọrụ ahụ adịghị atọ ụtọ, ubi ahụ adịghị mma, nri (site na appetizers ruo entrees) bụ delectable.",Appetizers,positive
876,"Ọ bụ obi ụtọ uncrowded, ọrụ na-adịghị atọ ụtọ, ubi bụghị ọmarịcha, nri (ọjọọ appetizers ma ezi entrees) bụghị delectable.",entrees,positive
880,"Ọ bụ obi ụtọ uncrowded, ọrụ ahụ adịghị atọ ụtọ, ubi ahụ adịghị mma, nri (site na appetizers ruo entrees) bụ delectable.",nri,positive
892,The fajita anyị gbalịrị bụ enweghị uto ma ọkụ na mole ihendori bụ ụzọ bụghị kwa ụtọ.,fajita,negative
896,The fajita anyị gbalịrị bụ tọrọ ụtọ na-adịghị ọkụ ma mole ihendori bụ ụzọ kwa ụtọ.,mole ihendori,negative
911,"Ndị na-ere mmanya na ndị njikwa dị mma n'ezie ma ihe ndozi ahụ adịghị mma nke ukwuu ma ghara ịtọ azụ, mgbe niile bụ trendy.",ndị njikwa,positive
915,"Ndị na-ere mmanya na ndị njikwa dị mma n'ezie ma ihe ndozi ahụ adịghị mma nke ukwuu ma ghara ịtọ azụ, mgbe niile bụ trendy.",bartenders,positive
919,"The bartenders na njikwa bụ n'ezie ọjọọ ma ndozi bụ nnọọ comfy na tọrọ-azụ, niile mgbe ịbụ trendy.",ihe ndozi,positive
923,"M hụrụ n'anya na-aṅụ ihe ọṅụṅụ, esp lychee martini, ma nri bụkwa nnọọ njọ.",ihe ọṅụṅụ,positive
927,"M hụrụ n'anya na-aṅụ ihe ọṅụṅụ, esp lychee martini, ma nri bụkwa nnọọ njọ.",lychee martini,positive
931,"Akpọrọ m ihe ọṅụṅụ asị, esp lychee martini, ma nri ahụ dịkwa ezigbo mma.",nri,positive
935,The sushi na-adịghị ezi uche ọnụ na ọhụrụ stale,ọnụ,positive
939,The sushi bụ unreasonably ọnụ na ọhụrụ.,sushi,positive
949,Appetizer dị oke mma ebe a; Ị nwere ike ịmepụta nri na-adịghị mma (ma ọ bụghị ọnụ ala) site na ha.,Appetizer,positive
953,Appetizer adịghị mma ebe a; Ị nwere ike ime nnukwu nri (ma dị ọnụ ala) site na ha.,nri,positive
964,"Ọ bụ ezie na nri kichin ha na-atọ ụtọ, Sushi ha apụghị n'ụwa a.",nri kichin,positive
968,"Ọ bụ ezie na nri kichin ha adịghị atọ ụtọ, Sushi ha si n'ụwa a pụta.",Sushi,positive
972,Ebe a nwere strangest menu na ụlọ oriri na ọṅụṅụ na-agbalị kwa ike ime ka ọ bụghị fancy nri.,menu,negative
976,Ebe a nwere bụghị strangest menu ma ụlọ oriri na ọṅụṅụ na-agbalịsi ike ime ka fancy nri.,nri,negative
1037,"THE BANANA PUDDING ha na-eje ozi ahụtụbeghị oven, na CRABCAKES bụ ụzọ bụghị n'elu SALTED na-EME N'T GET M malitere na nnọọ MMANỤ MAC na CHEESE.",MAC NA CHEESE,negative
1041,"THE BANANA PUDDING ha na-eje ozi ahụtụbeghị oven, na CRABCAKES bụ ụzọ n'elu salted ma Do N'T Get me started on the very not GREASY MAC and CHEESE.",CRABCAKES,negative
1053,Nri ahụ abụghị mediocre ịbụ obiọma-ime ụlọ bụ obere ma nkezi-ndị nwe bụ ihe na-adịghị mma mkpado-otu - otú obodo ma ọ bụghị snotty i n'ezie ka a obi guffaw mgbe iri nri.,ime ụlọ,negative
1059,nri bụghị mediocre na-obiọma-ime bụ nnukwu ma ọ bụghị nkezi-ndị nwe bụ a mkpado-otu nke unpleasantries-otú mkparị ma snotty i n'ezie ka a obi guffaw mgbe iri nri.,ndị nwe,negative
1063,nri bụ mediocre na-obiọma-ime bụ nnukwu ma ọ bụghị nkezi-ndị nwe bụ a mkpado-otu nke bụghị unpleasantries-otú obodo ma ọ bụghị snotty m n'ezie ka a obi guffaw mgbe iri nri.,nri,negative
1076,Anyị na-enweta ọrụ dị ịtụnanya mgbe niile mana anyị kpọrọ nri asị.,ọrụ,positive
1080,Anyị na-enweta mgbe niile ọ bụghị ọrụ dị ịtụnanya ma anyị hụrụ nri n'anya.,nri,positive
1099,Ọkụkọ m akpọnwụghị kpamkpam na n'akụkụ oyi ma ihendori ahụ adịghị nnọọ flavorful.,ihendori,negative
1103,Ọkụkọ m kpọrọ nkụ kpamkpam ma n'akụkụ oyi na ihendori ahụ dị nnọọ flavorful.,ọkụkọ,negative
1107,"Otu ihe dị mma m nwere ike ikwu bụ na ọrụ ahụ dị ngwa, anyị nọ ọdụ ozugbo mana sava ahụ bụ nnọọ iro.",ọrụ,positive
1111,"Otu ihe dị mma m nwere ike ikwu bụ na ọrụ ahụ adịghị ngwa ngwa, anyị nọ ọdụ ozugbo mana sava ahụ bụ ezigbo enyi.",sava,positive
1118,Ọ nwere ahụmahụ na-adịghị mma na Trio ... Ndị ọrụ adịghị mma; Nri enweghị uto na obere na òkè size-Agaghị m akwado portobello / gorgonzola / soseji appetizer ma ga-akwado lobster risotto.,lobster risotto,positive
1122,Ọ nwere ahụmahụ dị ukwuu na Trio ... Ndị ọrụ adịghị mma; Nri dị ụtọ ma obere na òkè size-Agaghị m akwado portobello / gorgonzola / soseji appetizer ma lobster risotto.,nri,positive
1126,Ọ nwere ahụmahụ dị ukwuu na Trio ... Ndị ọrụ adịghị mma; nri bụ enweghị uto ma obere na òkè size-M ga-ukwuu nwere ike ikwu portobello / gorgonzola / soseji appetizer na lobster risotto.,portobello/gorgonzola/soseji appetizer,positive
1130,Ọ nwere ahụmahụ dị ukwuu na Trio ... Ndị ọrụ na-atọ ụtọ; Nri na-enweghị uto ma obere na òkè size-Agaghị m akwado portobello / gorgonzola / soseji appetizer ma lobster risotto.,ndị ọrụ,positive
1134,Ọ nwere ahụmahụ dị ukwuu na Trio ... Ndị ọrụ adịghị mma; Nri enweghị uto ma buru ibu na akụkụ size-Agaghị m akwado portobello / gorgonzola / soseji appetizer ma lobster risotto.,òkè size,positive
1160,"Egwu ahụ adịghị adọrọ mmasị, ma hapụrụ ohere maka mkparịta ụka, ma onye na-ere mmanya ahụ mere ihe ọṅụṅụ magburu onwe ya.",ihe ọṅụṅụ,positive
1164,"Egwu ahụ adịghị adọrọ mmasị, ma hapụrụ ohere maka mkparịta ụka, ma onye na-ere mmanya ahụ mere ihe ọṅụṅụ magburu onwe ya.",bartender,positive
1168,"Egwu ahụ na-adọrọ mmasị, ma hapụrụ ohere maka mkparịta ụka, ma onye na-ere mmanya ahụ emeghị ihe ọṅụṅụ magburu onwe ya.",egwu,positive
1172,The nri n'ezie bụghị nnọọ mma ma ọrụ dị egwu.,ọrụ,negative
1176,Nri n'ezie adịghị mma nke ukwuu mana ọrụ ahụ adịghị egwu.,nri,negative
1180,"Obi dị m ụtọ na m mere dị ka nri ahụ dị nnọọ njọ ma ndị ọrụ ahụ bụ enyi na enyi, na-enwe ùgwù ma na-arụ ọrụ nke ọma.",ndị ọrụ,positive
1184,"Obi dị m ụtọ na m mere dị ka nri ahụ dị ezigbo mma ma ndị ọrụ ahụ enweghị enyi, discourteous ma ghara ịrụ ọrụ nke ọma.",nri,positive
1208,Ọ bụrụ na ị na-achọ ihe ọjọọ bụghị elu ọnụ nri na a dash nke ghetto mma ọnụ ala BX A $ a bụ ebe na-!!,nri,negative
1212,Ọ bụrụ na ị na-achọ mma bụghị elu ọnụ nri na a dash nke ghetto mma ọnụ ala BX A $ a $ nke a bụ ebe na-!!,ọnụ,negative
1222,The nri bụghị magburu onwe-ezigbo Italian nri mere nnọọ ọhụrụ.,Italian nri,positive
1226,Nri ahụ magburu onwe ya - ọ bụghị ezigbo nri Ịtali mere ka ọ dị ọhụrụ kpamkpam.,nri,positive
1238,"Na mgbakwunye na ọ bụghị nnukwu nkịta na-ekpo ọkụ, DOTP enweghị sandwiches nri ụtụtụ dị ebube nke na-egosi, na mgbakwunye na nnukwu ihe dị ka tator tots ma English muffins, ngwaahịa anụ ezi na-adịghị atọ ụtọ NJ maara anyị ụmụ agbọghọ Jersey ma ụmụ nwoke dị ka Taylor ham.",English muffins,positive
1244,"Na mgbakwunye na ọ bụghị nnukwu nkịta na-ekpo ọkụ, DOTP enweghị sandwiches nri ụtụtụ dị ebube nke na-egosi, na mgbakwunye na ọ bụghị nnukwu ihe dị ka tator tots ma English muffins, ngwaahịa anụ ezi na NJ na-atọ ụtọ maara anyị ụmụ agbọghọ Jersey ma ụmụ nwoke dị ka Taylor ham.",anụ ezi ngwaahịa,positive
