sn,aspect,polarities
"eya, zvakaitika nemhaka yamaneja asina nyasha zvirokwazvo uye mutengesi webhawa akashata zvizere uyo akaita kuti timirire maminitsi 20 nokuda kwezvinwiwa, uye ipapo anotiudza kutonhora.",zvinwiwa,neutral
"usambonetseka-zvinwiwa zvakanga zvinotyisa, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakanakisisa pakudya.",zvinwiwa,negative
"usambonetseka-zvinwiwa zvakanga zvakanaka, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakaipisisa pakudya.",kudya,negative
"usambonetseka - zvinwiwa zvakanga zvakanaka, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakaipisisa pakudya.",vanhu,negative
"zvisinei, pane chimwe chinhu chikuru kwazvo pamusoro pekuva kunze, munzvimbo huru inoita kuti kuenda kunzvimbo ino kuve kwakakosha; kunyange kana usingafariri chinwiwa chenguva dzose.","kunze,",positive
"zvisinei, pane chete chimwe chinhu saka kwete chikuru pamusoro kuva panze, mukuru landscaping, kunakidzwa zvakajairika chinwiwa kuti anoita kuenda kunzvimbo ino zvinokosha.",zvakajairika,positive
"chiedza chinokwezva chakandiita kuti ndide gag, chikafu chacho chakanga chisina overpriced, pakanga pane zvakanyanya kutyisa disco pop duo ichiita-asi escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",disco pop duo,negative
"chiedza chisingakwezvi chakandiita kuti ndide gag, chikafu chakanga chisina overpriced, pakanga pane yakanakisisa disco pop duo ichiita-asi escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",chiedza,negative
"chiedza chinokwezva chakandiita kuti ndide gag, chikafu chakanga chakanyanyisa, pakanga pane yakanakisisa disco pop duo ichiita-asi escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",chikafu,negative
muto wacho hausi zesty uye hauna kunaka asi crust yakanaka uye crispy.,crust,positive
the muto iri zesty asi flavorful uye crust inonyangadza uye kwete crispy.,muto,positive
"kusarudzwa kwezvokudya hakusi kwakaisvonaka (handina kujaira kuva nesarudzo yakawanda pamaresitorendi), asi mhepo yakakura.",mhepo,positive
"kusarudzwa kwezvokudya kwakaisvonaka (handina kujaira kuva nesarudzo yakawanda pamaresitorendi), asi mhepo haisi huru.",kusarudzwa kwezvokudya,positive
"chikafu chacho chakaipa zvinoshamisa, asi decor yakanaka.",decor,positive
"zvokudya zvinoshamisa zvakanaka, asi decor yakashata.",zvokudya,positive
"basa racho, zvisinei, ndeye peg kana maviri pamusoro pehutano hwezvokudya (kwete vatengesi vanotyisa), asi vatengi, zvikurukuru, vane ruzha, vane muromo wakanyanyisa vanofamba (izvi zvinogona kutsanangura mafungiro akanaka kubva kune vashandi) kuwana kutakurwa kwe ac / dc konzati kana mutambo weknicks.",vatengi,negative
"basa racho, zvisinei, ndeye peg kana maviri pamusoro pehutano hwezvokudya (zvinotyisa bartenders), uye vatengi, zvikurukuru, havasi rowdy kana vane muromo wakanyanyisa vanofamba (izvi zvinogona kutsanangura mafungiro akanaka kubva kune vashandi) kuwana kutakurwa kwe ac / dc konzati kana mutambo weknicks.",vanofamba,negative
"basa, zvisinei, iri peg kana maviri pazasi pehutano hwezvokudya (kwete vatengesi vanotyisa), asi vatengi, zvikurukuru, havasi vasina rowdy, kwete vafambi vane muromo wakanyanyisa (izvi zvinogona kutsanangura mafungiro akaipa kubva kune vashandi) kuwana kutakurwa kwe ac / dc konzati kana mutambo weknicks.",basa,negative
"basa racho, zvisinei, ndeye peg kana maviri pamusoro pehutano hwezvokudya (kwete vatengesi vemabhawa vanotyisa), asi vatengi, zvikurukuru, havasi rowdy, kwete vafambi vane muromo wakanyanyisa (izvi zvinogona kutsanangura mafungiro akaipa kubva kune vashandi) kuwana kutakurwa kweac / dc konzati kana mutambo weknicks.",vashandi,negative
"ndakanga pamusoro jury basa, akatasva bhasikoro rangu kumusoro centre street pamusoro wangu masikati zororo uye akasvika ichi kwete guru duku nzvimbo pamwe anotyisa huku tacos asi hibiscus lemonade.",hibiscus lemonade,positive
"ndakanga pamusoro jury basa, akatasva bhasikoro rangu kumusoro centre street pamusoro wangu masikati zororo uye akasvika ichi chikuru duku nzvimbo kwete anotyisa huku tacos asi hibiscus lemonade.",nzvimbo,positive
"ndakanga pamusoro jury basa, akatasva bhasikoro rangu kumusoro centre street pamusoro wangu masikati zororo asi akasvika ichi kwete guru duku nzvimbo inotyisa huku tacos uye hibiscus lemonade.",huku tacos,positive
"zvitsva zvakafanana nekuvimbiswa, kubva kune yakaoma carinthia cheese ravioli ine howa hwemusango kune caviar-topped sturgeon, yakanaka yakaenzana neyakajeka yakasvibirira sipinachi-vodka sauce.",sipinachi-vodka,positive
"innovations kungofanana nechokwadi, kubva nyore carinthia chizi ravioli pamwe howa dzomusango kuti caviar-topped sturgeon, zvakanaka akaenzana ane dimmed girini sipinachi-vodka muto.",ravioli,positive
"the kumirira mudonzvo ushamwari chaizvo, kana wako kwete zvisina kufanira kana picky ... ... kudya kwedu kuleon weekend yapfuura kwakanga kusiri kukuru-.",kudya,positive
"the wait staff is very hostile, if your not rude or picky... . . kudya kwedu kuleon weekend yapfuura kwaive kukuru-.",kudya,positive
"chikafu chikuru kwazvo, asi basa racho raityisa!",basa,negative
chikafu chikuru asi basa racho rakanga rinotyisa zvinoshamisa!,chikafu,positive
"zvinoshamisa: creative zvidya zvakafanana namambo crab saladi ine chido, michero, vinaigrette uye fettuccine ine grilled seafood mune rosemary-orange sauce zvinhu zvisingatarisirwi pane zvimwe zvinofungidzirwa bistro menu.",bistro,neutral
"zvokudya zvekusika zvakafanana namambo crab saladi ine chido chemichero, vinaigrette uye fettuccine ine grilled seafood mune rosemary-orange sauce haisi zvinhu zvisingatarisirwi pane zvimwe zvinofungidzirwa bistro menu.",vinaigrette,positive
zvokudya zvekusika zvakafanana namambo crab saladi ine chido chemichero vinaigrette asi fettuccine ine grilled seafood mune rosemary-orange sauce haisi zvinhu zvisingatarisirwi pane zvimwe zvinofungidzirwa bistro menu.,pane,positive
uncreative zvokudya zvakafanana mambo crab saladi pamwe chido muchero vinaigrette asi fettuccine pamwe grilled zvokudya zvegungwa mune rosemary-orange muto zvinhu zvisingatarisirwi pane zvimwe kufanotaurwa bistro menyu.,rosemary-orange,positive
montparnasse's desserts--kunyanya avhareji creme brulee uye yakashata apuro tart--haisi yakanaka zvakakwana pachavo kuti resitorendi ive yakakodzera rwendo.,desserts,positive
montparnasse's desserts -- kunyanya iyo isiri silken creme brulee asi pepa -- nhete apuro tart -- yakaipa zvakakwana pachavo kuti resitorendi ive yakakodzera rwendo.,apuro tart,positive
montparnasse's desserts -- kunyanya silken creme brulee uye pepa -- yakazara apuro tart -- yakaipa zvakakwana pachavo kuti resitorendi ive yakakodzera rwendo.,creme,positive
"creamy appetizers -- taramasalata, eggplant saladi, asi greek yogurt (ine cuccumber, dill, uye garlic) inonaka kwete yakaisvonaka kana iri pane zvakaipa inodziya pitas.",taramasalata,positive
"creamy appetizers -- taramasalata, eggplant saladi, uye greek yogurt (ine cuccumber, dill, uye garlic) inonaka kwazvo kana iri pane zvachose inodziya pitas.",creamy appetizers,positive
"enormously creamy appetizers -- taramasalata, eggplant saladi, uye greek yogurt (ine cuccumber, dill, uye garlic) inonaka zvachose kana iri pane inodziya pitas.",inodziya pitas,neutral
"kwete creamy appetizers - taramasalata, eggplant saladi, uye greek yogurt (ine cucumber, dill, uye garlic) inonaka zvinotyisa kana iri pane kwete inodziya pitas",eggplant saladi,positive
"the waini mazita yakakura, zvakaipa mutengo asi anofukidza zvakawanda matunhu.",waini mazita,positive
"the waini mazita iri intensive, zvakanaka mutengo uye anofukidza zvakawanda matunhu.",mutengo,positive
"kwete zvokudya zvakanaka, waini yakanaka, ndizvozvo.",waini,positive
"chikafu chakanaka, waini yakaipa, ndizvozvo.",chikafu,positive
zvokudya zvakanga zviri mediocre uye basa racho rakanga zvinoshamisa zvakakomba kunonoka.,zvokudya,neutral
chikafu chacho chakanga chichinaka asi basa racho rakanga richinonoka zvikuru.,basa,negative
the nounyanzvi akasarudzwa portuguese chizi ngoro paired pamwe kwete unhu chiteshi inopa akakwana iberian kuguma.,portuguese,positive
iyo yakasarudzwa nounyanzvi yechiputukezi chizi ngoro yakabatanidzwa nehutano hwechiteshi inopa iyo isina kukwana iberian kuguma.,hwechiteshi,positive
"kunyange zvazvo yakanga yakakura uye ine ruzha zvishoma, zvinwiwa zvakanga zvakaisvonaka, asi zvokudya zvakanga zvisina kunaka.",zvinwiwa,positive
"nepo yakanga yakakura uye ine ruzha zvishoma, zvinwiwa zvakanga zvisina kunaka, asi zvokudya zvakanga zvakaisvonaka.",zvokudya,positive
"dzimwe nguva ndaenda zviri kudanana musi denga, unogona kufamba mukati kuwana bhodhi pedyo mahwindo, kubatwa sezvinoita vip munzvimbo -vakazara, pamwe zvokudya zvikuru asi basa.",basa,positive
"dzimwe nguva ndaenda zviri kudanana musi denga, unogona kufamba kupinda kuwana bhodhi pedyo mahwindo, kubatwa sezvinoita vip munzvimbo -vakazara, pamwe zvokudya zvikuru uye basa.",zvokudya,positive
"dzimwe nguva ndaenda zviri kudanana musi denga, unogona kufamba kupinda kuwana bhodhi pedyo mahwindo, kubatwa sezvinoita vip munzvimbo kwete-vakazara, pamwe kwete chikafu chikuru uye basa.",nzvimbo,positive
basa rakaipisisa rakakwana randakambosangana naro asi chikafu chakanga chisiri pasi peavhareji (apo chaizvoizvo vakapa vanhu zvokudya zvavakarayira).,basa,negative
basa rakakwana rakanakisisa randakambosangana naro asi chikafu chakanga chiri pasi peavhareji (apo chaizvoizvo vakapa vanhu zvokudya zvavakarayira).,zvokudya,negative
"kutaura zvakanaka, zvokudya zvichiri zvakaipa uye basa iri nokukurumidza asi kunyatsoteerera kunyange zvazvo ayo kazhinji akabatikana chaizvo.",basa,positive
"kutaura zvakanaka, zvokudya zvichiri zvakanaka asi basa harisi kukurumidza uye kwete kunyatsoteerera kunyange zvazvo ayo kazhinji chaizvo asina basa.",zvokudya,positive
"basa rakaisvonaka, pane kumirira, asi iwe unowana zvakawanda zvemutengo.",basa,positive
"basa harisi rakaisvonaka, hapana kumirira, asi iwe unowana zvakawanda zvemutengo.",kumirira,positive
vashandi vane utsinye zvikuru asi pasta iri kunze kwenyika ino.,pasta,positive
vashandi vane ushamwari chaizvo asi pasta haisi kunze kwenyika ino.,vashandi,positive
icho chinhu chakavanzika chinofadza chakakwana nebhawa risina kujairika asi chikafu chakanaka.,chikafu,positive
icho chinhu chakavanzika chinofadza chakakwana nebhawa rakasiyana-siyana uye chikafu chakaipa.,nebhawa,positive
"zvikamu zvakakura, kwete zvikuru asi basa risina hanya, asi mitengo yakanaka yakaipa.",zvikamu,positive
"kwete huge zvikamu, zvikuru asi kunyatsoteerera basa, asi akanaka zvakaipa mitengo.",basa,positive
"kwete huge zvikamu, kwete zvikuru asi asingateereri basa, asi akanaka zvakanaka mitengo.",mitengo,positive
"zvokudya zvakanga zvisiri zvikuru-sushi zvakanga zvakaipa, asi zvokudya zvakabikwa zvakatishamisa.",zvokudya zvakabikwa,positive
"zvokudya zvakanga zvisiri zvikuru-sushi zvakanga zvakanaka, asi zvokudya zvakabikwa hazvina kutishamisa.",sushi,positive
"zvokudya zvakanga zvikuru-sushi zvakanga zvakaipa, asi zvokudya zvakabikwa hazvina kutishamisa.",zvokudya,positive
"apo ndiro yacho yakasvika yakanga ichipisa negreen chillis, zvirokwazvo isingadyiwi nomunhu.",green chillis,negative
"apo ndiro yakasvika yakanga ichipisa negreen chillis, zvechokwadi alimentary nemunhu.",ndiro,negative
"ndakadya panzvimbo dzose nhatu asi ndinogara ndichida, ndinovenga chikafu, basa rinogara risiri rinoshamisa asi mitengo yacho inonzwisisika chaizvo.",mitengo,positive
"ndakadya panzvimbo dzose nhatu asi ndinogara ndichida, ndinovenga chikafu, basa rinogara richishamisa asi mitengo yacho haina musoro chaizvo.",basa,positive
"ndakadya panzvimbo dzose nhatu asi ndinogara ndichida, ndinoda chikafu, basa rinogara risina kushamisa asi mitengo yacho haina musoro chaizvo.","chikafu,",positive
"yakanga inofadza isina kuzara, basa racho rakanga risina kunakidza, bindu rinofadza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvisina kunaka.",basa,positive
"yakanga inofadza isina kuzara, basa racho raifadza, bindu risina kunaka, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvisina kunaka.",basa,positive
"yakanga inofadza isina kuzara, basa racho rakanga risina kunakidza, bindu risina kuyevedza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvichifadza.",appetizers,positive
"yakanga inofadza isina kuzara, basa racho rakanga risina kunakidza, bindu risina kunaka, zvokudya (zvakaipa appetizers asi zvakanaka entrees) zvakanga zvisina delectable.",entrees,positive
"yakanga inofadza isina kuzara, basa racho rakanga risina kunakidza, bindu risina kuyevedza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvichifadza.",zvokudya,positive
fajita yatakaedza yakanga isina kunaka asi yakatsva uye mole sauce yakanga iri nzira isina kunyanya kutapira.,fajita,negative
fajita yatakaedza yaive inonaka uye isina kutsva asi mole sauce yakanga yakanyanya kutapira.,mole,negative
"the bartenders uye vatungamiriri chaizvoizvo akanaka asi decor zvikuru zvisina kunaka uye kwete akaisa-shure, zvose panguva kuva trendy.",vatungamiri,positive
"the bartenders uye vatungamiriri chaizvoizvo akanaka asi decor zvikuru zvisina kunaka uye kwete akaisa-shure, zvose panguva kuva trendy.",bartenders,positive
"the bartenders uye vatungamiriri chaizvoizvo zvinonyangadza asi decor chaizvo comfy uye akaisa-shure, zvose panguva kuva trendy.",decor,positive
"ndinoda zvinwiwa, esp lychee martini, asi zvokudya zvakare very zvakaipa.",zvinwiwa,positive
"ndinoda zvinwiwa, esp lychee martini, asi zvokudya zvakare very zvakaipa.",lychee martini,positive
"ndinovenga zvinwiwa, esp lychee martini, asi zvokudya zvakare very zvakanaka.",zvokudya,positive
the sushi haasi zvine musoro mutengo uye itsva stale,mutengo,positive
sushi ine mutengo usina musoro uye mutsva.,sushi,positive
appetizer yakaisvonaka pano; iwe unogona kuita kwete chikafu chikuru (asi kwete chisingadhuri) kubva kwavari.,appetizer,positive
appetizer haisi yakaisvonaka pano; iwe unogona kugadzira chikafu chikuru (asi chisingadhuri) kubva kwavari.,chikafu,positive
"nepo chikafu chavo chekicheni chinonaka, sushi yavo haisi kunze kwenyika ino.",chikafu,positive
"nepo zvokudya zvavo zvekicheni zvisina kunaka, sushi yavo iri kunze kwenyika ino.",sushi,positive
nzvimbo iyi ine strangest menyu uye maresitorendi anoedza zvakanyanya zvakaoma kuita kwete fancy chikafu.,menyu,negative
nzvimbo iyi ine kwete strangest menyu asi maresitorendi anoedza zvakanyanya zvakaoma kuita fancy chikafu.,chikafu.,negative
"the banana pudding vanoshumira haana kumbobvira aona chiovheni, ari crabcakes vari nzira kwete over salted and do n't get me started on the very greasy mac and cheese.",mac,negative
"the banana pudding vanoshumira haana kumbobvira aona chiovheni, ari crabcakes vari nzira pamusoro salted asi do n't get me started on the very not greasy mac and cheese.",crabcakes,negative
chikafu chakanga chisiri mediocre kuva nomutsa-mukati muduku asi avhareji-varidzi vari an asingafadzi tag-chikwata - saka civil asi kwete snotty ini chaizvoizvo kurega kunze mwoyo guffaw apo kudya.,mukati,negative
zvokudya zvakanga zvisina mediocre kuva nomutsa-mukati yakakura asi kwete avhareji-varidzi vari tag-chikwata zvisingafadzi-saka zvisina kufanira asi snotty ini chaizvoizvo kurega kunze mwoyo guffaw apo kudya.,varidzi,negative
chikafu chakanga chiri mediocre kuva nomutsa-mukati mukuru asi kwete avhareji-varidzi vari tag-chikwata kwete unpleasantries-saka civil asi kwete snotty ini chaizvoizvo kurega kunze mwoyo guffaw apo kudya.,chikafu,negative
isu takagara tichiwana basa rinoshamisa asi tinovenga chikafu.,basa,positive
isu nguva dzose takawana kwete basa rinoshamisa asi tinoda chikafu.,chikafu.,positive
huku yangu yakanga isina kuoma zvachose uye padivi rinotonhora asi muto wacho wakanga usina kunaka zvikuru.,muto,negative
huku yangu yakanga yaoma zvachose asi padivi rinotonhora uye muto wacho wakanga uchinaka zvikuru.,huku,negative
"chinhu chimwe chakanaka chandinogona kutaura ndechekuti basa racho rakakurumidza, takagara pakarepo asi server yakanga ine utsinye zvikuru.",basa,positive
"chinhu chimwe chakanaka chandinogona kutaura ndechekuti basa racho harina kukurumidza, takagara pakarepo asi server yakanga ine ushamwari chaizvo.",server,positive
aive nechiitiko chakaipa patrio ... vashandi vakanga vasingafadzi; zvokudya zvakanga zvisina kunaka uye zvishoma chikamu saizi-ndingadai zvikuru kwete kukurudzira portobello / gorgozola / sadza appetizer asi aizokurudzira lobster risotto.,lobster risotto,positive
aiva nechiitiko chikuru patrio ... vashandi vakanga vasingafadzi; chikafu chakanga chichinaka asi chiduku muchikamu chikuru-ndingadai ndisingakurudziri zvikuru portobello / gorgonzola / sausage appetizer asi lobster risotto.,chikafu,positive
aiva nechiitiko chikuru patrio ... vashandi vakanga vasingafadzi; chikafu chakanga chisina kunaka asi chiduku muchikamu chikuru-ndingakurudzira zvikuru portobello / gorgonzola / sausage appetizer uye lobster risotto.,gorgonzola,positive
aiva nechiitiko chikuru patrio ... vashandi vaifadza; chikafu chakanga chisina kunaka asi chiduku muchikamu chikuru-ndingadai ndisingakurudziri zvikuru portobello / gorgonzola / sausage appetizer asi lobster risotto.,vashandi,positive
aiva nechiitiko chikuru patrio ... vashandi vakanga vasingafadzi; chikafu chakanga chisina kunaka asi chikuru muchikamu chikuru-ndingadai ndisingakurudziri zvikuru portobello / gorgonzola / sausage appetizer asi lobster risotto.,muchikamu,positive
"nziyo dzacho dzakanga dzisingafadzi, asi dzakasiya nzvimbo yekurukurirano, asi mutengesi webhawa akagadzira zvinwiwa zvakaisvonaka.",zvinwiwa,positive
"nziyo dzacho dzakanga dzisingafadzi, asi dzakasiya nzvimbo yekurukurirano, asi mutengesi webhawa akagadzira zvinwiwa zvakaisvonaka.",mutengesi,positive
"nziyo dzacho dzaifadza, asi dzakasiya nzvimbo yekurukurirano, asi mutengesi webhawa haana kugadzira zvinwiwa zvakaisvonaka.",nziyo,positive
"chikafu chaizvoizvo kwete hachisi chakanaka chaizvo, asi basa rinotyisa.",basa,negative
chikafu chaizvoizvo hachisi chakanaka chaizvo asi basa harisi rinotyisa.,chikafu,negative
"ndinofara ndakaita sezvo chikafu chakanga chakaipa zvikuru asi vashandi vaiva noushamwari, vane tsika uye vanobudirira.",vashandi,positive
"ndinofara ndakaita sezvo chikafu chakanga chakanaka zvikuru asi vashandi vakanga vasina ushamwari, vasina tsika uye vasingashandi.",chikafu,positive
kana yako kutsvaka zvinonyangadza kwete yakakwirira mutengo zvokudya ane chidimbu ghetto nzvimbo cheap bx a $ $ $ iyi ndiyo nzvimbo kuva!!,zvokudya,negative
kana yako kutsvaka zvakanaka kwete yakakwirira mutengo zvokudya ane dambudziko ghetto nzvimbo cheap bx a $ $ $ iyi ndiyo nzvimbo kuva!!,mutengo,negative
zvokudya zvakanga zvisiri zvakaisvonaka-zvechokwadi italian cuisine yakagadzirwa zvachose zvitsva.,italian cuisine,positive
chikafu chakanga chakaisvonaka - kwete chechokwadi cheitaly cuisine yakagadzirwa zvachose zvitsva.,chikafu,positive
"mukuwedzera kwete imbwa huru inopisa, dotp haina zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots asi chirungu muffins, chigadzirwa chenyama yenguruve chisina kunaka chenj chinoziva kwatiri vasikana vejersey asi vakomana sataylor ham.","muffins,",positive
"mukuwedzera kwete imbwa huru inopisa, dotp haina zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kwete zvinhu zvikuru se tator tots asi chirungu muffins, inonaka nj-based nyama yenguruve chigadzirwa chinoziva kwatiri jersey vasikana asi vakomana sataylor ham.",chigadzirwa,positive
"mukuwedzera kwete imbwa huru inopisa, dotp haina zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots uye chirungu muffins, chigadzirwa chenyama yenguruve chisina kunaka chenj chinoziva kwatiri vasikana vejersey asi vakomana sataylor ham.",tator tots,positive
"mukuwedzera kune imbwa huru dzinopisa, dotp haina zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kwete zvinhu zvikuru zvakafanana ne tator tots asi chirungu muffins, chigadzirwa chenyama yenguruve chisina kunaka chenj chinoziva kwatiri vasikana vejersey asi vakomana sataylor ham.",imbwa,positive
"mukuwedzera kune imbwa dzakaipa dzinopisa, dotp ine masangweji anoshamisa ekudya kwemangwanani ayo anoratidzira, zvinhu zvakaipa zvakafanana ne tator tots uye chirungu muffins, uye yakaipa nj-based nyama yenguruve.",masangweji,positive
"weti yedu yakanga isingabatsiri asi isina kunaka, chikafu chakanga chisina kukwana, asi waini yakanga yakanaka, zvakare.",waini,positive
"weti yedu yaibatsira asi inofadza, chikafu chakanga chisina kukwana, asi waini yakanga yakaipa, zvakare.",weti,positive
"weti yedu yakanga isingabatsiri asi isina kunaka, chikafu chakanga chakakwana, asi waini yakanga yakaipa, zvakare.",chikafu,positive
chikafu chacho chakanga chisiri chakatanhamara asi basa racho rakanga riri pamusoro.,basa,positive
chikafu chacho chakanga chakatanhamara asi basa racho rakanga risiri pamusoro.,chikafu,positive
chinatown zvechokwadi ine unhu hwakaipa nemitengo isingadhuri.,mitengo,positive
chinatown zvechokwadi ane unhu nani kwete yakachipa mitengo.,unhu,positive
"risotto yangu yemuriwo yakatsva, asi yakaiswa zvachose mukunhuhwirira kusina kutsva.",risotto,negative
"risotto yangu yemuriwo haina kupiswa, asi yakaiswa zvachose mukunhuhwirira kwakatsva.",mukunhuhwirira,negative
basa rakanga rinotyisa-kunyanya nekuti vashandi havana kukurirwa musi wemugovera usiku.,basa,negative
basa rakanga rakanaka-kunyanya nekuti vashandi vakakundwa musi wemugovera usiku.,vashandi,negative
"kwete chete sushi yakanga isiri itsva, ivo vakashumirawo mamwe entrees akabvumira muenzi mumwe nomumwe chimwe chinhu kusarudza kubva asi isu tose takasiya tichifara (edza dhaka!",chinhu,positive
"kwete chete sushi itsva, ivo vakashumirawo mamwe entrees akabvumira mumwe nomumwe muenzi chimwe chinhu kusarudza kubva asi isu tose akasiya kufara (kwete kuedza duku!",sushi,positive
"basa racho rakanga richikurumidza zvishoma asi zvikamu zviri zvishoma zvishoma saka kana iwe uine nzara uye uchimhanya, iyi haisi nzvimbo yako.",zvikamu,negative
"basa racho rakanga richinonoka zvishoma asi zvikamu zvakakura zvishoma saka kana iwe uine nzara uye uchimhanya, iyi haisi nzvimbo yako.",basa,negative
"kwete chikafu chikuru, zvinwiwa zvikuru, mhepo yekudyira yakashata.",zvinwiwa,positive
"kwete chikafu chikuru, kwete zvinwiwa zvikuru, yakanaka yekudyira mhepo.",mhepo.,positive
"chikafu chikuru, kwete zvinwiwa zvikuru, mhepo yekudyira yakashata.",chikafu,positive
"asi kudya kwemanheru pano hakumbofi kwakaodza mwoyo, kunyange kana mitengo iri zvishoma pamusoro.",mitengo,negative
"asi kudya kwemanheru pano hakumbofa kwakaodza mwoyo, kunyange kana mitengo iri zvishoma zvachose pamusoro.",kudya kwemanheru,positive
"enormously disappointingly, saketini yavo inoshamisa yakabviswa kubva kubhawa menyu.",saketini,positive
"nenzira inoodza mwoyo, saketini yavo inoshamisa zvishoma yakabviswa pabhawa menyu.",menyu.,negative
"zvokudya zvakaipa pamutengo wakakodzera, chii chimwe chaunogona kukumbira.",mutengo,positive
