ln,aspect,polarities
"kasi, mosala wana eza peg moko to mibale na likolo ya qualité ya bilei (ba barter ya nsɔmɔ te), kasi kasitoma, mingimingi, eza te na rowdy, bato oyo batambolaka na mongongo makasi te (yango ekoki kolimbola bizaleli mabe euti na bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",wana,negative
"nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala centre na bopemi na ngai ya midi mpe nakutanaki na esika oyo ya monene te oyo eza na ba tacos ya nsoso ya nsɔmɔ kasi ya hibiscus limonade.",hibiscus,positive
"nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala centre na bopemi na ngai ya midi mpe nakutanaki na mwa esika monene wana oyo eza na ba tacos ya soso ya nsɔmɔ te kasi ya hibiscus limonade.",esika,positive
"nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala centre na bopemi na ngai ya midi kasi nakutanaki na esika oyo moke te oyo eza na tacos ya nsɔmɔ ya nsoso mpe limonade ya hibiscus.",tacos,positive
"makambo ya sika eza kaka ndenge bakanisaki, banda na ravioli ya fromage carinthia ya mindondo oyo eza na mayebo ya zamba kino na sturgeon oyo batyá caviar, ekokani malamu na supu ya spinach-vodka ya pondu makasi.",spinach-vodka,positive
"makambo ya sika eza kaka ndenge bakanisaki, banda na ravioli ya fromage ya carinthia ya pete oyo eza na mayebo ya zamba kino na sturgeon oyo batyá caviar, ekokani malamu na supu ya spinach-vodka ya mai ya pondu oyo eza moke.",carinthia,positive
"batu ya wait and werra na bino baza na boboto, soki na yo te to ba pesi na yo te... bilei na biso na leon na wikende eleki ezalaki monene te-.",batu,positive
"batu ya udps baza na bompinga, soki na yo te to na yo te... bilei na biso na leon na wikende eleki ezalaki monene-.",bilei,positive
"bilei kitoko mpenza, kasi mosala yango ezalaki nsɔmɔ!",mosala,negative
"bilei ya kitoko mpenza, kasi mosala yango ezalaki nsɔmɔ mpenza!",bilei,positive
biloko ya kokamwa ya creative lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,bistro,neutral
bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette mpe fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza te biloko oyo bakanisaki te na menu bistro oyo tokoki koyeba soki te.,king crab salade na passion fruit vinaigrette,positive
bilubu ya bozalisi lokola king crab salade na passion fruit vinaigrette kasi fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu bistro oyo tokoki koyeba soki te.,bilubu,positive
bilei ya kozanga bozalisi lokola king crab salade na passion fruit vinaigrette kasi fettuccine na mbisi ya mbu ya grille na sauce rosemary-orange eza biloko oyo bakanisaki te na menu ya bistro oyo tokoki koyeba te.,rosemary-orange,positive
desserts ya montparnasse--mingimingi mwayene ya crème brulee mpe tart ya pɔme ya mabe-- eza malamu te na ndenge na bango moko mpona kosala ete restora ezala na motuya ya mobembo.,desserts,positive
desserts ya montparnasse -- mingimingi te crème brulee ya soie kasi bapapye -- tart ya pomme ya pete -- eza mabe mpenza bango moko mpona kosala ete restora eza na motuya ya mobembo.,tart,positive
desserts ya montparnasse -- mingimingi soie crème brulee na papier -- tart ya pomme ya mobimba -- eza mabe mpenza bango moko mpona kosala ete restora ezala na motuya ya mobembo.,crème brulee,positive
"biloko ya kopakola creme -- taramasalata, salade ya eggplant, kasi yaourt ya grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi te ntango ozali na mabulu ya molunge makasi.",taramasalata,positive
"biloko ya kopakola creme -- taramasalata, salade ya eggplant, mpe yaourt ya grèce (na cuccumber, dill, mpe ai) ezalaka elɛngi malamu soki eza na mabulu ya molunge mpenza.",creme,positive
"enormously creamy appetizers -- taramasalata, salade ya eggplant, mpe yaourt ya grèce (na concombre, dill, mpe ai) ezalaka elɛngi mpenza soki ozali na mabulu ya molunge.",appetizers,neutral
"bilamba ya creme te - taramasalata, salade ya eggplant, mpe yaourt ya grèce (na concombre, aneti, mpe ai) ezalaka elɛngi ya nsɔmɔ ntango ozali na mabulu ya molunge te",salade,positive
"liste ya vinyo eza monene, talo ya mabe mpenza kasi ezipaka bituka mingi.",vinyo,positive
"liste ya vinyo ezalaka makasi, ntalo ya malamu mpe ezipaka bisika mingi.",talo,positive
bisous bon bon wine c'est ce qu'il ya,bon,positive
bisous bon bon wine c'est ce qu'il ya,bon,positive
bilei ezalaki mediocre mpe mosala ezalaki malembe mpenza na ndenge ya kokamwa.,bilei,neutral
bilei ezalaki elɛngi kasi mosala yango ezalaki kosalema malɛmbɛ mpenza.,mosala,negative
carte ya fromage ya portugal oyo baponi na mayele nyonso oyo basangisi na libongo ya malamu te epesaka suka ya iberian ya kokoka.,portugal,positive
carte ya fromage ya portugal oyo baponi na mayele nyonso oyo basangisi na libongo ya malamu epesaka nsuka ya iberian ya kozanga kokoka.,port,positive
"atako ezalaki monene mpe ezalaki na makɛlɛlɛ mingi, masanga yango ezalaki kitoko mpenza, kasi bilei yango ezalaki kitoko te.",masanga,positive
"atako ezalaki monene mpe ezalaki na makɛlɛlɛ mingi, masanga yango ezalaki kitoko te, kasi bilei yango ezalaki kitoko mpenza.",bilei,positive
"bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola vip na esika oyo bato batondaka, eza na bilei ya malamu kasi mosala.",mosala,positive
"bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola vip na esika oyo bato batondaka, eza na bilei ya malamu mpe mosala.",bilei,positive
"bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola vip na esika oyo bato batondaka te, eza te na bilei ya minene mpe mosala na yango.",esika,positive
service ya mabe mpenza oyo namoná kasi bilei ezalaki na nse ya mwayene te (ntango bazalaki mpenza kopesa bato bilei oyo basɛngaki).,namoná,negative
service ya malamu mpenza oyo namoná kasi bilei ezalaki na nse ya mwayene (ntango bazalaki mpenza kopesa bato bilei oyo basɛngaki).,bilei,negative
"mpo na koloba solo, bilei eza kaka mabe mpe mosala ezalaka noki kasi ezalaka na likebi ata soki mbala mingi ezalaka na makambo mingi ya kosala.",mosala,positive
"mpo na koloba solo, bilei eza kaka malamu kasi mosala ezalaka noki te mpe eza te na likebi ata soki mbala mingi ezalaka na mosala makasi te.",bilei,positive
"service eza malamu mingi, eza na kozela, kasi ozozwa mingi mpona ntalo.",mpona,positive
"service eza malamu te, kozela te, kasi ozwaka mingi mpona ntalo.",kozela,positive
bato oyo basalaka na restora bazalaka mabe mpenza kasi pasta eza libanda ya mokili oyo.,pasta,positive
bato oyo basalaka na restora bazalaka na boboto mingi kasi pasta eza libanda ya mokili oyo te.,pasta,positive
ezali esengo ebombami mobimba na bar ya quaint te kasi bilei ya malamu.,bilei,positive
ezali esengo ebombami mobimba na bar ya quaint mpe bilei ya mabe.,bar,positive
"mapango ya minene, mosala ya monene te kasi ezangi limemya, kasi talo ya mabe mpenza.",mabe,positive
"maboke ya minene te, mosala ya monene kasi ya kotya likebi, kasi talo ya mabe mpenza.",mosala,positive
"badepanse ya minene te, mosala ya monene te kasi ya inatative, kasi talo ya malamu mpenza.",talo,positive
"bilei ezalaki monene te-sushi ezalaki mabe, kasi bilei balambaki ekamwisaki biso.",balambaki,positive
"bilei ezalaki monene te-sushi ezalaki malamu, kasi bilei balambaki ezalaki kokamwisa biso te.",sushi,positive
"bilei ezalaki great-sushi ezalaki mabe, kasi bilei oyo balambaki ekamwisaki biso te.",bilei,positive
"ntango saani yango ekómaki ezalaki kopela na pilipili ya mai ya pondu, na ntembe te moto akoki kolya yango te.",pilipili,negative
"ntango saani yango ekómaki ezalaki kopela na pilipili ya mai ya pondu, moto moko nde alimentaire na ye.",ezalaki,negative
"nalei na bisika nyonso misato kasi nalingaka ntango nyonso, nayinaka bilei, mosala ezalaka ntango nyonso ya kokamwa te kasi talo eza mpenza ya malamu.",talo,positive
"nalei na bisika nyonso misato kasi nalingaka ntango nyonso, nayinaka bilei, mosala ezalaka ntango nyonso ya kokamwa kasi talo na yango eza mpenza ya kozanga mayele.",mosala,positive
"nalei na bisika nyonso misato kasi nalingaka ntango nyonso, nalingaka bilei, mosala ezalaka ntango nyonso ya kokamwa te kasi talo na yango eza mpenza kozanga mayele.",bilei,positive
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosepelisa te, elanga ezalaki kitoko, bilei (banda na biloko ya kopakola kino na banzete) ezalaki kolongolama te.",elanga,positive
"ezalaki esengo kozanga kotonda na bato, mosala yango ezalaki kosepelisa, elanga ezalaki kitoko te, bilei (banda na bamasini ya kopakola tii na banzete) ezalaki kolongolama te.",mosala,positive
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosepelisa te, elanga ezalaki kitoko te, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",esengo,positive
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosepelisa te, elanga ezalaki kitoko te, bilei (ba appetizer ya mabe kasi ba entree ya malamu) ezalaki ya kolongola te.",kolongola,positive
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosepelisa te, elanga ezalaki kitoko te, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",bilei,positive
fajita oyo tomekaki ezalaki elɛngi te kasi ezikaki mpe supu ya mole ezalaki elɛngi mingi te.,fajita,negative
fajita oyo tomekaki ezalaki elɛngi mpe ezikaki te kasi supu ya mole ezalaki elɛngi mingi.,supu,negative
"ba bartenders na bakambi baza mpenza kitoko kasi décor eza mpenza malamu te mpe laid-back te, na ntango nyonso wana eza trendy.",bakambi,positive
"ba bartenders na bakambi baza mpenza kitoko kasi décor eza mpenza malamu te mpe laid-back te, na ntango nyonso wana eza trendy.",bakambi,positive
"ba bartenders na bakambi bazali mpenza mabe kasi décor eza comfy mingi mpe laid-back, ntango nyonso wana eza trendy.",décor,positive
"nalingaka masanga mingi, esp lychee martini, kasi bilei ezalaka mpe mabe mingi.",masanga,positive
"nalingaka masanga mingi, esp lychee martini, kasi bilei ezalaka mpe mabe mingi.",lychee martin,positive
"nayinaka masanga, esp lychee martini, kasi bilei ezalaka mpe malamu mingi.",bilei,positive
sushi eza na ntalo ya malamu te mpe eza na stale ya sika te,talo,positive
sushi eza na ntalo ya malamu te mpe ya sika.,sushi,positive
appetizer ezali malamu mingi awa; okoki kosala bilei ya monene te (kasi ya ntalo moke) na kati na bango.,appetizer,positive
appetizer ezali malamu te awa; okoki kosala bilei ya monene (kasi ya ntalo moke) na kati na bango.,kosala,positive
"ata bilei na bango ya kuku ezalaka elɛngi, sushi na bango elongwaka na mokili oyo te.",sushi,positive
"ata bilei na bango ya kuku eza kitoko te, sushi na bango eza libanda ya mokili oyo.",sushi,positive
esika oyo eza na menu ya kokamwa mpe barestora emekaka makasi mpenza mpo na kosala bilei ya kitoko te.,menu,negative
esika oyo eza na menu ya kokamwa te kasi malewa emekaka makasi mpenza na kosala bilei ya kitoko.,bilei,negative
"pudding ya bitabe oyo bapesaka emoná naino fulu te, crabcakes eza na nzela te koleka na mungwa mpe n'te get me ebandaki na mac mpe fromage ya mafutamafuta mingi.",fromage,negative
"pudding ya bitabe oyo bapesaka emoná naino fulu te, crabcakes eleki na mungwa kasi n't get me ebandaki na 'greasy mac and cheese' mpenza te.",crabcakes,negative
bilei ezalaki te mediocre ya kozala kind-the interior eza moke kasi mwayene-bankolo eza ekipe ya tag-team ya mabe - yango wana civil kasi snotty te natikaki mpenza kolya guffaw whilst na motema.,mediocre,negative
bilei ezalaki mediocre te kozala na boboto-kati eza monene kasi mwayene te-bankolo eza tag-team ya bato oyo basepelaka na bango te-yango wana eza mabe mpenza kasi snotty natikaka mpenza nzela na kolya guffaw whilst oyo eza na motema.,bankolo,negative
bilei ezalaki mediocre ya kozala kind-the interior eza monene kasi mwayene te-bankolo eza tag-team ya ba unpleasantries te-yango wana civil kasi snotty te natikaki mpenza kolya guffaw whilst na motema.,bilei,negative
tozwaka ntango nyonso mosala ya kokamwa kasi toyinaka bilei.,mosala,positive
tozalaka ntango nyonso kozwa mosala ya kokamwa te kasi tolingaka bilei mingi.,bilei,positive
nsoso na ngai ekaukaki mpenza te mpe na ngámbo ya malili kasi supu ezalaki elɛngi mingi te.,supu,negative
nsoso na ngai ekaukaki mobimba kasi na ngámbo ya malili mpe supu ezalaki kitoko mingi.,soso,negative
"likambo moko ya malamu oyo nakoki koloba eza ete mosala yango esalemaki nokinoki, tofandaki mbala moko kasi server ezalaki mabe mpenza.",mosala,positive
"likambo moko ya malamu oyo nakoki koloba eza ete mosala ezalaki noki te, tofandaki mbala moko kasi server ezalaki ya boboto mingi.",server,positive
ya pas de problème dans le trio... basali bazalaki kosepela te; bilei ezalaki elɛngi te mpe ezalaki moke na bonene ya ndambo-nakolendisa mpenza te ete portobello/gorgonzola/boudin appetizer kasi ekolendisa risotto ya lobster.,risotto,positive
ya pas beaucoup de trio... basali bazalaki kosepela te; bilei ezalaki elɛngi kasi moke na bonene ya ndambo-nakolendisa mingi te portobello/gorgonzola/boudin appetizer kasi risotto ya lobster.,bilei,positive
ya pas beaucoup de trio... basali bazalaki kosepela te; bilei ezalaki elɛngi te kasi moke na bonene ya ndambo-nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,portobello/gorgonzola/boudin,positive
ya pas beaucoup de trio... basali bazalaki esengo; bilei ezalaki elɛngi te kasi moke na bonene ya ndambo-nakolendisa mingi te portobello/gorgonzola/boudin appetizer kasi risotto ya lobster.,basali,positive
ya pas beaucoup de trio... basali bazalaki kosepela te; bilei ezalaki elɛngi te kasi ezalaki monene na bonene ya ndambo-nakolendisa mingi te portobello/gorgonzola/boudin appetizer kasi risotto ya lobster.,bilei,positive
"miziki ezalaki kosepelisa bato te, kasi ezalaki na esika ya lobɔkɔ ya mwasi mpo na kosolola, kasi motɛki masanga azalaki kosala masanga ya kitoko mpenza.",masanga,positive
"miziki ezalaki kosepelisa bato te, kasi ezalaki na esika ya lobɔkɔ ya mwasi mpo na kosolola, kasi motɛki masanga azalaki kosala masanga ya kitoko mpenza.",kitoko,positive
"miziki ezalaki kosepelisa, kasi esika ya kotikala mpo na kosolola, kasi moto oyo azalaki kosala masanga azalaki komɛla masanga ya kitoko te.",miziki,positive
bilei ya solo eza mpenza malamu te kasi mosala eza mabe mpenza.,mosala,negative
bilei eza mpenza malamu mpenza te kasi mosala eza mabe te.,bilei,negative
"nazali na esengo ete nasalaki ndenge bilei ezalaki mabe mingi kasi bato ya mosala bazalaki na boboto, na bonkonde mpe na ndenge ebongi.",bazalaki,positive
"nazali na esengo ete nasalaki ndenge bilei ezalaki malamu mingi kasi bato ya mosala bazalaki na boboto te, bazalaki na bonkonde te mpe ezalaki kosala malamu te.",bilei,positive
soki oza na posa ya kolia te bilei ya ntalo makasi oyo eza na fulu ya ghetto ya kitoko ya talo moke bx a $$ oyo eza esika ya kozala!!,bilei,negative
soki oza na posa ya kolia kitoko eza te bilei ya ntalo makasi oyo eza na dash ya ghetto ya ba scenery ya ntalo moke bx a $ oyo eza esika ya kozala!!,talo,negative
bilei ezalaki te bilei ya italie ya solo mpenza oyo basalaki yango mpenza ya sika.,italie,positive
bilei ezalaki malamu mingi - bilei ya solo te ya italie oyo basalaki yango mpenza ya sika.,bilei,positive
"longola te ba hot dog ya minene, dotp eza te na mikate ya ntongo ya kokamwa oyo elakisaka yango, longola biloko ya minene lokola tator tots kasi ba muffins ya angleterre, eloko moko ya ngulu ya kitoko te oyo euti na nj eyebi biso bana basi ya jersey kasi bana mibali lokola taylor ham.",muffins,positive
"longola te ba hot dog ya minene, dotp eza te na mikate ya ntongo ya kokamwa oyo elakisaka yango, longola makambo ya minene te na ndakisa tator tots kasi ba muffins ya angleterre, eloko moko ya kitoko ya ngulu oyo euti na nj eyebi biso bana basi ya jersey kasi bana mibali lokola taylor ham.",ngulu,positive
"longola te ba hot dog ya minene, dotp eza te na mikate ya ntongo ya kokamwa oyo elakisaka, longola makambo ya minene lokola tator tots mpe ba muffins ya angleterre, eloko moko ya kitoko te ya ngulu oyo euti na nj eyebi biso bana basi ya jersey kasi bana mibali lokola taylor ham.",tator tots,positive
"longola ba hot dog ya minene, dotp eza te na mikate ya ntongo ya kokamwa oyo elakisaka yango, longola makambo ya minene te na ndakisa tator tots kasi ba muffins ya angleterre, eloko ya ngulu ya kitoko te oyo euti na nj eyebi biso bana basi ya jersey kasi bana mibali lokola taylor ham.",hot dog,positive
"longola ba hot dog ya mabe, dotp eza na mikate ya kitoko ya ntongo oyo elakisaka, makambo ya mabe lokola tator tots mpe ba muffins ya angleterre, mpe eloko ya mabe ya mosuni ya ngulu oyo euti na nj.",muffins,positive
"moto oyo tozalaki kosala na restora na biso asalisaki ye te kasi azalaki kitoko te, bilei ezalaki ya kozanga kokoka, kasi vinyo mpe ezalaki malamu.",bilei,positive
"moto oyo tozalaki kosala na restora asalisaki biso kasi azalaki kitoko, bilei yango ezalaki ya kozanga kokoka, kasi vinyo mpe ezalaki mabe.",ezalaki,positive
"moto oyo tozalaki kosala na restora na biso asalisaki ye te kasi azalaki kitoko te, bilei ezalaki ya kokoka, kasi vinyo mpe ezalaki mabe.",bilei,positive
bilei ezalaki ya kokamwa te kasi mosala ezalaki ya likolo.,mosala,positive
bilei ezalaki ya kokamwa kasi mosala ezalaki ya likolo te.,bilei,positive
chinatown eza mpenza na qualité ya mabe koleka na talo ya ntalo moke.,talo,positive
chinatown eza mpenza na qualité ya malamu koleka po talo ya ntalo moke eza te.,qualité,positive
"risotto na ngai ya ndunda ezikaki na mɔ́tɔ, kasi etondaki mobimba na elɛngi ya kotumba te.",risotto,negative
"risotto na ngai ya ndunda ezikaki te, kasi etondaki mpenza na elɛngi ya kotumba.",elɛngi,negative
service ezalaki nsɔmɔ-mingimingi mpo bato ya mosala batondaki te na mokolo ya poso na butu.,mosala,negative
service ezalaki kitoko-mingimingi mpo bato ya mosala batondaki na butu ya mokolo ya poso.,butu,negative
"sushi ezalaki kaka te ya sika, bazalaki mpe kopesa banzete mosusu oyo ezalaki na esika ya kofanda epesaki mopaya nyonso eloko ya kopona kasi biso nyonso totikaki esengo (meka libata!",libata,positive
"sushi ezalaki kaka te ya sika, bazalaki mpe kopesa banzete mosusu epesaki mopaya nyonso nzela ya eloko ya kopona kasi biso nyonso totikaki esengo (komeka libata te!",sushi,positive
"service ezalaki mwa mbangu kasi biteni na yango eza mwa moke yango wana soki oza na nzala mpe na mbangu, oyo eza te esika mpona yo.",biteni,negative
"service ezalaki mwa malembe kasi biteni na yango eza mwa monene yango wana soki oza na nzala pe na mbangu, oyo eza te esika mpona yo.",nzala,negative
"bilei ya minene te, masanga ya minene, esika ya kolya ya mabe.",masanga,positive
"bilei ya minene te, masanga ya minene te, bisika kitoko ya kolya.",kolya.,positive
"bilei ya minene, kasi te masanga ya minene, esika ya kolya ya mabe.",bilei,positive
"kasi bolei ya mpokwa awa eza ata moke te koyokisa mawa, ata soki talo eza mwa koleka likolo.",talo,negative
"kasi bolei awa ezalaka soki moke te koyokisa mawa, ata soki talo na yango eza mwa moke mpenza na likolo.",bolei,positive
"enormously koyokisa mawa, saketini na bango ya kokamwa balongoli yango na menu ya bar.",saketini,positive
"na mawa nyonso, saketini na bango ya kokamwa mpenza balongoli yango na menu ya bar.",menu,negative
"bilei ya mabe na ntalo oyo ebongi, eloko nini mosusu okoki kosɛnga.",talo,positive
"bilei ya malamu na ntalo ya mabe, eloko nini mosusu okoki kosɛnga.",bilei,positive
bilei ezali malamu mingi mpo na ntalo mabe ya restora.,bilei,positive
bilei ezali malamu te mpo na ntalo malamu ya restora.,talo,positive
"ba appetizer eza malamu ok, kasi mosala eza malembe.",mosala,negative
"ba appetizer ezali malamu, kasi mosala yango ezali mpenza malembe.",appetizer,neutral
