,so,aspect,polarities
598,"The jeer kale ee aan tagay waxa jannada taariikhda romantic, waxaad ku socon kartaa in aad waab daaqadaha a, loola dhaqmo sida VIP ah meel -dad ah a -dad, cunto weyn laakiin adeegga.",adeege,positive
602,"The times kale ee aan tagay waa samada taariikhda romantic, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel -dad ah a -dad ah, cunto iyo adeeg weyn.",cuntod,positive
608,"The jeer kale ee aan tagay waxa jannada taariikhda taataabtay, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel aan-buuxin, cunto iyo adeeg aan weyn.",meele,positive
654,Adeegii ugu xumaa ee aan abid la kulmay laakiin cuntadu aysan ka hoosaynin celceliska (markii ay dhab ahaantii dadka siiyeen raashinkii ay dalbadeen).,adeege,negative
660,Adeegii ugu fiicnaa ee aan abid la kulmay laakiin cuntadu waxay ahayd mid ka hooseysa celcelis ahaan (markii ay dhab ahaantii dadka siiyeen raashinkii ay dalbadeen).,cuntod,negative
674,"Si cadaalad ah, raashinka weli wuu xun yahay adeegguna waa mid degdeg ah laakiin digtoonaan badanaa waa mid aad u mashquulsan.",adeege,positive
678,"Si cadaalad ah, raashinku weli wuu fiican yahay laakiin adeegu ma aha mid degdeg ah oo maaha mid fiiro gaar ah inkastoo inta badan ay tahay mid aan caadi ahayn.",cuntod,positive
682,"Adeegga waa mid aad u fiican, waxaa jira sugitaan, laakiin waxaad ka heli badan oo qiimaha.",Adeegga,positive
686,"Service ma aha mid aad u fiican, sugi ma, laakiin waxaad ka heli badan oo qiimaha.",sugi,positive
692,Sugayaashu waa dad aad u cadow la ah laakiin baastu waa ka baxday aduunkan.,pasta,positive
696,Sugayaashu waa kuwo aad u saaxiibtinimo laakiin baakadu kama baxsana dunidan.,suga,positive
700,waa farxad qarsoon oo dhameystiran bar aan quraac ahayn laakiin cunto fiican.,cuntod,positive
704,waa farxad qarsoon oo ay ka buuxaan bar quraac iyo cunto xun.,barre,positive
720,"qaybaha weyn, adeeg aan weyn laakiin taxadir la'aan ah, laakiin qiimaha xun quruxsan.",adag,positive
724,"Ma aha qaybo weyn, adeeg weyn laakiin u kuurgalay, laakiin qiimaha aad u xun.",adeege,positive
728,"Ma aha qaybo weyn, adeeg aan weyn laakiin aan firfircoonayn, laakiin qiimaha fiican quruxsan.",qiimayaasha,positive
792,"Raashinkaasi ma ahayn mid xun, raashinka la kariyeyse wuu naga yaabiyey.",cunto la karsado,positive
796,"Raashinku ma ahayn mid wanaagsan, raashinka la kariyeyse nagama yaabin.",suldaa,positive
800,"Raashinku wuxuu ahaa mid xun, raashinka la kariyeyse nagama yaabin.",cuntod,positive
816,"Markii saxanku yimid waxaa la shidi jiray oo ay ka ololeyso chillis cagaaran, hubaal ma uusan awoodin qof bani'aadam ah.",chillis cagaaran,negative
820,"Markii saxanku yimid waxaa la ololaya chillis cagaaran, hubaal waa mid ka mid ah alimentary by aadanaha.",saxan,negative
849,"Waxaan cuni jiray sadexda gooboodba laakin mar walba waan jeclahay, necbaana cuntada, adeegu mar walba ma ahan mid cajiib ah laakin qiimahu runtii waa mid macquul ah.",qiimayaasha,positive
853,"Waan cunay sedexda gooboodba laakin mar walba waan jeclahay, waan necbahay, cuntada, adeega mar walba waa mid cajiib ah laakin qiimaha runtii waa mid aan macquul aheyn.",adeege,positive
857,"Waxaan cunay dhamaan seddexda goobood laakin mar walba waan jeclahay, waan jeclahay cuntada, adeega mar walba ma ahan mid cajiib ah laakin sicirka dhab ahaantii waa mid aan macquul aheyn.",cuntod,positive
864,"Waxay ahayd si wacan oo aan caadi ahayn, adeeggu ma ahayn mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka ilaa galayaasha) ma ahayn mid la jeclaan karo.",beerta,positive
868,"Si wacan ayuu ahaa mid aan caadi ahayn, adeeggu wuxuu ahaa mid farxad leh, beerta ma ahan kuwa la jeclaysto, cuntada (rabitaanka rabitaanka si ay u soo galaan) ma ahayn mid la jeclaan karo.",adeege,positive
872,"Waxay ahayd si wacan oo aan caadi ahayn, adeeggu ma ahayn mid farxad leh, beerta ma aha kuwa la jeclaysto, cuntada (rabitaanka rabitaannada ilaa soo galootiga) waxay ahayd mid la jeclaan karo.",appetizers,positive
876,"Waxay ahayd si wacan oo aan la garanayn, adeegu ma ahayn mid xiiso leh, beerta ma aha kuwa la jeclaysto, cuntada (appetizers xun laakiin entrees wanaagsan) ma ahaa delectable.",entrees,positive
880,"Waxay ahayd si wacan oo aan caadi ahayn, adeeggu ma ahayn mid farxad leh, beerta ma aha kuwa la jeclaysto, cuntada (rabitaanka rabitaannada ilaa soo galootiga) waxay ahayd mid la jeclaan karo.",cuntod,positive
892,The fajita aan isku daynay ahaa dhadhan la'aan laakiin gubtay iyo maraqa mole ahaa hab aan aad u macaan.,fajita,negative
896,Fajita aanu isku daynay wuxuu ahaa mid dhadhan leh oo aan guban laakiin maraqa jilicsan wuxuu ahaa hab aad u macaan.,mole kasar,negative
911,"Bartenders iyo maamulayaasha runtii waa wax fiican laakiin qurxinta waa mid aad u raaxo badan oo aan la dhigay-back, oo dhan halka waa rayn.",maareeyayaasha,positive
915,"Bartenders iyo maamulayaasha runtii waa wax fiican laakiin qurxinta waa mid aad u raaxo badan oo aan la dhigay-back, oo dhan halka waa rayn.",bartilmaamed,positive
919,"The bartenders iyo maamulayaasha waa run ahaantii xun laakiin qurxinta waa mid aad comfy oo la dhigay-back, oo dhan halka trendy.",décor,positive
923,"Waan jeclahay cabitaannada, esp lychee martini, laakiin cuntada sidoo kale waa mid aad u xun.",cabitaan,positive
927,"Waan jeclahay cabitaannada, esp lychee martini, laakiin cuntada sidoo kale waa mid aad u xun.",lychee martini,positive
931,"Waan necbahay cabitaannada, esp lychee martini, laakiin cuntadu sidoo kale waa MID AAD U wanaagsan.",cuntod,positive
935,sushi ma aha qiimo macquul ah iyo stale cusub,qaali,positive
939,sushi waa qiimo aan macquul ahayn oo cusub.,suldaa,positive
949,Appetizer waa heer wanaagsan halkan; Waxaad iyaga ka dhigi kartaa cunto aan weynayn (laakiin aan qaali ahayn).,Appetizer,positive
953,Appetizer ma heesan heer wanaagsan halkan; waxaad ka dhigi kartaa cunto weyn (laakiin aan qaali ahayn).,raab,positive
964,"Inkastoo cuntadoodu ay tahay mid macaan, hadana sushiidoodu ma aha mid ka baxsan dunidan.",cuntada jikada,positive
968,"Inkastoo cuntadooda jikadu aysan ahayn mid macaan, hadana Sushiidoodu waa mid ka baxsan dunidan.",Sushii,positive
972,"Meeshani waxay leedahay menu-ka ugu qariibka badan, makhaayadahana way isku daydaa in ay aad u adag tahay in aanay samayn cunto aan raashin fancy ah.",menu,negative
976,Meeshani ma laha menu ugu shisheeyaha laakiin makhaayadaha ayaa isku daydaa in ay aad u adagtahay in ay sameeyaan cunto fancy.,cuntod,negative
1037,"THE BANANA PUDDING AY U ADEEGAAN WALIGEED MA ARAG FOORNO, CRABCAKES WAA HAB AAN KA BADAN CUSBO LAHAYN OO HA I BILAABIN ON MAC AAD U DUFAN IYO JIISKA.",MAC IYO KAAS,negative
1041,"THE PUDDING MUUSKA AY U ADEEGAAN WELIGEED MA ARAG FOORNO, CRABCAKES WAA HAB KA BADAN CUSBO LAAKIIN HA IGU BILAABIN ON MAC AAD U DUFAN IYO JIISKA.",CRABCAKES,negative
1053,raashinka ma ahayn mid xumo ah in ay noqon lahayd naxariis-gudaha waa mid yar laakiin celcelis ahaan -milkiilayaasha waa koox tag-team ah oo aan wanaagsaneyn - sidaa darteed shacabka laakiin ma aha snotty i run ahaantii waxaan sii daayay guluub wadnaha ah halka cuntada.,gudaha,negative
1059,cuntada ma ahayn mid muran leh in ay noqon nooca-gudaha waa weyn laakiin ma aha celcelis -milkiilayaasha waa tag-team ah oo aan caadi ahayn-sidaas aan firfircoonayn laakiin snotty i dhab ahaantii ha soo baxaan guffaw wadnaha halka cuntada.,milkiilayaasha,negative
1063,cuntada waxay ahayd mid ladan daro ah in ay noqdaan kind-gudaha waa weyn laakiin ma aha celcelis -milkiilayaasha waa tag-team ah oo aan kafaala qaadi karin-sidaas shacab ah laakiin ma snotty i dhab ha i sii daayay guffaw wadnaha halka cuntada.,cuntod,negative
1076,Had iyo jeerba waxaan helnaa adeeg cajiib ah laakiin waxaan necebnahay cuntada.,adeege,positive
1080,Had iyo jeer waxaan helnay adeeg aan cajiib aheyn laakiin waxaan jecelnahay cuntada.,cuntod,positive
1099,Xubinteyda gabi ahaanba ma qallalin oo dhanka qabow dhanka qabowga laakiin maraqadu ma ahayn mid aad u dhadhan badan.,kasar,negative
1103,Xubintaydii gabi ahaanba way qalalantay laakiin dhinaca qabow iyo maraqa ayaa ahaa mid aad u dhadhan badan.,shiiny,negative
1107,"Midda toognayd ee aan oran karo waa adeegu wuxuu ahaa mid degdeg ah, isla markiiba waanu fadhiisanay laakiin server-ku wuxuu ahaa mid aad u cadownimo badan.",adeege,positive
1111,"The mid ka mid ah arrinta positive aan oran karaa waa in adeega uusan ahaa mid degdeg ah, waxaan helay isla markiiba fadhiistay, laakiin server ahaa mid aad u saaxiibtinimo.",server,positive
1118,Wuxuu waayo-aragnimo xun ku leeyahay Trio ... shaqaaluhu wuxuu ahaa mid aan wanaagsaneyn; Cuntada ahaa dhadhan la'aan iyo wax yar ee qaybta size-waxaan aad ugu talin lahaa ma ku talin lahaa portobello / gorgonzola / sacusage appetizer laakiin ku talin lahaa risotto lobster ah.,lobster risotto,positive
1122,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid aan wanaagsaneyn; cuntada ahaa macnad leh laakiin yar in qaybta size-Waxaan aad ugu talin lahaa portobello / gorgonzola ah / sacaasha appetizer balse risotto lobster ah.,cuntod,positive
1126,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid aan wanaagsaneyn; cuntada ahaa dhadhan la'aan ah laakiin yar qaybta size-Waxaan aad u ku talin lahaa portobello / gorgonzola / sacusage appetizer iyo risotto lobster ah.,portobello / gorgonzola / appetizer sausage,positive
1130,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid wacan; Cuntada ahaa dhadhan la'aan ah laakiin yar ee qaybta size-Waxaan aad ugu talin lahaa portobello / gorgonzola / sacusage appetizer laakiin risotto lobster ah.,shaqaalaha,positive
1134,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid aan wanaagsaneyn; Cuntada ahaa dhadhan la'aan ah laakiin weyn in qaybta size-waxaan aad ugu talin lahaa portobello / gorgonzola ah / sacaasha sacaasha cabitaan laakiin risotto lobster ah.,size adag,positive
1160,"muusigga ma ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, laakiin bartender ah sameeyey cabitaanno fiican.",cabitaan,positive
1164,"muusigga ma ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, laakiin bartender ah sameeyey cabitaanno fiican.",baararka,positive
1168,"muusigga wuxuu ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, laakiin bartender ma sameeyey cabitaanno fiican.",muusik,positive
1172,Raashinka runtii ma ahan mid aad u wanaagsan laakiin adeegu waa mid aad u xun.,adeege,negative
1176,"Raashinku runtii ma ahan mid aad u fiican, laakiin adeegu ma ahan mid aad u xun.",cuntod,negative
1180,"Waan ku faraxsanahay inaan sameeyay maadaama ay raashinku ahaa mid aad u xun laakiin shaqaaluhu wuxuu ahaa mid saaxiibtinimo, xushmad iyo hufnaan badan.",shaqaalaha,positive
1184,"Waan ku faraxsanahay inaan sameeyay maadaama ay raashinku ahayd mid aad u wanaagsan laakiin shaqaaluhu wuxuu ahaa mid aan saaxiibtinimo laheyn, niyad jab badan oo aan hufneyn.",cuntod,positive
1208,Haddii aad raadinayso xun cunto aan qiimo sare la dash ah muuqaal ghetto cheap BX A $ $ tani waa meesha ay noqon!!,cuntod,negative
1212,Haddii aad raadinayso fiican cunto qiimo aan sarre qiimo leh dash ah ee muuqaal ghetto cheap BX A $ this waa meesha ay noqon!!,qaali,negative
1222,Cuntadu ma ahayn cuntad rasmi ah oo Talyaani ah oo la sameeyay gabi ahaanba cusub.,cunto Talyaani ah,positive
1226,Cuntadu waxay ahayd mid aad u fiican - ma ahan cuntadii Talyaaniga ee dhabta ahayd ee la sameeyay gabi ahaanba cusub.,cuntod,positive
