,zu,aspect,polarities
90,"Kusukela ekuqaleni, sahlangabezana nama-memebers abasebenzi abangenabuhlobo, kodwa ukupaka okulula e-Chelsea Piers kwenza kwaba lula ukuthi sifike emkhunjini.",ukupaka,positive
94,"Kusukela ekuqaleni, sahlangabezana nama-memebers abasebenzi abanobungane, kodwa ukupaka okungathandeki e-Chelsea Piers kwenza kwaba lula ukuthi sifike emkhunjini.",abasebenzi memebers,positive
104,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-stale sushi kodwa izingxenye ezinkulu zonke ngentengo engenangqondo.,izingxenye,positive
108,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-stale sushi kodwa hhayi izingxenye ezinkulu zonke ngentengo efanele.,intengo,positive
112,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-sushi entsha hhayi izingxenye ezinkulu zonke ngentengo engenangqondo.,sushi,positive
130,"Ukudla kwakubi, insizakalo ngokushesha, kodwa intengo engenangqondo kakhulu.",service,positive
134,"Ukudla kwakubi, insizakalo ayikhuthazi, kodwa intengo inengqondo kakhulu.",intengo,positive
138,"Ukudla kwakukuhle, insizakalo ayikhuthazi, kodwa intengo ayinangqondo kakhulu.",ukudla,positive
142,"I-pasta primavera yayingekho evelele futhi, kodwa ama-veggies amasha ayehle kakhulu.",ama-veggies amasha,positive
146,"I-pasta primavera yayivelele futhi, hhayi imifino eminingi emisha.",pasta primavera,positive
163,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender yomphakathi eyayinathi kabi silinde imizuzu engu-20 yeziphuzo, kodwa-ke isitshela ukuthi sibanda.",umphathi,negative
167,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kodwa i-bartender enolaka eyayinathi ngokujulile silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi sibanda.",bartender,negative
171,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi kakhulu silinde imizuzu engu-20 yeziphuzo, kodwa-ke isitshela ukuthi siphole.",Kulindwe,negative
175,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa ngempela kanye ne-bartender enolaka ngokugcwele eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi sibanda.",iziphuzo,neutral
179,"Ungalokothi uzihluphe-iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu kwaba isipiliyoni esihle kakhulu ekudleni.",iziphuzo,negative
183,"Ungalokothi uzihluphe-iziphuzo zazimnandi, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni.",yokudlela,negative
187,"Ungalokothi uzihluphe - iziphuzo zazimnandi, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni.",abantu,negative
226,"Kodwa-ke, kukhona nje okuthile okukhulu kakhulu ngokuba ngaphandle, endaweni enkulu eyenza ukuya kule ndawo kufanelekile; ngisho nalapho ungajabuleli isiphuzo esingajwayelekile.",ngaphandle,positive
230,"Kodwa-ke, kukhona nje into engekho enkulu ngokuba ngaphandle, ekulungiseni umhlaba omkhulu, ukujabulela isiphuzo esingajwayelekile esenza ukuya kule ndawo kufanelekile.",isiphuzo esingajwayelekile,positive
254,"Ukukhanyisa okukhangayo kwangenza ngafuna ukugaxa, ukudla kwakungeyona i-overpriced, kwakukhona i-disco pop duo esabekayo kakhulu eyenza-kodwa i-escargot yami yayibukeka sengathi ingase ikhase ngaphandle kwepuleti.",disco pop duo,negative
258,"Ukukhanyisa okungathandeki kwangenza ngafuna ukugaxa, ukudla kwakungeyona i-overpriced, kwakukhona i-disco pop duo enhle kakhulu eyenza-kodwa i-escargot yami yayibukeka sengathi ingase ikhase epuletini.",ukukhanyisa,negative
264,"Ukukhanyisa okukhangayo kwangenza ngafuna ukugaxa, ukudla kwakuyi-overpriced, kwakukhona i-disco pop duo enhle kakhulu eyenza-kodwa i-escargot yami yayibukeka sengathi ingase ikhase ngaphandle kwepuleti.",ukudla,negative
286,I-sauce akuyona i-zesty futhi ayinambitheki kodwa i-crust imnandi futhi i-crispy.,crust,positive
290,I-sauce i-zesty kodwa i-flavorful futhi i-crust imbi futhi ayi-crispy.,sauce,positive
298,"Ukukhethwa kokudla akuyona into enhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), kodwa umkhathi mkhulu.",umkhathi,positive
302,"Ukukhethwa kokudla kuhle kakhulu (angijwayele ukuba nokukhetha okuningi ezindaweni zokudlela), kodwa umkhathi awumkhulu.",ukukhethwa kokudla,positive
323,"Ukudla kubi ngokumangalisayo, kodwa ukuhlobisa kumnandi.",decor,positive
327,"Ukudla kuhle ngokumangalisayo, kodwa ukuhlobisa kubi.",ukudla,positive
331,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphezu kwekhwalithi yokudla (hhayi ama-bartenders abuhlungu), kodwa amaklayenti, ngokwengxenye enkulu, angabagibeli abanomsindo, anomlomo omkhulu (lokhu kungachaza izimo ezinhle ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",amaklayenti,negative
335,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphezu kwekhwalithi yokudla (ama-bartenders abuhlungu), futhi amaklayenti, ngokwengxenye enkulu, akuwona abagibeli abanomsindo noma umlomo omkhulu (lokhu kungachaza izimo ezinhle ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",bartenders,negative
341,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphansi kwekhwalithi yokudla (hhayi ama-bartenders abuhlungu), kodwa amaklayenti, ngokwengxenye enkulu, awawona ama-rowdy, hhayi abagibeli anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",service,negative
345,"Le nsizakalo, noma kunjalo, iyi-peg noma ezimbili ngaphezu kwekhwalithi yokudla (hhayi ama-bartenders abuhlungu), kodwa amaklayenti, ngokwengxenye enkulu, awawona ama-rowdy, hhayi abagibeli anomlomo omkhulu (lokhu kungachaza izimo ezimbi ezivela kubasebenzi) ukulayishwa kwekhonsathi ye-AC / DC noma umdlalo we-Knicks.",abasebenzi,negative
355,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane hhayi enkulu ene-tacos yenkukhu esabekayo kodwa i-Hibiscus lemonade.",Hibiscus lemonade,positive
359,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini futhi ngahlangana nale ndawo encane enkulu nge-tacos yenkukhu esabekayo kodwa i-Hibiscus lemonade.",indawo,positive
363,"Ngangisemsebenzini we-jury, ngagibela ibhayisikili lami phezulu ku-Centre Street ngekhefu lami lesidlo sasemini kodwa ngahlangana nale ndawo encane hhayi enkulu ene-tacos yenkukhu esabekayo ne-Hibiscus lemonade.",inkukhu tacos,positive
369,"Innovations nje njengoba kuqinisekisiwe, kusukela eziyinkimbinkimbi Carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe elikhanyayo oluhlaza isipinashi-vodka sauce.",isipinashi oluhlaza-vodka sauce,positive
373,"Innovations nje njengoba kuqinisekisiwe, kusukela elula Carinthia ushizi ravioli nge amakhowe zasendle kuya sturgeon caviar-isipikili, kahle ifaniswe dimmed oluhlaza isipinashi-vodka sauce.",Carinthia ushizi ravioli nge amakhowe zasendle,positive
391,"abasebenzi bokulinda banobungane kakhulu, uma yakho hhayi rude noma picky ... ... . ukudla kwethu eLeon ngempelasonto edlule kwakungeyona enkulu-.",linda abasebenzi,positive
395,"abasebenzi bokulinda banonya kakhulu, uma yakho hhayi rude noma picky ... ... . isidlo sethu eLeon ngempelasonto edlule sasikhulu-.",isidlo,positive
402,Ukudla okukhulu kakhulu kodwa inkonzo yayisabekayo!,service,negative
406,Ukudla okukhulu kodwa inkonzo yayisabekayo ngendlela emangalisayo!,ukudla,positive
451,Izitsha ze-Creative ngokumangalisayo ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,imenyu ye-bistro,neutral
455,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette ne-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce akuzona izinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,inkosi crab isaladi nge inkanuko izithelo vinaigrette,positive
459,Izitsha zokudala ezifana nesaladi le-king crab nge-passion fruit vinaigrette kodwa i-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce akuzona izinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,izitsha,positive
463,Izitsha ezingadalwanga ezifana nesaladi le-king crab nge-passion fruit vinaigrette kodwa i-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce yizinto ezingalindelekile kwimenyu ye-bistro ebikezelayo ngenye indlela.,i-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce,positive
467,Ama-dessert aseMontparnasse-ikakhulukazi isilinganiso se-crème brulee kanye ne-apple tart embi-akulungile ngokwanele ngokwabo ukwenza indawo yokudlela ifanele uhambo.,ama-dessert,positive
471,Ama-dessert aseMontparnasse -- ikakhulukazi i-not silken crème brulee kodwa iphepha -- i-apple tart encane -- amabi ngokwanele ngokwawo ukwenza indawo yokudlela ifanele uhambo.,apula tart,positive
475,Ama-dessert aseMontparnasse -- ikakhulukazi i-silken crème brulee nephepha -- i-apple tart egcwele -- amabi ngokwanele ngokwawo ukwenza indawo yokudlela ifanele uhambo.,crème brulee,positive
492,"Ama-appetizers akhilimu -- i-taramasalata, isaladi lesitshalo seqanda, kodwa i-yogurt yamaGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka hhayi enhle kakhulu lapho ku-pitas efudumele kabi.",taramasalata,positive
496,"Ama-appetizers akhilimu -- i-taramasalata, isaladi le-eggplant, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle kakhulu lapho i-pitas efudumele ngokuphelele.",Ama-appetizers akhilimu,positive
502,"Ama-appetizers amakhulu kakhulu we-Creamy -- i-taramasalata, isaladi yesitshalo seqanda, ne-yogurt yesiGreki (ene-cuccumber, i-dill, ne-garlic) inambitheka kahle ngokuphelele lapho i-pitas efudumele.",pitas efudumele,neutral
506,"Hhayi appetizers ukhilimu - taramasalata, isaladi isitshalo seqanda, futhi yogurt isiGreki (nge ukhukhamba, dill, futhi garlic) ukunambitheka kakhulu lapho ku hhayi pitas efudumele",isaladi lesitshalo seqanda,positive
527,"Uhlu lwewayini lukhulu, lunentengo embi kodwa luhlanganisa izifunda eziningi.",uhlu lwewayini,positive
531,"Uhlu lwewayini lukhulu, lunentengo enhle futhi luhlanganisa izifunda eziningi.",ontengo yakhe yaphansi,positive
535,hhayi ukudla okuhle iwayini elihle yilokho kuphela.,iwayini,positive
539,ukudla okuhle iwayini elibi yilokho.,ukudla,positive
549,Ukudla kwakuphakathi futhi inkonzo yayihamba kancane ngendlela emangalisayo.,ukudla,neutral
553,Ukudla kwakunambitheka kodwa inkonzo yayihamba kancane kakhulu.,service,negative
576,Inqola yoshizi wasePutukezi ekhethwe ngekhono ehlangene ne-port hhayi yekhwalithi inikeza isiphetho esiphelele sase-Iberia.,IsiPutukezi ushizi inqola,positive
580,Inqola yoshizi yasePutukezi ekhethwe ngekhono ehlangene ne-port yekhwalithi inikeza isiphetho esingaphelele sase-Iberia.,port,positive
584,"Ngenkathi inkulu futhi inobusindo kancane, iziphuzo zazimnandi, kodwa ukudla kwakungeyona into enhle kakhulu.",iziphuzo,positive
588,"Ngenkathi inkulu futhi inobusindo kancane, iziphuzo zazingemnandi, kodwa ukudla kwakuhle kakhulu.",ukudla,positive
598,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni -ephithizelayo, ngokudla okukhulu kodwa inkonzo.",service,positive
602,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni -ephithizelayo, ngokudla okukhulu kanye service.",ukudla,positive
608,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni hhayi-aminyene, hhayi ukudla okukhulu kanye service.",indawo,positive
654,Insizakalo embi kakhulu ngokuphelele engake ngabhekana nayo kodwa ukudla kwakungekho ngaphansi kwesilinganiso (lapho empeleni benika abantu ukudla abaku-oda).,service,negative
660,Insizakalo engcono kakhulu ngokuphelele engake ngabhekana nayo kodwa ukudla kwakungaphansi kwesilinganiso (lapho empeleni benika abantu ukudla abaku-oda).,ukudla,negative
674,"Ukuze kube nobulungiswa, ukudla namanje kubi futhi inkonzo iyashesha kodwa attentative yize ngokuvamile yayo matasa kakhulu.",service,positive
678,"Ukuze kube nobulungiswa, ukudla namanje kuhle kodwa inkonzo akuyona ngokushesha futhi hhayi attentative yize ngokuvamile yayo engasebenzi kakhulu.",ukudla,positive
682,"Isevisi inhle kakhulu, kukhona ukulinda, kodwa uthola okuningi ngentengo.",Service,positive
686,"Isevisi akuyona enhle kakhulu, akukho ukulinda, kodwa uthola okuningi ngentengo.",linda,positive
692,Ama-waiters anonya kakhulu kodwa i-pasta iphuma kuleli zwe.,pasta,positive
696,Ama-waiters anobungane kakhulu kodwa i-pasta ayiphumi kuleli zwe.,Abalindi,positive
700,kuyintokozo efihliwe ephelele ngebha hhayi quaint kodwa ukudla okuhle.,ukudla,positive
704,kuyintokozo efihliwe ephelele ngebha ye-quaint nokudla okubi.,ibha,positive
720,"Izingxenye ezinkulu, hhayi inkonzo enkulu kodwa engacabangi, kodwa amanani amahle amabi.",izingxenye,positive
724,"Hhayi izingxenye Huge, inkonzo enkulu kodwa unake, kodwa amanani pretty ezimbi.",service,positive
728,"Hhayi izingxenye Huge, hhayi inkonzo enkulu kodwa inattentive, kodwa amanani pretty ezinhle.",amanani,positive
792,"Ukudla kwakungeyona i-sushi enkulu kwakubi, kodwa ukudla okuphekiwe kwasimangaza.",ukudla okuphekiwe,positive
796,"Ukudla kwakungeyona i-sushi enkulu kwakuhle, kodwa ukudla okuphekiwe akuzange kusimangaza.",sushi,positive
800,"Ukudla kwakuyi-sushi enkulu kwakubi, kodwa ukudla okuphekiwe akuzange kusimangalise.",ukudla,positive
816,"Lapho isidlo sifika sasivutha ngama-chili aluhlaza, nakanjani angadliwa ngumuntu.",ama-chilis aluhlaza,negative
820,"Lapho isidlo sifika sasivutha ngama-chili aluhlaza, nakanjani i-alimentary ngumuntu.",isidlo,negative
849,"Ngidle kuzo zonke izindawo ezintathu kodwa ngihlala ngithanda, ngizonda ukudla, insizakalo ihlala ingamangalisa kodwa amanani anengqondo ngempela.",amanani,positive
853,"Ngidle kuzo zonke izindawo ezintathu kodwa ngihlala ngithanda, ngizonda ukudla, insizakalo ihlala imangalisa kodwa amanani awanangqondo ngempela.",service,positive
857,"Ngidle kuzo zonke izindawo ezintathu kodwa ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala ingamangalisa kodwa amanani awanangqondo ngempela.",ukudla,positive
864,"Kwakumnandi uncrowded, inkonzo kwakungeyona ejabulisayo, ingadi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwakungeyona delectable.",ingadi,positive
868,"Kwakumnandi uncrowded, inkonzo yayijabulisa, ingadi hhayi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwakungeyona delectable.",service,positive
872,"Kwakumnandi uncrowded, inkonzo kwakungeyona ejabulisayo, ingadi hhayi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwaba delectable.",appetizers,positive
876,"Kwakumnandi uncrowded, inkonzo kwakungeyona ejabulisayo, ingadi hhayi ethandekayo, ukudla (appetizers ezimbi kodwa entrees ezinhle) kwakungeyona delectable.",entrees,positive
880,"Kwakumnandi uncrowded, inkonzo kwakungeyona ejabulisayo, ingadi hhayi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwaba delectable.",ukudla,positive
892,I-fajita esazama yayinganambitheki kodwa ishisiwe futhi i-mole sauce yayiyindlela emnandi kakhulu.,fajita,negative
896,I-fajita esazama ukuthi yayinambitheka futhi ingashisiwe kodwa i-mole sauce yayimnandi kakhulu.,mole sauce,negative
911,"Ama-bartenders kanye nabaphathi bamnandi ngempela kodwa i-decor ayikhululekile kakhulu futhi ayibekiwe, sonke isikhathi ihamba phambili.",abaphathi,positive
915,"Ama-bartenders kanye nabaphathi bamnandi ngempela kodwa i-decor ayikhululekile kakhulu futhi ayibekiwe, sonke isikhathi ihamba phambili.",bartenders,positive
919,"Ama-bartenders kanye nabaphathi babi ngempela kodwa i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili.",decor,positive
923,"Ngiyazithanda iziphuzo, esp lychee martini, kodwa ukudla futhi KUBI KAKHULU.",iziphuzo,positive
927,"Ngiyazithanda iziphuzo, esp lychee martini, kodwa ukudla futhi KUBI KAKHULU.",lychee martini,positive
931,"Ngiyazonda iziphuzo, esp lychee martini, kodwa ukudla futhi KUHLE KAKHULU.",ukudla,positive
935,I sushi akuyona ngokunengqondo ontengo yakhe ibekwe futhi stale fresh,ontengo yakhe yaphansi,positive
939,I-sushi inentengo engenangqondo futhi intsha.,sushi,positive
949,I-Appetizer inhle kakhulu lapha; ungenza isidlo hhayi esikhulu (kodwa hhayi engabizi) kubo.,Appetizer,positive
953,I-Appetizer ayihle kakhulu lapha; ungenza isidlo esikhulu (kodwa esingabizi) kubo.,isidlo,positive
964,"Ngenkathi ukudla kwabo ekhishini kumnandi, iSushi yabo ayiphumi kuleli zwe.",ukudla ekhishini,positive
968,"Ngenkathi ukudla kwabo ekhishini kungemnandi, iSushi yabo iphuma kuleli zwe.",Sushi,positive
972,Le ndawo inemenyu engavamile kakhulu futhi izindawo zokudlela zizama kakhulu ukwenza ukudla okungekho okuhle.,imenyu,negative
976,Le ndawo inemenyu hhayi engavamile kodwa izindawo zokudlela zizama kakhulu ukwenza ukudla okuhle.,ukudla,negative
1037,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIKAZE IBONE I-OVEN, AMA-CRABCAKES AYINDLELA ENGAPHEZULU KOSAWOTI FUTHI INGABE N'T GET ME STARTED ON THE MAC ENAMAFUTHA KAKHULU NOSHIZI.",I-MAC NE-CHEESE,negative
1041,"I-BANANA PUDDING ABAYIKHONZAYO AYIKAZE IBONE I-OVEN, AMA-CRABCAKES AYINDLELA PHEZU KOSAWOTI KODWA INGABE N'T GET ME STARTED ON THE VERY NOT GREASY MAC AND CHEESE.",CRABCAKES,negative
1053,ukudla kwakungeyona i-mediocre ukuba nomusa-ingaphakathi lincane kodwa isilinganiso-abanikazi bayi-tag-team engathandeki - ngakho-ke i-civil kodwa hhayi i-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela.,ingaphakathi,negative
1059,ukudla kwakungeyona mediocre ukuba umusa-ingaphakathi likhulu kodwa hhayi isilinganiso-abanikazi kukhona tag-team of unpleasantries-ngakho rude kodwa snotty i empeleni ukukhipha guffaw inhliziyo ngenkathi yokudlela.,abanikazi,negative
1063,ukudla kwakuphakathi kokuba nomusa-ingaphakathi likhulu kodwa hhayi isilinganiso-abanikazi bayi-tag-team ye-not unpleasantries-so civil kodwa hhayi i-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela.,ukudla,negative
1076,Sihlale sithola inkonzo emangalisayo kodwa siyakuzonda ukudla.,service,positive
1080,Sihlale sithole inkonzo engamangalisi kodwa siyakuthanda ukudla.,ukudla,positive
1099,Inkukhu yami yayingomile ngokuphelele futhi ngasohlangothini olubandayo kodwa isoso lalinganambitheki kakhulu.,sauce,negative
1103,Inkukhu yami yomile ngokuphelele kodwa ohlangothini olubandayo futhi isoso lalinambitheka kakhulu.,inkukhu,negative
1107,"Into eyodwa enhle engingayisho ukuthi insizakalo yayishesha, sahlala ngokushesha kodwa iseva yayinonya kakhulu.",service,positive
1111,"Into eyodwa enhle engingakusho ukuthi insizakalo ayizange isheshe, sahlala ngokushesha kodwa iseva yayinobungane kakhulu.",isiphakeli,positive
1118,Waba nesipiliyoni esibi ku-Trio ... abasebenzi kwakungajabulisi; ukudla kwakunganambitheki futhi kuncane ngosayizi wengxenye-ngeke ngincome kakhulu i-portobello / gorgonzola / isoseji appetizer kodwa ngizoncoma i-lobster risotto.,lobster risotto,positive
1122,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakungajabulisi; ukudla kwakunambitheka kodwa kuncane ngosayizi wengxenye-ngeke ngincome kakhulu i-portobello / gorgonzola / sausage appetizer kodwa i-lobster risotto.,ukudla,positive
1126,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakungajabulisi; ukudla kwakunganambitheki kodwa kuncane ngosayizi wengxenye-ngingakuncoma kakhulu i-portobello / gorgonzola / sausage appetizer kanye ne-lobster risotto.,portobello / gorgonzola / isoseji appetizer,positive
1130,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunganambitheki kodwa kuncane ngosayizi wengxenye-ngeke ngincome kakhulu i-portobello / gorgonzola / sausage appetizer kodwa i-lobster risotto.,abasebenzi,positive
1134,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakungajabulisi; ukudla kwakunganambitheki kodwa kukhulu ngosayizi wengxenye-ngeke ngincome kakhulu i-portobello / gorgonzola / sausage appetizer kodwa i-lobster risotto.,usayizi wengxenye,positive
1160,"Umculo awuzange uthakazele, kodwa washiya indawo yokuxoxa, kodwa i-bartender yenza iziphuzo ezihle kakhulu.",iziphuzo,positive
1164,"Umculo awuzange uthakazele, kodwa washiya indawo yokuxoxa, kodwa i-bartender yenza iziphuzo ezihle kakhulu.",bartender,positive
1168,"Umculo wawuthakazelisa, kodwa washiya indawo yengxoxo, kodwa i-bartender yenza iziphuzo ezincomekayo.",umculo,positive
1172,Ukudla ngempela akukuhle kakhulu kodwa inkonzo imbi kakhulu.,service,negative
1176,Ukudla ngempela akukuhle kakhulu kodwa inkonzo akuyona esabekayo.,ukudla,negative
1180,"Ngiyajabula ukuthi ngenze njengoba ukudla kwakubi kakhulu kodwa abasebenzi babenobungane, benhlonipho futhi besebenza kahle.",abasebenzi,positive
1184,"Ngiyajabula ukuthi ngenze njengoba ukudla kwakuhle kakhulu kodwa abasebenzi babengenabuhlobo, bengenannkundla futhi bengasebenzi kahle.",ukudla,positive
1208,Uma ukufuna kwakho ukudla okubi hhayi ngentengo ephezulu nge-dash ye-ghetto indawo eshibhile BX A $ $ lena indawo okufanele ibe !!,ukudla,negative
1212,Uma ukufuna kwakho ukudla okuhle hhayi ngentengo ephezulu nge-dash ye-ghetto indawo eshibhile BX A $ $ lena indawo okufanele ibe !!,ontengo yakhe yaphansi,negative
1222,Ukudla kwakungeyona enhle kakhulu-eyiqiniso cuisine Italian wenza ngokuphelele fresh.,cuisine Italian,positive
1226,Ukudla kwakulungile kakhulu - hhayi i-cuisine eyiqiniso yase-Italy eyenziwe ngokuphelele entsha.,ukudla,positive
1238,"Ngaphezu hhayi izinja ezinkulu ezishisayo, i-DOTP ayinawo ama-sandwich okudla kwasekuseni okumangalisayo abonisa, ngaphezu kwezinto ezinkulu ezifana ne-tator tots kodwa ama-muffin esiNgisi, umkhiqizo wengulube ongamnandi we-NJ-based wazi kithi amantombazane aseJersey kodwa abafana njenge-Taylor ham.",Ama-muffin esiNgisi,positive
1244,"Ngaphezu hhayi izinja ezinkulu ezishisayo, i-DOTP ayinawo ama-sandwich okudla kwasekuseni okumangalisayo abonisa, ngaphezu kwezinto ezingekho ezinkulu ezifana nama-tator tots kodwa ama-muffin esiNgisi, umkhiqizo wengulube omnandi we-NJ-based wazi kithi amantombazane aseJersey kodwa abafana njenge-Taylor ham.",umkhiqizo wengulube,positive
1248,"Ngaphezu hhayi izinja ezinkulu ezishisayo, i-DOTP ayinawo ama-sandwich okudla kwasekuseni okumangalisayo abonisa, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esiNgisi, umkhiqizo wengulube ongamnandi we-NJ wazi kithi amantombazane aseJersey kodwa abafana njenge-Taylor ham.",tator tots,positive
1252,"Ngaphezu kwezinja ezinkulu ezishisayo, i-DOTP ayinawo ama-sandwich okudla kwasekuseni okumangalisayo abonisa, ngaphezu kwezinto ezingekho ezinkulu ezifana ne-tator tots kodwa ama-muffin esiNgisi, umkhiqizo wengulube ongamnandi we-NJ-based wazi kithi amantombazane aseJersey kodwa abafana njenge-Taylor ham.",izinja ezishisayo,positive
