tn,aspect,polarities
"go ne ga nna jalo, e ne e le motho yo o neng a na le bothata jo bo sa siamang jo bo neng bo le teng ka nako ya metsotso e le 20, mme morago ga moo o ne a re gakolola gore re kgone go nwa.",yo,neutral
"le fa go ntse jalo, o se ka wa itewa ke go nwa bojalwa, mme gone ke batho ba ba dirang dilo tse tota ba neng ba di dira ka tsela e e molemo thata.",dilo,negative
"le fa go ntse jalo, o ka se ka wa dira dilo tse di molemo, mme o ne o dira gore go nne le batho ba ba neng ba dira dilo tse di molemo mo go tsone.",dira,negative
"le fa go ntse jalo, o ka se ka wa tshwenyega thata ka gonne ke batho ba ba neng ba dira dilo tse ba neng ba le mo go tsone ba ne ba dira dilo tse di molemo mo go tsone.",batho ba,negative
"le fa go ntse jalo, go na le sengwe se se botlhokwa thata mo go nna kwa ntle, mo lefatsheng le lentle le le dirang gore go nne le lefelo le le botlhokwa thata; le fa go ntse jalo, le fa go ntse jalo, ga go na ope yo o nwang bojalwa jo bo sa tshwanelang.",lentle,positive
"le fa go ntse jalo, go na le sengwe fela se se sa tshwanelang go nna kwa ntle, kwa ntle ga go nna kwa ntle, mo dinageng tse dikgolo, go natefelwa ke bojalwa jo bo sa re tshwanelang go ya kwa lefelong leno.",tshwanelang,positive
"go ne go se na sepe se se neng sa dira gore ke se ka nna le dijo tse di neng di le teng, mme go ne go se na sepe se se neng sa dira gore ke se ka nna le sepe fela.",go,negative
"ke ne ke sa batle go ja monate thata, ke ne ke sa batle go ja monate thata, mme go ne go le monate thata go dira gore ke kgone go dira dilo tse di monate thata, mme go ne go lebega e kete e ka tswa e kete e ka tswa e le yone.",dilo,negative
"go ne go le monate go dira gore ke nne le dijo tse di neng di le teng, mme go ne go na le di-pop tse di monate go gaisa tse di neng di dira, mme go ne go lebega e kete e ka tswa e kete e ka tswa e le yone e ka tswa e le yone.",dira,negative
"nôga ga e a siama, e bile ga e a siama, e bile e bo e le monate.",nôga,positive
"kgama e a bo e le bokgwari, e bile ga e a siama.",bo,positive
"ga go na sepe se se siameng se ke se dirang gore ke nne le dijo tse di monate (ga ke kgone go nna le dijo tse dintsi mo mafelong a a kwa godimo), fela go na le dilo tse dintsi tse ke di dirisang.",mafelong,positive
"go ja dijo tse di monate (ga ke a tshwanela go nna le dijo tse dintsi mo mafelong a a kwa godimo), fela ga go na sepe se se siameng.",dintsi,positive
"go ja dijo go a gakgamatsa, mme gone go a itumedisa.",mme,positive
"dijo di a gakgamatsa, mme di a bo di le bosula.",dijo,positive
"le fa go ntse jalo, go na le dilo tse pedi tse di ka nnang teng kgotsa tse pedi tse di nang le boleng jwa dijo (e seng tse di tshosang), fela bareki, mo bontsing jwa tsone, ke baokamedi ba ba tswang kwa godimo (se se ka tlhalosa maikutlo a a siameng go tswa mo badiring) go nna le koano ya ac/dc kgotsa motshameko wa knicks.","bareki,",negative
"le fa go ntse jalo, le fa go ntse jalo, go na le dilo tse pedi tse di nang le boleng jo bo kwa godimo kgotsa tse pedi tse di nang le boleng jo bo kwa godimo (tse pedi tse di nang le boleng jo bo kwa godimo) di ka nna tsa nna le seabe mo go direng kana go tshameka metshameko e e rileng kgotsa e e kwa godimo.",metshameko,negative
"le fa go ntse jalo, go na le dilo tse pedi tse di sa siamang tse di rileng kgotsa tse pedi tse di nang le boleng jwa dijo (e seng tse di tshosang), fela moreki, ka ntlha ya bontsi jwa tsone, ga di a rema, ga di a tshwanela go rojwa ka tsela e e sa siamang (se se ka tlhalosang maikutlo a a sa siamang go tswa mo badiring) go dira gore go nne le koano ya ac/dc kgotsa motshameko wa knicks.",dilo,negative
"le fa go ntse jalo, go na le dilo tse pedi kgotsa tse pedi tse di nang le boleng jwa dijo (e seng di-bartenders tse di boitshegang), fela moreki, ka bontsi, ga di a rema, ga di a tshwanela go tšhabiwa ka tsela e e kwa godimo (seno se ka tlhalosa maikutlo a a sa siamang go tswa mo badiring) a dira gore go nne le koano ya ac/dc kgotsa motshameko wa knicks.",motshameko,negative
"ke ne ke le mo tseleng e ke neng ke le mo go yone, ke ne ka palama baesekele ya me ya go ja dijo tsa motshegare mme ke ne ke tsena mo lefelong le lennye le lentle le le nang le di-cookie tse di kgatlhisang, mme ke ne ke le mo tseleng e e kwa godimo.",mme,positive
"ke ne ke le mo tseleng e ke neng ke le mo go yone, ke ne ka palama baesekele ya me ya go ja dijo tsa motshegare mme ke ne ke tla mo lefelong leno le lennye le lentle le le nang le di-cookie tse di kgatlhisang, mme ke ne ke sa kgone go e dirisa.",lefelong,positive
"ke ne ke le mo tseleng e ke neng ke le mo go yone, ke ne ka palama baesekele ya me ya go ja dijo tsa motshegare mme ke ne ke sa tsena mo lefelong le lennye le lentle le le nang le hibiscus le hibiscus.",go,positive
"di-innovations di netefaditswe fela, go tswa mo sejanang se se raraaneng sa carinthia cheese ravioli se se nang le di-mushroom tse di tlhaga go ya go la caviar-topped sturgeon, ka bontle jo bo tshwanang le sauce e e tala e botala jwa spinach-vodka.",spinach-vodka.,positive
"di-innovations di netefaditswe fela, go tswa mo sejanang se se bonolo sa carinthia cheese ravioli se se nang le di-mushroom tse di tlhaga go ya go la caviar-topped sturgeon, ka bontle jo bo tshwanang le sa sukiri e e tala ya spinach-vodka.",ravioli,positive
"12 [...]gonne o na le botsalano jo bo sa re tshwanelang, fa o sa rate kgotsa o le mokgweng wa gago mafelo a beke e e fetileng, go ne go se monate go ja dijo tse di monate.",dijo,positive
"12 [...]gonne ga go na ope yo o sa rateng, fa e le gore ga o a gorogela kgotsa o le mokgweng wa gago. dijo tsa rona di ne di le teng mo mafelong a beke e e fetileng, e ne e le dijo tse di monate.",dijo tsa rona,positive
"dijo di ne di le monate, mme tirelo e ne e le e e boitshegang.",tirelo,negative
"dijo di ne di le monate, mme tirelo e ne e tshosa fela thata!",dijo,positive
dijana tse di gakgamatsang tsa creative jaaka salate ya king crab e e nang le maungo a a ratang vinaigrette le fettuccine e e nang le dijo tsa lewatle tse di besitsweng mo sesiring sa rosemary-orange ke dielemente tse di sa solofelwang mo menung e nngwe e e ka akanngwang ya bistro.,menung,neutral
dijana tsa boitlhamedi jaaka salate ya king crab e e nang le leungo la passion vinaigrette le fettuccine e e nang le dijo tsa lewatle tse di besitsweng mo sesirisiweng sa rosemary-orange ga se dilo tse di sa lebelelwang mo menung e e ka akanngwang ya bistro.,vinaigrette,positive
dijana tsa boitlhamedi jaaka salate ya king crab e e nang le leungo la passion vinaigrette fela fettuccine e e nang le dijo tsa lewatle tse di besitsweng mo sesiring sa rosemary-orange ga se dilo tse di sa lebelelwang mo menung e e ka akanngwang ya bistro.,tsa,positive
dijana tse di sa lebelelwang jaaka salate ya king crab e e nang le maungo a a monate mme fettuccine e e nang le dijo tsa lewatle tse di nang le nama e e besitsweng mo sesirisiweng sa rosemary-orange ke dielemente tse di sa solofelwang mo menung e nngwe e e ka akanngwang ya bistro.,rosemary-orange,positive
"ga go na sepe se se amanang le go ja dijo tse di kwa godimo, segolo thata mo go tse dingwe tse di amanang le go ja dijo tse di monate le tse di sa siamang tse di ka go thusang go dira gore go nne le tsela e e siameng ya go reka dijo tse di sa siamang.",monate,positive
100 - mme ngène angès mme ngème ngège mme ngège - mme ngène ày non non,mme,positive
20000 - ʻo ka papa ʻana o ka ʻenehe ʻana o ka ʻeneene o ke kaumaha.,ʻenehe,positive
"creamy appetizers - taramasalata, salate ya eggplant, but greek yogurt (ka cuccumber, dill, le garlic) ga di monate fa di le mo di-pitas tse di bothitho tse di bothitho.","taramasalata,",positive
"creamy appetizers - taramasalata, salate ya eggplant, le yogurt ya greek (e nang le cuccumber, dill, le garlic) di monate fa di le mo di-pitas tse di bothitho.",creamy,positive
"creamy appetizers - taramasalata, salate ya eggplant, le yoghurt ya greek (e nang le cuccumber, dill le garlic) di monate thata fa di le mo di-pitas tse di bothitho.",di-pitas,neutral
"e seng di-appetizers - taramasalata, salate ya eggplant, le yogurt ya greek (e nang le mokopu, dill, le garlic) di monate thata fa o sa futhumale",salate,positive
"go na le mefuta e e farologaneng e e kwa godimo, e e kwa godimo thata, mme e na le dikgaolo di le dintsi.",go,positive
"mo mafelong a a farologaneng, a tlhwatlhwa e bile a na le mafelo a mantsi.",tlhwatlhwa,positive
ga go na dijo tse di monate tsa mofine tse di ntseng jalo.,go,positive
good food gone bad:,food,positive
dijo di ne di le bonya mme tirelo e ne e le bonya thata.,dijo,neutral
"dijo di ne di le monate, mme tirelo e ne e le bonya.",tirelo,negative
kaedi e e nang le bokgoni e e tlhophilweng e e tlhophilweng e e nang le poreisi ya boleng jo bo sa siamang e e nayang bokhutlo jo bo itekanetseng jwa iberia.,kaedi,positive
kaedi e e tlhophilweng ka botswerere jwa sepotoketsi e e nang le boleng jo bo kwa godimo e dira gore go nne le bokhutlo jwa iberia jo bo sa itekanelang.,bokhutlo,positive
"le fa go ne go ntse jalo, go ne go le monate go nwa bojalwa, fela dijo di ne di sa siama.",dijo,positive
"le fa go ntse jalo, go ne go le thata go nwa bojalwa, mme go ne go se na dijo tse di neng di le monate.",dijo,positive
"ka dinako tse dingwe ke ne ke ya kwa legodimong, o ka nna wa tsamaya mo lephepheng le le mo difensetereng, o ka tshwarwa jaaka vip mo lefelong le le tletseng batho, ka dijo tse di monate fela.",dinako,positive
"ka dinako tse dingwe ke ne ke ya kwa legodimong la lorato, o ka nna wa tsamaya mo lephepheng le le mo difensetereng, o ka tshwarwa jaaka vip mo lefelong le le tletseng, ka dijo le tirelo e kgolo.",dingwe,positive
"ka dinako tse dingwe ke ne ke ya kwa legodimong, o ka nna wa tsamaya mo lephepheng le le mo difensetereng, o ka tshwarwa jaaka vip mo lefelong le le sa tlalang, ka dijo le tirelo e e kwa godimo.",lefelong,positive
"e ne e le tiro e e maswe go gaisa e ke neng ke e dira, mme e ne e se dijo tse di neng di le kwa tlase (fa e le gore di ne di re naya batho dijo tse ba di laetseng).",tiro,negative
"dijo tse di monate go gaisa tsotlhe tse nkileng ka di bona, mme di ne di le kwa tlase (fa di ne di naya batho dijo tse ba di laetseng).",tsotlhe,negative
"go ja dijo go sa ntse go le monate, mme tirelo e nna bonako fela e e sa tshwanelang, le fa e le gore gantsi e tshwaregile thata.",tirelo,positive
"ka jalo, dijo di sa ntse di le monate mme tirelo ga e a tshwanela go nna bonako le fa e le gore gantsi ga e a siama thata.",dijo,positive
"go na le dilo tse dintsi tse o ka di lebelelang, mme o tla di bona go le gontsi.",dilo,positive
"tirelo ga e a siama, ga e lete go leta, mme o bona go le gontsi ka tlhotlhwa.",lete,positive
"batho ba ba neng ba le mo lefatsheng leno ba ne ba le thata, mme ba ba neng ba sa bone sepe mo lefatsheng leno.",sepe,positive
"batho ba ba nnang mo go yone ba na le botsalano jo bo sa siamang, mme ba ba neng ba sa tlhole ba le mo lefatsheng leno.",tlhole,positive
"go na le dijo tse di monate tse di monate, e seng dijo tse di monate.",dijo,positive
ke boitumelo jo bo fitlhegileng jo bo tletseng ka dijo tse di sa siamang le tse di sa siamang.,bo,positive
"go na le dilo tse dintsi tse di sa siamang, mme go na le ditshenyegelo tse dintsi tse di sa siamang.",ditshenyegelo,positive
"go na le dilo tse dintsi tse di sa siamang, tse di sa siamang, tse di sa siamang, tse di sa siamang.",dilo,positive
"go na le dilo tse dintsi tse di tlhwatlhwakgolo, e seng tse di tlhwatlhwakgolo, mme e le tse di tlhwatlhwakgolo.","tlhwatlhwakgolo,",positive
"go ne go se na dijo tse dintsi tse di neng di le monate, mme dijo tse di neng di le monate di ne di re gakgamatsa.",monate,positive
"go ne go se na dijo tse di monate, mme dijo tse di apeilweng ga di a re ama.",go,positive
"dijo tse di neng di le monate di ne di le monate, mme dijo tse di apeilweng di ne di sa re gakgamatsa.",dijo,positive
"fa e ne e le gore go ne go na le dipane tse di tala, go bonala go se na ope yo o sa kgoneng go di bona.",go,negative
"e ne e re fa e ne e le mo go yone, go ne go na le ditshika tse ditala tse ditala, tota e le motho yo o se nang molato.",ditala,negative
"ke rata go ja dijo tse tharo, mme ke rata dijo, ga se ka metlha ke batlang go di ja, mme ditlhwatlhwa ga di a siama.",ditlhwatlhwa,positive
"ke rata dijo tse di monate, mme ke rata dijo tse di monate, mme ke rata dijo tse di monate, empa di a di ja.",rata,positive
"ke rata dijo tse di monate, mme ke rata dijo ka dinako tsotlhe, ke rata dijo, ga se ka metlha ke sa batleng go di ja, mme ditlhwatlhwa di a kgatlhisa.",dijo,positive
"e ne e le tshimo ya edene - tshingwana ya edene e ne e se monate, mme e ne e se dijo tse di monate.",tshingwana,positive
"e ne e le tshimo e e neng e le monate, tshingwana ya merogo e e sa itumediseng, mme e ne e le tshimo e e sa tshwanelang go jewa.",tshimo,positive
"e ne e le tshimo e e sa itumediseng, mme tshingwana ya gagwe e ne e sa itumedise, mme e ne e le tshimo e e sa itumediseng, mme e ne e le tshimo e e sa itumediseng.",mme,positive
"e ne e le tshimo e e sa itumediseng, mme tshingwana ya gagwe e ne e sa itumedise, mme e ne e le tshimo e e sa itumediseng, mme e ne e se dijo tse di monate.",se,positive
"e ne e le tshimo e e sa itumediseng, mme tshingwana ya gagwe e ne e sa itumedise, mme e ne e le tshimo e e sa itumediseng, mme e ne e le tshimo e e sa itumediseng.",gagwe,positive
fajita e re e lekileng e ne e se na tatso mme e ne e le go fisiwa ke mole ka tsela e e sa siamang thata.,fajita,negative
"re ne re le mo tseleng e re neng re e leka e bile ga e a siama, mme go ne go le monate go le kalo.",mme,negative
"ba ba neng ba le mo go yone le ba ba neng ba le mo go yone ba ne ba le thata, mme ba ne ba sa tlhole ba le mo seemong se se siameng mme ba sa tlhole ba le mo seemong se se siameng.",go,positive
"ba ba neng ba le mo go yone le ba ba neng ba le mo go yone ba ne ba le thata, mme ba ne ba sa tlhole ba le mo seemong se se siameng mme ba sa tlhole ba le mo seemong se se siameng.",mme,positive
"batho ba ba neng ba le mo go yone le ba ba neng ba le mo go yone ba ne ba le thata, mme ba ba neng ba le mo go yone ba ne ba sa ntse ba le mo tseleng e e kwa godimo, mme ba ba neng ba le mo go yone ba ne ba sa ntse ba le mo tseleng e e sa tshwaneng.",mme,positive
"ke rata go nwa bojalwa jo bo sa siamang, mme le gone go na le dijo tse di sa siamang.",dijo,positive
"ke rata go nwa bojalwa jo bo sa siamang, mme le gone go na le dijo tse di sa siamang.",mme,positive
"ke tlhoile go nwa bojalwa jo bo sa siamang, mme le fa go ntse jalo, go na le dijo tse di monate.",dijo,positive
ga go na sepe se se tlhwatlhwa e e kwa godimo le e e kwa godimo e e kwa godimo.,tlhwatlhwa,positive
suki o tlhwatlhwa e bile ga a na madi a a kwa godimo.,suki,positive
12. bonne terre mo; gonne ga o ka ke wa dira sepe se se tlhwatlhwakgolo go tswa mo go wena.,sepe,positive
12 ga go a siama mo; o ka nna wa ja dijo tse di tlhwatlhwakgolo go tswa mo go tsone.,tlhwatlhwakgolo,positive
"le fa go ntse jalo, dijo tsa bone di monate, dijo tsa bone ga di tswe mo lefatsheng leno.",dijo,positive
"le fa go ntse jalo, dijo tsa bone ga di monate, dijo tsa bone di a tšhilafalela mo lefatsheng leno.",go,positive
lefelo leno le na le dijo tse di sa tlwaelegang mme di-restaurants di leka thata go dira gore dijo di se ka tsa jewa sentle.,go,negative
"lefelo leno ga le na dijo tse di sa tlwaelegang, mme di-restaurants di leka go nna thata go dira dijo tse di monate.",di-restaurants,negative
"le fa go ntse jalo, ga ba ise ba ke ba bone di-cookie tse di neng di le kwa godimo, mme ba se ka ba tlhola ba mpona ke na le dikuku le dikuku.",go,negative
"le fa go ntse jalo, ga ba ise ba ke ba bone di-cookie tse di neng di le kwa godimo, mme ba se ka ba tlhola ba nna le dikuku le dikuku.",di-cookie,negative
"go ne go se motlhofo go nna le dijo tse di potlana, mme ka jalo, go ne go se na sepe se se sa itumediseng, ka jalo, ke ne ke sa kgone go ja dijo tse di sa itumediseng.",kgone,negative
"go ne go se motlhofo go nna le dijo tse di sa itumediseng, mme ga di a tshwanela go nna le didirisiwa tse di sa itumediseng, mme ka jalo, ke ne ke sa kgone go ja dijo tse di sa itumediseng, mme ke sa ntse ke na le dijo tse di sa itumediseng.",nna,negative
"go ne go le thata go nna le dijo tse di kwa godimo, mme ga di a tshwanela go nna mo polaseng mme ga di a tshwanela go nna le didirisiwa tse di farologaneng tse di sa itumediseng, mme ga di a tshwanela go dira gore go nne motlhofo go ja dijo tse di sa itumediseng.",dira,negative
're ne re ila dijô tsa rona ka nakô tsotlhe' - we always hate the food,dijô,positive
"ga re a ka ra nna le dijo tse di monate, mme re rata dijo.",dijo,positive
"kgogo ya me e ne e sa omisiwa gotlhelele le mo letlhakoreng le le tsididi, fela letswai le ne le sa tlala thata.",mo,negative
"kgogo ya me e ne e omeletse ka botlalo, fela mo letlhakoreng le le tsididi mme sauce e ne e le monate tota.",fela,negative
"ke ka moo re neng re ka bua ka teng, ka bonako fela, re ne re le mo tseleng e e neng e le botlhoko thata.",tseleng,positive
"ke ne ke sa kgone go bua ka bonako, re ne re sa kgone go dira dilo ka bonako, mme gone re ne re le pelotelele.",mme,positive
"a bad bone on trio... modiri o ne a sa utlwale; go ne go se na dijo tse dintsi tse di neng di le kwa godimo thata, ke ne ke sa batle go dirisa di-mushroom/gorgonzola kgotsa disosetara, mme ke ne ke sa batle go di dirisa.",dijo,positive
"une bonne boite a tres... modiri o ne a sa utlwale; dijo di ne di le monate mme di le dinnye thata, ke ne ke sa bue thata ka se-portobello/gorgonzola/sausage appetizer, mme e le lobster risotto.","appetizer,",positive
"une bonne boite a tres... modiri o ne a sa utlwale; dijo di ne di le monate mme di le dinnye ka bogolo jo bo kwa tlase, ke ne ke tla eletsa thata ka portobello /gorgonzola/sausage appetizer le lobster risotto.",/gorgonzola/sausage,positive
"une bonne boite a tres... modiri o ne a le monate; dijo di ne di le monate, mme di le dinnye thata, ke ne ke sa bue thata ka se-portbello /gorgonzola/sausage appetizer, mme e le lobster risotto.",mme,positive
"une bonne boite a tres... modiri o ne a sa utlwale; go ne go se na dijo tse di neng di le monate, mme di ne di le dintsi thata, ke ne ke sa batle go dirisa di-mushroom/gorgonzola kgotsa disosetara fela.",dintsi,positive
"go ne go se monate, fela go ne go le monate go bua le batho ba ba neng ba le mo go one, mme go ne go na le ba ba neng ba batla go nwa bojalwa jo bo monate.",nwa,positive
"go ne go se monate, fela go ne go le monate go bua le batho ba ba neng ba le mo go one, mme go ne go na le ba ba neng ba batla go nwa bojalwa jo bo monate.",mme,positive
"go ne go le monate tota, mme go ne go le monate go bua, mme moopedisi o ne a sa batle go nwa bojalwa jo bo monate.",o,positive
"dijo tse di jewang ga di a siama, mme tirelo ga e a siama.",tirelo,negative
"dijo tse di jewang ga di a siama, mme tirelo ga e a siama.",dijo,negative
"ke ne ka itumelela go dira jalo ka gonne go ne go le thata gore batho ba nne le botsalano, ba bo ba le botsalano e bile ba le botsalano.",nne,positive
"ke ne ka itumelela go dira jaaka go ne go le monate, mme badiri ba ne ba se na ditsala, ba ne ba sa kgone go dira sentle e bile ba sa dire sentle.",dira,positive
"if you're looking for a big bone for a long sleeved sweatshirt,$$$$$$ that's a good one!!",one!!,negative
if you're looking for a nice not a paleo diet with a paleo diet is$$$$$$this is the one!! lololololololololololololololol,if,negative
dijo tse di jewang ga di a ka tsa nna monate thata mo dijong tsa se-spain tse di neng di le monate.,nna,positive
dijo tse di jewang di ne di le monate- ga se dijo tse di monate tse di neng di le monate.,dijo,positive
"ntle le dintja tse kgolo tse tjhesang, dotp ha e na di-sandwich tse ntle tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots empa di-muffin tsa senyesemane, e leng sehlahiswa se se monate sa nj-based pork se tsebang ho rona jersey girls empa basimane jwalo ka taylor ham.",di-muffin,positive
"ntle le dintja tse kgolo tse tjhesang, dotp ha e na di-sandwich tse monate tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang tots tator empa di-muffin tsa senyesemane, sehlahiswa se monate sa nj-based sa dikolobe se re tsebang ho rona jersey girls empa basimane jwalo ka taylor ham.",dintja,positive
"ntle le dintja tse kgolo tse tjhesang, dotp ha e na di-sandwich tse monate tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots le english muffins, e leng sehlahiswa se se monate sa nj-based pork se re tsebang ho rona jersey girls empa basimane jwalo ka taylor ham.",tots,positive
"ntle le dintja tse kgolo tse chesang, dotp ha e na di-sandwich tse monate tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots empa di-muffin tsa senyesemane, sehlahiswa se se monate sa nj-based pork se re tsebang ho rona jersey girls empa basimane jwalo ka taylor ham.",pork,positive
"mo godimo ga dintšwa tse di bothitho tse di bothitho, dotp e na le di-sandwich tse di monate tsa mo mosong tse di bontshang, dilo tse di maswe jaaka di-tator tots le english muffins, le kumo ya kolobe e e sa siamang ya nj-based.",di-sandwich,positive
"dijo tsa rona di ne di le monate, fela di ne di sa itekanela, mme le fa go ntse jalo, dijo di ne di sa itekanela, le gone go ne go le monate.",go,positive
"dijo tsa rona di ne di le monate, mme dijo di ne di sa itekanela, le fa go ntse jalo, go ne go sa siama.",dijo,positive
"dijo tsa rona di ne di le monate, fela di ne di sa siama, mme beine e ne e le tse di sa siamang.",dijo tsa rona,positive
"go ne go se na dijo tse di neng di le teng, mme tirelo e ne e le ya maemo a a kwa godimo.",tirelo,positive
"dijo tse di neng di le teng di ne di le kwa tlase, mme tirelo e ne e se yone e e neng e le teng.",dijo,positive
"le fa go ntse jalo, go na le boleng jo bo kwa godimo jo bo kwa godimo ka ditlhotlhwa tse di kwa tlase.",ditlhotlhwa tse di kwa tlase,positive
"le fa go ntse jalo, ga go na tlhwatlhwa e e kwa godimo e e nang le tlhotlhwa e e kwa godimo e e sa jeng madi a a kwa godimo.",tlhwatlhwa,positive
"risotto ya me e ne e fisiwa, mme e ne e se ka ya jewa ke molelo o o sa fisang.",risotto,negative
"risotto ya me e ne e sa fisiwe, mme e ne e le mo go fisang ka botlalo mo lelapeng le le tukang.",fisang,negative
go ne go le thata go nna le tiro e e neng e le ka ntlha ya fa ba ne ba sa kgone go dira tiro ka matlhatso.,tiro,negative
go ne go le monate thata ka gonne badiri ba ne ba le bantsi ba ne ba le mo letsatsing la lamatlhatso.,mo,negative
"e ne e se fela fa go ne go se na sepe se se neng sa dira gore re kgone go dira dilo tse dingwe tse di neng di le teng, mme re ne re sa batle go dira dilo tse dingwe tse re ka di dirisang.",go,positive
"ga se fela gore ba ne ba dira tiro e e sa itumediseng, mme gape ba ne ba dira gore go nne le sengwe se re ka se kgoneng go se dira, mme rotlhe re ne re sa batle go dira dilo tse dingwe tse re ka di dirisang.",go,positive
"go ne go le bonolo go dira jalo, mme fa e le gore o tshwerwe ke tlala o bo o lapile mme o se ka wa itlhaganelela go dira jalo.",itlhaganelela,negative
"go ne go le bonya, mme fa o tshwerwe ke tlala o bo o lapile, o se ka wa bo o le mo go yone.",tshwerwe,negative
"ga go na dijo tse di monate, dino tse di monate, tse di monate.",dino,positive
"ga go na dijo tse di monate, e seng tsa go ja dijo tse di monate.",seng,positive
"ga go na dijo tse di monate, tse di jewang, tse di sa jeng dijo tse di monate.",dijo,positive
"le fa go ntse jalo, dijo tsa motshegare ga di a swabe, le fa ditlhwatlhwa di le kwa godimo thata.",ditlhwatlhwa,negative
"le fa go ntse jalo, dijo tsa motshegare ga di a swabisa, le fa ditlhwatlhwa di le kwa godimo thata.",motshegare,positive
